lga_name_2016,lga_code_2016,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Migratory - Offshore - Shipping (NSW),19799,0,48,3,52,0,12,0,12,0,36,0,42,0,8,0,8,0,13,0,13,0,0,0,0,0,15,11,26,7,134,13,152,3,69,0,76,0,12,0,12,0,48,3,50,0,22,0,22,0,11,0,12,0,0,0,0,0,22,24,40,3,187,23,217,4,118,3,125,0,25,0,25,0,83,5,87,0,34,0,34,0,25,0,27,0,7,0,4,0,31,31,67,5,320,38,373
Alpine (S),20110,8,1700,13,1718,6,802,6,823,8,1018,10,1038,3,350,3,352,3,321,9,339,0,22,0,22,4,199,365,571,32,4424,409,4860,6,2177,22,2208,4,795,3,801,8,873,9,888,5,294,6,301,0,278,3,281,0,23,0,23,0,197,383,583,29,4630,432,5089,13,3877,41,3934,11,1600,11,1621,18,1894,18,1930,11,641,9,657,3,602,17,621,0,41,0,41,5,395,748,1146,55,9054,838,9951
Ararat (RC),20260,3,1365,14,1385,4,781,11,793,11,875,14,892,3,402,7,411,11,389,6,404,0,48,0,52,54,799,276,1126,84,4656,323,5066,8,1719,16,1748,6,708,15,723,6,712,7,728,3,330,5,342,3,341,11,349,0,18,0,16,3,206,273,479,31,4042,324,4395,16,3083,34,3129,7,1492,25,1519,16,1589,20,1625,6,730,11,753,13,732,14,759,0,66,0,70,57,1005,548,1609,111,8698,650,9463
Ballarat (C),20570,129,16440,110,16669,68,5284,58,5406,78,6540,62,6684,50,2772,33,2852,36,1936,43,2014,10,132,3,146,25,1099,2097,3213,381,34199,2399,36977,165,20047,138,20343,82,5608,39,5729,106,6274,87,6466,48,2620,34,2700,35,2308,43,2385,4,108,4,116,28,1404,2298,3721,470,38368,2634,41465,289,36482,240,37010,145,10893,96,11142,185,12812,148,13150,102,5392,65,5552,73,4242,87,4394,9,246,4,262,46,2501,4388,6936,851,72560,5034,78448
Banyule (C),20660,89,28707,138,28934,39,4857,24,4927,45,4804,46,4894,30,1863,20,1916,10,1794,34,1836,0,310,0,309,8,985,1887,2881,224,43320,2154,45692,129,31348,156,31635,27,4711,32,4767,37,4835,40,4920,22,1939,30,1985,18,2679,34,2736,0,416,5,423,7,1369,1974,3353,238,47296,2272,49805,215,60053,300,60566,69,9568,63,9693,83,9639,81,9807,48,3804,51,3897,31,4468,68,4569,0,725,5,730,15,2360,3857,6235,458,90616,4428,95502
Bass Coast (S),20740,30,4296,37,4359,12,2041,24,2069,22,2733,43,2790,10,1193,15,1218,4,777,9,799,0,55,3,59,6,522,836,1364,85,11606,963,12656,31,5529,48,5611,11,2028,28,2064,20,2518,37,2574,10,1072,26,1103,5,872,15,894,0,47,0,47,0,662,857,1521,79,12721,1016,13817,62,9816,84,9973,24,4069,48,4136,39,5248,80,5365,21,2262,39,2320,8,1649,28,1688,4,99,3,102,6,1182,1693,2886,166,24329,1975,26477
Baw Baw (S),20830,29,6257,34,6320,21,2965,16,3001,37,4089,29,4149,23,1599,10,1637,10,1093,24,1134,4,67,0,73,7,506,1120,1635,125,16579,1243,17943,43,8434,67,8538,21,3004,20,3044,28,3356,33,3417,15,1359,12,1390,8,1140,17,1169,3,72,0,74,13,603,1202,1823,131,17977,1350,19460,68,14694,102,14862,39,5967,39,6042,65,7446,58,7564,40,2960,22,3024,24,2234,42,2299,3,142,3,144,21,1114,2326,3463,259,34547,2595,37406
Bayside (C),20910,50,25331,119,25502,7,2837,23,2863,7,2382,23,2412,3,723,11,732,0,683,4,689,3,119,0,124,3,568,1832,2402,72,32650,2007,34727,36,27724,143,27900,3,3513,41,3560,5,3095,41,3144,3,942,22,960,4,1122,15,1148,0,161,3,162,4,887,1924,2817,59,37443,2187,39689,88,53058,255,53401,8,6352,63,6426,18,5480,64,5558,3,1666,28,1693,11,1806,20,1838,3,276,7,284,6,1453,3757,5219,134,70092,4185,74415
Benalla (RC),21010,18,1716,16,1747,7,941,3,951,9,1113,9,1131,9,463,9,484,3,377,4,382,0,15,0,15,6,212,395,618,56,4838,436,5329,23,2203,23,2249,9,963,14,983,16,1039,7,1067,9,423,8,439,3,444,6,455,0,10,0,17,5,251,419,674,68,5338,477,5886,43,3918,40,3994,15,1906,14,1940,25,2149,16,2194,21,887,14,921,7,814,13,843,0,29,0,33,14,470,813,1292,126,10175,913,11210
Boroondara (C),21110,80,49098,226,49405,10,3331,30,3367,7,2603,17,2634,3,848,10,857,4,1028,10,1045,0,339,4,346,12,848,2951,3817,119,58096,3253,61467,73,53350,215,53637,14,4238,30,4279,9,3336,20,3372,7,1092,18,1117,5,1862,16,1882,0,414,3,413,3,1286,3109,4400,111,65582,3412,69106,159,102450,440,103044,21,7571,57,7645,21,5941,40,6003,9,1938,25,1978,10,2894,28,2933,0,751,9,759,14,2136,6066,8214,231,123675,6666,130573
Brimbank (C),21180,85,40727,327,41141,46,6731,58,6831,59,8378,90,8525,22,3478,44,3544,25,6393,82,6495,0,2132,32,2167,22,2547,4017,6581,254,70389,4639,75283,93,40472,308,40877,43,5529,52,5622,64,7662,82,7809,15,3461,37,3512,21,8250,93,8366,3,2943,40,2990,18,2746,3880,6638,263,71068,4488,75814,177,81199,637,82018,84,12266,107,12458,128,16044,165,16337,36,6938,82,7056,48,14641,170,14859,5,5075,74,5152,36,5293,7891,13226,520,141453,9126,151098
Buloke (S),21270,4,649,6,656,3,448,3,449,3,504,9,518,3,259,3,260,6,250,3,258,0,8,0,5,3,98,219,323,21,2212,243,2477,4,877,7,881,4,408,3,414,0,413,9,417,3,190,0,194,3,194,4,210,0,5,0,3,0,121,209,334,15,2210,239,2465,4,1523,12,1540,6,858,9,871,3,917,12,936,6,448,6,457,5,448,13,469,0,13,3,11,7,221,431,659,32,4421,484,4940
Campaspe (S),21370,57,3785,46,3880,46,2354,23,2419,58,3344,48,3448,47,1522,19,1588,33,1185,18,1234,6,55,0,58,20,608,927,1553,262,12839,1082,14180,72,5203,48,5320,39,2484,23,2544,63,2804,35,2901,41,1202,20,1262,27,1044,21,1094,3,31,0,38,20,700,973,1695,265,13468,1121,14850,123,8987,91,9205,82,4835,45,4963,125,6141,79,6350,81,2723,45,2854,55,2226,37,2325,6,84,0,98,44,1305,1900,3247,521,26303,2200,29031
Cardinia (S),21450,63,13757,76,13898,37,5365,26,5430,59,7086,55,7201,30,2555,33,2623,12,1477,19,1509,0,120,4,123,12,771,1799,2583,215,31137,2015,33377,104,17907,92,18101,39,4913,35,4983,35,5744,51,5839,16,2070,24,2105,16,1463,27,1502,0,145,4,148,8,821,1852,2683,211,33071,2084,35365,162,31666,169,32005,75,10280,61,10416,95,12832,113,13043,45,4625,58,4731,24,2939,50,3007,0,271,8,274,14,1593,3650,5261,431,64209,4103,68743
Casey (C),21610,153,56574,287,57009,66,12976,94,13134,114,16963,134,17211,49,5872,51,5972,50,4989,57,5103,14,1764,16,1795,16,2490,4988,7498,456,101623,5632,107714,217,62248,379,62844,51,11702,86,11842,102,14443,112,14654,61,5452,67,5570,32,5932,71,6034,3,2148,14,2157,24,2880,4939,7841,489,104801,5664,110954,367,118818,664,119849,118,24676,178,24976,219,31403,244,31865,107,11322,113,11546,81,10917,133,11128,12,3915,31,3954,40,5376,9927,15345,944,206426,11292,218664
Central Goldfields (S),21670,12,1366,20,1394,5,766,0,767,13,1242,23,1270,7,589,11,598,9,527,14,553,0,20,0,21,9,234,301,541,48,4745,365,5150,21,1742,26,1789,9,803,8,825,11,1113,16,1145,7,539,11,555,8,488,17,508,0,16,0,18,0,281,296,584,62,4983,371,5417,25,3116,45,3189,15,1564,10,1591,26,2351,36,2418,16,1123,17,1153,18,1015,32,1063,0,40,0,39,14,520,594,1125,109,9727,732,10572
Colac-Otway (S),21750,23,2574,18,2618,9,1462,10,1484,17,1658,30,1707,9,756,12,776,5,641,15,660,0,75,3,82,0,311,540,852,70,7470,631,8179,35,3419,27,3484,11,1301,28,1338,13,1385,21,1421,4,582,11,595,8,589,12,609,0,58,0,67,8,368,509,881,78,7702,608,8388,56,5993,50,6100,18,2765,43,2821,33,3048,50,3134,21,1332,16,1370,15,1226,24,1269,0,140,5,146,7,673,1046,1727,147,15174,1239,16567
Corangamite (S),21830,14,1723,18,1757,0,1124,13,1137,10,1287,17,1312,7,665,11,677,8,556,10,568,0,17,0,17,3,276,444,725,38,5651,513,6204,16,2417,22,2458,14,1090,17,1119,6,1016,19,1037,6,488,7,501,3,438,12,453,0,14,0,16,3,267,424,699,44,5743,501,6282,30,4144,46,4221,17,2212,32,2258,15,2302,32,2349,16,1159,13,1185,11,993,17,1026,0,33,0,34,4,547,874,1419,81,11387,1011,12482
Darebin (C),21890,164,36146,182,36488,47,4194,38,4282,69,4228,45,4341,35,1841,17,1891,40,3752,57,3846,7,951,12,972,17,1481,3614,5116,378,52586,3968,56936,214,40044,183,40443,41,3572,33,3647,84,3845,40,3977,37,1872,24,1933,27,5433,57,5514,4,1408,11,1425,34,1757,3823,5614,447,57935,4166,62554,378,76186,368,76933,87,7765,68,7925,158,8076,86,8315,68,3711,44,3822,69,9181,113,9361,11,2362,24,2398,53,3237,7438,10727,822,110527,8139,119488
East Gippsland (S),22110,82,5348,59,5489,39,2677,22,2741,95,3950,57,4101,72,1740,24,1833,43,1276,22,1343,6,73,0,75,27,763,1393,2185,362,15827,1584,17781,95,6928,68,7084,56,2832,20,2903,90,3541,43,3674,66,1421,29,1513,54,1147,31,1230,5,50,0,56,38,833,1414,2285,397,16744,1603,18749,172,12272,125,12577,96,5506,44,5648,182,7491,106,7778,139,3163,51,3347,98,2422,52,2575,7,119,3,132,65,1596,2809,4473,762,32577,3187,36531
Frankston (C),22170,136,22450,150,22739,62,7512,50,7623,107,9534,81,9727,30,3401,37,3469,27,1964,27,2023,8,217,6,226,28,1465,2903,4393,401,46543,3251,50197,184,27198,181,27564,66,7064,52,7185,92,8518,94,8706,48,3106,43,3196,23,2404,44,2468,6,231,0,243,21,1819,3080,4919,440,50346,3497,54284,326,49648,328,50297,131,14578,106,14811,202,18048,182,18435,84,6508,77,6667,48,4364,76,4491,11,447,7,467,47,3286,5979,9314,847,96883,6753,104479
Gannawarra (S),22250,8,888,12,911,7,721,4,730,15,1042,7,1066,8,550,10,566,12,408,11,429,4,8,0,17,4,197,261,460,52,3814,309,4182,13,1353,13,1379,11,779,5,788,20,806,13,841,3,382,7,396,7,383,8,396,0,9,0,15,9,198,262,468,57,3903,313,4278,24,2237,25,2290,15,1495,14,1519,30,1849,28,1911,10,932,19,958,16,791,17,820,4,22,0,25,13,386,524,930,111,7719,624,8455
Greater Shepparton (C),22830,125,7924,49,8099,93,3584,36,3717,147,4391,36,4572,91,1996,21,2108,84,1813,33,1924,7,387,7,405,70,1069,1800,2938,630,21161,1975,23767,192,9873,83,10147,105,3440,30,3574,152,3975,49,4176,89,1633,27,1748,63,1761,41,1861,7,364,3,371,53,894,1865,2819,659,21943,2096,24692,315,17801,132,18245,201,7019,68,7292,306,8359,83,8748,177,3622,44,3848,150,3576,72,3792,10,757,9,780,122,1962,3664,5753,1289,43100,4076,48461
Hepburn (S),22910,11,2429,22,2462,9,863,18,884,9,1098,11,1120,5,470,8,483,6,347,10,363,0,11,0,11,3,218,503,725,37,5438,571,6045,19,3055,30,3108,9,873,5,890,4,937,9,958,6,414,12,431,3,338,8,354,0,13,0,13,4,215,559,779,47,5856,635,6535,27,5488,54,5573,13,1742,21,1779,17,2032,24,2076,5,888,17,908,10,687,22,714,0,26,0,26,8,432,1062,1504,83,11288,1201,12575
Hindmarsh (S),22980,3,573,4,581,4,394,3,398,3,496,15,511,3,263,7,273,3,273,4,280,0,30,0,26,0,86,129,211,15,2117,152,2287,11,781,8,799,5,375,0,380,9,401,4,413,3,209,4,213,0,253,6,262,0,21,0,21,8,94,154,250,32,2136,171,2334,17,1353,9,1382,9,769,3,783,8,900,14,929,3,472,11,484,5,528,9,541,0,43,0,49,8,180,277,465,51,4252,327,4628
Hobsons Bay (C),23110,67,19225,113,19403,27,3671,27,3718,31,4168,34,4239,8,1469,17,1503,10,1940,24,1977,0,415,0,417,10,872,1713,2590,157,31758,1931,33851,74,21024,107,21206,30,3129,22,3184,34,3628,30,3687,14,1473,13,1499,10,2676,34,2718,0,612,6,621,8,1046,1764,2817,167,33583,1985,35736,138,40254,220,40611,58,6803,45,6908,65,7796,64,7925,21,2946,33,2997,20,4613,61,4694,0,1024,4,1032,14,1915,3478,5406,319,65346,3916,69582
Horsham (RC),23190,15,2534,17,2568,21,1456,7,1484,12,1377,10,1405,14,578,5,598,8,530,10,545,0,17,0,17,3,255,375,630,76,6747,423,7248,18,3226,20,3265,17,1476,12,1498,18,1265,14,1294,12,596,6,611,6,531,13,543,0,20,0,24,7,319,382,707,82,7431,442,7956,34,5761,40,5837,34,2932,19,2986,32,2639,27,2698,19,1174,14,1207,17,1058,15,1090,3,34,0,38,15,574,757,1338,152,14181,867,15199
Hume (C),23270,146,36145,232,36523,61,7940,65,8069,95,10227,88,10413,51,4285,31,4371,44,5152,58,5257,5,1436,24,1461,20,1959,3607,5584,426,67149,4104,71680,159,38905,246,39312,70,7458,51,7588,115,8763,73,8946,42,3808,36,3891,46,6007,68,6125,0,2235,31,2270,26,1912,3586,5526,460,69090,4092,73646,305,75050,474,75834,133,15404,119,15651,211,18986,166,19365,94,8096,76,8257,92,11164,123,11379,11,3668,54,3729,48,3872,7192,11111,887,136241,8199,145321
Indigo (S),23350,17,2173,23,2210,10,934,11,953,7,1400,20,1434,3,450,3,458,5,335,5,341,0,9,0,14,10,376,352,735,52,5677,411,6139,28,2943,35,2996,5,912,4,927,22,1148,13,1183,3,334,9,342,4,273,8,282,0,20,0,20,6,261,341,601,72,5884,403,6356,39,5112,54,5205,18,1845,13,1880,32,2549,30,2610,7,786,8,805,9,602,14,625,0,30,0,33,17,635,693,1338,122,11560,817,12496
Kingston (C) (Vic.),23430,87,34238,167,34491,37,6487,48,6573,38,6796,46,6872,9,2341,21,2370,9,2485,34,2529,3,546,8,559,10,1242,2758,4007,188,54129,3085,57400,111,37717,188,38015,23,6046,51,6122,31,6551,54,6633,8,2386,22,2422,8,3522,52,3578,3,745,6,756,13,1707,2859,4576,204,58676,3228,62102,197,71959,357,72508,62,12537,100,12694,64,13344,93,13504,21,4727,38,4789,22,6002,90,6111,7,1297,19,1315,18,2951,5613,8584,393,112802,6310,119508
Knox (C),23670,79,32408,168,32655,52,7692,58,7794,74,8730,71,8870,14,3032,35,3078,11,2047,28,2086,4,380,3,389,5,1231,2029,3270,248,55511,2394,58148,88,36552,166,36809,39,7467,67,7574,50,7981,44,8074,26,2979,27,3030,12,2765,38,2812,4,506,3,515,8,1733,2085,3827,222,59988,2432,62646,170,68964,336,69468,89,15162,124,15371,124,16708,116,16946,40,6004,67,6109,26,4818,66,4900,6,887,4,900,18,2964,4114,7100,466,115501,4823,120789
Latrobe (C) (Vic.),23810,82,9223,64,9372,48,4902,46,5003,75,5855,55,5986,44,2170,28,2244,44,1829,21,1895,7,137,3,148,24,982,2090,3096,324,25099,2314,27737,84,11388,69,11548,56,4611,43,4710,92,5224,59,5377,43,2321,35,2395,39,2133,34,2202,5,158,4,167,19,1143,2216,3374,339,26982,2457,29779,163,20615,137,20919,108,9515,84,9709,175,11079,111,11363,87,4496,60,4637,76,3960,57,4094,12,289,10,315,44,2125,4308,6476,662,52079,4766,57511
Loddon (S),23940,5,729,13,746,0,502,7,507,7,704,16,723,7,326,3,339,14,323,6,340,0,9,0,9,6,159,301,468,44,2754,344,3139,6,947,6,960,6,475,3,481,10,490,13,506,9,256,5,265,8,240,9,262,0,7,0,7,6,168,280,453,39,2584,312,2934,9,1671,17,1703,4,968,4,983,11,1188,31,1236,14,584,7,605,15,567,17,598,0,18,0,18,10,325,581,916,79,5336,658,6066
Macedon Ranges (S),24130,35,8098,57,8192,10,2597,18,2633,28,2791,24,2836,11,1001,13,1025,7,693,9,711,0,41,0,48,3,413,1051,1467,92,15631,1181,16905,37,9912,73,10022,6,2431,23,2463,16,2299,13,2331,11,809,15,838,4,621,6,636,0,40,5,42,8,411,1152,1568,89,16524,1293,17902,77,18010,132,18215,16,5028,44,5093,41,5083,42,5166,17,1810,30,1858,12,1316,16,1342,0,81,3,91,11,825,2200,3036,178,32155,2473,34806
Manningham (C),24210,33,29700,134,29867,13,3778,26,3810,21,3771,30,3816,0,1466,13,1481,0,2086,23,2114,0,455,5,464,0,877,1581,2455,67,42129,1810,44002,30,31483,167,31687,15,3964,33,4013,15,4285,38,4337,4,1706,16,1724,6,3036,30,3071,0,698,4,703,4,1284,1740,3024,72,46463,2036,48568,64,61186,301,61555,22,7741,63,7829,31,8057,68,8155,5,3174,26,3205,6,5123,61,5185,3,1159,8,1171,3,2161,3323,5485,136,88593,3849,92576
Mansfield (S),24250,8,1200,4,1206,3,550,10,561,4,675,5,685,3,288,7,297,0,199,3,199,0,4,0,7,0,126,250,379,13,3036,277,3327,16,1564,13,1592,3,544,0,548,3,490,8,500,5,198,4,205,3,159,4,169,0,8,0,8,0,124,228,351,28,3082,257,3371,19,2764,18,2802,5,1095,7,1105,10,1161,14,1182,3,489,5,500,3,353,5,368,0,13,0,10,0,244,485,730,44,6118,536,6704
Maribyrnong (C),24330,88,22621,89,22801,25,2223,23,2270,22,2417,22,2462,14,902,11,931,12,1470,21,1500,3,565,6,581,11,886,2176,3079,178,31083,2348,33612,86,22513,106,22704,19,1710,13,1738,29,2086,19,2128,10,941,9,955,3,2117,22,2145,0,793,8,807,8,812,2134,2950,145,30965,2312,33423,177,45130,195,45505,39,3933,37,4005,48,4504,39,4593,21,1843,20,1882,19,3586,43,3643,3,1361,16,1383,21,1702,4311,6031,325,62051,4660,67041
Maroondah (C),24410,71,22720,77,22873,23,5657,33,5710,48,5771,45,5868,12,1903,18,1931,11,1500,13,1522,0,329,7,336,6,754,1551,2316,170,38629,1755,40559,85,26363,121,26571,28,5401,37,5465,41,5524,46,5610,13,1964,20,1996,7,2014,28,2048,0,402,3,406,12,1090,1788,2893,187,42753,2054,44991,163,49079,201,49444,47,11059,68,11180,93,11295,95,11483,24,3862,35,3923,24,3507,42,3571,0,732,9,744,19,1845,3342,5204,362,81382,3805,85553
Melbourne (C),24600,130,46641,199,46963,12,2550,20,2581,23,1763,20,1811,9,659,8,677,8,609,4,628,3,299,3,308,47,1110,6772,7930,230,53628,7038,60897,129,50354,199,50685,13,2395,34,2439,16,1665,15,1704,7,679,11,699,3,874,13,890,7,470,4,484,7,985,6753,7748,192,57422,7033,64646,255,96988,399,97649,25,4946,53,5023,42,3429,40,3511,18,1339,19,1378,17,1478,17,1516,5,769,10,791,55,2091,13526,15674,419,111055,14064,125536
Melton (C),24650,97,23596,134,23826,41,5807,50,5906,78,7513,50,7639,33,2798,34,2858,32,2225,22,2281,3,473,5,484,83,1818,2457,4357,373,44237,2749,47359,147,27341,153,27639,63,5136,36,5237,98,6449,57,6606,33,2488,26,2544,28,2620,36,2687,0,651,8,655,46,1526,2544,4114,416,46202,2867,49486,247,50939,285,51467,108,10947,86,11142,179,13958,108,14245,67,5285,59,5406,60,4850,62,4969,3,1124,10,1138,128,3343,5003,8472,787,90443,5611,96845
Mildura (RC),24780,105,6225,51,6383,56,2867,38,2959,151,4297,56,4504,91,1755,27,1876,59,1642,27,1732,3,245,3,245,28,836,1645,2515,497,17868,1850,20213,157,7860,72,8086,99,2916,23,3035,191,3774,49,4010,89,1629,24,1743,63,1669,31,1761,4,215,0,220,54,923,1558,2536,653,18982,1757,21390,255,14083,125,14465,154,5782,53,5994,344,8071,106,8513,181,3381,56,3616,123,3314,62,3493,8,456,5,470,86,1760,3204,5049,1145,36851,3604,41601
Mitchell (S),24850,61,5425,54,5535,36,2415,25,2480,47,3190,47,3284,23,1407,20,1450,13,821,4,839,0,62,0,63,5,509,1152,1662,184,13825,1301,15309,69,6764,61,6893,33,2156,27,2218,35,2601,26,2665,15,1054,14,1082,14,801,15,826,0,42,0,46,6,545,1160,1711,177,13963,1303,15436,125,12191,114,12422,69,4569,54,4690,90,5792,74,5951,39,2458,30,2528,22,1624,19,1666,0,106,0,104,13,1060,2306,3378,354,27787,2601,30746
Moira (S),24900,31,2899,23,2952,23,1837,22,1884,44,2641,33,2720,25,1229,16,1266,18,1032,23,1064,0,57,0,57,15,558,830,1403,147,10252,941,11346,44,4105,37,4185,21,1777,16,1817,38,2342,24,2405,7,935,12,952,21,829,17,864,0,53,0,51,11,552,800,1362,142,10593,904,11640,74,7004,60,7134,50,3622,36,3704,79,4984,56,5123,31,2159,22,2219,34,1854,40,1930,0,110,0,109,25,1113,1625,2767,291,20842,1842,22980
Monash (C),24970,77,50846,195,51120,16,4941,32,4993,22,5189,39,5255,10,2019,19,2046,9,2881,40,2928,5,694,10,706,6,1372,3012,4388,147,67948,3342,71435,80,52374,195,52649,20,4993,40,5045,22,5523,39,5581,5,2246,17,2268,14,4180,61,4251,0,1065,5,1080,0,1798,3061,4865,145,72170,3428,75738,159,103217,394,103772,37,9929,70,10037,44,10712,84,10836,14,4261,37,4312,20,7059,98,7182,5,1760,14,1784,9,3168,6075,9254,289,140114,6767,147173
Sutherland Shire (A),17150,366,46357,198,46924,58,4244,38,4337,238,19704,113,20049,41,3273,26,3344,33,1784,14,1832,8,271,3,286,31,1465,3052,4548,763,77104,3448,81319,388,50346,221,50954,68,3365,25,3453,212,20673,136,21020,38,4270,35,4344,20,2361,27,2402,3,323,3,328,34,2066,3083,5172,763,83397,3523,87684,752,96708,416,97876,124,7606,60,7797,449,40374,248,41069,79,7548,63,7692,54,4147,36,4236,6,591,5,609,60,3526,6128,9717,1526,160501,6972,168996
Sydney (C),17200,465,72216,304,72985,75,2942,26,3040,190,5498,37,5720,96,1349,14,1458,57,1321,17,1403,10,579,10,597,67,1680,12829,14572,958,85584,13236,99775,411,68873,294,69577,68,2252,6,2328,182,4554,30,4767,105,1167,14,1283,56,1524,12,1599,7,750,8,770,61,1769,10217,12049,892,80906,10583,92379,875,141087,600,142564,145,5194,34,5374,370,10057,60,10486,197,2517,30,2744,122,2852,33,2998,18,1327,13,1365,125,3447,23043,26620,1849,166488,23815,192160
Tamworth Regional (A),17310,315,7083,50,7454,150,1208,16,1374,603,6400,84,7092,223,1715,29,1973,185,1198,20,1404,15,80,6,96,140,722,1538,2404,1633,18409,1756,21788,496,8696,67,9266,176,1245,7,1434,621,6516,69,7212,227,1715,22,1962,143,1030,22,1193,12,71,0,82,111,762,1617,2489,1787,20034,1816,23635,816,15784,125,16716,325,2453,26,2806,1227,12919,157,14305,447,3430,56,3932,326,2230,42,2592,24,152,7,184,252,1482,3158,4888,3421,38442,3566,45424
Temora (A),17350,13,590,4,603,9,149,3,157,10,849,5,871,5,260,3,274,4,161,3,174,3,4,0,8,0,88,121,215,46,2108,146,2295,13,748,8,765,0,131,3,132,18,833,7,867,3,238,4,244,3,170,0,169,0,8,0,8,3,97,119,222,41,2225,144,2413,23,1340,14,1372,10,274,4,288,29,1684,12,1736,13,495,7,521,11,332,7,346,3,12,0,16,3,190,249,440,90,4329,293,4711
Strathfield (A),17100,25,12401,43,12462,3,415,0,420,12,1235,3,1247,8,284,3,295,8,455,0,461,0,195,0,197,0,288,1135,1427,50,15273,1196,16519,29,11869,46,11939,3,319,3,325,8,1339,13,1357,0,341,4,347,0,638,4,641,0,282,0,286,0,312,936,1250,35,15103,1007,16143,50,24267,92,24402,3,733,3,742,17,2576,18,2608,4,627,9,637,8,1090,3,1104,3,484,0,482,3,601,2079,2676,90,30376,2199,32659
Tenterfield (A),17400,16,719,6,742,11,162,0,170,38,792,11,842,17,239,4,262,18,206,5,232,0,9,0,14,10,110,269,388,110,2233,303,2640,33,858,14,908,18,173,0,191,29,814,10,858,19,231,0,251,13,134,4,151,0,5,0,5,12,89,299,392,129,2299,328,2759,56,1574,25,1649,33,331,0,366,68,1609,22,1695,37,469,4,509,32,337,13,380,0,16,0,20,18,199,569,781,237,4534,633,5402
Glenelg (S),22410,24,2028,21,2076,27,1407,15,1448,32,1737,20,1785,10,827,6,846,13,712,14,734,0,19,0,24,15,274,574,865,125,7003,649,7778,41,2750,30,2817,22,1383,18,1420,32,1488,16,1540,19,611,8,645,15,565,4,585,3,19,0,23,6,318,551,874,138,7129,634,7901,63,4775,56,4896,46,2790,37,2870,64,3225,32,3323,28,1442,14,1486,29,1271,20,1320,7,42,3,48,23,589,1119,1732,266,14129,1287,15678
Golden Plains (S),22490,11,2883,30,2926,12,1480,10,1499,12,1812,13,1837,9,660,10,673,3,442,4,445,3,12,0,18,0,212,399,611,57,7501,466,8019,21,3753,35,3810,6,1335,9,1353,14,1253,14,1286,5,489,11,500,3,301,3,310,0,12,0,12,0,197,382,580,53,7340,461,7851,34,6634,65,6737,16,2813,21,2847,31,3071,30,3125,12,1151,21,1178,11,741,8,759,3,25,0,23,0,411,786,1195,105,14836,921,15864
