lga_code16,p_aged_15_yr_over_m,p_aged_15_yr_over_f,p_aged_15_yr_over_p,lab_for_st_empl_worked_ft_m,lab_for_st_empl_worked_ft_f,lab_for_st_empl_worked_ft_p,lab_for_st_empl_worked_pt_m,lab_for_st_empl_worked_pt_f,lab_for_st_empl_worked_pt_p,lab_for_st_empl_awy_frm_wrk_m,lab_for_st_empl_awy_frm_wrk_f,lab_for_st_empl_awy_frm_wrk_p,lab_for_st_unemp_lkg_fr_wrk_m,lab_for_st_unemp_lkg_fr_wrk_f,lab_for_st_unemp_lkg_fr_wrk_p,lab_for_st_tot_labour_force_m,lab_for_st_tot_labour_force_f,lab_for_st_tot_labour_force_p,lab_for_st_n_the_lbour_frce_m,lab_for_st_n_the_lbour_frce_f,lab_for_st_n_the_lbour_frce_p,percent_unemployment_m,percent_unemployment_f,percent_unemployment_p,pcent_lab_force_particip_m,pcent_lab_force_particip_f,pcent_lab_force_particip_p,pcent_employmnt_to_pop_m,pcent_employmnt_to_pop_f,pcent_employmnt_to_pop_p,non_sc_quals_postgrad_deg_m,non_sc_quals_postgrad_deg_f,non_sc_quals_postgrad_deg_p,non_sc_qua_gra_dip_gra_cer_m,non_sc_qua_gra_dip_gra_cer_f,non_sc_qua_gra_dip_gra_cer_p,non_sc_quals_bachelor_deg_m,non_sc_quals_bachelor_deg_f,non_sc_quals_bachelor_deg_p,non_sc_quals_adv_dip_dip_m,non_sc_quals_adv_dip_dip_f,non_sc_quals_adv_dip_dip_p,non_sc_quals_cert3a4_level_m,non_sc_quals_cert3a4_level_f,non_sc_quals_cert3a4_level_p,non_sc_quals_cert1a2_level_m,non_sc_quals_cert1a2_level_f,non_sc_quals_cert1a2_level_p,non_sc_quals_certnfd_level_m,non_sc_quals_certnfd_level_f,non_sc_quals_certnfd_level_p,non_sc_quals_certtot_level_m,non_sc_quals_certtot_level_f,non_sc_quals_certtot_level_p,mig_lvd_same_add_1_yr_ago_m,mig_lvd_same_add_1_yr_ago_f,mig_lvd_same_add_1_yr_ago_p,mig_lvd_diff_add_1_yr_ago_m,mig_lvd_diff_add_1_yr_ago_f,mig_lvd_diff_add_1_yr_ago_p,mig_lvd_same_add_5_yr_ago_m,mig_lvd_same_add_5_yr_ago_f,mig_lvd_same_add_5_yr_ago_p,mig_lvd_diff_add_5_yr_ago_m,mig_lvd_diff_add_5_yr_ago_f,mig_lvd_diff_add_5_yr_ago_p,lga_name16
18230,19579,20743,40320,8944,5720,14660,1858,4571,6431,537,678,1209,727,649,1378,12068,11615,23686,5833,7428,13253,6.0,5.6,5.8,61.6,56.0,58.7,57.9,52.9,55.3,403,456,859,197,384,587,1456,2706,4165,1055,1885,2943,5103,2776,7873,179,446,630,302,550,857,5586,3774,9360,18000,18959,36960,3526,3853,7380,11879,12414,24297,8471,9237,17708,Western Plains Regional (A)
18250,28251,31871,60121,14580,9745,24332,3629,6858,10483,599,910,1506,969,955,1926,19777,18472,38243,7120,11810,18927,4.9,5.2,5.0,70.0,58.0,63.6,66.6,54.9,60.4,4211,4093,8303,665,1020,1687,8880,9734,18610,2266,3312,5584,2067,1145,3210,97,213,309,383,706,1088,2551,2067,4612,26917,29299,56215,6011,6653,12661,16133,17686,33820,15396,16935,32330,Willoughby (C)
18350,18158,20627,38786,7639,4288,11919,2446,5107,7551,442,509,947,392,417,807,10913,10319,21228,6159,9022,15186,3.6,4.0,3.8,60.1,50.0,54.7,58.0,48.0,52.6,880,830,1713,304,537,845,2235,3116,5357,1472,2503,3976,4851,2170,7021,135,342,473,383,824,1205,5366,3342,8707,17304,19079,36386,3164,3529,6694,11218,12255,23471,8555,9715,18274,Wingecarribee (A)
18400,18330,18929,37255,10101,5325,15423,1889,5159,7048,602,681,1284,459,537,999,13051,11703,24756,4341,6254,10598,3.5,4.6,4.0,71.2,61.8,66.5,68.7,59.0,63.8,368,550,922,143,316,462,1205,2133,3333,1233,2168,3396,6462,2586,9043,149,374,518,339,621,957,6947,3574,10520,19349,19498,38851,2761,2854,5613,13109,13029,26134,7785,8159,15939,Wollondilly (A)
18450,80830,84473,165304,33409,18523,51930,9895,21034,30927,2150,2479,4633,3759,3064,6827,49211,45106,94318,27459,35099,62558,7.6,6.8,7.2,60.9,53.4,57.1,56.2,49.8,52.9,4008,3980,7984,1073,2001,3076,9558,12217,21771,6207,8580,14779,20757,9392,30145,691,1403,2090,1379,2627,4002,22825,13419,36243,78231,80854,159082,13203,13356,26559,54461,56218,110675,33452,34491,67946,Wollongong (C)
18500,20664,24548,45210,10787,8247,19040,2702,4874,7578,427,697,1120,484,489,964,14394,14311,28706,4485,8009,12498,3.4,3.4,3.4,69.7,58.3,63.5,67.3,56.3,61.4,3034,2863,5897,468,793,1264,6907,8081,14985,1399,2411,3809,1345,739,2083,72,118,188,295,509,809,1707,1369,3078,17570,20058,37629,4476,5309,9789,10095,11920,22010,11318,12983,24300,Woollahra (A)
18710,6080,6428,12509,3124,1979,5103,767,1656,2420,238,295,532,126,127,250,4252,4047,8299,1426,1931,3361,3.0,3.1,3.0,69.9,63.0,66.3,67.9,61.1,64.4,325,345,672,134,248,379,753,1160,1914,525,663,1185,1501,638,2143,47,86,134,92,195,285,1639,920,2555,6234,6417,12649,967,1057,2023,4390,4420,8812,2400,2708,5113,Yass Valley (A)
19399,608,466,1076,299,157,453,63,87,145,36,23,61,9,4,10,403,275,676,98,129,226,2.2,1.5,1.5,66.3,59.0,62.8,65.5,57.3,61.2,13,15,32,3,13,12,35,74,115,32,56,86,143,54,198,4,5,9,20,12,28,168,71,238,517,412,932,49,55,103,397,306,707,156,139,289,Unincorporated NSW
20110,5363,5630,10997,2054,1182,3236,768,1482,2245,232,236,470,150,78,231,3205,2982,6189,1642,2094,3740,4.7,2.6,3.7,59.8,53.0,56.3,56.9,51.5,54.1,129,148,280,87,197,284,474,805,1280,414,631,1048,1475,597,2069,45,89,134,74,134,214,1600,821,2418,5056,5181,10238,724,799,1526,3646,3687,7339,1918,2076,3995,Alpine (S)
20260,5201,4445,9645,1827,951,2778,567,1085,1646,146,151,295,145,102,248,2679,2295,4971,2151,1843,4001,5.4,4.4,5.0,51.5,51.6,51.5,48.8,49.2,48.9,42,65,100,47,116,161,259,487,746,283,456,741,1073,518,1593,42,60,106,64,94,157,1181,669,1855,4233,4167,8401,655,676,1329,3122,3075,6196,1518,1578,3094,Ararat (RC)
20570,38139,42558,80695,16440,8854,25298,5026,11631,16660,993,1441,2432,1873,1590,3461,24336,23514,47854,11562,16552,28119,7.7,6.8,7.2,63.8,55.3,59.3,58.9,51.5,55.0,1302,1405,2708,768,1465,2232,4194,6246,10444,2772,4055,6823,9308,5128,14439,330,714,1045,496,748,1240,10135,6583,16720,36294,39064,75360,7375,8225,15596,23003,24805,47809,18650,20613,39264,Ballarat (C)
