lga_name_2016,lga_code_2016,oh_r_tot_ds_sh,oh_r_tot_ds_sdrtht,oh_r_tot_ds_fa,oh_r_tot_ds_od_c,oh_r_tot_ds_od_ch,oh_r_tot_ds_od_ih_t_so,oh_r_tot_od_hf_a_so,oh_r_tot_ds_od_tot,oh_r_tot_ds_ns,oh_r_tot_ds_tot,oh_ott_ds_sh,oh_ott_ds_sdrtht,oh_ott_ds_fa,oh_ott_ds_od_c,oh_ott_ds_od_ch,oh_ott_ds_od_ih_t_so,oh_ott_od_hf_a_so,oh_ott_ds_od_tot,oh_ott_ds_ns,oh_ott_ds_tot,oh_t_ns_ds_sh,oh_t_ns_ds_sdrtht,oh_t_ns_ds_fa,oh_t_ns_ds_od_c,oh_t_ns_ds_od_ch,oh_t_ns_ds_od_ih_t_so,oh_t_ns_od_hf_a_so,oh_t_ns_ds_od_tot,oh_t_ns_ds_ns,oh_t_ns_ds_tot,oh_tot_ds_shouse,oh_tot_ds_sdrtht,oh_tot_ds_f_u_or_a,oh_tot_ds_od_c,oh_tot_ds_od_ch,oh_tot_ds_od_ih_t_so,oh_tot_ds_od_hf_a_to_a_s_o,oh_tot_ds_od_tot,oh_tot_ds_ns,oh_tot_tot,t_h_oo_ds_sh,t_h_oo_ds_sdrtht,t_h_oo_ds_fa,t_h_oo_ds_od_c,t_h_oo_ds_od_ch,t_h_oo_ds_od_ih_t_so,t_h_oo_od_hf_a_so,t_h_oo_ds_od_tot,t_h_oo_ds_ns,t_h_oo_ds_tot,t_h_m_ds_sh,t_h_m_ds_sdrtht,t_h_m_ds_fa,t_h_m_ds_od_c,t_h_m_ds_od_ch,t_h_m_ds_od_ih_t_so,t_h_m_od_hf_a_so,t_h_m_ds_od_tot,t_h_m_ds_ns,t_h_m_ds_tot,t_h_rrea_ds_sh,t_h_rrea_ds_sdrtht,t_h_rrea_ds_fa,t_h_rrea_ds_od_c,t_h_rrea_ds_od_ch,t_h_rrea_ds_od_ih_t_so,t_h_rrea_od_hf_a_so,t_h_rrea_ds_od_tot,t_h_rrea_ds_ns,t_h_rrea_ds_tot,t_h_rha_ds_sh,t_h_rha_ds_sdrtht,t_h_rha_ds_fa,t_h_rha_ds_od_c,t_h_rha_ds_od_ch,t_h_rha_ds_od_ih_t_so,t_h_rha_od_hf_a_so,t_h_rha_ds_od_tot,t_h_rha_ds_ns,t_h_rha_ds_tot,t_h_r_psh_ds_sh,t_h_r_psh_ds_sdrtht,t_h_r_psh_ds_fa,t_h_r_psh_ds_od_c,t_h_r_psh_ds_od_ch,t_h_r_psh_ds_od_ih_t_so,t_h_r_psh_od_hf_a_so,t_h_r_psh_ds_od_tot,t_h_r_psh_ds_ns,t_h_r_psh_ds_tot,t_h_r_hcc_ds_sh,t_h_r_hcc_ds_sdrtht,t_h_r_hcc_ds_fa,t_h_r_hcc_ds_od_c,t_h_r_hcc_ds_od_ch,t_h_r_hcc_ds_od_ih_t_so,t_h_r_hcc_od_hf_a_so,t_h_r_hcc_ds_od_tot,t_h_r_hcc_ds_ns,t_h_r_hcc_ds_tot,t_h_r_olt_ds_sh,t_h_r_olt_ds_sdrtht,t_h_r_olt_ds_fa,t_h_r_olt_ds_od_c,t_h_r_olt_ds_od_ch,t_h_r_olt_ds_od_ih_t_so,t_h_r_olt_od_hf_a_so,t_h_r_olt_ds_od_tot,t_h_r_olt_ds_ns,t_h_r_olt_ds_tot,t_h_r_lns_ds_sh,t_h_r_lns_ds_sdrtht,t_h_r_lns_ds_fa,t_h_r_lns_ds_od_c,t_h_r_lns_ds_od_ch,t_h_r_lns_ds_od_ih_t_so,t_h_r_lns_od_hf_a_so,t_h_r_lns_ds_od_tot,t_h_r_lns_ds_ns,t_h_r_lns_ds_tot,t_h_r_tot_ds_sh,t_h_r_tot_ds_sdrtht,t_h_r_tot_ds_fa,t_h_r_tot_ds_od_c,t_h_r_tot_ds_od_ch,t_h_r_tot_ds_od_ih_t_so,t_h_r_tot_od_hf_a_so,t_h_r_tot_ds_od_tot,t_h_r_tot_ds_ns,t_h_r_tot_ds_tot,t_h_ott_ds_sh,t_h_ott_ds_sdrtht,t_h_ott_ds_fa,t_h_ott_ds_od_c,t_h_ott_ds_od_ch,t_h_ott_ds_od_ih_t_so,t_h_ott_od_hf_a_so,t_h_ott_ds_od_tot,t_h_ott_ds_ns,t_h_ott_ds_tot,t_h_t_ns_ds_sh,t_h_t_ns_ds_sdrtht,t_h_t_ns_ds_fa,t_h_t_ns_ds_od_c,t_h_t_ns_ds_od_ch,t_h_t_ns_ds_od_ih_t_so,t_h_t_ns_od_hf_a_so,t_h_t_ns_ds_od_tot,t_h_t_ns_ds_ns,t_h_t_ns_ds_tot,t_h_tot_ds_sh,t_h_tot_ds_sdrtht,t_h_tot_ds_fa,t_h_tot_ds_od_c,t_h_tot_ds_od_ch,t_h_tot_ds_od_ih_t_so,t_h_tot_od_hf_a_so,t_h_tot_ds_od_tot,t_h_tot_ds_ns,t_h_tot_ds_tot
Tablelands (R),36820,1623,177,251,26,14,5,12,53,15,2117,68,3,0,4,0,0,0,3,0,85,219,5,23,9,3,0,0,16,7,272,7868,225,350,131,32,19,29,208,41,8693,3792,40,55,90,9,12,9,117,13,4018,2378,4,20,5,0,4,7,18,14,2439,796,61,125,0,0,0,0,5,6,988,105,53,74,0,0,0,0,0,0,226,806,55,80,4,0,0,10,15,5,958,43,18,18,0,0,0,0,0,0,82,130,8,11,26,13,0,0,37,5,201,91,5,11,4,0,0,0,11,0,120,1982,203,315,40,14,5,7,64,13,2574,69,3,0,4,0,0,0,3,0,83,236,6,25,14,3,0,0,16,7,292,8462,258,412,146,32,19,30,221,46,9397
Toowoomba (R),36910,10995,3774,1714,31,11,0,40,85,122,16696,203,308,91,3,0,0,0,3,17,614,983,249,97,4,0,0,6,11,109,1453,46082,6200,2513,145,25,25,106,307,374,55474,16928,1261,417,99,8,8,24,144,65,18808,17917,624,198,13,6,11,36,66,66,18869,7525,2803,1290,3,0,0,27,27,54,11705,640,483,192,0,0,0,3,3,9,1324,3120,503,225,0,0,3,13,14,31,3888,90,99,65,0,0,0,0,0,3,262,643,76,39,25,12,0,0,45,30,830,269,42,16,0,0,0,3,0,3,339,12290,4001,1825,30,11,3,46,95,132,18345,215,309,93,3,0,0,0,3,17,631,1048,268,107,4,0,0,5,17,116,1548,48398,6466,2638,146,25,27,112,322,385,58204
Torres (S),36950,172,20,31,0,0,0,3,4,0,231,3,0,0,0,0,0,0,0,0,3,46,3,3,0,0,4,0,7,0,58,240,27,36,0,0,12,4,17,0,322,67,3,0,0,0,3,0,3,0,76,27,3,0,0,0,0,0,0,0,35,8,0,0,0,0,0,0,0,0,8,218,12,48,0,0,0,0,0,0,282,50,0,8,0,0,0,0,0,0,59,44,7,4,0,0,0,0,0,0,56,169,24,30,0,0,0,3,3,0,219,19,3,4,0,3,0,0,3,0,30,500,47,92,0,3,3,3,6,0,646,4,0,0,0,0,0,0,0,0,6,121,11,8,0,3,4,3,8,0,147,722,61,100,0,5,12,7,21,0,908
Torres Strait Island (R),36960,47,10,4,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,55,10,4,0,0,0,0,0,0,66,27,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,42,3,0,0,0,0,0,0,764,9,0,0,0,0,0,0,0,0,9,56,0,0,0,0,0,0,0,0,57,48,8,4,0,0,0,0,0,0,65,17,0,0,0,0,0,0,0,0,17,851,51,6,0,0,0,0,0,0,907,11,0,0,0,0,0,0,0,0,18,31,0,0,0,0,0,0,0,0,33,922,51,8,0,0,0,0,4,0,988
Townsville (C),37010,14169,4483,3369,37,31,7,13,86,85,22189,363,146,22,3,0,0,0,4,7,542,1003,223,158,15,3,0,3,23,45,1460,49247,6202,4571,358,103,30,32,527,226,60768,13296,757,527,290,63,11,5,365,38,14991,21837,630,520,25,3,15,8,53,49,23085,9761,3299,2505,5,9,0,0,20,46,15627,1491,753,389,0,0,0,4,7,3,2635,3476,688,474,8,5,3,5,29,27,4694,99,78,93,0,0,0,0,0,0,266,1476,114,112,31,25,0,3,53,14,1772,213,51,36,0,3,0,0,3,7,310,16512,4979,3609,50,39,6,13,109,94,25313,375,145,26,3,0,0,0,4,7,562,1146,260,176,15,3,0,3,23,61,1661,53162,6771,4858,377,112,33,38,560,253,65599
Brisbane (C),31000,60348,23606,58180,245,421,8,254,932,781,143847,1184,892,1054,4,9,8,8,24,28,3187,5287,1541,2264,32,38,24,20,111,472,9670,266509,41208,84417,465,699,62,485,1718,1733,395591,90477,6015,10011,176,218,19,76,484,177,107159,111795,9270,13085,21,21,3,134,179,281,134609,39883,16040,41839,13,6,0,158,169,494,98424,5578,2773,5669,3,0,0,23,34,38,14091,14717,3935,9539,6,9,0,70,89,177,28456,505,604,1096,0,0,0,5,10,25,2238,1875,782,937,245,424,3,7,688,64,4347,936,214,456,3,0,0,6,16,13,1637,63494,24349,59538,266,448,8,270,996,809,149187,1206,901,1059,4,9,8,8,24,34,3217,5463,1585,2330,33,39,30,24,122,482,9982,272437,42115,86018,504,730,68,508,1809,1776,404159
Burke (S),31950,14,0,0,0,0,0,3,3,7,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,27,0,0,7,0,0,3,12,11,51,9,0,0,11,0,0,0,10,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,13,17,0,0,0,0,0,0,0,4,24,3,0,0,0,0,0,0,0,0,3,42,0,0,0,0,0,3,3,3,58,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,3,9,62,0,0,11,0,3,4,13,9,91
Cairns (R),32080,8879,3040,5942,51,53,7,56,172,141,18170,181,172,27,3,3,0,0,7,7,398,834,170,325,13,20,3,4,35,118,1478,36430,4703,8526,225,163,23,87,493,389,50547,11174,636,1096,157,78,12,15,265,72,13241,16662,737,1198,7,7,0,13,30,53,18689,6411,2175,4817,0,4,0,24,25,74,13504,1094,457,646,0,0,0,0,3,11,2206,2731,737,1075,8,3,3,26,42,48,4634,100,82,65,0,0,0,0,0,0,245,401,102,179,53,44,0,8,103,23,813,177,46,73,7,3,0,0,8,6,303,10911,3590,6864,63,53,7,62,181,162,21706,193,177,30,3,3,0,0,7,7,413,959,198,402,14,45,3,4,58,122,1742,39903,5334,9591,240,184,23,95,541,422,55790
Carpentaria (S),32250,129,0,16,3,0,3,0,7,8,167,6,0,0,0,0,0,0,0,0,13,14,0,0,11,0,0,0,11,0,30,305,6,16,62,5,8,0,74,24,424,114,0,0,43,0,6,0,53,12,185,64,0,0,0,0,0,0,4,3,71,3,0,0,0,0,0,0,0,0,3,103,0,7,0,0,0,0,0,0,110,59,0,7,3,0,0,0,4,0,73,39,0,0,0,0,0,0,0,3,40,79,0,9,3,0,3,0,11,3,101,16,0,0,0,0,0,0,0,4,23,297,0,21,4,0,4,0,14,6,338,11,0,0,0,0,0,0,0,0,17,30,0,0,11,0,0,0,11,0,44,523,6,26,61,5,7,0,77,25,655
Boulia (S),30900,39,0,0,0,0,0,0,0,0,42,4,0,0,0,0,0,0,3,0,11,7,0,0,0,0,0,0,0,0,11,89,0,0,3,0,0,3,6,7,96,32,0,0,0,0,0,0,0,3,35,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,5,30,0,3,0,0,0,0,0,4,37,3,0,0,0,0,0,0,0,0,3,57,5,0,0,0,0,0,0,3,69,4,0,0,0,0,0,0,3,0,11,6,0,0,0,0,0,0,0,0,9,111,5,0,3,0,0,3,5,6,135
Bulloo (S),31750,31,0,0,0,0,0,0,0,0,39,7,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,8,95,0,0,3,0,0,0,3,6,103,35,0,0,0,0,0,0,0,0,37,33,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,6,35,0,0,0,0,0,0,0,0,42,8,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,8,114,0,0,3,0,0,0,3,6,125
Bundaberg (R),31820,6626,1266,1240,79,37,9,29,158,54,9337,277,117,32,3,0,0,3,6,10,441,756,131,74,27,10,5,4,50,30,1041,28847,2211,1719,380,149,62,50,648,148,33568,11987,581,244,274,98,24,12,415,37,13254,9813,126,131,5,0,21,3,32,29,10135,4148,685,750,3,4,0,13,17,17,5615,427,382,203,0,0,0,0,0,3,1015,2264,187,236,11,3,3,14,32,18,2734,43,60,76,0,0,0,0,0,0,174,303,42,47,64,35,0,8,107,10,517,189,19,24,5,0,0,4,7,3,244,7374,1374,1333,87,40,9,31,167,56,10309,281,121,32,3,0,0,3,6,10,447,803,134,76,28,10,5,4,52,29,1094,30258,2335,1821,390,159,63,54,670,159,35244
Burdekin (S),31900,1171,31,356,4,8,3,7,16,7,1587,48,0,7,0,0,0,0,0,0,53,129,0,11,12,3,0,0,11,29,180,5430,40,472,95,6,18,17,135,52,6122,2463,3,69,77,0,6,10,92,5,2641,1749,3,26,3,0,3,0,14,3,1791,624,24,282,0,0,0,3,6,0,940,95,3,34,0,0,0,0,0,0,134,388,0,37,3,0,0,7,6,0,438,24,0,29,0,0,0,0,0,0,51,156,0,9,0,3,3,3,10,3,177,78,6,9,0,0,0,0,0,0,95,1371,37,400,7,8,3,11,20,7,1838,44,0,7,0,0,0,0,0,0,51,148,0,19,12,4,0,0,13,29,207,5781,43,522,92,7,18,20,138,51,6530
Cassowary Coast (R),32260,1841,154,520,30,16,6,87,141,31,2691,62,0,0,5,0,0,0,4,0,71,242,7,32,25,0,0,3,27,10,326,8302,195,631,168,37,22,118,341,84,9556,3820,13,52,104,18,10,15,143,22,4046,2622,18,30,18,0,8,5,27,22,2727,1013,109,378,0,0,0,56,53,6,1567,154,20,87,0,0,0,8,10,4,271,867,37,102,6,3,3,29,41,10,1064,78,4,18,0,0,0,0,0,0,101,208,3,26,19,13,3,8,53,9,294,91,7,4,3,0,0,6,8,0,114,2411,180,617,34,25,6,102,164,30,3407,72,0,0,5,0,0,0,4,0,76,273,9,33,27,4,0,3,36,10,364,9198,226,742,181,48,22,133,377,87,10621
Central Highlands (R) (Qld),32270,2897,245,419,11,14,14,7,45,120,3722,121,0,0,6,0,19,0,23,7,150,204,12,14,11,0,0,0,14,11,253,7088,301,490,120,18,61,20,223,299,8396,1606,4,15,93,7,29,4,129,106,1861,2410,40,34,12,0,5,7,22,51,2562,1242,193,224,0,0,0,0,0,22,1679,166,7,59,0,0,0,0,0,18,249,556,31,46,0,0,5,3,10,21,666,23,0,8,0,0,0,0,0,3,39,1047,31,94,7,3,3,3,21,55,1248,138,0,8,0,4,4,0,6,8,158,3173,257,440,11,14,14,11,46,131,4043,125,0,0,7,0,19,0,29,7,155,218,12,21,14,0,0,0,19,13,278,7524,322,515,128,18,66,20,238,311,8906
Charters Towers (R),32310,878,14,91,6,0,0,10,20,9,1016,41,3,0,0,0,0,0,3,0,48,118,3,6,6,0,0,0,6,7,142,3500,57,111,61,3,0,22,82,29,3777,1426,24,11,46,0,0,3,51,9,1522,1160,13,3,0,0,0,3,6,4,1181,462,5,45,0,0,0,0,3,0,520,70,0,39,0,0,0,0,0,0,109,295,6,10,3,0,0,3,4,3,320,18,0,17,0,0,0,0,0,0,41,161,7,15,8,0,0,0,12,3,197,58,0,0,0,0,0,0,0,0,57,1064,18,122,9,0,0,10,23,9,1238,44,3,0,0,0,0,0,3,0,52,133,4,10,6,0,0,0,6,7,157,3835,64,144,61,3,0,22,89,31,4157
Croydon (S),32600,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,9,59,0,0,3,0,0,0,7,3,70,23,0,0,0,0,0,0,3,0,28,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,10,76,0,0,3,0,0,0,7,3,85
Weipa (T),37300,266,229,21,0,0,6,0,6,3,527,4,0,0,0,0,0,0,0,0,4,16,5,0,4,0,0,0,3,0,30,558,306,31,15,3,7,0,30,3,920,70,14,3,13,0,0,0,16,0,98,271,53,5,4,0,0,0,4,0,334,139,118,15,0,0,0,0,0,0,270,13,10,0,0,0,0,0,0,0,24,31,7,0,0,0,0,0,3,0,39,0,0,0,0,0,0,0,0,0,0,167,134,22,0,0,3,0,3,3,334,3,4,0,0,0,0,0,3,0,10,365,276,34,0,0,6,0,6,0,683,3,0,0,0,0,0,0,0,0,3,14,13,0,4,0,0,0,3,0,30,722,354,38,15,3,7,0,30,0,1148
Western Downs (R),37310,2973,322,292,14,5,0,20,35,36,3663,96,0,0,0,0,0,4,3,0,107,219,31,18,4,3,3,0,11,8,283,9613,426,328,46,12,11,37,106,74,10547,3589,58,17,26,0,5,5,37,15,3718,3019,16,5,3,0,3,9,14,18,3069,1619,218,225,0,0,0,3,3,8,2070,133,44,48,0,0,0,0,0,0,225,985,28,12,0,0,0,6,6,7,1043,26,42,13,0,0,0,0,0,0,81,441,19,22,9,5,0,11,22,26,522,177,5,3,0,0,0,3,3,3,188,3372,355,318,11,5,0,20,43,40,4129,102,0,0,3,0,0,4,3,0,111,248,28,17,12,3,3,3,12,9,325,10334,467,363,52,12,11,38,111,81,11350
Whitsunday (R),37340,2257,642,660,26,8,0,10,43,63,3668,47,3,6,3,0,0,0,4,3,61,272,50,67,17,6,0,3,34,43,461,8282,847,912,181,44,13,25,263,184,10491,2869,62,74,124,27,5,7,163,56,3225,3123,98,106,12,3,6,6,28,27,3386,1439,416,453,0,0,0,0,0,30,2340,158,72,61,0,0,0,0,0,0,298,661,107,107,0,3,0,3,10,14,894,42,64,29,0,0,0,0,0,0,133,181,30,65,22,6,0,0,31,21,317,72,15,7,3,0,0,0,3,0,99,2561,699,721,26,8,0,10,44,63,4094,49,3,7,3,0,0,0,4,3,63,297,48,74,17,6,0,3,34,41,491,8900,919,976,184,44,13,25,271,195,11255
Clare and Gilbert Valleys (DC),41140,672,74,23,3,3,0,4,11,11,791,27,9,0,0,0,0,0,0,0,38,81,7,4,0,0,0,0,0,0,92,3237,124,29,13,10,3,18,42,31,3468,1360,24,3,9,4,0,5,19,13,1417,1130,12,0,0,0,0,10,10,8,1159,277,12,8,0,0,0,0,0,3,303,82,20,5,0,0,0,0,0,4,112,233,8,4,0,0,0,3,3,6,246,19,25,7,0,0,0,0,0,0,44,58,3,0,3,4,0,3,4,0,68,29,3,0,0,0,0,3,3,0,34,696,70,27,3,3,0,4,11,11,814,27,9,0,0,0,0,0,0,0,38,82,7,4,0,0,0,0,0,0,98,3293,123,35,13,10,3,18,42,32,3521
Cherbourg (S),32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,7,8,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,263,6,8,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,6,8,0,0,0,0,0,0,281
Cloncurry (S),32450,234,8,47,10,0,0,0,12,3,306,12,0,0,3,0,0,0,3,0,10,16,0,6,6,0,0,0,6,0,37,512,8,63,47,3,0,3,54,27,664,173,0,4,29,0,0,0,37,12,228,134,0,0,3,4,0,0,10,7,156,100,3,14,0,0,0,0,0,0,116,45,6,26,0,0,0,0,0,0,85,58,0,3,0,0,0,0,0,0,58,29,0,5,0,0,0,0,0,0,34,130,5,20,8,0,0,0,7,0,168,18,0,0,3,0,0,0,3,0,26,375,13,72,11,0,0,0,13,4,485,12,0,0,3,0,0,0,3,0,15,29,0,11,6,0,0,0,6,0,46,729,13,85,55,4,0,3,60,27,922
Cook (S),32500,277,9,62,3,0,11,4,24,8,382,16,0,0,0,0,0,0,3,0,14,43,0,0,16,9,3,0,32,0,78,889,8,70,65,29,29,16,136,23,1129,371,0,3,35,14,17,0,59,3,439,246,0,0,9,3,0,0,13,5,265,77,3,20,0,0,3,0,9,0,114,84,0,24,0,0,0,0,0,0,110,125,0,6,0,0,3,0,7,3,149,22,0,12,0,0,0,0,0,0,34,96,4,17,5,0,0,4,5,3,127,30,3,0,0,0,3,0,6,0,38,436,9,83,4,0,11,4,26,10,564,25,0,0,3,0,0,0,3,0,29,57,0,5,23,9,4,0,41,0,99,1128,8,88,73,29,34,11,150,20,1400
Diamantina (S),32750,40,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,58,0,0,4,0,0,0,4,3,61,9,0,0,4,0,0,0,4,0,8,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,28,5,0,0,0,0,0,0,0,0,5,55,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,80,0,0,5,0,0,0,5,3,86
Doomadgee (S),32770,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,25,12,20,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,5,35,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,195,6,35,0,0,0,0,0,0,241,3,0,0,0,0,0,0,0,0,3,4,18,0,0,0,0,0,0,0,27,205,22,39,0,0,0,0,4,0,268
Douglas (S),32810,647,283,287,7,7,5,7,21,28,1269,14,0,0,0,0,0,0,3,0,21,75,14,17,5,8,0,0,8,6,128,2785,451,411,68,34,12,18,138,72,3858,1084,75,51,49,26,5,11,89,21,1316,1049,82,58,4,0,0,7,10,14,1220,337,212,230,0,0,0,0,4,6,789,71,23,35,0,0,0,0,0,0,128,269,48,50,0,0,3,3,4,10,380,28,6,16,0,0,0,0,0,0,42,45,7,13,8,5,0,3,12,5,83,43,9,10,0,0,3,0,3,4,65,780,298,344,14,7,3,4,27,32,1486,20,0,0,0,0,0,0,3,0,24,92,16,26,5,8,0,0,8,10,150,3025,475,480,69,38,13,26,143,75,4197
Etheridge (S),33100,59,0,0,0,0,0,0,0,0,64,8,0,0,0,0,0,0,0,0,8,6,0,0,27,0,5,0,37,0,47,230,0,0,40,0,4,0,51,17,304,121,0,0,14,0,3,0,19,9,152,46,0,0,0,0,0,0,0,5,52,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,27,8,0,0,0,0,0,0,0,0,8,62,0,4,0,0,0,0,0,0,67,8,0,0,0,0,0,0,0,0,8,10,0,0,27,0,5,0,37,0,46,248,0,6,40,0,4,0,51,16,319
Flinders (S) (Qld),33200,100,41,8,0,0,0,0,0,7,157,5,0,0,0,0,0,0,0,0,6,21,5,0,0,0,0,0,0,0,26,345,160,4,0,0,0,0,0,26,534,161,75,0,0,0,0,0,0,9,243,78,38,0,0,0,0,0,0,8,121,12,8,0,0,0,0,0,0,0,19,19,5,0,0,0,0,0,0,4,26,41,14,0,0,0,0,0,0,4,59,4,0,0,0,0,0,0,0,0,4,35,17,3,0,0,0,0,0,3,62,11,5,0,0,0,0,0,0,0,12,115,45,8,0,0,0,0,0,14,181,9,4,0,0,0,0,0,0,0,7,18,9,0,0,0,0,0,0,0,30,387,171,4,0,0,0,0,0,27,586
Fraser Coast (R),33220,7049,1960,748,135,58,13,22,226,81,10069,257,132,75,0,0,0,3,9,6,477,837,135,74,42,9,7,3,55,83,1181,31760,3011,1172,543,194,84,33,855,315,37105,14490,581,218,369,111,38,3,514,77,15874,9877,207,67,17,13,29,11,65,64,10285,4765,1111,496,7,7,3,12,21,31,6417,399,539,87,0,0,0,0,0,0,1027,2224,275,130,12,3,5,3,28,34,2680,57,108,29,0,0,0,0,0,3,194,239,53,31,124,55,3,3,186,13,522,184,31,22,3,0,7,0,9,3,248,7861,2110,788,144,61,19,22,247,84,11100,269,132,76,4,0,0,3,9,10,489,876,138,74,45,9,7,3,60,83,1234,33377,3173,1225,576,200,85,35,896,321,38988
Gladstone (R),33360,4973,770,1013,42,9,3,0,58,34,6850,72,0,17,0,0,0,0,5,0,99,336,22,49,15,0,5,0,24,4,437,17655,930,1253,261,31,35,15,341,67,20245,4812,45,89,184,16,14,7,225,16,5180,7892,98,84,13,0,8,10,40,18,8137,3548,586,775,0,0,0,0,3,17,4930,412,113,185,0,0,0,0,5,0,710,1093,45,67,8,0,0,0,5,7,1219,50,43,21,0,0,0,0,0,0,116,269,23,38,36,9,3,3,48,10,391,107,8,12,3,0,0,0,3,3,137,5485,819,1095,43,9,3,4,65,36,7497,74,0,17,0,0,0,0,5,0,103,362,22,54,18,0,5,0,23,4,461,18624,989,1340,266,35,34,15,357,69,21378
Gold Coast (C),33430,25975,20029,23140,286,101,5,49,443,352,69939,500,479,441,8,7,3,0,19,6,1446,2562,1215,1388,52,20,3,0,76,271,5505,112853,40008,38767,868,446,36,82,1433,916,193973,34337,8729,8070,519,298,10,14,838,148,52121,50968,9770,5833,23,30,18,15,83,145,66799,19298,13869,16265,3,11,0,24,40,186,49657,1214,1268,1291,0,0,0,0,4,23,3791,5691,4635,4897,18,16,4,19,52,88,15359,114,241,342,0,0,0,0,0,3,694,586,552,607,265,78,0,9,349,45,2142,400,222,321,10,4,0,4,18,11,971,27301,20782,23717,298,109,5,54,460,364,72621,511,483,447,8,7,3,0,19,6,1465,2636,1258,1413,53,20,3,0,81,275,5659,115758,41021,39485,893,465,36,88,1476,933,198668
Goondiwindi (R),33610,893,54,186,8,4,0,9,25,24,1181,38,0,0,0,0,0,0,0,0,47,90,3,12,5,0,0,0,7,4,114,3146,74,218,27,12,9,18,57,57,3551,1222,12,15,13,9,0,5,29,18,1294,969,6,9,0,0,0,3,7,12,993,343,23,130,0,0,0,0,0,4,500,55,14,20,0,0,0,0,0,3,97,323,8,30,3,0,0,7,10,11,389,8,3,0,0,0,0,0,0,0,12,220,6,20,5,3,0,0,11,3,259,79,3,0,0,0,0,0,0,0,82,1026,63,205,8,4,0,9,26,26,1338,45,0,0,0,0,0,0,0,0,46,101,3,14,9,0,0,0,7,4,128,3357,81,241,32,11,10,18,66,55,3793
