lga_code,lga_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
22750,Greater Geelong (C),2426,191,2623,708523.8,46553.7,94550.4,849628.0,546122.4,1395750.2
25430,Mount Alexander (S),123,2,126,37673.1,564.0,10684.1,48921.2,3666.7,52587.9
25490,Moyne (S),87,4,91,28340.1,2560.9,7222.2,38123.2,22541.0,60664.1
25620,Murrindindi (S),114,3,117,32690.5,437.9,3673.8,36802.2,7125.7,43927.9
25710,Nillumbik (S),171,90,262,86860.4,24389.3,24363.3,135613.0,40926.5,176539.5
25810,Northern Grampians (S),35,0,35,8730.4,0.0,2412.1,11142.5,72488.7,83631.2
25900,Port Phillip (C),67,920,1013,33445.1,313017.3,132660.4,479122.8,221868.5,700991.2
25990,Pyrenees (S),51,0,51,12868.8,0.0,1519.0,14387.8,4582.5,18970.3
26080,Queenscliffe (B),26,4,30,12349.6,1125.5,6929.8,20404.9,5210.0,25614.9
26170,South Gippsland (S),154,7,161,44906.9,1029.6,12612.8,58549.3,17982.6,76531.9
26260,Southern Grampians (S),34,0,34,10915.8,0.0,4937.6,15853.3,7977.7,23831.0
26350,Stonnington (C),153,1095,1277,211055.7,601301.6,182795.7,995153.0,306916.3,1302069.2
26430,Strathbogie (S),65,0,66,16199.4,0.0,3274.4,19473.8,20725.5,40199.2
26490,Surf Coast (S),403,21,425,158631.2,7978.3,29476.9,196086.4,52421.2,248507.7
26610,Swan Hill (RC),51,4,56,18151.8,1120.9,6931.2,26203.9,18362.7,44566.6
26670,Towong (S),8,0,10,2809.6,0.0,1770.6,4580.2,1979.1,6559.3
26700,Wangaratta (RC),111,2,114,32101.3,599.7,10290.6,42991.6,13146.1,56137.7
26730,Warrnambool (C),178,35,214,57794.7,6294.6,10722.5,74811.7,36500.4,111312.1
26810,Wellington (S),215,18,235,54492.3,3385.8,12644.4,70522.4,44614.7,115137.1
26890,West Wimmera (S),9,0,9,1523.9,0.0,1179.3,2703.2,2511.3,5214.5
26980,Whitehorse (C),520,1244,1768,230623.5,362819.5,67272.8,660715.9,166369.6,827085.4
27070,Whittlesea (C),1891,517,2410,492225.0,112471.3,17816.5,622512.9,379011.8,1001524.6
27170,Wodonga (C),356,13,370,93624.0,2357.1,10208.8,106189.9,42987.4,149177.3
27260,Wyndham (C),4056,686,4747,1102215.6,149811.9,13706.9,1265734.4,540738.1,1806472.5
27350,Yarra (C),63,1183,1283,33912.7,330129.6,123457.4,487499.7,191736.8,679236.5
27450,Yarra Ranges (S),491,114,612,153201.5,24571.0,60512.9,238285.5,85432.3,323717.8
27630,Yarriambiack (S),13,0,13,3362.3,0.0,1176.2,4538.4,2703.8,7242.2
29399,Unincorporated Vic,0,0,0,0.0,0.0,1132.6,1132.6,15413.0,16545.6
30250,Aurukun (S),26,0,26,9086.6,0.0,0.0,9086.6,1077.0,10163.6
30300,Balonne (S),4,0,4,944.9,0.0,191.3,1136.1,706.0,1842.1
30370,Banana (S),12,0,12,4011.0,0.0,1705.7,5716.7,10261.3,15978.0
30410,Barcaldine (R),2,0,2,571.0,0.0,305.4,876.4,886.2,1762.6
30450,Barcoo (S),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30760,Blackall-Tambo (R),1,0,1,149.7,0.0,252.2,401.8,693.1,1094.9
34710,Longreach (R),3,0,4,941.1,0.0,583.9,1525.0,1762.5,3287.5
34770,Mackay (R),202,2,204,61357.5,488.1,17688.6,79534.1,71214.2,150748.3
34800,McKinlay (S),0,0,0,0.0,0.0,20.0,20.0,100.0,120.0
34830,Mapoon (S),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
34860,Maranoa (R),10,2,13,4015.6,595.0,2091.5,6702.1,5116.8,11818.9
34880,Mareeba (S),101,2,106,27674.2,300.0,4681.5,32655.7,8764.8,41420.5
35010,Moreton Bay (R),3165,1407,4586,795286.9,298485.2,70467.3,1164239.5,437508.8,1601748.2
35250,Mornington (S),12,0,12,5633.5,0.0,0.0,5633.5,0.0,5633.5
35300,Mount Isa (C),4,3,7,1013.3,200.0,1199.1,2412.4,10048.5,12461.0
35600,Murweh (S),1,0,1,380.1,0.0,274.3,654.3,292.0,946.3
35670,Napranum (S),3,0,3,1249.6,0.0,0.0,1249.6,0.0,1249.6
35740,Noosa (S),263,73,340,112008.1,21426.7,39054.0,172488.8,57532.7,230021.6
35760,North Burnett (R),13,0,13,3541.2,0.0,1355.3,4896.5,5255.8,10152.3
35780,Northern Peninsula Area (R),30,0,30,13845.9,0.0,0.0,13845.9,0.0,13845.9
35790,Palm Island (S),38,0,38,16750.4,0.0,0.0,16750.4,0.0,16750.4
35800,Paroo (S),1,0,1,210.0,0.0,119.4,329.4,2293.1,2622.5
36070,Pormpuraaw (S),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
36150,Quilpie (S),1,0,1,148.0,0.0,358.4,506.4,2181.2,2687.6
36250,Redland (C),1029,454,1486,266710.9,119801.2,24991.7,411503.8,62439.6,473943.4
36300,Richmond (S),0,3,3,0.0,1000.0,219.0,1219.0,0.0,1219.0
36370,Rockhampton (R),227,68,297,58059.7,11374.5,14057.5,83491.7,59130.9,142622.6
36510,Scenic Rim (R),212,97,311,63154.9,28276.0,11158.2,102589.0,92289.0,194878.0
36580,Somerset (R),118,4,124,28365.0,550.0,4371.0,33285.9,32645.7,65931.7
36630,South Burnett (R),55,2,58,12964.4,272.7,4561.3,17798.5,21456.3,39254.8
36660,Southern Downs (R),141,4,151,35055.4,680.0,4552.1,40287.5,75202.0,115489.6
36720,Sunshine Coast (R),3060,1487,4576,864205.7,377844.5,103233.0,1345283.1,772351.6,2117634.8
36820,Tablelands (R),112,9,124,29858.8,1222.0,5878.2,36959.0,11321.2,48280.2
36910,Toowoomba (R),749,448,1201,195224.5,85035.0,45907.6,326167.0,326797.5,652964.5
36950,Torres (S),2,0,2,1088.9,0.0,25.0,1113.9,35619.4,36733.4
36960,Torres Strait Island (R),38,0,38,21921.7,0.0,0.0,21921.7,0.0,21921.7
37010,Townsville (C),690,116,806,174543.1,22537.9,45651.7,242732.8,327414.8,570147.5
17100,Strathfield (A),46,1281,1327,24486.8,355996.0,2389.9,382872.7,83187.5,466060.2
17150,Sutherland Shire (A),497,2155,2663,211068.5,721187.5,95660.8,1027916.8,250152.6,1278069.4
17200,Sydney (C),31,4507,4913,12596.2,1976224.1,210776.7,2199597.0,3689769.0,5889366.0
17310,Tamworth Regional (A),330,81,414,99499.7,14233.2,8201.6,121934.5,38278.3,160212.8
17350,Temora (A),31,9,42,7273.7,1460.0,2694.7,11428.4,5152.0,16580.4
17400,Tenterfield (A),26,2,32,6961.8,234.0,2711.8,9907.7,1248.3,11156.0
