lga_code16,tot_mng,tot_pro,tot_tech_trds_wks,tot_com_persl_svce_wks,tot_cler_admin_wks,tot_sales_wks,tot_mach_ops_dvrs,tot_labourers,tot_idns,tot_tot,lga_name16
50350,710,738,1382,543,863,391,542,667,105,5942,Bassendean (T)
50420,2181,3237,3277,2736,2212,2999,1171,2062,329,20215,Bayswater (C)
50490,4884,5187,5761,3789,5972,3487,5390,3247,681,38400,Belmont (C)
50560,171,34,66,39,55,28,31,63,3,486,Beverley (S)
50630,149,192,640,76,117,31,695,177,54,2125,Boddington (S)
50770,271,70,48,42,58,26,41,92,11,654,Boyup Brook (S)
50840,272,238,302,145,164,141,178,210,32,1674,Bridgetown-Greenbushes (S)
50910,156,33,36,51,35,25,31,54,12,427,Brookton (S)
50980,965,1572,1062,1068,1020,581,319,666,153,7401,Broome (S)
51080,191,21,19,17,28,9,26,32,10,357,Broomehill-Tambellup (S)
51120,166,39,42,35,30,19,24,42,3,409,Bruce Rock (S)
51190,2138,3871,3424,2555,3327,2515,1510,2435,323,22094,Bunbury (C)
51260,1891,2168,2081,1651,1624,1699,620,1725,181,13639,Busselton (C)
51310,1421,4644,1117,2033,1998,865,157,702,187,13119,Cambridge (T)
51330,6681,7588,8918,4088,8023,6303,7036,5264,985,54889,Canning (C)
51400,420,728,473,393,379,292,224,615,45,3567,Capel (S)
51470,90,26,49,10,24,18,45,36,4,311,Carnamah (S)
51540,517,367,447,252,341,176,226,363,63,2741,Carnarvon (S)
51610,127,23,25,16,38,3,36,57,5,337,Chapman Valley (S)
51680,279,137,261,68,145,73,159,212,30,1361,Chittering (S)
51750,818,1864,595,930,750,1109,96,458,73,6685,Claremont (T)
51820,5187,5815,9288,3455,5381,3758,3962,4105,721,41679,Cockburn (C)
51890,299,520,1278,344,340,256,862,496,86,4493,Collie (S)
52100,187,61,57,26,53,27,41,62,12,528,Corrigin (S)
52170,419,549,345,459,333,327,24,179,47,2679,Cottesloe (T)
52240,239,21,31,26,34,9,36,94,10,504,Cranbrook (S)
52310,97,3,21,3,16,0,15,29,0,194,Cuballing (S)
52380,20,15,14,3,7,3,34,17,6,121,Cue (S)
52450,170,76,109,51,51,38,35,70,3,610,Cunderdin (S)
52520,269,64,117,38,78,45,64,107,5,782,Dalwallinu (S)
52590,373,129,205,87,143,77,126,269,21,1430,Dandaragan (S)
52660,419,382,505,426,287,454,436,438,53,3403,Dardanup (S)
52730,394,322,248,207,208,193,70,250,19,1901,Denmark (S)
52800,289,564,320,486,262,109,120,371,74,2592,Derby-West Kimberley (S)
52870,408,170,187,154,156,134,109,292,28,1640,Donnybrook-Balingup (S)
52940,127,30,25,16,28,7,23,29,3,289,Dowerin (S)
53010,161,24,22,20,20,11,25,35,0,309,Dumbleyung (S)
53080,66,47,151,36,30,18,111,80,10,537,Dundas (S)
53150,283,427,221,366,227,97,35,98,38,1797,East Fremantle (T)
53220,779,1456,4632,391,551,145,4637,1143,276,14018,East Pilbara (S)
53290,1087,815,845,513,716,569,526,764,89,5935,Esperance (S)
53360,195,194,285,177,161,126,61,174,27,1382,Exmouth (S)
53430,3247,5594,3165,3031,3351,2089,1596,2408,393,24868,Fremantle (C)
53570,508,104,214,73,180,85,166,538,38,1910,Gingin (S)
53640,239,52,80,34,64,28,41,87,6,643,Gnowangerup (S)
54280,1353,2147,3086,1406,1618,1176,2448,1299,276,14815,Kalgoorlie/Boulder (C)
54310,1203,1925,3582,954,1319,628,1734,1440,296,13086,Karratha (C)
53710,126,32,32,40,42,17,28,45,3,355,Goomalling (S)
53780,2528,3701,4107,3606,2657,2860,1894,2593,357,24306,Gosnells (C)
53800,1776,2735,2453,1931,2100,1619,1142,1675,273,15703,Greater Geraldton (C)
53920,114,214,108,159,69,28,55,118,41,901,Halls Creek (S)
53990,831,931,1150,620,600,549,715,1117,114,6632,Harvey (S)
54060,158,119,206,95,135,85,62,155,24,1039,Irwin (S)
54130,265,37,59,32,45,16,43,80,12,582,Jerramungup (S)
54170,4167,10808,4940,7421,5864,7300,1046,3849,647,46047,Joondalup (C)
54200,1617,2121,2363,1590,1947,1312,1763,1516,249,14481,Kalamunda (S)
54340,265,265,265,171,199,160,87,372,37,1826,Katanning (S)
54410,112,37,51,71,42,24,25,58,10,432,Kellerberrin (S)
54480,166,10,14,6,18,6,24,32,3,283,Kent (S)
54550,358,101,81,68,84,53,67,122,24,949,Kojonup (S)
54620,200,67,142,44,47,15,101,67,17,700,Kondinin (S)
54690,76,4,20,13,18,3,13,24,3,181,Koorda (S)
54760,207,26,24,16,27,17,27,38,3,382,Kulin (S)
54830,1245,1761,2979,1243,1242,716,1758,1440,275,12657,Kwinana (C)
54900,325,64,93,34,65,34,70,76,10,760,Lake Grace (S)
54970,134,276,734,59,80,16,842,181,48,2378,Laverton (S)
55040,162,306,635,57,108,20,768,194,33,2275,Leonora (S)
55110,1860,3687,2930,3433,2618,3189,981,2312,287,21307,Mandurah (C)
55180,876,526,503,371,455,376,297,664,59,4129,Manjimup (S)
55250,119,189,302,49,60,14,370,105,18,1227,Meekatharra (S)
55320,3813,12135,4339,4834,5296,4965,948,3198,558,40084,Melville (C)
55950,100,24,32,12,20,13,24,31,3,253,Mukinbudin (S)
55390,40,93,197,22,47,3,197,61,21,685,Menzies (S)
55460,270,232,221,138,175,132,148,145,23,1475,Merredin (S)
55530,106,17,22,11,22,9,31,24,4,241,Mingenew (S)
56090,929,1567,1344,1261,1042,843,536,1074,142,8739,Mundaring (S)
55600,305,141,142,103,139,93,102,120,14,1160,Moora (S)
55670,109,46,28,35,28,18,21,37,11,335,Morawa (S)
56860,35,3,3,3,5,3,5,10,0,70,Nungarin (S)
55740,263,707,232,553,251,190,28,172,33,2427,Mosman Park (T)
55810,40,44,84,13,24,9,76,33,10,330,Mount Magnet (S)
55880,154,15,21,11,13,12,19,21,12,275,Mount Marshall (S)
56160,22,3,8,3,4,0,14,14,0,67,Murchison (S)
56230,625,665,1311,418,480,356,791,641,117,5406,Murray (S)
56300,135,52,55,43,30,33,34,80,8,474,Nannup (S)
56370,147,42,41,19,30,18,22,55,8,395,Narembeen (S)
56460,336,477,293,307,278,195,126,280,41,2332,Narrogin (S)
56580,1735,8780,2044,2543,2830,605,424,1075,289,20327,Nedlands (C)
56620,47,101,18,82,26,18,6,33,11,344,Ngaanyatjarraku (S)
56730,579,795,576,589,608,368,298,472,73,4359,Northam (S)
56790,326,112,113,121,97,85,81,192,26,1155,Northampton (S)
56930,114,368,113,154,130,103,9,84,16,1094,Peppermint Grove (S)
57630,9,3,3,5,3,0,9,14,0,46,Sandstone (S)
57700,598,615,780,555,535,287,464,686,68,4585,Serpentine-Jarrahdale (S)
57770,70,51,79,52,44,31,24,62,8,420,Shark Bay (S)
57840,1535,3948,1467,1837,1794,1000,193,895,185,12856,South Perth (C)
57910,9379,15787,11247,8112,11364,8947,3019,6504,1143,75495,Stirling (C)
57980,3257,11135,2121,2513,3897,1507,391,1073,291,26182,Subiaco (C)
58050,6622,8356,9426,5825,7256,5769,5553,5698,904,55407,Swan (C)
58190,65,10,18,4,8,5,9,45,6,174,Tammin (S)
58260,88,34,34,34,20,12,30,30,3,281,Three Springs (S)
57000,157,65,206,13,34,0,207,76,7,770,Perenjori (S)
57080,19491,47658,9998,8280,27158,6137,2272,5144,2367,128511,Perth (C)
57140,123,34,37,23,33,23,21,43,3,336,Pingelly (S)
57210,511,173,246,161,170,101,139,487,31,2023,Plantagenet (S)
57280,809,1274,2553,664,884,453,1653,987,203,9476,Port Hedland (T)
57350,134,33,30,37,32,20,31,34,0,354,Quairading (S)
57420,238,79,203,44,62,33,206,134,11,1020,Ravensthorpe (S)
57490,3024,5244,4448,4927,3178,4330,1356,3084,475,30054,Rockingham (C)
65010,308,129,121,117,81,67,84,171,21,1089,Southern Midlands (M)
65210,150,83,81,129,54,37,35,130,11,713,Tasman (M)
65410,520,385,685,458,333,388,427,543,69,3808,Waratah/Wynyard (M)
65610,205,220,382,172,136,120,362,276,50,1912,West Coast (M)
58330,188,85,130,77,104,80,74,99,20,856,Toodyay (S)
58400,67,11,12,15,10,4,8,20,0,152,Trayning (S)
58470,19,4,17,12,7,0,5,11,0,77,Upper Gascoyne (S)
58510,3343,7067,3812,4704,3668,1641,1044,2311,404,27996,Victoria Park (T)
70200,1480,2899,1386,1873,1697,881,482,953,238,11884,Alice Springs (T)
58540,220,23,45,23,29,21,44,75,4,475,Victoria Plains (S)
58570,2876,5628,2546,2631,3195,1750,498,1247,279,20651,Vincent (C)
58610,178,77,82,66,62,51,66,84,16,681,Wagin (S)
58680,85,4,11,5,12,0,12,22,3,160,Wandering (S)
58760,5006,6070,8294,5058,5373,4902,3344,5256,693,44004,Wanneroo (C)
58820,198,202,613,140,169,79,497,236,47,2172,Waroona (S)
58890,210,15,29,5,32,9,25,48,8,378,West Arthur (S)
59030,55,20,56,10,14,0,98,23,0,285,Westonia (S)
72800,861,1170,1254,991,1046,895,364,703,131,7412,Palmerston (C)
73600,184,372,223,252,116,69,191,262,118,1778,Roper Gulf (R)
74050,58,138,41,110,51,31,19,77,49,572,Tiwi Islands (R)
74550,115,142,97,107,54,25,46,145,51,790,Victoria Daly (R)
59100,141,20,19,18,22,10,27,35,3,293,Wickepin (S)
74560,10,9,11,3,7,4,5,5,0,47,Wagait (S)
74660,173,418,252,271,172,75,137,186,104,1780,West Arnhem (R)
74680,38,162,56,101,35,32,24,74,26,551,West Daly (R)
79399,858,874,1143,720,838,289,897,645,127,6401,Unincorporated NT
59170,210,23,40,26,33,15,30,72,7,457,Williams (S)
59250,47,156,365,33,42,8,353,119,27,1157,Wiluna (S)
89399,36204,67768,18788,23029,39535,14959,4730,10054,5577,220648,Unincorporated ACT
99399,469,393,435,410,291,134,165,319,76,2692,Unincorp. Other Territories
59310,205,73,103,47,78,53,60,54,11,689,Wongan-Ballidu (S)
59320,94,9,12,3,9,5,13,50,7,189,Woodanilling (S)
59330,71,18,17,26,22,10,19,27,5,214,Wyalkatchem (S)
59340,497,693,594,491,437,199,297,415,82,3693,Wyndham-East Kimberley (S)
59350,56,78,187,17,38,4,250,63,16,711,Yalgoo (S)
59360,179,91,337,37,67,24,432,105,31,1303,Yilgarn (S)
59370,227,124,113,138,124,93,65,126,10,1031,York (S)
60210,308,206,226,220,177,181,124,233,25,1707,Break O'Day (M)
60410,282,323,410,399,259,333,406,349,46,2806,Brighton (M)
60610,949,1957,1305,1237,1614,1157,725,1161,180,10292,Burnie (C)
60810,780,759,883,729,556,632,367,905,111,5723,Central Coast (M) (Tas.)
61010,195,48,101,45,37,25,55,149,14,666,Central Highlands (M) (Tas.)
61210,772,295,407,302,310,235,332,899,77,3618,Circular Head (M)
61410,1746,2599,2222,2530,1872,1901,750,1565,233,15410,Clarence (C)
61510,259,322,323,340,194,219,292,332,47,2325,Derwent Valley (M)
61610,1181,1583,1766,1526,1463,1438,851,1577,211,11591,Devonport (C)
61810,493,221,254,200,193,241,190,407,37,2248,Dorset (M)
62010,123,58,56,41,27,27,14,59,9,413,Flinders (M) (Tas.)
62210,248,267,481,176,171,144,517,398,74,2466,George Town (M)
62410,306,139,211,161,132,138,61,294,26,1467,Glamorgan/Spring Bay (M)
62610,1925,2066,3168,2343,2456,2289,1928,2210,344,18713,Glenorchy (C)
62810,5775,15676,4679,6014,9470,3810,757,3083,916,50180,Hobart (C)
63010,687,612,572,413,420,348,282,856,71,4260,Huon Valley (M)
63210,292,142,209,159,93,82,108,238,32,1358,Kentish (M)
63410,193,68,94,58,74,42,57,165,18,765,King Island (M)
63610,1073,1606,1445,1086,841,1036,333,933,118,8465,Kingborough (M)
63810,416,626,416,389,331,330,237,541,48,3345,Latrobe (M) (Tas.)
64010,3564,7329,4288,4467,5016,4074,1897,3141,502,34271,Launceston (C)
64210,1040,789,729,727,491,491,367,778,91,5500,Meander Valley (M)
64610,841,406,669,379,433,431,652,878,75,4765,Northern Midlands (M)
70420,272,422,228,371,216,86,65,373,67,2097,Barkly (R)
70540,0,7,7,5,3,0,0,0,0,33,Belyuen (S)
70620,133,237,248,188,101,35,228,170,40,1375,Central Desert (R)
70700,91,119,82,73,71,21,33,72,17,574,Coomalie (S)
71000,6082,10882,6277,5376,7626,3733,1823,3269,916,45984,Darwin (C)
71300,191,600,464,350,187,85,357,216,148,2592,East Arnhem (R)
72200,571,819,773,679,557,262,228,406,82,4368,Katherine (T)
72300,1533,1765,4695,2194,1321,438,1373,1964,332,15611,Litchfield (M)
72330,225,555,233,473,205,67,76,225,88,2132,MacDonnell (R)
