LGA_MAIN11,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families,LGA_NAME11
48340,1110,77,50,12,4,0,10,1263,Wattle Range (DC)
48410,5053,332,146,27,0,4,13,5575,West Torrens (C)
48540,1802,224,143,25,0,4,34,2232,Whyalla (C)
49399,256,28,13,6,5,3,8,319,Unincorporated SA
49499,0,0,0,0,0,0,0,0,
50080,3051,306,198,32,3,0,27,3617,Albany (C)
50210,6169,659,473,90,10,15,55,7471,Armadale (C)
50250,687,58,51,9,3,3,3,814,Ashburton (S)
51680,485,55,36,4,0,0,3,583,Chittering (S)
51750,891,58,11,0,0,0,0,960,Claremont (T)
52100,81,11,3,0,0,0,3,98,Corrigin (S)
52170,798,54,9,4,0,0,3,868,Cottesloe (T)
52310,93,4,5,0,0,0,0,102,Cuballing (S)
52380,7,3,4,3,0,0,0,17,Cue (S)
52450,128,3,3,3,0,0,0,137,Cunderdin (S)
52520,142,8,8,3,0,0,0,161,Dalwallinu (S)
52590,257,17,17,0,0,0,3,294,Dandaragan (S)
52660,1332,125,110,15,0,3,6,1591,Dardanup (S)
52730,419,36,25,0,5,0,0,485,Denmark (S)
52800,378,26,43,48,12,11,29,547,Derby-West Kimberley (S)
52870,507,50,24,3,3,0,5,592,Donnybrook-Balingup (S)
52940,68,3,3,0,0,0,0,74,Dowerin (S)
53010,59,3,3,0,0,3,0,68,Dumbleyung (S)
53150,789,66,24,3,0,0,3,885,East Fremantle (T)
53520,3455,328,228,43,3,4,40,4101,Geraldton-Greenough (C)
53570,398,35,26,0,0,0,6,465,Gingin (S)
53640,128,11,5,3,0,0,3,150,Gnowangerup (S)
55390,15,5,0,4,0,0,0,24,Menzies (S)
55460,296,25,22,4,0,0,0,347,Merredin (S)
53710,92,8,6,0,0,0,0,106,Goomalling (S)
53780,11677,1021,623,186,8,26,63,13604,Gosnells (C)
53990,2578,211,179,26,0,3,15,3012,Harvey (S)
54060,345,30,16,0,0,0,3,394,Irwin (S)
54130,126,5,0,0,0,0,3,134,Jerramungup (S)
54170,19864,1441,694,137,7,14,53,22210,Joondalup (C)
54200,5843,567,299,63,7,11,22,6812,Kalamunda (S)
54340,410,27,20,6,0,0,5,468,Katanning (S)
54620,84,9,4,0,0,0,0,97,Kondinin (S)
54690,37,3,4,0,0,0,4,48,Koorda (S)
54760,89,6,6,3,0,0,3,107,Kulin (S)
54830,2725,344,240,38,0,16,31,3394,Kwinana (T)
54900,142,3,8,0,3,0,0,156,Lake Grace (S)
54970,39,3,3,3,0,0,6,54,Laverton (S)
55040,108,7,15,8,0,4,0,142,Leonora (S)
55180,856,65,50,7,3,0,12,993,Manjimup (S)
55250,58,0,0,0,0,0,9,67,Meekatharra (S)
55320,11220,707,311,83,4,11,29,12365,Melville (C)
55530,50,3,0,0,0,0,0,53,Mingenew (S)
55600,242,26,13,0,0,4,5,290,Moora (S)
56520,349,26,27,3,0,0,11,416,Narrogin (T)
55670,79,4,8,0,0,0,3,94,Morawa (S)
56620,88,9,5,9,0,8,17,136,Ngaanyatjarraku (S)
55740,836,61,24,0,0,0,0,921,Mosman Park (T)
55810,34,6,0,0,3,3,5,51,Mount Magnet (S)
55950,52,3,0,0,0,0,0,55,Mukinbudin (S)
56020,50,0,5,6,0,0,4,65,Mullewa (S)
56090,3929,408,184,49,3,8,14,4595,Mundaring (S)
56930,178,4,3,0,0,0,3,188,Peppermint Grove (S)
56160,3,0,0,0,0,0,3,6,Murchison (S)
57490,11103,1183,811,105,7,30,79,13318,Rockingham (C)
57560,1925,167,128,31,0,6,15,2272,Roebourne (S)
56370,76,5,5,0,0,0,0,86,Narembeen (S)
56450,106,8,0,0,0,0,0,114,Narrogin (S)
62410,276,31,23,0,0,0,0,330,Glamorgan/Spring Bay (M)
62610,3580,501,335,32,6,9,25,4488,Glenorchy (C)
62810,4075,383,164,28,0,3,22,4675,Hobart (C)
63010,1430,153,83,14,4,4,13,1701,Huon Valley (M)
63210,577,63,51,3,0,0,6,700,Kentish (M)
63410,120,11,7,0,0,0,0,138,King Island (M)
63610,3623,337,189,21,0,3,27,4200,Kingborough (M)
63810,894,105,69,6,0,0,8,1082,Latrobe (M)
64010,5329,609,401,25,3,9,40,6416,Launceston (C)
64210,1943,189,120,11,0,0,18,2281,Meander Valley (M)
64610,1169,140,92,4,0,3,12,1420,Northern Midlands (M)
64810,1197,163,100,15,0,0,12,1487,Sorell (M)
65010,620,59,36,10,0,3,4,732,Southern Midlands (M)
65210,156,23,10,0,0,4,0,193,Tasman (M)
65410,1230,136,95,13,0,0,6,1480,Waratah/Wynyard (M)
65610,388,38,44,4,0,3,6,483,West Coast (M)
56730,859,88,60,19,3,4,11,1044,Northam (S)
57000,58,5,5,0,0,0,0,68,Perenjori (S)
57080,555,46,5,0,0,3,3,612,Perth (C)
57630,5,3,0,0,0,0,0,8,Sandstone (S)
70200,2199,217,115,59,7,12,49,2658,Alice Springs (T)
58330,382,30,23,3,0,0,4,442,Toodyay (S)
72800,2791,335,275,39,0,12,24,3476,Palmerston (C)
74500,471,32,24,80,9,8,24,648,Victoria-Daly (S)
58400,28,0,0,0,0,0,0,28,Trayning (S)
58470,13,5,3,0,0,0,0,21,Upper Gascoyne (S)
58540,100,5,5,0,0,0,0,110,Victoria Plains (S)
74560,22,3,3,0,0,0,0,28,Wagait (S)
74660,460,22,27,87,19,11,22,648,West Arnhem (S)
58570,2544,182,61,11,0,0,8,2806,Vincent (T)
59030,23,0,0,3,0,0,0,26,Westonia (S)
59100,68,4,5,0,0,0,0,77,Wickepin (S)
59170,92,8,0,0,0,0,0,100,Williams (S)
59310,137,6,7,5,0,0,0,155,Wongan-Ballidu (S)
59360,131,9,8,0,0,0,0,148,Yilgarn (S)
59370,285,22,26,0,0,0,3,336,York (S)
59499,0,0,0,0,0,0,0,0,
60210,428,48,33,3,3,0,9,524,Break O'Day (M)
60410,1452,174,122,18,3,4,15,1788,Brighton (M)
60610,1629,216,144,18,0,3,12,2022,Burnie (C)
60810,1926,238,134,9,0,8,25,2340,Central Coast (M)
61010,178,16,16,0,0,0,0,210,Central Highlands (M)
61210,789,76,67,6,0,0,8,946,Circular Head (M)
61410,4943,560,304,38,4,4,35,5888,Clarence (C)
61510,964,114,65,12,0,3,15,1173,Derwent Valley (M)
61610,1968,300,169,24,4,3,19,2487,Devonport (C)
61810,589,57,47,3,0,0,3,699,Dorset (M)
62010,54,5,0,0,0,0,4,63,Flinders (M)
70420,438,36,45,59,13,4,27,622,Barkly (S)
70620,272,13,0,63,3,7,25,383,Central Desert (S)
70700,60,10,3,3,3,0,0,79,Coomalie (S)
71000,6265,668,338,105,14,10,45,7445,Darwin (C)
71300,644,24,32,110,19,17,34,880,East Arnhem (S)
72200,761,75,77,20,7,0,16,956,Katherine (T)
72300,1802,194,116,25,0,13,15,2165,Litchfield (M)
72330,306,26,19,80,9,12,31,483,MacDonnell (S)
