lga_code_2016,median_age_persons,median_mortgage_repay_monthly,median_tot_prsnl_inc_weekly,median_rent_weekly,median_tot_fam_inc_weekly,average_num_psns_per_bedroom,median_tot_hhd_inc_weekly,average_household_size,lga_name16
52100,44,1000,770,135,1672,0.7,1329,2.3,Corrigin (S)
52170,41,3250,1182,540,3659,0.8,2620,2.5,Cottesloe (T)
52240,43,878,602,120,1281,0.7,1042,2.4,Cranbrook (S)
52310,47,1226,590,150,1421,0.7,1111,2.2,Cuballing (S)
52380,53,775,757,120,949,0.6,1010,1.9,Cue (S)
52450,36,995,633,180,1648,0.8,1275,2.5,Cunderdin (S)
52520,38,946,788,180,1767,0.7,1402,2.5,Dalwallinu (S)
52590,48,1700,652,258,1445,0.7,1193,2.3,Dandaragan (S)
52660,36,1863,657,330,1749,0.7,1543,2.6,Dardanup (S)
52730,49,1582,546,263,1268,0.8,1020,2.3,Denmark (S)
52800,34,1733,521,100,1077,1.1,1297,3.1,Derby-West Kimberley (S)
52870,46,1543,551,230,1425,0.7,1159,2.4,Donnybrook-Balingup (S)
52940,43,867,635,100,1455,0.7,1135,2.4,Dowerin (S)
53010,43,585,667,95,1309,0.7,1092,2.2,Dumbleyung (S)
53080,51,604,818,135,1235,0.7,882,1.9,Dundas (S)
53150,43,2500,923,400,2780,0.8,2039,2.5,East Fremantle (T)
53220,37,574,1981,100,2536,1.0,2226,3.0,East Pilbara (S)
53290,40,1647,677,240,1709,0.8,1352,2.5,Esperance (S)
53360,52,2000,700,300,2011,0.9,1308,2.5,Exmouth (S)
53430,42,2167,771,360,2173,0.8,1563,2.2,Fremantle (C)
53570,47,1733,561,250,1329,0.7,1124,2.4,Gingin (S)
53640,40,774,757,130,1676,0.7,1316,2.4,Gnowangerup (S)
54280,33,1800,964,290,2377,0.8,2057,2.7,Kalgoorlie/Boulder (C)
54310,34,2600,1388,220,2951,0.9,2477,2.8,Karratha (C)
53710,45,1105,671,150,1625,0.8,1114,2.3,Goomalling (S)
53780,34,1800,627,350,1656,0.8,1479,2.9,Gosnells (C)
53800,38,1733,643,265,1674,0.8,1335,2.5,Greater Geraldton (C)
53920,31,618,421,75,809,1.2,1059,3.2,Halls Creek (S)
53990,37,1842,647,315,1797,0.7,1549,2.7,Harvey (S)
54060,50,1733,542,250,1351,0.7,1085,2.3,Irwin (S)
54130,41,899,797,130,1637,0.7,1299,2.3,Jerramungup (S)
54170,39,2100,763,410,2230,0.7,1950,2.8,Joondalup (C)
54200,38,2000,718,380,1932,0.7,1656,2.7,Kalamunda (S)
54340,39,1148,671,180,1400,0.8,1205,2.5,Katanning (S)
54410,47,867,538,115,1292,0.8,1022,2.5,Kellerberrin (S)
54480,39,412,878,31,1589,0.8,1337,2.5,Kent (S)
54550,44,1083,725,143,1568,0.7,1299,2.4,Kojonup (S)
54620,43,776,935,110,1570,0.7,1266,2.3,Kondinin (S)
54690,46,542,641,95,1458,0.7,1098,2.3,Koorda (S)
54760,43,650,747,100,1607,0.7,1213,2.3,Kulin (S)
54830,32,1802,664,325,1669,0.8,1468,2.7,Kwinana (C)
54900,40,1000,925,130,1944,0.7,1405,2.3,Lake Grace (S)
54970,39,715,1879,70,888,0.9,1132,2.6,Laverton (S)
55040,38,867,1793,0,2048,0.8,1654,2.5,Leonora (S)
55110,42,1820,541,320,1435,0.7,1159,2.4,Mandurah (C)
55180,45,1300,601,183,1394,0.7,1121,2.3,Manjimup (S)
55250,38,625,1569,100,1399,0.8,1342,2.5,Meekatharra (S)
55320,41,2167,745,400,2281,0.7,1830,2.6,Melville (C)
55950,43,607,666,80,1601,0.8,1361,2.5,Mukinbudin (S)
55390,39,0,1683,80,928,1.2,1142,2.6,Menzies (S)
55460,38,1127,668,177,1708,0.8,1344,2.4,Merredin (S)
55530,47,827,751,100,1416,0.7,1256,2.3,Mingenew (S)
56090,42,2000,679,350,1957,0.8,1658,2.7,Mundaring (S)
55600,41,1100,714,165,1760,0.8,1376,2.4,Moora (S)
55670,37,542,544,170,1357,0.7,1141,2.4,Morawa (S)
56860,44,758,587,55,1333,0.7,1057,2.5,Nungarin (S)
55740,40,2700,872,320,2887,0.8,1862,2.4,Mosman Park (T)
55810,45,450,752,149,1399,0.8,1125,2.4,Mount Magnet (S)
55880,42,520,737,49,1451,0.8,1240,2.4,Mount Marshall (S)
56160,45,0,579,0,1775,0.8,1286,2.8,Murchison (S)
56230,43,1863,528,300,1460,0.8,1216,2.5,Murray (S)
56300,53,1419,510,175,1189,0.8,971,2.2,Nannup (S)
56370,45,650,777,120,1625,0.7,1200,2.3,Narembeen (S)
56460,39,1200,628,220,1527,0.7,1224,2.4,Narrogin (S)
56580,42,3250,929,520,3559,0.8,2690,2.8,Nedlands (C)
56620,30,0,340,55,705,1.3,1206,3.8,Ngaanyatjarraku (S)
56730,41,1408,570,245,1468,0.8,1181,2.4,Northam (S)
56790,57,1517,527,200,1296,0.8,981,2.2,Northampton (S)
56930,38,2817,1016,455,4146,0.8,3428,2.8,Peppermint Grove (S)
57630,61,0,495,0,1375,0.5,1156,1.7,Sandstone (S)
57700,32,2145,756,380,1951,0.8,1855,3.0,Serpentine-Jarrahdale (S)
57770,58,1300,611,190,1399,0.8,1074,2.1,Shark Bay (S)
57840,37,2167,824,375,2385,0.8,1772,2.3,South Perth (C)
57910,36,2000,756,350,2001,0.8,1558,2.4,Stirling (C)
57980,35,2500,860,400,2609,0.9,1832,2.2,Subiaco (C)
58050,34,2000,700,350,1811,0.8,1618,2.8,Swan (C)
58190,37,867,680,102,1589,0.8,1261,2.5,Tammin (S)
58260,40,594,645,110,1406,0.7,1157,2.3,Three Springs (S)
57000,42,834,1641,120,1699,0.7,1335,2.3,Perenjori (S)
57080,34,2165,965,440,2291,1.0,1808,1.9,Perth (C)
57140,48,1074,490,150,1112,0.7,894,2.2,Pingelly (S)
57210,46,1222,531,194,1275,0.8,1029,2.4,Plantagenet (S)
57280,34,2600,1457,200,3014,0.9,2443,2.7,Port Hedland (T)
57350,50,1001,532,95,1154,0.7,906,2.1,Quairading (S)
57420,44,1200,858,215,1507,0.7,1189,2.2,Ravensthorpe (S)
57490,34,1950,663,350,1812,0.7,1550,2.7,Rockingham (C)
65010,44,1191,530,170,1268,0.8,1046,2.5,Southern Midlands (M)
65210,54,918,464,193,985,0.8,792,2.1,Tasman (M)
65410,46,1170,504,200,1247,0.8,940,2.3,Waratah/Wynyard (M)
65610,44,670,497,130,1258,0.7,952,2.1,West Coast (M)
65810,44,1300,562,250,1418,0.8,1137,2.4,West Tamar (M)
58330,51,1599,543,280,1425,0.7,1164,2.3,Toodyay (S)
58400,50,510,547,79,1339,0.7,919,2.0,Trayning (S)
58470,36,0,534,25,700,1.1,1050,3.0,Upper Gascoyne (S)
58510,34,2037,754,351,1998,0.9,1549,2.3,Victoria Park (T)
70200,37,1950,964,340,2259,0.9,1878,2.6,Alice Springs (T)
58540,45,867,716,80,1602,0.8,1244,2.4,Victoria Plains (S)
58570,34,2271,974,410,2553,0.9,2004,2.2,Vincent (C)
58610,47,1000,524,168,1274,0.7,969,2.2,Wagin (S)
58680,47,1668,728,16,1777,0.7,1538,2.4,Wandering (S)
58760,33,2058,696,375,1875,0.8,1693,2.9,Wanneroo (C)
58820,44,1631,536,250,1464,0.8,1214,2.5,Waroona (S)
58890,47,823,645,100,1324,0.7,1146,2.3,West Arthur (S)
59030,42,1019,1321,85,2071,0.7,1562,2.3,Westonia (S)
72800,30,2253,1030,430,2369,0.9,2191,2.9,Palmerston (C)
73600,33,1439,362,50,670,1.8,1120,4.2,Roper Gulf (R)
74050,31,0,251,50,644,1.4,786,3.8,Tiwi Islands (R)
74550,30,1354,442,50,775,1.3,1093,3.3,Victoria Daly (R)
59100,45,767,623,95,1402,0.7,1102,2.2,Wickepin (S)
74560,49,1733,808,250,1924,1.1,1441,2.2,Wagait (S)
74660,31,2250,337,50,771,1.7,1481,4.2,West Arnhem (R)
74680,25,384,246,50,590,2.0,1093,5.3,West Daly (R)
79399,39,1495,1068,80,2447,1.1,1862,2.3,Unincorporated NT
59170,41,1223,817,126,1837,0.8,1442,2.5,Williams (S)
59250,37,0,1726,50,860,1.1,1115,3.0,Wiluna (S)
89399,35,2058,997,380,2445,0.8,2067,2.5,Unincorporated ACT
99399,44,1394,758,140,1568,0.9,1398,2.6,Unincorp. Other Territories
59310,42,1083,719,140,1495,0.7,1238,2.3,Wongan-Ballidu (S)
59320,43,817,702,0,1600,0.8,1201,2.4,Woodanilling (S)
59330,51,604,498,150,1166,0.7,837,2.0,Wyalkatchem (S)
59340,40,2118,841,200,1950,1.0,1565,2.7,Wyndham-East Kimberley (S)
59350,42,163,1869,50,2150,0.8,1312,2.1,Yalgoo (S)
59360,45,780,1403,120,1807,0.7,1188,2.1,Yilgarn (S)
59370,51,1500,524,250,1368,0.7,1020,2.2,York (S)
60210,53,930,442,195,955,0.8,751,2.1,Break O'Day (M)
60410,34,1300,566,215,1303,0.8,1109,2.6,Brighton (M)
60610,40,1083,524,200,1272,0.8,993,2.3,Burnie (C)
60810,45,1213,527,210,1301,0.8,1001,2.3,Central Coast (M) (Tas.)
61010,49,867,483,100,1074,0.7,842,2.1,Central Highlands (M) (Tas.)
61210,40,1083,588,170,1385,0.8,1086,2.4,Circular Head (M)
61410,42,1450,674,265,1644,0.8,1303,2.4,Clarence (C)
61510,43,1148,507,210,1264,0.8,1001,2.4,Derwent Valley (M)
61610,42,1200,516,220,1224,0.8,948,2.3,Devonport (C)
61810,47,1020,480,160,1114,0.7,824,2.2,Dorset (M)
62010,53,758,622,100,1362,0.7,1043,2.0,Flinders (M) (Tas.)
62210,45,1083,456,180,1087,0.8,855,2.3,George Town (M)
62410,54,1083,515,190,1054,0.7,866,2.0,Glamorgan/Spring Bay (M)
62610,39,1300,562,250,1321,0.8,1017,2.3,Glenorchy (C)
62810,39,1647,722,290,2023,0.8,1435,2.3,Hobart (C)
63010,45,1289,494,230,1246,0.8,987,2.4,Huon Valley (M)
63210,46,1083,483,200,1167,0.8,996,2.4,Kentish (M)
63410,45,1000,709,128,1642,0.7,1199,2.1,King Island (M)
63610,41,1517,671,300,1694,0.8,1361,2.5,Kingborough (M)
63810,46,1300,555,235,1320,0.8,1079,2.3,Latrobe (M) (Tas.)
64010,39,1287,562,225,1362,0.8,1039,2.3,Launceston (C)
64210,44,1300,537,210,1359,0.8,1041,2.4,Meander Valley (M)
64610,45,1300,556,200,1326,0.8,1036,2.3,Northern Midlands (M)
64810,42,1300,589,260,1391,0.8,1131,2.4,Sorell (M)
70420,32,1196,416,80,959,1.3,1255,3.4,Barkly (R)
70540,30,0,263,70,745,1.4,850,3.8,Belyuen (S)
70620,31,1400,379,50,801,1.5,1225,4.2,Central Desert (R)
70700,49,1434,596,165,1327,1.0,1101,2.2,Coomalie (S)
71000,35,2167,1023,420,2385,1.0,2133,2.6,Darwin (C)
71300,26,0,247,60,671,1.9,1349,5.2,East Arnhem (R)
72200,37,1733,879,249,2081,1.0,1690,2.8,Katherine (T)
72300,39,2400,1121,390,2410,1.1,2110,2.9,Litchfield (M)
72330,31,1376,315,50,642,1.5,1096,3.8,MacDonnell (R)
