LGA_MAIN11,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total,LGA_NAME11
14150,7712,1014,1210,12,3,9951,5607,1039,2282,14,3,8945,1418,465,3027,83,4,4997,391,434,303,0,0,1128,513,156,609,26,0,1304,40,58,33,0,0,131,68,36,43,0,0,147,53,19,37,4,0,113,2483,1168,4052,113,4,7820,89,53,35,0,0,177,360,108,183,3,0,654,16251,3382,7762,142,10,27547,Hurstville (C)
14200,2246,14,52,18,0,2330,1783,12,4,8,0,1807,558,28,198,5,0,789,158,0,44,0,0,202,336,3,41,7,0,387,23,0,67,0,0,90,88,0,14,21,0,123,92,3,6,3,0,104,1255,34,370,36,0,1695,43,12,3,3,0,61,146,3,34,5,0,188,5473,75,463,70,0,6081,Inverell (A)
14250,248,3,0,0,0,251,139,0,0,0,0,139,18,0,7,0,0,25,4,3,0,0,0,7,49,0,3,0,0,52,0,0,3,0,3,6,21,0,0,3,0,24,15,0,0,0,0,15,107,3,13,3,3,129,12,0,0,0,0,12,15,0,0,0,0,15,521,6,13,3,3,546,Jerilderie (A)
14300,708,8,3,0,4,723,642,0,0,0,0,642,160,27,7,0,0,194,52,3,0,0,4,59,125,3,0,3,0,131,8,7,0,0,0,15,24,4,0,0,0,28,22,0,0,3,0,25,391,44,7,6,4,452,13,0,0,0,0,13,53,0,3,0,3,59,1807,52,13,6,11,1889,Junee (A)
14350,4206,169,64,74,3,4516,2718,95,26,12,3,2854,1083,138,220,7,0,1448,313,40,38,0,3,394,578,33,32,16,3,662,116,21,16,0,0,153,68,3,20,41,0,132,83,3,13,4,0,103,2241,238,339,68,6,2892,54,4,0,5,0,63,246,16,18,9,0,289,9465,522,447,168,12,10614,Kempsey (A)
14400,2858,245,194,20,0,3317,2083,147,41,3,0,2274,570,169,154,23,3,919,31,16,16,0,0,63,298,57,56,8,0,419,10,6,41,0,0,57,27,0,10,5,0,42,26,3,9,0,0,38,962,251,286,36,3,1538,27,0,96,0,0,123,100,21,36,4,0,161,6030,664,653,63,3,7413,Kiama (A)
14450,5391,533,1255,8,0,7187,3825,523,2043,7,4,6402,851,290,2495,41,9,3686,31,82,112,0,0,225,390,95,507,22,3,1017,26,7,27,0,0,60,42,20,44,0,0,106,47,4,48,0,0,99,1387,498,3233,63,12,5193,45,19,55,0,0,119,251,43,152,0,0,446,10899,1616,6738,78,16,19347,Kogarah (C)
14500,13671,731,1954,6,10,16372,11349,302,1402,5,8,13066,1963,228,1578,4,10,3783,22,0,9,0,0,31,717,78,382,4,12,1193,33,26,96,0,3,158,57,11,34,3,3,108,79,4,41,0,0,124,2871,347,2140,11,28,5397,105,65,171,0,3,344,358,74,165,0,3,600,28354,1519,5832,22,52,35779,Ku-ring-gai (A)
14550,1630,6,9,25,0,1670,997,0,0,7,0,1004,239,15,30,0,0,284,40,4,3,0,0,47,292,3,6,7,0,308,47,0,8,0,0,55,48,0,0,4,0,52,42,3,0,3,0,48,708,25,47,14,0,794,26,0,4,0,0,30,90,0,5,10,0,105,3451,31,65,56,0,3603,Kyogle (A)
14600,1058,0,0,11,0,1069,568,0,0,3,0,571,105,0,19,0,0,124,101,3,11,0,0,115,211,11,4,0,0,226,49,4,5,0,0,58,103,10,3,0,0,116,67,0,3,3,0,73,636,28,45,3,0,712,28,3,0,0,0,31,83,3,3,3,0,92,2373,34,48,20,0,2475,Lachlan (A)
14650,24033,1796,800,361,11,27001,24002,591,304,28,8,24933,5833,1065,1084,55,7,8044,2030,748,662,0,0,3440,2879,332,290,35,3,3539,160,85,171,0,0,416,277,84,25,151,3,540,221,17,37,9,0,284,11400,2331,2269,250,13,16263,232,191,181,7,0,611,1294,212,190,55,0,1751,60961,5121,3744,701,32,70559,Lake Macquarie (C)
14700,2721,211,1026,0,3,3961,2268,219,1487,4,0,3978,510,151,1868,20,4,2553,80,26,93,0,0,199,189,75,415,6,3,688,8,0,67,0,0,75,13,4,28,0,28,73,28,3,21,0,0,52,828,259,2492,26,35,3640,17,5,82,0,3,107,83,14,95,0,3,195,5917,708,5182,30,44,11881,Lane Cove (A)
14750,1291,32,41,12,0,1376,1199,12,25,3,0,1239,332,64,97,3,0,496,117,9,0,0,0,126,214,26,20,3,0,263,9,12,0,0,0,21,59,0,13,11,0,83,41,0,10,0,0,51,772,111,140,17,0,1040,16,0,3,0,0,19,95,9,6,4,0,114,3373,164,215,36,0,3788,Leeton (A)
14800,2706,1922,554,24,0,5206,2965,2938,1074,39,3,7019,1124,1894,2773,102,9,5902,49,245,613,0,0,907,458,538,445,67,6,1514,20,34,79,0,0,133,21,48,29,9,0,107,31,23,27,4,0,85,1703,2782,3966,182,15,8648,28,23,33,0,0,84,127,95,122,14,3,361,7529,7760,5749,259,21,21318,Leichhardt (A)
14850,5460,173,135,112,5,5885,5036,103,111,29,3,5282,1281,321,567,26,0,2195,290,96,138,3,0,527,1186,104,152,38,4,1484,77,31,25,0,0,133,86,13,22,89,0,210,104,8,4,11,0,127,3024,573,908,167,4,4676,93,15,15,3,0,126,263,42,51,17,0,373,13876,906,1220,328,12,16342,Lismore (C)
14870,2998,104,12,17,0,3131,2378,39,8,4,0,2429,604,149,104,20,3,880,323,38,56,0,0,417,379,37,25,7,0,448,8,5,4,3,0,20,57,5,0,3,0,65,58,3,4,0,0,65,1429,237,193,33,3,1895,39,22,0,0,0,61,206,22,16,27,0,271,7050,424,229,81,3,7787,Lithgow (C)
14900,11391,934,549,27,7,12908,18750,2370,1313,8,13,22454,4305,1404,2621,14,7,8351,2007,805,1406,0,0,4218,1575,268,266,12,3,2124,109,91,145,0,4,349,795,77,69,18,5,964,198,36,54,3,4,295,8989,2681,4561,47,23,16301,197,65,31,3,0,296,1018,306,307,3,4,1638,40345,6356,6761,88,47,53597,Liverpool (C)
14920,1246,4,10,5,3,1268,715,3,0,7,0,725,226,17,16,3,0,262,50,7,4,0,0,61,280,6,12,3,0,301,27,5,6,0,0,38,116,0,5,0,3,124,60,0,0,3,0,63,759,35,43,9,3,849,33,0,0,0,0,33,70,0,0,3,0,73,2823,42,53,24,6,2948,Liverpool Plains (A)
14950,538,0,0,5,0,543,342,0,0,6,0,348,25,0,4,0,0,29,3,0,0,0,3,6,92,0,3,0,3,98,11,0,0,0,3,14,27,0,4,0,0,31,9,0,0,0,0,9,167,0,11,0,9,187,7,0,0,0,0,7,42,0,0,0,0,42,1096,0,11,11,9,1127,Lockhart (A)
15050,6963,310,127,34,0,7434,9265,200,93,18,0,9576,2443,541,545,33,0,3562,998,195,193,0,0,1386,815,107,79,17,0,1018,32,27,30,0,0,89,234,18,16,41,3,312,73,5,6,3,0,87,4595,893,869,94,3,6454,79,27,37,0,0,143,360,55,61,13,0,489,21262,1485,1187,159,3,24096,Maitland (C)
15150,2683,588,1600,10,0,4881,2453,544,1356,6,0,4359,559,405,2903,15,14,3896,43,33,178,0,0,254,215,148,771,11,5,1150,13,4,55,0,0,72,15,27,30,0,0,72,16,13,43,5,0,77,861,630,3980,31,19,5521,30,3,41,0,0,74,88,24,184,3,0,299,6115,1789,7161,50,19,15134,Manly (A)
15200,3991,1921,1048,44,8,7012,3445,3100,2631,37,20,9233,1427,2143,5471,167,25,9233,121,164,573,0,0,858,568,603,873,102,14,2160,95,59,173,4,0,331,38,28,65,21,0,152,53,41,60,3,0,157,2302,3038,7215,297,39,12891,55,41,35,3,3,137,251,151,294,7,0,703,10044,8251,11223,388,70,29976,Marrickville (A)
15270,3219,60,46,60,3,3388,2397,33,8,14,0,2452,853,146,141,11,0,1151,210,18,50,0,0,278,455,21,11,12,0,499,26,3,5,0,0,34,126,3,3,26,0,158,90,0,7,3,0,100,1760,191,217,52,0,2220,51,3,0,0,0,54,188,19,25,17,0,249,7615,306,296,143,3,8363,Mid-Western Regional (A)
15300,1328,21,9,38,4,1400,1136,11,8,4,0,1159,382,36,195,4,0,617,216,49,67,0,0,332,290,7,19,5,0,321,144,4,17,0,0,165,294,0,33,6,3,336,104,0,6,0,0,110,1430,96,337,15,3,1881,46,0,3,0,0,49,134,3,23,12,0,172,4074,131,380,69,7,4661,Moree Plains (A)
15350,2125,516,1285,3,15,3944,1401,418,1000,0,10,2829,359,270,2094,3,13,2739,4,24,17,0,0,45,172,84,497,3,8,764,4,4,48,0,0,56,9,4,13,0,0,26,18,3,35,0,0,56,566,389,2704,6,21,3686,23,7,55,3,0,88,62,16,116,0,0,194,4177,1346,5160,12,46,10741,Mosman (A)
15500,1038,7,89,27,3,1164,742,4,13,4,5,768,252,9,71,0,5,337,15,0,3,0,0,18,122,3,16,3,0,144,41,0,8,0,0,49,40,0,0,13,0,53,28,0,0,3,0,31,498,12,98,19,5,632,46,0,9,5,0,60,62,0,20,3,0,85,2386,23,229,58,13,2709,Murray (A)
15550,281,0,0,6,0,287,222,0,0,4,0,226,55,0,6,3,0,64,8,0,3,0,0,11,88,0,18,3,0,109,7,0,9,0,0,16,57,0,0,5,0,62,26,0,3,0,0,29,241,0,39,11,0,291,11,0,0,0,0,11,21,0,0,0,0,21,776,0,39,21,0,836,Murrumbidgee (A)
15650,1445,38,10,16,3,1512,1804,14,28,9,0,1855,811,98,176,3,12,1100,238,25,41,0,0,304,258,3,21,0,4,286,47,10,10,0,0,67,125,0,7,20,0,152,56,0,7,3,0,66,1535,136,262,26,16,1975,26,7,3,0,0,36,115,19,15,6,0,155,4925,214,318,57,19,5533,Muswellbrook (A)
15700,3114,95,103,103,0,3415,1785,34,19,19,0,1857,609,110,217,13,0,949,237,13,59,0,0,309,415,20,48,7,0,490,49,19,33,0,0,101,54,12,8,23,0,97,63,7,5,4,0,79,1427,181,370,47,0,2025,43,10,10,0,0,63,183,29,31,14,0,257,6552,349,533,183,0,7617,Nambucca (A)
15750,1700,4,18,30,6,1758,1321,0,8,5,8,1342,209,18,153,0,0,380,165,3,57,0,0,225,378,3,74,3,0,458,30,3,14,0,0,47,191,3,24,12,0,230,78,3,11,3,0,95,1051,33,333,18,0,1435,46,0,8,0,0,54,155,0,23,16,0,194,4273,37,390,69,14,4783,Narrabri (A)
15800,890,5,16,7,0,918,644,5,5,0,5,659,124,7,30,0,0,161,49,3,3,0,0,55,201,5,13,3,0,222,10,0,3,0,0,13,53,0,13,0,0,66,25,3,3,0,0,31,462,18,65,3,0,548,22,0,0,0,0,22,80,3,3,12,0,98,2098,31,89,22,5,2245,Narrandera (A)
15850,918,5,7,8,0,938,693,0,0,6,0,699,185,23,30,5,0,243,107,5,10,0,0,122,165,5,10,5,0,185,17,3,7,0,0,27,70,3,5,3,0,81,40,0,6,3,0,49,584,39,68,16,0,707,26,0,0,0,0,26,73,0,6,0,0,79,2294,44,81,30,0,2449,Narromine (A)
15900,15715,1396,898,37,10,18056,16409,1185,952,32,12,18590,5482,2006,3014,75,29,10606,744,1064,1697,0,6,3511,2799,699,882,32,19,4431,131,208,121,3,0,463,313,101,67,12,0,493,195,59,54,0,0,308,9664,4137,5835,122,54,19812,194,123,79,5,0,401,1006,215,360,3,8,1592,42988,7056,8124,199,84,58451,Newcastle (C)
15950,1779,1298,3827,16,8,6928,1315,1228,4123,16,13,6695,506,1135,9299,46,16,11002,12,66,375,0,0,453,217,324,1899,15,3,2458,7,5,29,0,0,41,19,16,88,3,3,129,17,23,89,0,0,129,778,1569,11779,64,22,14212,15,18,84,0,0,117,50,54,361,4,9,478,3937,4167,20174,100,52,28430,North Sydney (A)
16100,788,0,0,5,0,793,593,5,0,0,0,598,171,22,23,0,0,216,28,0,8,0,0,36,92,0,3,0,0,95,3,3,3,0,0,9,40,0,3,11,0,54,21,3,0,0,0,24,355,28,40,11,0,434,12,0,0,0,0,12,45,3,0,0,0,48,1793,36,40,16,0,1885,Oberon (A)
16150,4093,196,66,20,3,4378,4349,111,33,4,3,4500,1883,425,364,24,0,2696,609,123,183,0,0,915,528,49,57,7,0,641,50,7,30,3,0,90,74,8,12,13,0,107,49,4,7,0,0,60,3193,616,653,47,0,4509,53,9,13,4,0,79,293,46,37,24,0,400,11981,978,802,99,6,13866,Orange (C)
16180,1733,12,0,81,3,1829,2183,13,5,22,0,2223,264,20,3,5,0,292,11,0,0,0,0,11,248,10,6,9,0,273,0,0,0,0,0,0,43,4,0,18,0,65,42,0,3,3,0,48,608,34,12,35,0,689,22,4,0,0,0,26,55,9,0,18,0,82,4601,72,17,156,3,4849,Palerang (A)
16200,1972,38,5,16,3,2034,1575,5,12,5,3,1600,492,71,78,4,0,645,205,5,42,0,3,255,386,16,15,6,0,423,48,16,11,0,0,75,78,4,10,12,0,104,45,0,3,0,0,48,1254,112,159,22,3,1550,40,15,0,0,0,55,132,11,13,9,0,165,4973,181,189,52,9,5404,Parkes (A)
16250,11186,1206,1841,12,7,14252,11125,2782,4119,21,23,18070,3153,1586,8430,43,33,13245,1627,968,1860,4,3,4462,1437,369,1136,21,14,2977,85,162,412,0,4,663,225,226,154,4,4,613,150,39,110,4,5,308,6677,3350,12102,76,63,22268,184,73,318,0,0,575,756,170,602,3,7,1538,29928,7581,18982,112,100,56703,Parramatta (C)
16350,14272,1021,480,121,12,15906,23342,1737,901,15,3,25998,5501,2102,1706,20,5,9334,1306,754,565,3,0,2628,2271,408,267,35,6,2987,93,122,69,0,10,294,303,23,24,17,0,367,191,35,28,0,4,258,9665,3444,2659,75,25,15868,173,50,25,5,31,284,959,175,177,12,12,1335,48411,6427,4242,228,83,59391,Penrith (C)
16370,6091,830,868,40,0,7829,6219,712,599,14,3,7547,1131,270,737,53,0,2191,8,3,0,0,0,11,733,153,313,20,0,1219,9,5,51,0,0,65,61,14,26,8,0,109,79,14,23,0,6,122,2021,459,1150,81,6,3717,68,84,97,4,0,253,233,82,109,5,0,429,14632,2167,2823,144,9,19775,Pittwater (A)
16380,9949,1164,645,423,3,12184,7055,456,303,34,3,7851,2418,800,1131,48,4,4401,399,244,234,4,0,881,1182,228,246,32,5,1693,74,65,41,3,0,183,131,28,35,159,3,356,103,21,32,10,0,166,4307,1386,1719,256,12,7680,188,194,75,47,0,504,487,148,168,36,3,842,21986,3348,2910,796,21,29061,Port Macquarie-Hastings (A)
16400,7761,693,260,306,0,9020,6940,412,107,33,3,7495,2337,924,403,9,4,3677,586,125,129,0,3,843,855,170,99,24,3,1151,88,51,7,0,0,146,509,56,13,110,0,688,82,22,8,0,4,116,4457,1348,659,143,14,6621,142,71,22,7,0,242,452,73,46,27,0,598,19752,2597,1094,516,17,23976,Port Stephens (A)
16470,2973,362,239,19,5,3598,4331,747,510,0,6,5594,666,606,1116,11,0,2399,482,88,112,0,0,682,394,219,243,9,0,865,28,36,23,0,0,87,359,23,37,13,0,432,34,18,13,3,0,68,1963,990,1544,36,0,4533,45,16,17,3,0,81,175,42,73,14,0,304,9487,2157,2383,72,11,14110,Queanbeyan (C)
16550,7203,2216,3686,32,3,13140,4536,2434,4613,17,11,11611,1348,1359,10909,102,23,13741,244,510,2337,0,0,3091,587,449,2449,33,12,3530,55,43,210,0,0,308,82,139,184,6,0,411,68,30,171,3,5,277,2384,2530,16260,144,40,21358,61,57,172,4,3,297,365,171,613,3,5,1157,14549,7408,25344,200,62,47563,Randwick (C)
16610,2925,108,95,102,3,3233,2346,68,36,21,0,2471,705,137,294,12,3,1151,205,27,38,0,0,270,494,50,86,9,0,639,59,26,28,0,0,113,97,10,20,40,0,167,71,11,6,3,0,91,1631,261,472,64,3,2431,43,6,22,0,0,71,199,22,28,6,0,255,7144,465,653,193,6,8461,Richmond Valley (A)
16650,8109,1660,2043,58,5,11875,5435,1506,3523,27,20,10511,1775,707,5030,100,22,7634,104,89,578,0,0,771,734,220,831,32,6,1823,65,26,65,3,3,162,87,34,79,30,0,230,99,20,72,3,0,194,2864,1096,6655,168,31,10814,92,25,72,0,0,189,508,98,397,18,0,1021,17008,4385,12690,271,56,34410,Rockdale (C)
16700,9117,1436,1564,15,3,12135,7212,1716,2628,3,0,11559,1758,1305,5430,20,9,8522,254,472,720,0,3,1449,839,344,838,9,3,2033,46,89,223,0,4,362,75,114,82,10,0,281,79,35,65,0,0,179,3051,2359,7358,39,19,12826,74,77,182,0,0,333,429,102,286,3,3,823,19883,5690,12018,60,25,37676,Ryde (C)
16900,6559,595,162,232,0,7548,7685,490,140,3,0,8318,1607,754,416,21,0,2798,1153,292,230,0,0,1675,809,192,96,15,0,1112,45,20,20,0,0,85,70,22,7,37,0,136,62,13,13,3,0,91,3746,1293,782,76,0,5897,79,36,25,6,0,146,393,79,37,18,0,527,18462,2493,1146,335,0,22436,Shellharbour (C)
16950,14306,529,294,433,21,15583,9725,167,108,21,11,10032,3487,555,485,15,0,4542,805,218,258,0,0,1281,1729,123,140,31,6,2029,161,54,76,0,0,291,463,14,26,105,10,618,179,14,11,4,0,208,6824,978,996,155,16,8969,176,90,43,8,9,326,813,84,80,40,5,1022,31844,1848,1521,657,62,35932,Shoalhaven (C)
17000,2238,53,56,36,0,2383,2939,101,33,9,0,3082,818,201,159,5,0,1183,287,15,68,0,0,370,269,23,10,10,0,312,6,0,5,0,0,11,125,5,3,46,3,182,56,0,0,3,0,59,1561,244,245,64,3,2117,33,3,6,0,0,42,113,3,13,4,0,133,6884,404,353,113,3,7757,Singleton (A)
17050,746,77,40,16,6,885,618,68,63,0,4,753,163,49,75,0,7,294,8,3,0,0,0,11,134,29,19,7,3,192,0,3,0,0,0,3,39,9,11,6,3,68,23,3,3,3,3,35,367,96,108,16,16,603,15,0,3,0,3,21,33,4,7,23,35,102,1779,245,221,55,64,2364,Snowy River (A)
17350,1045,3,22,11,0,1081,588,4,7,3,0,602,137,0,27,0,0,164,50,0,7,0,0,57,152,4,15,0,3,174,24,0,23,0,0,47,28,0,5,0,3,36,29,0,4,0,0,33,420,4,81,0,6,511,24,0,0,0,0,24,63,3,7,0,0,73,2140,14,117,14,6,2291,Temora (A)
17310,6921,235,152,61,5,7374,6571,109,73,26,10,6789,2282,243,797,14,3,3339,589,98,139,0,3,829,1117,57,143,23,3,1343,30,35,41,0,0,106,260,11,32,34,3,340,139,5,32,5,0,181,4417,449,1184,76,12,6138,117,40,7,3,3,170,461,84,97,29,0,671,18487,917,1513,195,30,21142,Tamworth Regional (A)
17400,1204,3,5,45,3,1260,661,3,0,22,3,689,172,21,28,0,0,221,46,3,12,0,0,61,184,3,11,10,0,208,33,0,7,0,0,40,53,0,6,0,3,62,31,0,3,3,0,37,519,27,67,13,3,629,34,0,3,0,0,37,66,0,0,4,0,70,2484,33,75,84,9,2685,Tenterfield (A)
17420,17304,1289,567,20,9,19189,21676,2201,820,4,17,24718,3426,1249,916,6,7,5604,138,169,47,0,8,362,1183,289,151,9,0,1632,43,96,18,0,6,163,170,137,35,12,10,364,139,31,19,0,0,189,5099,1971,1186,27,31,8314,165,122,49,0,9,345,569,93,64,4,0,730,44813,5676,2686,55,66,53296,The Hills Shire (A)
17450,569,0,0,8,0,577,326,0,0,3,0,329,88,0,5,3,0,96,13,0,4,0,0,17,125,0,10,4,0,139,5,0,0,0,0,5,36,0,6,0,0,42,18,0,5,0,0,23,285,0,30,7,0,322,11,0,0,0,0,11,47,0,0,3,0,50,1238,0,30,21,0,1289,Tumbarumba (A)
17500,1604,20,32,13,0,1669,1204,0,14,9,0,1227,357,9,123,0,0,489,171,17,9,0,0,197,232,4,32,3,0,271,10,8,0,0,0,18,86,4,10,11,0,111,40,4,10,0,0,54,896,46,184,14,0,1140,21,3,3,0,0,27,105,4,8,3,17,137,3830,73,241,39,17,4200,Tumut Shire (A)
17550,9360,2238,1026,764,13,13401,7588,1254,510,50,5,9407,2136,1353,1424,17,10,4940,265,383,264,0,0,912,1539,644,509,48,11,2751,66,61,53,0,0,180,161,67,71,192,3,494,137,41,42,20,0,240,4304,2549,2363,277,24,9517,128,131,57,15,0,331,513,243,191,52,4,1003,21893,6415,4147,1158,46,33659,Tweed (A)
17620,1775,8,18,45,3,1849,1593,7,8,7,3,1618,381,56,87,3,0,527,106,12,26,0,0,144,411,8,19,5,0,443,30,4,15,0,0,49,208,5,12,39,0,264,127,0,0,0,0,127,1263,85,159,47,0,1554,56,3,3,0,0,62,139,6,8,6,3,162,4826,109,196,105,9,5245,Upper Hunter Shire (A)
17640,1343,22,3,14,0,1382,810,3,3,10,0,826,112,3,3,3,0,121,14,0,3,0,0,17,210,0,0,0,0,210,10,7,3,0,0,20,60,0,0,0,0,60,48,3,0,3,0,54,454,13,9,6,0,482,31,0,0,4,0,35,65,3,3,0,0,71,2703,41,18,34,0,2796,Upper Lachlan Shire (A)
17650,927,0,9,15,0,951,726,3,3,4,0,736,132,3,30,0,0,165,10,0,6,0,0,16,161,0,7,6,0,174,0,0,0,0,0,0,60,0,0,9,0,69,23,0,3,0,0,26,386,3,46,15,0,450,15,0,3,0,0,18,41,4,4,0,0,49,2095,10,65,34,0,2204,Uralla (A)
17700,220,0,0,3,0,223,117,0,0,0,0,117,4,0,0,0,0,4,6,0,0,0,0,6,42,0,0,0,0,42,4,0,0,0,0,4,15,0,0,0,0,15,11,0,0,0,0,11,82,0,0,0,0,82,4,0,0,0,0,4,18,0,0,0,0,18,441,0,0,3,0,444,Urana (A)
17750,5960,211,288,24,3,6486,7104,131,181,18,0,7434,2185,313,1185,32,17,3732,958,65,150,3,0,1176,1082,66,180,16,0,1344,37,17,49,0,0,103,468,18,19,21,0,526,109,12,17,3,0,141,4839,491,1600,75,17,7022,93,47,48,0,0,188,416,40,113,15,0,584,18412,920,2230,132,20,21714,Wagga Wagga (C)
17800,666,4,19,8,4,701,354,0,5,3,0,362,51,5,33,0,0,89,6,0,0,0,0,6,138,3,11,10,0,162,3,0,0,0,0,3,69,0,6,3,0,78,30,0,0,3,0,33,297,8,50,16,0,371,18,0,4,0,0,22,48,0,3,5,0,56,1383,12,81,32,4,1512,Wakool (A)
17850,553,0,3,3,0,559,268,0,3,3,0,274,41,7,8,0,0,56,24,0,9,0,0,33,98,6,3,4,0,111,4,0,0,0,0,4,53,0,3,5,0,61,48,0,3,0,0,51,268,13,26,9,0,316,21,0,0,3,0,24,37,3,3,3,0,46,1147,16,35,21,0,1219,Walcha (A)
17900,867,3,3,142,6,1021,326,3,6,7,4,346,57,4,9,5,0,75,149,0,21,3,0,173,166,0,8,13,3,190,105,0,20,3,0,128,192,8,28,9,0,237,81,3,3,16,0,103,750,15,89,49,3,906,55,0,0,18,0,73,112,0,7,27,0,146,2110,21,105,243,13,2492,Walgett (A)
17950,447,5,4,8,0,464,223,5,0,0,0,228,20,0,7,0,0,27,50,3,0,0,0,53,103,7,10,9,0,129,11,0,14,0,0,25,69,9,0,5,0,83,41,0,0,0,0,41,294,19,31,14,0,358,10,3,0,0,0,13,32,0,4,3,0,39,1006,32,39,25,0,1102,Warren (A)
18000,12987,913,2987,31,7,16925,13152,777,4842,15,11,18797,2205,486,5635,31,9,8366,202,210,487,0,0,899,1183,268,1412,32,10,2905,43,80,286,0,0,409,101,72,98,13,4,288,129,29,105,3,0,266,3863,1145,8023,79,23,13133,170,165,360,0,0,695,506,116,453,12,0,1087,30678,3116,16665,137,41,50637,Warringah (A)
18020,1692,6,13,35,3,1749,814,0,0,9,4,827,160,4,30,0,3,197,81,0,10,0,0,91,353,7,20,9,0,389,14,0,14,0,0,28,115,0,10,5,3,133,74,0,0,0,0,74,797,11,84,14,6,912,42,0,7,0,0,49,101,3,14,8,0,126,3446,20,118,66,13,3663,Warrumbungle Shire (A)
18050,2312,1582,2549,17,7,6467,1709,1633,2567,15,18,5942,497,836,6794,81,20,8228,9,22,411,0,3,445,247,413,1804,35,7,2506,6,9,95,0,0,110,15,13,95,4,3,130,22,29,152,0,0,203,796,1322,9351,120,33,11622,21,18,97,0,0,136,105,118,475,5,0,703,4943,4673,15039,157,58,24870,Waverley (A)
18100,757,3,8,6,0,774,342,0,5,0,0,347,47,10,18,0,0,75,18,0,3,0,0,21,134,0,7,0,0,141,3,14,11,0,0,28,24,0,3,0,0,27,20,3,0,0,0,23,246,27,42,0,0,315,14,0,0,0,0,14,44,4,4,0,0,52,1403,34,59,6,0,1502,Weddin (A)
18150,1229,10,7,12,0,1258,801,6,4,3,0,814,292,6,31,6,0,335,101,5,15,0,0,121,201,11,10,0,0,222,37,12,19,0,0,68,59,6,12,0,0,77,44,0,3,3,0,50,734,40,90,9,0,873,24,0,0,0,0,24,74,5,8,6,0,93,2862,61,109,30,0,3062,Wellington (A)
17100,2549,180,528,0,0,3257,1887,229,1433,5,0,3554,583,164,2145,21,0,2913,115,189,155,0,0,459,178,40,326,10,0,554,16,48,29,0,0,93,25,14,27,0,5,71,32,4,25,0,0,61,949,459,2707,31,5,4151,44,15,17,0,0,76,180,30,130,0,0,340,5609,913,4815,36,5,11378,Strathfield (A)
17150,22160,3078,2962,84,3,28287,22486,2674,4192,22,3,29377,2813,1358,5847,66,5,10089,354,492,931,0,0,1777,1264,332,1087,40,3,2726,100,102,184,0,0,386,145,198,53,78,3,477,127,25,69,5,3,229,4803,2507,8171,189,14,15684,179,94,253,3,0,529,762,253,448,10,0,1473,50390,8606,16026,308,20,75350,Sutherland Shire (A)
