lga_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,lga_name16
17550,28627.0,29639.0,30069.0,30969.0,32791.0,51.0,51.0,51.0,51.0,51.0,197690129.0,207405473.0,219258201.0,235187681.0,245759653.0,451.0,413.0,401.0,407.0,343.0,6906.0,6998.0,7292.0,7594.0,7495.0,17.6,17.4,17.4,16.9,17.1,Tweed (A)
17620,5110.0,5339.0,5324.0,5280.0,5367.0,47.0,47.0,48.0,48.0,47.0,30472749.0,35682314.0,35718281.0,47901418.0,48651274.0,313.0,317.0,345.0,351.0,313.0,5963.0,6683.0,6709.0,9072.0,9065.0,11.8,12.1,13.1,13.1,11.7,Upper Hunter Shire (A)
17640,3180.0,3277.0,3238.0,3326.0,3423.0,52.0,52.0,52.0,52.0,52.0,18337725.0,24129887.0,29745994.0,22849205.0,21370218.0,647.0,719.0,664.0,590.0,576.0,5767.0,7363.0,9187.0,6870.0,6243.0,14.4,15.2,16.4,16.0,15.0,Upper Lachlan Shire (A)
17650,2373.0,2467.0,2441.0,2418.0,2379.0,49.0,49.0,50.0,51.0,51.0,11698128.0,12499147.0,14623457.0,15037235.0,15561719.0,313.0,288.0,347.0,386.0,443.0,4930.0,5067.0,5991.0,6219.0,6541.0,13.1,14.0,15.2,15.9,14.8,Uralla (A)
17750,20807.0,21527.0,22025.0,22432.0,23450.0,46.0,46.0,46.0,46.0,46.0,163597783.0,182406994.0,196000924.0,196867360.0,202598240.0,359.0,353.0,344.0,343.0,299.0,7863.0,8473.0,8899.0,8776.0,8640.0,11.8,12.1,12.1,12.3,12.2,Wagga Wagga (C)
17850,1381.0,1440.0,1433.0,1420.0,1410.0,52.0,52.0,53.0,54.0,53.0,11640422.0,12287970.0,12370782.0,13709573.0,14380723.0,678.0,640.0,672.0,819.0,721.0,8429.0,8533.0,8633.0,9655.0,10199.0,16.9,17.6,21.2,22.3,17.8,Walcha (A)
17900,1495.0,1580.0,1524.0,1555.0,1583.0,49.0,49.0,49.0,50.0,49.0,7971482.0,9559850.0,8827511.0,9064917.0,8987877.0,507.0,538.0,470.0,494.0,345.0,5332.0,6051.0,5792.0,5830.0,5678.0,9.7,12.4,9.9,14.2,14.9,Walgett (A)
17950,949.0,1028.0,1002.0,1058.0,1024.0,49.0,50.0,50.0,49.0,50.0,13445620.0,15809688.0,14025866.0,13426690.0,13733677.0,888.0,938.0,1091.0,762.0,701.0,14168.0,15379.0,13998.0,12691.0,13412.0,14.5,15.9,14.1,15.9,12.8,Warren (A)
18020,3065.0,3133.0,3114.0,3075.0,3113.0,52.0,52.0,52.0,53.0,53.0,20372692.0,20867457.0,21898460.0,24383554.0,22368348.0,521.0,504.0,504.0,548.0,530.0,6647.0,6661.0,7032.0,7930.0,7185.0,16.1,16.7,17.4,17.3,15.1,Warrumbungle Shire (A)
18050,30102.0,31508.0,32826.0,33699.0,35909.0,40.0,40.0,40.0,40.0,40.0,538438557.0,591476471.0,617671840.0,737031491.0,707390540.0,1010.0,931.0,885.0,872.0,745.0,17887.0,18772.0,18817.0,21871.0,19700.0,15.7,15.8,15.7,15.6,15.9,Waverley (A)
18100,1449.0,1454.0,1462.0,1438.0,1491.0,52.0,52.0,52.0,53.0,53.0,9711365.0,9208118.0,9519858.0,9492472.0,10371136.0,753.0,713.0,639.0,714.0,672.0,6702.0,6333.0,6512.0,6601.0,6956.0,15.5,17.7,16.3,15.0,15.4,Weddin (A)
18200,1976.0,1986.0,1972.0,1989.0,2150.0,51.0,51.0,51.0,52.0,51.0,18586899.0,18392930.0,18065037.0,18735038.0,21008043.0,734.0,642.0,646.0,609.0,511.0,9406.0,9261.0,9161.0,9419.0,9771.0,15.9,15.8,15.5,15.4,16.4,Wentworth (A)
18230,16394.0,17151.0,17174.0,17693.0,17982.0,47.0,47.0,47.0,47.0,47.0,106249525.0,121321956.0,113966616.0,125429137.0,126738641.0,292.0,266.0,274.0,254.0,242.0,6481.0,7074.0,6636.0,7089.0,7048.0,11.3,11.7,11.7,11.3,11.2,Western Plains Regional (A)
18250,34618.0,35580.0,36247.0,37257.0,38999.0,44.0,44.0,44.0,44.0,44.0,617043406.0,637157140.0,665982629.0,799699628.0,726511029.0,1513.0,1356.0,1337.0,1290.0,1222.0,17824.0,17908.0,18373.0,21464.0,18629.0,21.1,20.8,20.9,20.7,21.1,Willoughby (C)
18350,18010.0,18540.0,18870.0,19427.0,20495.0,52.0,53.0,53.0,53.0,53.0,222383158.0,233717619.0,257179380.0,278354582.0,291838512.0,685.0,645.0,632.0,690.0,635.0,12348.0,12606.0,13629.0,14328.0,14239.0,20.8,20.7,20.7,20.8,20.9,Wingecarribee (A)
18400,15662.0,16550.0,16999.0,17541.0,18802.0,46.0,46.0,46.0,46.0,45.0,78677001.0,87265678.0,91884935.0,103220556.0,113225652.0,214.0,226.0,234.0,233.0,220.0,5023.0,5273.0,5405.0,5885.0,6022.0,9.7,9.8,9.8,9.9,10.0,Wollondilly (A)
18450,68918.0,70324.0,70875.0,72473.0,75317.0,46.0,46.0,46.0,46.0,46.0,353175275.0,387776872.0,422995160.0,444480065.0,464737278.0,390.0,399.0,407.0,421.0,397.0,5125.0,5514.0,5968.0,6133.0,6170.0,13.2,13.1,13.3,13.3,13.4,Wollongong (C)
18500,28640.0,29485.0,30117.0,30928.0,32747.0,46.0,46.0,46.0,47.0,46.0,1599411178.0,1730970492.0,1788218419.0,2015093870.0,1946932555.0,3819.0,3847.0,3610.0,3572.0,3200.0,55845.0,58707.0,59376.0,65154.0,59454.0,28.8,28.9,28.6,28.6,28.8,Woollahra (A)
18710,6409.0,6753.0,6926.0,7037.0,7098.0,47.0,48.0,48.0,48.0,49.0,48826146.0,52672225.0,56066160.0,55165600.0,55122966.0,365.0,360.0,360.0,392.0,361.0,7618.0,7800.0,8095.0,7839.0,7766.0,11.8,11.8,12.5,12.4,12.9,Yass Valley (A)
19399,302.0,319.0,326.0,326.0,344.0,50.0,51.0,49.0,50.0,52.0,2081791.0,2357154.0,2258094.0,2829594.0,2814180.0,1134.0,1070.0,1084.0,860.0,1132.0,6893.0,7389.0,6927.0,8680.0,8181.0,10.8,11.7,13.0,13.1,13.6,Unincorporated NSW
20110,4818.0,5005.0,5102.0,5178.0,5323.0,51.0,52.0,52.0,52.0,52.0,31262403.0,36164980.0,35181156.0,37091394.0,37519390.0,766.0,795.0,705.0,660.0,558.0,6489.0,7226.0,6896.0,7163.0,7049.0,18.1,18.3,18.8,18.0,17.5,Alpine (S)
20260,3764.0,3868.0,3902.0,4109.0,4187.0,51.0,52.0,52.0,51.0,51.0,32528241.0,32584900.0,27278597.0,28171441.0,28722827.0,723.0,645.0,557.0,462.0,416.0,8642.0,8424.0,6991.0,6856.0,6860.0,16.2,15.8,15.6,15.0,15.1,Ararat (RC)
20570,32458.0,33700.0,34158.0,35309.0,37012.0,46.0,46.0,46.0,46.0,46.0,236804021.0,267091981.0,279378527.0,287440024.0,296527809.0,405.0,396.0,330.0,284.0,256.0,7296.0,7926.0,8179.0,8141.0,8012.0,13.6,13.8,13.5,13.6,14.0,Ballarat (C)
20660,51384.0,52453.0,52894.0,53844.0,55226.0,45.0,46.0,46.0,46.0,45.0,455720025.0,481089172.0,478668549.0,521532121.0,562281363.0,717.0,702.0,636.0,571.0,535.0,8869.0,9172.0,9050.0,9686.0,10181.0,15.4,15.7,15.7,15.8,16.4,Banyule (C)
20740,10386.0,10790.0,10935.0,11128.0,11749.0,52.0,52.0,52.0,53.0,52.0,87560191.0,91499819.0,88391332.0,87457337.0,97882238.0,702.0,676.0,563.0,501.0,446.0,8431.0,8480.0,8083.0,7859.0,8331.0,18.6,18.7,19.3,18.3,18.4,Bass Coast (S)
20830,15533.0,16284.0,16408.0,16912.0,17917.0,49.0,50.0,50.0,50.0,50.0,116381369.0,124443140.0,127036039.0,131222226.0,135528355.0,563.0,539.0,478.0,389.0,332.0,7493.0,7642.0,7742.0,7759.0,7564.0,14.3,14.8,15.4,14.9,15.2,Baw Baw (S)
20910,46627.0,47968.0,48580.0,50073.0,52093.0,49.0,49.0,49.0,49.0,49.0,1184283134.0,1242853864.0,1296158503.0,1446952478.0,1436216776.0,2619.0,2471.0,2521.0,2273.0,2141.0,25399.0,25910.0,26681.0,28897.0,27570.0,27.7,27.6,27.8,27.7,27.9,Bayside (C)
21010,5102.0,5327.0,5292.0,5275.0,5425.0,52.0,52.0,53.0,53.0,53.0,35899013.0,37207283.0,39241713.0,39426219.0,39647499.0,621.0,631.0,593.0,547.0,428.0,7036.0,6985.0,7415.0,7474.0,7308.0,15.9,16.6,17.4,17.2,16.9,Benalla (RC)
21110,84562.0,86314.0,87635.0,89177.0,92188.0,46.0,47.0,47.0,47.0,46.0,1921751005.0,2083849681.0,2130575368.0,2309378319.0,2316038656.0,2334.0,2240.0,2171.0,2073.0,1921.0,22726.0,24143.0,24312.0,25897.0,25123.0,25.9,25.9,26.2,26.2,26.6,Boroondara (C)
21180,50344.0,52924.0,53771.0,55604.0,58927.0,41.0,41.0,42.0,42.0,41.0,186731663.0,202338127.0,207030806.0,216860078.0,224152031.0,320.0,317.0,266.0,222.0,191.0,3709.0,3823.0,3850.0,3900.0,3804.0,8.0,8.1,8.3,8.3,8.8,Brimbank (C)
21270,2796.0,2919.0,2834.0,2787.0,2846.0,51.0,52.0,52.0,53.0,53.0,17437508.0,18954995.0,18739541.0,19594251.0,19458026.0,1044.0,1118.0,1118.0,1050.0,931.0,6237.0,6494.0,6612.0,7031.0,6837.0,17.8,18.5,18.0,17.9,23.6,Buloke (S)
21370,12944.0,13564.0,13511.0,13613.0,14458.0,49.0,49.0,50.0,50.0,50.0,89779678.0,101136028.0,96409725.0,106785519.0,109926599.0,598.0,556.0,484.0,448.0,365.0,6936.0,7456.0,7136.0,7844.0,7603.0,16.0,15.8,16.1,15.4,15.1,Campaspe (S)
21450,24557.0,26601.0,27197.0,29019.0,31656.0,44.0,43.0,44.0,43.0,43.0,171448354.0,195358667.0,193111374.0,197274688.0,200285631.0,268.0,228.0,189.0,149.0,123.0,6982.0,7344.0,7100.0,6798.0,6327.0,10.6,10.5,10.1,10.1,10.0,Cardinia (S)
21610,75180.0,80310.0,82831.0,88053.0,95469.0,42.0,42.0,42.0,42.0,42.0,391480992.0,435069262.0,415927004.0,427276296.0,435338315.0,189.0,178.0,148.0,119.0,100.0,5207.0,5417.0,5021.0,4852.0,4560.0,7.5,7.6,7.7,7.7,8.1,Casey (C)
21670,3643.0,3711.0,3765.0,3834.0,3927.0,51.0,51.0,51.0,51.0,51.0,19623089.0,20884059.0,20682851.0,20589237.0,20396037.0,479.0,463.0,412.0,327.0,282.0,5387.0,5628.0,5493.0,5370.0,5194.0,15.6,15.0,14.9,15.2,15.7,Central Goldfields (S)
21750,8175.0,8446.0,8376.0,8448.0,8710.0,49.0,50.0,50.0,50.0,50.0,60728788.0,68414650.0,65072562.0,70411530.0,69608589.0,581.0,596.0,545.0,450.0,379.0,7429.0,8100.0,7769.0,8335.0,7992.0,16.4,16.6,17.5,17.0,16.8,Colac-Otway (S)
21830,6495.0,6701.0,6651.0,6640.0,6881.0,50.0,50.0,50.0,51.0,50.0,47937062.0,54846739.0,51185230.0,50657475.0,55230876.0,781.0,835.0,699.0,614.0,565.0,7381.0,8185.0,7696.0,7629.0,8027.0,15.9,17.0,18.8,15.3,15.3,Corangamite (S)
21890,48995.0,51160.0,52766.0,54324.0,57382.0,40.0,40.0,40.0,40.0,40.0,280750043.0,321189587.0,330632595.0,346074552.0,371409427.0,436.0,431.0,384.0,353.0,304.0,5730.0,6278.0,6266.0,6371.0,6473.0,10.4,10.5,10.5,10.5,10.8,Darebin (C)
22110,15229.0,15675.0,15572.0,15938.0,16398.0,53.0,53.0,53.0,53.0,53.0,120556108.0,119077892.0,118314924.0,119149459.0,121679738.0,750.0,705.0,643.0,544.0,464.0,7916.0,7597.0,7598.0,7476.0,7420.0,17.8,17.8,18.0,17.4,17.1,East Gippsland (S)
22170,40818.0,42707.0,43308.0,44727.0,47449.0,45.0,45.0,45.0,45.0,45.0,197259493.0,210318397.0,211345725.0,222874660.0,231919603.0,252.0,236.0,194.0,162.0,137.0,4833.0,4925.0,4880.0,4983.0,4888.0,9.6,9.7,9.8,9.7,9.8,Frankston (C)
22250,4202.0,4243.0,4152.0,4309.0,4359.0,52.0,52.0,52.0,52.0,52.0,29049204.0,32520282.0,32618016.0,32940505.0,33433602.0,934.0,939.0,918.0,833.0,732.0,6913.0,7664.0,7856.0,7645.0,7670.0,20.4,19.9,19.9,18.6,18.4,Gannawarra (S)
22830,20795.0,21862.0,21768.0,21983.0,23352.0,47.0,47.0,48.0,48.0,47.0,164985577.0,169372587.0,171562670.0,191784104.0,187509646.0,513.0,467.0,399.0,367.0,281.0,7934.0,7747.0,7881.0,8724.0,8030.0,13.6,13.5,13.6,13.5,13.2,Greater Shepparton (C)
