LGA_MAIN11,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total,LGA_NAME11
33610,73,38,155,1574,1923,974,1066,1686,865,8088,Goondiwindi (R)
33620,233,319,808,6049,9008,5166,5623,6925,3596,36367,Gympie (R)
33800,170,41,313,1562,2120,1277,1539,2197,826,9521,Hinchinbrook (S)
33830,0,0,6,227,209,58,30,126,38,688,Hope Vale (S)
33960,915,352,1803,27130,33478,15544,13852,26481,10588,127073,Ipswich (C)
33980,38,13,65,3615,3961,1755,1992,3306,2248,16877,Isaac (R)
34420,0,0,4,276,163,136,92,74,3,744,Kowanyama (S)
34570,0,0,0,51,103,67,81,38,15,355,Lockhart River (S)
34580,242,79,461,5191,6618,3628,3611,5520,2662,27230,Lockyer Valley (R)
34590,1146,637,2502,46566,55245,25657,21991,45654,18308,213421,Logan (C)
34710,35,9,64,661,828,380,337,678,273,3157,Longreach (R)
34830,6,0,9,64,66,25,15,36,0,206,Mapoon (S)
34860,91,25,156,1916,2435,1208,1130,2185,1232,10106,Maranoa (R)
35010,2491,1385,5577,65421,80360,38945,32895,55001,22459,295081,Moreton Bay (R)
35250,3,0,3,292,149,46,25,205,23,740,Mornington (S)
35300,39,12,73,3103,3981,1667,1411,3217,2744,16123,Mount Isa (C)
35600,38,14,74,622,862,458,361,887,405,3595,Murweh (S)
35670,0,0,0,59,144,110,202,46,6,567,Napranum (S)
35760,63,90,216,1350,1811,1115,1125,1735,1022,8158,North Burnett (R)
35780,5,0,8,485,384,122,148,258,88,1485,Northern Peninsula Area (R)
35790,0,0,3,665,373,112,97,318,36,1601,Palm Island (S)
35800,11,0,21,218,363,161,147,389,158,1436,Paroo (S)
37400,16,3,19,187,243,120,129,285,116,1080,Winton (S)
37550,0,0,0,232,112,19,36,177,27,603,Woorabinda (S)
51960,4,5,9,569,656,266,320,716,471,2998,Coolgardie (S)
52030,0,0,3,152,185,118,159,197,69,880,Coorow (S)
37570,0,0,0,143,21,3,0,42,3,212,Wujal Wujal (S)
37600,6,0,9,551,439,145,171,255,16,1577,Yarrabah (S)
39399,0,3,6,55,62,35,24,186,90,452,
39499,26,14,50,2233,2172,944,755,3389,1991,11484,
40070,206,52,365,5121,4430,1213,623,4920,2190,18497,Adelaide (C)
40120,246,105,568,6836,9553,4962,3702,4351,1630,31034,Adelaide Hills (DC)
40220,301,76,579,3648,5293,3148,2744,3609,1263,19705,Alexandrina (DC)
40250,7,0,16,590,550,73,32,454,103,1802,Anangu Pitjantjatjara (AC)
40310,282,81,551,3660,4964,2704,2346,3105,981,17760,Barossa (DC)
40430,56,14,95,314,479,273,323,540,141,2070,Barunga West (DC)
40520,102,75,264,1467,2150,1176,1014,1873,810,8490,Berri and Barmera (DC)
40700,560,346,1557,8682,9922,4859,3259,6533,2238,35493,Burnside (C)
40910,675,205,1325,8928,10675,5113,3920,9058,2423,40117,Campbelltown (C)
41010,24,7,44,529,789,340,244,607,211,2720,Ceduna (DC)
41060,1399,738,3317,19320,23112,10644,7925,20479,6859,88339,Charles Sturt (C)
41190,27,9,47,295,329,204,210,268,63,1369,Cleve (DC)
41330,6,0,9,206,288,121,113,449,237,1414,Coober Pedy (DC)
41830,32,6,47,225,347,157,203,327,127,1386,Flinders Ranges (DC)
42030,223,94,493,3418,4505,2206,1896,3524,1245,16794,Gawler (T)
42600,781,285,1724,7395,8315,3586,2451,6263,2232,30242,Holdfast Bay (C)
42750,37,19,103,708,1041,573,501,527,276,3626,Kangaroo Island (DC)
43080,8,0,19,163,182,114,134,178,68,839,Karoonda East Murray (DC)
43220,7,17,33,174,199,140,137,150,77,877,Kimba (DC)
43360,29,6,54,334,458,288,291,397,153,1921,Kingston (DC)
43650,81,35,180,2233,3006,1626,1374,1823,608,10670,Light (RegC)
43710,20,10,55,711,1032,569,582,636,305,3835,Lower Eyre Peninsula (DC)
43790,168,39,330,1766,2399,1310,1123,1941,599,9138,Loxton Waikerie (DC)
43920,41,7,73,1277,1770,869,844,1449,439,6648,Mallala (DC)
44000,0,0,0,18,19,4,0,10,4,55,Maralinga Tjarutja (AC)
44060,1135,461,2416,16403,19544,8784,6161,14120,4513,69525,Marion (C)
44210,71,28,136,1100,1612,998,990,1392,800,6892,Mid Murray (DC)
44340,877,275,1963,12393,15553,7631,5108,8661,2576,51922,Mitcham (C)
44550,247,68,455,5208,6956,3539,2800,3653,1099,23255,Mount Barker (DC)
44620,264,85,524,4097,5592,2702,2208,4109,1290,19998,Mount Gambier (C)
44830,33,10,75,390,573,364,400,447,219,2393,Mount Remarkable (DC)
45040,192,83,408,2920,3795,2105,1909,3535,1692,15956,Murray Bridge (RC)
45090,92,37,204,1307,1754,961,800,1207,467,6496,Naracoorte and Lucindale (DC)
45120,69,9,127,658,924,537,598,751,201,3669,Northern Areas (DC)
45290,705,173,1285,7692,8426,3464,2270,6177,2002,30031,Norwood Payneham St Peters (C)
45340,1428,559,2821,28204,36648,17546,13668,24568,7834,128468,Onkaparinga (C)
45400,21,10,40,125,189,111,119,156,47,747,Orroroo/Carrieton (DC)
45540,11,11,43,172,303,190,243,373,149,1430,Peterborough (DC)
45890,1275,597,2801,19781,23536,10254,7917,23285,8640,93413,Port Adelaide Enfield (C)
46090,63,64,184,1791,2514,1313,1193,2556,1780,11147,Port Augusta (C)
46300,156,72,345,2275,2930,1482,1245,2395,889,11216,Port Lincoln (C)
46450,247,62,426,2259,3227,1865,1820,3602,1092,13865,Port Pirie City and Dists (M)
46510,225,70,485,4158,4710,2047,1313,3296,1057,16581,Prospect (C)
46670,54,77,189,1362,1905,988,765,1682,785,7487,Renmark Paringa (DC)
46860,4,3,22,245,316,165,155,187,102,1170,Robe (DC)
46970,0,3,3,858,947,354,308,670,488,3625,Roxby Downs (M)
47140,939,360,1751,21867,25927,11828,9962,25621,8267,103472,Salisbury (C)
47290,37,15,77,344,409,231,236,368,111,1699,Southern Mallee (DC)
47490,25,11,54,307,439,205,218,344,161,1674,Streaky Bay (DC)
47630,90,17,168,1054,1363,753,681,1012,278,5141,Tatiara (DC)
47700,790,314,1661,17655,22341,10789,7847,15484,4158,78274,Tea Tree Gully (C)
47800,47,27,105,858,1065,601,634,871,441,4470,The Coorong (DC)
47980,816,297,1512,8009,9161,3758,2379,5648,1953,30908,Unley (C)
48050,263,156,686,1924,3012,2013,1603,2220,1235,12007,Victor Harbor (C)
48130,95,35,193,944,1291,723,764,1161,410,5293,Wakefield (DC)
48640,22,10,44,185,252,147,149,186,46,965,Wudinna (DC)
48750,60,26,119,600,994,644,543,718,246,3745,Yankalilla (DC)
48260,142,48,273,1431,1633,736,548,1195,427,5970,Walkerville (M)
48340,115,56,250,1732,2423,1344,1281,1907,647,9334,Wattle Range (DC)
48410,811,431,1885,10981,12677,5328,3833,10603,3464,46886,West Torrens (C)
48540,150,72,306,2957,4361,2274,2064,4305,1694,17655,Whyalla (C)
48830,185,47,338,1482,2222,1422,1489,2109,601,9325,Yorke Peninsula (DC)
49399,8,4,18,701,738,296,280,1024,613,3652,Unincorporated SA
49499,57,11,77,537,512,175,125,937,480,2766,
50080,330,144,753,5207,7230,3856,3538,4870,2219,26920,Albany (C)
50210,297,156,662,10303,12622,5859,5662,10168,4312,48926,Armadale (C)
50250,0,0,4,1413,1635,559,581,2586,1440,8214,Ashburton (S)
51680,10,6,28,602,875,520,573,612,271,3453,Chittering (S)
51750,146,88,388,2042,2029,950,700,1391,713,7825,Claremont (T)
51820,431,207,942,16380,18698,8154,7235,15310,5157,70934,Cockburn (C)
51890,73,28,144,1300,1663,961,1026,1722,687,7359,Collie (S)
52100,20,0,36,186,232,91,147,158,58,872,Corrigin (S)
52170,49,75,197,1705,1685,748,568,868,704,6278,Cottesloe (T)
52240,5,3,14,136,193,115,152,165,85,846,Cranbrook (S)
52310,0,0,7,124,173,108,104,133,48,690,Cuballing (S)
52380,3,0,3,35,39,18,21,50,61,224,Cue (S)
52450,8,6,28,204,265,128,148,251,61,1057,Cunderdin (S)
52520,8,3,11,243,196,120,158,245,53,1015,Dalwallinu (S)
52590,12,9,36,464,587,320,362,498,342,2573,Dandaragan (S)
52660,115,42,201,1972,2488,1327,1296,1759,709,9551,Dardanup (S)
52730,42,20,104,703,1184,753,630,645,281,4196,Denmark (S)
52800,27,7,34,1275,1189,378,249,1254,2146,6491,Derby-West Kimberley (S)
52870,38,12,77,744,1083,691,669,768,324,4279,Donnybrook-Balingup (S)
52940,9,6,24,103,124,58,101,93,39,518,Dowerin (S)
53010,4,0,8,109,125,68,78,75,29,484,Dumbleyung (S)
53080,0,5,5,129,193,81,81,259,180,923,Dundas (S)
53150,87,24,158,1400,1596,717,582,939,398,5632,East Fremantle (T)
54280,89,39,160,5059,5841,2306,2218,4878,3512,23814,Kalgoorlie/Boulder (C)
53710,6,3,15,143,175,109,135,135,61,758,Goomalling (S)
53780,424,281,1052,17981,20499,9260,8547,19552,8153,83992,Gosnells (C)
53920,5,10,15,720,490,133,140,811,195,2489,Halls Creek (S)
53990,75,43,202,3517,4562,2523,2509,3241,1542,17894,Harvey (S)
54060,21,10,51,451,679,428,462,550,241,2811,Irwin (S)
54130,0,0,3,180,207,118,144,109,55,813,Jerramungup (S)
54170,850,405,1974,29862,34064,16125,12560,23304,7032,122947,Joondalup (C)
54200,309,164,771,9417,11395,5861,5091,8072,3142,42978,Kalamunda (S)
54340,18,28,63,531,786,411,381,755,297,3161,Katanning (S)
54480,0,0,0,90,94,61,62,70,10,387,Kent (S)
54550,21,3,38,254,416,216,265,304,104,1559,Kojonup (S)
54620,6,7,13,176,188,88,109,190,96,847,Kondinin (S)
54690,3,0,3,74,73,55,60,55,17,334,Koorda (S)
54760,3,3,13,132,157,88,110,96,35,618,Kulin (S)
54830,117,69,258,4357,5458,2549,2412,4760,2991,22527,Kwinana (T)
54900,3,3,15,210,287,143,175,185,70,1070,Lake Grace (S)
54970,0,0,0,238,193,51,41,405,145,1073,Laverton (S)
56520,61,16,112,652,808,440,394,679,262,3235,Narrogin (T)
56580,240,143,611,4267,4339,2166,1902,2834,998,16506,Nedlands (C)
55040,4,0,4,341,350,122,95,604,592,2104,Leonora (S)
55390,0,0,0,61,76,11,16,113,31,308,Menzies (S)
55530,0,0,3,70,82,40,53,86,30,361,Mingenew (S)
55670,6,4,10,134,160,81,88,152,54,669,Morawa (S)
55600,24,8,45,375,482,258,247,419,147,1928,Moora (S)
65010,30,13,64,872,1115,683,676,1042,409,4797,Southern Midlands (M)
65210,15,8,37,290,491,336,320,339,197,1973,Tasman (M)
56930,5,9,42,285,252,168,143,267,120,1235,Peppermint Grove (S)
55740,93,47,224,1852,1808,811,596,1443,609,7119,Mosman Park (T)
55810,0,0,0,124,55,36,44,181,78,518,Mount Magnet (S)
55880,0,0,3,92,91,54,62,62,10,371,Mount Marshall (S)
57140,8,3,27,139,213,128,148,198,84,910,Pingelly (S)
57210,53,10,89,631,995,595,608,694,400,3923,Plantagenet (S)
57280,18,7,31,2441,2481,815,776,2673,2651,11837,Port Hedland (T)
57630,0,0,0,16,22,12,7,21,17,95,Sandstone (S)
55950,3,0,3,88,80,65,65,76,24,398,Mukinbudin (S)
70200,31,47,114,4658,5507,2054,1306,3540,2546,19611,Alice Springs (T)
56160,0,0,0,17,24,10,14,14,8,87,Murchison (S)
56230,66,51,183,1894,2700,1586,1686,2371,1114,11351,Murray (S)
56300,5,3,13,171,275,175,199,166,76,1062,Nannup (S)
62210,55,18,104,845,1219,730,785,1240,425,5244,George Town (M)
62410,55,26,108,558,915,524,509,788,298,3592,Glamorgan/Spring Bay (M)
62610,452,200,1026,7206,9576,4554,3775,8280,2819,36210,Glenorchy (C)
62810,555,270,1288,10921,12477,5194,3074,7005,2875,41546,Hobart (C)
63010,103,31,200,2106,3195,1840,1745,2401,787,12074,Huon Valley (M)
63210,39,12,85,860,1208,698,758,1055,319,4898,Kentish (M)
63410,13,8,34,274,360,166,149,280,93,1322,King Island (M)
63610,225,136,610,6056,8039,4151,3123,4065,1439,26873,Kingborough (M)
63810,110,32,192,1482,1985,1131,1063,1810,539,8010,Latrobe (M)
64010,852,273,1602,11081,13930,6540,5366,11480,3927,52324,Launceston (C)
64210,191,52,376,3000,3913,2104,2012,3302,984,15315,Meander Valley (M)
64610,96,41,194,1879,2502,1382,1241,2147,733,9884,Northern Midlands (M)
64810,84,35,196,2007,2938,1506,1333,1993,809,10586,Sorell (M)
56370,8,12,32,134,131,86,110,146,53,660,Narembeen (S)
62010,8,3,17,105,195,124,90,109,44,667,Flinders (M)
56730,84,34,180,1375,1952,1089,1085,1793,972,8266,Northam (S)
57000,0,0,6,129,124,60,83,299,87,782,Perenjori (S)
57080,54,27,122,4360,3515,896,502,3856,2724,15853,Perth (C)
58330,8,11,39,576,876,539,591,651,367,3600,Toodyay (S)
72800,43,25,68,4478,5935,2232,1632,3692,2311,20280,Palmerston (C)
74050,0,0,0,742,267,118,73,589,46,1835,Tiwi Islands (S)
74500,6,0,12,997,722,594,516,868,252,3949,Victoria-Daly (S)
58400,6,0,6,43,74,43,43,52,24,279,Trayning (S)
58470,0,0,0,43,33,14,15,53,28,186,Upper Gascoyne (S)
58540,3,0,6,142,141,90,114,156,52,695,Victoria Plains (S)
74560,0,0,0,49,117,48,34,43,33,324,Wagait (S)
74660,6,3,15,1317,1500,388,142,765,312,4424,West Arnhem (S)
58570,315,84,605,7737,7560,2440,1633,5141,2677,27188,Vincent (T)
99399,4,0,4,364,392,149,106,575,922,2508,Unincorp. Other Territories
99499,0,0,0,7,6,0,0,9,0,22,
59030,0,0,3,41,57,29,32,54,15,228,Westonia (S)
59100,4,4,11,103,141,72,117,101,45,579,Wickepin (S)
59170,0,0,3,158,197,105,114,114,44,732,Williams (S)
59310,10,3,21,204,261,142,165,236,80,1088,Wongan-Ballidu (S)
59360,4,0,11,227,283,111,131,396,188,1336,Yilgarn (S)
59370,26,12,47,398,682,410,477,556,252,2775,York (S)
59399,0,0,0,34,31,3,9,272,65,414,
59499,8,8,16,1369,1163,512,339,1981,1326,6690,
60210,74,29,139,771,1174,800,833,1102,484,5164,Break O'Day (M)
60410,79,15,126,2037,2775,1422,1359,2838,1054,11485,Brighton (M)
60610,108,154,396,2862,3973,2111,1965,3302,1261,15474,Burnie (C)
60810,188,121,443,3158,4355,2436,2281,3612,1488,17330,Central Coast (M)
61010,15,4,22,272,402,203,290,467,203,1837,Central Highlands (M)
61210,72,22,134,1148,1569,878,826,1274,474,6169,Circular Head (M)
61410,573,179,1215,8840,11850,6029,4516,7760,3128,42123,Clarence (C)
61510,78,18,141,1298,1831,1009,1054,1923,633,7748,Derwent Valley (M)
61610,274,157,666,3654,4973,2642,2331,4550,1670,19820,Devonport (C)
61810,68,15,125,936,1332,755,872,1169,421,5485,Dorset (M)
70420,13,6,22,1231,1047,352,185,1232,916,4963,Barkly (S)
70540,0,0,0,102,9,6,0,10,4,131,Belyuen (S)
70620,12,3,22,591,691,257,110,631,366,2646,Central Desert (S)
70700,0,0,3,125,209,114,80,184,195,907,Coomalie (S)
71000,164,52,314,13869,15687,5821,3726,11404,8517,59024,Darwin (C)
71300,9,0,15,1826,1853,583,378,1283,311,6234,East Arnhem (S)
72200,18,3,29,1468,1752,699,524,1514,922,6879,Katherine (T)
72300,10,10,46,2759,3971,1833,1493,2653,2263,14972,Litchfield (M)
72330,8,0,14,841,768,376,127,1111,1121,4344,MacDonnell (S)
