LGA_MAIN11,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total,LGA_NAME11
16950,7714,665,687,337,25,9428,20676,897,585,234,29,22421,1445,97,60,19,3,1624,982,91,89,12,0,1174,23103,1085,734,265,32,25219,1031,97,99,55,5,1287,31848,1847,1520,657,62,35934,Shoalhaven (C)
17000,1262,78,148,53,3,1544,4954,273,150,43,0,5420,227,9,9,3,0,248,242,32,30,11,0,315,5423,314,189,57,0,5983,200,11,16,4,0,231,6885,403,353,114,3,7758,Singleton (A)
17050,298,49,33,12,7,399,1283,154,141,15,22,1615,80,8,11,3,0,102,63,26,30,3,0,122,1426,188,182,21,22,1839,54,10,5,22,35,126,1778,247,220,55,64,2364,Snowy River (A)
17420,3347,694,402,20,15,4478,38628,4536,2009,30,40,45243,962,121,58,0,4,1145,743,184,134,0,6,1067,40333,4841,2201,30,50,47455,1132,143,82,7,0,1364,44812,5678,2685,57,65,53297,The Hills Shire (A)
17450,385,0,14,7,0,406,717,0,10,8,0,735,47,0,0,0,0,47,40,0,4,0,0,44,804,0,14,8,0,826,49,0,3,4,0,56,1238,0,31,19,0,1288,Tumbarumba (A)
17500,1153,39,124,17,0,1333,2272,27,88,13,3,2403,140,0,3,0,0,143,125,0,15,4,0,144,2537,27,106,17,3,2690,140,7,10,4,17,178,3830,73,240,38,20,4201,Tumut Shire (A)
17550,4395,2048,1373,570,12,8398,15261,3535,2168,417,22,21403,862,255,133,45,4,1299,648,269,235,47,4,1203,16771,4059,2536,509,30,23905,727,310,238,80,0,1355,21893,6417,4147,1159,42,33658,Tweed (A)
17620,1295,44,90,59,0,1488,3024,55,72,33,3,3187,168,0,4,4,0,176,164,5,14,4,0,187,3356,60,90,41,3,3550,175,4,16,6,4,205,4826,108,196,106,7,5243,Upper Hunter Shire (A)
17640,782,24,9,11,0,826,1640,9,5,19,3,1676,117,5,0,0,0,122,82,0,0,4,0,86,1839,14,5,23,3,1884,86,3,3,0,0,92,2707,41,17,34,3,2802,Upper Lachlan Shire (A)
17650,531,3,30,14,0,578,1377,4,20,15,0,1416,76,0,0,4,0,80,58,0,6,4,0,68,1511,4,26,23,0,1564,55,0,6,0,0,61,2097,7,62,37,0,2203,Uralla (A)
17700,147,0,0,0,0,147,236,0,0,4,0,240,22,0,0,0,0,22,14,0,0,0,0,14,272,0,0,4,0,276,22,0,0,0,0,22,441,0,0,4,0,445,Urana (A)
17750,3718,306,801,37,4,4866,12782,485,1034,73,15,14389,574,25,64,4,0,667,769,59,188,4,0,1020,14125,569,1286,81,15,16076,566,48,144,16,0,774,18409,923,2231,134,19,21716,Wagga Wagga (C)
17800,428,5,44,11,0,488,799,6,28,14,4,851,69,0,0,3,0,72,33,0,3,3,0,39,901,6,31,20,4,962,53,0,6,3,0,62,1382,11,81,34,4,1512,Wakool (A)
17850,367,5,24,8,0,404,667,9,6,5,0,687,37,0,0,0,0,37,36,0,3,3,0,42,740,9,9,8,0,766,43,4,0,3,0,50,1150,18,33,19,0,1220,Walcha (A)
17900,819,3,48,140,5,1015,1011,13,38,64,8,1134,61,0,3,4,0,68,94,0,7,16,0,117,1166,13,48,84,8,1319,125,0,11,21,0,157,2110,16,107,245,13,2491,Walgett (A)
17950,364,11,30,12,0,417,537,14,5,5,0,561,27,0,0,0,0,27,29,3,0,3,0,35,593,17,5,8,0,623,49,4,5,4,0,62,1006,32,40,24,0,1102,Warren (A)
18000,3219,708,2985,32,7,6951,25409,2090,11473,82,28,39082,694,83,489,4,0,1270,521,101,1123,8,0,1753,26624,2274,13085,94,28,42105,835,133,595,12,3,1578,30678,3115,16665,138,38,50634,Warringah (A)
18020,1128,10,57,34,0,1229,1944,9,40,22,8,2023,138,0,3,3,0,144,112,0,5,0,3,120,2194,9,48,25,11,2287,122,3,16,6,0,147,3444,22,121,65,11,3663,Warrumbungle Shire (A)
18050,480,511,2133,18,3,3145,4143,3788,10694,112,44,18781,86,101,415,7,3,612,89,136,1181,17,5,1428,4318,4025,12290,136,52,20821,145,139,615,3,3,905,4943,4675,15038,157,58,24871,Waverley (A)
18100,413,24,30,0,0,467,855,7,11,4,0,877,69,3,0,3,0,75,31,0,8,0,0,39,955,10,19,7,0,991,36,0,10,0,0,46,1404,34,59,7,0,1504,Weddin (A)
17400,848,17,47,38,3,953,1386,12,23,36,4,1461,105,0,0,5,0,110,64,3,0,4,0,71,1555,15,23,45,4,1642,82,0,8,0,0,90,2485,32,78,83,7,2685,Tenterfield (A)
18150,1014,30,74,15,0,1133,1565,18,21,12,0,1616,95,0,0,0,0,95,93,8,0,0,0,101,1753,26,21,12,0,1812,98,4,11,3,0,116,2865,60,106,30,0,3061,Wellington (A)
18200,639,15,46,45,0,745,1333,11,32,28,4,1408,90,0,5,0,0,95,72,0,4,4,0,80,1495,11,41,32,4,1583,114,0,5,15,0,134,2248,26,92,92,4,2462,Wentworth (A)
18250,1233,191,1057,12,0,2493,10359,1597,8447,40,4,20447,210,43,237,0,0,490,210,52,420,4,0,686,10779,1692,9104,44,4,21623,281,37,263,0,3,584,12293,1920,10424,56,7,24700,Willoughby (C)
18350,2746,358,134,38,5,3281,10823,715,110,53,11,11712,596,34,18,3,0,651,448,44,20,8,0,520,11867,793,148,64,11,12883,465,46,14,6,0,531,15078,1197,296,108,16,16695,Wingecarribee (A)
18400,1994,166,91,44,3,2298,9841,222,96,43,3,10205,495,8,7,3,0,513,358,10,7,9,0,384,10694,240,110,55,3,11102,503,12,20,19,0,554,13191,418,221,118,6,13954,Wollondilly (A)
18450,10693,2358,3261,326,12,16650,35564,4879,6662,297,34,47436,1736,290,362,24,4,2416,1414,356,767,37,0,2574,38714,5525,7791,358,38,52426,1696,371,560,61,0,2688,51103,8254,11612,745,50,71764,Wollongong (C)
18500,303,366,1488,6,8,2171,4300,3790,7931,49,34,16104,73,111,319,3,0,506,97,202,751,0,3,1053,4470,4103,9001,52,37,17663,144,132,353,0,0,629,4917,4601,10842,58,45,20463,Woollahra (A)
18550,10236,1892,1435,372,10,13945,31871,2650,1380,216,8,36125,1397,139,96,17,3,1652,1548,201,149,43,5,1946,34816,2990,1625,276,16,39723,1718,247,220,56,0,2241,46770,5129,3280,704,26,55909,Wyong (A)
18710,784,71,19,16,0,890,3613,74,22,27,0,3736,173,5,0,0,0,178,208,6,11,3,0,228,3994,85,33,30,0,4142,127,7,4,7,0,145,4905,163,56,53,0,5177,Yass Valley (A)
17100,845,234,576,11,0,1666,4290,592,3805,27,8,8722,133,17,90,0,0,240,125,29,168,0,0,322,4548,638,4063,27,8,9284,215,38,176,0,0,429,5608,910,4815,38,8,11379,Strathfield (A)
17150,6058,1783,3285,111,3,11240,40898,5976,10465,151,11,57501,1236,238,528,8,0,2010,830,288,1145,24,5,2292,42964,6502,12138,183,16,61803,1370,320,604,13,0,2307,50392,8605,16027,307,19,75350,Sutherland Shire (A)
17200,464,2017,6477,38,211,9207,2288,11861,40642,185,239,55215,61,330,1174,4,15,1584,128,793,3803,15,31,4770,2477,12984,45619,204,285,61569,117,487,1747,4,40,2395,3058,15488,53843,246,536,73171,Sydney (C)
17310,4796,377,661,71,7,5912,11784,371,581,75,24,12835,638,33,42,11,0,724,625,43,108,8,0,784,13047,447,731,94,24,14343,644,94,121,29,0,888,18487,918,1513,194,31,21143,Tamworth Regional (A)
17350,707,6,78,5,3,799,1221,4,31,10,3,1269,69,3,3,0,0,75,68,0,0,0,0,68,1358,7,34,10,3,1412,75,0,6,0,0,81,2140,13,118,15,6,2292,Temora (A)
18750,1225,100,117,19,0,1461,2468,55,67,9,5,2604,137,4,5,0,0,146,159,11,8,0,0,178,2764,70,80,9,5,2928,156,9,18,0,0,183,4145,179,215,28,5,4572,Young (A)
19399,76,0,6,0,0,82,263,3,8,11,0,285,6,0,0,0,0,6,5,0,0,0,0,5,274,3,8,11,0,296,6,0,0,5,0,11,356,3,14,16,0,389,Unincorporated NSW
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20110,1078,44,93,16,0,1231,2843,64,47,38,7,2999,174,9,3,5,0,191,163,3,9,3,0,178,3180,76,59,46,7,3368,113,8,15,5,0,141,4371,128,167,67,7,4740,Alpine (S)
20260,1195,40,89,10,0,1334,2391,25,56,19,0,2491,179,0,5,0,0,184,151,8,8,4,0,171,2721,33,69,23,0,2846,130,0,19,3,0,152,4046,73,177,36,0,4332,Ararat (RC)
20570,6523,774,1133,73,0,8503,21021,1027,1171,74,5,23298,1009,63,67,0,0,1139,1207,145,176,13,0,1541,23237,1235,1414,87,5,25978,946,137,169,6,5,1263,30706,2146,2716,166,10,35744,Ballarat (C)
20660,5947,892,945,9,0,7793,26580,2994,2450,29,10,32063,979,142,107,4,0,1232,816,200,252,4,0,1272,28375,3336,2809,37,10,34567,1055,134,143,6,0,1338,35377,4362,3897,52,10,43698,Banyule (C)
20740,2717,265,239,58,0,3279,6643,212,175,36,12,7078,528,9,11,4,0,552,486,23,27,6,0,542,7657,244,213,46,12,8172,330,32,28,18,0,408,10704,541,480,122,12,11859,Bass Coast (S)
20830,2868,407,273,71,0,3619,9766,425,187,62,0,10440,659,45,17,4,0,725,549,50,29,10,0,638,10974,520,233,76,0,11803,470,39,30,18,0,557,14312,966,536,165,0,15979,Baw Baw (S)
20910,2673,953,1054,19,4,4703,18650,4044,2968,84,18,25764,608,177,148,4,0,937,431,209,295,3,0,938,19689,4430,3411,91,18,27639,583,162,183,0,0,928,22945,5545,4648,110,22,33270,Bayside (C)
21010,1340,151,140,17,0,1648,3067,104,105,27,0,3303,190,10,4,0,0,204,170,16,13,3,0,202,3427,130,122,30,0,3709,144,23,17,0,0,184,4911,304,279,47,0,5541,Benalla (RC)
21110,3877,1059,1860,22,5,6823,30052,6473,8899,181,19,45624,900,264,340,3,3,1510,613,311,922,19,0,1865,31565,7048,10161,203,22,48999,834,194,373,8,0,1409,36276,8301,12394,233,27,57231,Boroondara (C)
21180,12067,802,1353,33,0,14255,33782,1769,2390,48,11,38000,1317,58,108,0,4,1487,1636,151,285,6,0,2078,36735,1978,2783,54,15,41565,2499,155,291,6,0,2951,51301,2935,4427,93,15,58771,Brimbank (C)
21270,883,28,30,10,0,951,1368,11,18,16,3,1416,73,4,4,0,0,81,60,0,0,0,0,60,1501,15,22,16,3,1557,95,6,3,3,0,107,2479,49,55,29,3,2615,Buloke (S)
21370,3259,199,498,71,3,4030,7588,159,357,63,9,8176,485,9,33,5,0,532,440,28,49,4,0,521,8513,196,439,72,9,9229,440,19,72,8,0,539,12212,414,1009,151,12,13798,Campaspe (S)
21450,3454,358,281,94,3,4190,17234,515,392,71,6,18218,773,33,32,0,0,838,886,73,42,11,0,1012,18893,621,466,82,6,20068,680,48,39,13,0,780,23027,1027,786,189,9,25038,Cardinia (S)
21610,9982,743,1124,68,0,11917,56416,2411,1552,56,8,60443,2136,97,95,3,0,2331,2481,159,133,8,0,2781,61033,2667,1780,67,8,65555,2637,145,209,6,0,2997,73652,3555,3113,141,8,80469,Casey (C)
21670,1716,71,144,52,0,1983,2510,58,72,35,0,2675,198,6,7,4,0,215,135,8,4,4,0,151,2843,72,83,43,0,3041,193,16,11,6,0,226,4752,159,238,101,0,5250,Central Goldfields (S)
21750,1970,145,200,15,0,2330,4315,172,87,25,0,4599,284,12,5,3,0,304,279,20,20,3,0,322,4878,204,112,31,0,5225,248,17,21,15,0,301,7096,366,333,61,0,7856,Colac-Otway (S)
21830,1709,20,129,24,0,1882,3560,20,35,25,8,3648,216,0,3,0,0,219,220,8,4,3,0,235,3996,28,42,28,8,4102,185,3,10,12,0,210,5890,51,181,64,8,6194,Corangamite (S)
21890,8440,1308,2444,44,0,12236,22812,4707,6221,218,21,33979,758,162,268,12,0,1200,1033,342,770,26,0,2171,24603,5211,7259,256,21,37350,1312,235,479,13,0,2039,34355,6754,10182,313,21,51625,Darebin (C)
22110,3841,258,465,202,4,4770,9279,249,438,156,10,10132,645,26,26,12,0,709,501,31,58,13,0,603,10425,306,522,181,10,11444,512,39,59,36,0,646,14778,603,1046,419,14,16860,East Gippsland (S)
22170,6186,887,1582,185,0,8840,29032,1915,2433,155,8,33543,1094,92,161,11,0,1358,1383,214,294,39,4,1934,31509,2221,2888,205,12,36835,1325,133,238,29,4,1729,39020,3241,4708,419,16,47404,Frankston (C)
22250,1276,44,86,29,0,1435,2147,12,30,20,4,2213,179,3,8,0,0,190,128,0,7,4,0,139,2454,15,45,24,4,2542,164,4,15,3,0,186,3894,63,146,56,4,4163,Gannawarra (S)
22490,1031,9,12,10,0,1062,4551,9,4,19,4,4587,296,0,0,0,0,296,173,0,4,3,0,180,5020,9,8,22,4,5063,174,0,0,0,0,174,6225,18,20,32,4,6299,Golden Plains (S)
22620,7560,485,885,131,0,9061,23066,776,977,136,7,24962,1342,35,55,6,0,1438,1157,105,161,10,0,1433,25565,916,1193,152,7,27833,1128,53,125,19,3,1328,34253,1454,2203,302,10,38222,Greater Bendigo (C)
22670,7295,980,2931,326,3,11535,20672,2408,5320,180,14,28594,847,99,298,22,3,1269,941,173,478,34,0,1626,22460,2680,6096,236,17,31489,1578,181,638,69,0,2466,31333,3841,9665,631,20,45490,Greater Dandenong (C)
22750,14082,1364,2691,222,5,18364,47618,2134,3389,218,11,53370,2284,114,214,13,0,2625,2586,264,484,33,0,3367,52488,2512,4087,264,11,59362,2182,201,375,42,0,2800,68752,4077,7153,528,16,80526,Greater Geelong (C)
22830,4487,270,847,187,4,5795,12332,345,667,136,12,13492,654,21,42,4,0,721,700,50,95,22,0,867,13686,416,804,162,12,15080,716,39,144,37,0,936,18889,725,1795,386,16,21811,Greater Shepparton (C)
22910,1311,33,69,28,0,1441,3527,51,44,30,0,3652,251,0,0,0,0,251,214,3,6,4,0,227,3992,54,50,34,0,4130,177,4,10,4,0,195,5480,91,129,66,0,5766,Hepburn (S)
22980,750,3,61,15,0,829,1231,3,17,9,0,1260,85,0,3,0,0,88,67,0,3,3,0,73,1383,3,23,12,0,1421,80,0,10,0,0,90,2213,6,94,27,0,2340,Hindmarsh (S)
23110,5086,685,1014,69,0,6854,16423,2750,1750,94,7,21024,715,109,96,3,0,923,762,214,248,19,0,1243,17900,3073,2094,116,7,23190,787,120,172,19,0,1098,23773,3878,3280,204,7,31142,Hobsons Bay (C)
23190,1702,200,252,16,0,2170,4262,137,186,19,0,4604,268,16,17,0,0,301,239,16,34,4,0,293,4769,169,237,23,0,5198,208,23,30,5,0,266,6679,392,519,44,0,7634,Horsham (RC)
23270,7971,760,723,110,10,9574,32828,3129,1113,99,20,37189,1268,114,58,4,0,1444,1523,202,116,19,0,1860,35619,3445,1287,122,20,40493,1837,193,130,17,0,2177,45427,4398,2140,249,30,52244,Hume (C)
22310,4393,1283,2355,37,5,8073,21768,6363,8953,178,25,37287,642,221,381,7,0,1251,573,325,797,22,0,1717,22983,6909,10131,207,25,40255,832,272,454,10,0,1568,28208,8464,12940,254,30,49896,Glen Eira (C)
22410,1860,99,162,22,0,2143,4399,136,112,25,4,4676,273,10,5,4,0,292,278,9,13,4,0,304,4950,155,130,33,4,5272,256,17,21,5,0,299,7066,271,313,60,4,7714,Glenelg (S)
23350,1137,77,78,28,0,1320,3606,50,53,42,0,3751,199,0,7,3,0,209,153,3,7,3,0,166,3958,53,67,48,0,4126,140,9,11,8,0,168,5235,139,156,84,0,5614,Indigo (S)
23430,6131,1800,2139,171,0,10241,26783,6221,4828,185,5,38022,915,284,239,10,3,1451,923,411,467,34,5,1840,28621,6916,5534,229,13,41313,1126,335,406,22,0,1889,35878,9051,8079,422,13,53443,Kingston (C)
23670,5665,1255,599,84,0,7603,36224,2646,1217,75,6,40168,1106,145,60,5,0,1316,1100,196,100,9,4,1409,38430,2987,1377,89,10,42893,1301,170,79,10,0,1560,45396,4412,2055,183,10,52056,Knox (C)
23810,5408,374,1228,123,0,7133,16110,469,886,103,6,17574,798,22,64,9,0,893,971,52,159,15,0,1197,17879,543,1109,127,6,19664,876,56,200,19,0,1151,24163,973,2537,269,6,27948,Latrobe (C)
23940,1008,4,31,33,0,1076,1552,4,10,36,0,1602,164,0,0,0,0,164,74,0,3,6,0,83,1790,4,13,42,0,1849,88,0,7,16,0,111,2886,8,51,91,0,3036,Loddon (S)
24130,1975,49,197,26,0,2247,10483,110,156,41,0,10790,536,4,16,7,0,563,408,14,22,3,0,447,11427,128,194,51,0,11800,435,7,26,5,0,473,13837,184,417,82,0,14520,Macedon Ranges (S)
24210,4555,768,470,11,0,5804,24959,3263,1555,20,3,29800,885,118,66,0,0,1069,618,149,97,8,0,872,26462,3530,1718,28,3,31741,866,139,73,0,0,1078,31883,4437,2261,39,3,38623,Manningham (C)
24250,581,78,18,10,3,690,1811,82,18,18,5,1934,110,6,0,0,0,116,107,7,5,0,0,119,2028,95,23,18,5,2169,107,12,4,3,0,126,2716,185,45,31,8,2985,Mansfield (S)
24330,3350,633,1473,19,0,5475,11494,2822,3570,69,27,17982,396,81,132,8,0,617,635,217,440,9,0,1301,12525,3120,4142,86,27,19900,616,138,309,3,8,1074,16491,3891,5924,108,35,26449,Maribyrnong (C)
24410,3852,1912,420,12,0,6196,23560,4046,1159,28,5,28798,792,189,60,3,0,1044,745,434,106,4,0,1289,25097,4669,1325,35,5,31131,742,258,56,3,0,1059,29691,6839,1801,50,5,38386,Maroondah (C)
24600,216,703,2726,15,9,3669,1635,5299,24737,63,23,31757,39,137,792,3,0,971,80,339,2065,7,0,2491,1754,5775,27594,73,23,35219,53,189,839,3,4,1088,2023,6667,31159,91,36,39976,Melbourne (C)
24650,4499,563,304,60,3,5429,23870,1541,407,43,3,25864,914,74,34,0,0,1022,1213,123,51,16,0,1403,25997,1738,492,59,3,28289,1083,105,47,15,5,1255,31579,2406,843,134,11,34973,Melton (S)
24780,4279,453,712,179,3,5626,10262,409,503,93,5,11272,547,12,41,9,0,609,653,58,88,22,0,821,11462,479,632,124,5,12702,672,72,136,42,0,922,16413,1004,1480,345,8,19250,Mildura (RC)
24850,1985,139,213,55,0,2392,7629,263,186,48,4,8130,373,10,9,3,0,395,420,24,36,6,0,486,8422,297,231,57,4,9011,355,28,20,11,0,414,10762,464,464,123,4,11817,Mitchell (S)
24900,2663,146,408,103,3,3323,5838,123,216,63,10,6250,351,12,16,3,0,382,292,12,38,6,0,348,6481,147,270,72,10,6980,355,19,59,13,0,446,9499,312,737,188,13,10749,Moira (S)
24970,7611,1083,1006,11,6,9717,35288,5172,4299,71,27,44857,1232,167,162,0,0,1561,961,233,229,0,0,1423,37481,5572,4690,71,27,47841,1357,228,226,7,0,1818,46449,6883,5922,89,33,59376,Monash (C)
25060,5615,806,2141,22,4,8588,19098,3531,5218,77,11,27935,667,128,242,0,0,1037,749,225,568,3,0,1545,20514,3884,6028,80,11,30517,896,143,410,4,0,1453,27025,4833,8579,106,15,40558,Moonee Valley (C)
25150,1788,40,230,36,0,2094,6583,51,168,20,0,6822,380,0,8,5,0,393,372,6,14,4,0,396,7335,57,190,29,0,7611,332,3,27,9,0,371,9455,100,447,74,0,10076,Moorabool (S)
25250,9217,1616,1897,36,3,12769,23699,6762,6639,163,22,37285,936,202,250,6,0,1394,1017,546,745,10,4,2322,25652,7510,7634,179,26,41001,1355,337,365,10,6,2073,36224,9463,9896,225,35,55843,Moreland (C)
25340,8219,1767,999,267,8,11260,33183,2539,1141,217,10,37090,1715,190,92,20,0,2017,1514,191,142,18,0,1865,36412,2920,1375,255,10,40972,1452,257,172,35,4,1920,46083,4944,2546,557,22,54152,Mornington Peninsula (S)
25430,1571,62,133,26,3,1795,4280,42,82,34,5,4443,348,7,12,0,0,367,226,4,10,7,0,247,4854,53,104,41,5,5057,210,12,23,4,0,249,6635,127,260,71,8,7101,Mount Alexander (S)
25490,1425,52,19,16,0,1512,3545,62,12,26,0,3645,186,5,3,0,0,194,227,4,3,0,0,234,3958,71,18,26,0,4073,210,6,0,3,0,219,5593,129,37,45,0,5804,Moyne (S)
25620,1101,35,19,92,0,1247,3104,22,13,74,3,3216,203,0,0,3,0,206,178,5,4,13,0,200,3485,27,17,90,3,3622,154,3,3,5,0,165,4740,65,39,187,3,5034,Murrindindi (S)
25710,1477,134,110,9,3,1733,15529,367,211,19,7,16133,518,11,11,0,0,540,380,26,20,0,0,426,16427,404,242,19,7,17099,499,18,12,0,0,529,18403,556,364,28,10,19361,Nillumbik (S)
25810,1367,70,78,15,0,1530,2555,53,33,37,5,2683,179,4,3,4,0,190,168,5,6,4,0,183,2902,62,42,45,5,3056,141,4,9,30,0,184,4410,136,129,90,5,4770,Northern Grampians (S)
25900,830,1104,3757,20,3,5714,5104,6588,18907,181,11,30791,145,228,791,4,3,1171,246,473,2495,15,0,3229,5495,7289,22193,200,14,35191,179,231,745,6,3,1164,6504,8624,26695,226,20,42069,Port Phillip (C)
25990,808,8,19,27,0,862,1478,0,5,17,0,1500,125,0,6,0,0,131,92,0,0,0,0,92,1695,0,11,17,0,1723,96,0,0,4,0,100,2599,8,30,48,0,2685,Pyrenees (S)
26080,226,43,8,0,0,277,763,45,17,9,0,834,52,0,0,0,0,52,21,5,0,0,0,26,836,50,17,9,0,912,21,5,0,0,0,26,1083,98,25,9,0,1215,Queenscliffe (B)
26170,2377,138,127,29,0,2671,6321,80,73,39,3,6516,516,7,6,4,0,533,333,13,13,7,0,366,7170,100,92,50,3,7415,329,17,17,5,0,368,9876,255,236,84,3,10454,South Gippsland (S)
26260,1762,36,182,18,0,1998,3709,35,85,32,0,3861,199,4,7,3,0,213,205,0,21,12,0,238,4113,39,113,47,0,4312,199,3,20,4,0,226,6074,78,315,69,0,6536,Southern Grampians (S)
26350,1615,862,2544,13,5,5039,11857,5347,12344,124,23,29695,325,194,499,4,0,1022,363,323,1576,3,0,2265,12545,5864,14419,131,23,32982,356,171,550,5,0,1082,14516,6897,17513,149,28,39103,Stonnington (C)
26430,1005,20,80,40,0,1145,2089,10,43,93,0,2235,159,3,4,8,0,174,109,3,7,5,0,124,2357,16,54,106,0,2533,119,5,17,26,5,172,3481,41,151,172,5,3850,Strathbogie (S)
26490,1147,74,134,8,3,1366,6200,295,220,22,3,6740,276,12,16,4,0,308,324,28,34,3,4,393,6800,335,270,29,7,7441,218,10,20,4,0,252,8165,419,424,41,10,9059,Surf Coast (S)
26610,1922,85,298,79,4,2388,3875,91,202,53,7,4228,252,9,11,0,0,272,223,20,34,12,0,289,4350,120,247,65,7,4789,306,9,34,38,0,387,6578,214,579,182,11,7564,Swan Hill (RC)
26670,625,17,17,16,0,675,1381,13,3,11,0,1408,84,0,0,0,0,84,57,0,0,3,0,60,1522,13,3,14,0,1552,87,5,3,4,0,99,2234,35,23,34,0,2326,Towong (S)
26700,2460,177,307,33,0,2977,6014,126,266,54,3,6463,375,14,18,5,3,415,306,20,52,6,0,384,6695,160,336,65,6,7262,311,33,47,4,0,395,9466,370,690,102,6,10634,Wangaratta (RC)
26730,2322,277,575,35,0,3209,6470,338,531,42,0,7381,338,18,33,0,0,389,414,50,102,5,0,571,7222,406,666,47,0,8341,315,33,103,12,0,463,9859,716,1344,94,0,12013,Warrnambool (C)
26810,3489,262,281,66,0,4098,9297,270,191,67,4,9829,579,15,23,3,0,620,484,28,31,10,0,553,10360,313,245,80,4,11002,491,34,38,3,0,566,14340,609,564,149,4,15666,Wellington (S)
26890,533,3,40,4,0,580,959,3,4,9,0,975,80,0,0,0,0,80,45,0,0,3,0,48,1084,3,4,12,0,1103,68,0,5,0,0,73,1685,6,49,16,0,1756,West Wimmera (S)
26980,6387,1782,1223,4,0,9396,32444,5712,3363,43,17,41579,1052,263,188,3,0,1506,834,272,244,0,0,1350,34330,6247,3795,46,17,44435,1116,280,246,0,0,1642,41833,8309,5264,50,17,55473,Whitehorse (C)
27070,8949,553,642,8,4,10156,31714,2168,1088,21,7,34998,1166,74,60,3,0,1303,1589,187,115,6,0,1897,34469,2429,1263,30,7,38198,1650,115,105,0,0,1870,45068,3097,2010,38,11,50224,Whittlesea (C)
27170,1975,391,467,17,0,2850,7860,492,557,26,3,8938,324,21,30,3,0,378,452,88,76,5,0,621,8636,601,663,34,3,9937,323,45,58,9,0,435,10934,1037,1188,60,3,13222,Wodonga (RC)
27260,6541,547,651,65,0,7804,36039,2017,1183,54,9,39302,1317,79,69,0,0,1465,2175,174,153,9,0,2511,39531,2270,1405,63,9,43278,1474,112,122,10,0,1718,47546,2929,2178,138,9,52800,Wyndham (C)
27350,955,1548,2039,24,3,4569,5077,9866,7452,174,20,22589,139,296,340,5,3,783,319,704,1008,5,4,2040,5535,10866,8800,184,27,25412,164,314,492,10,0,980,6654,12728,11331,218,30,30961,Yarra (C)
27450,6725,518,650,102,3,7998,35802,1065,890,133,7,37897,1662,67,58,7,0,1794,1291,75,106,17,5,1494,38755,1207,1054,157,12,41185,1315,87,86,9,0,1497,46795,1812,1790,268,15,50680,Yarra Ranges (S)
27630,925,27,19,11,0,982,1511,7,9,8,0,1535,131,0,0,0,0,131,82,3,3,0,0,88,1724,10,12,8,0,1754,112,3,0,0,0,115,2761,40,31,19,0,2851,Yarriambiack (S)
29399,13,4,9,0,0,26,26,3,39,0,4,72,7,0,3,0,0,10,3,3,14,0,0,20,36,6,56,0,4,102,0,0,0,0,0,0,49,10,65,0,4,128,Unincorporated Vic
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30250,175,0,0,3,0,178,26,0,0,3,0,29,0,0,0,0,0,0,11,0,0,0,0,11,37,0,0,3,0,40,3,0,0,0,0,3,215,0,0,6,0,221,Aurukun (S)
30300,389,22,41,25,3,480,879,33,21,17,3,953,41,0,0,0,0,41,53,4,10,4,0,71,973,37,31,21,3,1065,63,3,10,0,0,76,1425,62,82,46,6,1621,Balonne (S)
30370,1114,10,72,48,0,1244,3133,34,124,50,4,3345,145,0,3,3,0,151,189,4,14,11,0,218,3467,38,141,64,4,3714,167,3,13,14,3,200,4748,51,226,126,7,5158,Banana (S)
