lga_name_2016,lga_code_2016,iad_hhs_with_ind_p,iad_oth_households,iad_tot_households,inad_hhs_with_ind_p,inad_oth_households,inad_tot_households,ia_ns_indig_per,ia_ns_oth_households,ia_ns_tot_households,tot_hholds_w_indig_per,tot_oth_households,tot_tot_households
No usual address (WA),59499,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (WA),59799,0,0,0,0,0,0,0,0,0,0,0,0
Break O'Day (M),60210,86,1743,1825,24,669,693,0,74,74,110,2482,2588
Brighton (M),60410,505,3818,4320,179,1185,1367,19,126,149,703,5133,5842
Burnie (C),60610,504,5173,5677,143,1497,1644,21,198,222,668,6874,7542
Central Coast (M) (Tas.),60810,573,5728,6307,141,1762,1904,21,211,230,733,7703,8437
Central Highlands (M) (Tas.),61010,36,516,553,18,298,316,3,24,25,53,839,897
Circular Head (M),61210,438,1715,2148,111,572,680,17,71,89,564,2358,2919
Clarence (C),61410,740,16523,17267,141,3198,3344,22,424,455,908,20150,21056
Derwent Valley (M),61510,161,2543,2711,47,966,1013,4,79,86,213,3593,3805
Devonport (C),61610,612,6706,7318,153,2140,2291,18,251,271,786,9100,9883
Dorset (M),61810,74,1790,1858,23,686,713,8,73,84,109,2548,2653
Flinders (M) (Tas.),62010,54,237,290,32,67,95,5,8,13,87,311,398
George Town (M),62210,112,1788,1898,40,599,635,0,63,65,151,2449,2597
Glamorgan/Spring Bay (M),62410,67,1202,1263,29,438,468,3,58,64,97,1696,1793
Glenorchy (C),62610,858,12646,13499,263,4214,4475,32,498,532,1147,17359,18506
Hobart (C),62810,347,16799,17143,53,2252,2310,18,413,428,415,19461,19878
Huon Valley (M),63010,501,4408,4902,170,990,1165,16,141,162,691,5538,6230
Kentish (M),63210,112,1624,1739,31,426,456,6,65,71,151,2113,2262
King Island (M),63410,20,460,479,10,145,147,0,22,25,29,624,653
Kingborough (M),63610,530,10973,11508,78,1475,1550,15,237,252,624,12681,13309
Barkly (R),70420,362,546,913,455,101,559,47,46,94,862,698,1562
Belyuen (S),70540,3,0,3,30,0,27,3,0,3,36,3,38
Central Desert (R),70620,97,129,228,407,40,441,9,17,25,517,184,697
Coomalie (S),70700,52,211,260,56,94,148,7,22,34,118,328,443
Darwin (C),71000,1557,20468,22029,543,2420,2965,121,794,918,2223,23689,25905
East Arnhem (R),71300,507,178,687,518,37,551,55,12,66,1086,224,1311
Katherine (T),72200,328,1629,1959,230,302,529,33,91,127,596,2019,2616
Litchfield (M),72300,481,4674,5160,111,718,830,29,188,210,619,5578,6201
MacDonnell (R),72330,256,161,411,455,54,515,33,35,72,746,249,997
