lga_name_2016,lga_code_2016,h_w_in_ps_oo_ds_sh,h_w_in_ps_oo_ds_sdrtht,h_w_in_ps_oo_ds_fa,h_w_in_ps_oo_ds_od_c,h_w_in_ps_oo_ds_od_ch,h_w_in_ps_oo_ds_od_ih_t_so,h_w_in_ps_oo_od_hf_a_so,h_w_in_ps_oo_ds_od_tot,h_w_in_ps_oo_ds_ns,h_w_in_ps_oo_tot,h_w_in_ps_m_ds_sh,h_w_in_ps_m_ds_sdrtht,h_w_in_ps_m_ds_fa,h_w_in_ps_m_ds_od_c,h_w_in_ps_m_ds_od_ch,h_w_in_ps_m_ds_od_ih_t_so,h_w_in_ps_m_od_hf_a_so,h_w_in_ps_m_ds_od_tot,h_w_in_ps_m_ds_ns,h_w_in_ps_m_tot,h_w_in_ps_rrea_ds_sh,h_w_in_ps_rrea_ds_sdrtht,h_w_in_ps_rrea_ds_fa,h_w_in_ps_rrea_ds_od_c,h_w_in_ps_rrea_ds_od_ch,h_w_in_ps_rrea_ds_od_ih_t_so,h_w_in_ps_rrea_od_hf_a_so,h_w_in_ps_rrea_ds_od_tot,h_w_in_ps_rrea_ds_ns,h_w_in_ps_rrea_tot,h_w_in_ps_rha_ds_sh,h_w_in_ps_rha_ds_sdrtht,h_w_in_ps_rha_ds_fa,h_w_in_ps_rha_ds_od_c,h_w_in_ps_rha_ds_od_ch,h_w_in_ps_rha_ds_od_ih_t_so,h_w_in_ps_rha_od_hf_a_so,h_w_in_ps_rha_ds_od_tot,h_w_in_ps_rha_ds_ns,h_w_in_ps_rha_tot,h_w_in_ps_r_psh_ds_sh,h_w_in_ps_r_psh_ds_sdrtht,h_w_in_ps_r_psh_ds_fa,h_w_in_ps_r_psh_ds_od_c,h_w_in_ps_r_psh_ds_od_ch,h_w_in_ps_r_psh_ds_od_ih_t_so,h_w_in_ps_r_psh_od_hf_a_so,h_w_in_ps_r_psh_ds_od_tot,h_w_in_ps_r_psh_ds_ns,h_w_in_ps_r_psh_tot,h_w_in_ps_r_hcc_ds_sh,h_w_in_ps_r_hcc_ds_sdrtht,h_w_in_ps_r_hcc_ds_fa,h_w_in_ps_r_hcc_ds_od_c,h_w_in_ps_r_hcc_ds_od_ch,h_w_in_ps_r_hcc_ds_od_ih_t_so,h_w_in_ps_r_hcc_od_hf_a_so,h_w_in_ps_r_hcc_ds_od_tot,h_w_in_ps_r_hcc_ds_ns,h_w_in_ps_r_hcc_tot,h_w_in_ps_r_olt_ds_sh,h_w_in_ps_r_olt_ds_sdrtht,h_w_in_ps_r_olt_ds_fa,h_w_in_ps_r_olt_ds_od_c,h_w_in_ps_r_olt_ds_od_ch,h_w_in_ps_r_olt_ds_od_ih_t_so,h_w_in_ps_r_olt_od_hf_a_so,h_w_in_ps_r_olt_ds_od_tot,h_w_in_ps_r_olt_ds_ns,h_w_in_ps_r_olt_tot,h_w_in_ps_r_lns_ds_sh,h_w_in_ps_r_lns_ds_sdrtht,h_w_in_ps_r_lns_ds_fa,h_w_in_ps_r_lns_ds_od_c,h_w_in_ps_r_lns_ds_od_ch,h_w_in_ps_r_lns_ds_od_ih_t_so,h_w_in_ps_r_lns_od_hf_a_so,h_w_in_ps_r_lns_ds_od_tot,h_w_in_ps_r_lns_ds_ns,h_w_in_ps_r_lns_tot,h_w_in_ps_r_tot_ds_sh,h_w_in_ps_r_tot_ds_sdrtht,h_w_in_ps_r_tot_ds_fa,h_w_in_ps_r_tot_ds_od_c,h_w_in_ps_r_tot_ds_od_ch,h_w_in_ps_r_tot_ds_od_ih_t_so,h_w_in_ps_r_tot_od_hf_a_so,h_w_in_ps_r_tot_ds_od_tot,h_w_in_ps_r_tot_ds_ns,h_w_in_ps_r_tot_tot,h_w_in_ps_ott_ds_sh,h_w_in_ps_ott_ds_sdrtht,h_w_in_ps_ott_ds_fa,h_w_in_ps_ott_ds_od_c,h_w_in_ps_ott_ds_od_ch,h_w_in_ps_ott_ds_od_ih_t_so,h_w_in_ps_ott_od_hf_a_so,h_w_in_ps_ott_ds_od_tot,h_w_in_ps_ott_ds_ns,h_w_in_ps_ott_tot,h_w_in_ps_t_ns_ds_sh,h_w_in_ps_t_ns_ds_sdrtht,h_w_in_ps_t_ns_ds_fa,h_w_in_ps_t_ns_ds_od_c,h_w_in_ps_t_ns_ds_od_ch,h_w_in_ps_t_ns_ds_od_ih_t_so,h_w_in_ps_t_ns_od_hf_a_so,h_w_in_ps_t_ns_ds_od_tot,h_w_in_ps_t_ns_ds_ns,h_w_in_ps_t_ns_tot,h_w_in_ps_tot_ds_sh,h_w_in_ps_tot_ds_sdrtht,h_w_in_ps_tot_ds_fa,h_w_in_ps_tot_ds_od_c,h_w_in_ps_tot_ds_od_ch,h_w_in_ps_tot_ds_od_ih_t_so,h_w_in_ps_tot_od_hf_a_so,h_w_in_ps_tot_ds_od_tot,h_w_in_ps_tot_ds_ns,h_w_in_ps_tot_tot,oh_oo_ds_sh,oh_oo_ds_sdrtht,oh_oo_ds_fa,oh_oo_ds_od_c,oh_oo_ds_od_ch,oh_oo_ds_od_ih_t_so,oh_oo_od_hf_a_so,oh_oo_ds_od_tot,oh_oo_ds_ns,oh_oo_ds_tot,oh_m_ds_sh,oh_m_ds_sdrtht,oh_m_ds_fa,oh_m_ds_od_c,oh_m_ds_od_ch,oh_m_ds_od_ih_t_so,oh_m_od_hf_a_so,oh_m_ds_od_tot,oh_m_ds_ns,oh_m_ds_tot,oh_rrea_ds_sh,oh_rrea_ds_sdrtht,oh_rrea_ds_fa,oh_rrea_ds_od_c,oh_rrea_ds_od_ch,oh_rrea_ds_od_ih_t_so,oh_rrea_od_hf_a_so,oh_rrea_ds_od_tot,oh_rrea_ds_ns,oh_rrea_ds_tot,oh_rha_ds_sh,oh_rha_ds_sdrtht,oh_rha_ds_fa,oh_rha_ds_od_c,oh_rha_ds_od_ch,oh_rha_ds_od_ih_t_so,oh_rha_od_hf_a_so,oh_rha_ds_od_tot,oh_rha_ds_ns,oh_rha_ds_tot,oh_r_psh_ds_sh,oh_r_psh_ds_sdrtht,oh_r_psh_ds_fa,oh_r_psh_ds_od_c,oh_r_psh_ds_od_ch,oh_r_psh_ds_od_ih_t_so,oh_r_psh_od_hf_a_so,oh_r_psh_ds_od_tot,oh_r_psh_ds_ns,oh_r_psh_ds_tot,oh_r_hcc_ds_sh,oh_r_hcc_ds_sdrtht,oh_r_hcc_ds_fa,oh_r_hcc_ds_od_c,oh_r_hcc_ds_od_ch,oh_r_hcc_ds_od_ih_t_so,oh_r_hcc_od_hf_a_so,oh_r_hcc_ds_od_tot,oh_r_hcc_ds_ns,oh_r_hcc_ds_tot,oh_r_olt_ds_sh,oh_r_olt_ds_sdrtht,oh_r_olt_ds_fa,oh_r_olt_ds_od_c,oh_r_olt_ds_od_ch,oh_r_olt_ds_od_ih_t_so,oh_r_olt_od_hf_a_so,oh_r_olt_ds_od_tot,oh_r_olt_ds_ns,oh_r_olt_ds_tot,oh_r_lns_ds_sh,oh_r_lns_ds_sdrtht,oh_r_lns_ds_fa,oh_r_lns_ds_od_c,oh_r_lns_ds_od_ch,oh_r_lns_ds_od_ih_t_so,oh_r_lns_od_hf_a_so,oh_r_lns_ds_od_tot,oh_r_lns_ds_ns,oh_r_lns_ds_tot
Kwinana (C),54830,38,0,0,0,0,0,0,0,0,38,156,3,0,0,0,0,3,3,0,163,97,6,14,0,0,0,0,0,0,112,52,9,11,0,0,0,0,0,0,65,39,0,0,0,0,0,0,0,0,46,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,4,200,13,23,0,0,0,0,0,0,235,3,0,0,0,0,0,0,0,0,3,12,3,0,0,0,0,0,0,0,16,400,19,27,0,0,0,3,3,0,449,1953,73,22,0,0,0,6,8,3,2058,6478,199,87,0,0,0,38,33,24,6815,1502,150,108,0,0,0,8,6,9,1765,184,139,104,0,0,0,0,0,0,426,733,43,51,0,0,0,4,5,3,834,16,11,24,0,0,0,0,0,0,55,73,7,10,0,0,0,0,0,0,92,31,6,0,0,0,0,0,0,0,36
Laverton (S),54970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,67,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,68,11,0,0,7,0,0,0,7,0,20,21,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,13,4,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
Northampton (S),56790,11,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,8,13,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,32,7,0,0,0,0,0,0,0,34,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,60,7,0,0,0,0,0,3,0,63,479,19,7,51,5,0,0,52,0,560,265,3,3,5,0,0,0,3,0,278,51,12,16,0,0,0,0,0,0,83,10,3,7,0,0,0,0,0,0,20,105,7,11,0,0,0,3,4,4,131,0,0,6,0,0,0,0,0,0,5,33,3,3,11,0,0,0,11,0,60,16,0,0,0,0,0,0,3,0,19
Meander Valley (M),64210,45,0,0,0,0,0,0,0,0,45,105,0,0,0,0,0,0,0,0,104,48,3,0,0,0,0,0,0,0,47,21,0,5,0,0,0,0,0,0,26,21,0,3,0,0,0,0,0,0,29,4,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,5,108,5,7,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,269,5,10,0,0,0,0,3,3,283,2714,76,100,8,0,0,3,12,5,2905,2382,52,42,0,0,0,0,5,3,2481,439,53,82,0,0,0,0,3,3,588,115,6,26,0,0,0,0,0,0,150,456,24,63,0,0,0,4,8,0,549,31,30,0,0,0,0,0,0,0,57,69,7,3,0,3,0,0,3,0,83,42,0,8,0,0,0,0,0,0,50
Northern Midlands (M),64610,28,0,0,0,0,0,0,0,0,33,53,0,0,0,0,0,0,0,0,53,17,0,4,0,0,0,0,0,0,25,20,3,0,0,0,0,0,0,0,24,28,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,64,7,8,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,153,7,7,0,0,0,0,0,0,170,1842,23,22,3,6,0,8,17,11,1915,1551,3,10,0,3,0,5,10,6,1573,271,19,49,0,0,0,0,0,0,342,88,26,17,0,0,0,0,0,0,128,369,12,8,0,0,0,8,8,0,401,23,19,10,0,0,0,0,0,0,49,139,3,3,0,0,0,0,0,0,151,49,0,0,0,0,0,0,0,0,49
Sorell (M),64810,41,0,0,0,0,0,0,3,0,48,138,0,0,0,0,0,0,0,0,145,43,0,0,0,0,0,0,0,0,41,13,0,0,0,0,0,0,0,0,13,34,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,97,3,0,0,0,0,0,0,0,100,3,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,5,290,3,0,0,0,0,0,3,3,299,1768,10,0,3,0,7,0,12,3,1795,2209,17,0,0,3,3,0,4,5,2233,374,23,0,0,0,0,0,0,0,402,63,6,0,0,0,0,0,0,0,68,455,7,3,0,0,0,0,6,0,473,3,0,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0,0,25,35,0,0,0,0,0,0,0,0,37
Leonora (S),55040,3,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,24,11,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,8,42,3,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,49,3,0,0,0,0,0,0,3,52,28,0,0,9,0,0,0,11,0,40,13,0,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,22,0,0,3,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,98,11,0,0,0,0,5,4,3,118,19,3,0,0,0,0,0,0,0,20
Mandurah (C),55110,76,5,0,3,0,0,0,3,0,78,235,10,0,0,0,0,0,0,0,245,188,28,3,0,0,0,0,0,0,220,51,22,0,0,0,0,0,0,0,76,71,8,3,0,0,0,0,0,0,85,8,0,0,0,0,0,0,0,0,8,12,0,0,3,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,330,62,7,7,0,0,0,4,0,407,3,3,0,0,0,0,0,0,0,9,23,0,0,0,0,0,0,0,0,30,667,81,10,5,0,0,3,7,0,766,7804,1272,246,92,46,0,3,142,13,9480,10080,508,137,4,3,0,0,4,23,10752,3239,864,216,0,0,4,0,8,12,4327,280,374,55,0,0,0,0,0,0,715,1811,326,102,0,0,0,3,8,3,2253,64,58,80,0,0,0,0,0,0,198,130,43,25,23,5,0,0,31,3,231,89,24,17,0,0,0,0,0,0,132
Manjimup (S),55180,15,0,0,0,0,0,0,0,0,15,34,0,0,0,0,0,0,0,0,34,17,0,5,0,0,0,0,0,0,28,18,6,0,0,0,0,0,0,0,21,11,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,44,13,10,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,97,13,12,0,0,0,0,0,0,124,1351,9,4,9,4,3,0,14,12,1386,944,17,3,0,0,0,0,4,3,975,252,22,36,0,0,0,0,0,0,317,79,27,23,0,0,0,0,0,0,126,247,11,3,0,0,0,0,3,3,264,3,9,25,0,0,0,0,0,0,37,64,0,0,0,0,0,3,3,3,74,46,3,3,0,0,0,0,0,0,50
Meekatharra (S),55250,12,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,39,0,4,0,0,0,0,0,0,47,6,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,4,7,0,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,52,0,9,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,82,0,9,4,0,0,0,4,0,97,22,0,0,0,0,0,0,0,5,32,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,27,0,13,0,0,0,0,0,0,41,4,0,0,0,0,0,0,0,0,3
Melville (C),55320,44,3,0,0,0,0,0,0,0,44,69,6,0,0,0,0,0,0,0,77,35,15,3,0,0,0,0,0,0,52,43,34,0,0,0,0,0,0,0,82,18,11,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,107,60,7,0,0,0,0,0,0,176,3,0,0,0,0,0,0,0,0,3,9,7,0,0,0,0,0,0,0,17,229,77,6,0,0,0,0,0,0,310,11905,2296,272,0,0,0,0,5,20,14493,9882,1877,161,0,3,0,0,5,39,11960,2547,1350,355,3,0,0,0,3,9,4263,285,409,14,0,0,0,0,0,3,707,1549,745,96,0,0,0,0,0,4,2402,25,35,28,0,0,0,0,0,0,89,90,43,18,0,0,0,0,0,0,153,91,37,0,0,0,0,0,0,0,135
Darwin (C),71000,175,19,15,3,0,0,0,6,0,217,506,38,56,0,0,0,3,3,0,599,172,69,170,0,0,0,0,0,0,412,320,74,93,0,0,0,0,0,3,502,102,45,56,0,0,0,0,0,3,200,55,25,6,0,0,0,0,0,0,84,39,7,16,0,0,0,0,3,0,63,16,3,3,0,0,0,0,0,0,22,704,224,343,0,0,0,3,9,6,1285,11,0,3,0,0,0,0,0,0,9,56,12,36,0,0,3,0,8,0,112,1449,288,452,8,0,4,11,20,11,2223,3225,390,615,136,41,3,28,208,12,4449,4925,720,1432,3,3,3,31,42,15,7133,1446,931,3630,0,3,3,26,31,22,6058,480,359,267,0,0,0,0,0,7,1112,958,466,1023,3,3,0,14,17,24,2489,20,17,21,0,0,0,0,0,3,61,663,108,481,29,11,0,10,48,33,1326,51,25,44,0,0,0,0,6,3,131
East Arnhem (R),71300,17,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,701,109,0,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,0,0,155,6,0,0,0,0,0,0,0,163,24,3,0,0,0,0,0,0,0,29,18,3,0,0,0,3,0,3,0,23,897,120,0,0,0,3,0,7,0,1026,9,0,0,0,0,3,0,3,0,10,30,3,0,0,0,0,0,0,0,36,958,120,0,0,0,7,0,4,0,1086,8,0,0,0,3,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,31,5,0,0,0,0,0,3,0,38,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,87,27,0,0,0,0,0,0,0,118,22,9,0,0,0,0,0,0,0,29
Menzies (S),55390,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0,0,0,0,6,44,4,0,0,5,0,0,0,5,3,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3
Merredin (S),55460,10,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,4,18,4,0,0,0,0,0,0,0,22,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,48,4,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,79,4,0,0,0,0,0,0,0,85,386,0,0,3,0,0,0,3,0,394,335,0,0,0,0,0,0,0,0,339,32,0,0,0,0,0,0,0,0,37,51,27,3,0,0,0,0,0,0,80,139,4,0,0,0,0,0,0,3,142,3,4,0,0,0,0,0,0,0,5,61,0,0,0,0,0,0,0,0,65,15,0,0,0,0,0,0,0,0,15
Katherine (T),72200,31,0,0,0,0,0,0,0,3,34,125,0,0,0,0,0,0,0,7,132,64,6,11,0,0,0,0,0,0,90,94,27,14,0,0,0,0,0,0,134,35,0,6,0,0,0,0,0,4,46,46,12,4,0,0,0,0,0,17,79,24,9,5,3,0,0,0,3,0,45,0,0,0,0,0,0,0,0,0,3,267,48,46,8,0,0,0,8,27,398,0,0,0,0,0,0,0,0,0,0,17,3,8,0,0,0,0,0,0,33,442,57,54,7,0,0,0,7,36,596,274,0,7,69,0,3,3,73,30,383,532,6,4,8,0,0,3,11,17,573,222,29,48,0,0,0,0,0,4,297,55,33,35,0,0,0,0,0,3,119,84,18,13,6,0,0,0,5,15,132,3,0,0,0,0,0,0,0,0,3,291,29,20,27,0,0,0,32,17,389,14,4,5,0,0,0,0,0,3,33
Litchfield (M),72300,103,0,0,7,0,4,0,15,0,125,302,0,0,3,0,0,0,3,3,314,34,3,6,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,50,5,0,0,0,3,0,3,0,56,21,4,0,0,0,0,0,0,0,27,11,0,0,4,0,0,0,3,0,15,8,0,0,0,0,0,0,0,0,11,124,11,12,5,0,3,0,6,0,157,6,0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,4,0,25,559,14,13,19,0,10,0,28,4,619,1298,8,7,169,3,11,3,192,19,1518,2659,6,13,24,4,18,8,47,18,2751,268,27,73,3,0,0,0,4,0,377,3,0,11,0,0,0,0,0,0,14,459,4,10,12,3,16,3,27,11,521,3,0,0,0,0,0,0,0,0,4,59,3,0,20,15,6,0,33,7,101,54,0,3,0,3,0,0,10,3,68
Mingenew (S),55530,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,12,78,0,0,0,0,0,0,0,4,76,32,0,0,0,0,0,0,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,26,0,4,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,3
Mundaring (S),56090,52,0,0,0,0,0,0,0,0,51,146,0,0,0,0,0,0,0,0,147,37,3,0,0,0,0,0,0,0,35,17,3,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,10,0,0,0,0,0,0,0,81,7,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,6,274,11,0,0,0,0,0,0,0,291,4574,144,3,14,0,3,0,16,9,4746,5932,61,4,0,0,5,6,13,8,6015,579,53,3,0,0,0,0,0,0,635,35,72,9,0,0,0,0,0,0,117,541,54,8,0,0,0,0,3,4,605,11,21,0,0,0,0,0,0,0,35,41,4,0,0,0,0,0,0,0,43,47,0,0,0,0,0,0,0,0,49
Peppermint Grove (S),56930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,26,6,0,0,0,0,0,0,251,100,13,7,0,0,0,0,0,0,120,30,17,35,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,15,3,8,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Moora (S),55600,21,0,0,0,0,0,0,0,0,21,18,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,9,27,0,0,0,0,0,0,0,0,28,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,86,0,0,0,0,0,0,0,0,89,312,0,0,5,0,0,0,10,3,324,207,0,0,0,0,0,0,0,0,208,17,0,0,0,0,0,0,0,0,17,33,3,0,0,0,0,0,0,0,41,73,0,0,0,0,0,0,0,0,80,3,0,0,0,0,0,0,0,0,9,49,3,0,0,0,0,0,0,0,55,23,0,0,0,0,0,0,0,0,22
Pingelly (S),57140,3,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,6,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,50,0,6,0,0,0,0,0,0,55,195,0,0,0,0,0,0,0,0,194,98,0,0,0,0,0,0,0,5,104,0,0,0,0,0,0,0,0,0,3,11,0,3,0,0,0,0,0,0,10,37,0,0,0,0,0,0,0,0,37,3,0,5,0,0,0,0,0,0,8,14,0,3,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,3
Plantagenet (S),57210,7,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,32,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,62,739,4,0,5,0,3,0,11,14,760,552,0,0,5,0,0,3,9,13,565,147,0,4,0,0,0,0,0,0,155,38,0,0,0,0,0,0,0,0,38,129,3,0,0,0,0,0,0,0,131,11,0,0,0,0,0,0,0,0,11,44,0,0,0,0,0,0,0,0,43,24,0,0,0,0,0,0,0,0,24
Port Hedland (T),57280,29,0,0,0,0,0,0,0,0,33,61,3,3,0,0,0,0,0,0,67,115,10,8,0,0,0,0,0,0,139,221,32,0,0,0,0,0,0,3,259,10,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,15,169,26,32,0,0,0,0,0,0,222,7,0,0,0,0,0,0,0,0,7,536,74,47,0,0,0,0,0,3,660,4,0,0,0,0,0,0,0,0,5,50,10,3,0,0,3,0,3,4,68,683,81,50,0,0,5,0,7,4,828,186,16,9,31,0,0,0,30,6,248,327,18,11,3,0,0,0,3,0,355,743,87,198,0,0,0,0,0,3,1033,232,13,19,0,0,0,0,0,3,258,92,9,14,3,0,0,0,0,0,118,12,0,6,0,0,0,0,0,0,25,870,106,172,5,4,3,0,11,10,1175,42,4,11,0,3,0,0,3,0,59
Quairading (S),57350,5,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,28,194,0,0,0,0,0,0,0,4,197,67,0,0,0,0,0,0,0,0,67,3,0,0,0,0,0,0,0,0,3,8,0,3,0,0,0,0,0,0,15,34,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,0,0,0,0,20,13,0,4,0,0,0,0,0,0,14
