LGA_MAIN11,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P,LGA_NAME11
15270,8895,8901,17796,3996,1769,5765,877,2143,3020,310,270,580,310,254,564,5493,4436,9929,2784,3984,6768,5.6,5.7,5.7,61.8,49.8,55.8,58.3,47.0,52.6,90,94,184,59,137,196,508,846,1354,398,698,1096,2745,1365,4110,8698,8657,17355,1732,1786,3518,5989,5847,11836,3756,3929,7685,Mid-Western Regional (A)
15300,5213,5070,10283,2651,1352,4003,382,1031,1413,212,184,396,232,140,372,3477,2707,6184,1221,1909,3130,6.7,5.2,6.0,66.7,53.4,60.1,62.2,50.6,56.5,30,54,84,23,57,80,276,491,767,222,373,595,1183,693,1876,5216,5011,10227,904,945,1849,3585,3405,6990,2021,2063,4084,Moree Plains (A)
15350,10252,12181,22433,5391,3557,8948,1343,2489,3832,320,387,707,233,279,512,7287,6712,13999,2165,4616,6781,3.2,4.2,3.7,71.1,55.1,62.4,68.8,52.8,60.1,1385,1228,2613,221,423,644,3327,3599,6926,898,1530,2428,819,728,1547,9536,11032,20568,2215,2523,4738,5559,6683,12242,5497,6178,11675,Mosman (A)
15500,2888,2883,5771,1265,623,1888,265,672,937,108,122,230,84,62,146,1722,1479,3201,1005,1280,2285,4.9,4.2,4.6,59.6,51.3,55.5,56.7,49.2,52.9,20,23,43,12,45,57,154,261,415,131,177,308,803,382,1185,2856,2805,5661,429,480,909,1910,1846,3756,1230,1293,2523,Murray (A)
15550,911,836,1747,493,220,713,71,182,253,48,48,96,28,19,47,640,469,1109,220,314,534,4.4,4.1,4.2,70.3,56.1,63.5,67.2,53.8,60.8,3,7,10,3,7,10,38,74,112,39,53,92,189,103,292,933,816,1749,183,169,352,706,603,1309,326,310,636,Murrumbidgee (A)
15650,6324,5864,12188,3480,1473,4953,510,1433,1943,283,225,508,180,194,374,4453,3325,7778,1466,2175,3641,4.0,5.8,4.8,70.4,56.7,63.8,67.5,53.4,60.7,49,48,97,34,64,98,285,444,729,289,368,657,2014,978,2992,5896,5722,11618,1376,1365,2741,3814,3627,7441,2905,2939,5844,Muswellbrook (A)
15700,7410,7921,15331,1992,1137,3129,900,1591,2491,200,204,404,417,307,724,3509,3239,6748,3526,4297,7823,11.9,9.5,10.7,47.4,40.9,44.0,41.7,37.0,39.3,76,86,162,59,100,159,447,620,1067,329,625,954,2165,1361,3526,7460,7836,15296,1151,1274,2425,5217,5364,10581,2914,3234,6148,Nambucca (A)
15750,5008,5045,10053,2600,1272,3872,401,1147,1548,229,186,415,173,165,338,3403,2770,6173,1297,2009,3306,5.1,6.0,5.5,67.9,54.9,61.4,64.5,51.6,58.0,59,42,101,22,77,99,241,431,672,178,328,506,1212,750,1962,5153,5158,10311,875,842,1717,3580,3555,7135,1978,2025,4003,Narrabri (A)
15800,2309,2352,4661,1061,493,1554,168,524,692,104,91,195,61,73,134,1394,1181,2575,745,1015,1760,4.4,6.2,5.2,60.3,50.2,55.2,57.7,47.1,52.3,18,11,29,12,32,44,90,190,280,72,139,211,530,330,860,2382,2440,4822,319,315,634,1735,1706,3441,782,849,1631,Narrandera (A)
15850,2474,2537,5011,1243,615,1858,206,549,755,120,86,206,91,86,177,1660,1336,2996,678,1062,1740,5.5,6.4,5.9,67.2,52.6,59.8,63.5,49.3,56.3,24,15,39,11,30,41,95,246,341,101,180,281,590,368,958,2646,2669,5315,431,447,878,1892,1853,3745,931,1029,1960,Narromine (A)
