lga_code16,p_othsvs_h_0,p_othsvs_h_1_15,p_othsvs_h_16_24,p_othsvs_h_25_34,p_othsvs_h_35_39,p_othsvs_h_40,p_othsvs_h_41_48,p_othsvs_h_49_more,p_othsvs_h_ns,p_othsvs_h_tot,p_idns_h_0,p_idns_h_1_15,p_idns_h_16_24,p_idns_h_25_34,p_idns_h_35_39,p_idns_h_40,p_idns_h_41_48,p_idns_h_49_more,p_idns_h_ns,p_idns_h_tot,p_tot_h_0,p_tot_h_1_15,p_tot_h_16_24,p_tot_h_25_34,p_tot_h_35_39,p_tot_h_40,p_tot_h_41_48,p_tot_h_49_more,p_tot_h_ns,p_tot_h_tot,lga_name16
25150,6,45,24,37,51,49,30,48,4,285,3,34,39,28,35,74,21,39,66,333,255,1284,907,954,976,1229,566,1166,167,7495,Moorabool (S)
25250,47,241,210,232,423,423,213,257,30,2079,55,261,199,196,357,364,100,192,415,2144,1081,5309,4936,5248,7346,6529,2953,4514,886,38807,Moreland (C)
25340,48,328,254,306,350,330,194,251,17,2079,76,294,219,203,285,319,142,210,408,2160,1733,8453,6066,6899,7564,7678,4108,6006,964,49479,Mornington Peninsula (S)
17310,22,114,88,99,233,189,105,174,17,1047,34,99,65,66,179,167,71,120,235,1038,903,2608,2311,2952,5136,4593,2336,3749,515,25106,Tamworth Regional (A)
17350,0,15,11,9,17,20,12,17,0,105,0,9,8,3,7,11,6,16,28,91,86,306,210,275,367,379,200,442,70,2336,Temora (A)
17400,5,13,6,4,17,9,5,15,0,71,10,12,8,8,10,16,3,9,23,93,88,284,215,255,308,292,128,500,63,2140,Tenterfield (A)
22620,62,238,160,220,351,268,188,236,18,1744,58,175,113,145,265,230,90,180,291,1545,1900,6250,4958,5883,8748,6953,4094,5509,756,45051,Greater Bendigo (C)
17100,3,46,57,52,118,141,55,66,10,541,47,123,173,127,301,328,100,168,267,1639,560,1923,2192,1839,4568,4927,2101,3208,488,21800,Strathfield (A)
17150,70,468,379,382,543,660,312,432,41,3283,74,331,301,262,496,584,193,377,537,3147,1912,10541,9045,7903,10561,11609,5219,8534,1106,66430,Sutherland Shire (A)
17200,306,864,1157,1115,2734,2455,1163,1518,122,11445,460,1332,1750,1172,2932,4280,1393,2404,4495,20217,14464,26613,40549,34019,97597,126873,57146,92864,8301,498425,Sydney (C)
22310,38,319,246,198,265,230,169,205,18,1694,40,229,143,149,189,276,87,176,283,1568,1042,6133,5043,4897,5750,6161,2922,4615,608,37174,Glen Eira (C)
22410,4,42,29,34,48,37,27,39,4,267,17,40,25,25,47,43,21,42,82,341,369,1044,859,955,1111,1210,724,1300,200,7768,Glenelg (S)
22490,5,18,17,17,19,16,3,19,4,113,11,16,15,13,18,21,10,14,32,144,135,521,366,428,412,489,254,642,80,3323,Golden Plains (S)
22670,69,309,327,326,1088,984,409,519,48,4074,148,521,498,511,1848,1562,556,711,1125,7489,2433,7528,7754,9189,24279,20644,10360,12463,2047,96693,Greater Dandenong (C)
22750,95,533,383,427,700,671,287,404,50,3556,135,396,270,305,544,590,202,378,753,3569,3608,13625,11313,12021,16908,16627,8156,11147,1652,95057,Greater Geelong (C)
25430,4,25,25,20,30,34,12,27,4,182,17,37,22,35,39,51,29,39,59,329,277,946,864,978,959,1322,603,829,122,6916,Mount Alexander (S)
25490,3,22,13,14,13,25,15,22,3,119,17,22,10,23,36,55,17,52,54,286,277,676,542,621,723,956,582,1660,155,6186,Moyne (S)
25620,3,19,16,18,23,12,4,21,3,115,13,25,17,20,22,36,9,19,35,192,196,601,484,571,569,664,319,623,90,4114,Murrindindi (S)
25710,21,146,76,102,104,107,49,72,10,690,14,86,75,61,56,86,26,74,103,582,390,2799,1834,1809,1685,2070,871,1617,240,13315,Nillumbik (S)
25810,3,18,16,15,19,26,9,21,4,136,10,17,15,16,23,20,8,11,36,167,228,603,502,618,723,797,396,778,109,4748,Northern Grampians (S)
25900,55,292,304,320,594,627,308,433,19,2953,106,291,305,267,515,787,273,535,647,3721,1982,6026,6712,6659,13336,18278,8396,13269,1278,75933,Port Phillip (C)
25990,0,7,3,3,8,6,13,9,3,48,10,12,3,4,8,13,0,7,23,85,97,244,221,228,237,330,154,432,55,2001,Pyrenees (S)
26080,0,9,6,3,11,3,3,4,0,41,3,3,3,5,3,4,0,5,10,35,80,255,179,171,188,161,80,142,27,1277,Queenscliffe (B)
26170,10,49,39,41,59,75,33,58,8,369,16,65,45,38,65,42,26,57,107,464,472,1609,1253,1311,1322,1522,914,2015,253,10668,South Gippsland (S)
26260,9,32,16,26,52,53,21,32,4,259,19,13,16,22,31,25,9,20,59,215,316,917,808,912,1055,1150,624,1229,142,7164,Southern Grampians (S)
26350,36,361,321,299,502,350,206,223,27,2329,44,276,234,184,276,418,142,295,449,2334,1497,8186,7151,6676,8943,9422,4806,7328,947,54961,Stonnington (C)
26430,7,7,8,11,17,14,8,13,0,87,11,10,15,8,14,27,7,18,35,142,145,493,360,453,545,539,280,599,95,3519,Strathbogie (S)
26490,9,63,46,50,49,52,13,42,3,315,16,63,35,30,32,44,19,34,64,330,333,1763,1156,1115,1083,1360,586,1142,156,8688,Surf Coast (S)
26610,12,44,24,30,79,54,33,50,3,325,23,44,28,36,49,65,29,49,106,423,376,1023,776,991,1638,1633,770,1338,254,8802,Swan Hill (RC)
26670,0,5,10,10,12,19,6,15,0,82,6,14,6,8,3,6,3,10,24,77,95,284,201,267,208,285,136,488,55,2017,Towong (S)
26700,7,45,37,44,81,115,30,75,3,443,30,61,36,43,65,81,20,50,103,486,570,1505,1413,1695,2142,2051,1018,1684,241,12312,Wangaratta (RC)
26730,15,110,64,68,123,132,48,65,4,631,17,62,36,36,79,81,27,51,118,509,687,2417,1806,2160,2907,2498,1304,1686,285,15743,Warrnambool (C)
26810,22,85,51,78,96,111,45,84,7,580,30,53,45,67,85,107,37,114,151,689,748,2192,1714,1889,2478,2753,1509,3407,368,17069,Wellington (S)
26890,4,5,4,3,7,3,3,11,0,36,3,4,0,3,3,6,0,8,14,52,73,185,148,198,153,271,115,505,36,1674,West Wimmera (S)
26980,85,415,402,429,823,683,389,471,36,3727,85,371,275,244,522,560,150,298,571,3073,2130,9740,8240,8361,13562,12483,5746,7775,1149,69185,Whitehorse (C)
27070,40,292,187,193,361,391,164,254,25,1905,90,336,239,241,679,602,183,319,572,3257,1612,7256,5961,6173,10695,9604,4351,6327,1163,53144,Whittlesea (C)
27170,19,64,53,75,171,148,100,96,13,743,31,59,48,43,107,118,47,75,137,667,720,1801,1717,2184,3713,3627,2085,2630,335,18806,Wodonga (C)
27260,48,296,204,177,385,374,130,240,28,1886,84,311,251,276,660,663,201,327,688,3455,1733,7432,6139,6481,13387,11724,5522,8104,1377,61904,Wyndham (C)
27350,61,245,248,269,552,510,237,320,38,2478,103,311,319,292,570,742,263,550,614,3779,2302,7231,8173,8562,15561,17295,8501,12138,1345,81102,Yarra (C)
27450,63,307,204,200,287,293,166,240,21,1771,87,258,144,176,301,299,124,219,333,1947,1448,7248,4861,4924,6322,5809,3221,4979,730,39545,Yarra Ranges (S)
27630,4,12,9,6,8,25,14,9,0,86,5,8,7,10,16,20,4,7,21,90,102,294,283,318,290,478,199,522,66,2556,Yarriambiack (S)
29399,0,0,3,3,3,0,3,0,0,10,3,4,4,10,12,9,8,16,15,90,37,130,151,281,352,300,349,545,47,2186,Unincorporated Vic
30250,0,3,5,5,7,8,0,3,0,33,0,0,0,3,0,0,0,0,3,9,11,16,13,35,81,52,6,54,7,282,Aurukun (S)
30300,3,3,7,11,16,19,8,14,0,83,0,6,4,6,13,12,3,21,22,89,70,202,166,235,263,320,149,641,48,2109,Balonne (S)
30370,8,24,24,29,47,46,25,50,8,252,7,26,17,11,29,45,18,48,63,259,346,656,512,645,1061,1020,909,2799,200,8153,Banana (S)
30410,0,3,3,4,7,9,3,7,0,36,0,3,4,3,0,11,3,17,12,58,47,99,77,142,193,250,114,494,43,1451,Barcaldine (R)
30450,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,3,6,10,7,4,17,44,18,107,3,209,Barcoo (S)
30760,0,3,0,3,0,3,0,5,0,14,3,0,3,0,5,0,3,6,5,31,38,66,62,91,101,131,56,285,15,855,Blackall-Tambo (R)
34710,6,6,0,7,19,14,14,11,0,75,3,6,0,11,17,7,7,10,27,86,102,131,101,187,342,342,207,453,50,1916,Longreach (R)
34770,61,240,184,218,538,366,290,501,27,2430,80,167,128,127,351,272,138,276,404,1941,1638,4923,4045,5293,8911,7027,4667,8288,906,45703,Mackay (R)
34800,0,0,3,0,0,5,0,6,0,6,0,0,0,0,3,4,0,5,15,28,70,28,21,29,56,102,88,794,38,1219,McKinlay (S)
34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,39,5,9,14,0,84,Mapoon (S)
34860,3,22,9,17,34,41,28,50,0,209,17,41,11,21,40,52,17,67,67,340,366,548,417,555,1026,1082,589,2317,147,7045,Maranoa (R)
34880,9,31,22,32,52,38,22,46,3,253,13,36,20,25,41,45,19,42,78,318,263,830,641,978,1456,1043,627,1353,183,7374,Mareeba (S)
35010,130,714,571,623,979,947,488,717,61,5227,171,572,406,492,950,882,322,753,994,5539,3542,15983,12455,16075,20925,17347,9079,15497,2069,112981,Moreton Bay (R)
35250,0,0,6,3,6,3,3,3,3,32,0,0,0,0,0,0,0,0,5,10,12,18,24,35,91,67,31,56,23,347,Mornington (S)
35300,7,34,28,28,58,79,37,84,3,358,6,22,11,17,34,57,24,48,92,317,418,576,424,743,1324,1450,1779,2317,189,9214,Mount Isa (C)
35600,0,3,3,5,11,12,10,11,0,58,4,6,6,10,10,11,3,9,27,82,74,156,129,212,392,338,152,479,54,1983,Murweh (S)
35670,0,0,0,4,0,3,0,0,0,9,0,0,0,0,0,0,0,0,3,3,5,10,9,24,45,39,30,50,8,221,Napranum (S)
35740,20,162,111,131,154,163,70,112,14,933,25,145,74,123,114,138,47,107,170,939,608,3147,2452,3417,3136,2911,1492,2639,333,20130,Noosa (S)
35760,3,22,7,16,22,22,9,23,0,117,10,16,9,20,16,24,6,40,57,199,150,424,389,505,525,642,389,1225,129,4378,North Burnett (R)
35780,5,5,10,3,16,24,3,9,0,74,0,5,0,0,3,0,0,7,9,19,28,48,55,98,247,152,38,136,20,825,Northern Peninsula Area (R)
35790,0,12,3,10,4,4,0,12,0,41,0,0,0,0,0,0,0,0,4,4,17,101,33,79,98,101,43,104,9,585,Palm Island (S)
35800,0,0,0,3,5,3,0,4,0,19,0,3,6,3,3,6,4,10,8,38,30,60,46,64,92,124,46,248,23,732,Paroo (S)
36070,0,9,3,3,0,7,0,0,0,25,0,0,0,0,0,0,0,0,0,3,3,60,7,22,35,40,9,35,3,216,Pormpuraaw (S)
36150,0,0,0,0,3,0,0,4,0,11,0,0,0,0,3,0,0,3,3,11,23,30,18,41,57,76,26,190,10,473,Quilpie (S)
36250,47,303,255,244,348,315,137,255,22,1919,57,206,166,165,283,351,89,266,302,1881,1271,6380,4762,5791,7011,6251,3044,5406,661,40572,Redland (C)
36300,0,3,0,5,3,8,6,9,0,31,3,7,3,5,12,10,4,7,11,54,8,79,60,78,118,130,56,175,19,732,Richmond (S)
36370,52,185,120,189,399,322,146,272,4,1687,56,118,61,97,224,201,86,156,241,1234,1432,3956,3237,4397,8361,6202,3202,5215,575,36580,Rockhampton (R)
36510,10,81,61,50,64,69,56,90,13,486,16,77,35,48,61,79,36,92,102,540,377,1713,1411,1719,1777,1746,1029,2316,271,12367,Scenic Rim (R)
36580,8,39,21,20,37,29,13,32,3,198,15,33,15,20,38,40,21,55,67,308,192,803,543,803,821,933,573,1270,164,6099,Somerset (R)
36630,10,75,32,39,77,71,33,87,0,429,19,50,35,40,54,54,26,71,133,478,402,1304,1071,1531,1937,1436,911,2191,266,11060,South Burnett (R)
36660,13,73,42,80,95,97,49,75,6,527,28,63,25,47,74,76,29,61,147,544,502,1752,1316,1713,2315,1919,1057,2410,311,13305,Southern Downs (R)
36720,110,700,505,664,767,833,387,565,34,4561,128,575,433,485,642,726,285,675,859,4810,3386,15279,12753,16487,19294,17209,9110,15491,1840,110852,Sunshine Coast (R)
36820,6,38,23,39,68,63,33,50,3,319,15,53,28,32,29,44,17,47,91,367,347,1203,899,1219,1381,1142,654,1527,196,8571,Tablelands (R)
36910,80,375,269,296,549,506,327,464,25,2895,80,249,135,182,368,375,187,402,484,2472,2492,7689,6341,8436,13899,10560,6726,12051,1158,69344,Toowoomba (R)
36950,3,10,4,3,7,11,4,8,3,64,3,0,5,5,7,8,0,8,33,72,68,103,70,135,247,365,131,296,85,1503,Torres (S)
36960,0,41,12,18,10,16,3,13,8,117,6,0,0,6,6,3,0,0,17,38,35,122,85,145,189,158,31,195,38,1003,Torres Strait Island (R)
37010,85,351,259,356,692,589,314,470,30,3159,88,256,166,225,479,448,161,344,582,2754,3103,8844,6840,9460,17635,14015,8304,12181,1337,81713,Townsville (C)
37300,0,3,0,3,7,3,7,15,0,49,3,4,0,0,4,8,7,12,11,46,56,80,82,117,142,196,135,326,23,1157,Weipa (T)
37310,13,61,51,55,91,115,57,103,4,553,38,57,31,46,87,85,51,194,141,735,680,1562,1141,1502,2085,2106,1516,5306,345,16242,Western Downs (R)
37340,21,60,46,63,102,95,58,87,5,543,26,66,39,57,84,110,54,96,142,667,533,1320,1144,1791,2417,2410,1732,3433,319,15102,Whitsunday (R)
30900,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,8,6,12,3,15,23,30,14,128,9,240,Boulia (S)
31000,622,2698,2417,2984,5847,4827,2708,3423,240,25774,686,2449,2023,2130,5006,5226,1851,3515,5104,27989,23052,68071,64799,73942,152882,141828,72344,106342,10961,714220,Brisbane (C)
33800,0,13,16,16,30,34,15,29,4,157,15,19,8,14,18,25,11,31,42,177,141,496,392,538,734,654,387,856,110,4307,Hinchinbrook (S)
33830,4,3,0,12,16,5,0,5,0,49,0,0,0,0,0,0,0,0,0,3,15,12,11,55,107,42,9,65,3,317,Hope Vale (S)
33960,48,299,211,257,371,273,171,221,14,1863,72,189,160,219,515,462,158,321,512,2606,2073,6902,5760,7993,13292,10709,6027,8420,1143,62312,Ipswich (C)
31750,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,9,16,6,8,8,28,24,17,160,9,283,Bulloo (S)
31820,27,151,116,139,275,193,117,167,20,1214,60,137,100,106,209,164,85,150,295,1294,998,3764,3124,4559,6124,4593,2726,4814,651,31342,Bundaberg (R)
31900,9,27,19,32,51,58,34,57,3,288,14,36,17,8,22,46,29,41,80,299,235,793,611,807,1213,1248,733,1573,180,7394,Burdekin (S)
31950,0,0,0,0,4,0,3,3,0,11,0,3,0,0,0,0,0,3,7,11,10,9,3,3,27,20,15,49,12,148,Burke (S)
32080,59,299,279,339,657,545,294,440,31,2938,93,252,180,214,370,399,166,338,580,2589,2257,6661,6091,9313,14620,11502,6347,9450,1215,67459,Cairns (R)
32250,0,3,0,3,9,3,0,4,0,21,0,6,0,6,6,0,5,13,10,40,29,51,33,72,137,130,89,282,35,860,Carpentaria (S)
32260,13,52,39,55,94,72,41,61,5,429,19,53,55,66,84,77,37,49,129,571,384,1158,1154,1585,2224,1833,951,1930,299,11512,Cassowary Coast (R)
32270,12,77,44,57,76,79,69,172,9,599,25,43,40,46,52,58,34,90,119,510,776,1300,1017,1165,1837,1748,1972,5941,342,16101,Central Highlands (R) (Qld)
32310,5,33,8,19,24,28,17,31,0,167,7,8,12,22,25,20,11,25,37,172,180,425,350,494,646,605,354,1100,111,4273,Charters Towers (R)
33980,9,47,25,28,45,40,48,145,7,398,25,35,24,26,30,49,22,106,156,478,1218,913,735,1002,1476,1503,2773,9979,434,20036,Isaac (R)
34420,0,5,0,0,0,3,3,3,0,18,0,0,0,0,0,0,0,0,4,8,3,29,18,30,40,63,20,37,10,260,Kowanyama (S)
34530,10,61,32,55,69,55,29,61,6,384,16,40,25,31,42,42,8,50,82,339,304,1276,882,1173,1721,1195,689,1458,190,8883,Livingstone (S)
34570,0,6,3,8,7,0,0,4,5,30,0,0,0,3,0,0,0,4,4,16,4,20,4,33,24,30,12,39,22,199,Lockhart River (S)
32330,0,9,0,0,7,4,0,0,0,18,0,0,0,0,0,0,0,0,3,7,12,23,21,40,98,54,7,28,11,291,Cherbourg (S)
32450,0,4,0,6,4,5,9,24,0,50,6,5,0,9,3,8,4,27,33,100,161,88,86,124,210,308,330,1657,67,3022,Cloncurry (S)
32500,0,3,4,6,18,21,5,16,3,71,10,5,9,9,10,13,9,25,27,120,128,148,146,233,326,330,732,764,71,2868,Cook (S)
32600,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,3,8,8,14,7,17,4,45,6,112,Croydon (S)
34580,9,48,38,27,66,53,25,47,7,331,21,63,26,42,79,62,30,60,112,492,381,1452,1070,1517,1940,1570,972,2017,274,11199,Lockyer Valley (R)
34590,80,498,369,475,732,704,372,536,45,3814,140,398,342,419,920,877,290,599,858,4841,2712,10306,8802,11541,18288,15256,7835,12563,1801,89093,Logan (C)
32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,8,10,13,14,30,19,82,4,184,Diamantina (S)
41140,3,19,18,15,33,27,17,21,0,160,8,13,13,17,13,20,6,19,35,143,178,539,473,602,557,632,359,692,81,4114,Clare and Gilbert Valleys (DC)
41010,3,4,5,9,10,13,4,11,0,62,3,10,3,3,5,9,3,10,17,64,84,159,135,185,284,242,148,281,52,1575,Ceduna (DC)
41060,45,235,184,241,460,322,179,199,17,1879,48,167,106,138,304,258,96,143,268,1516,1323,5412,4128,5548,8852,6201,3342,4480,596,39879,Charles Sturt (C)
32770,4,9,0,9,6,4,0,3,4,48,0,0,0,0,0,4,0,6,8,15,14,74,15,43,74,32,16,47,12,332,Doomadgee (S)
32810,4,17,16,24,30,34,18,38,3,193,10,24,20,21,46,29,16,37,48,255,167,503,523,839,958,850,550,1059,132,5585,Douglas (S)
33100,0,0,0,0,3,0,0,0,0,4,0,5,0,0,0,0,0,3,3,10,16,36,9,27,41,47,21,170,11,379,Etheridge (S)
33200,0,3,0,0,3,3,0,0,0,24,0,3,3,0,7,3,0,3,18,33,29,58,44,64,97,139,45,298,37,802,Flinders (S) (Qld)
33220,40,196,134,179,259,186,89,146,17,1243,55,138,87,125,189,135,48,148,277,1204,1049,3884,3108,4424,6090,4033,2181,3804,577,29137,Fraser Coast (R)
33360,25,144,86,93,198,136,94,140,12,939,55,83,71,77,124,168,91,263,197,1129,1066,2715,2150,2595,3938,3917,3498,6250,457,26594,Gladstone (R)
33430,199,1248,1034,1258,1693,1623,849,1264,114,9281,308,1174,932,1134,1917,2118,754,1564,2023,11926,6539,28225,24958,32462,45491,40110,19909,33626,4216,235525,Gold Coast (C)
33610,3,19,10,14,39,44,23,33,0,189,13,9,5,8,21,43,17,39,50,197,172,427,398,512,629,747,438,1332,101,4761,Goondiwindi (R)
33620,21,90,75,88,141,101,60,111,9,686,37,82,58,83,97,81,37,113,170,767,607,2058,1674,2382,2670,2028,1217,2736,328,15698,Gympie (R)
37400,0,0,0,0,3,6,3,0,0,19,0,3,0,0,3,3,0,0,4,15,30,34,29,50,79,100,48,199,15,581,Winton (S)
41560,8,43,17,29,32,49,19,23,8,234,10,12,11,8,16,13,4,16,42,135,203,750,495,658,730,586,331,507,98,4365,Copper Coast (DC)
41750,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,3,3,15,21,49,42,55,24,75,26,154,6,460,Elliston (DC)
37550,0,3,3,3,10,3,6,0,3,35,0,0,0,0,0,0,0,3,0,8,12,17,18,39,83,41,13,34,14,264,Woorabinda (S)
47140,37,167,123,142,373,285,163,217,19,1530,44,175,114,164,440,291,121,168,343,1856,1458,4619,3836,5128,11204,7862,4979,5455,776,45320,Salisbury (C)
47290,0,3,4,3,6,10,3,3,0,25,0,0,0,0,3,6,0,8,10,36,37,90,89,127,109,149,73,290,29,989,Southern Mallee (DC)
47490,3,8,0,4,3,7,4,4,0,30,0,0,3,3,3,0,3,9,16,35,43,110,85,110,97,116,84,181,24,856,Streaky Bay (DC)
47630,5,10,11,13,13,36,29,27,0,143,3,10,15,13,14,19,4,12,36,124,159,363,296,372,616,511,327,708,72,3426,Tatiara (DC)
47700,30,177,140,149,183,149,108,132,11,1077,20,92,32,60,85,72,43,65,134,609,689,4183,2794,3244,3743,2493,1616,2176,338,21274,Tea Tree Gully (C)
47800,0,6,3,3,8,5,3,16,0,46,4,15,3,3,7,10,6,5,12,57,74,263,189,247,216,249,194,564,45,2034,The Coorong (DC)
47910,0,7,3,6,0,3,3,5,0,24,4,3,3,0,3,4,3,3,7,31,34,117,95,107,81,124,71,226,23,885,Tumby Bay (DC)
37570,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,7,8,9,12,17,30,11,5,8,8,104,Wujal Wujal (S)
37600,0,3,3,6,0,4,0,12,0,35,0,0,0,0,0,0,0,0,19,23,15,34,26,52,120,67,19,81,26,446,Yarrabah (S)
50980,5,36,31,45,66,73,32,67,10,368,15,30,15,26,50,52,17,63,89,358,322,564,521,853,1506,1338,731,1391,175,7401,Broome (S)
40070,64,279,268,325,635,385,215,258,26,2455,93,265,166,201,415,314,117,224,699,2498,4781,10677,10943,13625,30805,21160,11006,13074,1534,117609,Adelaide (C)
40120,11,68,46,44,62,72,37,35,4,373,20,71,39,47,32,43,8,41,51,353,353,1844,1236,1395,1259,1377,845,1383,154,9836,Adelaide Hills (DC)
40220,8,50,26,23,46,43,15,44,3,261,9,47,25,31,21,29,9,24,55,247,231,1093,851,1063,961,859,480,878,121,6542,Alexandrina (DC)
40250,0,5,9,8,0,7,3,5,3,50,3,3,0,3,10,3,3,3,14,35,26,35,44,107,118,100,58,104,26,624,Anangu Pitjantjatjara (AC)
40310,14,48,21,52,57,58,35,46,0,336,23,35,22,35,49,57,27,28,55,328,377,1382,1068,1294,1545,1852,1051,1385,145,10098,Barossa (DC)
40430,0,4,3,3,0,3,0,0,0,11,0,4,3,0,3,3,0,0,5,22,41,103,70,100,62,91,55,189,14,720,Barunga West (DC)
40520,5,25,13,14,48,42,13,31,5,200,8,14,10,9,30,26,9,14,35,157,196,477,450,668,950,797,367,558,76,4530,Berri and Barmera (DC)
51540,0,3,5,7,3,16,5,10,0,53,6,9,6,3,22,8,3,16,31,115,162,155,170,264,428,459,386,652,66,2741,Carnarvon (S)
51610,0,3,3,0,0,3,0,0,0,5,0,5,0,3,0,0,0,4,3,12,20,44,29,30,24,35,32,102,17,337,Chapman Valley (S)
40700,16,104,75,85,141,95,43,47,11,618,23,71,49,57,62,69,29,46,88,500,605,2550,2037,2260,3074,2415,1525,2059,236,16760,Burnside (C)
40910,14,94,59,79,99,66,55,60,3,524,4,42,35,41,53,39,15,32,62,328,301,1675,1185,1554,1652,1161,722,1083,149,9483,Campbelltown (C) (SA)
41190,0,8,3,0,7,8,0,8,0,33,0,3,0,0,0,4,3,4,10,34,35,99,60,105,92,139,75,201,28,827,Cleve (DC)
41330,3,0,0,0,3,0,0,0,0,8,0,3,0,0,0,0,0,4,19,36,41,49,56,74,140,98,53,137,27,677,Coober Pedy (DC)
41830,0,0,0,0,0,7,0,3,0,17,0,3,0,0,3,0,0,6,0,15,20,80,36,59,73,75,31,115,14,505,Flinders Ranges (DC)
41960,0,0,0,0,3,0,0,3,0,10,0,0,0,0,0,0,3,0,3,11,37,68,49,61,49,47,27,107,5,454,Franklin Harbour (DC)
42030,6,49,41,41,74,56,27,35,0,335,3,20,10,17,30,20,6,18,34,160,230,1161,853,1144,1116,749,491,651,91,6484,Gawler (T)
42110,0,3,6,3,4,3,4,10,0,38,3,3,0,5,3,3,3,4,20,56,41,159,140,173,148,174,129,328,41,1339,Goyder (DC)
42250,4,12,6,8,5,3,4,4,0,37,4,14,3,4,8,11,4,8,16,73,93,249,178,241,306,364,222,566,45,2263,Grant (DC)
52730,3,11,13,3,5,10,3,3,0,50,5,25,7,9,5,12,4,4,11,92,108,382,290,272,183,250,123,264,33,1901,Denmark (S)
52800,0,22,13,22,41,45,8,36,9,197,6,10,7,18,11,11,4,30,43,134,116,141,121,214,509,479,235,672,95,2592,Derby-West Kimberley (S)
52870,3,10,10,3,3,12,8,9,0,62,8,11,6,10,3,6,4,8,12,82,81,268,201,232,168,201,129,323,27,1640,Donnybrook-Balingup (S)
42600,25,109,68,104,142,98,62,89,3,697,8,54,44,40,43,56,19,30,73,371,416,2394,1667,2055,2044,1490,884,1238,163,12348,Holdfast Bay (C)
42750,3,3,6,11,9,10,4,7,0,54,0,7,4,8,4,10,3,6,12,60,100,294,274,320,284,239,139,361,35,2048,Kangaroo Island (DC)
43080,0,0,0,3,0,7,0,3,0,10,0,0,0,0,0,7,0,4,0,13,4,42,37,51,47,77,41,162,4,468,Karoonda East Murray (DC)
43220,0,0,0,3,6,6,3,0,0,23,3,0,0,0,0,0,0,4,4,14,29,60,45,49,51,82,57,157,10,535,Kimba (DC)
43360,3,10,5,10,6,3,0,6,0,32,0,3,0,3,3,0,0,0,3,16,57,135,107,117,99,129,80,171,20,916,Kingston (DC) (SA)
43650,5,21,14,22,16,21,14,21,0,136,7,16,13,7,35,27,17,19,44,193,181,519,448,554,734,814,616,887,90,4843,Light (RegC)
43710,0,6,3,5,12,18,13,6,0,58,0,10,0,0,4,5,3,7,13,42,64,188,139,165,213,248,137,303,32,1494,Lower Eyre Peninsula (DC)
43790,7,32,15,15,18,41,15,23,0,170,9,15,10,20,25,15,8,12,41,150,171,522,461,615,733,763,369,757,79,4486,Loxton Waikerie (DC)
43920,3,18,7,4,7,10,9,6,0,60,3,9,10,18,21,16,3,11,28,123,52,257,202,247,357,273,147,375,57,1961,Mallala (DC)
55460,3,4,7,8,12,18,3,15,4,79,5,3,0,0,6,4,5,11,5,47,78,142,121,151,243,263,173,286,22,1475,Merredin (S)
44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,9,Maralinga Tjarutja (AC)
44060,29,157,98,117,171,140,82,99,10,920,27,91,68,64,144,112,39,76,111,744,833,3521,2583,3134,4459,2997,1772,2098,288,21697,Marion (C)
44210,0,8,3,9,4,9,4,12,0,56,3,15,9,12,6,7,0,12,24,93,74,311,279,344,344,297,199,455,56,2351,Mid Murray (DC)
44340,29,167,101,120,211,158,107,113,10,1004,21,87,74,86,114,87,44,70,135,713,1186,3925,3501,4379,5491,3746,2040,2870,335,27474,Mitcham (C)
44550,17,80,46,60,78,67,40,83,6,478,13,61,35,27,44,44,24,44,56,340,414,1814,1304,1626,1666,1244,835,1389,195,10480,Mount Barker (DC)
44620,23,90,54,63,154,83,72,82,3,629,14,48,32,28,77,58,35,50,84,423,488,1638,1329,1744,2497,1734,1279,1739,187,12634,Mount Gambier (C)
44830,0,3,3,0,3,0,7,3,0,23,3,4,0,0,0,0,0,4,8,26,25,105,71,85,102,108,64,260,20,839,Mount Remarkable (DC)
45040,0,52,38,40,82,60,30,38,3,334,13,34,27,19,60,50,9,27,59,283,344,1070,860,1107,1957,1667,788,1046,161,8994,Murray Bridge (RC)
45090,4,17,12,10,23,32,18,23,3,146,8,18,6,13,20,17,0,11,29,121,190,530,378,489,714,624,380,680,85,4057,Naracoorte and Lucindale (DC)
45120,0,10,3,5,8,12,10,10,0,57,3,5,4,11,0,5,3,3,10,46,70,227,191,203,163,245,162,431,28,1728,Northern Areas (DC)
45290,15,134,133,152,270,216,113,125,6,1162,28,102,55,78,121,110,50,78,146,769,654,3468,2615,3073,4578,3431,2129,2775,324,23048,Norwood Payneham St Peters (C)
