lga_code16,lga_name16,erp_2001,erp_2002,erp_2003,erp_2004,erp_2005,erp_2006,erp_2007,erp_2008,erp_2009,erp_2010,erp_2011,erp_2012pr,erp_2013pr,erp_2014pr,erp_2015pr,erp_2016pr,areasqkm16
26170,South Gippsland (S),25762,25786,25910,25957,26068,26128,26350,26556,26903,27173,27512,27895,28203,28426,28661,28936,3296.3307
26260,Southern Grampians (S),16873,16862,16880,16854,16879,16858,16874,16869,16822,16705,16571,16453,16336,16230,16132,16066,6654.0186
26350,Stonnington (C),89424,90370,91034,92061,92893,94056,95228,96841,98186,98728,98853,101555,103726,106304,108595,111606,25.6514
26430,Strathbogie (S),9558,9538,9564,9489,9455,9509,9538,9552,9564,9598,9598,9740,9858,10007,10163,10329,3303.2568
26490,Surf Coast (S),20556,21001,21292,21518,21819,22333,23135,24064,25052,25861,26666,27532,28226,28880,29639,30445,1552.944
26610,Swan Hill (RC),21025,21065,21064,21009,20977,20950,20972,20976,21043,20982,20865,20978,21010,20958,20919,20904,6115.3087
26670,Towong (S),6216,6196,6148,6138,6105,6097,6060,6048,6050,6004,5918,5926,5933,5942,5953,5973,6674.9467
26700,Wangaratta (RC),26260,26341,26378,26464,26608,26776,26871,27005,27111,27200,27212,27437,27640,27860,28144,28559,3645.1095
26730,Warrnambool (C),29180,29658,29998,30266,30553,30959,31380,31696,32036,32370,32667,33068,33429,33752,34041,34245,120.9488
26810,Wellington (S),40835,40671,40533,40481,40504,40682,40897,41174,41506,41803,42068,42441,42701,42936,43163,43465,10817.3346
26890,West Wimmera (S),4808,4749,4707,4636,4583,4539,4488,4452,4427,4373,4287,4210,4115,4026,3958,3912,9108.2042
26980,Whitehorse (C),146178,146110,146036,146453,147344,149017,151180,153487,155959,157058,157538,159788,162290,164690,167205,170093,64.28
27070,Whittlesea (C),117390,119629,122215,123736,125893,128491,132938,138446,145445,152709,160800,170196,179625,188509,197695,207881,489.6939
27170,Wodonga (C),31964,32481,32995,33528,33597,33595,33837,34157,34654,35287,36025,36715,37478,38238,39057,39844,432.6894
27260,Wyndham (C),86604,90333,95776,101789,108795,115161,123778,133063,143405,155251,166699,179376,190642,202250,214872,228088,542.0949
