LGA_MAIN11,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P,LGA_NAME11
17750,7,4,11,80,89,169,5,3,8,3,0,3,45,35,80,10617,9158,19775,960,975,1935,303,11,314,182,22,204,216,39,255,226,64,290,939,521,1460,13583,10921,24504,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,4,0,9,9,0,3,3,0,16,16,75,44,119,78,60,138,0,3,3,0,0,0,9,0,9,9,3,12,483,640,1123,1044,1831,2875,224,194,418,15421,13649,29070,Wagga Wagga (C)
17800,0,0,0,13,3,16,0,0,0,0,0,0,0,0,0,580,419,999,36,36,72,13,0,13,11,3,14,4,0,4,11,7,18,67,52,119,735,520,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,10,5,15,13,5,18,0,0,0,0,0,0,0,0,0,0,0,0,158,102,260,62,119,181,33,15,48,1001,761,1762,Wakool (A)
17100,1869,1619,3488,148,156,304,0,3,3,0,0,0,20,10,30,4897,2995,7892,273,437,710,116,0,116,49,8,57,42,9,51,52,26,78,240,241,481,7706,5504,13210,395,383,778,6,0,6,5,6,11,107,59,166,48,88,136,12,8,20,573,544,1117,0,0,0,0,0,0,5,6,11,6,15,21,3,3,6,14,24,38,37,18,55,624,586,1210,68,60,128,0,3,3,3,0,3,71,63,134,225,306,531,436,719,1155,143,108,251,9205,7286,16491,Strathfield (A)
17150,5213,5452,10665,200,272,472,14,7,21,7,10,17,66,38,104,37286,29875,67161,1946,2444,4390,1171,10,1181,438,35,473,384,64,448,298,115,413,991,1323,2314,48014,39645,87659,548,510,1058,12,7,19,7,8,15,1354,1192,2546,256,441,697,112,29,141,2289,2187,4476,3,0,3,0,3,3,3,20,23,7,37,44,4,5,9,17,65,82,314,120,434,2620,2372,4992,220,198,418,0,4,4,23,7,30,243,209,452,1745,2623,4368,4196,7353,11549,769,675,1444,57587,52877,110464,Sutherland Shire (A)
17850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,325,718,37,25,62,36,3,39,7,4,11,3,0,3,14,3,17,70,46,116,560,406,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,192,153,345,41,65,106,12,12,24,811,640,1451,Walcha (A)
17900,0,0,0,7,4,11,3,0,3,0,0,0,3,0,3,620,547,1167,58,71,129,56,5,61,15,4,19,15,0,15,20,9,29,179,142,321,976,782,1758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14,0,14,0,0,0,0,0,0,3,3,6,3,3,6,168,136,304,67,107,174,38,23,61,1266,1051,2317,Walgett (A)
17950,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,425,317,742,36,26,62,42,3,45,5,0,5,0,5,5,6,6,12,49,44,93,566,401,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,120,86,206,36,57,93,14,19,33,741,563,1304,Warren (A)
18000,75,48,123,4113,4131,8244,154,84,238,8,3,11,134,74,208,22547,18506,41053,1304,1875,3179,696,7,703,716,102,818,589,99,688,228,99,327,1142,1145,2287,31706,26173,57879,420,330,750,15,8,23,0,0,0,119,70,189,8,35,43,9,6,15,571,449,1020,133,103,236,0,4,4,255,244,499,89,154,243,60,39,99,537,544,1081,394,160,554,1502,1153,2655,184,129,313,55,54,109,29,9,38,268,192,460,1662,2261,3923,2329,4141,6470,467,429,896,37934,34349,72283,Warringah (A)
18020,0,0,0,8,3,11,0,0,0,0,0,0,0,0,0,900,925,1825,100,89,189,117,3,120,39,12,51,3,4,7,35,17,52,196,161,357,1398,1214,2612,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,17,7,24,17,13,30,0,0,0,0,0,0,0,0,0,0,0,0,328,219,547,139,202,341,48,37,85,1930,1685,3615,Warrumbungle Shire (A)
18050,1290,1228,2518,1249,1710,2959,152,77,229,0,8,8,128,86,214,7620,5831,13451,497,753,1250,140,9,149,588,132,720,585,154,739,101,62,163,842,1059,1901,13192,11109,24301,1795,1885,3680,9,7,16,0,0,0,130,87,217,46,67,113,33,35,68,2013,2081,4094,14,8,22,0,0,0,25,36,61,26,34,60,33,23,56,98,101,199,168,107,275,2279,2289,4568,190,164,354,11,10,21,9,6,15,210,180,390,865,1063,1928,879,1526,2405,229,211,440,17654,16378,34032,Waverley (A)
18100,0,0,0,6,5,11,0,3,3,0,0,0,3,0,3,369,357,726,37,25,62,43,0,43,5,0,5,4,0,4,19,3,22,61,46,107,547,439,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,173,132,305,53,65,118,19,8,27,801,647,1448,Weddin (A)
18150,0,0,0,7,8,15,0,0,0,0,0,0,0,0,0,873,869,1742,108,96,204,84,6,90,17,3,20,3,3,6,20,9,29,116,86,202,1228,1080,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,21,17,4,21,0,0,0,0,0,0,7,0,7,7,0,7,213,124,337,111,172,283,42,39,81,1618,1419,3037,Wellington (A)
18200,0,0,0,23,8,31,0,0,0,0,0,0,0,0,0,1012,819,1831,89,67,156,27,0,27,19,0,19,3,3,6,22,3,25,112,78,190,1307,978,2285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,6,4,10,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0,186,118,304,108,142,250,30,13,43,1637,1258,2895,Wentworth (A)
18250,2809,2540,5349,1891,1659,3550,3,3,6,6,4,10,78,31,109,7793,5674,13467,380,868,1248,91,5,96,192,23,215,319,43,362,106,50,156,1206,1284,2490,14874,12184,27058,339,366,705,0,0,0,3,3,6,96,85,181,34,66,100,34,24,58,506,544,1050,0,0,0,0,0,0,77,57,134,31,47,78,34,23,57,142,127,269,89,63,152,737,734,1471,52,59,111,11,3,14,12,4,16,75,66,141,909,1115,2024,863,1765,2628,160,175,335,17618,16039,33657,Willoughby (C)
18350,115,69,184,66,52,118,3,3,6,0,0,0,14,11,25,6679,5616,12295,445,479,924,361,17,378,57,7,64,64,16,80,77,59,136,371,335,706,8252,6664,14916,10,20,30,0,0,0,0,0,0,66,29,95,11,14,25,6,6,12,93,69,162,3,0,3,0,0,0,0,3,3,4,9,13,0,0,0,7,12,19,55,22,77,155,103,258,18,12,30,0,3,3,0,0,0,18,15,33,720,867,1587,841,1266,2107,189,170,359,10175,9085,19260,Wingecarribee (A)
18400,175,163,338,40,34,74,0,0,0,3,0,3,7,10,17,8093,6489,14582,470,435,905,631,8,639,80,6,86,23,3,26,67,30,97,175,158,333,9764,7336,17100,10,16,26,0,0,0,0,0,0,174,139,313,29,30,59,3,0,3,216,185,401,0,0,0,0,0,0,3,0,3,9,13,22,0,0,0,12,13,25,96,29,125,324,227,551,28,13,41,3,0,3,6,0,6,37,13,50,404,688,1092,752,1361,2113,207,179,386,11488,9804,21292,Wollondilly (A)
18450,1546,1018,2564,600,795,1395,10,3,13,7,3,10,79,57,136,29813,23661,53474,2103,2531,4634,727,15,742,436,49,485,521,122,643,242,91,333,1286,1326,2612,37370,29671,67041,122,134,256,0,0,0,11,4,15,480,321,801,79,94,173,57,15,72,749,568,1317,0,0,0,0,0,0,40,50,90,30,63,93,22,9,31,92,122,214,323,144,467,1164,834,1998,97,60,157,10,11,21,17,11,28,124,82,206,938,1453,2391,3977,5969,9946,680,590,1270,44253,38599,82852,Wollongong (C)
18500,1354,1228,2582,1041,1250,2291,369,225,594,4,6,10,177,139,316,5859,4580,10439,379,675,1054,55,0,55,260,48,308,262,68,330,108,64,172,1024,1274,2298,10892,9557,20449,374,439,813,32,29,61,0,0,0,66,48,114,26,22,48,28,14,42,526,552,1078,25,20,45,0,3,3,24,23,47,14,24,38,20,13,33,83,83,166,118,62,180,727,697,1424,94,70,164,12,8,20,16,6,22,122,84,206,964,1162,2126,722,1294,2016,146,177,323,13573,12971,26544,Woollahra (A)
18550,685,429,1114,270,380,650,6,0,6,5,0,5,21,16,37,21531,18415,39946,1909,1558,3467,965,24,989,259,18,277,127,15,142,168,74,242,478,508,986,26424,21437,47861,155,98,253,0,0,0,4,0,4,360,248,608,65,74,139,29,5,34,613,425,1038,0,0,0,0,0,0,10,8,18,25,53,78,3,4,7,38,65,103,280,95,375,931,585,1516,123,87,210,13,8,21,8,3,11,144,98,242,825,1318,2143,2718,4439,7157,562,476,1038,31604,28353,59957,Wyong (A)
18710,0,0,0,40,47,87,0,0,0,0,0,0,5,3,8,2667,2172,4839,186,354,540,191,11,202,29,3,32,6,4,10,34,17,51,163,137,300,3321,2748,6069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,18,5,23,6,9,15,0,0,0,24,14,38,44,27,71,71,41,112,3,0,3,0,0,0,5,3,8,8,3,11,305,317,622,334,501,835,60,55,115,4099,3665,7764,Yass Valley (A)
18750,0,3,3,12,6,18,0,0,0,0,0,0,4,3,7,1735,1489,3224,167,120,287,110,6,116,17,3,20,13,0,13,29,9,38,144,116,260,2231,1755,3986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,23,4,27,26,4,30,0,0,0,0,0,0,3,3,6,3,3,6,220,168,388,191,331,522,43,34,77,2714,2295,5009,Young (A)
19399,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,114,47,161,8,17,25,4,0,4,17,4,21,19,18,37,28,9,37,57,66,123,251,161,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8,0,8,0,3,3,0,0,0,3,0,3,3,3,6,101,85,186,25,34,59,11,5,16,399,288,687,Unincorporated NSW
19499,133,106,239,86,103,189,9,12,21,0,3,3,12,5,17,952,512,1464,169,100,269,45,3,48,19,3,22,29,13,42,48,19,67,237,149,386,1739,1028,2767,46,37,83,0,4,4,0,0,0,12,8,20,7,4,11,4,4,8,69,57,126,3,0,3,0,0,0,0,3,3,3,5,8,0,0,0,6,8,14,18,4,22,93,69,162,12,5,17,3,3,6,5,0,5,20,8,28,48,48,96,252,259,511,55,31,86,2207,1443,3650,
20110,0,0,0,21,10,31,0,0,0,0,0,0,0,0,0,1666,1433,3099,147,142,289,59,0,59,14,7,21,48,15,63,38,23,61,227,205,432,2220,1835,4055,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,4,4,0,0,0,3,4,7,23,9,32,26,16,42,0,0,0,0,0,0,3,0,3,3,0,3,254,247,501,252,382,634,55,53,108,2810,2533,5343,Alpine (S)
20260,3,3,6,16,3,19,0,0,0,0,3,3,6,3,9,1585,1327,2912,171,127,298,43,3,46,21,4,25,26,6,32,24,7,31,170,137,307,2065,1623,3688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,22,6,28,22,9,31,3,0,3,0,0,0,0,0,0,3,0,3,246,197,443,201,319,520,59,39,98,2596,2187,4783,Ararat (RC)
20570,270,180,450,168,215,383,9,6,15,12,9,21,75,44,119,15561,13255,28816,1160,1148,2308,284,6,290,90,15,105,334,53,387,120,52,172,692,718,1410,18775,15701,34476,16,7,23,0,0,0,17,28,45,84,60,144,17,19,36,13,4,17,147,118,265,0,0,0,0,0,0,5,5,10,22,24,46,5,6,11,32,35,67,144,76,220,323,229,552,49,47,96,5,7,12,8,5,13,62,59,121,625,819,1444,1732,3350,5082,307,308,615,21824,20466,42290,Ballarat (C)
20660,2473,2189,4662,357,461,818,11,4,15,66,72,138,89,36,125,19421,15941,35362,866,1328,2194,339,8,347,222,40,262,514,92,606,141,75,216,787,688,1475,25286,20934,46220,296,214,510,0,0,0,170,163,333,485,440,925,89,146,235,76,27,103,1116,990,2106,0,0,0,29,36,65,19,31,50,18,46,64,4,10,14,70,123,193,186,139,325,1372,1252,2624,222,207,429,7,16,23,21,6,27,250,229,479,957,1230,2187,2218,4125,6343,434,386,820,30517,28156,58673,Banyule (C)
20740,11,4,15,30,25,55,8,0,8,6,5,11,7,0,7,4461,3364,7825,373,317,690,109,3,112,34,11,45,75,32,107,49,15,64,261,263,524,5424,4039,9463,4,0,4,0,0,0,0,0,0,10,10,20,0,3,3,0,0,0,14,13,27,0,0,0,0,3,3,3,3,6,6,0,6,3,0,3,12,6,18,46,16,62,72,35,107,3,0,3,3,4,7,10,0,10,16,4,20,365,463,828,619,888,1507,124,93,217,6620,5522,12142,Bass Coast (S)
20830,184,118,302,52,22,74,0,3,3,3,0,3,13,5,18,7096,5689,12785,501,471,972,255,3,258,54,8,62,46,14,60,79,31,110,387,318,705,8670,6682,15352,17,8,25,0,0,0,5,6,11,47,29,76,11,8,19,9,0,9,89,51,140,0,0,0,0,0,0,5,3,8,0,3,3,0,3,3,5,9,14,87,20,107,181,80,261,21,13,34,0,0,0,8,0,8,29,13,42,752,768,1520,843,1440,2283,192,154,346,10667,9137,19804,Baw Baw (S)
20910,2179,1616,3795,109,157,266,5,3,8,63,64,127,72,28,100,14176,11569,25745,496,852,1348,148,3,151,172,26,198,596,115,711,112,66,178,451,582,1033,18579,15081,33660,169,118,287,0,0,0,147,123,270,352,284,636,68,80,148,89,18,107,825,623,1448,0,0,0,4,4,8,5,3,8,12,5,17,3,3,6,24,15,39,170,95,265,1019,733,1752,136,129,265,3,7,10,20,8,28,159,144,303,1274,1690,2964,1551,2918,4469,288,297,585,22870,20863,43733,Bayside (C)
21010,0,3,3,15,10,25,0,0,0,4,0,4,6,4,10,2089,1735,3824,154,148,302,64,0,64,26,0,26,54,17,71,18,3,21,157,153,310,2587,2073,4660,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,0,3,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,9,46,40,13,53,0,0,0,0,0,0,3,0,3,3,0,3,260,236,496,283,417,700,58,53,111,3231,2792,6023,Benalla (RC)
21110,3949,3035,6984,598,514,1112,12,9,21,1875,2091,3966,136,69,205,23135,19303,42438,852,1737,2589,161,4,165,302,33,335,1246,246,1492,235,129,364,1297,1453,2750,33798,28623,62421,168,115,283,0,0,0,669,615,1284,330,267,597,60,100,160,71,31,102,1298,1128,2426,0,0,0,145,144,289,23,35,58,11,23,34,9,9,18,188,211,399,358,299,657,1844,1638,3482,262,220,482,30,29,59,41,17,58,333,266,599,2152,2528,4680,2951,5256,8207,464,441,905,41542,38752,80294,Boroondara (C)
21180,2494,2682,5176,302,446,748,14,3,17,18,22,40,189,43,232,30406,19615,50021,1931,2555,4486,616,12,628,206,20,226,186,28,214,282,96,378,334,433,767,36978,25955,62933,429,444,873,0,0,0,123,146,269,532,541,1073,100,203,303,41,6,47,1225,1340,2565,0,0,0,8,15,23,20,15,35,19,38,57,6,4,10,53,72,125,220,136,356,1498,1548,3046,328,468,796,11,10,21,10,0,10,349,478,827,606,881,1487,2485,3622,6107,1140,842,1982,43056,33326,76382,Brimbank (C)
21270,0,0,0,11,0,11,0,3,3,0,0,0,0,0,0,833,611,1444,48,39,87,49,0,49,3,0,3,24,6,30,46,6,52,160,158,318,1174,823,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,16,5,21,19,5,24,0,0,0,0,0,0,3,0,3,3,0,3,246,160,406,78,154,232,36,28,64,1556,1170,2726,Buloke (S)
21370,7,7,14,21,16,37,3,3,6,0,3,3,16,8,24,5398,4659,10057,406,391,797,185,8,193,114,18,132,148,38,186,84,16,100,443,420,863,6825,5587,12412,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,73,36,109,73,44,117,0,3,3,4,0,4,3,3,6,7,6,13,713,622,1335,742,1043,1785,148,130,278,8508,7432,15940,Campaspe (S)
21450,492,390,882,66,67,133,9,7,16,6,0,6,4,13,17,14226,10904,25130,947,746,1693,578,20,598,113,3,116,46,6,52,99,46,145,325,297,622,16911,12499,29410,101,74,175,0,0,0,19,14,33,165,135,300,45,45,90,18,6,24,348,274,622,0,0,0,3,0,3,4,0,4,12,15,27,3,6,9,22,21,43,143,57,200,513,352,865,77,72,149,0,0,0,14,0,14,91,72,163,738,1094,1832,1198,2313,3511,272,202,474,19723,16532,36255,Cardinia (S)
21610,2088,1843,3931,397,543,940,20,6,26,9,17,26,74,45,119,49010,35466,84476,3242,3425,6667,1451,40,1491,335,24,359,136,21,157,342,129,471,452,525,977,57556,42084,99640,490,398,888,0,3,3,58,62,120,778,545,1323,147,238,385,52,7,59,1525,1253,2778,0,0,0,3,0,3,14,11,25,47,86,133,6,9,15,70,106,176,339,157,496,1934,1516,3450,347,375,722,4,14,18,15,8,23,366,397,763,1266,2090,3356,3799,6513,10312,1122,894,2016,66043,53494,119537,Casey (C)
21670,3,0,3,6,3,9,0,0,0,3,3,6,5,8,13,1552,1253,2805,124,123,247,63,0,63,15,5,20,32,15,47,23,6,29,129,118,247,1955,1534,3489,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,3,4,3,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,16,9,25,23,12,35,3,0,3,0,0,0,3,0,3,6,0,6,133,119,252,199,343,542,49,55,104,2365,2063,4428,Central Goldfields (S)
21750,7,5,12,18,8,26,0,0,0,3,4,7,7,5,12,3264,2534,5798,252,261,513,88,0,88,34,5,39,105,26,131,55,21,76,318,291,609,4151,3160,7311,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,6,35,17,52,42,20,62,0,3,3,4,0,4,4,0,4,8,3,11,423,385,808,410,708,1118,99,67,166,5133,4343,9476,Colac-Otway (S)
21830,4,4,8,8,3,11,0,0,0,3,0,3,3,0,3,2196,1822,4018,157,167,324,89,5,94,89,25,114,33,13,46,56,24,80,369,285,654,3007,2348,5355,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,3,6,0,3,3,0,0,0,3,6,9,37,12,49,44,18,62,0,0,0,3,0,3,4,0,4,7,0,7,721,513,1234,295,466,761,77,71,148,4151,3416,7567,Corangamite (S)
21890,3093,3033,6126,386,519,905,10,3,13,1312,1803,3115,132,59,191,18060,13956,32016,954,1424,2378,369,7,376,307,69,376,1852,900,2752,190,91,281,742,843,1585,27407,22707,50114,290,264,554,0,0,0,472,427,899,277,305,582,44,104,148,77,74,151,1160,1174,2334,3,0,3,156,207,363,14,14,28,15,31,46,8,7,15,196,259,455,281,290,571,1637,1723,3360,284,302,586,19,25,44,29,8,37,332,335,667,838,1068,1906,2354,4252,6606,620,535,1155,33188,30620,63808,Darebin (C)
22110,8,4,12,53,24,77,5,3,8,3,3,6,15,8,23,5693,5077,10770,472,486,958,196,8,204,69,6,75,132,42,174,151,54,205,440,386,826,7237,6101,13338,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,7,5,12,0,0,0,7,5,12,95,61,156,102,70,172,0,0,0,5,0,5,6,3,9,11,3,14,587,619,1206,791,1218,2009,178,128,306,8906,8139,17045,East Gippsland (S)
22170,865,698,1563,325,323,648,17,4,21,0,6,6,53,30,83,23260,18632,41892,1619,1489,3108,612,15,627,205,21,226,166,35,201,181,76,257,387,426,813,27690,21755,49445,198,165,363,0,0,0,24,28,52,329,242,571,56,81,137,52,7,59,659,523,1182,0,0,0,0,0,0,4,22,26,31,53,84,9,4,13,44,79,123,239,84,323,942,686,1628,136,146,282,8,7,15,7,4,11,151,157,308,741,1131,1872,2366,4001,6367,524,435,959,32414,28165,60579,Frankston (C)
22250,0,3,3,10,0,10,0,0,0,0,0,0,0,3,3,1466,1125,2591,84,92,176,64,3,67,37,6,43,37,10,47,38,9,47,165,167,332,1901,1418,3319,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,15,7,22,18,13,31,0,0,0,0,0,0,4,4,8,4,4,8,283,226,509,155,273,428,43,43,86,2404,1977,4381,Gannawarra (S)
22410,3,0,3,31,7,38,3,0,3,3,0,3,5,8,13,3042,2440,5482,238,235,473,97,3,100,46,11,57,50,7,57,58,31,89,214,215,429,3790,2957,6747,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,41,7,48,47,13,60,0,0,0,0,0,0,9,0,9,9,0,9,342,309,651,524,642,1166,79,91,170,4791,4012,8803,Glenelg (S)
22490,21,11,32,21,14,35,0,0,0,0,0,0,5,6,11,3514,2709,6223,197,176,373,158,9,167,28,0,28,14,3,17,34,7,41,101,52,153,4093,2987,7080,5,0,5,0,0,0,0,0,0,33,17,50,0,3,3,0,0,0,38,20,58,0,0,0,0,0,0,3,3,6,8,3,11,0,0,0,11,6,17,34,12,46,83,38,121,12,13,25,3,0,3,6,0,6,21,13,34,292,301,593,380,632,1012,74,63,137,4943,4034,8977,Golden Plains (S)
22620,120,79,199,193,237,430,12,3,15,15,4,19,41,54,95,16706,14115,30821,1430,1367,2797,379,13,392,189,48,237,349,71,420,122,57,179,773,775,1548,20329,16823,37152,10,6,16,0,0,0,5,6,11,51,20,71,3,6,9,11,3,14,80,41,121,0,0,0,0,0,0,4,4,8,22,24,46,3,8,11,29,36,65,173,98,271,282,175,457,30,17,47,9,7,16,9,3,12,48,27,75,810,959,1769,2026,3577,5603,373,318,691,23868,21879,45747,Greater Bendigo (C)
22670,1561,1456,3017,535,623,1158,3,3,6,10,10,20,122,40,162,22293,13170,35463,1490,2047,3537,479,6,485,118,9,127,181,24,205,210,64,274,404,508,912,27406,17960,45366,398,357,755,0,0,0,66,79,145,359,259,618,56,100,156,27,4,31,906,799,1705,0,0,0,0,5,5,16,20,36,31,62,93,6,10,16,53,97,150,160,81,241,1119,977,2096,222,267,489,14,10,24,3,0,3,239,277,516,395,611,1006,1530,2147,3677,804,608,1412,31493,22580,54073,Greater Dandenong (C)
22750,1091,707,1798,487,728,1215,13,5,18,8,13,21,114,71,185,34964,28593,63557,2414,2638,5052,645,14,659,261,37,298,726,175,901,257,98,355,1314,1396,2710,42294,34475,76769,55,40,95,0,0,0,52,59,111,444,261,705,47,62,109,72,7,79,670,429,1099,0,0,0,0,0,0,25,42,67,35,81,116,26,11,37,86,134,220,380,162,542,1136,725,1861,227,215,442,8,13,21,18,6,24,253,234,487,1347,1742,3089,4321,7393,11714,779,704,1483,50130,45273,95403,Greater Geelong (C)
22830,9,3,12,47,83,130,9,3,12,0,3,3,21,32,53,10016,8275,18291,811,930,1741,196,3,199,121,12,133,222,46,268,78,29,107,594,508,1102,12124,9927,22051,0,0,0,0,0,0,0,3,3,3,0,3,3,3,6,0,0,0,6,6,12,0,0,0,0,0,0,0,5,5,4,3,7,3,3,6,7,11,18,98,35,133,111,52,163,3,3,6,5,3,8,4,4,8,12,10,22,729,645,1374,927,1662,2589,252,203,455,14155,12499,26654,Greater Shepparton (C)
