lga_code_2016,num_mvs_per_dweling_0_mvs,num_mvs_per_dweling_1_mvs,num_mvs_per_dweling_2_mvs,num_mvs_per_dweling_3_mvs,num_mvs_per_dweling_4mo_mvs,num_mvs_per_dweling_tot,num_mvs_ns,total_dwelings,lga_name16
53710,11,110,142,65,55,381,63,439,Goomalling (S)
53780,1642,11922,15251,5869,3482,38169,2643,40809,Gosnells (C)
53800,760,4398,5203,1998,1141,13494,1512,15008,Greater Geraldton (C)
53920,316,352,142,41,35,887,270,1152,Halls Creek (S)
53990,197,2321,3782,1537,952,8783,876,9655,Harvey (S)
54060,58,475,535,248,130,1449,138,1587,Irwin (S)
54130,9,87,150,89,60,398,73,474,Jerramungup (S)
54170,1445,14013,23799,8912,4933,53109,2525,55631,Joondalup (C)
54200,544,5342,7945,3518,2374,19718,1383,21097,Kalamunda (S)
54340,81,409,486,222,134,1335,261,1596,Katanning (S)
54410,27,123,139,66,74,424,70,494,Kellerberrin (S)
54480,0,46,57,44,44,193,38,228,Kent (S)
54550,35,177,264,98,154,724,80,808,Kojonup (S)
54620,21,85,95,46,61,308,34,346,Kondinin (S)
54690,6,51,73,19,32,173,11,184,Koorda (S)
54760,12,62,103,57,59,291,35,333,Kulin (S)
54830,641,4231,5074,1714,916,12581,1239,13822,Kwinana (C)
54900,28,125,141,85,94,471,60,527,Lake Grace (S)
54970,48,83,53,16,3,198,48,243,Laverton (S)
55040,40,170,97,20,23,356,104,452,Leonora (S)
55110,1417,11503,11311,3670,1859,29756,2536,32297,Mandurah (C)
55180,182,1064,1298,546,354,3450,398,3847,Manjimup (S)
55250,34,108,59,24,13,236,79,316,Meekatharra (S)
55320,1602,11281,14835,5044,2577,35332,2048,37377,Melville (C)
55950,8,57,72,29,38,206,23,222,Mukinbudin (S)
55390,34,39,17,4,3,98,21,119,Menzies (S)
55460,97,350,448,183,122,1207,153,1363,Merredin (S)
55530,8,69,72,26,30,214,43,254,Mingenew (S)
56090,343,2925,5003,2400,1971,12640,831,13471,Mundaring (S)
55600,46,244,269,151,131,838,161,998,Moora (S)
55670,17,105,88,28,34,271,37,303,Morawa (S)
56860,0,21,41,13,12,93,11,102,Nungarin (S)
55740,267,1189,1248,368,178,3246,314,3566,Mosman Park (T)
55810,24,80,47,12,18,173,76,254,Mount Magnet (S)
55880,4,52,66,32,48,208,29,235,Mount Marshall (S)
56160,6,26,10,3,4,54,8,59,Murchison (S)
56230,155,1811,2218,988,717,5899,655,6552,Murray (S)
56300,22,157,220,92,43,529,65,590,Nannup (S)
56370,12,88,99,48,51,297,33,328,Narembeen (S)
56460,109,637,592,240,179,1764,256,2018,Narrogin (S)
56580,253,1933,3308,1050,525,7058,369,7428,Nedlands (C)
56620,174,146,36,12,3,367,110,481,Ngaanyatjarraku (S)
56730,219,1183,1330,599,468,3799,460,4257,Northam (S)
56790,75,682,554,198,148,1656,320,1977,Northampton (S)
56930,14,121,223,72,73,507,48,554,Peppermint Grove (S)
57630,3,10,13,8,10,42,7,51,Sandstone (S)
57700,85,1587,3507,1641,1448,8277,578,8849,Serpentine-Jarrahdale (S)
57770,50,451,216,53,31,805,135,933,Shark Bay (S)
57840,994,6460,6261,1669,802,16181,1416,17600,South Perth (C)
57910,5143,30362,31292,8704,4209,79716,6705,86417,Stirling (C)
57980,897,3766,2466,492,191,7812,699,8512,Subiaco (C)
58050,1695,12563,18287,6924,4147,43610,3536,47146,Swan (C)
58190,4,35,47,22,26,137,21,153,Tammin (S)
58260,6,73,78,30,25,215,24,236,Three Springs (S)
57000,12,48,61,29,38,179,26,206,Perenjori (S)
57080,1989,5032,1582,197,69,8875,2009,10884,Perth (C)
57140,34,144,133,65,63,439,59,499,Pingelly (S)
57210,61,506,666,333,263,1833,224,2057,Plantagenet (S)
57280,243,1353,1725,710,315,4349,1135,5481,Port Hedland (T)
57350,19,131,134,58,47,387,73,457,Quairading (S)
57420,33,193,215,82,92,619,105,723,Ravensthorpe (S)
57490,1680,13541,17420,6001,2967,41606,3622,45225,Rockingham (C)
65010,68,515,799,438,359,2179,207,2387,Southern Midlands (M)
65210,29,350,360,127,71,936,136,1076,Tasman (M)
65410,371,1871,1921,715,372,5248,443,5687,Waratah/Wynyard (M)
65610,160,768,613,176,65,1779,208,1988,West Coast (M)
65810,293,2667,3358,1350,774,8447,643,9087,West Tamar (M)
58330,35,438,604,332,270,1678,246,1920,Toodyay (S)
58400,4,47,40,32,22,140,26,166,Trayning (S)
58470,19,47,17,3,3,89,32,123,Upper Gascoyne (S)
58510,1283,5610,4633,1210,504,13239,1502,14734,Victoria Park (T)
70200,676,3293,2855,1019,467,8313,1519,9830,Alice Springs (T)
58540,5,85,124,57,67,341,31,372,Victoria Plains (S)
58570,1251,5816,4612,1054,419,13159,1484,14645,Vincent (C)
58610,35,221,254,98,92,702,101,806,Wagin (S)
58680,3,25,54,35,44,162,26,192,Wandering (S)
58760,1891,17792,26107,9508,4935,60232,4468,64697,Wanneroo (C)
58820,33,381,508,275,203,1405,201,1604,Waroona (S)
58890,3,69,126,61,69,320,42,370,West Arthur (S)
59030,0,16,41,11,20,83,16,106,Westonia (S)
72800,476,3101,4780,1458,621,10438,1394,11835,Palmerston (C)
73600,509,686,263,69,52,1586,449,2031,Roper Gulf (R)
74050,370,148,23,11,7,556,64,616,Tiwi Islands (R)
74550,191,316,165,42,30,748,205,951,Victoria Daly (R)
59100,4,59,91,53,52,267,33,297,Wickepin (S)
74560,4,86,64,24,9,184,18,201,Wagait (S)
74660,462,571,243,48,22,1342,317,1656,West Arnhem (R)
74680,255,148,34,23,3,454,89,546,West Daly (R)
79399,358,1241,774,188,83,2639,637,3279,Unincorporated NT
59170,8,76,134,63,59,341,40,381,Williams (S)
59250,34,57,23,10,3,131,39,171,Wiluna (S)
89399,8070,53886,56076,15652,7067,140752,9948,150693,Unincorporated ACT
99399,80,475,530,184,110,1387,166,1556,Unincorp. Other Territories
59310,19,173,211,95,59,552,29,586,Wongan-Ballidu (S)
59320,0,28,50,30,37,145,19,164,Woodanilling (S)
59330,20,63,71,22,26,202,46,253,Wyalkatchem (S)
59340,386,1255,801,248,186,2880,642,3520,Wyndham-East Kimberley (S)
59350,7,27,13,8,8,58,26,84,Yalgoo (S)
59360,16,139,135,68,52,411,71,485,Yilgarn (S)
59370,46,438,504,231,154,1366,188,1553,York (S)
60210,150,967,924,343,166,2542,273,2816,Break O'Day (M)
60410,450,1815,1942,862,542,5607,580,6187,Brighton (M)
60610,595,2919,2580,838,393,7321,630,7952,Burnie (C)
60810,450,2788,3023,1242,682,8191,666,8859,Central Coast (M) (Tas.)
61010,23,293,331,146,105,894,109,1000,Central Highlands (M) (Tas.)
61210,125,913,1150,437,210,2830,317,3147,Circular Head (M)
61410,1268,7261,7992,2702,1383,20603,1310,21914,Clarence (C)
61510,291,1195,1263,586,339,3670,375,4051,Derwent Valley (M)
61610,865,3783,3248,1142,537,9576,840,10411,Devonport (C)
61810,113,867,941,392,281,2592,243,2834,Dorset (M)
62010,36,127,155,57,28,405,41,446,Flinders (M) (Tas.)
62210,206,893,893,347,188,2531,316,2842,George Town (M)
62410,77,658,716,227,128,1807,206,2010,Glamorgan/Spring Bay (M)
62610,2162,7281,5681,1800,974,17900,1660,19559,Glenorchy (C)
62810,2195,8664,6311,1750,722,19645,1594,21235,Hobart (C)
63010,217,2023,2390,911,554,6089,554,6644,Huon Valley (M)
63210,68,595,854,401,277,2183,221,2405,Kentish (M)
63410,37,211,248,90,44,634,52,688,King Island (M)
63610,508,4494,5435,1803,889,13132,782,13914,Kingborough (M)
63810,139,1317,1588,639,346,4037,321,4356,Latrobe (M) (Tas.)
64010,2475,9718,8373,2757,1438,24763,2413,27173,Launceston (C)
64210,323,2264,2718,1141,770,7214,589,7807,Meander Valley (M)
64610,188,1487,1789,821,484,4772,513,5282,Northern Midlands (M)
64810,178,1801,2115,838,456,5388,461,5850,Sorell (M)
70420,494,810,333,105,80,1821,328,2146,Barkly (R)
70540,13,19,0,0,0,33,3,34,Belyuen (S)
70620,330,274,98,31,20,750,101,854,Central Desert (R)
70700,44,275,147,38,29,528,215,739,Coomalie (S)
71000,1891,9304,9836,3109,1513,25658,4212,29877,Darwin (C)
71300,734,383,119,30,6,1273,177,1447,East Arnhem (R)
72200,268,1091,1021,334,192,2908,877,3783,Katherine (T)
72300,142,1566,2433,1350,1032,6527,1295,7826,Litchfield (M)
72330,435,476,160,33,27,1136,461,1593,MacDonnell (R)
