lga_name_2016,lga_code_2016,p_advdi_di_advdi_asde_mng,p_advdi_di_advdi_asde_pro,p_advdi_di_advdi_asde_ttw,p_advdi_di_advdi_asde_cps,p_advdi_di_advdi_asde_ca,p_advdi_di_advdi_asde_sal,p_advdi_di_advdi_asde_mod,p_advdi_di_advdi_asde_lab,p_advdi_di_advdi_asde_idns,p_advdi_di_advdi_asde_tot,p_advdi_di_dip_mng,p_advdi_di_dip_pro,p_advdi_di_dip_ttw,p_advdi_di_dip_cps,p_advdi_di_dip_ca,p_advdi_di_dip_sal,p_advdi_di_dip_mod,p_advdi_di_dip_lab,p_advdi_di_dip_idns,p_advdi_di_dip_tot,p_cert_certiii_iv_mng,p_cert_certiii_iv_pro,p_cert_certiii_iv_ttw,p_cert_certiii_iv_cps,p_cert_certiii_iv_ca,p_cert_certiii_iv_sal,p_cert_certiii_iv_mod,p_cert_certiii_iv_lab,p_cert_certiii_iv_idns,p_cert_certiii_iv_tot,p_cert_certi_ii_mng,p_cert_certi_ii_pro,p_cert_certi_ii_ttw,p_cert_certi_ii_cps,p_cert_certi_ii_ca,p_cert_certi_ii_sal,p_cert_certi_ii_mod,p_cert_certi_ii_lab,p_cert_certi_ii_idns,p_cert_certi_ii_tot,p_cert_cert_nfd_mng,p_cert_cert_nfd_pro,p_cert_cert_nfd_ttw,p_cert_cert_nfd_cps,p_cert_cert_nfd_ca,p_cert_cert_nfd_sal,p_cert_cert_nfd_mod,p_cert_cert_nfd_lab,p_cert_cert_nfd_idns,p_cert_cert_nfd_tot,p_le_id_mng,p_le_id_pro,p_le_id_ttw,p_le_id_cps,p_le_id_ca,p_le_id_sal,p_le_id_mod,p_le_id_lab,p_le_id_idns,p_le_id_tot,p_le_ns_mng,p_le_ns_pro,p_le_ns_ttw,p_le_ns_cps,p_le_ns_ca,p_le_ns_sal,p_le_ns_mod,p_le_ns_lab,p_le_ns_idns,p_le_ns_tot,p_tot_mng,p_tot_pro,p_tot_ttw,p_tot_cps,p_tot_ca,p_tot_sal,p_tot_mod,p_tot_lab,p_tot_idns,p_tot_tot
Cumberland (A),12380,484,608,567,448,654,290,306,294,80,3746,698,741,815,1175,1072,539,360,448,119,5981,836,487,4310,1323,1296,622,955,1001,247,11076,48,55,85,121,198,91,67,124,8,803,127,119,179,296,404,150,156,209,39,1681,120,213,175,103,176,93,108,134,48,1166,126,187,269,189,253,126,192,292,266,1908,5680,14957,8164,5858,8028,3833,3258,4105,1334,55209
Dungog (A),12700,36,45,19,33,40,4,5,6,0,193,42,48,22,45,46,15,10,12,3,244,162,35,460,120,109,54,123,107,13,1195,9,3,8,3,14,6,0,11,4,61,11,4,9,17,40,8,7,11,0,112,0,5,0,3,3,0,0,3,0,18,23,16,17,4,13,3,10,18,5,112,402,515,560,267,323,115,166,195,34,2562
Edward River (A),12730,51,34,8,26,21,3,3,9,3,157,34,32,16,76,30,7,3,4,0,214,162,41,303,103,98,47,89,133,14,989,19,4,3,5,15,6,5,13,0,72,7,7,3,19,20,10,10,16,3,97,0,0,3,0,5,5,0,10,0,20,16,8,12,21,15,17,19,27,12,145,416,496,356,287,246,111,119,243,42,2324
Eurobodalla (A),12750,104,159,57,101,87,31,13,33,13,595,106,119,65,177,128,54,17,38,14,730,429,155,1325,536,362,295,238,355,52,3758,16,17,20,38,58,38,15,45,0,243,51,35,22,80,74,65,9,46,3,387,11,11,11,11,26,10,4,8,0,82,43,33,49,46,36,45,9,59,32,361,1100,1925,1644,1180,951,601,328,637,146,8514
Fairfield (C),12850,320,449,387,375,538,194,181,181,43,2672,479,570,650,1045,962,411,276,278,107,4785,845,495,4364,1343,1254,629,1152,1103,248,11447,56,51,84,95,230,121,103,143,15,903,126,83,153,273,408,177,207,191,34,1660,60,129,90,78,153,68,92,93,17,787,90,149,218,157,185,137,221,258,201,1614,3409,8655,6722,4323,5796,2485,2661,2769,902,37727
Federation (A),12870,39,41,21,27,18,10,9,7,3,171,54,45,16,70,29,11,4,23,3,256,223,41,469,143,109,68,132,186,24,1389,15,6,3,16,28,15,0,19,0,94,19,8,4,22,20,19,3,25,0,130,9,3,0,0,3,0,3,0,0,23,27,17,24,24,16,13,20,33,5,177,514,515,564,346,268,146,183,319,43,2898
Forbes (A),12900,51,40,13,26,16,8,3,8,0,169,50,20,12,56,30,7,3,9,7,196,169,51,329,94,114,79,91,105,18,1048,14,0,4,8,11,17,0,13,3,74,20,7,9,20,33,7,8,13,0,116,3,3,3,3,8,3,4,4,3,28,35,5,15,20,13,16,9,18,16,142,478,516,399,252,254,145,125,185,47,2402
Georges River (A),12930,573,794,418,429,688,358,156,222,41,3680,646,650,566,796,913,459,149,281,65,4520,929,475,3186,963,1018,583,553,594,148,8452,68,35,27,90,165,88,41,52,6,576,167,135,120,214,466,207,92,127,20,1541,122,186,81,58,165,84,40,62,19,831,115,170,115,112,192,106,71,147,160,1189,6620,16119,5854,4497,7229,3637,1673,2544,855,49024
Gilgandra (A),12950,22,18,0,14,6,4,0,0,0,62,19,16,3,27,13,0,0,3,0,76,104,21,125,67,41,23,25,41,3,463,10,0,3,9,7,0,3,8,0,34,7,0,3,11,5,9,3,8,0,42,3,4,0,3,0,0,0,3,0,13,25,0,6,9,3,5,12,9,3,72,238,204,148,146,84,47,45,80,13,1007
Glen Innes Severn (A),13010,32,37,10,21,12,10,3,0,0,129,39,28,9,56,45,12,9,13,3,198,144,43,216,119,85,48,50,97,13,810,9,4,7,10,10,11,3,15,0,74,26,3,14,24,16,9,12,25,0,129,10,3,0,0,3,4,0,0,4,25,28,9,13,16,3,13,6,8,10,101,394,378,274,274,209,106,80,175,31,1926
Goulburn Mulwaree (A),13310,94,161,41,101,65,19,16,12,14,525,137,139,68,273,151,59,19,34,9,888,403,135,1131,613,356,204,350,297,53,3544,12,9,21,41,47,37,11,31,0,203,26,17,24,69,89,40,25,32,6,329,13,5,0,10,19,7,9,7,0,71,40,27,28,50,49,37,42,53,23,337,1041,1675,1378,1370,925,456,485,521,117,7961
Greater Hume Shire (A),13340,63,51,11,34,23,6,7,8,0,208,75,54,25,63,55,9,13,22,3,309,256,52,406,123,119,65,104,112,18,1246,13,3,10,6,12,4,12,15,0,76,42,7,6,25,33,9,5,10,3,136,10,5,3,3,3,5,0,4,0,31,53,15,12,14,10,10,13,35,4,167,676,584,480,309,323,126,151,216,40,2911
Griffith (C),13450,63,96,35,50,54,24,6,27,8,373,101,97,43,147,97,35,8,57,4,594,427,114,1037,289,317,203,203,344,37,2972,24,9,9,22,45,29,14,23,0,176,24,15,17,60,59,41,19,46,4,279,8,11,8,6,16,9,6,27,0,94,39,30,21,36,38,28,33,100,34,360,969,1396,1236,718,747,397,317,769,112,6667
Gundagai (A),13510,53,58,14,35,15,7,3,6,3,186,44,32,25,77,39,21,3,9,0,250,162,50,355,140,118,60,104,188,13,1196,21,8,6,13,19,6,3,12,0,93,16,11,8,18,21,16,5,12,3,117,0,3,0,6,3,5,0,7,0,18,34,6,14,12,14,19,18,29,12,157,456,528,427,346,262,134,137,281,36,2618
Gunnedah (A),13550,50,45,14,32,17,4,5,11,3,185,57,51,27,66,49,8,17,11,13,294,218,51,467,130,125,77,250,98,20,1436,11,3,10,10,27,15,11,13,0,103,23,5,10,20,34,23,16,19,0,154,0,3,3,3,10,3,4,4,0,29,32,18,30,22,14,23,32,36,8,215,569,655,571,338,336,164,349,204,56,3243
Gwydir (A),13660,40,17,4,7,7,9,7,7,0,97,44,14,0,26,16,4,0,5,3,118,135,21,106,44,46,8,42,68,4,471,7,0,0,7,0,3,3,13,0,32,13,3,0,8,4,3,3,4,0,41,10,0,0,0,0,0,0,3,0,12,30,6,7,12,8,4,3,12,11,90,374,212,126,123,113,45,57,114,18,1175
Hawkesbury (C),13800,279,370,137,195,250,68,29,56,12,1392,374,333,244,487,466,185,39,105,23,2249,1104,427,3849,893,1058,526,811,702,177,9547,53,20,39,52,143,70,33,53,3,467,113,58,99,141,225,68,62,76,7,848,23,36,31,21,54,18,10,26,3,229,51,58,77,72,103,42,65,84,63,630,2893,4301,4684,2258,2793,1123,1094,1190,338,20672
Hay (A),13850,19,17,3,5,7,0,0,0,0,51,21,4,6,11,8,4,0,6,0,55,41,6,90,40,40,13,38,34,9,315,3,0,3,7,7,0,0,0,0,24,9,3,0,9,0,6,0,0,0,27,0,0,0,0,0,0,0,0,0,0,7,4,10,5,3,0,9,4,7,42,134,114,108,83,79,31,51,49,12,674
Penrith (C),16350,540,874,311,567,660,193,152,137,56,3498,925,973,652,1416,1385,471,258,240,95,6408,2213,1166,8399,2568,3283,1379,2399,1817,373,23603,113,77,87,172,425,178,113,164,13,1336,239,174,180,384,642,209,245,218,39,2326,77,111,69,82,192,63,86,105,26,807,132,157,182,201,309,152,266,231,188,1823,6374,12433,10538,6772,8905,3332,3948,3345,947,56596
Port Macquarie-Hastings (A),16380,221,454,88,217,272,82,21,41,15,1403,290,344,178,509,376,182,30,86,28,2022,878,419,2834,1175,962,638,508,797,97,8307,29,28,38,82,129,102,29,87,4,531,98,53,48,178,197,131,39,91,8,842,23,46,17,23,56,17,3,18,3,212,65,76,93,96,85,81,56,96,59,703,2337,5457,3450,2682,2510,1366,727,1286,265,20071
Port Stephens (A),16400,178,357,142,210,200,60,25,34,23,1232,302,317,226,431,351,113,48,67,30,1892,808,431,3275,1075,880,479,730,677,119,8478,47,17,33,90,112,89,40,75,8,521,79,59,65,127,146,89,53,83,6,705,20,30,17,22,31,19,17,22,6,191,54,67,61,97,77,65,60,100,45,628,2183,3736,3995,2355,2189,1036,1012,1155,270,17930
Queanbeyan-Palerang Regional (A),16490,297,313,120,194,294,65,29,38,21,1370,382,387,221,370,527,136,39,60,44,2161,759,351,2209,639,910,325,359,405,110,6066,35,35,24,59,132,51,16,43,7,395,99,70,30,73,184,50,24,43,11,578,40,44,21,16,44,11,11,10,6,207,55,51,53,50,87,28,30,62,57,479,3651,5228,2929,1970,3217,905,569,792,413,19668
Randwick (C),16550,595,917,295,415,554,296,70,85,39,3268,686,791,363,649,766,317,68,172,45,3852,916,470,3095,858,804,406,352,539,128,7566,46,44,31,75,131,56,20,39,0,445,143,167,93,186,337,173,41,78,19,1236,102,216,72,66,120,66,22,42,19,736,110,203,89,125,143,98,44,74,130,1017,8815,21856,5022,4177,6282,3052,963,1611,827,52600
Richmond Valley (A),16610,36,82,11,60,38,12,8,17,4,275,55,54,31,119,57,17,7,23,3,370,254,116,725,325,262,133,198,358,42,2412,18,4,7,24,22,34,15,52,0,178,21,17,18,51,46,22,13,41,4,233,9,4,0,8,13,3,3,7,0,42,19,12,16,36,13,25,30,49,27,227,548,904,833,696,535,274,280,580,82,4729
Rockdale (C),16650,437,531,348,338,493,271,140,174,36,2778,539,543,497,626,662,416,151,234,58,3728,657,353,2426,748,822,443,517,518,129,6622,55,32,29,71,142,90,27,41,0,491,120,108,99,175,349,133,81,123,14,1206,98,137,64,60,136,69,58,101,11,731,94,119,121,109,136,87,92,156,145,1057,4688,10880,4629,3614,5178,2844,1586,2628,671,36708
Ryde (C),16700,499,720,328,309,553,227,72,115,36,2862,576,622,439,512,637,301,81,144,47,3355,699,434,2199,663,765,425,297,368,90,5942,52,36,33,51,117,59,13,44,10,416,123,128,77,148,338,134,38,75,13,1071,98,198,64,59,148,42,25,35,19,685,74,139,67,79,130,61,33,70,134,802,6784,17713,4472,3150,6304,2775,895,1442,708,44248
Shellharbour (C),16900,169,273,118,259,194,62,26,42,15,1158,256,342,272,635,406,134,69,85,25,2236,686,394,3413,1188,964,537,906,756,124,8972,42,30,31,69,122,79,41,64,0,481,89,47,55,192,208,102,75,90,12,857,27,35,22,40,58,22,19,25,7,259,39,62,79,77,81,74,53,120,55,643,1896,3837,4164,2833,2432,1165,1220,1250,296,19092
Shoalhaven (C),16950,320,484,157,308,228,82,26,71,27,1688,358,411,262,647,378,150,47,116,35,2393,1150,559,4081,1547,1008,703,628,994,150,10820,59,34,45,126,166,126,27,95,0,682,89,75,96,233,238,124,45,119,10,1031,24,53,36,28,68,28,17,31,0,291,92,81,92,128,104,112,74,139,82,913,3022,5714,4992,3554,2657,1503,907,1697,378,24425
Singleton (A),17000,71,99,55,49,64,15,24,16,9,392,82,86,95,116,85,31,50,19,5,574,305,125,1304,346,316,162,710,216,65,3542,14,7,17,43,45,25,32,24,0,221,31,14,17,35,66,24,40,24,5,256,6,13,3,6,16,4,9,8,0,71,24,18,23,31,25,16,40,33,15,228,835,1219,1573,700,727,309,939,363,116,6774
Snowy Monaro Regional (A),17040,105,67,34,76,62,30,9,30,9,425,124,77,50,114,110,50,12,28,12,577,462,106,854,307,256,172,209,275,35,2681,38,10,11,30,38,14,8,34,0,186,47,14,14,35,58,34,15,31,3,250,14,4,7,13,13,14,0,11,0,80,60,16,35,38,42,30,31,39,27,321,1278,1240,1072,772,731,404,303,516,110,6431
Snowy Valleys (A),17080,81,55,19,30,22,11,7,13,3,234,55,43,30,89,58,3,8,27,3,316,227,74,559,180,152,58,195,162,21,1629,12,5,8,15,25,15,13,12,0,106,29,16,9,22,24,15,19,22,3,166,7,0,3,0,5,3,6,4,0,28,40,16,15,23,19,16,35,44,9,210,613,684,669,400,358,133,291,341,44,3540
The Hills Shire (A),17420,1035,1277,383,467,964,344,107,131,69,4782,991,1010,472,728,1118,459,100,154,56,5101,1825,800,4105,969,1410,814,518,618,191,11251,92,69,49,84,231,119,31,37,5,716,316,211,133,204,580,230,73,115,32,1902,139,232,75,63,207,94,28,41,32,908,169,219,99,106,244,112,55,71,137,1215,11207,21226,6470,4014,8632,3629,1236,1612,967,58989
Tweed (A),17550,230,442,150,313,228,100,34,73,15,1577,324,359,242,722,433,205,49,129,35,2497,941,407,3451,1290,968,632,613,948,140,9385,50,22,36,81,72,81,24,98,5,463,102,69,56,211,203,119,59,112,13,948,19,55,35,28,46,37,10,23,3,260,75,89,103,124,92,81,66,136,75,851,2661,5702,4306,3357,2630,1497,916,1694,355,23133
Upper Hunter Shire (A),17620,77,58,26,31,34,4,14,19,8,270,56,41,37,64,49,12,20,30,3,313,242,63,668,136,139,63,309,172,32,1823,18,0,4,6,28,19,13,22,0,117,21,0,20,16,29,26,23,26,0,165,4,5,8,3,3,5,3,8,0,38,47,19,25,13,17,11,27,38,5,204,641,715,825,320,358,162,419,370,56,3865
Upper Lachlan Shire (A),17640,64,38,9,25,20,7,6,3,4,176,53,33,19,50,48,11,3,13,4,225,198,26,269,124,75,40,81,87,8,910,13,3,6,10,15,7,9,6,0,69,31,4,0,12,30,4,6,10,0,103,3,3,0,3,0,0,0,0,0,22,28,10,14,10,9,3,12,15,6,104,559,417,343,269,248,74,107,149,30,2202
Uralla (A),17650,32,36,6,20,35,11,0,4,0,144,29,15,14,30,33,3,0,8,0,138,117,27,222,73,69,41,35,93,15,688,8,0,7,4,11,7,0,15,0,55,16,7,6,18,19,3,3,8,0,81,7,0,0,0,0,4,0,0,0,11,24,11,8,9,7,9,5,8,3,81,332,395,295,198,229,87,56,152,28,1764
Wagga Wagga (C),17750,196,299,96,205,148,41,18,39,9,1066,283,310,148,463,311,92,25,64,21,1717,909,412,2818,1090,955,571,485,620,82,7944,38,25,47,84,128,83,37,72,7,521,88,46,63,144,198,76,46,78,5,745,21,39,28,12,40,15,15,24,4,191,76,72,58,62,69,59,51,85,40,563,2531,5412,3555,2505,2335,1116,718,1138,203,19512
Walcha (A),17850,44,9,0,8,9,7,0,5,0,71,26,7,4,10,13,3,0,4,0,66,87,16,93,29,25,9,30,34,3,325,14,0,0,3,6,5,0,8,0,34,14,0,3,4,14,3,0,8,0,45,3,4,0,0,0,0,0,3,0,8,18,3,0,0,7,5,0,8,4,50,286,142,104,73,75,39,30,71,3,828
Walgett (A),17900,29,17,3,20,15,0,3,3,0,91,37,21,5,32,15,9,3,3,3,134,75,14,93,61,31,12,44,38,5,384,8,0,4,6,8,3,0,13,0,33,9,0,3,3,3,3,5,5,0,39,0,0,0,0,5,0,0,3,0,10,13,13,4,11,7,4,6,19,7,80,245,248,126,181,111,38,71,92,14,1127
Warren (A),17950,25,8,0,13,11,0,0,3,4,64,22,3,4,14,17,0,0,3,0,60,54,6,76,20,12,12,26,22,3,239,0,0,0,4,5,0,0,0,0,13,16,3,7,5,10,0,6,0,0,47,5,0,0,0,0,0,0,0,0,7,13,3,6,3,0,0,5,8,0,41,196,132,99,62,61,19,34,49,11,671
Warrumbungle Shire (A),18020,51,35,7,21,13,6,0,9,3,138,53,26,10,54,25,5,0,11,0,181,177,41,211,96,79,45,72,102,19,828,20,5,10,9,8,9,6,9,0,72,33,5,10,18,15,11,5,9,3,99,13,3,0,5,3,3,0,3,0,26,43,7,9,18,8,8,8,26,15,149,519,442,259,249,173,96,96,175,37,2047
Waverley (A),18050,403,541,127,202,230,161,31,45,21,1768,414,439,241,319,289,214,35,73,48,2063,382,216,1135,343,237,183,83,184,39,2801,32,30,15,28,39,14,4,9,0,169,101,125,34,115,120,79,14,38,13,639,71,151,29,41,66,39,9,30,17,462,87,160,56,71,49,67,18,49,76,620,6092,12963,2162,2173,2782,1834,325,809,505,29646
Weddin (A),18100,23,20,0,3,15,3,0,3,0,78,26,3,3,15,8,0,3,5,0,72,101,15,82,37,31,16,26,39,5,343,10,0,4,4,8,0,0,6,0,33,22,0,0,0,5,0,3,3,0,42,7,0,0,3,0,0,0,0,0,11,20,3,9,5,0,8,0,11,0,46,266,168,104,81,86,26,37,72,7,843
Wentworth (A),18200,30,35,4,19,8,4,5,7,0,107,25,25,16,37,29,10,3,7,0,149,149,33,237,83,66,34,73,82,11,765,12,0,3,4,9,10,3,8,0,53,12,3,3,9,8,8,0,4,0,53,0,0,0,0,3,0,0,3,0,14,20,7,3,11,3,18,11,15,10,91,317,345,281,193,168,89,91,134,18,1633
Western Plains Regional (A),18230,161,212,58,148,111,47,13,33,10,794,218,218,81,391,248,86,21,62,16,1341,751,257,1976,828,760,438,405,522,80,6014,46,18,24,58,108,71,16,65,6,411,80,32,38,104,154,63,32,56,11,557,14,34,25,11,33,16,5,19,0,158,78,62,58,63,54,59,37,75,48,539,1953,3568,2382,1948,1795,932,556,1006,209,14343
Willoughby (C),18250,370,473,141,147,285,177,33,58,28,1713,336,412,203,271,312,196,29,72,23,1847,311,204,703,265,247,181,74,119,33,2132,32,26,17,21,58,31,4,10,3,191,94,91,46,75,144,73,16,21,13,566,75,154,32,26,52,29,11,15,9,408,68,100,30,33,51,27,5,24,63,395,5994,13382,1761,1624,3365,1725,290,617,508,29253
Wingecarribee (A),18350,214,323,100,163,139,86,20,56,12,1115,217,196,139,303,203,102,35,52,16,1256,662,253,1982,485,452,322,371,486,70,5085,29,22,28,41,70,47,24,36,3,296,82,57,55,102,135,67,32,60,7,596,30,37,15,21,36,8,4,12,3,159,57,62,46,58,66,42,34,83,32,489,2202,3861,2580,1510,1536,858,569,881,202,14187
Wollondilly (A),18400,184,285,78,189,174,48,25,28,10,1026,249,243,159,419,336,103,45,59,12,1629,850,309,2882,650,747,375,785,570,119,7286,27,22,21,49,113,53,28,49,3,360,64,47,61,73,181,66,60,59,15,630,29,26,24,13,47,15,9,22,5,191,55,53,84,42,94,51,56,70,44,557,2112,3273,3427,1719,2005,822,1051,904,264,15580
Wollongong (C),18450,586,1054,405,696,641,244,91,139,45,3904,897,1070,791,1539,1155,381,166,231,75,6312,1844,1056,7907,2601,2404,1185,1826,1680,279,20765,85,79,71,193,353,184,83,162,10,1220,215,169,138,405,629,236,127,205,30,2158,65,157,70,64,151,59,43,61,11,688,106,193,188,212,203,167,152,203,169,1589,7219,18990,10379,7447,7645,3259,2706,3129,879,61655
Woollahra (A),18500,343,433,60,107,207,163,9,26,30,1373,263,264,94,159,180,117,5,35,15,1134,287,144,456,160,164,153,32,72,15,1483,24,20,7,13,30,30,5,0,3,127,102,78,27,52,108,69,3,19,9,467,64,121,11,23,49,30,0,13,11,327,88,129,22,38,65,37,5,25,47,446,5335,10971,947,1132,2331,1495,120,303,428,23053
Yass Valley (A),18710,105,81,35,45,83,14,3,14,8,386,117,97,43,100,95,23,3,13,12,503,275,103,570,196,196,66,110,150,27,1690,17,11,6,9,23,3,3,14,0,93,30,11,18,36,49,18,9,19,7,195,8,12,3,4,5,5,0,0,0,42,31,17,21,31,28,16,12,20,17,191,1203,1489,762,567,741,189,152,267,103,5481
Unincorporated NSW,19399,16,3,0,3,3,0,0,0,0,19,13,0,0,4,5,4,3,3,0,26,47,7,37,6,8,6,0,32,8,156,5,0,0,0,4,0,0,0,0,11,5,0,0,3,3,0,0,3,0,19,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,121,33,40,24,25,12,3,53,14,331
No usual address (NSW),19499,14,27,7,18,14,4,10,7,3,100,12,28,19,48,25,14,12,30,6,198,45,38,246,70,38,31,82,93,6,657,4,0,3,8,3,7,7,14,0,46,9,6,5,16,3,13,6,13,0,67,3,8,0,0,3,3,3,5,3,29,3,14,15,16,11,8,9,21,25,117,200,562,348,285,168,119,144,278,58,2162
Migratory - Offshore - Shipping (NSW),19799,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,12,3,3,3,4,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,14,7,11,6,7,8,3,74
Alpine (S),20110,64,52,23,45,31,16,3,14,0,256,65,67,36,90,49,44,6,18,5,390,230,36,509,149,80,60,127,146,19,1367,14,6,8,17,15,9,8,13,0,86,27,0,15,22,28,12,13,13,3,131,5,8,7,3,4,0,5,11,0,39,33,18,14,16,15,16,15,21,7,155,651,756,656,453,303,202,186,291,46,3551
Ararat (RC),20260,69,47,17,61,31,5,4,4,0,243,45,30,22,70,39,18,7,17,6,252,201,54,311,248,70,56,68,141,19,1161,13,4,4,11,5,11,4,10,0,70,17,3,7,39,9,7,7,13,0,106,12,3,5,3,3,3,0,14,3,44,35,9,22,22,8,14,9,30,8,162,539,580,398,523,213,131,107,268,45,2808
Ballarat (C),20570,311,509,163,320,292,115,61,76,27,1874,361,480,297,723,522,231,59,122,42,2841,992,439,3858,1453,1093,758,648,943,115,10300,41,25,53,106,135,126,32,106,3,628,71,46,70,162,129,94,47,75,6,705,23,64,29,30,34,22,10,15,7,237,74,98,112,112,85,106,78,135,74,873,3443,9040,4982,3822,3223,1814,1035,1708,406,29471
Banyule (C),20660,496,801,271,434,551,205,63,99,25,2932,587,716,457,694,703,288,76,141,54,3708,941,479,3729,1155,937,515,415,604,128,8904,40,27,43,89,116,58,16,36,0,425,111,92,84,187,247,101,55,83,11,974,44,122,39,45,83,38,14,22,15,420,92,176,98,113,118,74,35,64,100,873,6292,16570,5639,4140,5305,2235,873,1480,584,43124
Bass Coast (S),20740,95,130,54,74,84,48,5,26,10,533,123,116,93,236,132,78,14,53,4,833,441,111,1318,409,232,218,228,349,53,3368,21,11,22,45,24,26,7,25,0,175,37,20,25,72,47,36,16,38,0,295,20,13,14,10,13,10,0,8,4,93,59,27,54,61,38,57,27,61,41,412,1157,1773,1651,1121,711,565,306,619,136,8047
Baw Baw (S),20830,176,241,78,137,123,41,13,59,8,875,230,244,128,376,249,80,30,85,20,1437,817,193,2229,671,520,317,518,664,70,5998,38,14,28,48,61,38,16,54,4,297,49,16,48,99,57,44,37,42,6,404,19,21,9,14,17,10,9,18,3,113,92,40,62,57,61,52,44,75,42,528,2035,3270,2706,1701,1387,669,681,1111,186,13753
Bayside (C),20910,598,839,185,252,412,231,25,53,35,2627,613,574,221,376,499,259,32,57,28,2665,755,295,1505,507,461,367,121,252,61,4314,42,18,13,55,68,40,4,15,0,272,129,109,36,111,182,96,16,32,12,732,88,137,27,24,56,35,3,9,12,397,100,141,54,61,103,72,11,18,85,649,8386,14299,2554,2331,3862,2201,299,624,502,35070
Benalla (RC),21010,64,66,24,50,29,19,5,15,7,267,77,64,41,93,57,13,6,24,0,383,229,55,548,197,138,93,111,141,22,1530,8,3,14,19,21,17,4,21,0,99,17,9,22,25,13,17,12,15,0,129,0,9,3,7,5,7,3,0,0,39,22,16,28,22,17,13,28,31,12,195,599,801,691,473,350,191,177,265,52,3603
Boroondara (C),21110,805,1081,287,375,609,350,41,96,38,3683,720,728,359,563,768,424,50,141,44,3791,935,455,1722,682,635,508,120,269,86,5405,65,36,27,67,84,60,6,25,4,365,162,132,63,153,242,121,26,37,17,946,158,280,44,51,96,55,7,25,25,741,146,263,56,80,137,79,9,51,125,943,12944,30335,3773,3967,7440,3799,505,1304,949,65012
Brimbank (C),21180,424,518,496,479,599,271,294,287,54,3424,602,642,802,1135,944,481,444,513,77,5639,957,474,4762,1730,1266,788,1546,1578,212,13313,64,31,59,148,153,111,102,127,18,816,103,69,132,342,270,182,189,209,43,1551,62,102,98,84,111,49,97,80,14,704,116,182,248,230,205,166,254,348,239,1988,4444,10465,7773,5772,6423,3324,3794,4268,929,47198
Buloke (S),21270,35,30,4,21,12,10,3,3,0,119,25,14,3,20,9,7,0,3,0,87,194,28,153,55,34,44,50,77,7,649,10,0,3,3,15,0,4,0,0,43,12,3,3,13,3,5,0,0,0,40,3,3,0,0,0,0,0,3,0,11,17,7,8,10,8,3,10,10,3,86,382,317,185,146,113,76,69,104,11,1421
Campaspe (S),21370,163,158,43,95,67,31,21,30,3,607,170,154,67,265,122,45,18,47,6,901,721,116,1451,533,304,285,364,577,55,4401,21,13,20,38,42,34,15,54,0,242,45,12,36,61,34,42,18,44,3,308,21,6,18,11,10,5,3,17,3,86,100,48,51,64,32,44,46,105,47,537,1626,1963,1762,1237,771,546,493,928,133,9465
Cardinia (S),21450,329,369,240,295,358,155,84,100,19,1950,476,548,395,849,602,292,129,179,32,3495,1322,474,5003,1286,1239,793,1058,1149,159,12483,46,25,51,106,133,94,41,91,7,605,99,67,81,183,172,117,83,81,21,905,29,66,27,23,47,20,24,38,3,287,102,78,160,124,114,91,97,122,82,969,3434,5933,6293,3506,3509,1934,1661,1995,392,28669
Casey (C),21610,988,1244,972,886,1119,473,464,465,71,6681,1427,1463,1377,2598,1908,874,654,675,117,11092,2706,1169,11576,3650,3048,1863,2816,2956,437,30215,125,86,144,266,391,254,153,207,13,1643,276,126,264,598,534,314,296,301,35,2742,130,214,143,116,194,103,134,109,31,1164,221,294,401,362,392,266,319,428,334,3009,9689,18838,16548,11141,11576,5871,5871,6341,1388,87260
Central Goldfields (S),21670,21,43,16,27,14,10,4,3,0,153,27,33,21,79,31,14,3,11,3,225,154,32,455,176,88,79,93,166,21,1273,6,0,5,13,10,11,8,16,0,70,9,5,7,30,17,4,5,13,0,88,4,4,3,3,0,3,3,3,0,23,23,16,26,16,9,24,9,41,11,171,330,454,555,403,198,158,123,266,38,2528
Colac-Otway (S),21750,115,107,35,111,59,23,5,20,0,479,98,63,32,130,80,30,15,46,5,498,373,83,779,362,162,126,221,391,34,2531,11,3,11,18,26,20,7,47,0,152,23,18,18,56,29,24,18,41,0,230,8,8,3,10,11,3,3,9,3,62,61,21,39,41,16,23,28,73,29,344,952,1075,969,835,486,299,311,701,93,5726
Corangamite (S),21830,123,63,13,45,22,9,9,24,6,312,86,40,28,80,43,13,7,24,8,336,454,48,518,185,94,81,141,238,22,1791,17,4,5,15,8,12,4,28,0,90,39,6,3,32,16,13,9,26,0,142,10,9,0,0,0,0,3,4,0,31,75,12,24,29,13,6,23,51,16,253,1029,762,641,443,255,166,199,434,60,4001
