lga_name_2016,lga_code_2016,p_advdi_di_advdi_asde_mng,p_advdi_di_advdi_asde_pro,p_advdi_di_advdi_asde_ttw,p_advdi_di_advdi_asde_cps,p_advdi_di_advdi_asde_ca,p_advdi_di_advdi_asde_sal,p_advdi_di_advdi_asde_mod,p_advdi_di_advdi_asde_lab,p_advdi_di_advdi_asde_idns,p_advdi_di_advdi_asde_tot,p_advdi_di_dip_mng,p_advdi_di_dip_pro,p_advdi_di_dip_ttw,p_advdi_di_dip_cps,p_advdi_di_dip_ca,p_advdi_di_dip_sal,p_advdi_di_dip_mod,p_advdi_di_dip_lab,p_advdi_di_dip_idns,p_advdi_di_dip_tot,p_cert_certiii_iv_mng,p_cert_certiii_iv_pro,p_cert_certiii_iv_ttw,p_cert_certiii_iv_cps,p_cert_certiii_iv_ca,p_cert_certiii_iv_sal,p_cert_certiii_iv_mod,p_cert_certiii_iv_lab,p_cert_certiii_iv_idns,p_cert_certiii_iv_tot,p_cert_certi_ii_mng,p_cert_certi_ii_pro,p_cert_certi_ii_ttw,p_cert_certi_ii_cps,p_cert_certi_ii_ca,p_cert_certi_ii_sal,p_cert_certi_ii_mod,p_cert_certi_ii_lab,p_cert_certi_ii_idns,p_cert_certi_ii_tot,p_cert_cert_nfd_mng,p_cert_cert_nfd_pro,p_cert_cert_nfd_ttw,p_cert_cert_nfd_cps,p_cert_cert_nfd_ca,p_cert_cert_nfd_sal,p_cert_cert_nfd_mod,p_cert_cert_nfd_lab,p_cert_cert_nfd_idns,p_cert_cert_nfd_tot,p_le_id_mng,p_le_id_pro,p_le_id_ttw,p_le_id_cps,p_le_id_ca,p_le_id_sal,p_le_id_mod,p_le_id_lab,p_le_id_idns,p_le_id_tot,p_le_ns_mng,p_le_ns_pro,p_le_ns_ttw,p_le_ns_cps,p_le_ns_ca,p_le_ns_sal,p_le_ns_mod,p_le_ns_lab,p_le_ns_idns,p_le_ns_tot,p_tot_mng,p_tot_pro,p_tot_ttw,p_tot_cps,p_tot_ca,p_tot_sal,p_tot_mod,p_tot_lab,p_tot_idns,p_tot_tot
No usual address (Tas.),69499,0,4,0,0,0,0,3,0,0,7,0,4,4,4,5,0,0,0,0,15,4,0,20,11,3,0,4,9,0,49,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,7,7,45,31,22,13,4,5,23,3,149
Wagait (S),74560,0,5,3,0,0,0,0,0,0,10,4,3,3,0,3,0,0,0,0,18,7,4,20,3,3,3,3,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,0,0,0,0,15,26,52,25,15,20,6,5,11,0,161
West Arnhem (R),74660,10,18,4,7,4,0,0,0,0,49,6,13,3,21,17,0,0,3,0,69,32,39,97,34,31,9,21,18,4,297,0,0,3,6,6,0,3,10,3,37,4,18,3,12,4,4,3,0,7,53,0,6,0,6,0,0,0,3,4,13,8,12,0,10,7,7,9,16,21,87,97,259,129,117,88,32,40,59,42,849
Upper Gascoyne (S),58470,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,3,3,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,13,3,6,9,0,0,0,9,0,41
Victoria Park (T),58510,107,219,129,100,109,41,30,41,11,785,164,192,213,225,212,98,55,96,21,1272,245,144,1061,281,244,174,150,188,23,2505,17,14,14,35,34,33,9,20,3,175,36,35,38,43,64,23,14,20,4,277,26,43,29,16,20,6,10,8,4,169,17,43,34,41,20,20,10,33,35,254,1622,4681,1895,1286,1393,687,388,751,162,12869
Migratory - Offshore - Shipping (Tas.),69799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,0,0,0,6,0,30
West Daly (R),74680,0,3,0,0,0,0,0,0,0,10,7,3,0,7,0,0,0,0,0,10,8,11,6,14,6,6,7,12,0,62,3,5,3,14,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,3,8,3,0,0,0,11,33,24,95,15,52,21,11,9,14,10,248
Unincorporated NT,79399,35,33,19,32,13,0,3,7,0,140,39,40,32,57,37,7,14,12,3,241,101,56,361,115,89,18,105,79,12,943,11,7,10,16,15,12,0,10,0,70,13,8,8,15,17,6,10,8,0,97,0,4,0,0,0,0,5,4,0,12,19,9,13,14,8,7,6,29,3,109,378,609,475,363,273,79,149,175,32,2543
No usual address (NT),79499,0,3,3,3,0,0,0,6,0,19,3,3,3,7,3,3,5,5,0,37,7,12,52,12,5,3,17,25,0,136,0,0,10,3,0,0,0,0,0,13,0,0,9,7,0,3,0,3,0,22,0,3,3,3,0,0,0,0,0,7,0,3,0,0,0,0,0,7,0,16,28,102,85,54,22,12,31,54,4,387
Victoria Plains (S),58540,10,0,0,0,0,3,0,0,0,18,7,0,3,0,3,0,3,3,0,21,22,0,22,5,4,0,9,13,0,79,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,9,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,4,3,0,18,79,19,29,12,22,4,23,19,0,215
