lga_name_2016,lga_code_2016,m_lplfs_eft_dc_0_4,m_lplfs_eft_dc_5_9,m_lplfs_eft_dc_10_12,m_lplfs_eft_dc_13_14,m_lplfs_eft_dc_15_17,m_lplfs_eft_dc_18_20,m_lplfs_eft_dc_21_24,m_lplfs_eft_t,m_lplfs_ept_dc_0_4,m_lplfs_ept_dc_5_9,m_lplfs_ept_dc_10_12,m_lplfs_ept_dc_13_14,m_lplfs_ept_dc_15_17,m_lplfs_ept_dc_18_20,m_lplfs_ept_dc_21_24,m_lplfs_ept_t,m_lplfs_eaw_dc_0_4,m_lplfs_eaw_dc_5_9,m_lplfs_eaw_dc_10_12,m_lplfs_eaw_dc_13_14,m_lplfs_eaw_dc_15_17,m_lplfs_eaw_dc_18_20,m_lplfs_eaw_dc_21_24,m_lplfs_eaw_t,m_lplfs_hns_dc_0_4,m_lplfs_hns_dc_5_9,m_lplfs_hns_dc_10_12,m_lplfs_hns_dc_13_14,m_lplfs_hns_dc_15_17,m_lplfs_hns_dc_18_20,m_lplfs_hns_dc_21_24,m_lplfs_hns_t,m_lplfs_ew_t_dc_0_4,m_lplfs_ew_t_dc_5_9,m_lplfs_ew_t_dc_10_12,m_lplfs_ew_t_dc_13_14,m_lplfs_ew_t_dc_15_17,m_lplfs_ew_t_dc_18_20,m_lplfs_ew_t_dc_21_24,m_lplfs_ew_t_t,m_lplfs_ulftw_dc_0_4,m_lplfs_ulftw_dc_5_9,m_lplfs_ulftw_dc_10_12,m_lplfs_ulftw_dc_13_14,m_lplfs_ulftw_dc_15_17,m_lplfs_ulftw_dc_18_20,m_lplfs_ulftw_dc_21_24,m_lplfs_ulftw_t,m_lplfs_ulptw_dc_0_4,m_lplfs_ulptw_dc_5_9,m_lplfs_ulptw_dc_10_12,m_lplfs_ulptw_dc_13_14,m_lplfs_ulptw_dc_15_17,m_lplfs_ulptw_dc_18_20,m_lplfs_ulptw_dc_21_24,m_lplfs_ulptw_t,m_lplfs_u_t_dc_0_4,m_lplfs_u_t_dc_5_9,m_lplfs_u_t_dc_10_12,m_lplfs_u_t_dc_13_14,m_lplfs_u_t_dc_15_17,m_lplfs_u_t_dc_18_20,m_lplfs_u_t_dc_21_24,m_lplfs_u_t_t,m_lplfs_t_lf_dc_0_4,m_lplfs_t_lf_dc_5_9,m_lplfs_t_lf_dc_10_12,m_lplfs_t_lf_dc_13_14,m_lplfs_t_lf_dc_15_17,m_lplfs_t_lf_dc_18_20,m_lplfs_t_lf_dc_21_24,m_lplfs_t_lf_t,m_lplfs_nlf_dc_0_4,m_lplfs_nlf_dc_5_9,m_lplfs_nlf_dc_10_12,m_lplfs_nlf_dc_13_14,m_lplfs_nlf_dc_15_17,m_lplfs_nlf_dc_18_20,m_lplfs_nlf_dc_21_24,m_lplfs_nlf_t,m_lplfs_lfsns_dc_0_4,m_lplfs_lfsns_dc_5_9,m_lplfs_lfsns_dc_10_12,m_lplfs_lfsns_dc_13_14,m_lplfs_lfsns_dc_15_17,m_lplfs_lfsns_dc_18_20,m_lplfs_lfsns_dc_21_24,m_lplfs_lfsns_t,m_lplfs_t_dc_0_4,m_lplfs_t_dc_5_9,m_lplfs_t_dc_10_12,m_lplfs_t_dc_13_14,m_lplfs_t_dc_15_17,m_lplfs_t_dc_18_20,m_lplfs_t_dc_21_24,m_lplfs_t_t,f_lplfs_eft_dc_0_4,f_lplfs_eft_dc_5_9,f_lplfs_eft_dc_10_12,f_lplfs_eft_dc_13_14,f_lplfs_eft_dc_15_17,f_lplfs_eft_dc_18_20,f_lplfs_eft_dc_21_24,f_lplfs_eft_t,f_lplfs_ept_dc_0_4,f_lplfs_ept_dc_5_9,f_lplfs_ept_dc_10_12,f_lplfs_ept_dc_13_14,f_lplfs_ept_dc_15_17,f_lplfs_ept_dc_18_20,f_lplfs_ept_dc_21_24,f_lplfs_ept_t,f_lplfs_eaw_dc_0_4,f_lplfs_eaw_dc_5_9,f_lplfs_eaw_dc_10_12,f_lplfs_eaw_dc_13_14,f_lplfs_eaw_dc_15_17,f_lplfs_eaw_dc_18_20,f_lplfs_eaw_dc_21_24,f_lplfs_eaw_t,f_lplfs_hns_dc_0_4,f_lplfs_hns_dc_5_9,f_lplfs_hns_dc_10_12,f_lplfs_hns_dc_13_14,f_lplfs_hns_dc_15_17,f_lplfs_hns_dc_18_20,f_lplfs_hns_dc_21_24,f_lplfs_hns_t,f_lplfs_ew_t_dc_0_4,f_lplfs_ew_t_dc_5_9,f_lplfs_ew_t_dc_10_12,f_lplfs_ew_t_dc_13_14,f_lplfs_ew_t_dc_15_17,f_lplfs_ew_t_dc_18_20,f_lplfs_ew_t_dc_21_24,f_lplfs_ew_t_t,f_lplfs_ulftw_dc_0_4,f_lplfs_ulftw_dc_5_9,f_lplfs_ulftw_dc_10_12,f_lplfs_ulftw_dc_13_14,f_lplfs_ulftw_dc_15_17,f_lplfs_ulftw_dc_18_20,f_lplfs_ulftw_dc_21_24,f_lplfs_ulftw_t,f_lplfs_ulptw_dc_0_4,f_lplfs_ulptw_dc_5_9,f_lplfs_ulptw_dc_10_12,f_lplfs_ulptw_dc_13_14,f_lplfs_ulptw_dc_15_17,f_lplfs_ulptw_dc_18_20,f_lplfs_ulptw_dc_21_24,f_lplfs_ulptw_t,f_lplfs_u_t_dc_0_4,f_lplfs_u_t_dc_5_9,f_lplfs_u_t_dc_10_12,f_lplfs_u_t_dc_13_14,f_lplfs_u_t_dc_15_17,f_lplfs_u_t_dc_18_20,f_lplfs_u_t_dc_21_24,f_lplfs_u_t_t,f_lplfs_t_lf_dc_0_4,f_lplfs_t_lf_dc_5_9,f_lplfs_t_lf_dc_10_12,f_lplfs_t_lf_dc_13_14,f_lplfs_t_lf_dc_15_17,f_lplfs_t_lf_dc_18_20,f_lplfs_t_lf_dc_21_24,f_lplfs_t_lf_t,f_lplfs_nlf_dc_0_4,f_lplfs_nlf_dc_5_9,f_lplfs_nlf_dc_10_12,f_lplfs_nlf_dc_13_14,f_lplfs_nlf_dc_15_17,f_lplfs_nlf_dc_18_20,f_lplfs_nlf_dc_21_24,f_lplfs_nlf_t,f_lplfs_lfsns_dc_0_4,f_lplfs_lfsns_dc_5_9,f_lplfs_lfsns_dc_10_12,f_lplfs_lfsns_dc_13_14,f_lplfs_lfsns_dc_15_17,f_lplfs_lfsns_dc_18_20,f_lplfs_lfsns_dc_21_24,f_lplfs_lfsns_t,f_lplfs_t_dc_0_4,f_lplfs_t_dc_5_9,f_lplfs_t_dc_10_12,f_lplfs_t_dc_13_14,f_lplfs_t_dc_15_17,f_lplfs_t_dc_18_20,f_lplfs_t_dc_21_24,f_lplfs_t_t,t_lplfs_eft_dc_0_4,t_lplfs_eft_dc_5_9,t_lplfs_eft_dc_10_12,t_lplfs_eft_dc_13_14,t_lplfs_eft_dc_15_17,t_lplfs_eft_dc_18_20,t_lplfs_eft_dc_21_24,t_lplfs_eft_t
Halls Creek (S),53920,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,4,3,0,0,15,4,0,0,0,0,0,0,7,4,3,3,0,0,0,0,12,10,8,10,5,3,0,0,33,10,12,13,3,0,0,0,40,7,5,6,5,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,22,21,11,6,0,0,79,0,0,0,4,0,0,0,5,0,5,0,0,0,0,0,3,0,5,4,4,0,0,0,10,18,30,25,15,5,0,0,94,47,56,36,25,9,0,0,180,0,3,0,0,0,0,0,3,62,85,64,45,15,0,0,273,10,12,13,6,0,0,0,43
Harvey (S),53990,3,18,20,11,23,0,0,77,0,4,10,6,4,0,0,24,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,7,21,29,22,27,0,0,108,0,5,3,0,0,0,0,12,0,4,0,0,0,0,0,9,0,6,7,0,0,0,0,15,7,32,36,19,27,0,0,123,0,4,6,3,3,0,0,16,0,0,0,0,0,0,0,0,7,31,40,22,34,0,0,142,3,32,32,23,48,5,0,137,39,111,89,53,64,8,0,367,3,6,8,3,0,0,0,20,0,0,3,0,0,0,0,7,54,152,128,78,110,13,3,536,4,7,3,12,8,0,0,32,3,18,13,5,5,0,0,36,9,28,17,10,8,0,0,74,61,179,142,95,122,10,3,609,146,103,37,27,19,6,3,337,0,0,3,0,0,0,0,4,203,275,181,117,145,20,4,947,7,48,44,39,68,3,0,212
Irwin (S),54060,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,5,0,11,7,0,0,21,6,13,6,7,11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,11,14,11,0,0,54,0,6,0,0,0,0,0,5,0,7,7,3,0,0,0,16,0,7,6,3,0,0,0,21,3,21,18,13,11,0,0,75,16,22,4,4,0,0,0,55,0,0,0,0,0,0,0,0,24,48,24,15,20,0,0,133,0,5,0,11,6,0,0,22
Goomalling (S),53710,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,7,0,0,4,0,3,0,0,3,0,3,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,4,3,0,0,0,7,0,3,9,3,7,0,0,21,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,9,3,7,0,0,27,0,3,3,0,3,0,0,11
Gosnells (C),53780,40,60,51,54,70,26,21,329,6,20,13,8,11,11,4,67,0,3,3,0,3,0,0,10,0,0,0,0,4,0,0,9,53,84,68,60,89,36,24,414,5,12,6,8,11,4,0,50,3,8,7,3,0,0,0,22,9,18,11,11,13,3,0,75,62,104,87,71,102,42,31,492,17,42,24,18,23,9,3,135,6,3,0,0,0,0,0,6,85,143,110,91,128,46,33,635,98,190,172,124,226,95,44,951,158,341,234,145,224,69,32,1209,10,11,8,13,7,3,3,57,9,11,3,3,9,3,0,36,281,551,422,286,474,172,85,2258,32,60,35,27,21,6,3,188,56,98,50,25,33,5,0,272,85,162,85,56,54,13,6,463,364,711,509,337,529,187,87,2719,636,594,281,169,182,68,43,1977,16,18,8,4,3,0,0,46,1017,1323,792,514,719,252,134,4747,141,250,227,175,296,119,67,1278
Kalamunda (S),54200,14,37,35,25,60,15,13,205,4,10,3,11,8,4,0,32,0,0,0,0,0,0,0,8,5,0,0,0,4,0,0,5,21,48,36,35,69,17,19,248,10,8,3,4,3,3,0,25,0,0,3,0,0,0,0,3,10,8,4,4,3,3,0,24,26,52,40,39,72,23,20,270,7,11,12,7,4,3,0,47,0,0,0,0,0,0,0,9,38,65,57,47,76,23,19,332,32,104,77,72,153,44,27,499,62,193,118,73,108,41,15,605,0,0,3,6,9,0,3,29,0,0,0,3,0,0,0,7,97,301,199,152,269,87,43,1148,3,17,15,9,12,3,0,58,7,40,23,12,10,4,0,83,5,53,33,20,23,5,3,145,102,349,232,175,291,92,45,1289,210,185,98,71,60,7,9,641,0,4,3,0,4,0,0,10,317,537,330,244,359,97,61,1942,45,139,111,95,219,63,36,703
Katanning (S),54340,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,3,3,0,3,4,0,0,11,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,6,6,4,0,0,20,0,11,9,0,8,0,0,28,7,15,7,3,4,0,0,35,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,6,26,14,11,11,3,0,70,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,30,14,9,11,3,3,75,28,39,16,12,11,0,0,99,0,3,3,0,0,0,0,14,37,67,37,22,22,3,3,185,0,10,9,4,12,0,0,35
Kellerberrin (S),54410,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,3,4,0,0,0,0,6,3,4,3,4,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,5,4,9,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,4,9,0,0,32,3,11,3,3,0,0,0,16,0,0,0,0,0,0,0,0,8,19,13,5,9,0,0,54,0,3,4,0,0,0,0,10
Kent (S),54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,7,0,0,0,0,0,0,0,3
Kojonup (S),54550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,13,3,6,0,3,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,3,3,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,7,17,3,3,0,0,0,27,16,26,7,0,0,0,0,52,0,0,0,0,0,0,0,4,20,39,11,4,4,0,0,78,3,10,4,0,0,0,0,9
Kondinin (S),54620,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,8,7,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,4,3,0,0,0,0,7,4,8,10,0,0,0,0,18,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,8,10,0,0,0,0,26,0,0,4,0,0,0,0,4
Koorda (S),54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,3
Kulin (S),54760,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3
Kwinana (C),54830,12,32,20,19,22,16,4,125,4,5,3,0,7,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,16,37,27,21,27,16,4,150,6,15,3,0,7,0,0,27,0,3,5,0,0,0,0,4,6,18,8,0,7,0,0,36,19,57,33,23,29,18,4,187,22,16,9,8,10,6,0,60,0,0,0,0,0,0,0,3,44,67,41,35,38,22,9,252,45,85,61,34,62,30,18,335,78,153,69,40,56,21,10,433,4,3,0,4,5,0,0,23,3,3,0,3,3,0,4,11,132,240,135,83,130,54,28,806,17,42,34,14,24,6,3,136,31,44,25,17,10,0,0,134,50,85,53,31,40,10,3,270,179,325,189,113,169,59,36,1075,326,273,117,66,69,23,8,879,3,11,7,5,0,0,0,21,509,607,312,183,239,82,45,1973,59,114,80,58,85,42,22,462
Lake Grace (S),54900,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,5,0,0,0,0,10,5,4,0,0,0,0,0,6,3,0,0,0,0,0,0,3,3,7,4,0,0,0,0,21,0,3,5,3,0,0,0,9
Leonora (S),55040,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,3,0,0,0,0,0,10,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,3,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,5,3,0,0,0,21,10,10,0,0,0,0,0,19,0,0,0,0,0,0,0,3,21,14,5,3,0,0,0,45,8,5,3,0,0,0,0,15
Laverton (S),54970,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,16,12,3,4,0,0,0,36,0,0,0,0,0,0,0,0,18,17,7,3,0,0,0,46,0,3,3,0,0,0,0,7
Mandurah (C),55110,18,38,47,26,48,6,6,183,7,7,15,3,6,4,0,45,3,5,0,3,0,0,3,12,3,0,7,4,3,0,0,9,26,55,63,35,53,12,6,258,3,10,3,11,14,0,3,40,6,3,3,7,0,0,0,15,10,14,11,15,13,0,3,56,40,70,74,46,66,12,12,311,21,30,17,17,21,0,0,113,3,0,0,0,0,0,0,3,64,101,93,64,90,13,13,430,49,141,134,109,147,42,24,642,134,275,194,142,190,35,11,981,9,9,10,11,12,0,3,57,8,9,0,0,3,3,0,24,195,438,334,259,353,80,35,1702,17,40,22,18,27,3,0,138,54,79,46,27,23,0,0,225,71,120,70,51,56,4,3,367,271,558,405,306,407,88,40,2069,572,496,249,139,152,17,5,1634,7,0,6,3,0,0,0,19,852,1055,659,445,558,102,50,3720,63,184,172,128,198,46,30,823
Manjimup (S),55180,0,8,7,5,6,0,0,26,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,9,6,0,0,30,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,13,9,13,0,0,36,0,6,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,13,12,9,14,0,0,48,0,11,13,19,16,3,0,65,13,35,26,16,19,0,0,109,4,3,3,0,0,0,0,10,4,0,0,0,0,0,0,3,20,48,46,37,37,3,0,190,0,3,3,3,0,0,0,7,3,3,3,0,0,0,0,10,3,4,9,8,0,0,0,23,17,50,56,44,36,3,0,207,52,32,16,5,13,3,0,113,0,0,4,0,0,0,0,5,70,80,69,49,50,6,0,329,0,15,20,22,21,3,0,87
Meekatharra (S),55250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,3,3,0,0,0,0,0,8,0,9,4,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,8,0,3,0,0,31,11,7,3,4,0,0,0,29,0,6,3,3,0,0,0,9,17,24,18,4,3,0,0,65,3,3,0,0,0,0,0,8
Melville (C),55320,13,42,56,44,69,32,20,272,8,10,14,15,13,7,0,69,4,0,3,0,0,0,0,8,0,3,3,0,0,0,0,9,19,63,69,56,89,40,19,358,0,0,9,0,4,0,0,19,0,0,0,0,0,0,3,10,0,7,7,0,5,0,3,23,20,67,74,59,99,42,23,382,0,16,12,12,10,4,6,61,0,0,0,0,0,0,0,3,23,76,92,70,107,45,23,444,63,127,130,130,192,114,71,835,81,219,180,141,173,71,44,913,7,10,6,7,6,8,4,38,3,4,3,7,4,4,0,28,160,355,326,283,375,196,120,1815,8,7,5,6,17,9,4,57,12,40,24,14,11,4,3,111,20,41,36,22,30,14,5,170,178,402,357,305,401,212,132,1985,160,207,85,78,120,59,32,734,3,0,3,5,0,0,0,17,345,606,447,389,521,271,159,2736,72,168,184,177,267,147,92,1110
Mukinbudin (S),55950,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3
Tasman (M),65210,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,3,3,0,0,0,9,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,16,0,0,3,0,0,0,0,8,3,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,3,3,0,0,24,9,12,11,4,0,0,0,33,0,0,0,0,0,0,0,0,16,17,9,8,5,0,0,54,0,3,3,0,0,0,0,8
Menzies (S),55390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,16,0,0,0,0,0,0,0,0
Merredin (S),55460,0,0,0,0,4,0,0,6,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,6,4,4,0,0,21,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,6,4,4,0,0,22,3,3,0,5,0,0,0,13,3,12,4,7,13,0,0,40,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,9,17,9,13,11,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,18,9,13,18,0,0,66,23,23,10,3,4,0,0,62,3,0,0,0,3,0,0,5,31,43,14,20,22,0,0,136,3,4,0,5,3,0,0,23
