LGA_MAIN11,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
54480,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,11,7,15,82,85,76,76,31,10,0,382,Kent (S)
54550,0,0,3,3,6,10,23,45,16,106,0,0,0,0,0,0,0,0,0,0,12,7,8,6,18,14,11,11,6,93,52,98,217,253,313,258,173,126,38,1528,Kojonup (S)
54970,3,6,6,6,8,17,10,0,0,56,0,0,0,0,4,0,0,0,0,4,7,15,22,38,28,18,6,0,0,134,40,130,230,247,214,140,53,9,0,1063,Laverton (S)
55040,3,4,6,3,10,17,0,0,0,43,0,0,0,3,3,0,3,0,0,9,31,80,196,121,107,39,15,6,0,595,70,258,642,444,396,204,49,12,7,2082,Leonora (S)
55110,16,20,69,106,173,432,917,837,281,2851,4,4,11,15,24,15,19,16,17,125,292,279,582,686,666,737,883,917,448,5490,2796,3832,7253,8539,9072,9097,7910,4805,1552,54856,Mandurah (C)
55180,0,3,11,13,34,65,152,144,60,482,0,0,0,7,3,7,7,10,7,41,24,22,44,72,96,85,89,74,23,529,275,399,806,1209,1469,1301,845,452,155,6911,Manjimup (S)
55250,6,0,19,13,5,26,16,6,0,91,0,0,0,0,0,0,0,0,3,3,8,29,66,46,43,34,14,6,0,246,38,114,283,197,225,160,59,21,6,1103,Meekatharra (S)
55320,6,22,36,81,115,312,561,809,405,2347,6,4,14,20,38,41,40,47,35,245,247,330,552,626,616,630,554,775,599,4929,3800,7261,10605,12529,14107,12467,7364,5480,2539,76152,Melville (C)
56520,0,3,11,10,16,32,59,56,52,239,0,0,0,0,0,7,6,3,3,19,21,14,26,36,29,43,35,55,26,285,132,238,433,558,544,485,310,231,111,3042,Narrogin (T)
56580,0,3,10,3,11,15,43,69,59,213,3,0,3,0,3,3,3,6,3,24,47,69,85,114,129,116,96,94,130,880,834,1664,1678,2383,3165,2722,1672,978,614,15710,Nedlands (C)
