LGA_MAIN11,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
48830,822,646,349,114,3889,Yorke Peninsula (DC)
53150,695,322,177,84,3821,East Fremantle (T)
48260,723,446,318,136,3819,Walkerville (M)
50210,3815,1977,1039,277,25467,Armadale (C)
50250,462,64,9,0,5393,Ashburton (S)
51680,300,201,47,9,1684,Chittering (S)
51750,889,681,391,218,5433,Claremont (T)
51820,4703,2270,1150,367,39364,Cockburn (C)
51890,579,286,159,68,3626,Collie (S)
52100,68,38,24,9,351,Corrigin (S)
52170,864,476,225,128,4640,Cottesloe (T)
52380,34,15,3,0,109,Cue (S)
52660,621,340,229,122,4957,Dardanup (S)
52730,517,388,150,37,2503,Denmark (S)
52800,343,99,28,6,3804,Derby-West Kimberley (S)
52870,490,273,90,28,2196,Donnybrook-Balingup (S)
52940,49,19,12,4,209,Dowerin (S)
53010,30,20,7,0,198,Dumbleyung (S)
54280,1364,476,179,61,13134,Kalgoorlie/Boulder (C)
55040,103,25,9,3,1360,Leonora (S)
55110,4562,3789,2329,763,29103,Mandurah (C)
55180,608,361,148,48,3269,Manjimup (S)
55250,77,22,9,0,625,Meekatharra (S)
55320,8188,4348,2886,1282,49501,Melville (C)
53710,59,26,15,5,307,Goomalling (S)
56620,59,15,0,0,319,Ngaanyatjarraku (S)
53780,5573,3013,1465,454,43758,Gosnells (C)
54130,42,30,12,3,346,Jerramungup (S)
54170,12353,5168,2397,859,72075,Joondalup (C)
54200,4020,2428,1184,399,23384,Kalamunda (S)
54340,210,110,63,27,1388,Katanning (S)
54690,13,9,12,0,105,Koorda (S)
54830,1237,719,389,105,11615,Kwinana (T)
54900,77,28,15,6,455,Lake Grace (S)
54970,75,28,3,0,581,Laverton (S)
56520,233,134,92,35,1505,Narrogin (T)
55390,18,6,0,0,88,Menzies (S)
55530,33,18,8,0,152,Mingenew (S)
55600,147,60,32,14,847,Moora (S)
55670,41,20,21,0,305,Morawa (S)
56930,173,91,58,28,821,Peppermint Grove (S)
55740,763,480,238,118,4789,Mosman Park (T)
55810,32,25,3,0,268,Mount Magnet (S)
55880,20,9,0,3,154,Mount Marshall (S)
57210,392,227,86,39,1876,Plantagenet (S)
57280,761,134,36,5,7824,Port Hedland (T)
57350,64,47,30,7,341,Quairading (S)
55950,17,14,6,0,149,Mukinbudin (S)
56160,8,3,0,0,33,Murchison (S)
63810,732,432,233,83,3861,Latrobe (M)
64010,3927,2379,1484,585,26140,Launceston (C)
64210,1354,709,447,163,7298,Meander Valley (M)
64610,850,562,277,75,4562,Northern Midlands (M)
64810,891,517,257,86,5415,Sorell (M)
65010,404,233,79,16,2044,Southern Midlands (M)
65210,265,175,78,24,1051,Tasman (M)
65410,924,587,322,95,5226,Waratah/Wynyard (M)
65610,258,195,66,13,1683,West Coast (M)
65810,1814,1091,560,213,9551,West Tamar (M)
69399,14,6,0,0,82,
69499,94,43,10,0,543,
56370,34,15,21,22,239,Narembeen (S)
70200,1727,561,177,64,12037,Alice Springs (T)
56730,747,419,206,75,3964,Northam (S)
57000,51,19,17,4,393,Perenjori (S)
57080,1264,609,220,68,11941,Perth (C)
57630,9,9,0,0,41,Sandstone (S)
58330,487,244,68,16,1870,Toodyay (S)
72800,1058,361,134,44,11559,Palmerston (C)
58400,16,19,3,3,109,Trayning (S)
58470,18,9,0,0,66,Upper Gascoyne (S)
58540,43,22,12,6,310,Victoria Plains (S)
74560,59,19,0,3,204,Wagait (S)
74660,162,43,9,7,1538,West Arnhem (S)
79399,492,102,15,0,4415,Unincorporated NT
58570,1846,749,457,230,18693,Vincent (T)
59030,9,9,3,0,99,Westonia (S)
59100,37,16,8,6,231,Wickepin (S)
59170,42,29,12,4,311,Williams (S)
59310,76,28,18,9,484,Wongan-Ballidu (S)
59360,82,32,17,3,647,Yilgarn (S)
59370,334,197,88,15,1362,York (S)
59399,24,9,6,0,300,
59499,765,318,53,9,4303,
60210,591,365,178,65,2448,Break O'Day (M)
60410,765,379,139,51,4988,Brighton (M)
60610,1088,760,451,217,7384,Burnie (C)
60810,1518,936,540,176,8560,Central Coast (M)
61010,193,112,40,7,810,Central Highlands (M)
61210,373,199,104,30,2511,Circular Head (M)
61410,3904,2400,1413,555,23013,Clarence (C)
61510,581,349,150,41,3336,Derwent Valley (M)
61610,1503,1012,637,281,9427,Devonport (C)
61810,454,289,159,41,2366,Dorset (M)
62010,99,58,14,7,347,Flinders (M)
62210,426,285,160,55,2250,George Town (M)
70420,298,144,23,3,2162,Barkly (S)
70620,115,27,15,6,1028,Central Desert (S)
70700,120,60,13,0,516,Coomalie (S)
71000,5198,2063,696,151,37566,Darwin (C)
71300,208,54,7,0,1675,East Arnhem (S)
72200,523,212,52,13,3919,Katherine (T)
72300,1365,564,148,25,8790,Litchfield (M)
72330,163,59,16,3,1887,MacDonnell (S)
