yr,land_area_ha,protected_areas_indig_protected_area_num,protected_areas_national_parks_num,protected_areas_nature_reserves_num,protected_areas_all_oth_protected_areas_num,protected_areas_tot_num,protected_areas_indig_protected_area_ha,protected_areas_national_parks_ha,protected_areas_nature_reserves_ha,protected_areas_all_oth_protected_areas_ha,protected_areas_tot_ha,protected_areas_indig_protected_area_pr100,protected_areas_national_parks_pr100,protected_areas_nature_reserves_pr100,protected_areas_all_oth_protected_areas_pr100,protected_areas_tot_pr100,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,lga_code18,lga_name18,ogc_fid
2014,,,,,,,,,,,,,,,,,4819.0,,1907.0,,34580,Lockyer Valley (R),359
2018,3461.7,,,,,,,,,,,,,,,,,,,,50420,Bayswater (C),360
2017,,,,,,,,,,,,,,,,,5180.0,13.7,2995.0,4.8,50420,Bayswater (C),361
2016,,,,,,,,,,,,,,,,,4557.0,9.3,2857.0,5.8,50420,Bayswater (C),362
2015,,,,,,,,,,,,,,,,,4171.0,9.4,2701.0,7.2,50420,Bayswater (C),363
2014,,,,,,,,,,,,,,,,,3812.0,,2519.0,,50420,Bayswater (C),364
2018,2195.5,,,,,,,,,,,,,,,,,,,,51310,Cambridge (T),365
2018,561.8,,,,,,,,,,,,,,,,,,,,57980,Subiaco (C),390
2017,,,,,,,,,,,,,,,,,900.0,18.1,399.0,7.0,57980,Subiaco (C),391
2016,,,,,,,,,,,,,,,,,762.0,14.8,373.0,6.0,57980,Subiaco (C),392
2015,,,,,,,,,,,,,,,,,664.0,12.4,352.0,3.2,57980,Subiaco (C),393
2014,,,,,,,,,,,,,,,,,591.0,,341.0,,57980,Subiaco (C),394
2018,68326.0,,,,,,,,,,,,,,,,,,,,58760,Wanneroo (C),395
2017,,,,,,,,,,,,,,,,,23011.0,16.3,10705.0,4.6,58760,Wanneroo (C),396
2016,,,2.0,4.0,1.0,7.0,,3833.0,1797.0,11.0,5641.0,,5.6,2.6,,8.2,19792.0,14.5,10237.0,6.4,58760,Wanneroo (C),397
2015,,,,,,,,,,,,,,,,,17288.0,14.6,9619.0,8.6,58760,Wanneroo (C),398
2014,,,,,,,,,,,,,,,,,15084.0,,8854.0,,58760,Wanneroo (C),399
2018,10018855.0,,,,,,,,,,,,,,,,,,,,55250,Meekatharra (S),400
2017,,,,,,,,,,,,,,,,,51.0,8.5,89.0,1.1,55250,Meekatharra (S),401
2016,,,2.0,,1.0,3.0,,637056.0,,189139.0,826194.0,,6.4,,1.9,8.3,47.0,20.5,88.0,,55250,Meekatharra (S),402
2015,,,,,,,,,,,,,,,,,39.0,2.6,88.0,1.1,55250,Meekatharra (S),403
2014,,,,,,,,,,,,,,,,,38.0,,87.0,,55250,Meekatharra (S),404
2018,342277.3,,,,,,,,,,,,,,,,,,,,44830,Mount Remarkable (DC),405
2017,,,,,,,,,,,,,,,,,632.0,6.2,128.0,,44830,Mount Remarkable (DC),406
2016,,,,,17.0,17.0,,,,19027.0,19027.0,,,,5.6,5.6,595.0,8.0,128.0,2.4,44830,Mount Remarkable (DC),407
2015,,,,,,,,,,,,,,,,,551.0,5.8,125.0,3.3,44830,Mount Remarkable (DC),408
2014,,,,,,,,,,,,,,,,,521.0,,121.0,,44830,Mount Remarkable (DC),409
2018,332182.4,,,,,,,,,,,,,,,,,,,,45400,Orroroo/Carrieton (DC),410
2018,28131202.0,,,,,,,,,,,,,,,,,,,,70620,Central Desert (R),420
2017,,,,,,,,,,,,,,,,,29.0,16.0,80.0,1.3,70620,Central Desert (R),421
2016,,2.0,1.0,,5.0,8.0,12948587.0,261842.0,,118778.0,13329206.0,46.0,0.9,,0.4,47.4,25.0,19.0,79.0,1.3,70620,Central Desert (R),422
2015,,,,,,,,,,,,,,,,,21.0,10.5,78.0,,70620,Central Desert (R),423
2014,,,,,,,,,,,,,,,,,19.0,,78.0,,70620,Central Desert (R),424
2018,1966984.9,,,,,,,,,,,,,,,,,,,,35760,North Burnett (R),425
2017,,,,,,,,,,,,,,,,,1326.0,9.2,311.0,2.3,35760,North Burnett (R),426
2016,,,14.0,,13.0,27.0,,71724.0,,11707.0,83431.0,,3.7,,0.6,4.2,1214.0,10.2,304.0,4.1,35760,North Burnett (R),427
2015,,,,,,,,,,,,,,,,,1102.0,6.9,292.0,6.6,35760,North Burnett (R),428
2014,,,,,,,,,,,,,,,,,1031.0,,274.0,,35760,North Burnett (R),429
2018,6183009.0,,,,,,,,,,,,,,,,,,,,30450,Barcoo (S),430
2017,,,,,,,,,,,,,,,,,29.0,20.8,15.0,,30450,Barcoo (S),431
2016,,,2.0,,1.0,3.0,,126454.0,,3865.0,130318.0,,2.1,,0.1,2.1,24.0,50.0,15.0,,30450,Barcoo (S),432
2018,5381348.5,,,,,,,,,,,,,,,,,,,,37400,Winton (S),465
2017,,,,,,,,,,,,,,,,,89.0,21.9,17.0,6.3,37400,Winton (S),466
2016,,,1.0,,3.0,4.0,,84253.0,,2356.0,86610.0,,1.6,,,1.6,73.0,15.9,16.0,6.7,37400,Winton (S),467
2015,,,,,,,,,,,,,,,,,63.0,14.5,15.0,7.1,37400,Winton (S),468
2014,,,,,,,,,,,,,,,,,55.0,,14.0,,37400,Winton (S),469
2018,336506.8,,,,,,,,,,,,,,,,,,,,59310,Wongan-Ballidu (S),470
2017,,,,,,,,,,,,,,,,,101.0,27.8,124.0,3.3,59310,Wongan-Ballidu (S),471
2016,,,,23.0,1.0,24.0,,,5403.0,695.0,6098.0,,,1.6,0.2,1.8,79.0,33.9,120.0,6.2,59310,Wongan-Ballidu (S),472
2015,,,,,,,,,,,,,,,,,59.0,11.3,113.0,6.6,59310,Wongan-Ballidu (S),473
2014,,,,,,,,,,,,,,,,,53.0,,106.0,,59310,Wongan-Ballidu (S),474
2018,3968405.2,,,,,,,,,,,,,,,,,,,,31950,Burke (S),475
2017,,,,,,,,,,,,,,,,,12.0,20.0,9.0,,31950,Burke (S),476
2016,,2.0,2.0,,6.0,10.0,158842.0,106281.0,,48954.0,314077.0,4.0,2.7,,1.2,7.9,10.0,25.0,9.0,,31950,Burke (S),477
2015,,,,,,,,,,,,,,,,,8.0,14.3,9.0,,31950,Burke (S),478
2014,,,,,,,,,,,,,,,,,7.0,,9.0,,31950,Burke (S),479
2018,211055.0,,,,,,,,,,,,,,,,,,,,25150,Moorabool (S),480
2017,,,,,,,,,,,,,,,,,2757.0,9.4,2493.0,8.4,25150,Moorabool (S),481
2016,,,2.0,,21.0,23.0,,18792.0,,2922.0,21714.0,,8.9,,1.4,10.3,2521.0,10.1,2300.0,9.0,25150,Moorabool (S),482
2015,,,,,,,,,,,,,,,,,2290.0,12.1,2111.0,8.5,25150,Moorabool (S),483
2014,,,,,,,,,,,,,,,,,2042.0,,1946.0,,25150,Moorabool (S),484
2018,90120.6,,,,,,,,,,,,,,,,,,,,57700,Serpentine-Jarrahdale (S),485
2018,376302.5,,,,,,,,,,,,,,,,,,,,55600,Moora (S),490
2018,1385811.8,,,,,,,,,,,,,,,,,,,,55810,Mount Magnet (S),555
2017,,,,,,,,,,,,,,,,,261.0,12.0,190.0,2.2,55600,Moora (S),491
2017,,,,,,,,,,,,,,,,,43.0,,34.0,,55810,Mount Magnet (S),556
2016,,,1.0,13.0,2.0,16.0,,12004.0,1451.0,72.0,13527.0,,3.2,0.4,,3.6,233.0,28.0,186.0,2.8,55600,Moora (S),492
2016,,,2.0,,,2.0,,4.0,,,4.0,,,,,,43.0,2.4,34.0,,55810,Mount Magnet (S),557
2015,,,,,,,,,,,,,,,,,182.0,16.7,181.0,6.5,55600,Moora (S),493
2015,,,,,,,,,,,,,,,,,42.0,5.0,34.0,,55810,Mount Magnet (S),558
2014,,,,,,,,,,,,,,,,,156.0,,170.0,,55600,Moora (S),494
2018,68398.6,,,,,,,,,,,,,,,,,,,,18450,Wollongong (C),495
2017,,,,,,,,,,,,,,,,,9133.0,11.0,5665.0,2.5,18450,Wollongong (C),496
2016,,,5.0,2.0,1.0,8.0,,6654.0,402.0,385.0,7441.0,,9.7,0.6,0.6,10.9,8230.0,6.9,5525.0,1.6,18450,Wollongong (C),497
2015,,,,,,,,,,,,,,,,,7702.0,9.8,5436.0,2.1,18450,Wollongong (C),498
2014,,,,,,,,,,,,,,,,,7017.0,,5326.0,,18450,Wollongong (C),499
2018,342817.0,,,,,,,,,,,,,,,,,,,,12750,Eurobodalla (A),500
2017,,,,,,,,,,,,,,,,,3644.0,14.0,3333.0,3.3,12750,Eurobodalla (A),501
2016,,,6.0,5.0,4.0,15.0,,31471.0,297.0,108890.0,140658.0,,9.2,0.1,31.8,41.0,3196.0,9.9,3225.0,2.0,12750,Eurobodalla (A),502
2015,,,,,,,,,,,,,,,,,2908.0,11.6,3163.0,1.9,12750,Eurobodalla (A),503
2014,,,,,,,,,,,,,,,,,2606.0,,3103.0,,12750,Eurobodalla (A),504
2018,12729.8,,,,,,,,,,,,,,,,,,,,53780,Gosnells (C),505
2017,,,,,,,,,,,,,,,,,14412.0,12.6,6204.0,4.7,53780,Gosnells (C),506
2016,,,1.0,2.0,,3.0,,551.0,66.0,,617.0,,4.3,0.5,,4.9,12802.0,10.1,5927.0,6.5,53780,Gosnells (C),507
2015,,,,,,,,,,,,,,,,,11623.0,9.3,5565.0,6.7,53780,Gosnells (C),508
2014,,,,,,,,,,,,,,,,,10637.0,,5218.0,,53780,Gosnells (C),509
2018,483150.6,,,,,,,,,,,,,,,,,,,,12950,Gilgandra (A),510
2017,,,,,,,,,,,,,,,,,533.0,13.4,154.0,2.7,12950,Gilgandra (A),511
2016,,,5.0,,,5.0,,24622.0,,,24622.0,,5.1,,,5.1,470.0,16.9,150.0,0.7,12950,Gilgandra (A),512
2015,,,,,,,,,,,,,,,,,402.0,12.6,149.0,2.8,12950,Gilgandra (A),513
2014,,,,,,,,,,,,,,,,,357.0,,145.0,,12950,Gilgandra (A),514
2018,186308.5,,,,,,,,,,,,,,,,,,,,52940,Dowerin (S),515
2017,,,,,,,,,,,,,,,,,63.0,14.5,43.0,,52940,Dowerin (S),516
2016,,,,12.0,3.0,15.0,,,1841.0,265.0,2106.0,,,1.0,0.1,1.1,55.0,17.0,43.0,,52940,Dowerin (S),517
2015,,,,,,,,,,,,,,,,,47.0,11.9,43.0,4.9,52940,Dowerin (S),518
2014,,,,,,,,,,,,,,,,,42.0,,41.0,,52940,Dowerin (S),519
2018,18675.5,,,,,,,,,,,,,,,,,,,,15900,Newcastle (C),520
2017,,,,,,,,,,,,,,,,,8073.0,12.9,3944.0,4.2,15900,Newcastle (C),521
2016,,,2.0,1.0,2.0,5.0,,2422.0,35.0,894.0,3351.0,,13.0,0.2,4.8,17.9,7150.0,8.6,3785.0,5.3,15900,Newcastle (C),522
2018,744080.2,,,,,,,,,,,,,,,,,,,,54620,Kondinin (S),540
2017,,,,,,,,,,,,,,,,,64.0,16.4,95.0,3.3,54620,Kondinin (S),541
2016,,,,26.0,3.0,29.0,,,29020.0,457.0,29477.0,,,3.9,0.1,4.0,55.0,25.0,92.0,2.2,54620,Kondinin (S),542
2015,,,,,,,,,,,,,,,,,44.0,22.2,90.0,3.4,54620,Kondinin (S),543
2014,,,,,,,,,,,,,,,,,36.0,,87.0,,54620,Kondinin (S),544
2018,507527.8,,,,,,,,,,,,,,,,,,,,48640,Wudinna (DC),545
2014,,,,,,,,,,,,,,,,,40.0,,34.0,,55810,Mount Magnet (S),559
2018,115618.9,,,,,,,,,,,,,,,,,,,,63210,Kentish (M),560
2017,,,,,,,,,,,,,,,,,452.0,7.4,109.0,3.8,63210,Kentish (M),561
2016,,,1.0,,35.0,36.0,,5538.0,,23465.0,29002.0,,4.8,,20.3,25.1,421.0,10.5,105.0,4.0,63210,Kentish (M),562
2015,,,,,,,,,,,,,,,,,381.0,15.1,101.0,8.6,63210,Kentish (M),563
2017,,,,,,,,,,,,,,,,,194.0,5.4,37.0,,48640,Wudinna (DC),546
2014,,,,,,,,,,,,,,,,,331.0,,93.0,,63210,Kentish (M),564
2018,38462.6,,,,,,,,,,,,,,,,,,,,48050,Victor Harbor (C),565
2017,,,,,,,,,,,,,,,,,3640.0,7.3,758.0,4.0,48050,Victor Harbor (C),566
2016,,,,,60.0,60.0,,,,2952.0,2952.0,,,,7.7,7.7,3392.0,6.9,729.0,3.6,48050,Victor Harbor (C),567
2015,,,,,,,,,,,,,,,,,3173.0,5.2,704.0,3.4,48050,Victor Harbor (C),568
2014,,,,,,,,,,,,,,,,,3015.0,,681.0,,48050,Victor Harbor (C),569
2018,7199.3,,,,,,,,,,,,,,,,,,,,35790,Palm Island (S),570
2017,,,,,,,,,,,,,,,,,324.0,10.6,61.0,3.4,35790,Palm Island (S),571
2016,,,,,,,,,,,,,,,,,293.0,11.8,59.0,3.5,35790,Palm Island (S),572
2015,,,,,,,,,,,,,,,,,262.0,11.5,57.0,1.8,35790,Palm Island (S),573
2014,,,,,,,,,,,,,,,,,235.0,,56.0,,35790,Palm Island (S),574
2016,,,,,35.0,35.0,,,,73310.0,73310.0,,,,14.4,14.4,184.0,9.5,37.0,,48640,Wudinna (DC),547
2014,,,,,,,,,,,,,,,,,3.0,,32.0,,59250,Wiluna (S),599
2018,64864.0,,,,,,,,,,,,,,,,,,,,14650,Lake Macquarie (C),600
2017,,,,,,,,,,,,,,,,,13249.0,14.2,10155.0,3.2,14650,Lake Macquarie (C),601
2016,,,7.0,4.0,1.0,12.0,,8312.0,330.0,397.0,9040.0,,12.8,0.5,0.6,13.9,11597.0,10.9,9840.0,3.4,14650,Lake Macquarie (C),602
2015,,,,,,,,,,,,,,,,,10457.0,9.1,9512.0,3.8,14650,Lake Macquarie (C),603
2014,,,,,,,,,,,,,,,,,9581.0,,9160.0,,14650,Lake Macquarie (C),604
2018,299997.2,,,,,,,,,,,,,,,,,,,,22620,Greater Bendigo (C),605
2017,,,,,,,,,,,,,,,,,9102.0,9.4,7125.0,6.7,22620,Greater Bendigo (C),606
2016,,,2.0,,86.0,88.0,,21244.0,,7573.0,28817.0,,7.1,,2.5,9.6,8317.0,7.6,6676.0,7.2,22620,Greater Bendigo (C),607
2015,,,,,,,,,,,,,,,,,7730.0,10.9,6228.0,11.3,22620,Greater Bendigo (C),608
2014,,,,,,,,,,,,,,,,,6973.0,,5597.0,,22620,Greater Bendigo (C),609
2018,688397.1,,,,,,,,,,,,,,,,,,,,33620,Gympie (R),610
2017,,,,,,,,,,,,,,,,,8470.0,9.3,2992.0,4.5,33620,Gympie (R),611
2016,,,16.0,,18.0,34.0,,101809.0,,5097.0,106906.0,,14.8,,0.7,15.5,7752.0,7.3,2863.0,3.1,33620,Gympie (R),612
2015,,,,,,,,,,,,,,,,,7225.0,7.9,2778.0,3.0,33620,Gympie (R),613
2014,,,,,,,,,,,,,,,,,6696.0,,2698.0,,33620,Gympie (R),614
2018,1175786.8,,,,,,,,,,,,,,,,,,,,34530,Livingstone (S),615
2017,,,,,,,,,,,,,,,,,4292.0,10.4,2743.0,3.5,34530,Livingstone (S),616
2016,,,8.0,,22.0,30.0,,20390.0,,9803.0,30193.0,,1.7,,0.8,2.6,3886.0,7.2,2649.0,3.3,34530,Livingstone (S),617
2015,,,,,,,,,,,,,,,,,3624.0,8.4,2565.0,4.8,34530,Livingstone (S),618
2014,,,,,,,,,,,,,,,,,3344.0,,2448.0,,34530,Livingstone (S),619
2018,9892.9,,,,,,,,,,,,,,,,,,,,54170,Joondalup (C),620
2017,,,,,,,,,,,,,,,,,18560.0,14.7,8778.0,4.9,54170,Joondalup (C),621
2016,,,2.0,1.0,3.0,6.0,,28.0,338.0,40.0,406.0,,0.3,3.4,0.4,4.1,16176.0,9.9,8366.0,4.7,54170,Joondalup (C),622
2015,,,,,,,,,,,,,,,,,14718.0,8.7,7992.0,5.6,54170,Joondalup (C),623
2014,,,,,,,,,,,,,,,,,13546.0,,7568.0,,54170,Joondalup (C),624
2018,712739.6,,,,,,,,,,,,,,,,,,,,17640,Upper Lachlan Shire (A),625
2015,,,,,,,,,,,,,,,,,168.0,7.7,37.0,,48640,Wudinna (DC),548
2017,,,,,,,,,,,,,,,,,776.0,22.2,165.0,5.8,17640,Upper Lachlan Shire (A),626
2016,,,5.0,13.0,3.0,21.0,,25819.0,7689.0,11676.0,45184.0,,3.6,1.1,1.6,6.3,635.0,11.8,156.0,3.3,17640,Upper Lachlan Shire (A),627
2015,,,,,,,,,,,,,,,,,568.0,12.0,151.0,3.4,17640,Upper Lachlan Shire (A),628
2014,,,,,,,,,,,,,,,,,507.0,,146.0,,17640,Upper Lachlan Shire (A),629
2018,4113.8,,,,,,,,,,,,,,,,,,,,42030,Gawler (T),630
2017,,,,,,,,,,,,,,,,,3313.0,9.0,717.0,3.3,42030,Gawler (T),631
2016,,,,,,,,,,,,,,,,,3039.0,7.0,694.0,3.7,42030,Gawler (T),632
2015,,,,,,,,,,,,,,,,,2841.0,6.6,669.0,2.3,42030,Gawler (T),633
2014,,,,,,,,,,,,,,,,,2664.0,,654.0,,42030,Gawler (T),634
2018,665401.9,,,,,,,,,,,,,,,,,,,,26260,Southern Grampians (S),635
2017,,,,,,,,,,,,,,,,,1025.0,10.1,450.0,2.3,26260,Southern Grampians (S),636
2016,,,5.0,,34.0,39.0,,65395.0,,4161.0,69556.0,,9.8,,0.6,10.5,931.0,10.0,440.0,3.3,26260,Southern Grampians (S),637
2015,,,,,,,,,,,,,,,,,846.0,8.9,426.0,3.9,26260,Southern Grampians (S),638
2014,,,,,,,,,,,,,,,,,777.0,,410.0,,26260,Southern Grampians (S),639
2018,426676.9,,,,,,,,,,,,,,,,,,,,23190,Horsham (RC),640
2017,,,,,,,,,,,,,,,,,1628.0,9.6,1035.0,3.6,23190,Horsham (RC),641
2016,,,4.0,,57.0,61.0,,19838.0,,14911.0,34750.0,,4.7,,3.5,8.1,1485.0,9.3,999.0,4.9,23190,Horsham (RC),642
2015,,,,,,,,,,,,,,,,,1359.0,8.8,952.0,6.5,23190,Horsham (RC),643
2014,,,,,,,,,,,,,,,,,1249.0,,894.0,,23190,Horsham (RC),644
2018,12339.9,,,,,,,,,,,,,,,,,,,,21180,Brimbank (C),645
2017,,,,,,,,,,,,,,,,,9939.0,6.3,5488.0,6.8,21180,Brimbank (C),646
2016,,,,,5.0,5.0,,,,341.0,341.0,,,,2.8,2.8,9346.0,6.8,5137.0,8.7,21180,Brimbank (C),647
2015,,,,,,,,,,,,,,,,,8748.0,10.2,4727.0,8.6,21180,Brimbank (C),648
2014,,,,,,,,,,,,,,,,,7936.0,,4352.0,,21180,Brimbank (C),649
2018,1496427.5,,,,,,,,,,,,,,,,,,,,14600,Lachlan (A),650
2017,,,,,,,,,,,,,,,,,731.0,16.4,193.0,1.0,14600,Lachlan (A),651
2016,,,1.0,3.0,,4.0,,129.0,9443.0,,9572.0,,,0.6,,0.6,628.0,18.9,191.0,1.1,14600,Lachlan (A),652
2014,,,,,,,,,,,,,,,,,156.0,,37.0,,48640,Wudinna (DC),549
2018,418987.9,,,,,,,,,,,,,,,,,,,,52030,Coorow (S),550
2017,,,,,,,,,,,,,,,,,159.0,16.1,100.0,2.0,52030,Coorow (S),551
2016,,,4.0,11.0,8.0,23.0,,33857.0,38099.0,796.0,72752.0,,8.1,9.1,0.2,17.4,137.0,21.2,98.0,2.1,52030,Coorow (S),552
2015,,,,,,,,,,,,,,,,,113.0,10.8,96.0,5.5,52030,Coorow (S),553
2014,,,,,,,,,,,,,,,,,102.0,,91.0,,52030,Coorow (S),554
2015,,,,,,,,,,,,,,,,,528.0,26.3,189.0,1.6,14600,Lachlan (A),653
2014,,,,,,,,,,,,,,,,,418.0,,186.0,,14600,Lachlan (A),654
2018,362504.7,,,,,,,,,,,,,,,,,,,,16100,Oberon (A),655
2017,,,,,,,,,,,,,,,,,407.0,13.4,132.0,2.3,16100,Oberon (A),656
2016,,,3.0,1.0,2.0,6.0,,33581.0,237.0,68853.0,102671.0,,9.3,0.1,19.0,28.3,359.0,10.5,129.0,2.4,16100,Oberon (A),657
2015,,,,,,,,,,,,,,,,,325.0,10.9,126.0,5.0,16100,Oberon (A),658
2014,,,,,,,,,,,,,,,,,293.0,,120.0,,16100,Oberon (A),659
2018,149134.3,,,,,,,,,,,,,,,,,,,,15700,Nambucca (A),660
2017,,,,,,,,,,,,,,,,,2252.0,10.9,1880.0,4.4,15700,Nambucca (A),661
2016,,1.0,5.0,7.0,2.0,15.0,111.0,11746.0,13136.0,4796.0,29789.0,0.1,7.9,8.8,3.2,20.0,2030.0,9.4,1800.0,3.0,15700,Nambucca (A),662
2015,,,,,,,,,,,,,,,,,1856.0,9.2,1747.0,4.7,15700,Nambucca (A),663
2014,,,,,,,,,,,,,,,,,1699.0,,1668.0,,15700,Nambucca (A),664
2018,293099.3,,,,,,,,,,,,,,,,,,,,54550,Kojonup (S),665
2017,,,,,,,,,,,,,,,,,165.0,15.4,167.0,1.8,54550,Kojonup (S),666
2016,,,,19.0,4.0,23.0,,,2050.0,685.0,2735.0,,,0.7,0.2,0.9,143.0,27.7,164.0,3.1,54550,Kojonup (S),667
2015,,,,,,,,,,,,,,,,,112.0,31.8,159.0,1.9,54550,Kojonup (S),668
2014,,,,,,,,,,,,,,,,,85.0,,156.0,,54550,Kojonup (S),669
2018,160043.4,,,,,,,,,,,,,,,,,,,,10600,Bellingen (A),670
2017,,,,,,,,,,,,,,,,,1671.0,12.3,1630.0,2.4,10600,Bellingen (A),671
2016,,1.0,10.0,8.0,2.0,21.0,85.0,21937.0,5102.0,24898.0,52022.0,0.1,13.7,3.2,15.6,32.5,1488.0,9.7,1592.0,3.6,10600,Bellingen (A),672
2015,,,,,,,,,,,,,,,,,1357.0,11.1,1537.0,2.6,10600,Bellingen (A),673
2014,,,,,,,,,,,,,,,,,1221.0,,1498.0,,10600,Bellingen (A),674
2018,402762.9,,,,,,,,,,,,,,,,,,,,20830,Baw Baw (S),675
2018,4504609.0,,,,,,,,,,,,,,,,,,,,56160,Murchison (S),575
2017,,,,,,,,,,,,,,,,,4510.0,11.9,3595.0,10.5,20830,Baw Baw (S),676
2016,,,6.0,,45.0,51.0,,22819.0,,7784.0,30602.0,,5.7,,1.9,7.6,4032.0,9.8,3253.0,11.0,20830,Baw Baw (S),677
2015,,,,,,,,,,,,,,,,,3672.0,10.8,2930.0,12.1,20830,Baw Baw (S),678
2014,,,,,,,,,,,,,,,,,3314.0,,2614.0,,20830,Baw Baw (S),679
2018,2794946.5,,,,,,,,,,,,,,,,,,,,59350,Yalgoo (S),680
2017,,,,,,,,,,,,,,,,,13.0,8.3,34.0,3.0,59350,Yalgoo (S),681
2016,,1.0,9.0,,1.0,11.0,46835.0,594439.0,,84465.0,725739.0,1.7,21.3,,3.0,26.0,12.0,33.3,33.0,,59350,Yalgoo (S),682
2015,,,,,,,,,,,,,,,,,9.0,12.5,33.0,,59350,Yalgoo (S),683
2014,,,,,,,,,,,,,,,,,8.0,,33.0,,59350,Yalgoo (S),684
2017,,,,,,,,,,,,,,,,,10.0,25.0,16.0,,56160,Murchison (S),576
2016,,4.0,12.0,7.0,7.0,30.0,4054945.0,1304830.0,114029.0,45551.0,5519355.0,36.2,11.6,1.0,0.4,49.3,211.0,1.0,450.0,3.0,59340,Wyndham-East Kimberley (S),722
2015,,,,,,,,,,,,,,,,,209.0,8.3,437.0,4.5,59340,Wyndham-East Kimberley (S),723
2014,,,,,,,,,,,,,,,,,193.0,,418.0,,59340,Wyndham-East Kimberley (S),724
2018,346848.8,,,,,,,,,,,,,,,,,,,,48130,Wakefield (DC),725
2017,,,,,,,,,,,,,,,,,1103.0,6.9,224.0,2.8,48130,Wakefield (DC),726
2016,,,,,9.0,9.0,,,,1090.0,1090.0,,,,0.3,0.3,1032.0,6.6,218.0,2.3,48130,Wakefield (DC),727
2015,,,,,,,,,,,,,,,,,968.0,5.4,213.0,1.9,48130,Wakefield (DC),728
2014,,,,,,,,,,,,,,,,,918.0,,209.0,,48130,Wakefield (DC),729
2018,24004.9,,,,,,,,,,,,,,,,,,,,10750,Blacktown (C),730
2017,,,,,,,,,,,,,,,,,19305.0,8.7,4095.0,1.6,10750,Blacktown (C),731
2016,,,,1.0,2.0,3.0,,,326.0,347.0,673.0,,,1.4,1.5,2.8,17762.0,8.3,4030.0,2.2,10750,Blacktown (C),732
2015,,,,,,,,,,,,,,,,,16406.0,10.6,3945.0,3.5,10750,Blacktown (C),733
2014,,,,,,,,,,,,,,,,,14838.0,,3810.0,,10750,Blacktown (C),734
2016,,,3.0,1.0,,4.0,,326231.0,9350.0,,335582.0,,7.2,0.2,,7.5,8.0,33.3,16.0,,56160,Murchison (S),577
2014,,,,,,,,,,,,,,,,,82.0,,745.0,,53220,East Pilbara (S),744
2018,1081733.5,,,,,,,,,,,,,,,,,,,,26810,Wellington (S),745
2017,,,,,,,,,,,,,,,,,4433.0,9.7,1867.0,8.5,26810,Wellington (S),746
2016,,,6.0,,117.0,123.0,,174672.0,,89700.0,264372.0,,16.2,,8.3,24.4,4042.0,7.9,1721.0,8.0,26810,Wellington (S),747
2015,,,,,,,,,,,,,,,,,3746.0,9.6,1594.0,8.4,26810,Wellington (S),748
2014,,,,,,,,,,,,,,,,,3417.0,,1471.0,,26810,Wellington (S),749
2015,,,,,,,,,,,,,,,,,6.0,,16.0,,56160,Murchison (S),578
2018,32771.3,,,,,,,,,,,,,,,,,,,,70200,Alice Springs (T),780
2014,,,,,,,,,,,,,,,,,6.0,,16.0,,56160,Murchison (S),579
2018,6424.0,,,,,,,,,,,,,,,,,,,,23110,Hobsons Bay (C),580
2017,,,,,,,,,,,,,,,,,4218.0,8.5,1726.0,15.8,23110,Hobsons Bay (C),581
2016,,,,,4.0,4.0,,,,91.0,91.0,,,,1.4,1.4,3887.0,11.2,1491.0,12.9,23110,Hobsons Bay (C),582
2015,,,,,,,,,,,,,,,,,3494.0,10.5,1321.0,12.0,23110,Hobsons Bay (C),583
2014,,,,,,,,,,,,,,,,,3162.0,,1179.0,,23110,Hobsons Bay (C),584
2018,40470.2,,,,,,,,,,,,,,,,,,,,16350,Penrith (C),585
2017,,,,,,,,,,,,,,,,,10637.0,10.9,3484.0,2.7,16350,Penrith (C),586
2016,,,1.0,4.0,1.0,6.0,,804.0,1016.0,66.0,1885.0,,2.0,2.5,0.2,4.7,9590.0,10.1,3394.0,2.8,16350,Penrith (C),587
2015,,,,,,,,,,,,,,,,,8712.0,11.0,3302.0,3.5,16350,Penrith (C),588
2014,,,,,,,,,,,,,,,,,7850.0,,3189.0,,16350,Penrith (C),589
2015,,,,,,,,,,,,,,,,,238.0,14.4,56.0,,30410,Barcaldine (R),590
2014,,,,,,,,,,,,,,,,,208.0,,56.0,,30410,Barcaldine (R),591
2018,5338265.5,,,,,,,,,,,,,,,,,,,,30410,Barcaldine (R),592
2017,,,,,,,,,,,,,,,,,320.0,19.9,59.0,5.4,30410,Barcaldine (R),593
2016,,,2.0,,5.0,7.0,,27127.0,,29218.0,56345.0,,0.5,,0.6,1.1,267.0,12.2,56.0,,30410,Barcaldine (R),594
2018,18129734.0,,,,,,,,,,,,,,,,,,,,59250,Wiluna (S),595
2017,,,,,,,,,,,,,,,,,9.0,12.5,32.0,,59250,Wiluna (S),596
2016,,2.0,3.0,2.0,,7.0,7107486.0,51173.0,10472.0,,7169131.0,39.2,0.3,0.1,,39.5,8.0,60.0,32.0,,59250,Wiluna (S),597
2015,,,,,,,,,,,,,,,,,5.0,66.7,32.0,,59250,Wiluna (S),598
2018,193488.6,,,,,,,,,,,,,,,,,,,,55530,Mingenew (S),685
2017,,,,,,,,,,,,,,,,,52.0,26.8,44.0,,55530,Mingenew (S),686
