lga_code16,p_75ov_ewft,p_75ov_ewpt,p_75ov_eafw,p_75ov_ehw_ns,p_75ov_tot,p_tot_ewft,p_tot_ewpt,p_tot_eafw,p_tot_ehw_ns,p_tot_tot,lga_name16
51750,10,50,0,0,59,3229,3158,187,110,6685,Claremont (T)
51820,41,72,6,7,128,27644,12097,1212,730,41679,Cockburn (C)
51890,6,10,0,0,14,3035,1136,219,109,4493,Collie (S)
52100,0,4,0,3,8,347,144,23,12,528,Corrigin (S)
52170,13,24,0,0,33,1278,1290,77,38,2679,Cottesloe (T)
52240,3,4,0,4,17,342,125,20,17,504,Cranbrook (S)
52310,3,5,0,0,4,140,38,12,5,194,Cuballing (S)
52380,0,0,0,0,0,87,24,4,4,121,Cue (S)
52450,0,3,0,4,4,404,175,26,6,610,Cunderdin (S)
52520,11,9,0,0,23,562,182,30,15,782,Dalwallinu (S)
52590,14,8,0,0,24,890,445,62,27,1430,Dandaragan (S)
52660,6,30,0,0,44,1731,1457,152,61,3403,Dardanup (S)
52730,10,21,0,0,31,823,943,108,33,1901,Denmark (S)
52800,6,3,0,0,13,1896,482,116,95,2592,Derby-West Kimberley (S)
52870,11,16,3,4,27,825,702,81,27,1640,Donnybrook-Balingup (S)
52940,0,3,0,0,7,193,81,5,11,289,Dowerin (S)
53010,3,0,0,0,5,217,74,10,8,309,Dumbleyung (S)
53080,0,0,0,0,5,424,64,26,21,537,Dundas (S)
53150,0,9,0,0,15,913,804,52,22,1797,East Fremantle (T)
53220,6,0,0,4,11,11469,1035,1202,315,14018,East Pilbara (S)
53290,21,42,4,0,67,3561,1951,312,108,5935,Esperance (S)
53360,0,3,0,0,10,845,414,100,28,1382,Exmouth (S)
53430,25,83,12,12,131,14548,8950,960,412,24868,Fremantle (C)
53570,13,31,4,0,48,1153,635,73,44,1910,Gingin (S)
53640,3,0,0,0,3,440,172,23,7,643,Gnowangerup (S)
54280,17,17,0,3,39,10559,3344,576,338,14815,Kalgoorlie/Boulder (C)
54310,14,9,3,0,23,9752,2121,968,254,13086,Karratha (C)
53710,4,8,0,0,17,204,131,20,3,355,Goomalling (S)
53780,22,63,6,10,101,13784,9318,786,420,24306,Gosnells (C)
53800,28,39,5,11,88,9476,5227,722,271,15703,Greater Geraldton (C)
53920,0,0,0,0,0,660,158,41,41,901,Halls Creek (S)
53990,12,36,7,3,48,3836,2390,272,133,6632,Harvey (S)
54060,6,11,0,3,17,517,448,46,34,1039,Irwin (S)
54130,3,7,0,3,15,381,160,28,14,582,Jerramungup (S)
54170,18,113,12,15,152,20775,22946,1568,756,46047,Joondalup (C)
54200,18,75,3,6,103,8445,5392,394,253,14481,Kalamunda (S)
54340,7,5,5,0,14,1193,523,69,32,1826,Katanning (S)
54410,0,5,0,0,6,244,148,17,14,432,Kellerberrin (S)
54480,7,3,0,0,10,199,63,4,6,283,Kent (S)
54550,10,10,3,3,28,601,271,54,26,949,Kojonup (S)
54620,14,6,0,0,23,533,124,20,14,700,Kondinin (S)
54690,4,5,0,0,7,123,45,5,5,181,Koorda (S)
54760,4,0,0,0,6,280,79,19,4,382,Kulin (S)
54830,12,14,0,3,30,8989,3012,469,188,12657,Kwinana (C)
54900,9,4,0,0,17,516,185,34,26,760,Lake Grace (S)
54970,0,0,0,0,4,1954,138,226,53,2378,Laverton (S)
55040,0,0,0,0,0,1879,182,170,48,2275,Leonora (S)
55110,12,86,9,5,121,10210,9918,779,397,21307,Mandurah (C)
55180,24,36,5,11,75,2358,1461,230,85,4129,Manjimup (S)
55250,0,0,0,0,0,986,92,101,47,1227,Meekatharra (S)
55320,42,135,8,0,192,20853,17166,1448,619,40084,Melville (C)
55950,5,0,0,0,8,186,59,3,10,253,Mukinbudin (S)
55390,0,3,0,0,4,577,46,46,17,685,Menzies (S)
55460,17,4,0,0,23,968,410,78,22,1475,Merredin (S)
55530,0,0,0,0,0,167,56,5,5,241,Mingenew (S)
56090,4,50,3,0,61,4765,3531,304,137,8739,Mundaring (S)
55600,14,11,0,0,25,749,334,50,27,1160,Moora (S)
55670,0,5,0,0,4,225,89,9,6,335,Morawa (S)
56860,0,0,0,0,0,52,21,0,0,70,Nungarin (S)
55740,0,21,0,0,23,1147,1179,61,40,2427,Mosman Park (T)
55810,0,0,0,0,0,252,44,19,8,330,Mount Magnet (S)
55880,3,4,0,0,11,192,67,14,12,275,Mount Marshall (S)
56160,0,0,0,0,0,53,8,0,0,67,Murchison (S)
56230,17,27,0,0,48,3421,1667,216,99,5406,Murray (S)
56300,5,7,0,0,10,258,185,20,8,474,Nannup (S)
56370,4,3,0,0,11,272,96,20,10,395,Narembeen (S)
56460,6,17,3,3,25,1388,745,144,46,2332,Narrogin (S)
56580,26,88,6,4,120,11989,7178,887,275,20327,Nedlands (C)
56620,0,0,0,0,0,210,94,17,12,344,Ngaanyatjarraku (S)
56730,8,21,3,3,40,2719,1397,162,84,4359,Northam (S)
56790,6,3,0,0,12,636,433,63,28,1155,Northampton (S)
56930,3,11,0,0,10,549,507,24,12,1094,Peppermint Grove (S)
57630,0,0,0,0,0,32,8,0,0,46,Sandstone (S)
57700,9,20,0,3,32,2606,1711,181,82,4585,Serpentine-Jarrahdale (S)
57770,0,0,0,0,0,265,128,11,6,420,Shark Bay (S)
57840,12,41,8,3,62,6847,5408,422,182,12856,South Perth (C)
57910,81,276,20,17,391,44716,27325,2280,1170,75495,Stirling (C)
57980,28,80,3,4,122,15646,9178,1004,355,26182,Subiaco (C)
58050,48,122,13,7,189,35219,17491,1751,937,55407,Swan (C)
58190,3,0,0,0,5,106,54,9,3,174,Tammin (S)
58260,0,5,0,0,5,201,63,17,3,281,Three Springs (S)
57000,4,0,0,0,4,615,84,52,19,770,Perenjori (S)
57080,80,161,13,26,281,94572,27092,5143,1710,128511,Perth (C)
57140,0,4,0,0,3,201,113,10,3,336,Pingelly (S)
57210,14,21,3,5,41,1183,690,106,50,2023,Plantagenet (S)
57280,6,0,0,0,15,7169,1354,717,232,9476,Port Hedland (T)
57350,3,3,3,0,8,207,115,24,11,354,Quairading (S)
57420,3,5,0,0,10,728,201,69,28,1020,Ravensthorpe (S)
57490,19,62,3,6,97,15932,12508,1132,488,30054,Rockingham (C)
65010,13,14,3,0,20,602,419,40,27,1089,Southern Midlands (M)
65210,4,3,3,0,10,310,347,37,17,713,Tasman (M)
65410,10,13,0,3,28,2164,1402,159,84,3808,Waratah/Wynyard (M)
65610,3,0,0,3,9,1238,509,111,61,1912,West Coast (M)
58330,7,12,0,0,18,421,372,49,16,856,Toodyay (S)
58400,3,0,0,0,3,96,44,6,4,152,Trayning (S)
58470,0,0,0,0,0,46,17,3,3,77,Upper Gascoyne (S)
58510,30,49,6,7,90,17479,9139,886,495,27996,Victoria Park (T)
70200,18,20,3,0,39,8673,2508,488,218,11884,Alice Springs (T)
58540,4,4,0,0,12,333,123,20,3,475,Victoria Plains (S)
58570,24,67,3,7,95,12575,7134,650,296,20651,Vincent (C)
58610,3,4,0,3,13,402,238,33,6,681,Wagin (S)
58680,3,4,0,0,13,111,34,12,3,160,Wandering (S)
58760,38,92,7,3,140,25446,16482,1289,780,44004,Wanneroo (C)
58820,15,3,0,0,22,1514,486,126,43,2172,Waroona (S)
58890,12,6,4,0,24,233,128,12,8,378,West Arthur (S)
59030,0,3,0,0,6,235,29,15,12,285,Westonia (S)
72800,8,8,0,0,19,4905,2067,284,160,7412,Palmerston (C)
73600,3,3,0,3,9,1178,347,102,151,1778,Roper Gulf (R)
74050,0,0,0,0,5,298,215,17,38,572,Tiwi Islands (R)
74550,3,4,0,0,9,559,175,27,36,790,Victoria Daly (R)
59100,3,3,0,0,9,181,97,16,7,293,Wickepin (S)
74560,0,0,0,0,0,21,22,9,0,47,Wagait (S)
74660,0,0,0,3,8,1260,314,93,116,1780,West Arnhem (R)
74680,0,0,0,0,0,403,108,19,23,551,West Daly (R)
79399,11,6,0,0,13,5057,890,314,138,6401,Unincorporated NT
59170,3,7,0,0,15,292,135,17,7,457,Williams (S)
59250,0,0,0,0,0,963,86,84,27,1157,Wiluna (S)
89399,168,395,46,54,665,148735,59238,9400,3274,220648,Unincorporated ACT
99399,8,17,0,3,35,1801,645,168,75,2692,Unincorp. Other Territories
59310,8,8,0,3,12,436,201,27,15,689,Wongan-Ballidu (S)
59320,0,0,0,0,6,110,43,28,9,189,Woodanilling (S)
59330,5,10,0,0,10,128,70,9,7,214,Wyalkatchem (S)
59340,12,5,0,0,15,2732,677,197,90,3693,Wyndham-East Kimberley (S)
59350,3,3,0,0,4,550,54,78,27,711,Yalgoo (S)
59360,5,7,0,3,13,1005,178,87,36,1303,Yilgarn (S)
59370,3,13,0,0,14,539,442,33,16,1031,York (S)
60210,8,8,3,0,17,782,796,95,37,1707,Break O'Day (M)
60410,4,6,3,3,14,1679,953,122,58,2806,Brighton (M)
60610,8,29,0,3,43,5954,3775,403,166,10292,Burnie (C)
60810,13,29,0,8,50,3007,2327,267,123,5723,Central Coast (M) (Tas.)
61010,4,10,0,0,14,414,191,29,24,666,Central Highlands (M) (Tas.)
61210,12,17,4,3,39,2195,1179,169,70,3618,Circular Head (M)
61410,14,57,0,8,82,8465,6097,621,228,15410,Clarence (C)
61510,5,9,0,3,27,1275,890,97,66,2325,Derwent Valley (M)
61610,9,37,3,11,59,6413,4401,579,207,11591,Devonport (C)
61810,10,17,3,3,29,1253,828,113,51,2248,Dorset (M)
62010,3,6,0,0,9,218,164,13,13,413,Flinders (M) (Tas.)
62210,10,7,3,0,19,1606,709,96,52,2466,George Town (M)
62410,5,14,0,3,24,720,617,90,41,1467,Glamorgan/Spring Bay (M)
62610,17,47,4,15,79,11457,6267,651,337,18713,Glenorchy (C)
62810,37,124,9,21,195,28883,18487,2164,643,50180,Hobart (C)
63010,13,22,3,8,42,2234,1774,158,99,4260,Huon Valley (M)
63210,12,13,0,0,28,723,518,83,36,1358,Kentish (M)
63410,6,10,0,0,19,480,221,54,12,765,King Island (M)
63610,5,42,3,3,54,4221,3815,315,115,8465,Kingborough (M)
63810,16,16,0,0,28,1770,1348,161,66,3345,Latrobe (M) (Tas.)
64010,34,101,9,8,153,19162,13196,1344,572,34271,Launceston (C)
64210,27,29,0,3,60,3036,2118,238,105,5500,Meander Valley (M)
64610,17,31,6,5,62,2957,1557,178,71,4765,Northern Midlands (M)
70420,11,0,0,0,9,1531,405,87,67,2097,Barkly (R)
70540,0,0,0,0,0,14,8,0,3,33,Belyuen (S)
70620,0,0,0,0,3,974,253,123,27,1375,Central Desert (R)
70700,0,3,0,0,3,423,120,18,18,574,Coomalie (S)
71000,52,67,7,10,135,32929,10216,1848,984,45984,Darwin (C)
71300,4,0,0,3,10,1700,623,136,137,2592,East Arnhem (R)
72200,15,5,0,0,22,3341,756,192,81,4368,Katherine (T)
72300,18,13,3,3,41,12523,1841,893,353,15611,Litchfield (M)
72330,5,3,0,0,11,1547,404,104,85,2132,MacDonnell (R)
