lga_code16,p_m3_trn_and_2_oth_ms_15_24,p_m3_trn_and_2_oth_ms_25_34,p_m3_trn_and_2_oth_ms_35_44,p_m3_trn_and_2_oth_ms_45_54,p_m3_trn_and_2_oth_ms_55_64,p_m3_trn_and_2_oth_ms_65_74,p_m3_trn_and_2_oth_ms_75ov,p_m3_trn_and_2_oth_ms_tot,p_m3_bus2othms_ex_tn_15_24,p_m3_bus2othms_ex_tn_25_34,p_m3_bus2othms_ex_tn_35_44,p_m3_bus2othms_ex_tn_45_54,p_m3_bus2othms_ex_tn_55_64,p_m3_bus2othms_ex_tn_65_74,p_m3_bus2othms_ex_tn_75ov,p_m3_bus2othms_ex_tn_tot,p_m3_other_m3_15_24,p_m3_other_m3_25_34,p_m3_other_m3_35_44,p_m3_other_m3_45_54,p_m3_other_m3_55_64,p_m3_other_m3_65_74,p_m3_other_m3_75ov,p_m3_other_m3_tot,p_m3_tot_m3_15_24,p_m3_tot_m3_25_34,p_m3_tot_m3_35_44,p_m3_tot_m3_45_54,p_m3_tot_m3_55_64,p_m3_tot_m3_65_74,p_m3_tot_m3_75ov,p_m3_tot_m3_tot,p_wkd_at_home_15_24,p_wkd_at_home_25_34,p_wkd_at_home_35_44,p_wkd_at_home_45_54,p_wkd_at_home_55_64,p_wkd_at_home_65_74,p_wkd_at_home_75ov,p_wkd_at_home_tot,p_did_not_go_to_work_15_24,p_did_not_go_to_work_25_34,p_did_not_go_to_work_35_44,p_did_not_go_to_work_45_54,p_did_not_go_to_work_55_64,p_did_not_go_to_work_65_74,p_did_not_go_to_work_75ov,p_did_not_go_to_work_tot,p_mt_ns_15_24,p_mt_ns_25_34,p_mt_ns_35_44,p_mt_ns_45_54,p_mt_ns_55_64,p_mt_ns_65_74,p_mt_ns_75ov,p_mt_ns_tot,p_tot_15_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75ov,p_tot_tot,lga_name16
52100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,17,17,30,9,4,87,3,19,4,0,16,7,0,54,3,0,0,0,0,3,0,14,53,93,95,110,125,47,8,528,Corrigin (S)
52170,3,3,3,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,14,4,23,45,79,69,39,13,261,86,68,39,38,31,17,4,280,5,4,3,3,0,0,0,20,508,640,447,504,394,151,33,2679,Cottesloe (T)
52240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,19,32,17,5,109,3,6,4,4,6,9,0,36,0,0,0,0,0,3,6,11,41,84,104,109,99,53,17,504,Cranbrook (S)
52310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,13,12,4,3,51,0,0,0,5,12,8,0,23,0,0,0,0,0,0,0,7,14,28,40,43,42,24,4,194,Cuballing (S)
52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,3,0,8,3,4,0,15,0,0,0,0,0,0,0,3,13,25,17,29,26,3,0,121,Cue (S)
52940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,13,13,6,11,4,64,3,6,0,7,9,0,0,22,0,0,0,0,4,0,0,5,30,51,55,67,59,26,7,289,Dowerin (S)
53010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14,14,28,19,3,90,3,10,0,0,7,4,0,18,0,0,0,3,0,0,0,7,19,65,53,66,70,29,5,309,Dumbleyung (S)
53080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,0,0,20,3,15,21,14,6,3,0,61,0,6,3,3,0,0,0,10,47,128,112,132,100,18,5,537,Dundas (S)
54130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,21,38,24,6,7,125,4,8,5,10,9,6,0,50,0,0,0,7,3,0,0,13,43,107,95,140,138,42,15,582,Jerramungup (S)
54170,54,49,13,11,6,3,0,134,0,0,0,0,0,0,0,6,5,0,0,0,3,0,0,6,63,49,13,12,13,3,0,143,92,374,755,910,800,319,41,3294,1846,1033,910,728,705,219,19,5464,104,75,73,70,58,28,6,415,9956,8702,8660,9866,7042,1668,152,46047,Joondalup (C)
