lga_code_2016,median_age_persons,median_mortgage_repay_monthly,median_tot_prsnl_inc_weekly,median_rent_weekly,median_tot_fam_inc_weekly,average_num_psns_per_bedroom,median_tot_hhd_inc_weekly,average_household_size,lga_name_2016
51330,34,1950,615,370,1788,0.8,1560,2.8,Canning (C)
51400,36,1950,716,350,1937,0.8,1726,2.8,Capel (S)
51470,46,737,698,100,1489,0.7,1136,2.1,Carnamah (S)
51540,39,1517,693,200,1604,0.9,1261,2.4,Carnarvon (S)
51610,43,2167,732,200,1932,0.9,1625,2.7,Chapman Valley (S)
51680,43,2167,641,270,1856,0.8,1640,2.8,Chittering (S)
51750,43,2600,960,450,2989,0.8,2073,2.3,Claremont (T)
51820,35,2058,761,380,2038,0.8,1756,2.7,Cockburn (C)
51890,41,1517,512,225,1488,0.7,1161,2.4,Collie (S)
52100,44,1000,748,137,1672,0.7,1332,2.3,Corrigin (S)
52170,42,3250,1218,540,3659,0.8,2631,2.5,Cottesloe (T)
52240,46,878,612,123,1281,0.7,1047,2.4,Cranbrook (S)
52310,47,1226,604,150,1421,0.7,1101,2.2,Cuballing (S)
52380,52,775,534,100,949,0.6,875,1.9,Cue (S)
52450,37,995,633,180,1648,0.8,1288,2.5,Cunderdin (S)
52520,38,946,803,185,1767,0.7,1424,2.5,Dalwallinu (S)
52590,48,1700,636,260,1445,0.7,1189,2.3,Dandaragan (S)
52660,37,1863,670,330,1749,0.7,1546,2.6,Dardanup (S)
52730,49,1573,544,263,1268,0.8,1013,2.3,Denmark (S)
52800,30,1733,433,100,1077,1.1,1264,3.1,Derby-West Kimberley (S)
52870,47,1541,563,230,1425,0.7,1155,2.4,Donnybrook-Balingup (S)
52940,43,867,641,100,1455,0.7,1125,2.4,Dowerin (S)
53010,42,585,662,98,1309,0.7,1088,2.2,Dumbleyung (S)
53080,47,604,612,132,1235,0.7,794,1.9,Dundas (S)
53150,43,2500,938,400,2780,0.8,2051,2.5,East Fremantle (T)
53220,34,457,1814,100,2536,1.0,2353,3.0,East Pilbara (S)
53290,40,1679,682,240,1709,0.8,1363,2.5,Esperance (S)
53360,37,2167,816,300,2011,0.9,1650,2.5,Exmouth (S)
53430,42,2167,778,351,2173,0.8,1585,2.2,Fremantle (C)
53570,47,1733,567,250,1329,0.7,1123,2.4,Gingin (S)
53640,40,774,759,130,1676,0.7,1319,2.4,Gnowangerup (S)
54280,33,1800,974,290,2377,0.8,2080,2.7,Kalgoorlie/Boulder (C)
54310,31,2600,1350,220,2951,0.9,2626,2.8,Karratha (C)
53710,45,1105,668,150,1625,0.8,1128,2.3,Goomalling (S)
53780,34,1800,636,350,1656,0.8,1482,2.9,Gosnells (C)
53800,38,1733,662,270,1674,0.8,1348,2.5,Greater Geraldton (C)
53920,28,981,359,75,809,1.2,1023,3.2,Halls Creek (S)
53990,38,1842,662,320,1797,0.7,1553,2.7,Harvey (S)
54060,49,1733,547,240,1351,0.7,1085,2.3,Irwin (S)
54130,41,899,794,128,1637,0.7,1284,2.3,Jerramungup (S)
54170,40,2100,776,410,2230,0.7,1957,2.8,Joondalup (C)
54200,39,2000,732,380,1932,0.7,1661,2.7,Kalamunda (S)
54340,40,1134,667,180,1400,0.8,1205,2.5,Katanning (S)
54410,48,867,526,115,1292,0.8,1016,2.5,Kellerberrin (S)
54480,39,412,856,61,1589,0.8,1342,2.5,Kent (S)
54550,44,1083,720,143,1568,0.7,1303,2.4,Kojonup (S)
54620,43,776,784,115,1570,0.7,1289,2.3,Kondinin (S)
54690,47,542,640,95,1458,0.7,1083,2.3,Koorda (S)
54760,44,650,746,107,1607,0.7,1221,2.3,Kulin (S)
54830,32,1813,684,325,1669,0.8,1471,2.7,Kwinana (C)
54900,40,1000,899,138,1944,0.7,1433,2.3,Lake Grace (S)
54970,36,679,1597,70,888,0.9,1111,2.6,Laverton (S)
55040,35,867,1443,0,2048,0.8,1810,2.5,Leonora (S)
55110,43,1820,555,320,1435,0.7,1162,2.4,Mandurah (C)
55180,45,1300,594,183,1394,0.7,1118,2.3,Manjimup (S)
55250,35,600,992,100,1399,0.8,1347,2.5,Meekatharra (S)
55320,41,2167,757,400,2281,0.7,1834,2.6,Melville (C)
55950,43,607,647,83,1601,0.8,1402,2.5,Mukinbudin (S)
55390,38,0,776,100,928,1.2,1170,2.6,Menzies (S)
55460,38,1127,661,180,1708,0.8,1332,2.4,Merredin (S)
55530,42,700,732,93,1416,0.7,1234,2.3,Mingenew (S)
56090,42,2000,692,350,1957,0.8,1664,2.7,Mundaring (S)
55600,41,1100,707,166,1760,0.8,1395,2.4,Moora (S)
55670,38,542,560,150,1357,0.7,1148,2.4,Morawa (S)
56860,44,758,615,55,1333,0.7,1068,2.5,Nungarin (S)
55740,40,2700,894,320,2887,0.8,1864,2.4,Mosman Park (T)
55810,42,442,526,145,1399,0.8,1110,2.4,Mount Magnet (S)
55880,42,499,684,60,1451,0.8,1227,2.4,Mount Marshall (S)
56160,37,0,562,25,1775,0.8,1343,2.8,Murchison (S)
56230,44,1863,543,300,1460,0.8,1218,2.5,Murray (S)
56300,53,1408,515,175,1189,0.8,955,2.2,Nannup (S)
56370,46,625,763,120,1625,0.7,1204,2.3,Narembeen (S)
56460,40,1200,635,220,1527,0.7,1225,2.4,Narrogin (S)
56580,41,3250,987,520,3559,0.8,2708,2.8,Nedlands (C)
56620,29,0,307,55,705,1.3,1073,3.8,Ngaanyatjarraku (S)
56730,42,1408,581,245,1468,0.8,1178,2.4,Northam (S)
56790,51,1517,530,200,1296,0.8,961,2.2,Northampton (S)
56930,39,2817,1061,459,4146,0.8,3481,2.8,Peppermint Grove (S)
57630,58,0,509,0,1375,0.5,1083,1.7,Sandstone (S)
57700,32,2145,773,380,1951,0.8,1859,3.0,Serpentine-Jarrahdale (S)
57770,43,1380,648,170,1399,0.8,1083,2.1,Shark Bay (S)
57840,37,2173,840,375,2385,0.8,1780,2.3,South Perth (C)
57910,36,2000,766,350,2001,0.8,1563,2.4,Stirling (C)
57980,36,2500,892,400,2609,0.9,1836,2.2,Subiaco (C)
58050,34,2000,716,350,1811,0.8,1623,2.8,Swan (C)
58190,38,867,661,102,1589,0.8,1273,2.5,Tammin (S)
58260,40,594,610,115,1406,0.7,1162,2.3,Three Springs (S)
57000,42,800,1188,110,1699,0.7,1343,2.3,Perenjori (S)
57080,32,2151,928,440,2291,1.0,1849,1.9,Perth (C)
57140,50,1074,484,150,1112,0.7,886,2.2,Pingelly (S)
57210,46,1222,534,195,1275,0.8,1035,2.4,Plantagenet (S)
57280,31,2693,1355,200,3014,0.9,2563,2.7,Port Hedland (T)
57350,52,1002,545,98,1154,0.7,906,2.1,Quairading (S)
57420,45,1200,676,220,1507,0.7,1196,2.2,Ravensthorpe (S)
57490,34,1950,682,350,1812,0.7,1555,2.7,Rockingham (C)
65010,44,1192,533,170,1268,0.8,1048,2.5,Southern Midlands (M)
65210,55,910,462,195,985,0.8,788,2.1,Tasman (M)
65410,46,1170,498,200,1247,0.8,942,2.3,Waratah/Wynyard (M)
65610,44,673,469,135,1258,0.7,910,2.1,West Coast (M)
65810,45,1300,564,250,1418,0.8,1139,2.4,West Tamar (M)
58330,51,1600,560,280,1425,0.7,1167,2.3,Toodyay (S)
58400,50,510,556,79,1339,0.7,914,2.0,Trayning (S)
69499,38,0,385,0,0,0.0,0,0.0,No usual address (Tas.)
58470,26,0,419,30,700,1.1,966,3.0,Upper Gascoyne (S)
58510,34,2037,766,351,1998,0.9,1554,2.3,Victoria Park (T)
69799,41,0,1089,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (Tas.)
70200,35,1950,1002,350,2259,0.9,1937,2.6,Alice Springs (T)
58540,45,867,706,100,1602,0.8,1225,2.4,Victoria Plains (S)
58570,34,2275,992,410,2553,0.9,2019,2.2,Vincent (C)
58610,49,1000,539,168,1274,0.7,970,2.2,Wagin (S)
58680,47,1668,748,32,1777,0.7,1542,2.4,Wandering (S)
58760,33,2058,709,375,1875,0.8,1696,2.9,Wanneroo (C)
58820,45,1636,558,250,1464,0.8,1218,2.5,Waroona (S)
58890,47,800,635,100,1324,0.7,1143,2.3,West Arthur (S)
59030,42,1019,1099,85,2071,0.7,1562,2.3,Westonia (S)
72800,30,2253,1053,430,2369,0.9,2197,2.9,Palmerston (C)
73600,26,1278,279,50,670,1.8,1049,4.2,Roper Gulf (R)
74050,30,0,248,50,644,1.4,780,3.8,Tiwi Islands (R)
74550,27,1517,376,50,775,1.3,1098,3.3,Victoria Daly (R)
59100,46,767,609,100,1402,0.7,1091,2.2,Wickepin (S)
74560,48,1733,861,250,1924,1.1,1463,2.2,Wagait (S)
74660,28,2550,276,50,771,1.7,1467,4.2,West Arnhem (R)
74680,24,355,239,50,590,2.0,1043,5.3,West Daly (R)
79399,34,1550,1086,80,2447,1.1,1950,2.3,Unincorporated NT
79499,44,0,449,0,0,0.0,0,0.0,No usual address (NT)
59170,43,1223,825,126,1837,0.8,1458,2.5,Williams (S)
59250,35,0,1345,70,860,1.1,1014,3.0,Wiluna (S)
79799,36,0,700,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (NT)
89399,35,2058,1000,380,2445,0.8,2070,2.5,Unincorporated ACT
89499,36,0,447,0,0,0.0,0,0.0,No usual address (ACT)
89799,0,0,0,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (ACT)
99399,42,1400,715,140,1568,0.9,1377,2.6,Unincorp. Other Territories
99499,42,0,412,0,0,0.0,0,0.0,No usual address (OT)
99799,39,0,1833,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (OT)
59310,41,1083,717,135,1495,0.7,1235,2.3,Wongan-Ballidu (S)
59320,43,817,748,25,1600,0.8,1228,2.4,Woodanilling (S)
59330,53,604,511,150,1166,0.7,837,2.0,Wyalkatchem (S)
59340,33,2167,864,196,1950,1.0,1704,2.7,Wyndham-East Kimberley (S)
59350,39,325,1483,50,2150,0.8,1292,2.1,Yalgoo (S)
59360,45,790,861,120,1807,0.7,1201,2.1,Yilgarn (S)
59370,51,1500,540,250,1368,0.7,1024,2.2,York (S)
59499,41,0,434,0,0,0.0,0,0.0,No usual address (WA)
59799,40,0,2654,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (WA)
60210,54,910,439,195,955,0.8,746,2.1,Break O'Day (M)
60410,34,1300,568,215,1303,0.8,1111,2.6,Brighton (M)
60610,41,1083,523,200,1272,0.8,993,2.3,Burnie (C)
60810,46,1213,528,210,1301,0.8,1002,2.3,Central Coast (M) (Tas.)
61010,50,867,467,100,1074,0.7,820,2.1,Central Highlands (M) (Tas.)
61210,41,1083,581,170,1385,0.8,1083,2.4,Circular Head (M)
61410,43,1452,673,265,1644,0.8,1306,2.4,Clarence (C)
61510,43,1148,505,210,1264,0.8,998,2.4,Derwent Valley (M)
61610,43,1200,514,220,1224,0.8,949,2.3,Devonport (C)
61810,48,1020,478,160,1114,0.7,822,2.2,Dorset (M)
62010,53,758,575,100,1362,0.7,1021,2.0,Flinders (M) (Tas.)
62210,46,1083,457,180,1087,0.8,854,2.3,George Town (M)
62410,56,1083,498,190,1054,0.7,854,2.0,Glamorgan/Spring Bay (M)
62610,39,1300,561,250,1321,0.8,1019,2.3,Glenorchy (C)
62810,39,1647,718,290,2023,0.8,1439,2.3,Hobart (C)
63010,45,1300,495,230,1246,0.8,987,2.4,Huon Valley (M)
63210,47,1083,475,200,1167,0.8,995,2.4,Kentish (M)
63410,47,1000,707,128,1642,0.7,1199,2.1,King Island (M)
63610,42,1517,672,300,1694,0.8,1364,2.5,Kingborough (M)
63810,47,1300,555,235,1320,0.8,1078,2.3,Latrobe (M) (Tas.)
64010,39,1291,562,225,1362,0.8,1042,2.3,Launceston (C)
64210,45,1300,537,210,1359,0.8,1045,2.4,Meander Valley (M)
64610,46,1300,555,200,1326,0.8,1042,2.3,Northern Midlands (M)
64810,42,1300,587,260,1391,0.8,1132,2.4,Sorell (M)
70420,28,1200,375,80,959,1.3,1323,3.4,Barkly (R)
70540,30,0,261,70,745,1.4,850,3.8,Belyuen (S)
70620,28,1040,294,53,801,1.5,1218,4.2,Central Desert (R)
70700,46,1348,610,165,1327,1.0,1128,2.2,Coomalie (S)
71000,34,2167,1039,418,2385,1.0,2164,2.6,Darwin (C)
71300,25,0,242,60,671,1.9,1342,5.2,East Arnhem (R)
72200,33,1733,922,250,2081,1.0,1819,2.8,Katherine (T)
72300,37,2400,1092,400,2410,1.1,2228,2.9,Litchfield (M)
72330,29,0,271,50,642,1.5,982,3.8,MacDonnell (R)
