lga_code_2006_,lga_name_2006_,ieo_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
34150,Johnstone (S),921,169,3,26,QLD,69,5,44,844,1000,18253,4
34200,Jondaryan (S),940,274,5,42,QLD,100,7,64,817,1093,14095,3
34250,Kilcoy (S),899,90,2,14,QLD,35,3,23,870,986,3433,0
34300,Kilkivan (S),929,199,3,30,QLD,79,6,51,876,1019,3452,0
34350,Kingaroy (S),941,282,5,43,QLD,107,7,68,807,1085,12221,0
34400,Kolan (S),887,66,1,10,QLD,27,2,18,785,977,4563,0
34420,Kowanyama (S),807,13,1,2,QLD,9,1,6,807,807,1020,0
36400,Roma (T),933,219,4,33,QLD,86,6,55,885,1015,6507,0
36450,Rosalie (S),939,267,4,40,QLD,96,7,61,786,1018,9034,0
52520,Dalwallinu (S),999,532,8,80,WA ,92,7,65,944,1108,1367,0
35300,Mount Isa (C),936,243,4,37,QLD,91,6,58,839,1127,19663,1
34830,Mapoon (S),864,42,1,7,QLD,19,2,13,864,864,239,3
34850,Mareeba (S),941,276,5,42,QLD,102,7,65,834,1050,18211,6
34900,Maroochy (S),988,498,8,75,QLD,146,10,93,840,1140,142840,0
34950,Maryborough (C),895,84,2,13,QLD,33,3,21,793,1012,25703,2
35350,Mount Morgan (S),831,18,1,3,QLD,13,1,9,808,906,2984,0
35450,Mundubbera (S),904,104,2,16,QLD,41,3,26,825,980,2116,0
35500,Murgon (S),928,195,3,30,QLD,77,5,49,865,1044,3456,0
35550,Murilla (S),958,371,6,56,QLD,126,8,80,860,1114,2687,0
35600,Murweh (S),941,279,5,42,QLD,105,7,67,843,1096,4580,0
35650,Nanango (S),888,67,2,11,QLD,28,2,18,827,1271,9014,0
35670,Napranum (S),803,10,1,2,QLD,6,1,4,803,803,840,1
35700,Nebo (S),907,113,2,17,QLD,44,3,28,855,940,2523,15
36550,Sarina (S),889,68,2,11,QLD,29,2,19,836,961,10720,0
57080,Perth (C),1159,645,10,97,WA ,136,10,96,955,1292,11573,1
35730,New Mapoon (S),913,137,3,21,QLD,54,4,35,913,913,344,0
35750,Noosa (S),992,511,8,77,QLD,147,10,94,869,1157,45830,0
36470,Saibai (IC),869,45,1,7,QLD,20,2,13,869,869,337,0
36480,St Pauls (IC),909,116,2,18,QLD,45,3,29,909,909,240,0
35770,Palm Island (S),792,3,1,1,QLD,2,1,2,792,792,1982,0
35800,Paroo (S),940,272,5,41,QLD,98,7,63,882,1127,1927,0
35850,Peak Downs (S),943,294,5,45,QLD,110,7,70,907,1051,3188,0
35900,Perry (S),923,175,3,27,QLD,70,5,45,880,951,428,0
35950,Pine Rivers (S),1001,537,9,81,QLD,152,10,97,762,1164,141140,0
36050,Pittsworth (S),939,264,4,40,QLD,95,7,61,883,1044,4785,0
36070,Pormpuraaw (S),804,11,1,2,QLD,7,1,5,804,804,600,0
36900,Toowoomba (C),977,461,7,70,QLD,141,9,90,789,1177,90200,0
36950,Torres (S),980,477,8,72,QLD,143,10,91,883,1055,3233,0
37000,Townsville (C),996,526,8,79,QLD,151,10,96,842,1156,95463,3
37090,Ugar (IC),893,81,2,13,QLD,32,3,21,893,893,76,0
37110,Umagico (S),775,2,1,1,QLD,1,1,1,775,775,229,0
37120,Waggamba (S),1009,545,9,82,QLD,155,10,99,827,1103,2872,0
37150,Wambo (S),968,427,7,64,QLD,136,9,87,852,1102,5227,0
54340,Katanning (S),916,151,3,23,WA ,18,2,13,842,1139,4210,0
54410,Kellerberrin (S),939,265,4,40,WA ,31,3,22,879,1097,1181,0
54480,Kent (S),1083,617,10,93,WA ,130,10,91,1036,1145,575,0
54550,Kojonup (S),1015,557,9,84,WA ,106,8,75,925,1153,2150,0
37170,Warraber (IC),906,112,2,17,QLD,43,3,28,906,906,246,0
37200,Warroo (S),1001,538,9,81,QLD,153,10,97,873,1140,1038,0
37260,Warwick (S),921,168,3,26,QLD,68,5,44,820,1088,21536,0
37300,Weipa (T),971,436,7,66,QLD,138,9,88,939,1024,2831,0
37330,Whitsunday (S),957,366,6,55,QLD,123,8,78,868,1105,16957,3
40070,Adelaide (C),1171,651,10,98,SA ,70,10,99,1093,1243,16660,4
40120,Adelaide Hills (DC),1078,612,10,92,SA ,63,9,89,923,1205,37858,0
40220,Alexandrina (DC),959,377,6,57,SA ,35,5,50,865,1118,20713,2
40250,Anangu Pitjantjatjara (AC),853,34,1,6,SA ,1,1,2,744,911,2232,4
40310,Barossa (DC),964,406,7,61,SA ,43,7,61,846,1061,20548,0
56510,Narrogin (S),1058,600,9,90,WA ,125,9,88,1032,1097,832,0
37570,Wujal Wujal (S),806,12,1,2,QLD,8,1,6,806,806,325,0
37600,Yarrabah (S),793,4,1,1,QLD,3,1,2,793,793,2372,0
51960,Coolgardie (S),879,54,1,9,WA ,4,1,3,834,937,3800,4
37400,Winton (S),947,319,5,48,QLD,114,8,73,910,1149,1380,0
37450,Wondai (S),911,126,2,19,QLD,50,4,32,784,1048,4398,0
37500,Woocoo (S),931,211,4,32,QLD,85,6,54,868,994,3440,0
37650,Yorke (IC),876,49,1,8,QLD,22,2,14,876,876,298,0
37550,Woorabinda (S),841,24,1,4,QLD,15,1,10,841,841,851,0
40520,Berri and Barmera (DC),912,133,2,20,SA ,15,3,22,777,1019,10933,0
40700,Burnside (C),1147,644,10,97,SA ,69,10,98,1050,1215,41956,0
40910,Campbelltown (C),1012,551,9,83,SA ,60,9,85,898,1106,46160,0
41010,Ceduna (DC),934,221,4,34,SA ,21,3,30,780,1080,3572,0
41060,Charles Sturt (C),974,449,7,68,SA ,46,7,65,787,1130,100531,0
41140,Clare and Gilbert Valleys (DC),974,447,7,67,SA ,45,7,64,886,1086,8144,0
41190,Cleve (DC),989,500,8,75,SA ,51,8,72,881,1082,1897,0
41330,Coober Pedy (DC),891,70,2,11,SA ,6,1,9,829,931,1913,4
41560,Copper Coast (DC),893,80,2,12,SA ,9,2,13,799,1015,11445,0
41750,Elliston (DC),1013,553,9,83,SA ,61,9,86,927,1118,1132,0
72500,Numbulwar Numburindi (CGC),900,96,2,15,NT ,23,7,66,900,900,681,1
72530,Nyirranggulung Mardrulk Ngadberre (CGC),835,22,1,4,NT ,7,3,21,725,942,936,10
41830,Flinders Ranges (DC),931,210,4,32,SA ,20,3,29,910,997,1730,0
41960,Franklin Harbour (DC),949,329,5,50,SA ,31,5,44,914,1080,1276,0
53010,Dumbleyung (S),1046,592,9,89,WA ,122,9,86,949,1140,631,0
42030,Gawler (T),937,250,4,38,SA ,22,4,31,798,1035,18913,0
42110,Goyder (DC),959,378,6,57,SA ,36,6,51,795,1053,4184,0
42250,Grant (DC),942,289,5,44,SA ,26,4,37,805,1042,7868,0
42600,Holdfast Bay (C),1053,596,9,90,SA ,62,9,88,942,1181,33302,0
42750,Kangaroo Island (DC),963,399,6,60,SA ,41,6,58,890,1060,4260,0
43080,Karoonda East Murray (DC),995,525,8,79,SA ,56,8,79,962,1073,1164,0
43220,Kimba (DC),992,509,8,77,SA ,53,8,75,923,1111,1112,0
43360,Kingston (DC),943,297,5,45,SA ,27,4,39,872,1052,2325,0
53080,Dundas (S),898,89,2,14,WA ,8,1,6,835,986,1067,3
43570,Le Hunte (DC),993,515,8,78,SA ,54,8,77,939,1066,1313,0
43650,Light (RegC),955,360,6,54,SA ,33,5,47,879,1053,12362,0
43710,Lower Eyre Peninsula (DC),978,466,7,70,SA ,49,7,70,918,1101,4402,0
43790,Loxton Waikerie (DC),925,187,3,28,SA ,19,3,27,812,1009,11605,0
43920,Mallala (DC),902,100,2,15,SA ,11,2,16,842,950,7903,0
44060,Marion (C),990,504,8,76,SA ,52,8,74,834,1097,78701,0
44210,Mid Murray (DC),915,147,3,23,SA ,17,3,24,824,996,8037,6
44340,Mitcham (C),1101,627,10,94,SA ,66,10,93,960,1204,61852,0
44550,Mount Barker (DC),997,528,8,80,SA ,57,9,81,867,1075,26435,0
52030,Coorow (S),969,430,7,65,WA ,67,5,47,886,1124,1200,0
52100,Corrigin (S),991,507,8,76,WA ,85,6,60,931,1111,1145,0
72380,Nauiyu Nambiyu (CGC),842,25,1,4,NT ,8,3,23,842,842,395,0
44620,Mount Gambier (C),900,94,2,15,SA ,10,2,15,691,1017,23493,0
44830,Mount Remarkable (DC),976,456,7,69,SA ,47,7,67,888,1064,2842,0
45040,Murray Bridge (RC),876,50,1,8,SA ,3,1,5,755,1012,17679,4
45090,Naracoorte and Lucindale (DC),958,373,6,56,SA ,34,5,48,843,1119,8079,0
45120,Northern Areas (DC),964,405,7,61,SA ,42,6,60,813,1099,4651,0
45290,Norwood Payneham St Peters (C),1095,622,10,94,SA ,65,10,92,956,1216,33732,0
45340,Onkaparinga (C),947,316,5,48,SA ,30,5,43,731,1137,149736,0
45400,Orroroo/Carrieton (DC),998,531,8,80,SA ,58,9,82,955,1105,933,0
52590,Dandaragan (S),962,397,6,60,WA ,58,5,41,860,1118,2884,0
52660,Dardanup (S),927,191,3,29,WA ,21,2,15,874,1066,10336,0
52730,Denmark (S),1029,575,9,87,WA ,113,8,80,964,1105,4511,0
52800,Derby-West Kimberley (S),908,114,2,18,WA ,15,2,11,717,1168,6507,7
52870,Donnybrook-Balingup (S),977,459,7,69,WA ,75,6,53,879,1050,4738,0
52940,Dowerin (S),1001,539,9,81,WA ,96,7,68,933,1092,702,0
45540,Peterborough (DC),879,55,1,9,SA ,4,1,6,793,1038,1902,0
45680,Playford (C),860,39,1,6,SA ,2,1,3,736,1050,70010,0
45890,Port Adelaide Enfield (C),945,306,5,46,SA ,29,5,41,770,1104,102929,1
46090,Port Augusta (C),893,78,2,12,SA ,8,2,12,785,1000,13876,7
46300,Port Lincoln (C),920,164,3,25,SA ,18,3,26,773,1008,13602,0
46450,Port Pirie City and Dists (M),880,57,1,9,SA ,5,1,8,743,1042,17142,0
53640,Gnowangerup (S),1014,555,9,84,WA ,105,8,74,937,1143,1362,0
46510,Prospect (C),1080,615,10,93,SA ,64,10,91,913,1153,19294,0
46670,Renmark Paringa (DC),909,119,2,18,SA ,13,2,19,828,1007,9450,3
46860,Robe (DC),959,379,6,57,SA ,37,6,53,927,1075,1701,42
46970,Roxby Downs (M),973,445,7,67,SA ,44,7,62,955,983,4054,5
47140,Salisbury (C),902,102,2,16,SA ,12,2,17,754,1116,118421,1
47290,Southern Mallee (DC),994,517,8,78,SA ,55,8,78,911,1187,2135,0
47490,Streaky Bay (DC),960,385,6,58,SA ,39,6,55,904,1095,2023,0
47630,Tatiara (DC),963,398,6,60,SA ,40,6,57,871,1106,6862,0
47700,Tea Tree Gully (C),984,489,8,74,SA ,50,8,71,897,1096,95972,0
47800,The Coorong (DC),941,283,5,43,SA ,25,4,36,831,1078,5668,0
47910,Tumby Bay (DC),978,465,7,70,SA ,48,7,68,895,1113,2541,0
51310,Cambridge (T),1175,655,10,99,WA ,137,10,96,1012,1225,23756,2
51330,Canning (C),1039,586,9,88,WA ,118,9,83,808,1179,77306,0
51400,Capel (S),995,524,8,79,WA ,90,7,63,907,1084,10206,0
51470,Carnamah (S),966,416,7,63,WA ,63,5,45,882,1117,747,0
51540,Carnarvon (S),948,325,5,49,WA ,39,3,28,777,1080,5682,0
51610,Chapman Valley (S),1009,546,9,82,WA ,100,7,70,979,1054,913,0
51680,Chittering (S),957,368,6,56,WA ,52,4,37,900,1057,3520,0
53780,Gosnells (C),944,303,5,46,WA ,36,3,26,843,1067,91579,1
53850,Greenough (S),954,348,6,53,WA ,44,4,31,807,1054,14036,3
47980,Unley (C),1132,638,10,96,SA ,67,10,95,996,1192,35999,0
48050,Victor Harbor (C),953,346,6,52,SA ,32,5,46,857,1029,12015,0
48130,Wakefield (DC),938,251,4,38,SA ,23,4,33,837,1058,6371,0
53150,East Fremantle (T),1141,642,10,97,WA ,134,10,94,1087,1197,6698,0
53220,East Pilbara (S),923,177,3,27,WA ,20,2,14,751,1007,6543,17
53290,Esperance (S),956,363,6,55,WA ,49,4,35,808,1096,12965,0
53360,Exmouth (S),959,376,6,57,WA ,53,4,38,857,1004,2063,1
53430,Fremantle (C),1080,614,10,92,WA ,129,10,91,955,1203,24834,0
53500,Geraldton (C),912,136,3,21,WA ,16,2,12,778,1029,18915,0
53570,Gingin (S),937,248,4,38,WA ,28,2,20,876,1032,4319,0
48260,Walkerville (M),1135,639,10,96,SA ,68,10,96,1055,1226,6964,0
48340,Wattle Range (DC),911,124,2,19,SA ,14,2,20,774,1115,11889,0
48410,West Torrens (C),1004,542,9,82,SA ,59,9,84,898,1115,52157,0
48540,Whyalla (C),892,73,2,11,SA ,7,1,10,799,1025,21416,0
48750,Yankalilla (DC),959,380,6,57,SA ,38,6,54,839,1071,4154,0
48830,Yorke Peninsula (DC),938,253,4,38,SA ,24,4,34,687,1097,11191,0
49399,Unincorporated SA,915,146,3,22,SA ,16,3,23,689,1098,3749,5
50080,Albany (C),960,382,6,58,WA ,54,4,38,842,1116,31575,1
50210,Armadale (C),931,207,4,31,WA ,23,2,17,815,1078,50537,0
50250,Ashburton (S),934,227,4,34,WA ,24,2,17,597,976,6080,0
50280,Augusta-Margaret River (S),1006,543,9,82,WA ,98,7,69,910,1099,10352,0
50350,Bassendean (T),993,512,8,77,WA ,87,7,61,923,1056,13463,0
50420,Bayswater (C),1017,562,9,85,WA ,110,8,77,923,1146,55800,0
50490,Belmont (C),966,414,7,62,WA ,62,5,44,891,1124,30331,0
50560,Beverley (S),979,474,8,71,WA ,78,6,55,833,1103,1562,0
50630,Boddington (S),945,309,5,47,WA ,37,3,26,891,1006,1377,0
50770,Boyup Brook (S),1014,554,9,83,WA ,104,8,73,927,1127,1479,0
50840,Bridgetown-Greenbushes (S),963,400,6,60,WA ,59,5,42,865,1020,3952,0
50910,Brookton (S),968,422,7,64,WA ,65,5,46,906,1122,980,0
50980,Broome (S),976,458,7,69,WA ,74,6,52,765,1059,13058,2
51050,Broomehill (S),1016,560,9,84,WA ,108,8,76,884,1117,478,0
51120,Bruce Rock (S),1000,535,9,81,WA ,94,7,66,923,1111,952,0
51190,Bunbury (C),938,258,4,39,WA ,30,3,21,813,1117,29700,0
51260,Busselton (S),968,425,7,64,WA ,66,5,47,871,1126,25355,0
51750,Claremont (T),1183,657,10,99,WA ,138,10,97,1111,1234,8939,0
51820,Cockburn (C),977,460,7,69,WA ,76,6,54,851,1112,74473,0
51890,Collie (S),881,58,1,9,WA ,5,1,4,787,932,8611,0
54620,Kondinin (S),1011,548,9,83,WA ,101,8,71,912,1103,967,0
54690,Koorda (S),975,450,7,68,WA ,71,5,50,913,1091,430,0
54760,Kulin (S),1054,598,9,90,WA ,124,9,87,965,1164,882,0
52170,Cottesloe (T),1207,664,10,100,WA ,142,10,100,1170,1234,7257,0
52240,Cranbrook (S),1015,559,9,84,WA ,107,8,75,907,1098,1063,0
52310,Cuballing (S),999,533,8,80,WA ,93,7,66,905,1134,782,0
52380,Cue (S),875,48,1,8,WA ,3,1,3,864,930,324,0
52450,Cunderdin (S),961,391,6,59,WA ,56,4,40,847,1079,1249,0
55810,Mount Magnet (S),936,236,4,36,WA ,26,2,19,929,1006,457,0
55880,Mount Marshall (S),1043,589,9,89,WA ,120,9,84,934,1117,615,0
56620,Ngaanyatjarraku (S),849,30,1,5,WA ,2,1,2,789,943,1334,6
53710,Goomalling (S),974,446,7,67,WA ,70,5,49,907,1091,936,0
53920,Halls Creek (S),835,21,1,4,WA ,1,1,1,723,1098,3136,34
53990,Harvey (S),942,285,5,43,WA ,32,3,23,813,1060,19555,0
54060,Irwin (S),935,229,4,35,WA ,25,2,18,875,1035,3055,0
54130,Jerramungup (S),1033,580,9,87,WA ,116,9,82,935,1125,1128,0
54170,Joondalup (C),1037,583,9,88,WA ,117,9,82,919,1158,149673,0
54200,Kalamunda (S),995,523,8,79,WA ,89,7,63,859,1160,49536,0
54280,Kalgoorlie/Boulder (C),944,301,5,46,WA ,34,3,24,822,1081,28423,1
54970,Laverton (S),906,111,2,17,WA ,14,1,10,788,952,729,43
57140,Pingelly (S),973,441,7,67,WA ,69,5,49,914,1114,1168,0
57210,Plantagenet (S),979,472,8,71,WA ,77,6,54,885,1127,4484,0
57280,Port Hedland (T),954,354,6,53,WA ,45,4,32,697,1063,11957,12
57350,Quairading (S),975,454,7,68,WA ,73,6,52,890,1175,1020,0
55040,Leonora (S),922,174,3,27,WA ,19,2,14,911,929,1410,0
55110,Mandurah (C),928,196,3,30,WA ,22,2,16,795,1365,55815,1
55180,Manjimup (S),937,246,4,37,WA ,27,2,19,847,1122,9255,0
55250,Meekatharra (S),948,327,5,49,WA ,40,3,28,916,1039,1135,8
55320,Melville (C),1099,626,10,94,WA ,131,10,92,988,1211,93001,0
62410,Glamorgan/Spring Bay (M),919,160,3,24,TAS,16,6,54,820,1140,4190,0
62610,Glenorchy (C),894,82,2,13,TAS,8,3,27,794,985,43412,0
62810,Hobart (C),1118,634,10,95,TAS,29,10,97,934,1226,47701,0
63010,Huon Valley (M),933,218,4,33,TAS,21,8,71,834,1014,14001,0
55390,Menzies (S),900,91,2,14,WA ,9,1,7,836,938,216,2
55460,Merredin (S),957,367,6,55,WA ,51,4,36,854,1103,3247,0
63210,Kentish (M),893,76,2,12,TAS,6,3,21,765,993,5762,0
63410,King Island (M),949,335,6,51,TAS,24,9,81,881,1074,1639,0
63610,Kingborough (M),1039,585,9,88,TAS,28,10,94,887,1197,30839,0
63810,Latrobe (M),920,162,3,25,TAS,17,6,57,821,1008,8630,0
64010,Launceston (C),945,311,5,47,TAS,23,8,77,740,1138,62219,0
64210,Meander Valley (M),938,254,4,39,TAS,22,8,74,862,1049,18352,0
64610,Northern Midlands (M),925,186,3,28,TAS,18,7,61,817,1221,12093,0
64810,Sorell (M),926,188,3,29,TAS,19,7,64,842,1023,11925,0
65010,Southern Midlands (M),909,118,2,18,TAS,12,5,41,821,1058,5670,0
65210,Tasman (M),933,217,4,33,TAS,20,7,67,867,986,2238,0
55530,Mingenew (S),1012,552,9,83,WA ,103,8,73,936,1123,472,0
70300,Alpurrurulam (CGC),851,32,1,5,NT ,13,4,38,851,851,345,0
55600,Moora (S),966,413,7,62,WA ,61,5,43,902,1100,2411,0
59450,Wyalkatchem (S),960,384,6,58,WA ,55,4,39,895,1098,565,0
59520,Wyndham-East Kimberley (S),954,355,6,54,WA ,46,4,33,725,1080,6596,4
59590,Yalgoo (S),956,364,6,55,WA ,50,4,35,911,1088,243,0
59660,Yilgarn (S),949,332,5,50,WA ,42,3,30,855,1080,1414,0
55670,Morawa (S),983,487,8,73,WA ,80,6,56,932,1150,826,0
55740,Mosman Park (T),1144,643,10,97,WA ,135,10,95,1041,1195,8251,0
56440,Narrogin (T),949,328,5,50,WA ,41,3,29,815,1039,4238,0
55950,Mukinbudin (S),998,530,8,80,WA ,91,7,64,932,1066,577,0
56020,Mullewa (S),980,475,8,72,WA ,79,6,56,909,1061,910,0
56090,Mundaring (S),1011,549,9,83,WA ,102,8,72,839,1158,35095,2
56160,Murchison (S),975,451,7,68,WA ,72,6,51,874,1065,113,18
56230,Murray (S),916,149,3,23,WA ,17,2,12,828,1107,11970,0
56300,Nannup (S),987,495,8,75,WA ,81,6,57,917,1097,1190,0
56370,Narembeen (S),1002,541,9,81,WA ,97,7,68,948,1075,905,0
57420,Ravensthorpe (S),972,439,7,66,WA ,68,5,48,898,1087,1949,0
57490,Rockingham (C),943,296,5,45,WA ,33,3,24,783,1101,84309,0
57560,Roebourne (S),966,417,7,63,WA ,64,5,45,752,1038,16421,3
56650,Northam (T),902,101,2,16,WA ,12,1,9,808,971,6008,0
56720,Northam (S),944,302,5,46,WA ,35,3,25,837,1068,3793,0
56790,Northampton (S),938,256,4,39,WA ,29,3,21,728,1118,3206,0
56860,Nungarin (S),993,514,8,77,WA ,88,7,62,930,1080,244,0
70770,Cox Peninsula (CGC),990,503,8,76,NT ,31,9,89,990,990,294,0
56930,Peppermint Grove (S),1196,662,10,100,WA ,140,10,98,1175,1222,1582,0
57000,Perenjori (S),1008,544,9,82,WA ,99,7,70,920,1088,529,0
70790,Daguragu (CGC),803,9,1,2,NT ,4,2,12,710,865,543,0
71000,Darwin (C),1034,581,9,87,NT ,33,10,95,735,1281,66290,0
71350,Elliott District (CGC),878,52,1,8,NT ,19,6,55,878,878,420,16
72000,Jabiru (T),1035,582,9,88,NT ,34,10,98,942,1059,1136,0
72100,Jilkminggan (CGC),606,1,1,1,NT ,1,1,3,606,606,273,0
57630,Sandstone (S),904,105,2,16,WA ,13,1,10,904,904,120,0
57700,Serpentine-Jarrahdale (S),955,362,6,55,WA ,48,4,34,872,1036,12892,2
57770,Shark Bay (S),948,324,5,49,WA ,38,3,27,923,997,858,7
57840,South Perth (C),1132,637,10,96,WA ,133,10,94,1038,1215,38360,1
57910,Stirling (C),1048,594,9,89,WA ,123,9,87,850,1204,176868,0
57980,Subiaco (C),1193,660,10,99,WA ,139,10,98,948,1280,16379,0
58050,Swan (C),955,358,6,54,WA ,47,4,33,832,1122,93279,0
58120,Tambellup (S),1024,573,9,86,WA ,111,8,78,911,1155,659,0
58190,Tammin (S),989,501,8,76,WA ,84,6,59,843,1105,390,0
58260,Three Springs (S),992,510,8,77,WA ,86,7,61,907,1145,662,0
58330,Toodyay (S),963,402,7,61,WA ,60,5,42,924,1077,4113,0
58400,Trayning (S),988,497,8,75,WA ,83,6,59,868,1050,393,0
59730,York (S),987,496,8,75,WA ,82,6,58,943,1165,3114,0
60210,Break O'Day (M),908,115,2,18,TAS,11,4,37,806,1060,6068,0
60410,Brighton (M),840,23,1,4,TAS,1,1,4,725,959,14120,5
60610,Burnie (C),896,86,2,13,TAS,9,4,31,690,1058,19053,0
60810,Central Coast (M),919,159,3,24,TAS,15,6,51,819,1086,20663,0
61010,Central Highlands (M),916,150,3,23,TAS,14,5,47,819,1013,2242,3
61210,Circular Head (M),893,79,2,12,TAS,7,3,24,785,989,7954,0
61410,Clarence (C),978,468,8,71,TAS,26,9,87,739,1099,49638,2
61510,Derwent Valley (M),864,43,1,7,TAS,3,2,11,794,988,9479,0
61610,Devonport (C),898,88,2,14,TAS,10,4,34,744,1032,24014,0
61810,Dorset (M),892,74,2,12,TAS,5,2,17,802,1033,6999,0
62010,Flinders (M),981,479,8,72,TAS,27,10,91,942,1051,861,0
62210,George Town (M),869,44,1,7,TAS,4,2,14,748,1008,6526,0
58470,Upper Gascoyne (S),887,65,1,10,WA ,6,1,5,823,947,285,0
58510,Victoria Park (T),1069,607,10,91,WA ,128,9,90,879,1185,27956,4
65410,Waratah/Wynyard (M),909,120,2,18,TAS,13,5,44,796,1090,13411,0
65610,West Coast (M),862,41,1,7,TAS,2,1,7,811,922,5003,0
65810,West Tamar (M),973,442,7,67,TAS,25,9,84,786,1109,20813,0
58540,Victoria Plains (S),1044,591,9,89,WA ,121,9,85,887,1078,903,0
70200,Alice Springs (T),1010,547,9,82,NT ,32,10,92,737,1139,23891,4
58570,Vincent (T),1125,635,10,96,WA ,132,10,93,1039,1209,26879,0
58610,Wagin (S),950,338,6,51,WA ,43,4,31,869,1115,1843,0
58680,Wandering (S),1043,588,9,89,WA ,119,9,84,1007,1117,355,0
58760,Wanneroo (C),961,392,6,59,WA ,57,4,40,855,1119,110941,0
58820,Waroona (S),901,97,2,15,WA ,11,1,8,853,952,3451,0
58890,West Arthur (S),1061,602,10,91,WA ,126,9,89,926,1152,853,0
59030,Westonia (S),1024,574,9,86,WA ,112,8,79,1024,1024,213,0
59100,Wickepin (S),1029,576,9,87,WA ,114,8,80,942,1173,716,0
59170,Williams (S),1016,561,9,84,WA ,109,8,77,922,1129,866,0
59250,Wiluna (S),900,92,2,14,WA ,10,1,7,711,991,680,56
59310,Wongan-Ballidu (S),1001,536,9,81,WA ,95,7,67,942,1096,1387,0
59380,Woodanilling (S),1069,606,10,91,WA ,127,9,89,1036,1111,399,0
72200,Katherine (T),985,490,8,74,NT ,30,9,86,712,1174,8191,2
72240,Kunbarllanjnja (CGC),849,29,1,5,NT ,11,4,32,849,849,882,0
72270,Lajamanu (CGC),853,33,1,5,NT ,14,5,41,853,853,669,0
72300,Litchfield (S),979,471,8,71,NT ,28,9,81,905,1080,15555,5
72320,Ltyentye Purte (CGC),855,35,1,6,NT ,15,5,43,855,855,541,0
72340,Marngarr (CGC),797,5,1,1,NT ,2,1,6,797,797,275,17
72360,Mataranka (CGC),961,388,6,59,NT ,26,8,75,961,961,251,0
72800,Palmerston (C),968,423,7,64,NT ,27,8,78,731,1071,23718,0
73030,Pine Creek (CGC),905,107,2,17,NT ,24,7,69,905,905,346,26
73800,Tennant Creek (T),938,259,4,39,NT ,25,8,72,687,979,2921,4
74020,Thamarrurr (CGC),875,47,1,8,NT ,18,6,52,823,884,1930,0
74030,Timber Creek (CGC),892,75,2,12,NT ,22,7,63,892,892,228,0
74050,Tiwi Islands (CGC),861,40,1,6,NT ,17,5,49,844,913,2128,3
74600,Walangeri Ngumpinku (CGC),810,15,1,3,NT ,5,2,15,731,826,463,39
74650,Wallace Rockhole (CGC),834,20,1,3,NT ,6,2,18,834,834,88,0
75000,Yuendumu (CGC),883,62,1,10,NT ,20,6,58,883,883,693,1
75050,Yugul Mangi (CGC),847,27,1,5,NT ,9,3,26,813,943,1642,1
79399,Unincorporated NT,887,64,1,10,NT ,21,7,61,690,1052,30525,24
89399,Unincorporated ACT,1109,630,10,95,ACT,1,6,51,848,1318,323328,1
99399,Unincorp. Other Territories,939,266,4,40,OT ,1,6,51,796,1238,2290,0
