lga_name_2016,lga_code_2016,vfdif_sa2_nt_indst_nsp,vfdif_sa2_nt_totm,vfdif_sa2_nt_totf,vfdif_sa2_nt_totp,vfdif_sa2_act_indig_m,vfdif_sa2_act_indig_f,vfdif_sa2_act_indig_p,vfdif_sa2_act_nonind_m,vfdif_sa2_act_nonind_f,vfdif_sa2_act_nonind_p,vfdif_sa2_act_indst_nsm,vfdif_sa2_act_indst_nsf,vfdif_sa2_act_indst_nsp,vfdif_sa2_act_totm,vfdif_sa2_act_totf,vfdif_sa2_act_totp,vfdif_sa2_ot_indig_m,vfdif_sa2_ot_indig_f,vfdif_sa2_ot_indig_p,vfdif_sa2_ot_nonind_m,vfdif_sa2_ot_nonind_f,vfdif_sa2_ot_nonind_p,vfdif_sa2_ot_indst_nsm,vfdif_sa2_ot_indst_nsf,vfdif_sa2_ot_indst_nsp,vfdif_sa2_ot_totm,vfdif_sa2_ot_totf,vfdif_sa2_ot_totp,vfdif_sa2_t_indig_m,vfdif_sa2_t_indig_f,vfdif_sa2_t_indig_p,vfdif_sa2_t_nonind_m,vfdif_sa2_t_nonind_f,vfdif_sa2_t_nonind_p,vfdif_sa2_t_indst_nsm,vfdif_sa2_t_indst_nsf,vfdif_sa2_t_indst_nsp,vfdif_sa2_t_totm,vfdif_sa2_t_totf,vfdif_sa2_t_totp,vis_tot_vis_indig_m,vis_tot_vis_indig_f,vis_tot_vis_indig_p,vis_tot_vis_nonind_m,vis_tot_vis_nonind_f,vis_tot_vis_nonind_p,vis_tot_vis_indigstat_nsm,vis_tot_vis_indigstat_nsf,vis_tot_vis_indigstat_nsp,vis_tot_visitors_totm,vis_tot_visitors_totf,vis_tot_visitors_totp,lsah_eng_onl_indig_m,lsah_eng_onl_indig_f,lsah_eng_onl_indig_p,lsah_eng_onl_nonind_m,lsah_eng_onl_nonind_f,lsah_eng_onl_nonind_p,lsah_eng_on_ind_sta_nsm,lsah_eng_on_ind_sta_nsf,lsah_eng_on_ind_sta_nsp,lsah_eng_only_totm,lsah_eng_only_totf,lsah_eng_only_totp,lsah_aus_ind_lang_ind_m,lsah_aus_ind_lang_ind_f,lsah_aus_ind_lang_ind_p,lsah_aus_ind_lan_no_ind_m,lsah_aus_ind_lan_no_ind_f,lsah_aus_ind_lan_no_ind_p,lsh_aus_ind_lan_indst_nsm,lsh_aus_ind_lan_indst_nsf,lsh_aus_ind_lan_indst_nsp,lsh_austn_indig_lang_totm,lsh_austn_indig_lang_totf,lsh_austn_indig_lang_totp,saindl_se_nw_na_in_m,saindl_se_nw_na_in_f,saindl_se_nw_na_in_p,saindl_se_nw_na_no_in_m,saindl_se_nw_na_no_in_f,saindl_se_nw_na_no_in_p,saindl_se_nw_na_in_st_nsm,saindl_se_nw_na_in_st_nsf,saindl_se_nw_na_in_st_nsp,saindl_se_nw_na_totm,saindl_se_nw_na_totf,saindl_se_nw_na_totp,saindl_se_vw_wel_in_m,saindl_se_vw_wel_in_f,saindl_se_vw_wel_in_p,saindl_se_vw_we_no_in_m,saindl_se_vw_we_no_in_f,saindl_se_vw_we_no_in_p,saindl_se_vw_we_i_st_nsm,saindl_se_vw_we_i_st_nsf,saindl_se_vw_we_i_st_nsp,saindl_se_vw_we_totm,saindl_se_vw_we_totf,saindl_se_vw_we_totp,auabrigtrrl_indig_m,auabrigtrrl_indig_f,auabrigtrrl_indig_p,auabrigtrrl_no_ind_m,auabrigtrrl_no_ind_f,auabrigtrrl_no_ind_p,auabrigtrrl_indst_nsm,auabrigtrrl_indst_nsf,auabrigtrrl_indst_nsp,auabrigtrrl_totm,auabrigtrrl_totf,auabrigtrrl_totp,apaei_0_4_ind_m,apaei_0_4_ind_f,apaei_0_4_ind_p,apaei_0_4_no_ind_m,apaei_0_4_no_ind_f,apaei_0_4_no_ind_p,apaei_0_4_in_st_nsm,apaei_0_4_in_st_nsf,apaei_0_4_in_st_nsp,apaei_0_4_totm,apaei_0_4_totf,apaei_0_4_totp,apaei_5_14_ind_m,apaei_5_14_ind_f,apaei_5_14_ind_p,apaei_5_14_no_in_m,apaei_5_14_no_in_f,apaei_5_14_no_in_p,apaei_5_14_in_st_nsm,apaei_5_14_in_st_nsf,apaei_5_14_in_st_nsp,apaei_5_14_totm,apaei_5_14_totf,apaei_5_14_totp,apaei_15_19_ind_m,apaei_15_19_ind_f,apaei_15_19_ind_p,apaei_15_19_no_in_m,apaei_15_19_no_in_f,apaei_15_19_no_in_p,apaei_15_19_i_st_nsm,apaei_15_19_i_st_nsf,apaei_15_19_i_st_nsp,apaei_15_19_totm,apaei_15_19_totf,apaei_15_19_totp,apaei_20_24_ind_m,apaei_20_24_ind_f,apaei_20_24_ind_p,apaei_20_24_no_ind_m,apaei_20_24_no_ind_f,apaei_20_24_no_ind_p,apaei_20_24_in_st_nsm,apaei_20_24_in_st_nsf,apaei_20_24_in_st_nsp,apaei_20_24_totm,apaei_20_24_totf,apaei_20_24_totp,apaei_25ov_ind_m,apaei_25ov_ind_f,apaei_25ov_ind_p,apaei_25ov_no_ind_m,apaei_25ov_no_ind_f,apaei_25ov_no_ind_p,apaei_25ov_in_st_nsm,apaei_25ov_in_st_nsf,apaei_25ov_in_st_nsp,apaei_25ov_totm,apaei_25ov_totf,apaei_25ov_totp,hysc_y12_e_ind_m,hysc_y12_e_ind_f,hysc_y12_e_ind_p,hysc_y12_e_no_in_m,hysc_y12_e_no_in_f,hysc_y12_e_no_in_p,hysc_y12_e_in_st_nsm,hysc_y12_e_in_st_nsf,hysc_y12_e_in_st_nsp,hysc_y12_e_totm,hysc_y12_e_totf,hysc_y12_e_totp,hysc_y11_e_ind_m,hysc_y11_e_ind_f,hysc_y11_e_ind_p,hysc_y11_e_no_in_m,hysc_y11_e_no_in_f,hysc_y11_e_no_in_p,hysc_y11_e_in_s_nsm,hysc_y11_e_in_s_nsf,hysc_y11_e_in_s_nsp,hysc_y11_e_totm,hysc_y11_e_totf,hysc_y11_e_totp,hysc_y10_e_ind_m,hysc_y10_e_ind_f,hysc_y10_e_ind_p,hysc_y10_e_no_in_m
Waratah/Wynyard (M),65410,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,20,49,303,193,497,73,15,93,406,232,638,34,19,52,325,213,540,74,24,93,432,259,686,515,485,1000,5591,5730,11319,85,104,186,6197,6312,12513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,10,11,20,55,39,101,0,0,0,67,47,115,126,86,217,632,589,1222,13,17,27,771,687,1460,32,37,67,237,242,478,4,5,5,273,281,552,4,11,14,29,51,78,0,0,3,36,59,94,3,24,24,86,167,255,0,3,4,97,191,290,60,89,153,1205,1616,2819,10,21,35,1272,1732,3003,36,44,77,464,521,980,3,3,6,497,572,1070,143,135,276,1958
Moora (S),55600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,82,42,128,16,3,18,100,49,144,6,3,12,85,47,130,14,3,17,103,51,157,117,123,238,979,881,1855,11,10,18,1103,1016,2120,10,4,9,0,0,0,0,0,0,9,4,16,0,0,0,0,0,0,0,0,0,0,0,0,10,4,9,0,0,0,0,0,0,9,4,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,16,10,27,0,0,0,20,10,27,17,26,38,125,126,252,3,3,8,147,155,299,9,9,18,32,29,64,0,0,0,41,34,78,0,0,0,8,4,20,0,0,0,8,4,20,0,3,3,6,22,34,0,0,0,6,28,33,19,17,41,333,372,706,0,11,11,357,401,755,13,16,33,123,95,214,0,0,0,139,107,247,32,29,58,243
Subiaco (C),57980,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,25,37,307,407,717,47,137,183,372,569,940,15,25,37,318,429,742,46,141,189,385,584,967,55,70,129,6604,6889,13493,31,34,69,6690,7002,13691,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,8,0,0,0,0,0,0,3,3,3,0,0,0,125,111,234,0,0,0,124,106,234,5,8,13,870,833,1702,7,6,11,878,844,1723,9,18,23,426,482,904,3,0,6,431,502,934,11,15,27,627,586,1206,0,0,0,637,596,1230,3,11,13,699,702,1397,0,3,5,700,716,1414,33,40,72,6132,6353,12484,15,20,38,6184,6410,12599,4,10,10,348,386,740,9,7,11,365,401,767,8,10,17,527
Swan (C),58050,0,3,10,10,0,0,0,0,3,3,0,0,3,4,6,5,0,0,0,4,4,3,0,0,0,4,4,3,113,113,223,1654,1503,3154,120,102,224,1885,1719,3595,116,112,227,1710,1552,3262,124,102,225,1948,1766,3718,1688,1720,3411,46465,46434,92892,377,384,764,48536,48538,97071,55,44,93,0,0,3,0,0,0,52,45,97,7,3,5,0,0,0,0,0,0,7,3,5,41,34,80,0,0,3,0,0,0,40,40,78,18,12,29,0,0,0,0,0,0,18,12,29,37,37,77,889,866,1755,9,10,23,937,917,1854,439,430,868,8441,7740,16181,81,73,152,8961,8252,17207,142,103,240,3120,3096,6215,26,23,53,3289,3223,6510,13,29,42,1138,1313,2444,3,9,14,1149,1346,2495,16,47,61,1537,2648,4188,5,6,13,1557,2710,4266,320,396,721,23679,26313,49992,104,129,235,24105,26841,50949,162,147,314,5771,5560,11332,39,30,77,5980,5740,11722,356,358,714,11855
Morawa (S),55670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,16,49,38,86,0,0,0,58,40,99,10,7,18,50,38,86,0,0,0,58,40,105,67,45,115,290,250,537,3,0,5,365,298,664,0,5,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,3,3,0,3,0,0,0,0,0,0,3,0,3,0,0,3,3,3,5,0,0,0,3,3,5,23,9,32,38,30,74,0,0,0,58,45,102,7,6,15,22,8,37,0,0,3,36,13,53,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,11,7,0,0,0,0,13,9,9,13,20,102,117,218,0,3,3,114,124,237,4,3,10,30,33,62,0,0,0,35,33,67,23,14,34,67
Mount Magnet (S),55810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,125,64,181,40,21,59,161,85,251,4,3,9,121,64,184,40,21,59,163,85,249,52,44,100,135,107,239,3,0,3,188,156,340,0,3,5,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,7,5,17,24,13,28,0,0,0,28,16,48,0,4,3,3,0,7,0,0,0,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,5,12,45,40,89,0,0,3,48,51,98,3,5,7,11,9,18,0,0,0,9,16,28,16,10,26,40
Nungarin (S),56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,0,0,6,8,13,0,0,0,3,3,5,0,0,0,5,8,14,4,6,12,115,93,203,0,8,8,116,104,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,0,5,12,7,16,0,0,0,18,5,25,0,0,0,0,0,0,0,0,3,0,4,8,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,0,3,3,0,0,0,0,3,3,0,0,4,37,34,73,0,0,0,39,37,75,0,0,0,10,13,23,0,0,0,10,13,23,0,3,3,27
Mount Marshall (S),55880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,42,4,3,6,35,13,51,0,0,0,28,16,42,4,3,6,35,13,51,4,7,5,254,210,465,0,3,4,261,216,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,8,0,0,0,32,29,58,0,0,0,32,30,56,0,0,0,4,3,5,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,5,10,0,0,3,94,98,189,0,0,0,97,98,194,0,0,0,18,16,32,0,0,0,16,17,33,3,0,3,56
Tammin (S),58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,4,12,6,3,10,16,10,22,4,0,4,8,4,13,6,3,10,18,10,24,24,21,41,165,134,298,0,0,0,183,156,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,3,7,0,3,29,24,51,0,0,0,34,23,53,0,0,3,4,0,3,0,0,0,5,3,4,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,3,5,7,0,0,0,3,5,7,3,0,4,62,69,133,0,0,0,59,74,131,0,4,7,9,9,13,0,0,0,5,10,22,6,11,12,40
Three Springs (S),58260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,19,53,3,0,3,44,18,58,0,0,0,40,20,60,3,0,3,44,23,64,19,26,49,243,221,462,0,3,3,261,251,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,9,0,0,0,7,3,8,3,12,11,41,35,69,0,0,0,44,41,82,0,0,0,4,0,4,0,0,0,4,0,8,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,6,0,0,0,4,8,5,0,0,4,75,110,181,3,0,3,78,111,184,3,3,3,28,15,47,0,0,0,30,19,46,3,4,9,63
Mosman Park (T),55740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,13,109,161,272,4,7,12,124,177,300,9,9,13,114,172,286,4,7,12,127,189,314,37,31,66,3142,3639,6782,17,15,33,3195,3685,6874,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,49,94,0,0,0,49,49,99,5,4,14,420,622,1041,5,0,10,438,625,1065,0,12,7,248,320,566,0,0,0,249,326,577,0,0,0,135,149,277,0,0,0,135,147,286,0,0,0,149,226,375,3,0,3,150,232,380,11,9,20,2350,2662,5010,7,11,18,2362,2683,5046,0,3,7,198,242,442,0,0,0,197,250,445,8,6,15,321
Nannup (S),56300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,49,94,11,13,20,52,62,112,0,0,3,43,54,99,6,10,21,53,63,116,10,8,23,597,546,1144,11,8,18,615,557,1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,3,5,71,50,120,3,0,3,75,51,121,0,0,0,12,17,26,0,0,0,12,17,26,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,17,18,0,0,0,0,17,18,0,0,3,202,234,431,5,4,7,206,240,442,0,0,0,51,58,105,0,0,0,53,54,104,5,4,10,175
Perth (C),57080,29,32,32,65,0,0,0,12,12,25,8,9,21,23,27,48,0,0,0,0,0,0,0,0,0,0,0,0,122,79,203,2011,1404,3417,1275,826,2097,3413,2309,5723,123,79,204,2035,1422,3455,1300,830,2130,3454,2329,5782,72,67,143,5574,4438,10011,35,27,62,5684,4541,10220,10,5,16,0,0,0,0,0,0,10,5,16,0,0,0,0,0,0,0,0,0,0,0,0,10,5,16,0,0,0,0,0,0,10,5,16,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,31,39,69,0,0,0,31,45,73,0,0,0,180,191,370,0,0,3,183,192,375,4,14,18,334,355,688,0,0,0,334,368,707,10,8,18,678,742,1413,3,3,9,692,748,1435,5,8,13,870,1050,1925,10,0,7,888,1059,1946,41,45,84,7316,6681,13997,42,22,67,7401,6745,14150,14,11,19,514,398,914,7,5,9,535,411,945,23,11,37,724
Pingelly (S),57140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,23,44,4,3,9,30,25,57,0,0,3,27,23,44,4,3,9,30,25,57,61,73,138,438,405,843,17,6,20,512,487,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,9,0,0,0,3,6,11,9,14,30,49,39,87,3,0,5,61,53,117,3,0,3,9,15,24,3,0,3,10,16,24,0,0,0,3,3,3,0,0,0,3,3,3,0,3,3,4,4,8,0,0,0,4,6,13,6,4,12,118,143,264,0,3,4,120,154,277,0,0,4,51,52,99,0,0,3,52,55,104,19,25,46,139
Murchison (S),56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,34,75,16,86,89,31,127,0,0,0,20,21,34,75,16,86,89,31,127,27,23,52,26,19,45,0,0,0,47,44,94,3,8,9,0,0,0,0,0,0,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,0,0,0,0,0,0,3,8,9,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,15,0,3,3,0,0,0,3,10,17,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,5,15,18,27,0,0,0,16,20,29,7,5,6,0,4,4,0,0,0,7,4,8,10,6,15,6
Murray (S),56230,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,28,291,262,549,35,16,52,342,291,630,20,10,28,310,276,587,35,16,52,359,306,663,180,199,378,7153,7179,14331,94,82,180,7424,7468,14894,9,0,6,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,9,0,10,7,0,3,0,0,0,0,0,0,7,0,3,3,3,7,100,83,182,3,0,3,111,83,192,58,43,100,880,966,1845,14,10,24,956,1020,1979,16,17,33,296,322,622,3,3,3,314,345,661,0,4,4,72,83,153,0,0,0,70,85,155,0,10,10,73,231,305,0,4,4,73,249,320,20,36,55,1984,2381,4370,20,13,37,2024,2436,4455,17,21,41,813,875,1689,8,14,23,845,911,1754,44,51,91,2157
Narembeen (S),56370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,16,36,3,5,9,23,23,48,0,0,3,21,17,36,3,5,9,26,20,44,11,9,21,346,328,678,7,9,12,358,347,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,6,4,8,0,4,3,34,38,67,0,0,3,32,44,76,0,0,0,3,10,12,0,0,0,5,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,10,9,0,0,3,128,132,259,0,0,0,125,136,265,0,0,0,32,36,68,0,0,0,35,41,71,0,5,4,99
Nedlands (C),56580,0,3,0,8,0,0,0,3,3,9,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,19,16,33,574,577,1153,165,169,335,755,754,1514,19,16,33,588,581,1171,163,167,333,768,764,1535,37,23,63,8396,8436,16834,41,51,90,8476,8512,16987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,156,296,0,0,3,141,152,298,3,3,7,1608,1413,3016,3,7,13,1619,1426,3038,4,0,4,703,687,1389,4,3,9,716,691,1399,4,3,12,558,421,982,3,3,8,566,426,995,3,3,3,356,439,801,0,3,4,362,443,807,22,9,33,6381,6536,12921,25,21,48,6429,6568,12997,4,3,3,374,441,816,3,5,8,380,455,834,3,0,4,602
Plantagenet (S),57210,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,101,74,174,34,22,58,139,96,236,3,7,10,109,80,195,41,22,59,151,106,256,62,74,138,2081,2026,4105,16,31,48,2163,2128,4293,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,31,18,51,0,0,0,32,22,52,25,21,45,269,230,493,6,0,8,297,249,549,3,4,5,93,80,166,0,0,0,97,85,176,0,0,0,5,8,18,0,0,0,5,15,21,0,3,3,25,50,76,0,0,0,25,58,80,7,15,18,717,825,1544,5,4,9,735,847,1579,6,11,19,216,213,428,0,4,7,222,229,449,15,17,40,575
Narrogin (S),56460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,19,130,120,246,44,16,59,180,142,328,12,9,20,131,126,253,48,16,60,190,150,341,153,158,310,1928,2010,3939,27,12,39,2103,2187,4288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,4,0,0,3,30,25,49,0,0,0,31,29,58,41,39,78,263,269,534,7,0,10,316,313,627,5,10,16,96,124,222,3,4,4,104,138,250,0,0,0,13,7,18,0,0,0,13,7,18,0,3,3,27,77,98,0,0,0,25,81,108,22,25,45,662,763,1426,3,4,3,682,791,1475,12,15,20,183,237,421,0,4,6,196,258,452,26,44,70,506
Peppermint Grove (S),56930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,30,41,0,4,3,13,37,48,0,3,3,15,30,41,0,4,3,13,37,48,0,26,29,583,771,1349,3,6,9,587,799,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,12,0,0,0,7,4,12,0,13,13,96,143,238,0,0,0,96,156,250,0,13,13,47,131,180,0,0,0,47,147,193,0,0,0,34,25,58,0,3,3,34,30,61,0,0,0,12,30,50,0,0,0,12,30,50,0,3,3,433,506,940,3,6,9,434,518,952,0,3,3,21,49,71,0,0,0,21,56,76,0,3,6,42
Port Hedland (T),57280,3,9,0,9,0,0,0,0,0,3,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,130,104,239,1817,600,2418,716,202,921,2655,912,3573,135,110,243,1829,602,2435,718,202,918,2680,917,3595,958,958,1915,4470,3655,8123,58,46,110,5487,4656,10150,139,180,314,0,0,3,0,4,4,136,185,322,8,10,19,0,0,0,0,0,0,8,10,19,123,152,271,0,0,3,0,4,4,119,156,274,25,24,51,0,0,0,0,0,0,25,24,51,26,21,47,72,79,155,3,0,3,106,98,201,207,196,404,630,599,1227,10,7,22,846,799,1647,58,53,108,122,141,265,4,3,5,178,203,378,3,5,11,25,56,77,0,0,0,28,59,87,14,27,39,138,283,419,0,3,3,151,312,462,198,204,404,2016,2120,4137,20,15,36,2235,2341,4575,138,153,286,662,420,1080,3,8,10,803,572,1378,236,275,513,1155
Quairading (S),57350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,29,36,57,6,5,11,33,46,79,3,8,9,29,32,63,3,5,6,33,45,78,35,38,77,376,397,778,6,9,9,421,448,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,0,6,3,8,7,8,15,48,40,84,0,0,0,55,45,98,0,0,0,6,9,16,0,0,0,5,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,10,12,0,4,8,122,128,252,0,3,5,127,138,267,3,4,5,36,35,72,3,0,3,38,44,80,13,12,26,116
Ravensthorpe (S),57420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,211,51,266,49,5,56,261,58,322,0,3,3,218,50,266,49,5,56,263,61,326,18,9,31,763,633,1389,13,10,20,784,652,1439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,10,0,0,0,10,7,10,3,0,3,90,76,163,0,3,4,100,77,174,0,0,0,15,3,19,0,0,0,18,3,19,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,10,18,22,0,0,0,6,18,23,0,3,3,257,270,530,5,3,10,264,281,543,3,0,3,73,76,147,0,3,3,74,79,153,0,4,9,237
Rockingham (C),57490,3,15,15,26,0,0,0,17,8,27,8,0,12,26,10,33,0,0,0,0,0,0,0,0,0,0,0,0,59,42,97,1832,1464,3293,495,202,699,2387,1702,4093,57,42,99,1942,1546,3490,534,213,748,2532,1799,4333,1192,1269,2456,51238,52078,103311,375,401,777,52801,53746,106543,15,22,38,0,3,3,0,0,0,19,26,38,0,0,0,0,0,0,0,0,0,0,0,0,15,22,38,0,3,3,0,0,0,19,26,38,7,4,15,0,0,4,0,0,0,5,9,19,37,25,58,930,828,1760,4,8,13,966,865,1829,281,303,587,8290,7897,16185,73,57,129,8642,8256,16901,91,87,173,2680,2724,5401,27,30,51,2798,2839,5629,14,23,36,696,967,1663,7,5,9,718,993,1710,21,65,80,998,2337,3339,8,14,22,1023,2413,3437,254,273,533,19407,22175,41582,113,114,224,19774,22562,42337,127,128,256,6203,6088,12288,40,39,81,6371,6256,12625,240,270,513,12565
