lga_code_2016,num_pns_pres_cen_ngt_1_fam_hh,nu_pn_pre_cen_ngt_1_no_fam_hh,num_pns_pres_cen_ngt_1_tot,num_pns_pres_cen_ngt_2_fam_hh,nu_pn_pre_cen_ngt_2_no_fam_hh,num_pns_pres_cen_ngt_2_tot,num_pns_pres_cen_ngt_3_fam_hh,nu_pn_pre_cen_ngt_3_no_fam_hh,num_pns_pres_cen_ngt_3_tot,num_pns_pres_cen_ngt_4_fam_hh,nu_pn_pre_cen_ngt_4_no_fam_hh,num_pns_pres_cen_ngt_4_tot,num_pns_pres_cen_ngt_5_fam_hh,nu_pn_pre_cen_nt_5_non_fam_hh,nu_pn_pre_cen_ngt_5_tot,num_pn_pres_cen_ngt_6_fam_hh,nu_pn_pre_ce_ngt_6_no_fam_hh,num_pns_pres_cen_ngt_6_tot,tot_family_households,tot_non_family_households,tot_tot,lga_name16
21750,141,2710,2851,2561,477,3035,966,135,1097,885,80,961,451,21,475,218,24,238,5216,3443,8659,Colac-Otway (S)
21830,114,1926,2035,2030,321,2349,722,76,798,646,44,687,382,18,405,193,11,211,4092,2394,6483,Corangamite (S)
21890,955,16242,17194,14233,4028,18265,7981,1719,9703,7606,924,8529,2830,323,3152,1387,193,1575,34989,23427,58412,Darebin (C)
22110,392,5713,6106,6411,1218,7630,2024,244,2260,1774,162,1937,765,70,834,351,31,383,11717,7430,19152,East Gippsland (S)
22170,894,13995,14887,14040,2547,16592,7976,694,8669,7428,465,7892,3056,184,3242,1362,53,1420,34757,17948,52700,Frankston (C)
22250,52,1447,1500,1521,221,1736,447,49,497,392,25,414,232,5,237,111,7,119,2761,1754,4513,Gannawarra (S)
22830,378,6564,6946,6763,1254,8018,3184,405,3588,3071,256,3326,1490,113,1602,857,64,928,15752,8657,24406,Greater Shepparton (C)
22910,142,2069,2208,2050,463,2512,716,96,812,620,63,677,274,22,297,111,15,125,3912,2721,6637,Hepburn (S)
22980,33,799,832,810,122,937,254,29,277,214,16,235,112,3,117,53,7,55,1480,972,2454,Hindmarsh (S)
23110,577,8336,8911,9133,1619,10750,5383,503,5880,5267,303,5573,1955,105,2061,970,58,1022,23279,10918,34195,Hobsons Bay (C)
23190,144,2488,2628,2509,321,2827,957,84,1042,913,51,968,436,19,457,157,3,162,5110,2970,8084,Horsham (RC)
23270,830,10209,11042,14115,2084,16200,10714,818,11538,11853,692,12548,6441,371,6817,4831,243,5071,48787,14420,63210,Hume (C)
23350,143,1566,1705,2075,291,2367,813,84,901,746,43,797,340,9,343,144,7,150,4262,2004,6267,Indigo (S)
23430,1089,14902,15991,15749,2474,18225,9091,695,9787,9285,435,9722,3445,161,3606,1363,83,1443,40014,18753,58769,Kingston (C) (Vic.)
23670,867,11023,11887,14989,1794,16776,9617,550,10168,10129,362,10490,4031,139,4163,1901,50,1947,41525,13917,55442,Knox (C)
23810,542,9230,9777,8727,1564,10287,3901,458,4356,3371,256,3624,1436,95,1525,665,37,700,18636,11645,30280,Latrobe (C) (Vic.)
23940,57,1105,1169,1013,249,1258,316,44,359,245,31,278,145,10,152,86,9,95,1862,1456,3319,Loddon (S)
24130,336,3310,3651,4987,700,5689,2430,210,2638,2832,169,3001,1230,55,1288,464,38,505,12279,4487,16764,Macedon Ranges (S)
24210,739,7491,8230,11878,1330,13212,7020,451,7474,7448,306,7751,3244,154,3396,1421,59,1485,31750,9795,41541,Manningham (C)
24250,85,1073,1158,1121,234,1359,347,56,409,336,31,365,149,22,169,71,11,80,2111,1425,3537,Mansfield (S)
24330,503,8632,9135,7831,2580,10412,4568,1038,5612,4214,559,4770,1560,248,1806,872,128,1006,19553,13187,32735,Maribyrnong (C)
24410,687,9722,10405,11373,1650,13026,6418,417,6834,6725,264,6985,2814,96,2915,1161,31,1190,29181,12180,41362,Maroondah (C)
24600,1009,23346,24359,14449,10974,25424,5059,4320,9386,2648,1730,4383,828,622,1455,449,348,801,24444,41351,65795,Melbourne (C)
24650,606,6874,7480,9908,1644,11549,7661,614,8267,9040,475,9515,4169,225,4396,2665,105,2774,34045,9937,43981,Melton (C)
24780,388,6072,6460,6099,1310,7410,2703,340,3042,2457,229,2689,1231,103,1339,647,73,718,13527,8126,21649,Mildura (RC)
24850,253,3223,3475,4082,713,4798,2192,221,2416,2225,183,2407,1098,82,1176,551,42,593,10396,4467,14864,Mitchell (S)
24900,187,3303,3498,3776,686,4456,1374,130,1503,1156,82,1238,649,39,695,325,26,350,7471,4266,11733,Moira (S)
24970,949,12394,13347,16620,2897,19523,10717,1594,12311,11228,1212,12446,4329,523,4857,2123,310,2435,45977,18934,64913,Monash (C)
25060,750,11949,12704,11977,2616,14600,6624,891,7517,6841,450,7293,2708,150,2855,989,67,1049,29883,16128,46010,Moonee Valley (C)
25150,180,2639,2816,3415,537,3953,1691,134,1821,1814,104,1913,866,38,903,416,18,437,8385,3466,11849,Moorabool (S)
25250,1057,17288,18344,16278,4568,20844,8771,1949,10719,8201,1081,9284,3130,398,3528,1754,210,1966,39197,25491,64688,Moreland (C)
25340,1230,16069,17293,19215,2723,21934,7908,625,8530,7981,416,8399,3401,155,3555,1324,69,1393,41053,20053,61110,Mornington Peninsula (S)
17350,31,719,746,805,117,919,280,28,303,244,8,246,143,3,142,98,3,99,1597,869,2463,Temora (A)
17400,51,1036,1088,939,240,1184,273,48,320,221,33,246,125,12,131,67,3,72,1674,1375,3050,Tenterfield (A)
22670,635,10541,11170,11353,2133,13484,8490,969,9462,7804,693,8497,4150,409,4555,3697,300,3999,36124,15047,51171,Greater Dandenong (C)
22750,1579,25109,26691,26509,4414,30923,12461,1297,13757,11931,761,12687,5107,351,5456,2087,199,2286,59672,32128,91802,Greater Geelong (C)
25430,144,2561,2711,2495,482,2980,848,114,960,756,49,801,324,19,342,122,16,140,4691,3244,7933,Mount Alexander (S)
25490,108,1563,1667,2036,335,2369,754,59,809,752,63,812,435,39,470,214,21,238,4296,2077,6372,Moyne (S)
25620,109,1716,1822,1880,345,2226,627,69,694,585,45,629,231,24,254,116,11,131,3542,2208,5753,Murrindindi (S)
25710,397,2885,3283,5573,485,6052,3587,153,3742,4555,146,4699,1917,63,1979,659,23,681,16680,3760,20438,Nillumbik (S)
25810,69,1730,1803,1580,285,1871,571,77,640,438,23,464,213,22,232,76,16,93,2949,2159,5105,Northern Grampians (S)
25900,1132,20011,21141,13051,5408,18457,4613,1315,5927,3166,463,3625,942,151,1088,317,45,358,23217,27387,50601,Port Phillip (C)
25990,56,941,997,939,159,1098,314,41,352,250,18,272,126,12,139,82,3,84,1766,1176,2943,Pyrenees (S)
26080,36,438,471,460,90,547,109,16,117,89,6,94,42,9,51,16,0,14,746,548,1296,Queenscliffe (B)
26170,191,3334,3529,3800,664,4469,1282,130,1416,1206,96,1304,632,42,675,312,22,332,7428,4291,11718,South Gippsland (S)
26260,115,2105,2213,2160,292,2459,769,60,830,647,33,675,332,8,341,141,11,157,4164,2507,6667,Southern Grampians (S)
26350,904,16226,17126,12401,4615,17014,4766,1364,6133,4219,495,4721,1717,176,1894,478,51,533,24489,22926,47417,Stonnington (C)
26430,94,1434,1534,1515,281,1798,480,62,541,372,30,398,164,14,180,78,5,83,2703,1825,4530,Strathbogie (S)
26490,256,2322,2572,3278,541,3820,1396,146,1546,1753,107,1860,787,45,832,235,15,252,7703,3178,10881,Surf Coast (S)
26610,107,2293,2402,2223,641,2864,976,200,1182,825,109,941,486,79,569,245,33,278,4871,3359,8234,Swan Hill (RC)
26670,60,726,788,857,150,1010,254,27,279,230,20,249,129,9,139,45,5,44,1574,929,2502,Towong (S)
26700,205,3468,3671,3610,569,4185,1377,106,1486,1324,81,1411,621,42,659,238,17,260,7377,4282,11664,Wangaratta (RC)
26730,186,3980,4168,3893,736,4628,1662,217,1877,1591,139,1727,737,65,798,308,38,347,8377,5172,13548,Warrnambool (C)
26810,344,5069,5413,5328,924,6254,2060,213,2276,1840,132,1969,935,87,1020,384,24,406,10887,6451,17339,Wellington (S)
26890,37,539,570,541,74,608,186,15,198,148,6,150,95,0,95,31,3,32,1024,635,1658,West Wimmera (S)
26980,963,14067,15026,15338,2604,17940,9359,1152,10512,10007,688,10697,3977,365,4337,1694,227,1919,41326,19103,60430,Whitehorse (C)
27070,889,10573,11467,16377,2332,18706,11957,924,12877,12993,696,13681,5996,309,6301,3338,153,3495,51550,14982,66528,Whittlesea (C)
27170,293,3860,4155,4378,781,5160,2102,183,2287,2027,124,2154,880,51,932,409,31,444,10091,5041,15130,Wodonga (C)
27260,1045,10325,11372,15449,2457,17902,13333,1042,14369,14128,800,14929,6625,352,6985,4543,193,4736,55128,15169,70297,Wyndham (C)
27350,816,13025,13839,10376,4581,14956,4013,1741,5754,2922,824,3751,877,234,1107,377,79,460,19384,20482,39867,Yarra (C)
27450,987,11065,12048,15726,1905,17633,8469,510,8979,8938,383,9326,4034,172,4203,1848,71,1912,39998,14102,54097,Yarra Ranges (S)
27630,46,987,1028,927,134,1056,279,32,311,250,20,270,124,11,134,60,0,67,1690,1178,2868,Yarriambiack (S)
29399,10,165,174,24,168,199,16,76,89,13,111,119,9,72,81,0,82,84,73,672,746,Unincorporated Vic
30250,0,58,58,37,9,49,24,14,38,30,3,33,22,0,22,90,0,87,208,79,284,Aurukun (S)
30300,30,470,502,498,161,661,202,18,221,183,26,212,112,17,129,52,3,57,1079,699,1778,Balonne (S)
30370,92,1423,1521,1552,503,2057,702,102,804,703,58,762,330,30,361,207,18,226,3596,2136,5730,Banana (S)
30410,33,399,427,356,236,593,127,19,149,123,15,137,61,5,62,29,3,32,726,676,1402,Barcaldine (R)
30450,6,69,75,38,34,71,12,5,13,9,0,9,6,0,4,0,0,0,63,112,172,Barcoo (S)
30760,21,255,276,261,93,349,88,7,94,80,3,87,36,3,38,21,0,20,500,359,862,Blackall-Tambo (R)
34710,44,518,565,403,457,860,178,36,214,128,15,148,82,9,93,37,8,44,878,1043,1920,Longreach (R)
34770,1352,10239,11590,12560,2660,15216,6391,706,7095,5695,445,6136,2610,153,2765,1257,67,1318,29853,14269,44125,Mackay (R)
34800,11,107,122,71,88,157,20,6,29,32,5,34,14,0,19,18,0,19,161,211,372,McKinlay (S)
34830,0,22,22,12,14,27,11,4,14,6,0,6,15,0,15,15,0,15,59,39,96,Mapoon (S)
34860,114,1372,1482,1334,499,1830,626,96,719,586,65,651,279,33,310,146,11,157,3071,2076,5149,Maranoa (R)
34880,173,2248,2425,2383,798,3182,960,158,1123,876,144,1028,442,64,506,312,41,351,5158,3458,8610,Mareeba (S)
35010,2729,31156,33883,44847,7364,52215,24032,1998,26028,23673,1199,24871,10884,572,11460,6452,309,6761,112615,42598,155216,Moreton Bay (R)
35250,3,56,60,43,5,55,27,4,37,35,3,35,25,0,28,67,0,69,201,78,281,Mornington (S)
17100,188,2324,2517,2793,780,3574,2328,407,2737,2304,328,2634,1085,168,1249,736,97,833,9434,4108,13543,Strathfield (A)
17150,1435,16355,17792,21769,2804,24571,12544,741,13284,14105,442,14544,6268,174,6437,2468,76,2540,58577,20585,79167,Sutherland Shire (A)
17200,1931,37057,38989,23456,11921,35381,7741,4342,12080,4838,2556,7391,1487,986,2468,872,814,1688,40324,57671,98001,Sydney (C)
17310,387,6326,6708,6837,1311,8150,3044,348,3393,2798,214,3016,1325,109,1437,706,49,753,15096,8367,23459,Tamworth Regional (A)
22310,894,14074,14971,13801,2922,16725,7992,1111,9104,8547,602,9152,3223,236,3451,1212,109,1323,35674,19052,54727,Glen Eira (C)
22410,117,2536,2657,2661,458,3120,930,111,1038,833,57,890,354,29,382,147,14,160,5038,3209,8250,Glenelg (S)
22490,133,1297,1427,2255,268,2529,1078,76,1151,1385,57,1443,674,33,707,291,7,298,5817,1737,7558,Golden Plains (S)
22620,706,12074,12781,12711,2410,15119,5781,715,6496,5300,405,5702,2494,156,2657,1127,86,1220,28125,15848,43969,Greater Bendigo (C)
35300,114,1893,2007,1611,678,2289,953,191,1146,859,146,1003,458,63,515,309,34,341,4298,3002,7303,Mount Isa (C)
35600,38,542,586,489,221,715,204,31,232,197,16,207,94,9,100,60,3,62,1075,820,1894,Murweh (S)
35670,0,47,47,35,8,47,33,3,35,32,0,32,28,0,26,60,0,61,188,62,250,Napranum (S)
35740,554,5146,5692,7219,1903,9120,2757,334,3096,2444,205,2643,989,69,1057,461,41,500,14423,7689,22110,Noosa (S)
