lga_name_2016,lga_code_2016,sme_usl_ad_1_yr_ago_as_2016_m,sme_usl_ad_1_yr_ago_as_2016_f,sme_usl_ad_1_yr_ago_as_2016_p,dif_usl_ad_1_yr_ago_sme_sa2_m,dif_usl_ad_1_yr_ago_sme_sa2_f,dif_usl_ad_1_yr_ago_sme_sa2_p,dif_us_ad_1_ago_dif_sa2_nsw_m,dif_us_ad_1_ago_dif_sa2_nsw_f,dif_us_ad_1_ago_dif_sa2_nsw_p,dif_us_ad_1_ago_dif_sa2_vic_m,dif_us_ad_1_ago_dif_sa2_vic_f,dif_us_ad_1_ago_dif_sa2_vic_p,dif_us_ad_1_ago_dif_sa2_qld_m,dif_us_ad_1_ago_dif_sa2_qld_f,dif_us_ad_1_ago_dif_sa2_qld_p,dif_us_ad_1_ago_dif_sa2_sa_m,dif_us_ad_1_ago_dif_sa2_sa_f,dif_us_ad_1_ago_dif_sa2_sa_p,dif_us_ad_1_ago_dif_sa2_wa_m,dif_us_ad_1_ago_dif_sa2_wa_f,dif_us_ad_1_ago_dif_sa2_wa_p,dif_us_ad_1_ago_dif_sa2_tas_m,dif_us_ad_1_ago_dif_sa2_tas_f,dif_us_ad_1_ago_dif_sa2_tas_p,dif_us_ad_1_ago_dif_sa2_nt_m,dif_us_ad_1_ago_dif_sa2_nt_f,dif_us_ad_1_ago_dif_sa2_nt_p,dif_us_ad_1_ago_dif_sa2_act_m,dif_us_ad_1_ago_dif_sa2_act_f,dif_us_ad_1_ago_dif_sa2_act_p,dif_us_ad_1_ago_dif_sa2_ot_m,dif_us_ad_1_ago_dif_sa2_ot_f,dif_us_ad_1_ago_dif_sa2_ot_p,dif_us_ad_1_ago_dif_sa2_tot_m,dif_us_ad_1_ago_dif_sa2_tot_f,dif_us_ad_1_ago_dif_sa2_tot_p,difnt_usl_add_1_yr_ago_os_m,difnt_usl_add_1_yr_ago_os_f,difnt_usl_add_1_yr_ago_os_p,difnt_usl_add_1_yr_ago_ns_m,difnt_usl_add_1_yr_ago_ns_f,difnt_usl_add_1_yr_ago_ns_p,difnt_usl_add_1_yr_ago_tot_m,difnt_usl_add_1_yr_ago_tot_f,difnt_usl_add_1_yr_ago_tot_p,n_stated_m,n_stated_f,n_stated_p,tot_m,tot_f,tot_p
Port Macquarie-Hastings (A),16380,28713,31207,59923,1772,2039,3810,2878,3134,6010,84,81,164,303,290,597,23,29,55,38,36,75,24,14,44,18,21,33,36,39,73,0,0,0,3404,3642,7045,153,165,324,82,93,178,5405,5947,11357,3225,3369,6588,37346,40522,77866
Port Stephens (A),16400,26151,26728,52878,1603,1719,3323,2535,2625,5159,79,75,160,176,178,354,36,29,65,37,44,83,14,18,33,38,44,84,31,33,65,0,0,0,2947,3046,5994,143,138,278,91,106,192,4782,5006,9791,3094,3093,6188,34024,34832,68862
Queanbeyan-Palerang Regional (A),16490,21286,21076,42361,758,815,1565,1577,1623,3200,120,104,217,148,150,300,48,38,82,43,44,90,15,10,17,25,35,64,933,938,1871,0,0,0,2908,2944,5846,264,246,512,60,47,110,3987,4052,8043,2479,2403,4885,27751,27528,55279
Randwick (C),16550,47662,50834,98497,1890,1978,3865,6454,6858,13316,226,256,482,233,263,497,44,60,99,133,118,249,13,19,35,28,22,56,93,101,189,0,0,0,7226,7699,14924,3519,3763,7277,143,128,276,12773,13571,26345,7916,6341,14260,68361,70738,139097
Richmond Valley (A),16610,8744,8892,17633,541,581,1123,593,610,1206,15,18,38,156,159,318,4,4,10,21,16,35,7,3,8,4,5,14,0,0,0,0,0,0,805,816,1619,28,35,62,24,30,50,1387,1463,2852,1049,1016,2058,11181,11364,22553
Rockdale (C),16650,40384,41830,82208,1363,1262,2630,4768,4743,9510,93,87,179,115,102,222,31,21,56,60,52,113,10,14,22,17,16,31,31,48,76,3,0,5,5127,5080,10206,2028,2099,4122,122,114,239,8637,8558,17198,4344,4258,8601,53364,54644,108010
Ryde (C),16700,42547,45056,87603,1619,1689,3303,5403,5708,11110,145,140,285,166,156,318,64,64,121,84,69,147,21,11,27,8,12,16,45,40,89,0,0,0,5931,6192,12122,2213,2561,4773,98,83,182,9863,10523,20388,3443,3547,6988,55849,59124,114971
Shellharbour (C),16900,26681,27956,54636,930,989,1913,2592,2845,5439,30,23,56,109,93,204,10,7,15,20,26,48,3,4,7,8,6,13,21,17,42,0,0,0,2799,3030,5824,147,147,296,72,54,130,3944,4215,8163,2414,2455,4865,33036,34627,67664
Shoalhaven (C),16950,37265,38584,75847,2161,2421,4578,3527,3703,7234,91,97,187,209,210,420,23,25,53,64,63,123,23,30,51,36,28,67,121,129,255,10,10,20,4105,4300,8402,204,242,444,120,126,246,6589,7088,13679,4938,4255,9191,48786,49926,98713
Singleton (A),17000,8862,8648,17511,625,655,1278,637,619,1260,43,10,56,157,97,258,21,4,29,36,23,66,13,0,15,20,15,33,12,8,27,0,0,0,952,788,1738,37,45,76,26,30,59,1644,1514,3155,1065,985,2050,11567,11148,22718
Snowy Monaro Regional (A),17040,7789,7416,15204,557,553,1106,512,496,1014,51,38,92,66,57,124,5,12,18,5,11,15,5,3,9,9,16,18,75,66,143,0,0,0,729,708,1435,82,61,145,16,14,36,1380,1334,2719,1196,931,2129,10370,9686,20051
Snowy Valleys (A),17080,5492,5482,10970,363,381,741,322,321,644,33,32,66,48,42,96,3,0,3,11,17,21,0,3,3,3,0,3,3,14,18,0,0,0,420,428,850,35,31,59,10,6,17,818,848,1668,885,723,1607,7198,7050,14250
The Hills Shire (A),17420,63629,65750,129377,1222,1244,2473,6448,6587,13031,140,125,269,159,167,324,44,45,88,86,78,163,4,8,13,15,8,25,49,42,91,4,0,3,6953,7058,14007,1116,1300,2419,85,85,163,9379,9683,19068,3655,3604,7260,76663,79039,155702
Tweed (A),17550,33203,35556,68757,1628,1801,3433,2622,2890,5515,163,162,327,1410,1563,2969,25,27,56,74,83,155,36,29,68,40,42,82,33,25,58,0,0,6,4397,4828,9229,278,260,540,117,131,252,6426,7027,13446,4040,4275,8315,43667,46854,90518
Upper Hunter Shire (A),17620,5341,5455,10801,362,368,726,393,412,804,16,20,38,38,14,55,0,0,4,3,7,11,0,3,4,3,3,3,0,0,0,0,0,0,458,461,922,27,36,62,19,20,37,861,885,1745,688,720,1409,6889,7063,13950
Upper Lachlan Shire (A),17640,3125,3038,6167,144,143,285,189,199,389,0,5,5,10,3,17,0,0,0,0,0,0,0,0,0,0,0,3,29,33,66,0,0,0,236,245,474,10,5,14,6,4,18,390,399,792,351,310,661,3871,3747,7621
Uralla (A),17650,2400,2546,4947,84,104,184,182,191,374,0,0,4,18,20,41,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,203,218,419,3,11,16,3,10,7,299,334,630,208,217,432,2910,3102,6004
Wagga Wagga (C),17750,22479,23455,45933,1224,1406,2626,2874,3161,6039,222,227,445,311,296,604,74,53,130,57,54,113,22,18,42,39,42,83,76,74,145,0,0,3,3680,3927,7604,212,232,450,77,52,127,5192,5608,10801,2412,2415,4825,30085,31481,61561
Walcha (A),17850,1210,1195,2411,73,62,139,61,70,126,0,0,0,7,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,78,147,3,7,7,0,0,0,141,153,290,180,182,359,1529,1527,3055
Walgett (A),17900,2411,2108,4520,139,148,290,135,146,284,6,9,13,21,18,34,3,4,5,0,3,5,4,0,4,3,0,6,0,0,0,0,0,0,175,180,361,6,3,12,19,16,34,339,347,692,445,391,835,3196,2849,6046
Warren (A),17950,1069,1082,2157,43,44,82,66,44,114,0,0,0,7,3,10,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,73,57,128,3,0,3,3,0,4,117,97,220,154,161,315,1339,1348,2691
Warrumbungle Shire (A),18020,3636,3590,7223,205,230,435,200,211,410,3,4,10,7,18,32,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,219,239,460,8,19,23,15,3,18,441,492,933,569,570,1134,4643,4654,9295
Waverley (A),18050,22062,23311,45372,1130,1118,2246,2998,3297,6297,124,136,260,104,125,227,20,16,33,70,80,154,3,0,11,9,11,26,21,23,45,3,0,4,3355,3699,7054,1413,1533,2943,85,67,153,5983,6415,12397,3966,4188,8151,32015,33909,65921
Weddin (A),18100,1457,1454,2912,78,75,151,72,70,139,0,0,3,3,9,16,0,0,0,0,0,3,0,0,0,0,0,0,3,4,10,0,0,0,88,90,176,4,11,11,0,3,9,170,174,341,184,189,373,1819,1813,3630
Wentworth (A),18200,2679,2524,5203,109,121,229,61,66,134,122,150,274,8,10,16,25,16,40,5,3,16,0,0,0,8,4,10,0,0,0,0,0,0,230,254,479,7,4,9,45,37,81,383,416,796,391,319,709,3458,3251,6710
Western Plains Regional (A),18230,17786,18767,36548,991,1112,2099,2055,2241,4296,57,67,126,109,134,250,21,16,40,22,29,52,3,3,6,13,9,23,16,11,26,0,0,0,2294,2518,4811,144,153,299,54,38,90,3482,3822,7300,2953,2569,5516,24217,25153,49368
Willoughby (C),18250,26899,29141,56040,1029,1093,2122,3119,3432,6546,86,78,164,97,103,199,22,34,52,49,42,86,5,12,18,20,8,27,29,25,52,0,0,0,3413,3729,7148,1508,1725,3234,40,53,90,5990,6594,12591,2324,2454,4782,35217,38196,73408
Wingecarribee (A),18350,17541,19210,36757,794,880,1676,1978,2211,4188,43,39,80,69,92,155,3,7,11,16,12,28,12,16,22,12,6,12,37,26,60,0,0,0,2157,2410,4571,174,168,339,50,53,107,3180,3515,6689,1945,2068,4013,22668,24794,47459
Wollondilly (A),18400,19589,19665,39251,579,584,1160,1976,2071,4052,19,20,38,34,46,82,4,3,8,11,14,27,4,0,4,0,3,3,8,8,21,0,0,0,2064,2162,4227,68,71,136,43,37,78,2751,2850,5598,1572,1516,3086,23903,24027,47935
Wollongong (C),18450,78987,81517,160507,2734,2775,5513,8163,8551,16711,139,144,281,218,196,408,43,27,74,100,79,179,17,22,40,39,33,66,98,106,203,0,0,0,8813,9153,17964,1464,1277,2740,199,174,379,13220,13376,26594,7172,7068,14242,99378,101966,201341
Woollahra (A),18500,17711,20147,37852,780,916,1690,2627,3048,5675,114,128,236,87,128,218,30,38,62,63,64,118,3,7,9,7,5,7,37,43,80,19,3,21,2967,3454,6430,706,917,1628,45,43,91,4508,5338,9839,2709,3218,5925,24925,28698,53620
Yass Valley (A),18710,6301,6509,12807,268,293,566,268,294,563,8,10,22,20,28,53,8,5,18,15,16,30,3,4,5,3,0,5,307,329,639,0,0,3,637,693,1331,30,34,62,13,12,29,945,1033,1978,592,586,1175,7839,8121,15963
Unincorporated NSW,19399,439,385,818,7,6,18,27,27,52,0,5,5,3,3,4,4,5,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,33,38,73,0,3,7,0,0,0,49,48,99,70,47,120,556,485,1042
No usual address (NSW),19499,1571,849,2420,430,257,688,1715,1489,3200,142,134,269,234,218,450,41,40,80,79,59,140,18,18,38,12,20,32,32,22,54,3,0,4,2271,1994,4263,508,493,1001,151,96,243,3356,2845,6200,2379,1210,3591,7308,4904,12213
Migratory - Offshore - Shipping (NSW),19799,138,182,322,0,0,0,6,19,29,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,31,7,3,6,0,0,0,14,21,43,22,32,52,171,239,412
Alpine (S),20110,4811,4902,9717,288,308,605,61,69,127,238,251,482,27,30,61,6,9,15,12,19,29,4,8,15,3,7,14,0,0,3,0,0,0,355,387,741,23,46,68,7,4,9,669,748,1418,540,563,1107,6027,6214,12242
Ararat (RC),20260,4294,4283,8578,295,309,606,17,11,30,263,238,497,14,14,30,11,12,20,18,15,36,4,3,9,3,3,3,0,0,0,0,0,0,327,301,620,25,47,71,5,10,17,652,667,1315,1144,460,1597,6088,5405,11493
Ballarat (C),20570,36798,39648,76451,1720,1874,3601,126,129,252,4852,5466,10323,151,174,323,69,82,153,66,60,127,32,35,67,24,37,61,17,19,34,0,0,0,5348,5995,11342,308,326,636,86,85,167,7459,8277,15741,3916,4298,8214,48175,52233,100405
Banyule (C),20660,47308,50237,97542,1070,1085,2156,195,142,333,4713,4935,9649,180,148,330,53,48,101,66,75,139,15,30,43,24,37,63,37,28,71,0,0,0,5287,5444,10733,763,849,1610,84,75,162,7211,7450,14661,3926,4201,8127,58436,61896,120330
Bass Coast (S),20740,12003,12725,24722,1035,1159,2196,39,54,99,1050,1154,2199,55,58,117,14,9,21,21,28,47,12,11,15,20,18,35,7,0,4,0,0,0,1209,1331,2543,69,68,136,42,32,77,2358,2600,4954,1385,1449,2827,15738,16762,32505
Baw Baw (S),20830,18196,19048,37245,1026,1128,2153,52,61,112,1748,2010,3758,72,81,150,13,25,40,34,31,64,9,16,24,9,12,18,6,10,13,0,0,0,1938,2242,4182,73,82,157,43,40,82,3082,3494,6575,1974,2119,4096,23249,24669,47915
Bayside (C),20910,36152,39775,75929,1084,1138,2219,173,181,356,3927,4255,8180,115,121,237,31,43,74,62,62,126,9,11,20,9,18,24,17,18,40,3,0,0,4353,4714,9072,795,937,1732,52,70,123,6283,6860,13149,3362,3796,7156,45800,50434,96230
Benalla (RC),21010,5231,5532,10766,371,420,791,37,52,87,309,361,671,21,24,45,3,3,5,7,5,10,3,6,11,3,10,13,0,0,4,0,0,0,388,454,838,13,17,30,8,8,18,784,894,1678,637,663,1300,6653,7088,13738
Boroondara (C),21110,61207,66820,128024,1855,2004,3859,286,300,580,7659,8260,15926,229,248,478,118,106,223,169,151,321,47,47,92,16,28,48,72,82,152,0,0,0,8586,9231,17819,2132,2508,4640,111,111,219,12686,13854,26540,5550,5742,11294,79440,86419,165863
Brimbank (C),21180,77031,78075,155106,1855,1651,3499,227,183,405,6952,6427,13375,167,160,321,100,68,168,83,67,152,18,29,49,37,34,74,20,22,44,0,0,3,7609,6987,14597,1738,1871,3613,147,159,306,11351,10669,22014,7574,7162,14739,95952,95906,191865
Buloke (S),21270,2516,2452,4968,119,117,236,5,7,9,107,120,229,4,11,19,9,7,9,0,3,8,0,3,7,0,0,0,0,0,0,0,0,0,134,151,285,8,11,19,6,3,9,266,284,541,335,311,650,3117,3040,6160
Campaspe (S),21370,14578,14854,29429,842,885,1729,163,183,343,720,795,1517,62,54,116,11,15,27,19,15,33,14,11,25,9,5,13,4,3,7,0,0,0,998,1084,2086,38,59,93,48,42,92,1934,2072,4004,1585,1663,3248,18092,18591,36680
Cardinia (S),21450,35490,36373,71866,1221,1378,2599,127,108,231,4797,5149,9951,113,102,218,27,22,45,41,43,82,13,10,18,17,20,36,3,9,14,0,0,0,5131,5462,10589,296,330,623,83,71,151,6725,7238,13961,3409,3452,6857,45626,47056,92691
Casey (C),21610,116694,117916,234614,2584,2596,5178,352,356,709,14037,14092,28126,290,263,552,171,148,324,176,163,341,53,64,117,38,37,73,44,43,87,3,0,3,15160,15165,30328,2011,2383,4397,246,214,460,20002,20359,40366,10036,9798,19835,146733,148074,294813
Central Goldfields (S),21670,5114,5236,10352,263,281,540,20,26,42,388,400,788,10,13,28,7,5,16,3,0,7,3,3,5,3,5,12,0,0,0,0,0,0,439,460,902,12,11,30,8,9,17,723,760,1479,515,546,1064,6350,6546,12893
Colac-Otway (S),21750,8307,8296,16603,548,539,1085,20,31,55,496,551,1050,22,20,47,13,17,27,12,12,19,7,3,19,8,11,19,0,0,0,0,0,0,588,646,1240,42,50,97,15,11,31,1194,1247,2441,855,846,1701,10359,10392,20751
Corangamite (S),21830,6507,6395,12900,331,334,663,19,17,38,327,340,669,23,21,48,5,10,15,6,9,20,3,3,8,13,4,19,0,0,0,0,0,0,401,415,816,22,23,44,9,8,21,766,783,1549,745,708,1454,8012,7884,15900
Darebin (C),21890,52561,56099,108661,1515,1602,3122,313,363,676,6941,7632,14573,200,225,423,112,111,220,131,120,249,51,49,96,32,46,79,43,54,94,0,0,0,7820,8594,16417,1836,2016,3850,187,200,394,11362,12423,23781,6154,6398,12551,70072,74912,144988
East Gippsland (S),22110,17071,17554,34626,1087,1224,2311,130,136,270,1133,1186,2315,88,113,204,31,31,59,40,39,82,8,3,14,22,16,40,14,13,20,0,0,0,1461,1544,3006,47,66,115,55,42,95,2650,2875,5532,2172,2270,4441,21894,22708,44601
Frankston (C),22170,50862,53412,104271,1473,1584,3051,130,130,263,5719,6084,11801,149,149,295,21,30,50,60,57,118,21,27,52,21,25,42,12,16,29,0,0,0,6136,6518,12661,400,505,903,150,134,279,8158,8738,16894,5470,5738,11212,64485,67890,132377
Gannawarra (S),22250,4280,4315,8594,214,234,445,32,40,70,153,173,322,25,21,45,3,0,5,6,6,13,0,0,0,4,3,7,0,3,3,0,0,0,222,246,465,3,3,10,11,12,21,451,491,944,474,445,916,5196,5246,10449
Greater Shepparton (C),22830,24034,24357,48393,1324,1432,2755,125,121,252,1935,2060,3997,108,109,221,36,35,68,39,27,63,19,28,47,30,21,50,7,5,11,0,0,0,2298,2414,4704,279,338,613,54,53,111,3948,4236,8187,3315,3135,6448,31287,31732,63026
Hepburn (S),22910,5869,6142,12004,233,290,526,21,28,47,424,491,910,19,20,38,3,3,5,5,14,23,3,0,0,3,3,10,0,0,0,0,0,0,484,558,1041,23,35,60,9,15,23,746,903,1654,714,828,1542,7324,7873,15196
Hindmarsh (S),22980,2346,2351,4691,102,126,225,10,11,21,98,95,193,8,5,11,19,10,28,3,0,8,0,0,0,6,7,8,0,0,3,0,0,0,135,131,267,11,11,18,4,10,12,251,271,520,230,234,463,2819,2848,5674
Hobsons Bay (C),23110,33890,35257,69145,1182,1245,2425,158,168,333,3430,3435,6864,116,128,239,42,45,86,80,78,155,18,26,42,18,11,30,18,22,35,0,0,0,3865,3922,7790,665,709,1371,65,86,147,5777,5963,11738,3308,3353,6664,42976,44573,87547
Horsham (RC),23190,7613,7870,15481,640,805,1439,14,17,35,376,423,801,21,18,39,36,33,67,20,20,36,3,0,3,12,11,19,0,0,0,0,0,0,475,526,1006,30,36,66,14,24,39,1160,1386,2548,692,698,1385,9463,9953,19416
Hume (C),23270,76476,77553,154035,2310,2296,4609,349,348,706,8085,8013,16098,183,185,366,82,86,170,88,69,156,25,27,53,19,14,32,12,24,42,5,0,5,8856,8770,17624,1750,1957,3707,146,127,273,13062,13153,26211,7215,6979,14195,96754,97686,194443
Indigo (S),23350,6245,6570,12817,257,281,536,151,169,321,313,359,671,28,24,55,5,4,5,17,17,30,0,6,6,3,8,13,8,10,18,0,0,0,523,586,1116,14,25,34,14,15,22,806,905,1706,742,563,1302,7794,8034,15823
Kingston (C) (Vic.),23430,58130,61669,119798,1327,1401,2733,196,182,381,6175,6417,12594,154,156,312,46,44,89,91,80,168,21,33,55,20,17,41,16,11,31,3,0,3,6721,6947,13668,1233,1293,2526,112,115,236,9403,9763,19167,5231,5439,10673,72760,76878,149637
Knox (C),23670,61938,64770,126701,827,905,1736,129,128,258,5890,6362,12250,117,119,236,72,58,129,55,56,116,17,15,32,14,11,28,19,6,27,4,4,8,6318,6765,13076,731,879,1611,106,83,191,7978,8635,16614,4520,4533,9050,74433,77931,152367
Latrobe (C) (Vic.),23810,27697,28767,56463,1838,2151,3989,82,84,162,1769,1954,3722,109,108,219,18,26,40,43,46,89,16,16,35,18,20,39,4,6,11,0,0,0,2067,2261,4327,131,152,284,71,62,129,4110,4616,8728,3524,3701,7230,35332,37083,72413
Loddon (S),23940,3106,2946,6056,92,89,177,10,7,21,130,140,266,4,3,13,3,0,3,7,6,16,0,0,0,3,0,6,0,0,0,0,0,0,158,164,318,8,9,15,9,8,17,269,269,540,441,417,860,3815,3638,7453
Macedon Ranges (S),24130,18252,18718,36973,790,823,1621,76,77,149,1366,1478,2844,44,36,86,12,11,25,19,22,46,12,7,21,8,6,18,5,12,18,0,0,0,1549,1651,3198,92,83,180,35,35,68,2472,2595,5065,1692,1832,3527,22417,23150,45559
Manningham (C),24210,45893,48986,94877,772,815,1590,107,108,213,4330,4545,8877,98,108,204,68,90,165,66,79,150,10,10,21,3,6,12,14,23,39,0,0,0,4708,4977,9681,1115,1260,2368,66,72,134,6658,7120,13778,3256,3399,6654,55806,59509,115309
Mansfield (S),24250,3222,3207,6429,246,261,513,25,35,58,261,300,562,16,10,27,3,9,15,13,10,24,5,4,6,9,6,10,0,0,0,0,0,0,330,379,704,34,28,60,7,9,17,617,686,1296,398,387,784,4237,4279,8513
Maribyrnong (C),24330,29563,29494,59061,1091,1017,2102,175,207,384,4500,4309,8810,151,144,295,88,83,165,99,84,178,23,23,51,23,28,46,35,28,63,0,0,4,5096,4903,9995,1237,1217,2457,87,74,161,7511,7210,14720,3707,3606,7314,40776,40317,81093
Maroondah (C),24410,42793,45628,88425,663,712,1375,91,98,190,4841,5177,10021,86,94,177,37,42,79,37,58,100,18,20,41,15,10,30,21,19,38,0,0,0,5147,5524,10670,607,696,1310,117,109,228,6537,7035,13573,3302,3676,6974,52638,56335,108975
Melbourne (C),24600,34599,36208,70812,3048,3364,6414,692,736,1424,8716,9419,18134,505,562,1068,221,236,464,395,384,782,101,122,220,56,75,129,151,190,337,0,0,4,10843,11719,22563,7955,9206,17163,160,173,332,22000,24472,46469,8962,8570,17532,65562,69253,134819
Melton (C),24650,51723,53216,104939,1353,1491,2845,239,240,479,5584,5971,11553,142,156,295,92,87,178,79,68,145,31,30,63,27,22,47,17,20,31,0,0,0,6207,6584,12790,719,819,1537,108,94,199,8387,8983,17375,5664,5307,10969,65774,67506,133279
Mildura (RC),24780,19800,20569,40364,1042,1053,2096,264,272,529,1635,1817,3452,69,57,126,161,168,330,49,51,102,8,7,15,31,40,72,7,9,11,0,0,0,2223,2419,4636,281,247,527,75,68,152,3616,3789,7408,2738,2717,5453,26153,27075,53226
Mitchell (S),24850,15608,15433,31032,762,818,1578,113,77,190,1446,1465,2908,227,143,366,36,25,68,27,15,39,9,15,24,47,41,88,24,15,36,0,0,0,1928,1795,3723,147,118,265,34,27,60,2874,2756,5630,1830,1911,3740,20308,20097,40402
Moira (S),24900,11192,11290,22474,788,853,1636,156,182,336,615,620,1233,47,59,105,10,10,17,37,27,59,5,5,11,8,5,18,3,3,4,0,0,0,879,912,1788,60,63,130,41,33,75,1774,1859,3635,1378,1318,2702,14342,14467,28805
Monash (C),24970,67381,70702,138082,2204,2208,4417,328,293,621,8263,7920,16182,196,175,376,114,135,246,162,162,325,60,65,122,40,27,68,63,72,133,0,0,0,9220,8853,18073,4126,4480,8605,151,105,256,15704,15655,31354,5780,5786,11564,88860,92140,181001
Sydney (C),17200,62782,57558,120337,4307,4301,8608,12915,12726,25645,704,691,1394,632,641,1278,147,160,306,363,303,669,60,42,100,54,48,102,247,276,530,3,3,3,15134,14893,30020,8028,9171,17199,349,294,645,27824,28653,56478,16337,13407,29745,106943,99617,206556
Tamworth Regional (A),17310,21601,22911,44514,1306,1475,2780,2336,2534,4875,52,39,87,186,172,359,25,25,47,19,17,32,9,4,15,14,12,34,28,16,44,3,3,8,2681,2826,5501,257,183,437,66,50,122,4308,4528,8839,2811,2793,5604,28724,30226,58953
Temora (A),17350,2440,2462,4897,172,194,363,139,126,266,3,3,10,11,8,15,0,0,0,3,3,6,0,0,0,0,0,0,3,3,4,0,0,0,159,149,309,3,5,8,3,6,11,345,349,691,226,228,446,3005,3035,6034
Tenterfield (A),17400,2537,2573,5110,103,138,244,101,111,207,0,3,3,76,98,173,0,0,0,4,0,9,0,0,0,6,0,3,0,3,3,0,0,0,189,211,402,4,6,10,10,11,17,311,370,674,389,412,798,3234,3348,6582
Golden Plains (S),22490,9130,8791,17927,192,195,383,24,21,40,771,750,1513,20,17,34,12,8,17,9,13,19,0,0,3,8,9,10,0,0,0,0,0,0,837,810,1644,18,19,32,25,17,44,1069,1036,2107,701,704,1404,10902,10532,21432
Greater Bendigo (C),22620,41117,43151,84267,1485,1719,3211,215,218,428,4814,5464,10280,157,146,303,78,88,171,72,72,144,39,48,86,36,43,80,15,11,24,0,0,0,5429,6092,11520,252,330,581,105,78,174,7266,8217,15484,4596,4840,9430,52983,56206,109187
Greater Dandenong (C),22670,58488,57603,116089,2480,2047,4528,221,177,397,6568,5579,12147,172,141,316,137,91,229,99,70,170,30,36,67,33,27,61,19,19,36,0,0,0,7280,6134,13421,2103,2380,4475,202,134,337,12066,10696,22766,5900,5192,11093,76452,73491,149949
Greater Geelong (C),22750,85747,91551,177291,4278,4726,9008,318,348,667,9608,10658,20270,325,335,658,116,124,240,169,168,331,54,73,124,72,66,140,44,57,107,0,0,0,10708,11831,22539,1119,1064,2188,195,206,402,16301,17836,34133,9834,9530,19368,111882,118911,230791
Moonee Valley (C),25060,43307,46490,89803,1255,1310,2567,227,228,453,4959,5219,10179,155,194,344,56,87,144,75,97,172,31,38,70,20,17,36,48,48,92,0,0,0,5572,5921,11493,1006,1130,2132,112,94,205,7942,8455,16399,4456,4659,9113,55711,59602,115312
Moorabool (S),25150,12785,12943,25724,515,600,1114,19,29,50,911,946,1862,21,18,32,5,3,11,24,15,38,7,12,16,13,8,16,0,0,0,0,0,0,996,1037,2030,40,53,98,22,30,51,1575,1719,3292,1217,1256,2468,15576,15910,31486
Strathfield (A),17100,14589,14668,29258,677,528,1203,1859,1801,3655,81,57,137,68,68,134,16,12,28,28,20,40,4,0,7,6,13,20,15,17,35,0,0,0,2074,1988,4058,1060,997,2052,51,42,97,3863,3545,7412,1751,1461,3212,20204,19674,39881
Sutherland Shire (A),17150,87760,92260,180019,2152,2243,4398,7529,7901,15426,100,97,195,214,205,419,25,23,45,76,69,146,9,8,15,22,16,31,43,46,91,0,3,0,8007,8367,16376,770,853,1629,174,201,378,11110,11667,22778,6558,6580,13144,105433,110509,215942
Glen Eira (C),22310,51914,55784,107702,1515,1547,3065,230,225,461,6677,6926,13602,154,165,323,78,73,153,117,99,223,33,37,70,13,13,26,33,30,63,0,0,4,7330,7584,14914,1830,2189,4015,122,113,232,10798,11434,22233,4617,4694,9313,67333,71920,139251
Glenelg (S),22410,7825,7816,15639,451,493,940,29,29,50,328,340,675,27,29,51,32,57,89,12,17,36,3,6,16,3,3,7,3,0,3,0,0,0,440,485,926,10,20,34,15,18,37,919,1011,1938,905,868,1774,9652,9699,19350
Moreland (C),25250,57976,61226,119209,2124,2004,4127,446,409,854,8294,8545,16843,335,332,667,153,157,306,211,184,396,57,58,122,41,34,76,63,103,166,0,0,0,9605,9817,19424,2226,2349,4571,189,183,372,14143,14355,28496,6294,6419,12709,78417,81999,160421
Mornington Peninsula (S),25340,58334,62504,120837,2627,2971,5596,415,268,676,5835,6220,12056,356,283,637,58,31,90,143,108,252,38,36,73,51,43,87,25,23,46,0,0,0,6924,7004,13930,398,419,824,131,136,271,10085,10529,20616,5746,6407,12150,74172,79440,153610
Mount Alexander (S),25430,6921,7364,14287,282,303,586,12,21,37,484,580,1065,12,14,33,14,12,29,17,13,22,3,5,10,9,6,18,3,3,5,0,0,0,562,661,1227,40,38,81,15,13,27,903,1019,1926,1495,907,2401,9323,9285,18610
Moyne (S),25490,6618,6566,13187,312,325,637,14,19,28,441,465,900,22,19,41,6,10,17,9,13,17,9,3,10,8,4,7,0,4,4,0,0,0,502,533,1032,38,40,75,17,11,27,864,905,1774,683,688,1371,8167,8159,16324
Murrindindi (S),25620,5539,5353,10896,270,260,527,15,20,29,370,374,748,12,12,19,3,4,4,3,6,9,0,0,0,3,7,10,0,0,0,0,0,0,403,420,823,26,26,55,7,8,21,714,710,1419,662,641,1304,6912,6707,13621
Nillumbik (S),25710,25770,26228,52002,337,400,741,36,45,82,1746,1888,3634,34,55,90,4,8,12,14,23,41,4,13,18,3,6,8,8,9,19,0,0,0,1849,2050,3899,173,181,354,30,26,54,2396,2655,5048,1807,1856,3664,29978,30742,60713
