lga_code16,nfans_75ov_ewft,nfans_75ov_ewpt,nfans_75ov_eafw,nfans_75ov_ehw_ns,nfans_75ov_tot,nfans_tot_ewft,nfans_tot_ewpt,nfans_tot_eafw,nfans_tot_ehw_ns,nfans_tot_tot,tot_15_19_ewft,tot_15_19_ewpt,tot_15_19_eafw,tot_15_19_ehw_ns,tot_15_19_tot,tot_20_24_ewft,tot_20_24_ewpt,tot_20_24_eafw,tot_20_24_ehw_ns,tot_20_24_tot,tot_25_29_ewft,tot_25_29_ewpt,tot_25_29_eafw,tot_25_29_ehw_ns,tot_25_29_tot,tot_30_34_ewft,tot_30_34_ewpt,tot_30_34_eafw,tot_30_34_ehw_ns,tot_30_34_tot,tot_35_39_ewft,tot_35_39_ewpt,tot_35_39_eafw,tot_35_39_ehw_ns,tot_35_39_tot,tot_40_44_ewft,tot_40_44_ewpt,tot_40_44_eafw,tot_40_44_ehw_ns,tot_40_44_tot,tot_45_49_ewft,tot_45_49_ewpt,tot_45_49_eafw,tot_45_49_ehw_ns,tot_45_49_tot,tot_50_54_ewft,tot_50_54_ewpt,tot_50_54_eafw,tot_50_54_ehw_ns,tot_50_54_tot,tot_55_59_ewft,tot_55_59_ewpt,tot_55_59_eafw,tot_55_59_ehw_ns,tot_55_59_tot,tot_60_64_ewft,tot_60_64_ewpt,tot_60_64_eafw,tot_60_64_ehw_ns,tot_60_64_tot,tot_65_69_ewft,tot_65_69_ewpt,tot_65_69_eafw,tot_65_69_ehw_ns,tot_65_69_tot,tot_70_74_ewft,tot_70_74_ewpt,tot_70_74_eafw,tot_70_74_ehw_ns,tot_70_74_tot,tot_75ov_ewft,tot_75ov_ewpt,tot_75ov_eafw,tot_75ov_ehw_ns,tot_75ov_tot,tot_tot_ewft,tot_tot_ewpt,tot_tot_eafw,tot_tot_ehw_ns,tot_tot_tot,lga_name16
54200,0,6,0,0,6,91,58,3,14,164,162,849,18,23,1044,659,560,27,31,1274,938,328,42,30,1340,954,407,41,29,1432,957,445,39,21,1454,1005,493,16,27,1545,1087,512,44,25,1671,993,476,39,18,1518,878,437,59,30,1394,530,447,31,10,1018,205,259,35,12,500,60,116,7,0,186,18,75,3,6,103,8445,5392,394,253,14481,Kalamunda (S)
57420,0,0,0,0,0,8,3,0,4,12,11,9,0,0,18,40,10,3,0,55,80,18,8,0,99,83,22,5,0,105,73,17,9,0,94,83,16,3,4,112,81,14,9,5,110,93,20,11,5,127,95,20,7,0,121,51,20,6,4,79,20,16,4,0,43,13,10,3,0,36,3,5,0,0,10,728,201,69,28,1020,Ravensthorpe (S)
57490,0,0,0,0,0,151,138,24,16,327,382,2282,82,49,2792,1854,1524,102,80,3565,2059,955,143,58,3212,1891,1122,164,60,3238,1711,1147,122,31,3008,1852,1195,93,40,3179,1982,1215,93,46,3336,1919,1014,115,47,3096,1278,891,103,32,2308,721,650,74,23,1461,211,330,25,3,572,47,119,9,3,183,19,62,3,6,97,15932,12508,1132,488,30054,Rockingham (C)
65010,0,0,0,0,0,12,10,0,0,21,6,30,3,4,44,25,16,0,0,46,38,28,0,0,66,64,30,3,3,95,50,28,4,3,91,58,34,3,0,92,70,62,9,3,137,78,48,3,3,138,88,44,3,0,137,66,49,9,5,127,30,26,3,5,63,22,21,0,0,40,13,14,3,0,20,602,419,40,27,1089,Southern Midlands (M)
54280,3,0,0,0,3,111,46,5,11,174,302,517,12,25,857,1016,249,54,38,1358,1358,311,88,32,1797,1380,378,98,39,1894,1144,346,62,31,1588,1287,333,42,47,1704,1202,329,52,38,1622,1180,276,58,30,1537,934,287,48,20,1291,521,180,30,16,748,181,93,18,6,295,41,34,7,4,88,17,17,0,3,39,10559,3344,576,338,14815,Kalgoorlie/Boulder (C)
54310,0,0,0,0,0,139,39,3,6,194,139,258,12,15,424,663,152,43,23,881,1279,217,119,29,1644,1503,329,170,30,2033,1334,261,129,36,1761,1346,281,116,24,1774,1192,233,106,36,1569,1015,155,104,23,1302,749,123,98,21,984,390,68,43,7,510,109,35,21,4,161,21,5,3,3,30,14,9,3,0,23,9752,2121,968,254,13086,Karratha (C)
54830,0,0,0,0,0,92,27,0,4,126,114,366,13,8,510,513,304,31,29,882,944,254,38,19,1258,1077,297,55,29,1459,1099,329,43,18,1486,1200,328,53,18,1596,1225,325,39,19,1608,1159,254,62,12,1488,926,224,62,14,1219,541,180,40,12,777,151,94,17,0,259,34,45,5,3,83,12,14,0,3,30,8989,3012,469,188,12657,Kwinana (C)
54900,0,0,0,0,0,8,0,0,0,10,14,7,0,0,21,36,4,0,0,43,47,15,0,0,63,41,24,3,0,63,42,18,3,0,65,62,18,0,0,79,66,20,0,3,88,75,21,0,0,92,67,13,8,5,93,40,18,7,3,70,18,8,9,0,38,9,5,4,3,16,9,4,0,0,17,516,185,34,26,760,Lake Grace (S)
55950,0,0,0,0,0,3,0,0,0,4,4,0,0,0,4,11,11,0,0,18,21,6,0,0,30,13,6,0,0,21,13,3,4,0,20,20,6,0,0,28,17,9,0,3,23,19,3,0,0,24,27,3,0,0,30,22,3,0,0,20,5,0,0,0,11,11,7,0,0,13,5,0,0,0,8,186,59,3,10,253,Mukinbudin (S)
65210,0,0,0,0,0,9,5,0,0,12,3,27,3,3,33,15,32,0,0,45,19,19,0,0,39,29,20,3,0,50,29,15,0,0,45,35,44,4,5,82,34,23,4,4,64,40,49,5,3,94,47,47,4,0,97,31,47,7,0,80,21,19,3,0,40,9,9,0,0,17,4,3,3,0,10,310,347,37,17,713,Tasman (M)
