lga_code_2016,intct_fam_no_otr_chld_pre_fam,step_fam_no_otr_chld_pre_fam,blnd_fam_no_otr_chld_pre_fam,intct_fam_othr_child_pres_fam,step_fam_othr_child_pres_fam,blnd_fam_othr_child_pres_fam,otr_cpl_fam_otr_chld_only_fam,tot_families,lga_name_2016
54060,296,24,13,3,0,0,3,340,Irwin (S)
54130,102,3,0,0,0,0,0,111,Jerramungup (S)
54170,19975,1345,664,159,20,3,82,22247,Joondalup (C)
54200,6284,545,306,92,17,0,39,7291,Kalamunda (S)
54340,312,27,25,11,0,0,3,380,Katanning (S)
54410,84,9,15,0,0,0,7,116,Kellerberrin (S)
54480,71,0,0,0,0,0,0,76,Kent (S)
54550,192,4,7,0,0,0,3,205,Kojonup (S)
54620,87,0,3,0,0,0,0,89,Kondinin (S)
54690,39,0,6,0,0,0,0,48,Koorda (S)
54760,72,3,4,0,0,0,0,82,Kulin (S)
54830,3952,352,248,73,10,0,36,4668,Kwinana (C)
54900,128,3,3,0,0,0,0,134,Lake Grace (S)
54970,20,10,3,3,3,0,6,39,Laverton (S)
55040,67,10,8,3,0,0,0,87,Leonora (S)
55110,6861,747,484,87,16,13,62,8261,Mandurah (C)
55180,783,49,41,4,0,3,14,895,Manjimup (S)
55250,30,3,3,0,0,0,3,41,Meekatharra (S)
55320,11680,651,260,93,13,0,36,12725,Melville (C)
55950,58,0,4,0,0,0,0,61,Mukinbudin (S)
55390,19,0,4,0,3,0,0,28,Menzies (S)
55460,263,21,23,5,0,0,3,317,Merredin (S)
55530,47,6,0,0,0,0,0,49,Mingenew (S)
56090,4015,360,185,48,13,0,32,4655,Mundaring (S)
55600,228,14,8,7,0,0,3,262,Moora (S)
55670,53,9,4,0,0,0,0,70,Morawa (S)
56860,19,3,3,0,0,0,0,26,Nungarin (S)
55740,910,51,23,3,0,0,3,991,Mosman Park (T)
55810,15,3,3,3,0,0,4,31,Mount Magnet (S)
55880,59,0,6,0,0,0,0,67,Mount Marshall (S)
56160,5,0,0,0,0,0,0,12,Murchison (S)
56230,1448,154,86,26,5,0,26,1743,Murray (S)
56300,88,11,7,0,0,0,0,99,Nannup (S)
56370,71,6,0,0,0,0,0,78,Narembeen (S)
56460,423,18,33,10,0,0,9,489,Narrogin (S)
56580,2833,103,43,12,0,0,0,3000,Nedlands (C)
56620,115,14,4,18,3,0,17,171,Ngaanyatjarraku (S)
56730,845,65,53,23,3,0,21,1010,Northam (S)
56790,246,16,8,3,0,0,3,282,Northampton (S)
56930,193,7,3,0,0,0,0,203,Peppermint Grove (S)
57630,0,0,0,0,0,0,0,0,Sandstone (S)
57700,3174,289,205,43,6,12,29,3753,Serpentine-Jarrahdale (S)
57770,67,3,3,0,0,0,0,79,Shark Bay (S)
57840,3906,234,59,36,0,0,10,4244,South Perth (C)
57910,21346,1305,544,187,22,13,68,23482,Stirling (C)
57980,1714,71,21,9,0,0,0,1811,Subiaco (C)
58050,15011,1209,747,266,23,21,91,17362,Swan (C)
58190,37,3,3,0,0,0,0,45,Tammin (S)
58260,51,3,3,0,0,0,0,61,Three Springs (S)
57000,41,4,5,3,0,0,0,48,Perenjori (S)
57080,773,55,13,4,0,0,0,843,Perth (C)
57140,73,7,8,0,0,0,4,89,Pingelly (S)
57210,395,39,21,8,0,0,8,477,Plantagenet (S)
57280,1311,110,95,24,5,4,16,1566,Port Hedland (T)
57350,65,3,6,0,0,0,3,71,Quairading (S)
57420,131,7,10,0,0,0,0,149,Ravensthorpe (S)
57490,13204,1351,953,163,23,18,111,15835,Rockingham (C)
65010,554,66,32,5,0,0,6,672,Southern Midlands (M)
65210,138,15,9,0,0,0,0,166,Tasman (M)
65410,1137,120,67,6,0,0,8,1342,Waratah/Wynyard (M)
65610,317,22,28,0,0,0,3,370,West Coast (M)
65810,2134,197,128,17,0,0,16,2490,West Tamar (M)
58330,326,26,22,3,0,3,15,392,Toodyay (S)
58400,20,0,0,0,0,0,0,25,Trayning (S)
69499,0,0,0,0,0,0,0,0,No usual address (Tas.)
58470,10,0,0,0,0,0,0,14,Upper Gascoyne (S)
58510,2718,194,80,20,0,0,14,3022,Victoria Park (T)
69799,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Tas.)
70200,2146,170,117,46,10,10,31,2530,Alice Springs (T)
58540,95,4,4,0,0,0,0,105,Victoria Plains (S)
58570,2867,149,49,13,3,3,10,3092,Vincent (C)
58610,133,0,10,3,0,0,0,151,Wagin (S)
58680,50,0,0,0,0,0,0,47,Wandering (S)
58760,22813,1718,1221,328,45,24,124,26266,Wanneroo (C)
58820,358,37,22,6,0,3,5,433,Waroona (S)
58890,66,4,0,0,0,0,0,76,West Arthur (S)
59030,26,0,0,0,0,0,0,26,Westonia (S)
72800,3656,364,277,57,9,3,26,4386,Palmerston (C)
73600,470,28,23,80,11,7,37,647,Roper Gulf (R)
74050,193,26,3,18,5,0,9,252,Tiwi Islands (R)
74550,161,18,12,32,3,0,13,233,Victoria Daly (R)
59100,64,0,4,3,0,0,0,68,Wickepin (S)
74560,33,5,3,0,0,0,0,44,Wagait (S)
74660,489,27,14,82,10,9,25,658,West Arnhem (R)
74680,265,11,13,39,5,5,9,338,West Daly (R)
79399,582,57,30,7,0,0,0,680,Unincorporated NT
79499,0,0,0,0,0,0,0,0,No usual address (NT)
59170,89,3,8,0,0,0,0,103,Williams (S)
59250,16,6,0,0,0,0,0,18,Wiluna (S)
79799,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NT)
89399,42718,3015,1600,439,43,23,165,48008,Unincorporated ACT
89499,0,0,0,0,0,0,0,0,No usual address (ACT)
89799,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
99399,378,23,17,8,0,0,0,430,Unincorp. Other Territories
99499,0,0,0,0,0,0,0,0,No usual address (OT)
99799,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (OT)
59310,129,3,11,0,0,0,0,144,Wongan-Ballidu (S)
59320,38,3,3,0,0,0,0,46,Woodanilling (S)
59330,31,5,3,0,0,0,0,37,Wyalkatchem (S)
59340,488,53,22,23,6,3,13,608,Wyndham-East Kimberley (S)
59350,3,3,0,0,0,0,0,9,Yalgoo (S)
59360,76,6,3,0,0,0,0,85,Yilgarn (S)
59370,247,19,15,3,0,0,5,295,York (S)
59499,0,0,0,0,0,0,0,0,No usual address (WA)
59799,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (WA)
60210,382,44,20,4,0,0,3,456,Break O'Day (M)
60410,1478,171,144,16,3,0,17,1835,Brighton (M)
60610,1536,187,126,10,3,0,13,1872,Burnie (C)
60810,1769,206,118,23,3,3,22,2138,Central Coast (M) (Tas.)
61010,137,10,12,3,0,0,3,171,Central Highlands (M) (Tas.)
61210,693,80,73,0,0,0,8,853,Circular Head (M)
61410,5026,543,298,55,8,4,33,5964,Clarence (C)
61510,858,97,67,15,0,3,17,1054,Derwent Valley (M)
61610,1860,266,141,21,3,4,23,2317,Devonport (C)
61810,512,47,32,6,3,0,0,605,Dorset (M)
62010,71,3,4,0,0,0,0,78,Flinders (M) (Tas.)
62210,466,51,52,3,0,0,7,585,George Town (M)
62410,247,17,14,3,0,0,7,290,Glamorgan/Spring Bay (M)
62610,3493,474,319,51,13,12,39,4404,Glenorchy (C)
62810,4248,319,132,20,3,0,17,4731,Hobart (C)
63010,1423,142,81,16,0,3,12,1675,Huon Valley (M)
63210,516,51,39,6,0,0,3,619,Kentish (M)
63410,112,5,11,0,0,0,0,127,King Island (M)
63610,3674,340,194,32,5,4,16,4263,Kingborough (M)
63810,871,104,61,6,3,0,4,1053,Latrobe (M) (Tas.)
64010,5205,538,363,48,12,6,45,6206,Launceston (C)
64210,1834,147,103,16,4,0,17,2119,Meander Valley (M)
70420,462,35,16,54,4,5,23,613,Barkly (R)
70540,5,0,0,0,0,0,0,12,Belyuen (S)
