LGA_MAIN11,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total,LGA_NAME11
17500,16,10,23,5,5,0,67,0,3,17,15,16,10,0,0,61,24,123,156,100,82,53,21,4,563,11,61,102,128,115,73,23,8,521,9,22,29,28,19,10,3,3,123,181,310,356,408,239,125,69,11,1699,30,33,19,29,11,10,6,0,138,220,365,404,465,269,145,78,14,1960,0,16,11,26,14,13,12,0,92,90,95,102,114,157,162,124,55,899,348,668,808,858,676,461,263,81,4163,Tumut Shire (A)
17550,206,256,238,93,44,6,978,13,85,180,227,237,62,28,6,838,234,1160,1483,1187,1022,538,200,70,5894,242,654,1093,1204,1000,596,309,75,5173,85,164,199,271,266,152,83,20,1240,914,1962,2496,2862,2170,1441,914,269,13028,209,190,135,169,142,51,19,3,918,1208,2316,2830,3302,2578,1644,1016,292,15186,48,97,130,250,236,167,124,35,1087,786,555,725,966,1109,1244,1529,834,7748,2541,4992,6647,7392,6420,4344,3250,1318,36904,Tweed (A)
17620,24,31,29,10,7,0,109,0,13,25,22,18,4,3,0,85,51,209,187,131,117,59,24,12,790,27,111,151,145,104,64,20,4,626,22,44,37,34,33,9,6,0,185,278,493,447,453,297,130,66,14,2178,45,41,38,32,21,8,3,0,188,345,578,522,519,351,147,75,14,2551,8,15,25,32,41,24,7,3,155,141,116,137,130,191,203,176,76,1170,572,1050,1071,1010,851,511,312,109,5486,Upper Hunter Shire (A)
17640,17,19,40,19,4,0,111,3,10,21,14,29,5,3,0,85,8,71,106,110,100,73,19,4,491,13,36,103,102,101,65,16,4,440,6,13,24,28,31,16,6,0,124,95,154,214,239,199,107,35,9,1052,3,9,23,23,10,10,6,0,84,104,176,261,290,240,133,47,9,1260,6,4,16,19,19,15,6,4,89,63,37,52,81,81,108,101,23,546,200,343,576,635,610,418,196,44,3022,Upper Lachlan Shire (A)
17650,30,37,50,24,4,0,161,0,8,16,25,28,6,0,0,83,14,90,88,95,111,52,9,4,463,13,41,103,94,87,35,17,3,393,9,18,16,33,24,4,0,0,104,77,130,178,210,170,71,24,9,869,13,8,15,11,9,3,0,0,59,99,156,209,254,203,78,24,9,1032,0,0,10,10,20,9,7,0,56,56,32,55,59,82,71,39,18,412,182,343,511,574,581,275,100,34,2600,Uralla (A)
17700,4,3,0,0,0,0,7,0,0,0,4,0,0,0,0,4,5,15,11,9,5,0,0,0,45,9,5,8,0,7,0,0,3,32,0,0,7,0,0,0,0,0,7,15,25,17,32,25,14,8,0,136,0,3,3,5,3,0,0,0,14,15,28,27,37,28,14,8,0,157,3,3,0,7,4,0,0,0,17,11,4,11,21,24,35,23,12,141,43,55,61,81,68,49,31,15,403,Urana (A)
17750,291,276,203,89,28,3,1089,5,110,161,180,134,37,18,0,645,425,1557,1240,830,633,248,97,26,5056,189,535,683,728,572,253,119,52,3131,109,137,132,177,168,80,36,10,849,1412,2005,1769,1720,1200,501,243,75,8925,244,211,152,128,68,23,7,3,836,1765,2353,2053,2025,1436,604,286,88,10610,32,66,96,136,161,77,47,24,639,673,370,424,540,559,502,533,261,3862,3103,5176,4948,4715,3698,1810,1128,454,25032,Wagga Wagga (C)
17800,3,0,4,6,0,3,19,0,7,8,11,9,0,0,0,35,7,50,44,52,26,23,6,0,208,10,20,38,56,40,19,8,3,194,0,8,8,7,9,5,3,0,40,39,71,101,126,101,33,14,7,492,13,6,0,11,3,0,0,0,33,52,85,109,144,113,38,17,7,565,3,0,6,5,6,3,0,3,26,48,21,33,57,86,85,70,21,421,120,186,241,325,284,174,101,37,1468,Wakool (A)
17850,6,6,6,3,0,0,24,0,0,3,6,5,3,4,0,21,8,33,47,34,42,18,3,0,185,6,24,35,33,39,22,6,0,165,4,8,7,9,14,7,0,0,49,46,64,67,78,91,38,13,3,400,10,7,10,13,3,0,0,0,43,60,79,84,100,108,45,13,3,492,3,0,6,7,11,11,3,3,44,33,14,17,36,32,48,34,9,223,110,153,198,222,243,150,63,15,1154,Walcha (A)
17900,9,8,8,0,0,0,39,0,3,7,6,8,4,0,0,28,24,97,81,53,48,19,3,0,325,7,47,70,41,46,23,5,3,242,8,7,14,16,10,12,0,0,67,43,120,118,152,156,95,37,8,729,14,13,7,9,15,0,0,0,58,65,140,139,177,181,107,37,8,854,3,3,8,6,13,11,3,0,47,103,68,110,131,162,119,92,23,808,205,369,424,422,466,283,140,34,2343,Walgett (A)
17950,3,3,0,0,0,0,12,0,5,3,6,3,3,0,0,20,17,53,37,30,16,10,3,0,166,6,16,32,36,22,8,3,0,123,0,5,10,9,4,4,3,0,35,34,43,41,80,45,27,8,3,281,11,6,6,8,5,0,0,0,36,45,54,57,97,54,31,11,3,352,0,0,3,8,4,8,3,0,26,27,24,23,24,31,33,33,3,198,98,155,158,204,130,93,53,6,897,Warren (A)
18000,1874,1358,715,352,94,25,5541,21,381,725,519,403,131,57,14,2251,1140,5479,6538,4137,2311,1190,522,149,21466,766,2369,3545,2761,1893,1202,572,201,13309,142,262,477,571,496,356,148,73,2525,1291,3118,3451,3080,2076,1495,823,301,15635,156,216,287,237,166,100,43,15,1220,1589,3596,4215,3888,2738,1951,1014,389,19380,67,246,331,419,335,280,186,72,1936,987,1127,1280,1263,1123,1134,1241,1230,9385,4626,14265,18508,14345,9518,6240,3686,2080,73268,Warringah (A)
18020,13,15,17,13,5,0,73,0,9,9,20,17,3,3,0,61,23,99,102,92,92,45,15,5,473,9,40,89,122,96,50,24,5,435,9,18,20,20,39,14,0,0,120,87,167,237,250,235,143,60,16,1195,33,18,28,29,24,7,0,3,142,129,203,285,299,298,164,60,19,1457,6,0,16,16,26,14,8,0,86,138,61,95,137,145,168,134,64,942,305,422,609,701,691,457,249,93,3527,Warrumbungle Shire (A)
18050,1425,839,548,211,68,17,4639,13,318,371,259,179,67,19,7,1233,837,6203,4082,2059,1321,532,248,79,15361,330,1492,1327,852,607,353,163,62,5186,53,153,150,108,118,67,37,14,700,359,1122,823,624,529,363,219,99,4138,40,92,57,52,28,17,8,6,300,452,1367,1030,784,675,447,264,119,5138,56,209,184,208,146,128,98,56,1085,898,2176,1316,850,722,658,527,381,7528,2631,13251,9735,5851,4198,2396,1387,721,40170,Waverley (A)
18100,6,3,3,6,0,0,21,0,8,4,6,6,3,3,3,33,0,51,47,39,27,16,6,3,189,8,18,33,44,46,10,7,3,169,3,0,13,13,14,12,0,0,55,38,74,79,103,87,59,28,3,471,6,11,9,12,8,0,0,0,46,47,85,101,128,109,71,28,3,572,7,0,6,5,11,6,3,0,38,25,18,22,53,59,72,49,18,316,87,183,219,278,261,184,96,30,1338,Weddin (A)
18150,9,18,16,7,0,0,56,0,5,15,13,18,6,0,0,57,15,92,95,73,77,45,11,9,417,10,37,80,100,85,48,28,0,388,5,9,22,17,22,14,7,8,104,97,149,214,228,175,125,46,7,1041,24,22,11,15,13,6,0,0,91,126,180,247,260,210,145,53,15,1236,8,7,18,17,22,16,3,0,91,220,247,200,149,122,136,123,27,1224,379,574,664,630,550,403,218,51,3469,Wellington (A)
18200,7,7,6,7,3,0,30,0,6,19,12,17,5,0,0,59,10,97,91,64,64,28,7,0,361,12,40,67,74,53,36,11,3,296,8,7,16,19,17,8,0,0,75,96,164,208,193,136,77,22,4,900,19,9,16,6,5,0,3,0,58,123,180,240,218,158,85,25,4,1033,3,3,10,9,18,10,6,3,62,99,64,46,79,81,85,68,30,552,247,390,480,463,397,256,120,40,2393,Wentworth (A)
17100,545,415,271,114,49,5,2642,18,134,99,80,65,29,15,0,440,675,2339,1279,1139,680,293,141,37,6583,325,687,494,492,302,138,61,27,2526,30,58,64,82,59,38,13,7,351,226,475,393,395,265,179,118,38,2089,41,43,44,62,25,8,6,3,232,297,576,501,539,349,225,137,48,2672,61,118,119,149,99,64,39,23,672,586,743,374,419,333,267,242,130,3094,2039,5763,3411,3233,2099,1130,684,270,18629,Strathfield (A)
17150,1628,1424,1080,427,116,20,5941,48,486,686,777,674,177,57,11,2916,2062,6430,6204,4776,3451,1185,525,129,24762,1408,3487,4594,4097,2964,1426,601,193,18770,266,462,756,987,983,539,237,73,4303,3024,5704,6331,6110,4499,2950,1662,473,30753,335,375,433,435,356,150,57,17,2158,3625,6541,7520,7532,5838,3639,1956,563,37214,217,441,612,910,989,673,496,161,4499,1547,1431,1433,1534,1516,1372,1680,1050,11563,9005,19964,22677,21050,16512,8899,5431,2127,105665,Sutherland Shire (A)
17200,4172,2279,1593,627,143,28,16668,88,1253,977,658,467,125,32,3,3603,4926,21250,8648,4067,2606,1053,404,85,43039,1882,4925,3150,1793,1250,628,235,47,13910,126,386,375,307,239,103,35,10,1581,1380,3230,2049,1447,962,525,234,54,9881,199,325,211,133,105,30,12,0,1015,1705,3941,2635,1887,1306,658,281,64,12477,278,741,510,424,322,235,117,38,2665,4561,7572,3751,2687,2138,1473,992,529,23703,13946,47002,23843,13795,9682,4799,2204,794,116065,Sydney (C)
18250,1861,1287,843,329,118,31,6252,17,336,435,332,266,101,35,5,1527,1064,4565,4410,2974,1788,778,394,143,16116,366,961,1197,1108,893,467,288,107,5387,29,88,124,171,156,88,65,50,771,307,614,664,610,501,279,188,88,3251,50,45,65,64,53,24,13,4,318,386,747,853,845,710,391,266,142,4340,45,162,191,224,211,178,117,60,1188,631,673,590,505,451,375,376,274,3875,2613,9123,9537,7275,5162,2619,1594,762,38685,Willoughby (C)
18350,215,286,304,222,92,8,1212,5,53,115,162,198,84,31,3,651,104,472,914,902,960,683,297,66,4398,98,259,627,772,763,593,269,59,3440,54,65,130,163,201,159,72,3,847,600,926,1232,1393,967,734,327,64,6243,79,71,82,89,61,44,10,3,439,733,1062,1444,1645,1229,937,409,70,7529,22,49,74,127,131,148,67,17,635,372,195,354,468,558,579,551,390,3467,1340,2169,3743,4362,4143,3246,1716,613,21332,Wingecarribee (A)
18400,142,160,144,39,11,4,628,6,44,96,112,95,25,7,0,385,181,602,721,533,431,154,44,8,2674,177,412,633,599,429,163,56,10,2479,65,71,155,168,142,50,12,3,666,868,1418,1835,1608,1097,511,185,33,7555,115,94,87,84,68,19,6,0,473,1048,1583,2077,1860,1307,580,203,36,8694,30,57,87,114,91,52,17,7,455,478,290,453,468,400,338,268,128,2823,1938,3098,4209,3846,2897,1351,606,193,18138,Wollondilly (A)
18450,1465,1372,1068,395,86,24,6092,72,490,522,601,533,130,28,6,2382,1814,5089,4242,3155,2161,957,351,105,17874,1087,2218,3033,2682,1972,903,410,119,12424,240,373,566,660,561,322,133,45,2900,2875,5449,5576,5756,3934,2345,1338,391,27664,480,497,391,352,234,113,43,8,2118,3595,6319,6533,6768,4729,2780,1514,444,32682,160,222,311,459,439,301,153,53,2098,2083,1532,1628,1901,1978,1962,2278,976,14338,8968,17395,17734,16938,12880,7428,4820,1727,87890,Wollongong (C)
18500,1192,1038,805,467,154,49,4811,13,267,256,235,210,92,31,9,1113,904,4330,2928,2216,1744,959,464,167,13712,167,803,796,743,637,436,234,89,3905,14,72,76,93,100,85,34,21,495,189,455,410,320,323,235,128,80,2140,20,43,37,31,39,14,5,3,192,223,570,523,444,462,334,167,104,2827,47,139,126,148,197,182,119,71,1029,680,1157,932,750,680,591,468,390,5648,2077,8329,6753,5574,4735,3061,1637,879,33045,Woollahra (A)
18550,266,312,276,136,43,3,1228,4,130,185,263,260,92,36,4,974,449,1785,1786,1361,1153,592,234,67,7427,458,1342,1950,1654,1299,784,354,78,7919,240,350,438,508,470,283,121,33,2443,2323,4651,4974,4875,3563,2407,1304,354,24451,477,422,381,315,224,70,31,6,1926,3040,5423,5793,5698,4257,2760,1456,393,28820,103,183,254,359,322,246,123,55,1645,1657,992,1432,1624,1700,2132,2202,1083,12822,5718,10040,11666,11271,9267,6742,4448,1683,60835,Wyong (A)
18710,142,138,136,63,14,0,537,3,24,83,86,94,34,4,0,328,36,254,463,367,324,138,33,8,1623,34,150,251,213,183,113,31,6,981,8,19,52,44,44,25,10,4,206,180,313,499,439,266,157,56,12,1922,23,33,35,22,20,7,0,0,140,211,365,586,505,330,189,66,16,2268,8,15,28,40,38,14,15,3,161,146,101,152,163,130,134,157,102,1085,441,950,1705,1512,1235,685,320,135,6983,Yass Valley (A)
18750,23,11,19,12,0,0,78,0,10,22,17,29,7,0,0,85,26,152,184,132,97,44,23,10,668,21,66,139,99,126,56,20,10,537,16,22,29,39,30,6,0,0,142,179,294,370,371,273,176,50,11,1724,27,30,28,19,15,10,4,0,133,222,346,427,429,318,192,54,11,1999,7,7,30,30,28,20,5,3,130,150,99,127,123,175,168,162,72,1076,426,693,952,841,792,499,264,106,4573,Young (A)
19399,0,5,0,3,0,0,8,0,0,8,0,0,0,0,0,8,4,13,20,14,12,6,0,4,73,5,12,10,16,14,11,0,0,68,4,6,3,6,0,0,4,0,23,15,36,40,38,39,19,7,0,194,3,3,7,3,6,0,0,0,22,22,45,50,47,45,19,11,0,239,0,0,3,5,4,6,0,0,18,4,4,5,15,14,15,16,0,73,35,74,96,102,89,60,27,4,487,Unincorporated NSW
19499,78,32,40,15,3,0,345,3,37,16,30,21,6,0,0,113,182,540,226,132,139,51,12,0,1282,69,154,131,113,120,50,9,0,646,26,42,32,38,33,19,0,3,193,169,342,270,271,210,161,19,6,1448,64,35,24,18,14,7,0,0,162,259,419,326,327,257,187,19,9,1803,14,45,27,27,32,13,4,6,168,366,583,612,608,409,240,90,58,2966,909,1939,1416,1269,1018,562,137,73,7323,
20110,29,38,31,18,11,0,143,0,32,39,52,65,25,0,3,216,17,145,224,194,192,87,43,7,909,27,62,142,173,208,125,55,8,800,8,22,25,32,45,22,6,0,160,135,246,373,476,365,194,97,25,1911,26,12,23,34,24,12,4,0,135,169,280,421,542,434,228,107,25,2206,3,8,16,20,31,27,13,0,118,99,50,81,111,159,167,153,56,876,318,590,952,1130,1120,677,382,99,5268,Alpine (S)
20260,21,24,19,7,0,0,85,0,22,30,26,38,10,0,0,126,24,147,134,145,121,61,22,7,661,12,70,112,147,152,86,38,8,625,9,25,23,24,21,10,6,3,121,145,242,320,324,279,147,58,19,1534,22,9,22,16,18,6,3,0,96,176,276,365,364,318,163,67,22,1751,6,11,12,19,18,25,8,4,103,113,148,175,219,202,195,176,68,1296,331,688,849,944,868,547,311,109,4647,Ararat (RC)
20570,435,484,337,145,43,10,1845,31,357,458,470,346,133,34,3,1832,663,2487,2029,1467,1170,529,180,47,8572,369,998,1204,1158,1014,506,237,56,5542,144,186,196,172,144,57,39,14,952,1767,2672,2397,2385,1646,947,458,115,12387,312,269,180,147,87,39,6,0,1040,2223,3127,2773,2704,1877,1043,503,129,14379,69,75,106,134,148,103,69,18,722,1126,678,748,891,1016,1084,1166,672,7381,4516,8078,7753,7308,5908,3543,2232,935,40273,Ballarat (C)
20660,1405,1129,900,374,104,25,5261,61,694,868,769,617,179,44,9,3241,1389,5276,4482,3172,2287,889,386,110,17991,633,1681,1892,1755,1532,814,357,137,8801,132,169,286,336,282,129,85,30,1449,1350,2254,2607,2412,1838,1326,697,201,12685,188,144,131,113,114,42,6,3,741,1670,2567,3024,2861,2234,1497,788,234,14875,55,146,180,175,201,130,94,38,1019,1036,851,834,930,982,1098,1191,863,7785,4936,12447,12685,10791,8753,4981,2964,1416,58973,Banyule (C)
20740,83,56,89,57,8,6,336,5,57,98,99,104,53,9,3,428,68,437,405,360,426,272,90,26,2084,66,233,331,330,432,282,164,26,1864,22,43,72,63,75,56,24,4,359,356,811,928,903,811,627,289,60,4785,57,73,59,45,33,15,6,3,291,435,927,1059,1011,919,698,319,67,5435,10,26,28,44,60,55,32,11,266,264,209,304,342,403,500,544,262,2828,848,1926,2308,2242,2433,1917,1166,401,13241,Bass Coast (S)
20830,100,144,124,64,20,0,542,8,82,125,179,174,54,10,0,632,158,683,675,660,589,248,64,3,3080,142,438,509,562,566,323,128,25,2693,47,88,91,106,89,61,22,7,511,764,1331,1401,1450,1047,570,230,43,6836,102,118,83,69,75,19,5,3,474,913,1537,1575,1625,1211,650,257,53,7821,18,40,46,71,83,53,37,8,356,434,212,320,405,463,501,430,245,3010,1680,3075,3350,3646,3210,1893,946,334,18134,Baw Baw (S)
20910,1520,1508,932,429,149,42,5142,21,258,733,797,571,216,63,15,2674,969,2807,4930,4296,2803,1342,584,236,17967,368,777,1624,1819,1676,1067,538,187,8056,50,81,178,251,231,137,67,45,1040,487,731,1117,1410,912,673,402,196,5928,73,63,76,92,85,44,14,12,459,610,875,1371,1753,1228,854,483,253,7427,33,58,116,175,162,151,117,72,884,750,471,779,910,833,858,1057,987,6645,2783,5776,11073,11258,8205,4917,2991,1792,48795,Bayside (C)
21010,24,36,50,15,0,0,157,4,17,30,58,55,25,5,0,194,28,142,168,188,184,84,41,12,847,27,96,137,173,211,138,64,16,862,11,17,20,32,41,27,3,9,160,214,337,373,476,396,184,92,19,2091,50,27,30,30,34,3,4,0,178,275,381,423,538,471,214,99,28,2429,5,6,14,22,23,22,16,9,117,107,60,88,124,155,170,180,98,982,446,734,884,1139,1149,668,405,163,5588,Benalla (RC)
21110,3199,3279,2265,1036,387,105,13263,84,834,1336,1518,1154,398,119,26,5469,3245,8921,8376,8049,5295,2432,1163,491,37972,958,1856,2131,2581,2446,1441,835,371,12619,126,155,237,358,291,193,108,88,1556,961,1410,1264,1497,995,695,466,185,7473,148,125,102,122,102,58,28,11,696,1235,1690,1603,1977,1388,946,602,284,9725,82,153,178,244,225,172,143,110,1307,1510,1325,1049,1188,1110,1013,1125,1064,9384,7362,17523,17872,18836,13883,7438,4374,2451,89739,Boroondara (C)
21180,718,382,213,67,13,0,2933,40,415,403,271,189,31,11,3,1363,1705,5969,3712,2044,1261,358,110,23,15182,1632,3223,2302,1613,1028,340,98,31,10267,235,396,445,376,221,77,27,0,1777,2180,3916,3561,3304,2567,1231,527,118,17404,315,379,316,247,141,26,10,0,1434,2730,4691,4322,3927,2929,1334,564,118,20615,135,327,245,260,233,114,51,13,1378,3061,3043,2516,2460,2400,1863,1347,620,17310,9371,19140,14218,10957,8253,4107,2194,808,69048,Brimbank (C)
21270,4,6,3,3,0,0,30,3,13,13,25,17,6,0,0,77,24,80,66,74,57,21,22,7,351,5,29,49,70,63,34,15,5,270,5,0,12,21,14,10,0,0,62,64,130,185,205,154,72,29,10,849,10,15,18,13,6,0,3,0,65,79,145,215,239,174,82,32,10,976,0,3,10,11,11,11,7,5,58,56,19,37,53,86,117,102,47,517,170,300,394,478,411,274,178,74,2279,Buloke (S)
21370,53,52,40,17,9,0,213,3,59,98,85,77,26,3,0,351,121,487,494,365,316,130,48,13,1974,83,221,352,402,342,215,81,23,1719,44,57,82,75,60,33,26,8,385,602,895,1188,1215,819,484,198,43,5444,82,68,73,56,28,19,5,3,334,728,1020,1343,1346,907,536,229,54,6163,18,38,37,54,51,41,32,11,282,362,200,303,388,436,532,548,290,3059,1315,2067,2680,2692,2169,1497,950,391,13761,Campaspe (S)
21450,201,173,139,68,13,0,804,12,161,219,200,141,49,12,0,794,345,1365,1219,895,649,262,75,28,4838,364,1102,1123,901,637,355,92,26,4600,112,192,203,168,128,64,13,17,897,1540,2670,2818,2371,1427,753,255,45,11879,180,205,180,136,65,19,5,4,794,1832,3067,3201,2675,1620,836,273,66,13570,45,101,111,107,101,66,32,11,574,785,585,686,741,676,645,481,186,4785,3390,6584,6760,5692,3963,2281,978,317,29965,Cardinia (S)
21610,1263,754,380,130,32,7,4086,57,565,689,480,300,102,14,3,2210,1523,6399,5239,3114,1697,535,210,58,18775,1593,4322,4461,3186,1825,728,281,61,16457,349,569,738,606,396,162,58,6,2884,3819,7363,7939,6940,4175,1882,734,148,33000,641,646,515,409,215,52,21,0,2499,4809,8578,9192,7955,4786,2096,813,154,38383,180,428,503,438,347,197,93,27,2213,2949,2224,2568,2588,2217,1841,1493,667,16547,11152,23995,23915,18515,11552,5629,2936,977,98671,Casey (C)
21670,9,14,18,9,6,0,63,4,11,20,19,40,13,3,0,110,33,76,87,109,117,78,21,10,531,22,59,94,99,132,76,17,10,509,12,17,35,27,19,9,6,3,128,158,246,350,431,374,225,106,23,1913,30,36,31,32,21,12,3,0,165,200,299,416,490,414,246,115,26,2206,0,6,6,17,34,23,12,6,104,122,66,110,155,175,258,219,90,1195,381,524,742,903,930,703,393,142,4718,Central Goldfields (S)
21750,43,35,48,22,11,0,177,3,18,43,56,61,33,8,0,222,49,236,247,243,287,111,48,3,1224,46,138,225,255,264,118,53,13,1112,29,31,31,50,37,15,6,0,199,387,605,606,656,473,223,95,25,3070,43,59,25,32,19,11,0,0,189,459,695,662,738,529,249,101,25,3458,15,21,22,32,39,29,7,0,165,185,129,167,221,265,262,269,140,1638,757,1255,1409,1580,1493,824,497,181,7996,Colac-Otway (S)
21830,27,24,25,14,0,0,109,7,24,28,38,40,12,5,0,154,38,198,217,183,152,79,30,4,901,34,115,158,187,173,83,40,3,793,19,28,42,34,25,16,6,0,170,246,413,559,527,296,162,63,17,2283,30,40,29,22,20,0,0,0,141,295,481,630,583,341,178,69,17,2594,0,11,15,29,29,25,12,4,125,144,70,111,181,195,244,229,94,1268,523,913,1186,1225,955,635,385,122,5944,Corangamite (S)
21890,2104,1232,621,144,35,6,6980,61,968,1229,852,446,74,23,3,3656,1894,8391,6002,2797,1311,332,117,49,20893,1072,2798,2290,1501,772,255,117,58,8863,127,268,315,290,138,57,27,19,1241,1356,2529,2468,2070,1289,708,494,193,11107,199,205,182,138,68,15,4,0,811,1682,3002,2965,2498,1495,780,525,212,13159,95,220,199,175,111,54,43,21,918,1662,2132,1707,1451,1281,1347,1385,755,11720,6649,20166,16496,10506,6037,2986,2245,1104,66189,Darebin (C)
22110,76,69,111,63,14,3,386,3,73,102,126,186,68,17,3,578,82,422,499,530,589,317,127,23,2589,78,268,430,533,680,427,160,38,2614,46,75,70,95,122,79,24,4,515,548,972,1185,1331,1201,853,344,83,6517,77,101,81,92,65,23,3,0,442,671,1148,1336,1518,1388,955,371,87,7474,20,28,52,79,117,128,45,16,485,395,236,316,420,602,730,604,262,3565,1254,2220,2811,3275,3673,2688,1338,432,17691,East Gippsland (S)
22170,421,318,256,110,34,3,1506,29,347,348,355,297,104,23,0,1503,611,2748,2316,1549,1151,540,202,59,9176,691,1903,2007,1660,1332,706,277,108,8684,199,312,337,326,266,129,55,22,1646,2126,4121,4192,3857,2644,1419,695,181,19235,341,360,244,206,126,39,13,6,1335,2666,4793,4773,4389,3036,1587,763,209,22216,75,179,212,225,212,153,86,43,1185,1507,1139,1384,1499,1379,1351,1263,689,10211,5591,11461,11461,9995,7663,4551,2648,1111,54481,Frankston (C)
22250,9,4,15,3,0,0,42,0,16,23,25,23,10,0,3,100,23,111,95,78,93,43,19,6,468,14,71,89,72,91,57,20,6,420,10,13,19,18,17,6,3,0,86,106,235,280,329,247,141,59,17,1414,30,24,24,20,12,0,0,0,110,146,272,323,367,276,147,62,17,1610,7,6,10,19,13,15,4,6,80,100,55,88,117,155,188,182,98,983,290,542,637,682,666,463,287,136,3703,Gannawarra (S)
22410,24,37,23,9,0,0,116,3,23,53,44,50,11,0,0,184,46,232,228,221,198,67,26,8,1026,26,124,180,216,203,105,32,9,895,25,30,32,49,52,24,7,3,222,293,537,654,733,494,206,85,21,3023,45,50,33,30,24,6,4,3,195,363,617,719,812,570,236,96,27,3440,7,17,35,39,49,36,17,6,206,194,126,201,217,270,249,221,84,1562,639,1162,1440,1586,1363,713,392,134,7429,Glenelg (S)
22490,43,69,56,20,3,0,206,0,42,76,78,69,20,4,0,289,45,259,353,259,265,83,21,0,1285,36,188,293,290,240,97,21,9,1174,18,26,50,49,43,29,3,0,218,263,519,837,698,503,246,58,9,3133,45,42,30,34,28,6,0,0,185,326,587,917,781,574,281,61,9,3536,5,14,35,29,29,23,6,0,141,174,82,168,206,222,144,121,69,1186,586,1187,1885,1712,1455,668,237,87,7817,Golden Plains (S)
22620,331,360,337,142,29,5,1415,31,349,430,468,407,103,19,6,1813,617,2297,1898,1497,1162,507,179,47,8204,298,841,1146,1225,1179,613,259,84,5645,124,190,221,227,203,84,45,14,1108,1861,3042,2965,3058,2154,1149,521,111,14861,308,280,202,193,112,33,7,4,1139,2293,3512,3388,3478,2469,1266,573,129,17108,53,91,117,134,185,119,61,26,786,1015,666,800,921,1086,1190,1287,722,7687,4322,7952,8110,8083,6825,3940,2407,1019,42658,Greater Bendigo (C)
22670,658,332,164,77,26,6,2729,23,282,199,160,150,59,11,7,891,1216,4640,2379,1298,913,300,144,27,10917,1323,3096,1729,1206,859,370,182,38,8803,148,280,304,255,196,98,38,3,1322,1453,2661,2363,2133,1894,1166,542,148,12360,231,262,208,173,112,44,13,0,1043,1832,3203,2875,2561,2202,1308,593,151,14725,107,304,242,212,184,118,77,32,1276,1960,2054,1730,1639,1586,1458,1373,648,12448,6549,14957,9812,7408,6058,3690,2406,909,51789,Greater Dandenong (C)
