lga_code_2006_,lga_name_2006_,ier_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
34100,Jericho (S),999,444,7,67,QLD,114,8,73,900,1113,920,0
34150,Johnstone (S),961,228,4,35,QLD,63,4,40,863,1055,18253,4
34200,Jondaryan (S),1052,609,10,92,QLD,147,10,94,867,1149,14095,3
34250,Kilcoy (S),991,404,7,61,QLD,102,7,65,933,1049,3433,0
34300,Kilkivan (S),964,239,4,36,QLD,67,5,43,862,1073,3452,0
34350,Kingaroy (S),989,393,6,59,QLD,99,7,63,829,1109,12221,0
34400,Kolan (S),935,129,2,20,QLD,45,3,29,895,978,4563,0
34420,Kowanyama (S),600,21,1,4,QLD,9,1,6,600,600,1020,0
36400,Roma (T),982,358,6,54,QLD,92,6,59,868,1104,6507,0
36450,Rosalie (S),1018,525,8,79,QLD,131,9,83,917,1099,9034,0
52520,Dalwallinu (S),1022,536,9,81,WA ,99,7,70,967,1078,1367,0
35300,Mount Isa (C),985,368,6,56,QLD,94,6,60,673,1155,19663,1
34830,Mapoon (S),721,57,1,9,QLD,32,3,21,721,721,239,3
34850,Mareeba (S),956,198,3,30,QLD,57,4,37,794,1153,18211,6
34900,Maroochy (S),1020,531,8,80,QLD,134,9,85,757,1183,142840,0
34950,Maryborough (C),931,119,2,18,QLD,43,3,28,793,1084,25703,2
35350,Mount Morgan (S),862,71,2,11,QLD,36,3,23,822,936,2984,0
35450,Mundubbera (S),968,273,5,41,QLD,77,5,49,937,1023,2116,0
35500,Murgon (S),961,226,4,34,QLD,62,4,40,897,1091,3456,0
35550,Murilla (S),976,323,5,49,QLD,89,6,57,897,1129,2687,0
35600,Murweh (S),966,261,4,40,QLD,73,5,47,887,1140,4580,0
35650,Nanango (S),941,141,3,22,QLD,47,3,30,872,1031,9014,0
35670,Napranum (S),594,20,1,3,QLD,8,1,6,594,594,840,1
35700,Nebo (S),1032,564,9,85,QLD,139,9,88,1016,1080,2523,15
36550,Sarina (S),1013,506,8,76,QLD,126,8,80,864,1095,10720,0
57080,Perth (C),983,361,6,55,WA ,53,4,38,718,1141,11573,1
35730,New Mapoon (S),671,50,1,8,QLD,28,2,18,671,671,344,0
35750,Noosa (S),1012,499,8,75,QLD,124,8,79,778,1178,45830,0
36470,Saibai (IC),602,23,1,4,QLD,10,1,7,602,602,337,0
36480,St Pauls (IC),810,63,1,10,QLD,33,3,21,810,810,240,0
35770,Palm Island (S),541,3,1,1,QLD,1,1,1,541,541,1982,0
35800,Paroo (S),912,93,2,14,QLD,40,3,26,815,1142,1927,0
35850,Peak Downs (S),1065,620,10,93,QLD,151,10,96,1013,1131,3188,0
35900,Perry (S),965,245,4,37,QLD,70,5,45,905,1004,428,0
35950,Pine Rivers (S),1072,633,10,95,QLD,154,10,98,792,1227,141140,0
36050,Pittsworth (S),1011,498,8,75,QLD,123,8,78,968,1106,4785,0
36070,Pormpuraaw (S),695,54,1,9,QLD,30,2,19,695,695,600,0
36900,Toowoomba (C),972,297,5,45,QLD,83,6,53,753,1179,90200,0
36950,Torres (S),812,64,1,10,QLD,34,3,22,722,887,3233,0
37000,Townsville (C),996,428,7,65,QLD,109,7,69,639,1227,95463,3
37090,Ugar (IC),651,48,1,8,QLD,27,2,18,651,651,76,0
37110,Umagico (S),579,14,1,3,QLD,5,1,4,579,579,229,0
37120,Waggamba (S),1073,636,10,96,QLD,156,10,99,893,1181,2872,0
37150,Wambo (S),1018,522,8,79,QLD,129,9,82,880,1109,5227,0
54340,Katanning (S),947,153,3,23,WA ,22,2,16,895,1134,4210,0
54410,Kellerberrin (S),935,130,2,20,WA ,19,2,14,879,1060,1181,0
54480,Kent (S),1045,596,9,90,WA ,122,9,86,1013,1093,575,0
54550,Kojonup (S),1005,475,8,72,WA ,79,6,56,908,1107,2150,0
37170,Warraber (IC),573,10,1,2,QLD,4,1,3,573,573,246,0
37200,Warroo (S),1028,552,9,83,QLD,136,9,87,926,1124,1038,0
37260,Warwick (S),972,301,5,46,QLD,84,6,54,827,1086,21536,0
37300,Weipa (T),1040,588,9,89,QLD,144,10,92,999,1054,2831,0
37330,Whitsunday (S),1018,524,8,79,QLD,130,9,83,891,1155,16957,3
40070,Adelaide (C),951,172,3,26,SA ,18,3,26,742,1103,16660,4
40120,Adelaide Hills (DC),1070,629,10,95,SA ,69,10,98,942,1151,37858,0
40220,Alexandrina (DC),988,389,6,59,SA ,44,7,62,843,1113,20713,2
40250,Anangu Pitjantjatjara (AC),611,26,1,4,SA ,1,1,2,486,843,2232,4
40310,Barossa (DC),1021,535,9,81,SA ,61,9,86,871,1127,20548,0
56510,Narrogin (S),1085,643,10,97,WA ,135,10,95,1078,1089,832,0
37570,Wujal Wujal (S),619,31,1,5,QLD,13,1,9,619,619,325,0
37600,Yarrabah (S),569,8,1,2,QLD,3,1,2,569,569,2372,0
51960,Coolgardie (S),995,422,7,64,WA ,64,5,45,685,1052,3800,4
37400,Winton (S),965,251,4,38,QLD,71,5,45,852,1181,1380,0
37450,Wondai (S),956,194,3,30,QLD,56,4,36,884,1072,4398,0
37500,Woocoo (S),1026,547,9,82,QLD,135,9,86,939,1060,3440,0
37650,Yorke (IC),639,41,1,7,QLD,21,2,14,639,639,298,0
37550,Woorabinda (S),618,30,1,5,QLD,12,1,8,618,618,851,0
40520,Berri and Barmera (DC),947,157,3,24,SA ,16,3,23,796,1041,10933,0
40700,Burnside (C),1065,621,10,93,SA ,68,10,96,764,1192,41956,0
40910,Campbelltown (C),990,398,6,60,SA ,45,7,64,824,1139,46160,0
41010,Ceduna (DC),921,105,2,16,SA ,9,2,13,601,1053,3572,0
41060,Charles Sturt (C),953,181,3,28,SA ,19,3,27,652,1165,100531,0
41140,Clare and Gilbert Valleys (DC),994,417,7,63,SA ,47,7,67,857,1104,8144,0
41190,Cleve (DC),1011,497,8,75,SA ,56,8,79,928,1113,1897,0
41330,Coober Pedy (DC),894,82,2,13,SA ,4,1,6,838,943,1913,4
41560,Copper Coast (DC),937,133,2,20,SA ,12,2,17,805,1038,11445,0
41750,Elliston (DC),996,424,7,64,SA ,49,7,70,880,1116,1132,0
72500,Numbulwar Numburindi (CGC),550,4,1,1,NT ,3,1,9,550,550,681,1
72530,Nyirranggulung Mardrulk Ngadberre (CGC),551,6,1,1,NT ,4,2,12,408,678,936,10
41830,Flinders Ranges (DC),939,136,3,21,SA ,13,2,19,885,1088,1730,0
41960,Franklin Harbour (DC),991,403,7,61,SA ,46,7,65,970,1099,1276,0
53010,Dumbleyung (S),1019,528,8,80,WA ,96,7,68,925,1097,631,0
42030,Gawler (T),970,282,5,43,SA ,32,5,46,741,1116,18913,0
42110,Goyder (DC),967,267,4,40,SA ,29,5,41,838,1035,4184,0
42250,Grant (DC),1045,593,9,89,SA ,67,10,95,912,1100,7868,0
42600,Holdfast Bay (C),998,438,7,66,SA ,50,8,71,659,1139,33302,0
42750,Kangaroo Island (DC),981,352,6,53,SA ,38,6,54,929,1059,4260,0
43080,Karoonda East Murray (DC),999,448,7,68,SA ,51,8,72,947,1067,1164,0
43220,Kimba (DC),1016,517,8,78,SA ,58,9,82,943,1114,1112,0
43360,Kingston (DC),982,355,6,54,SA ,39,6,55,905,1074,2325,0
53080,Dundas (S),913,96,2,15,WA ,12,1,9,856,1003,1067,3
43570,Le Hunte (DC),971,286,5,43,SA ,33,5,47,839,1026,1313,0
43650,Light (RegC),1044,591,9,89,SA ,66,10,93,927,1135,12362,0
43710,Lower Eyre Peninsula (DC),1004,468,8,71,SA ,54,8,77,932,1090,4402,0
43790,Loxton Waikerie (DC),969,276,5,42,SA ,31,5,44,827,1060,11605,0
43920,Mallala (DC),1028,553,9,83,SA ,63,9,89,936,1098,7903,0
44060,Marion (C),965,246,4,37,SA ,27,4,39,623,1126,78701,0
44210,Mid Murray (DC),955,191,3,29,SA ,20,3,29,824,1048,8037,6
44340,Mitcham (C),1039,586,9,88,SA ,64,10,91,761,1216,61852,0
44550,Mount Barker (DC),1016,518,8,78,SA ,59,9,84,839,1153,26435,0
52030,Coorow (S),1015,515,8,78,WA ,92,7,65,964,1143,1200,0
52100,Corrigin (S),982,356,6,54,WA ,52,4,37,931,1085,1145,0
72380,Nauiyu Nambiyu (CGC),575,13,1,2,NT ,9,3,26,575,575,395,0
44620,Mount Gambier (C),929,116,2,18,SA ,11,2,16,612,1089,23493,0
44830,Mount Remarkable (DC),982,360,6,54,SA ,40,6,57,929,1083,2842,0
45040,Murray Bridge (RC),928,115,2,18,SA ,10,2,15,719,1064,17679,4
45090,Naracoorte and Lucindale (DC),995,421,7,64,SA ,48,7,68,899,1088,8079,0
45120,Northern Areas (DC),967,264,4,40,SA ,28,4,40,891,1067,4651,0
45290,Norwood Payneham St Peters (C),981,351,6,53,SA ,37,6,53,733,1122,33732,0
45340,Onkaparinga (C),985,373,6,56,SA ,42,6,60,634,1163,149736,0
45400,Orroroo/Carrieton (DC),979,347,6,52,SA ,36,6,51,930,1064,933,0
52590,Dandaragan (S),1015,513,8,77,WA ,91,7,64,885,1090,2884,0
52660,Dardanup (S),1057,613,10,92,WA ,126,9,89,993,1135,10336,0
52730,Denmark (S),966,258,4,39,WA ,35,3,25,893,1061,4511,0
52800,Derby-West Kimberley (S),774,61,1,10,WA ,5,1,4,396,1066,6507,7
52870,Donnybrook-Balingup (S),1020,532,8,80,WA ,97,7,68,952,1084,4738,0
52940,Dowerin (S),997,434,7,65,WA ,67,5,47,927,1110,702,0
45540,Peterborough (DC),867,72,2,11,SA ,2,1,3,795,1016,1902,0
45680,Playford (C),910,90,2,14,SA ,8,2,12,611,1124,70010,0
45890,Port Adelaide Enfield (C),909,89,2,14,SA ,7,1,10,653,1123,102929,1
46090,Port Augusta (C),899,83,2,13,SA ,5,1,8,720,1063,13876,7
46300,Port Lincoln (C),941,140,3,21,SA ,15,3,22,747,1091,13602,0
46450,Port Pirie City and Dists (M),903,85,2,13,SA ,6,1,9,758,1058,17142,0
53640,Gnowangerup (S),1002,462,7,70,WA ,75,6,53,930,1115,1362,0
46510,Prospect (C),1000,450,7,68,SA ,52,8,74,724,1127,19294,0
46670,Renmark Paringa (DC),956,196,3,30,SA ,22,4,31,831,1051,9450,3
46860,Robe (DC),1014,509,8,77,SA ,57,9,81,952,1077,1701,42
46970,Roxby Downs (M),1075,638,10,96,SA ,70,10,99,1049,1092,4054,5
47140,Salisbury (C),960,221,4,34,SA ,24,4,34,707,1184,118421,1
47290,Southern Mallee (DC),1001,458,7,69,SA ,53,8,75,934,1169,2135,0
47490,Streaky Bay (DC),960,218,4,33,SA ,23,4,33,920,997,2023,0
47630,Tatiara (DC),1008,486,8,73,SA ,55,8,78,944,1103,6862,0
47700,Tea Tree Gully (C),1018,521,8,78,SA ,60,9,85,845,1181,95972,0
47800,The Coorong (DC),963,234,4,36,SA ,25,4,36,663,1099,5668,0
47910,Tumby Bay (DC),986,377,6,57,SA ,43,7,61,895,1157,2541,0
51310,Cambridge (T),1122,660,10,99,WA ,139,10,98,882,1257,23756,2
51330,Canning (C),1034,571,9,86,WA ,114,8,80,584,1189,77306,0
51400,Capel (S),1093,646,10,97,WA ,136,10,96,961,1232,10206,0
51470,Carnamah (S),976,328,5,50,WA ,46,4,33,929,1084,747,0
51540,Carnarvon (S),934,125,2,19,WA ,18,2,13,549,1098,5682,0
51610,Chapman Valley (S),1009,489,8,74,WA ,83,6,59,979,1051,913,0
51680,Chittering (S),1068,626,10,94,WA ,131,10,92,1027,1142,3520,0
53780,Gosnells (C),1036,577,9,87,WA ,117,9,82,810,1191,91579,1
53850,Greenough (S),1061,617,10,93,WA ,128,9,90,819,1127,14036,3
47980,Unley (C),1026,546,9,82,SA ,62,9,88,753,1147,35999,0
48050,Victor Harbor (C),975,317,5,48,SA ,34,5,48,826,1092,12015,0
48130,Wakefield (DC),979,346,6,52,SA ,35,5,50,896,1097,6371,0
53150,East Fremantle (T),1067,625,10,94,WA ,130,10,91,1002,1131,6698,0
53220,East Pilbara (S),954,187,3,28,WA ,25,2,18,405,1097,6543,17
53290,Esperance (S),994,416,7,63,WA ,63,5,45,799,1117,12965,0
53360,Exmouth (S),968,272,5,41,WA ,36,3,26,913,1044,2063,1
53430,Fremantle (C),975,321,5,49,WA ,43,4,31,802,1108,24834,0
53500,Geraldton (C),927,114,2,18,WA ,16,2,12,784,1069,18915,0
53570,Gingin (S),1032,563,9,85,WA ,111,8,78,904,1100,4319,0
48260,Walkerville (M),1039,587,9,88,SA ,65,10,92,911,1183,6964,0
48340,Wattle Range (DC),964,243,4,37,SA ,26,4,37,760,1089,11889,0
48410,West Torrens (C),950,166,3,25,SA ,17,3,24,690,1085,52157,0
48540,Whyalla (C),868,74,2,12,SA ,3,1,5,725,1074,21416,0
48750,Yankalilla (DC),985,370,6,56,SA ,41,6,58,909,1052,4154,0
48830,Yorke Peninsula (DC),955,193,3,29,SA ,21,3,30,529,1077,11191,0
49399,Unincorporated SA,941,139,3,21,SA ,14,2,20,578,1077,3749,5
50080,Albany (C),988,388,6,59,WA ,58,5,41,764,1089,31575,1
50210,Armadale (C),1013,504,8,76,WA ,88,7,62,795,1181,50537,0
50250,Ashburton (S),1005,472,8,71,WA ,77,6,54,410,1051,6080,0
50280,Augusta-Margaret River (S),1022,538,9,81,WA ,101,8,71,920,1127,10352,0
50350,Bassendean (T),982,354,6,53,WA ,51,4,36,908,1062,13463,0
50420,Bayswater (C),1000,451,7,68,WA ,73,6,52,705,1223,55800,0
50490,Belmont (C),958,207,4,31,WA ,27,2,19,787,1134,30331,0
50560,Beverley (S),966,256,4,39,WA ,34,3,24,870,1062,1562,0
50630,Boddington (S),1022,537,9,81,WA ,100,7,70,948,1078,1377,0
50770,Boyup Brook (S),1012,500,8,75,WA ,86,7,61,925,1118,1479,0
50840,Bridgetown-Greenbushes (S),999,447,7,67,WA ,71,5,50,926,1073,3952,0
50910,Brookton (S),974,314,5,48,WA ,41,3,29,922,1071,980,0
50980,Broome (S),942,143,3,22,WA ,20,2,14,512,1142,13058,2
51050,Broomehill (S),1001,460,7,69,WA ,74,6,52,919,1106,478,0
51120,Bruce Rock (S),972,298,5,45,WA ,39,3,28,900,1073,952,0
51190,Bunbury (C),992,409,7,62,WA ,61,5,43,760,1160,29700,0
51260,Busselton (S),1028,551,9,83,WA ,106,8,75,825,1152,25355,0
51750,Claremont (T),1067,624,10,94,WA ,129,10,91,902,1193,8939,0
51820,Cockburn (C),1045,592,9,89,WA ,120,9,84,769,1184,74473,0
51890,Collie (S),977,332,5,50,WA ,47,4,33,842,1072,8611,0
54620,Kondinin (S),1006,477,8,72,WA ,80,6,56,890,1097,967,0
54690,Koorda (S),1004,470,8,71,WA ,76,6,54,938,1126,430,0
54760,Kulin (S),1026,545,9,82,WA ,104,8,73,926,1099,882,0
52170,Cottesloe (T),1123,662,10,100,WA ,141,10,99,942,1215,7257,0
52240,Cranbrook (S),1008,483,8,73,WA ,81,6,57,958,1066,1063,0
52310,Cuballing (S),1009,493,8,74,WA ,85,6,60,927,1071,782,0
52380,Cue (S),890,77,2,12,WA ,9,1,7,875,971,324,0
52450,Cunderdin (S),979,342,6,52,WA ,49,4,35,942,1044,1249,0
55810,Mount Magnet (S),963,233,4,35,WA ,31,3,22,944,1037,457,0
55880,Mount Marshall (S),1017,519,8,78,WA ,94,7,66,919,1125,615,0
56620,Ngaanyatjarraku (S),642,43,1,7,WA ,2,1,2,553,1025,1334,6
53710,Goomalling (S),978,337,6,51,WA ,48,4,34,906,1084,936,0
53920,Halls Creek (S),615,29,1,5,WA ,1,1,1,449,837,3136,34
53990,Harvey (S),1048,604,10,91,WA ,123,9,87,834,1156,19555,0
54060,Irwin (S),999,449,7,68,WA ,72,6,51,911,1063,3055,0
54130,Jerramungup (S),1031,562,9,85,WA ,110,8,77,950,1108,1128,0
54170,Joondalup (C),1101,651,10,98,WA ,138,10,97,890,1243,149673,0
54200,Kalamunda (S),1068,627,10,94,WA ,132,10,93,897,1207,49536,0
54280,Kalgoorlie/Boulder (C),1023,539,9,81,WA ,102,8,72,558,1183,28423,1
54970,Laverton (S),831,66,1,10,WA ,7,1,5,618,893,729,43
57140,Pingelly (S),959,213,4,32,WA ,29,3,21,900,1079,1168,0
57210,Plantagenet (S),987,383,6,58,WA ,57,4,40,934,1067,4484,0
57280,Port Hedland (T),996,425,7,64,WA ,66,5,47,485,1147,11957,12
57350,Quairading (S),955,192,3,29,WA ,26,2,19,909,1082,1020,0
55040,Leonora (S),987,380,6,57,WA ,56,4,40,907,1027,1410,0
55110,Mandurah (C),1019,526,8,79,WA ,95,7,67,788,1240,55815,1
55180,Manjimup (S),976,325,5,49,WA ,44,4,31,813,1072,9255,0
55250,Meekatharra (S),862,70,2,11,WA ,8,1,6,812,1122,1135,8
55320,Melville (C),1074,637,10,96,WA ,134,10,94,859,1228,93001,0
62410,Glamorgan/Spring Bay (M),961,225,4,34,TAS,17,6,57,916,1015,4190,0
62610,Glenorchy (C),913,97,2,15,TAS,3,2,11,728,1069,43412,0
62810,Hobart (C),992,410,7,62,TAS,27,10,91,786,1191,47701,0
63010,Huon Valley (M),965,249,4,38,TAS,18,7,61,843,1027,14001,0
55390,Menzies (S),735,59,1,9,WA ,4,1,3,659,801,216,2
55460,Merredin (S),973,306,5,46,WA ,40,3,28,830,1106,3247,0
63210,Kentish (M),952,177,3,27,TAS,16,6,54,834,1066,5762,0
63410,King Island (M),991,399,6,60,TAS,26,9,87,933,1067,1639,0
63610,Kingborough (M),1015,514,8,77,TAS,29,10,97,875,1136,30839,0
63810,Latrobe (M),970,285,5,43,TAS,22,8,74,808,1053,8630,0
64010,Launceston (C),926,112,2,17,TAS,8,3,27,636,1103,62219,0
64210,Meander Valley (M),986,378,6,57,TAS,25,9,84,861,1138,18352,0
64610,Northern Midlands (M),966,259,4,39,TAS,19,7,64,877,1107,12093,0
64810,Sorell (M),966,260,4,39,TAS,20,7,67,871,1075,11925,0
65010,Southern Midlands (M),975,315,5,48,TAS,23,8,77,864,1052,5670,0
65210,Tasman (M),934,128,2,20,TAS,10,4,34,894,990,2238,0
55530,Mingenew (S),976,327,5,49,WA ,45,4,32,905,1079,472,0
70300,Alpurrurulam (CGC),664,49,1,8,NT ,19,6,55,664,664,345,0
55600,Moora (S),985,375,6,57,WA ,55,4,39,924,1126,2411,0
59450,Wyalkatchem (S),943,146,3,22,WA ,21,2,15,881,1055,565,0
59520,Wyndham-East Kimberley (S),893,80,2,12,WA ,11,1,8,462,1065,6596,4
59590,Yalgoo (S),914,98,2,15,WA ,13,1,10,841,1037,243,0
59660,Yilgarn (S),1020,534,8,80,WA ,98,7,69,937,1107,1414,0
55670,Morawa (S),960,217,4,33,WA ,30,3,21,905,1139,826,0
55740,Mosman Park (T),1045,595,9,90,WA ,121,9,85,780,1276,8251,0
56440,Narrogin (T),953,186,3,28,WA ,24,2,17,806,1038,4238,0
55950,Mukinbudin (S),995,423,7,64,WA ,65,5,46,921,1067,577,0
56020,Mullewa (S),922,108,2,17,WA ,15,2,11,835,1004,910,0
56090,Mundaring (S),1069,628,10,95,WA ,133,10,94,873,1162,35095,2
56160,Murchison (S),892,79,2,12,WA ,10,1,7,658,1073,113,18
56230,Murray (S),1025,544,9,82,WA ,103,8,73,881,1144,11970,0
56300,Nannup (S),998,441,7,67,WA ,69,5,49,935,1059,1190,0
56370,Narembeen (S),989,392,6,59,WA ,59,5,42,923,1122,905,0
57420,Ravensthorpe (S),1054,611,10,92,WA ,124,9,87,977,1147,1949,0
57490,Rockingham (C),1036,576,9,87,WA ,116,9,82,777,1214,84309,0
57560,Roebourne (S),1033,566,9,85,WA ,112,8,79,525,1126,16421,3
56650,Northam (T),930,117,2,18,WA ,17,2,12,827,1052,6008,0
56720,Northam (S),990,397,6,60,WA ,60,5,42,850,1071,3793,0
56790,Northampton (S),975,318,5,48,WA ,42,3,30,729,1098,3206,0
56860,Nungarin (S),980,350,6,53,WA ,50,4,35,914,1071,244,0
70770,Cox Peninsula (CGC),986,376,6,57,NT ,31,9,89,986,986,294,0
56930,Peppermint Grove (S),1168,666,10,100,WA ,142,10,100,1142,1204,1582,0
57000,Perenjori (S),1005,474,8,71,WA ,78,6,55,907,1083,529,0
70790,Daguragu (CGC),574,12,1,2,NT ,8,3,23,490,629,543,0
71000,Darwin (C),1000,456,7,69,NT ,33,10,95,498,1205,66290,0
71350,Elliott District (CGC),679,51,1,8,NT ,20,6,58,679,679,420,16
72000,Jabiru (T),974,312,5,47,NT ,29,9,83,868,999,1136,0
72100,Jilkminggan (CGC),288,1,1,1,NT ,1,1,3,288,288,273,0
57630,Sandstone (S),922,106,2,16,WA ,14,1,10,922,922,120,0
57700,Serpentine-Jarrahdale (S),1098,648,10,98,WA ,137,10,96,1001,1170,12892,2
57770,Shark Bay (S),953,182,3,28,WA ,23,2,17,873,1029,858,7
57840,South Perth (C),1029,557,9,84,WA ,108,8,76,847,1161,38360,1
57910,Stirling (C),1009,490,8,74,WA ,84,6,59,745,1226,176868,0
57980,Subiaco (C),1027,548,9,83,WA ,105,8,74,596,1144,16379,0
58050,Swan (C),1037,580,9,87,WA ,118,9,83,786,1208,93279,0
58120,Tambellup (S),985,366,6,55,WA ,54,4,38,869,1093,659,0
58190,Tammin (S),966,254,4,39,WA ,33,3,24,884,1067,390,0
58260,Three Springs (S),999,443,7,67,WA ,70,5,49,952,1094,662,0
58330,Toodyay (S),1014,508,8,77,WA ,90,7,63,935,1092,4113,0
58400,Trayning (S),963,236,4,36,WA ,32,3,23,886,1009,393,0
59730,York (S),998,436,7,66,WA ,68,5,48,958,1091,3114,0
60210,Break O'Day (M),924,111,2,17,TAS,7,3,24,804,1011,6068,0
60410,Brighton (M),901,84,2,13,TAS,1,1,4,646,1110,14120,5
60610,Burnie (C),914,99,2,15,TAS,4,2,14,618,1076,19053,0
60810,Central Coast (M),945,150,3,23,TAS,13,5,44,807,1090,20663,0
61010,Central Highlands (M),951,171,3,26,TAS,15,6,51,895,1014,2242,3
61210,Circular Head (M),970,284,5,43,TAS,21,8,71,809,1052,7954,0
61410,Clarence (C),982,353,6,53,TAS,24,9,81,662,1146,49638,2
61510,Derwent Valley (M),937,134,3,21,TAS,11,4,37,739,1064,9479,0
61610,Devonport (C),914,100,2,15,TAS,5,2,17,674,1045,24014,0
61810,Dorset (M),949,161,3,25,TAS,14,5,47,763,1030,6999,0
62010,Flinders (M),940,137,3,21,TAS,12,5,41,899,986,861,0
62210,George Town (M),907,87,2,14,TAS,2,1,7,768,1044,6526,0
58470,Upper Gascoyne (S),824,65,1,10,WA ,6,1,5,642,995,285,0
58510,Victoria Park (T),958,209,4,32,WA ,28,2,20,733,1187,27956,4
65410,Waratah/Wynyard (M),933,123,2,19,TAS,9,4,31,796,1065,13411,0
65610,West Coast (M),921,104,2,16,TAS,6,3,21,809,1000,5003,0
65810,West Tamar (M),1003,466,7,70,TAS,28,10,94,830,1138,20813,0
58540,Victoria Plains (S),1012,503,8,76,WA ,87,7,61,928,1040,903,0
70200,Alice Springs (T),997,430,7,65,NT ,32,10,92,527,1106,23891,4
58570,Vincent (T),1016,516,8,78,WA ,93,7,66,792,1105,26879,0
58610,Wagin (S),970,280,5,42,WA ,37,3,26,906,1105,1843,0
58680,Wandering (S),1038,581,9,87,WA ,119,9,84,1027,1060,355,0
58760,Wanneroo (C),1060,615,10,93,WA ,127,9,89,809,1222,110941,0
58820,Waroona (S),1014,507,8,76,WA ,89,7,63,884,1111,3451,0
58890,West Arthur (S),1033,568,9,86,WA ,113,8,80,949,1084,853,0
59030,Westonia (S),1055,612,10,92,WA ,125,9,88,1055,1055,213,0
59100,Wickepin (S),971,291,5,44,WA ,38,3,27,911,1100,716,0
59170,Williams (S),1030,560,9,84,WA ,109,8,77,953,1100,866,0
59250,Wiluna (S),718,56,1,9,WA ,3,1,3,382,879,680,56
59310,Wongan-Ballidu (S),1008,487,8,73,WA ,82,6,58,950,1135,1387,0
59380,Woodanilling (S),1035,575,9,87,WA ,115,9,81,992,1091,399,0
72200,Katherine (T),926,113,2,17,NT ,28,9,81,468,1070,8191,2
72240,Kunbarllanjnja (CGC),584,15,1,3,NT ,10,3,29,584,584,882,0
72270,Lajamanu (CGC),613,27,1,5,NT ,15,5,43,613,613,669,0
72300,Litchfield (S),1050,607,10,91,NT ,34,10,98,932,1133,15555,5
72320,Ltyentye Purte (CGC),571,9,1,2,NT ,6,2,18,571,571,541,0
72340,Marngarr (CGC),603,24,1,4,NT ,14,5,41,603,603,275,17
72360,Mataranka (CGC),877,75,2,12,NT ,26,8,75,877,877,251,0
72800,Palmerston (C),984,362,6,55,NT ,30,9,86,478,1180,23718,0
73030,Pine Creek (CGC),868,73,2,11,NT ,25,8,72,868,868,346,26
73800,Tennant Creek (T),847,67,2,11,NT ,24,7,69,518,967,2921,4
74020,Thamarrurr (CGC),586,16,1,3,NT ,11,4,32,505,601,1930,0
74030,Timber Creek (CGC),758,60,1,9,NT ,23,7,66,758,758,228,0
74050,Tiwi Islands (CGC),588,18,1,3,NT ,12,4,35,571,641,2128,3
74600,Walangeri Ngumpinku (CGC),573,11,1,2,NT ,7,3,21,466,595,463,39
74650,Wallace Rockhole (CGC),626,35,1,6,NT ,17,5,49,626,626,88,0
75000,Yuendumu (CGC),628,36,1,6,NT ,18,6,52,628,628,693,1
75050,Yugul Mangi (CGC),554,7,1,2,NT ,5,2,15,511,874,1642,1
79399,Unincorporated NT,722,58,1,9,NT ,22,7,63,272,1055,30525,24
89399,Unincorporated ACT,1061,616,10,93,ACT,1,6,51,512,1240,323328,1
99399,Unincorp. Other Territories,923,110,2,17,OT ,1,6,51,730,1060,2290,0
