lga_name_2016,lga_code_2016,d_10_12_fpnlf_mpet,d_10_12_fpnlf_mpulftw,d_10_12_fpnlf_mpulptw,d_10_12_fpnlf_mput,d_10_12_fpnlf_mptlf,d_10_12_fpnlf_mpnlf,d_10_12_fpnlf_mplfsns,d_10_12_fpnlf_t,d_10_12_fplfsns_mpeft,d_10_12_fplfsns_mpept,d_10_12_fplfsns_mpeaw,d_10_12_fplfsns_mpehns,d_10_12_fplfsns_mpet,d_10_12_fplfsns_mpulftw,d_10_12_fplfsns_mpulptw,d_10_12_fplfsns_mput,d_10_12_fplfsns_mptlf,d_10_12_fplfsns_mpnlf,d_10_12_fplfsns_mplfsns,d_10_12_fplfsns_t,d_10_12_fpt_mpeft,d_10_12_fpt_mpept,d_10_12_fpt_mpeaw,d_10_12_fpt_mpehns,d_10_12_fpt_mpet,d_10_12_fpt_mpulftw,d_10_12_fpt_mpulptw,d_10_12_fpt_mput,d_10_12_fpt_mptlf,d_10_12_fpt_mpnlf,d_10_12_fpt_mplfsns,d_10_12_fpt_t,d_13_14_fpeft_mpeft,d_13_14_fpeft_mpept,d_13_14_fpeft_mpeaw,d_13_14_fpeft_mpehns,d_13_14_fpeft_mpet,d_13_14_fpeft_mpulftw,d_13_14_fpeft_mpulptw,d_13_14_fpeft_mput,d_13_14_fpeft_mptlf,d_13_14_fpeft_mpnlf,d_13_14_fpeft_mplfsns,d_13_14_fpeft_t,d_13_14_fpept_mpeft,d_13_14_fpept_mpept,d_13_14_fpept_mpeaw,d_13_14_fpept_mpehns,d_13_14_fpept_mpet,d_13_14_fpept_mpulftw,d_13_14_fpept_mpulptw,d_13_14_fpept_mput,d_13_14_fpept_mptlf,d_13_14_fpept_mpnlf,d_13_14_fpept_mplfsns,d_13_14_fpept_t,d_13_14_fpeaw_mpeft,d_13_14_fpeaw_mpept,d_13_14_fpeaw_mpeaw,d_13_14_fpeaw_mpehns,d_13_14_fpeaw_mpet,d_13_14_fpeaw_mpulftw,d_13_14_fpeaw_mpulptw,d_13_14_fpeaw_mput,d_13_14_fpeaw_mptlf,d_13_14_fpeaw_mpnlf,d_13_14_fpeaw_mplfsns,d_13_14_fpeaw_t,d_13_14_fphns_mpeft,d_13_14_fphns_mpept,d_13_14_fphns_mpeaw,d_13_14_fphns_mpehns,d_13_14_fphns_mpet,d_13_14_fphns_mpulftw,d_13_14_fphns_mpulptw,d_13_14_fphns_mput,d_13_14_fphns_mptlf,d_13_14_fphns_mpnlf,d_13_14_fphns_mplfsns,d_13_14_fphns_t,d_13_14_fpet_mpeft,d_13_14_fpet_mpept,d_13_14_fpet_mpeaw,d_13_14_fpet_mpehns,d_13_14_fpet_mpet,d_13_14_fpet_mpulftw,d_13_14_fpet_mpulptw,d_13_14_fpet_mput,d_13_14_fpet_mptlf,d_13_14_fpet_mpnlf,d_13_14_fpet_mplfsns,d_13_14_fpet_t,d_13_14_fpulftw_mpeft,d_13_14_fpulftw_mpept,d_13_14_fpulftw_mpeaw,d_13_14_fpulftw_mpehns,d_13_14_fpulftw_mpet,d_13_14_fpulftw_mpulftw,d_13_14_fpulftw_mpulptw,d_13_14_fpulftw_mput,d_13_14_fpulftw_mptlf,d_13_14_fpulftw_mpnlf,d_13_14_fpulftw_mplfsns,d_13_14_fpulftw_t,d_13_14_fpulptw_mpeft,d_13_14_fpulptw_mpept,d_13_14_fpulptw_mpeaw,d_13_14_fpulptw_mpehns,d_13_14_fpulptw_mpet,d_13_14_fpulptw_mpulftw,d_13_14_fpulptw_mpulptw,d_13_14_fpulptw_mput,d_13_14_fpulptw_mptlf,d_13_14_fpulptw_mpnlf,d_13_14_fpulptw_mplfsns,d_13_14_fpulptw_t,d_13_14_fput_mpeft,d_13_14_fput_mpept,d_13_14_fput_mpeaw,d_13_14_fput_mpehns,d_13_14_fput_mpet,d_13_14_fput_mpulftw,d_13_14_fput_mpulptw,d_13_14_fput_mput,d_13_14_fput_mptlf,d_13_14_fput_mpnlf,d_13_14_fput_mplfsns,d_13_14_fput_t,d_13_14_fptlf_mpeft,d_13_14_fptlf_mpept,d_13_14_fptlf_mpeaw,d_13_14_fptlf_mpehns,d_13_14_fptlf_mpet,d_13_14_fptlf_mpulftw,d_13_14_fptlf_mpulptw,d_13_14_fptlf_mput,d_13_14_fptlf_mptlf,d_13_14_fptlf_mpnlf,d_13_14_fptlf_mplfsns,d_13_14_fp_t,d_13_14_fpnlf_mpeft,d_13_14_fpnlf_mpept,d_13_14_fpnlf_mpeaw,d_13_14_fpnlf_mpehns,d_13_14_fpnlf_mpet,d_13_14_fpnlf_mpulftw,d_13_14_fpnlf_mpulptw,d_13_14_fpnlf_mput,d_13_14_fpnlf_mptlf,d_13_14_fpnlf_mpnlf,d_13_14_fpnlf_mplfsns,d_13_14_fpnlf_t,d_13_14_fplfsns_mpeft,d_13_14_fplfsns_mpept,d_13_14_fplfsns_mpeaw,d_13_14_fplfsns_mpehns,d_13_14_fplfsns_mpet,d_13_14_fplfsns_mpulftw,d_13_14_fplfsns_mpulptw,d_13_14_fplfsns_mput,d_13_14_fplfsns_mptlf,d_13_14_fplfsns_mpnlf,d_13_14_fplfsns_mplfsns,d_13_14_fplfsns_t,d_13_14_fpt_mpeft,d_13_14_fpt_mpept,d_13_14_fpt_mpeaw,d_13_14_fpt_mpehns,d_13_14_fpt_mpet,d_13_14_fpt_mpulftw,d_13_14_fpt_mpulptw,d_13_14_fpt_mput,d_13_14_fpt_mptlf,d_13_14_fpt_mpnlf,d_13_14_fpt_mplfsns,d_13_14_fpt_t,d_15_17_fpeft_mpeft,d_15_17_fpeft_mpept,d_15_17_fpeft_mpeaw,d_15_17_fpeft_mpehns,d_15_17_fpeft_mpet,d_15_17_fpeft_mpulftw,d_15_17_fpeft_mpulptw,d_15_17_fpeft_mput,d_15_17_fpeft_mptlf,d_15_17_fpeft_mpnlf,d_15_17_fpeft_mplfsns,d_15_17_fpeft_t,d_15_17_fpept_mpeft,d_15_17_fpept_mpept,d_15_17_fpept_mpeaw,d_15_17_fpept_mpehns,d_15_17_fpept_mpet,d_15_17_fpept_mpulftw,d_15_17_fpept_mpulptw,d_15_17_fpept_mput,d_15_17_fpept_mptlf,d_15_17_fpept_mpnlf,d_15_17_fpept_mplfsns,d_15_17_fpept_t
Halls Creek (S),53920,17,3,3,11,21,26,0,46,0,0,0,0,0,0,0,0,0,0,3,3,21,17,0,3,37,7,3,11,48,33,0,84,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,9,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,5,3,0,11,0,0,0,0,0,3,0,3,3,9,0,17,0,0,0,0,0,0,0,0,0,0,3,5,3,3,0,0,5,4,0,4,12,16,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey (S),53990,157,3,0,3,161,14,0,180,0,0,0,0,0,0,0,0,0,0,0,3,657,45,33,17,745,38,3,37,787,35,3,821,125,3,3,0,132,3,0,3,140,10,0,142,206,18,5,0,231,5,0,4,238,7,0,242,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,338,22,8,0,367,7,0,12,375,10,0,391,4,0,0,0,5,0,0,0,5,0,0,5,14,0,0,0,16,3,0,6,24,0,0,22,19,0,0,0,20,3,0,4,30,0,0,28,351,22,8,0,388,17,3,18,408,10,5,421,66,12,0,3,86,7,0,7,87,9,0,99,0,0,0,0,0,0,0,0,0,0,3,3,420,34,11,3,474,20,3,26,495,25,3,522,188,12,4,3,204,6,0,6,207,10,0,219,230,28,9,4,263,0,0,3,267,6,0,275
Irwin (S),54060,19,0,0,0,19,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,51,10,13,3,76,4,0,4,82,3,0,85,14,0,0,0,18,0,0,0,17,0,0,17,13,3,4,0,19,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,3,0,34,0,0,0,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,3,0,39,0,0,0,37,0,0,38,5,0,3,0,8,0,0,0,8,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,37,3,6,0,42,0,0,0,48,5,0,47,24,0,3,0,29,0,0,0,30,0,0,30,18,3,4,0,30,0,0,0,30,3,0,32
Goomalling (S),53710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,19,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,9,0,0,13,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,3,0,0,9
Gosnells (C),53780,857,49,14,64,920,209,0,1131,3,0,0,3,9,0,0,0,9,7,7,23,2351,359,47,52,2809,149,18,173,2980,314,14,3312,465,59,5,3,530,32,3,34,562,33,0,598,513,80,9,8,607,23,0,26,631,35,0,665,20,9,4,0,29,0,0,0,27,3,0,34,7,3,0,15,21,0,3,3,25,5,3,29,999,144,20,27,1191,60,8,63,1256,66,5,1326,22,3,0,0,23,9,0,9,30,3,0,34,31,10,0,0,40,3,0,5,50,0,0,50,53,11,0,0,65,11,0,17,80,3,0,78,1051,155,22,27,1255,71,8,74,1332,72,5,1405,357,68,4,9,435,33,4,36,468,109,0,583,3,0,0,4,5,0,0,0,5,3,6,13,1414,221,26,40,1703,99,11,108,1812,181,12,2007,662,83,20,7,774,40,0,42,815,39,0,852,685,124,9,9,827,44,3,43,867,42,0,911
Kalamunda (S),54200,307,12,0,8,311,48,0,363,0,0,0,0,0,0,0,0,3,0,0,6,1194,142,30,21,1389,46,7,48,1442,97,0,1534,215,28,3,0,246,6,0,9,254,12,0,273,354,44,5,0,400,9,0,9,411,13,0,423,6,0,0,0,9,0,0,0,9,0,0,9,3,0,0,4,8,0,0,0,7,0,0,7,575,74,12,7,664,16,0,15,683,30,0,712,16,0,0,0,16,0,0,0,12,3,0,15,15,0,0,0,14,4,0,6,24,3,0,23,31,0,0,0,31,6,0,9,34,4,0,37,607,74,12,3,692,25,3,25,722,32,0,752,147,18,4,3,173,10,3,8,182,26,0,209,5,0,0,0,5,0,0,0,3,0,3,8,757,91,18,10,871,32,3,37,910,54,5,968,371,39,8,3,421,12,3,18,439,17,0,455,473,67,12,0,554,15,0,18,569,17,3,582
Katanning (S),54340,29,3,3,3,28,10,0,36,0,0,0,0,0,0,0,0,0,0,0,0,88,4,0,0,95,7,3,10,107,10,0,113,9,0,0,0,9,0,0,0,9,0,0,9,12,4,0,0,19,0,0,0,19,0,0,16,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,32,0,0,0,32,0,0,33,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,25,4,0,3,30,0,0,0,33,0,0,38,11,0,0,0,11,0,0,0,11,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,36,4,0,3,42,0,0,0,44,3,0,46,7,0,0,0,13,0,0,0,13,0,0,13,15,0,0,0,16,0,0,0,16,7,0,23
Kellerberrin (S),54410,10,0,0,0,10,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,30,0,3,0,30,0,0,0,30,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,3,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,3,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,3,11,0,0,11,5,4,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,12,0,0,3,18,0,0,21,4,0,0,0,4,0,0,0,4,0,0,4,5,3,0,0,7,0,0,0,10,0,0,11
Kent (S),54480,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,15,0,0,0,15,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kojonup (S),54550,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0,0,51,0,0,0,51,0,0,51,9,3,0,0,10,0,0,0,10,0,0,10,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,16,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,16,0,0,0,16,0,0,16,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,3,3,20,3,0,0,22,0,0,0,22,0,3,22,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,7,0,0,0,7,0,0,7
Kondinin (S),54620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,24,0,0,4,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4
Koorda (S),54690,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kulin (S),54760,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,27,0,0,0,27,3,0,26,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kwinana (C),54830,214,15,3,21,236,41,0,277,0,0,0,0,3,0,0,0,3,0,3,8,620,112,18,14,767,41,10,45,815,67,9,891,122,15,5,0,139,6,0,5,147,11,0,158,136,20,9,0,169,10,0,10,174,9,0,184,3,0,3,0,7,0,0,0,6,0,0,6,3,0,0,3,3,0,0,0,5,0,0,9,270,39,15,4,323,17,0,13,339,18,0,361,3,5,0,0,13,3,0,3,11,0,0,14,13,0,0,0,14,3,0,3,15,0,0,15,19,3,0,0,25,4,0,4,29,0,0,29,286,38,13,4,346,23,0,24,370,18,0,392,96,22,8,3,119,9,0,12,137,36,0,165,0,0,0,0,0,0,0,0,0,0,6,8,379,63,16,11,467,29,3,31,504,57,6,560,152,28,3,0,184,5,0,11,192,17,0,213,154,24,3,0,187,7,0,9,196,14,0,209
Lake Grace (S),54900,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,28,0,0,0,28,0,0,28,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3
Leonora (S),55040,4,0,0,0,4,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,0,0,14,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laverton (S),54970,3,0,0,3,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,3,15,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,3,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,6,7,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandurah (C),55110,364,32,4,40,403,66,0,468,0,0,0,0,0,0,0,0,0,0,3,3,1278,146,44,34,1510,89,4,95,1608,133,4,1745,230,21,7,0,270,15,0,20,286,9,0,302,348,42,11,5,408,15,5,15,425,14,3,437,9,0,0,0,7,0,0,0,9,4,0,10,3,0,0,0,9,0,0,0,6,0,0,6,592,67,21,11,685,32,7,39,724,29,3,758,10,0,0,0,11,0,0,0,18,0,0,18,30,8,0,0,37,3,0,0,44,0,0,45,44,8,3,0,56,4,0,3,60,0,0,59,641,68,24,12,744,33,8,45,786,33,3,818,173,28,9,6,213,18,0,20,233,47,0,276,0,0,0,0,0,0,0,0,3,0,0,4,814,98,29,21,956,56,5,64,1018,79,3,1099,356,40,13,6,411,15,0,11,424,21,0,446,489,58,15,3,568,29,7,32,602,24,4,627
Manjimup (S),55180,30,0,0,4,35,10,0,44,0,0,0,0,0,0,0,0,0,0,0,0,201,23,7,3,227,6,0,8,238,20,0,260,51,4,0,0,56,0,0,0,56,3,0,61,64,11,4,0,81,0,0,0,81,6,0,87,0,0,4,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,123,14,10,0,144,3,0,3,145,7,0,149,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,122,14,10,0,147,3,0,3,147,7,0,158,12,3,0,3,23,0,0,0,22,12,0,32,0,0,0,0,0,0,0,0,0,0,0,0,133,16,9,3,168,3,0,3,171,20,0,189,80,3,3,0,81,0,0,0,86,3,0,93,75,4,4,0,87,0,0,0,87,10,0,97
Meekatharra (S),55250,3,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,5,0,0,0,5,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melville (C),55320,487,25,3,26,513,30,0,552,4,0,0,0,5,0,0,0,5,0,0,3,2159,224,58,25,2459,83,13,90,2555,103,0,2660,417,41,6,3,464,19,0,18,482,17,0,500,666,66,5,4,739,19,0,18,759,17,0,782,10,0,6,0,17,0,0,0,15,0,0,15,3,0,0,4,13,0,0,0,13,0,0,13,1095,106,12,16,1229,37,3,40,1272,33,0,1305,15,0,0,0,17,0,0,0,19,0,0,21,22,8,0,0,29,6,0,6,36,0,0,36,44,9,0,0,49,5,0,5,52,0,0,58,1137,112,14,16,1280,46,3,48,1325,36,0,1369,233,24,8,0,270,12,0,13,279,27,0,306,0,0,0,3,7,0,0,0,7,0,0,5,1379,133,23,17,1550,56,3,60,1614,60,0,1677,642,50,11,3,709,15,4,19,728,31,0,762,953,103,12,3,1066,27,8,37,1104,27,0,1124
Mukinbudin (S),55950,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,18,0,0,0,18,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasman (M),65210,9,3,0,3,18,14,0,29,3,0,0,0,5,0,0,0,5,0,0,5,32,5,0,0,41,3,0,3,43,13,0,57,4,0,0,0,4,0,0,0,4,0,0,4,8,3,0,0,11,0,0,0,11,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,12,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,13,0,0,0,13,3,0,21,0,6,0,0,6,0,0,0,6,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,19,0,0,0,19,11,0,28,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3
Menzies (S),55390,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Merredin (S),55460,16,0,0,0,16,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,76,3,3,3,84,0,0,0,84,3,0,86,16,3,0,0,21,3,0,3,21,0,0,21,19,0,0,3,25,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,39,3,0,3,47,3,0,3,46,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,39,3,0,3,47,3,0,3,46,3,0,49,9,3,0,0,8,0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,46,4,3,3,52,3,0,3,60,4,0,61,14,3,0,0,16,3,0,3,24,0,0,22,17,3,0,0,17,0,0,0,21,0,0,20
Ngaanyatjarraku (S),56620,7,0,0,3,9,7,0,14,0,0,0,0,0,0,0,0,0,0,14,14,3,10,0,0,20,5,3,7,20,12,17,56,0,0,0,0,3,0,0,0,3,3,0,3,3,4,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,0,6,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,6,0,0,0,5,9,0,18,3,0,0,0,3,0,0,0,7,5,0,8,0,0,0,0,0,0,0,0,0,0,3,3,9,3,0,0,10,0,3,3,12,18,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
