lga_code16,onemeth_train_m,onemeth_train_f,onemeth_train_p,onemeth_bus_m,onemeth_bus_f,onemeth_bus_p,onemeth_ferry_m,onemeth_ferry_f,onemeth_ferry_p,onemeth_tram_inc_lt_rail_m,onemeth_tram_inc_lt_rail_f,onemeth_tram_inc_lt_rail_p,onemeth_taxi_m,onemeth_taxi_f,onemeth_taxi_p,onemeth_car_as_driver_m,onemeth_car_as_driver_f,onemeth_car_as_driver_p,onemeth_car_as_passenger_m,onemeth_car_as_passenger_f,onemeth_car_as_passenger_p,onemeth_truck_m,onemeth_truck_f,onemeth_truck_p,onemeth_motorbike_scooter_m,onemeth_motorbike_scooter_f,onemeth_motorbike_scooter_p,onemeth_bicycle_m,onemeth_bicycle_f,onemeth_bicycle_p,onemeth_other_m,onemeth_other_f,onemeth_other_p,onemeth_walked_only_m,onemeth_walked_only_f,onemeth_walked_only_p,onemeth_tot_onemeth_m,onemeth_tot_onemeth_f,onemeth_tot_onemeth_p,twometh_train_bus_m,twometh_train_bus_f,twometh_train_bus_p,twometh_train_ferry_m,twometh_train_ferry_f,twometh_train_ferry_p,twometh_trn_trm_inc_lt_rl_m,twometh_trn_trm_inc_lt_rl_f,twometh_trn_trm_inc_lt_rl_p,twometh_train_car_as_drvr_m,twometh_train_car_as_drvr_f,twometh_train_car_as_drvr_p,twometh_trn_car_as_pass_m,twometh_trn_car_as_pass_f,twometh_trn_car_as_pass_p,twometh_train_other_m,twometh_train_other_f,twometh_train_other_p,twometh_train_tot_m,twometh_train_tot_f,twometh_train_tot_p,twometh_bus_ferry_m,twometh_bus_ferry_f,twometh_bus_ferry_p,twometh_bus_trm_inc_lt_rl_m,twometh_bus_trm_inc_lt_rl_f,twometh_bus_trm_inc_lt_rl_p,twometh_bus_car_as_driver_m,twometh_bus_car_as_driver_f,twometh_bus_car_as_driver_p,twometh_bus_car_as_pass_m,twometh_bus_car_as_pass_f,twometh_bus_car_as_pass_p,twometh_bus_other_m,twometh_bus_other_f,twometh_bus_other_p,twometh_bus_tot_m,twometh_bus_tot_f,twometh_bus_tot_p,twometh_other_twometh_m,twometh_other_twometh_f,twometh_other_twometh_p,twometh_tot_twometh_m,twometh_tot_twometh_f,twometh_tot_twometh_p,threemeth_trn_2_othr_mthd_m,threemeth_trn_2_othr_mthd_f,threemeth_trn_2_othr_mthd_p,thremth_bu_2_ot_met_exc_tra_m,thremth_bu_2_ot_met_exc_tra_f,thremth_bu_2_ot_met_exc_tra_p,threemeth_oth_threemeth_m,threemeth_oth_threemeth_f,threemeth_oth_threemeth_p,threemeth_tot_threemeth_m,threemeth_tot_threemeth_f,threemeth_tot_threemeth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,meth_travel_to_work_ns_m,meth_travel_to_work_ns_f,meth_travel_to_work_ns_p,tot_m,tot_f,tot_p,lga_name16
20260,4,0,7,20,4,20,0,0,0,0,0,4,3,0,3,1633,1398,3036,167,126,292,38,3,42,9,0,13,27,0,27,21,6,27,160,124,283,2076,1672,3742,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,23,12,12,21,3,0,3,0,0,0,3,0,3,3,0,3,212,162,377,199,316,514,34,32,60,2535,2184,4725,Ararat (RC)
20570,322,195,517,152,211,363,10,3,15,3,9,13,57,49,114,16516,14726,31242,1046,1231,2278,215,4,220,81,8,95,250,55,300,110,46,154,655,638,1291,19415,17174,36592,14,16,28,0,0,0,21,15,39,107,56,161,15,15,24,24,3,23,173,105,275,0,0,0,0,0,0,5,12,20,13,34,46,3,3,4,25,39,67,136,88,218,332,230,562,52,64,112,6,7,10,9,0,9,71,70,134,750,970,1722,1685,3270,4949,213,210,424,22464,21929,44388,Ballarat (C)
20660,3255,2628,5877,384,433,820,8,6,16,49,74,126,62,30,92,18935,16221,35148,718,1220,1937,260,5,263,195,38,234,531,94,627,148,74,222,688,662,1354,25235,21479,46716,343,227,569,0,0,0,207,194,400,525,431,956,94,141,229,84,31,108,1246,1027,2275,0,0,0,32,31,63,20,5,25,18,25,44,6,3,7,67,71,140,178,124,303,1493,1223,2714,260,264,524,3,9,16,11,10,13,270,278,555,1070,1436,2502,1822,3653,5478,235,211,448,30127,28287,58414,Banyule (C)
20740,19,8,27,23,17,42,0,0,0,6,3,7,4,4,11,4463,3810,8269,242,246,495,91,0,92,28,6,34,67,28,95,44,27,72,239,235,470,5223,4388,9604,0,7,7,0,0,0,0,3,3,13,3,17,0,0,3,0,0,0,20,10,24,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,8,0,8,38,17,51,61,24,89,3,8,9,3,0,3,3,0,3,10,8,14,398,478,878,622,1087,1709,111,86,198,6428,6065,12486,Bass Coast (S)
20830,161,113,277,24,15,42,0,0,0,0,5,5,13,7,21,7753,6539,14292,433,454,888,215,5,219,49,14,65,30,10,39,76,44,122,343,247,592,9100,7463,16566,13,9,27,0,0,0,6,4,8,45,33,81,9,10,22,6,4,9,87,62,150,0,0,0,0,0,0,3,3,6,3,7,6,0,0,4,8,10,16,78,29,107,172,97,268,39,30,61,0,0,0,3,0,3,37,30,67,763,745,1505,801,1426,2229,121,135,254,11000,9891,20888,Baw Baw (S)
20910,2789,2206,4995,113,144,262,3,3,10,51,44,94,30,29,63,14072,12337,26409,448,839,1290,102,0,102,140,18,163,564,137,705,140,76,219,412,564,977,18876,16405,35282,278,160,442,0,0,0,158,179,338,380,304,683,60,76,145,100,40,138,979,762,1744,0,0,0,3,8,7,5,7,13,9,8,22,3,3,4,26,28,53,149,107,259,1152,898,2055,155,147,306,3,0,7,16,9,28,172,163,338,1537,2035,3574,1343,2471,3811,145,156,299,23234,22120,45354,Bayside (C)
21010,0,3,5,4,5,11,3,4,3,0,0,0,6,0,6,2007,1731,3741,124,124,248,62,3,62,15,0,14,31,16,49,34,8,41,117,126,245,2407,2028,4436,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,7,14,7,23,18,15,28,0,0,0,0,0,0,0,0,4,4,0,3,206,208,414,216,392,612,33,49,76,2884,2692,5577,Benalla (RC)
21110,4564,3827,8387,755,736,1488,5,0,8,1746,1993,3740,90,49,138,22794,19785,42580,837,1733,2569,119,3,127,265,34,301,1290,289,1578,233,145,382,1302,1523,2823,34001,30124,64120,194,199,390,0,0,0,697,644,1345,363,306,670,68,105,173,103,50,152,1428,1310,2738,0,0,0,145,135,280,32,32,68,16,24,45,18,3,18,207,203,405,358,264,622,1988,1774,3767,269,245,514,24,18,48,18,14,34,317,280,597,2398,2896,5297,2472,4584,7060,224,268,499,41404,39931,81338,Boroondara (C)
21180,2992,3299,6284,299,412,711,8,8,16,16,37,51,182,42,231,32099,20941,53047,1818,2577,4388,507,13,519,175,10,183,186,46,235,258,115,370,300,400,699,38843,27893,66738,478,549,1023,0,0,0,164,191,353,622,530,1153,91,214,303,40,16,56,1394,1501,2894,0,0,0,6,3,5,43,22,64,19,37,60,9,7,17,74,79,147,298,162,458,1767,1736,3499,360,491,857,3,9,9,9,4,8,373,505,875,615,1099,1715,2290,3501,5798,670,492,1162,44552,35227,79781,Brimbank (C)
21270,0,0,0,3,0,7,0,0,0,0,0,0,0,0,3,799,593,1392,39,40,81,37,3,42,6,0,6,14,5,23,46,10,50,139,151,290,1079,808,1885,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,8,7,14,0,0,0,0,0,0,0,0,0,0,0,0,188,136,326,59,123,184,9,13,28,1350,1087,2437,Buloke (S)
21370,9,4,8,12,17,27,0,0,0,0,3,3,9,11,21,5770,4887,10654,316,311,627,150,7,153,102,23,117,83,32,120,79,22,105,395,370,770,6920,5686,12608,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,3,55,17,72,62,25,84,0,3,3,0,0,0,0,0,0,3,3,4,652,565,1219,593,1080,1670,129,107,237,8363,7462,15824,Campaspe (S)
21450,784,591,1374,60,62,121,0,4,3,7,3,9,21,8,33,17656,14044,31700,939,886,1819,515,15,524,120,9,135,53,19,74,108,76,184,274,273,549,20537,15996,36531,125,95,220,0,0,0,27,23,49,200,170,368,35,38,73,33,4,36,411,325,740,0,0,0,0,0,0,8,5,16,11,6,20,0,0,0,24,15,39,162,61,217,597,401,1000,110,112,223,3,3,5,6,6,10,119,116,239,839,1356,2193,1357,2651,4008,240,218,454,23685,20738,44425,Cardinia (S)
21610,2988,2540,5535,362,532,890,23,10,31,7,9,17,135,51,190,56863,41665,98522,3083,3641,6722,1309,25,1337,323,16,340,137,21,156,418,196,616,446,518,969,66098,49229,115323,494,480,972,0,0,0,73,88,158,993,600,1591,100,248,348,41,17,56,1698,1427,3128,0,0,0,0,0,0,42,30,77,43,81,127,10,4,11,95,117,213,523,236,759,2319,1782,4097,476,493,973,15,4,20,22,3,28,507,501,1012,1642,2981,4621,3823,6904,10733,743,533,1275,75130,61940,137066,Casey (C)
21670,3,3,8,3,3,4,0,0,0,0,0,0,3,5,3,1602,1362,2967,105,124,227,34,0,39,6,4,7,19,11,31,16,6,21,126,91,217,1917,1597,3520,0,3,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,14,15,5,21,3,0,3,0,0,0,0,0,0,3,0,3,126,103,220,198,327,525,28,30,64,2287,2063,4352,Central Goldfields (S)
21750,6,5,14,12,9,20,0,0,3,3,0,4,6,6,15,3394,2789,6185,204,233,433,59,0,59,32,5,45,76,18,96,41,10,55,283,249,535,4125,3333,7459,3,0,4,0,0,0,0,0,0,4,0,6,3,0,3,0,0,0,12,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,13,54,50,17,66,4,0,4,0,0,0,4,0,4,6,0,6,390,345,732,383,649,1034,68,63,133,5022,4411,9430,Colac-Otway (S)
21830,0,3,3,6,4,13,3,0,3,0,0,0,6,0,6,2183,1817,3999,119,104,227,77,6,83,64,15,86,20,11,31,60,19,78,309,236,541,2853,2210,5069,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,19,9,26,22,6,30,0,0,0,0,0,0,3,0,3,3,0,3,631,480,1113,214,455,671,64,51,119,3798,3201,7000,Corangamite (S)
21890,3966,4050,8016,445,567,1015,12,0,21,1400,2100,3495,94,45,135,19075,15953,35036,822,1375,2199,277,4,284,347,59,406,2106,1107,3211,189,101,288,714,876,1593,29448,26252,55702,389,385,774,0,0,0,501,522,1024,328,385,714,68,113,178,154,89,249,1453,1489,2944,0,0,0,142,229,368,14,22,36,14,38,52,11,14,25,178,303,484,313,345,656,1943,2144,4084,301,349,648,14,28,46,17,12,31,337,392,728,1112,1434,2544,2140,3974,6108,365,282,645,35341,34467,69808,Darebin (C)
22110,11,5,21,32,29,54,3,0,8,3,0,3,10,10,20,5842,5333,11179,346,406,754,170,8,175,41,0,50,91,43,128,91,39,137,352,344,698,7008,6213,13220,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,5,8,69,55,122,76,64,136,0,3,9,4,3,3,4,0,11,13,5,20,556,594,1154,797,1274,2076,120,142,256,8565,8298,16862,East Gippsland (S)
22170,844,678,1519,283,320,601,8,3,12,8,9,15,41,23,68,24657,20753,45404,1384,1378,2762,434,13,449,183,18,205,149,39,187,162,73,230,356,433,786,28515,23731,52240,187,136,322,0,0,0,31,17,50,364,235,606,50,68,118,35,5,38,663,470,1129,0,0,0,0,3,0,16,15,23,32,40,76,9,7,13,51,65,114,229,109,335,943,638,1583,135,133,270,3,0,10,3,3,8,142,134,283,859,1371,2221,2009,3929,5940,293,283,578,32756,30088,62848,Frankston (C)
22250,0,0,0,4,3,8,0,0,3,0,0,0,0,4,3,1489,1207,2698,76,83,157,52,0,52,36,3,43,20,8,29,23,5,33,146,129,276,1856,1449,3302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,5,14,8,18,16,4,19,0,0,0,0,0,0,0,0,0,0,0,0,283,230,515,149,259,410,43,40,75,2340,1985,4326,Gannawarra (S)
22830,11,13,26,36,40,82,3,0,3,3,0,3,23,21,49,10422,8831,19252,659,915,1568,168,4,168,99,14,116,162,53,215,96,29,121,522,450,975,12205,10374,22578,0,0,0,0,0,0,3,0,3,4,3,6,3,0,3,0,0,0,10,7,16,0,0,0,0,0,0,3,0,4,3,6,10,7,0,7,12,5,22,95,36,126,111,48,160,3,0,3,0,0,0,5,3,6,7,3,12,648,653,1301,864,1515,2372,193,152,350,14029,12745,26774,Greater Shepparton (C)
22910,36,25,63,15,8,22,3,0,3,5,0,3,3,4,3,2077,1807,3885,91,113,202,48,0,50,15,3,20,11,3,11,26,13,42,136,123,259,2456,2107,4563,6,4,7,0,0,0,3,3,9,38,22,58,3,3,6,0,0,0,42,35,78,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,8,18,10,32,67,43,113,15,12,28,0,0,0,0,0,0,13,19,34,352,340,692,292,524,820,56,43,96,3247,3070,6314,Hepburn (S)
22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,608,1358,53,45,94,27,5,33,0,0,0,11,0,9,22,4,26,127,91,215,986,752,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,16,12,0,16,4,0,4,0,0,0,0,0,0,4,0,4,150,115,266,68,133,197,18,15,34,1238,1013,2250,Hindmarsh (S)
23110,2273,2317,4587,176,209,387,4,3,6,4,14,14,58,18,80,14385,10915,25303,668,915,1583,169,6,177,190,20,212,458,100,565,119,67,184,273,339,619,18787,14931,33716,240,266,506,0,0,0,136,167,297,292,316,608,51,114,166,78,33,113,802,897,1696,0,0,0,10,11,22,17,10,24,11,19,26,4,7,14,38,45,80,174,91,266,1009,1028,2042,202,252,446,4,6,12,12,0,14,214,259,471,593,972,1569,1283,2212,3496,200,167,369,22087,19572,41662,Hobsons Bay (C)
23190,0,0,3,20,23,36,4,0,8,4,0,0,4,5,14,3357,2934,6287,203,216,420,67,0,64,14,8,21,57,19,80,61,8,65,240,192,431,4025,3413,7436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,0,3,10,30,14,49,39,19,57,0,0,0,0,0,0,5,0,5,6,0,6,248,274,521,302,565,868,54,46,102,4672,4309,8988,Horsham (RC)
23270,2080,2172,4253,315,345,661,9,3,10,30,49,80,195,46,239,32886,22922,55814,1864,2183,4047,725,13,739,155,22,175,120,13,130,302,121,420,316,339,655,39004,28240,67247,432,372,803,0,0,0,79,89,167,655,523,1185,88,146,231,38,7,43,1293,1142,2432,0,0,0,3,7,16,46,52,101,18,50,77,8,6,15,77,119,203,357,210,566,1727,1467,3196,293,342,643,3,11,12,13,9,15,310,364,672,677,1487,2161,2525,4161,6687,568,403,972,44808,36119,80927,Hume (C)
23350,4,7,7,17,11,23,3,0,3,0,0,4,0,0,4,2539,2406,4946,109,136,247,88,0,86,28,3,33,30,3,31,32,11,38,155,142,299,3009,2724,5730,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,17,15,32,26,16,37,0,0,0,0,0,0,0,0,0,4,0,3,297,264,565,324,553,880,53,52,105,3708,3617,7322,Indigo (S)
23430,3291,2778,6069,298,397,690,13,4,12,13,22,32,61,29,97,25983,21954,47940,1033,1675,2714,366,9,377,237,16,250,456,90,549,182,112,299,504,649,1153,32446,27731,60176,374,345,725,0,0,0,149,127,275,602,513,1114,100,136,237,75,39,111,1306,1162,2465,0,0,0,0,3,3,18,11,31,20,46,61,7,0,6,39,59,103,239,136,371,1587,1351,2938,236,283,517,3,7,8,9,3,14,247,293,537,1294,1778,3075,2100,4066,6170,274,216,492,37948,35445,73390,Kingston (C) (Vic.)
23670,1549,1164,2709,363,393,756,7,3,15,9,11,27,39,30,70,29732,25077,54812,1328,1787,3111,468,9,477,206,13,219,197,29,229,171,88,267,360,365,728,34436,28976,63414,314,238,560,0,0,0,47,42,92,864,500,1362,85,159,244,29,7,35,1337,955,2294,0,0,0,4,3,10,22,24,49,42,56,95,3,0,3,73,91,163,258,151,409,1668,1192,2861,284,221,506,4,10,18,10,4,9,295,231,532,1100,1617,2717,2303,4410,6708,286,241,525,40088,36671,76766,Knox (C)
23810,87,61,147,76,86,162,6,6,11,5,3,9,27,28,56,11451,10016,21472,705,700,1406,170,0,167,68,9,72,85,17,105,78,29,107,298,291,585,13055,11239,24291,6,10,19,0,0,0,0,0,0,17,12,29,12,13,22,8,0,8,43,31,73,0,0,0,0,0,0,3,5,11,14,10,24,4,8,5,16,25,43,101,40,141,161,96,255,17,11,32,0,4,4,3,0,3,20,17,35,316,440,758,1367,2072,3437,178,162,335,15095,14029,29124,Latrobe (C) (Vic.)
23940,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,847,688,1531,31,43,73,42,3,41,13,0,12,9,3,9,27,6,35,144,106,243,1113,846,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,10,4,14,0,0,0,0,0,0,4,0,4,3,0,3,302,211,513,77,160,230,31,28,50,1527,1244,2773,Loddon (S)
24130,501,399,905,26,20,41,3,0,3,3,3,7,3,8,8,7599,6157,13763,353,414,769,193,3,191,26,0,24,42,9,44,63,38,99,254,217,466,9055,7270,16326,15,16,26,0,0,0,32,22,55,202,153,352,17,28,44,21,8,26,288,223,512,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,5,6,78,36,115,371,265,629,70,90,160,0,0,0,5,0,3,77,94,169,697,906,1604,904,1550,2456,113,112,222,11218,10187,21409,Macedon Ranges (S)
24210,402,334,735,1995,1945,3934,0,4,4,13,15,32,26,15,40,18876,14993,33868,729,1507,2238,258,0,256,144,10,157,107,7,123,130,81,210,284,324,616,22979,19240,42214,304,198,496,0,0,0,19,10,26,269,127,392,29,39,73,8,0,8,622,377,1000,0,0,0,138,118,254,127,140,265,49,74,124,14,9,14,324,342,662,179,138,316,1128,849,1980,158,133,292,43,40,84,8,3,8,204,176,385,1409,1650,3054,1563,2768,4328,203,171,377,27484,24855,52333,Manningham (C)
24250,0,3,5,34,24,50,0,0,0,0,0,0,4,4,5,1179,1055,2238,103,84,186,32,0,32,0,0,0,25,15,39,22,14,36,127,127,256,1524,1327,2855,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,3,9,9,4,17,18,8,24,0,0,0,0,0,0,0,0,0,0,0,3,162,186,350,222,313,535,32,27,53,1957,1866,3822,Mansfield (S)
24330,2905,2847,5756,384,542,932,12,3,16,138,210,353,60,36,95,11984,8662,20640,529,1028,1552,98,0,102,277,46,323,847,306,1154,121,64,185,530,629,1163,17885,14378,32261,573,534,1110,3,0,3,403,421,818,281,267,545,42,105,145,109,62,165,1407,1383,2791,0,0,0,37,44,85,15,16,30,11,24,31,5,3,9,64,83,147,154,130,280,1629,1596,3218,398,369,768,5,7,18,10,8,21,417,380,806,557,763,1315,1311,2124,3433,186,148,335,21978,19392,41367,Maribyrnong (C)
24410,1956,1513,3469,211,213,424,7,4,13,8,9,11,35,20,56,19554,16928,36487,893,1098,1990,312,8,323,149,9,162,169,26,195,115,41,156,338,324,661,23752,20204,43955,336,252,585,0,0,0,83,61,143,607,405,1012,71,130,204,58,14,70,1150,860,2016,0,0,0,0,3,3,20,18,38,9,23,32,0,5,9,36,52,83,157,82,240,1340,999,2339,215,230,449,3,5,10,8,3,12,230,243,473,902,1244,2144,1694,3406,5098,222,171,393,28134,26258,54399,Maroondah (C)
24600,2522,2504,5030,459,542,998,16,6,21,5770,6283,12051,311,225,536,8818,6468,15283,490,908,1400,42,3,46,282,49,331,1666,879,2543,407,274,673,9839,8734,18576,30625,26872,57498,273,256,533,0,3,3,650,686,1332,72,56,128,28,37,66,112,50,165,1136,1086,2223,3,0,3,71,117,193,11,12,22,3,7,11,16,16,34,99,152,255,505,388,896,1743,1626,3367,300,304,600,30,26,51,72,53,124,401,380,783,1477,1402,2878,2963,4646,7609,308,286,590,37506,35219,72720,Melbourne (C)
24650,1459,1601,3053,139,219,350,9,4,15,14,11,23,69,18,87,24046,17724,41765,1294,1623,2918,524,7,534,127,6,134,44,26,67,189,91,273,199,237,440,28094,21569,49666,231,218,451,0,0,0,52,59,111,562,481,1044,54,129,183,32,9,41,931,900,1831,0,0,0,0,0,0,19,19,35,21,29,49,3,4,9,42,51,91,237,125,355,1211,1071,2282,250,295,546,3,3,4,11,3,15,261,300,569,544,1089,1635,1787,3183,4970,319,270,591,32223,27491,59714,Melton (C)
24780,3,0,3,63,43,106,7,0,4,0,4,7,14,12,24,8486,7504,15987,656,769,1421,151,3,159,78,8,90,99,31,129,101,48,148,450,371,814,10113,8786,18892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,8,0,0,4,7,10,19,60,45,104,64,59,124,0,0,3,3,0,3,12,5,17,18,5,24,533,558,1099,773,1264,2039,175,132,312,11675,10809,22483,Mildura (RC)
24850,249,266,514,20,15,30,0,0,0,0,3,4,4,5,7,7208,5461,12674,421,356,772,216,3,221,34,3,35,49,0,51,44,30,72,450,187,635,8702,6327,15028,22,12,31,0,0,0,8,13,16,100,80,181,12,20,36,5,0,7,140,131,272,0,0,0,0,0,0,0,3,3,3,0,3,3,0,3,3,3,11,69,25,96,218,158,379,49,45,95,0,0,0,3,0,3,53,45,96,314,466,774,707,1193,1902,148,98,246,10144,8286,18425,Mitchell (S)
24900,3,3,4,13,10,19,0,0,0,0,0,0,3,4,3,4103,3458,7563,264,258,523,107,5,107,65,12,74,79,28,108,49,34,81,322,276,597,5008,4085,9087,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,3,0,5,35,23,57,43,27,70,0,0,0,0,0,0,0,0,0,3,0,3,551,458,1007,506,806,1309,88,86,172,6204,5451,11656,Moira (S)
24970,4177,3258,7443,584,865,1444,13,0,16,53,44,98,89,51,142,27036,21662,48704,1164,2010,3172,290,5,291,222,16,240,500,91,587,271,128,394,927,945,1869,35333,29073,64401,710,561,1262,0,0,0,233,239,475,917,600,1522,102,199,299,88,28,117,2049,1632,3678,0,0,0,20,23,40,28,19,45,42,78,117,11,13,25,100,129,232,255,183,441,2409,1945,4353,527,461,989,8,13,22,12,3,13,543,482,1025,1634,1835,3471,2487,4112,6595,334,281,613,42734,37726,80459,Monash (C)
25060,2615,2604,5216,141,213,349,9,0,5,785,1297,2080,69,53,120,18013,14768,32782,753,1348,2104,203,3,203,257,31,285,820,251,1075,173,109,279,558,693,1251,24389,21371,45757,425,420,848,0,3,3,509,513,1021,314,299,618,54,95,148,55,19,75,1359,1350,2707,0,0,0,54,75,128,21,38,53,9,16,29,0,5,8,84,127,216,234,239,468,1672,1720,3394,285,329,612,4,15,17,15,11,22,303,345,653,904,1218,2125,1729,3233,4960,228,228,457,29228,28118,57347,Moonee Valley (C)
25150,256,266,525,11,30,38,6,0,6,0,0,3,4,3,12,5390,4386,9778,305,318,622,187,8,199,28,0,32,26,0,24,34,29,65,151,111,266,6403,5160,11563,23,10,32,0,0,0,12,17,33,104,60,162,12,22,29,15,0,15,156,113,273,0,0,0,0,0,0,3,0,3,4,0,8,0,0,0,9,0,12,69,21,88,240,137,375,45,58,106,3,0,3,3,0,4,55,60,113,341,415,754,571,936,1509,85,79,167,7689,6788,14471,Moorabool (S)
25250,4084,3737,7823,227,361,585,5,4,12,3154,4212,7358,130,69,195,21655,16456,38109,951,1503,2453,278,8,288,411,61,472,2763,1710,4477,262,141,401,888,1046,1935,34800,29306,64112,344,336,676,0,0,0,670,697,1365,323,291,619,56,104,159,152,79,224,1543,1507,3049,0,0,0,151,297,450,13,22,36,8,20,24,10,12,19,185,344,532,469,451,924,2203,2299,4498,368,367,735,27,31,54,27,22,58,419,425,845,1237,1579,2818,2302,4244,6550,454,317,770,41421,38171,79594,Moreland (C)
25340,297,153,453,181,147,332,12,9,22,13,13,26,20,12,32,25337,21723,47055,1327,1398,2730,586,8,589,107,7,118,162,51,216,239,131,369,1125,701,1828,29407,24356,53762,59,30,87,0,0,0,9,7,11,314,167,479,18,35,50,5,0,5,397,234,635,0,0,0,3,0,3,7,15,20,23,29,52,7,3,7,40,46,79,249,107,356,681,385,1070,90,65,155,4,8,15,9,3,15,98,80,180,1755,2574,4324,2300,4311,6615,325,331,651,34569,32036,66602,Mornington Peninsula (S)
17150,6493,6383,12877,211,284,495,12,5,19,8,7,14,57,59,110,36996,30914,67908,1523,2075,3600,1013,15,1028,431,23,455,355,76,424,241,120,365,901,1384,2288,48233,41346,89581,648,610,1263,10,9,26,23,24,44,1527,1325,2849,184,391,575,99,39,142,2488,2402,4888,0,0,0,0,0,4,20,33,47,14,26,41,4,9,11,33,67,95,357,183,538,2883,2642,5527,252,233,479,0,4,4,13,0,13,259,241,497,1929,3134,5064,3588,6435,10029,435,364,800,57328,54176,111497,Sutherland Shire (A)
17200,10993,9286,20277,6754,7817,14568,93,42,135,348,372,727,733,576,1307,14906,9596,24500,1019,1669,2685,153,3,159,1211,224,1437,2558,972,3529,1272,567,1839,15782,13548,29334,55822,44676,100497,2102,2066,4169,30,24,53,128,133,255,161,87,244,77,82,166,302,181,486,2805,2577,5380,8,14,22,54,80,135,44,67,112,38,78,115,139,142,282,286,380,670,421,229,645,3512,3182,6694,473,344,815,48,52,98,68,32,107,590,429,1020,2575,2385,4958,3622,4899,8524,626,517,1141,66751,56088,122838,Sydney (C)
17310,3,3,6,44,42,89,5,3,7,0,0,0,23,10,39,9556,8852,18410,702,747,1451,436,11,446,169,17,185,79,14,94,96,45,141,509,397,905,11632,10148,21781,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,4,0,4,4,7,14,0,0,0,15,5,15,102,49,144,119,55,177,0,0,0,0,0,3,7,3,12,16,3,16,667,781,1451,827,1416,2250,164,140,301,13421,12547,25969,Tamworth Regional (A)
17350,0,0,0,10,0,7,0,0,0,0,0,0,0,5,3,853,711,1556,54,52,108,40,0,40,8,0,8,14,0,16,16,0,20,77,102,181,1078,869,1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,19,11,5,17,0,0,0,0,0,0,0,0,0,0,0,0,134,132,272,61,140,202,26,13,36,1318,1166,2479,Temora (A)
