lga_code_2016,australia_m,australia_f,australia_p,canada_m,canada_f,canada_p,china_excl_sars_taiwan_m,china_excl_sars_taiwan_f,china_excl_sars_taiwan_p,croatia_m,croatia_f,croatia_p,egypt_m,egypt_f,egypt_p,fiji_m,fiji_f,fiji_p,germany_m,germany_f,germany_p,greece_m,greece_f,greece_p,hong_kong_sar_china_m,hong_kong_sar_china_f,hong_kong_sar_china_p,india_m,india_f,india_p,indonesia_m,indonesia_f,indonesia_p,iran_m,iran_f,iran_p,iraq_m,iraq_f,iraq_p,ireland_m,ireland_f,ireland_p,italy_m,italy_f,italy_p,japan_m,japan_f,japan_p,korea_republic_south_m,korea_republic_south_f,korea_republic_south_p,lebanon_m,lebanon_f,lebanon_p,malaysia_m,malaysia_f,malaysia_p,malta_m,malta_f,malta_p,netherlands_m,netherlands_f,netherlands_p,new_zealand_m,new_zealand_f,new_zealand_p,pakistan_m,pakistan_f,pakistan_p,philippines_m,philippines_f,philippines_p,poland_m,poland_f,poland_p,singapore_m,singapore_f,singapore_p,south_africa_m,south_africa_f,south_africa_p,sri_lanka_m,sri_lanka_f,sri_lanka_p,thailand_m,thailand_f,thailand_p,tfyrom_m,tfyrom_f,tfyrom_p,turkey_m,turkey_f,turkey_p,united_kingdom_ci_im_m,united_kingdom_ci_im_f,united_kingdom_ci_im_p,united_states_america_m,united_states_america_f,united_states_america_p,vietnam_m,vietnam_f,vietnam_p,zimbabwe_m,zimbabwe_f,zimbabwe_p,born_elsewhere_m,born_elsewhere_f,born_elsewhere_p,country_birth_not_stated_m,country_birth_not_stated_f,country_birth_not_stated_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p,lga_name16
20740,11862,12746,24614,19,18,36,28,37,67,19,9,26,12,10,19,6,7,19,90,106,195,40,30,70,6,13,20,67,57,121,3,17,24,3,0,8,0,0,0,39,38,75,136,90,226,4,11,16,3,3,5,0,3,3,14,27,41,40,32,69,120,129,241,235,256,498,0,0,3,23,54,79,10,13,25,4,3,9,32,41,70,24,25,47,24,34,58,0,0,0,8,6,8,939,1004,1949,31,49,80,17,23,38,7,10,16,238,259,502,1301,1408,2714,59,81,139,15472,16650,32116,Bass Coast (S)
20830,18739,19706,38449,27,17,43,32,53,77,29,21,46,10,6,19,8,19,23,116,108,230,14,14,27,11,12,21,92,75,163,6,8,19,4,4,12,0,0,0,38,38,79,105,78,178,8,14,22,3,6,11,3,0,7,12,24,33,11,23,33,157,192,347,262,254,519,3,8,8,24,98,124,24,29,45,12,7,21,63,57,127,42,30,68,14,27,37,6,0,6,4,3,9,931,1069,2004,56,41,94,9,14,28,17,8,22,276,335,612,1685,1855,3543,77,118,193,22929,24370,47299,Baw Baw (S)
20910,31404,34428,65835,167,198,368,715,1056,1774,71,87,152,95,106,199,27,34,67,312,409,713,320,369,690,87,132,220,408,398,803,40,62,102,47,51,95,8,13,23,269,274,544,333,373,712,118,192,306,44,59,100,47,60,104,159,235,391,35,40,71,164,153,321,840,926,1766,30,15,46,65,148,213,189,281,470,114,152,267,546,606,1149,111,144,256,46,95,143,12,23,38,64,59,123,3518,3316,6832,401,436,835,65,111,170,41,29,72,1941,2334,4282,2060,2509,4574,378,567,943,45285,50491,95772,Bayside (C)
21010,5452,5744,11197,3,8,6,15,13,27,3,0,3,3,0,3,3,4,4,36,56,87,4,3,10,3,3,7,32,23,54,3,0,8,0,0,4,0,0,3,8,6,14,16,12,31,0,3,6,0,0,0,0,0,0,0,8,10,0,3,7,37,30,68,40,52,88,0,0,0,8,28,39,4,3,10,0,4,3,8,10,13,6,3,11,0,6,9,0,0,3,0,0,0,165,204,368,11,13,33,4,0,7,0,4,3,65,68,129,589,631,1216,10,13,18,6540,6968,13504,Benalla (RC)
21110,51376,54709,106087,174,229,401,4601,6427,11026,73,117,189,148,114,259,88,89,181,282,372,656,718,894,1610,813,939,1753,2232,1820,4054,312,435,744,340,296,639,96,81,178,235,243,483,729,777,1513,110,291,403,292,420,710,76,68,144,1468,1829,3297,53,52,109,171,147,314,1285,1317,2603,146,84,230,195,360,559,146,218,366,409,542,955,503,497,1000,612,627,1239,139,325,458,72,68,138,89,85,173,3015,2724,5738,509,560,1065,899,1089,1989,57,74,133,2852,3226,6082,3416,3725,7141,1346,1648,2994,80071,87522,167594,Boroondara (C)
21180,43914,42956,86864,38,58,100,1088,1286,2375,1085,1169,2256,514,497,1011,266,330,594,447,477,926,1059,1155,2212,257,262,523,5299,3992,9298,170,218,395,399,199,596,263,213,474,114,89,203,1553,1613,3158,23,76,100,67,80,148,408,385,792,430,485,918,2221,2267,4484,94,91,190,1618,1647,3264,1393,422,1814,2566,3158,5720,450,612,1062,108,123,232,96,85,182,1152,759,1914,171,361,530,1510,1536,3044,351,314,671,1099,1058,2151,149,114,264,9775,11867,21642,32,39,68,9619,9787,19408,6946,6915,13865,656,918,1566,97415,97600,195017,Brimbank (C)
21270,2577,2497,5066,3,3,10,0,0,3,4,0,4,3,0,4,0,0,3,5,9,12,0,0,0,0,0,0,13,18,35,0,0,0,0,0,0,0,0,0,3,4,6,3,0,3,0,0,0,0,0,0,0,0,0,0,6,6,3,0,3,12,8,21,16,17,38,0,0,0,5,26,31,0,0,3,0,0,0,4,3,8,4,3,8,0,3,6,0,0,0,0,0,0,51,45,99,0,3,4,0,0,3,0,0,0,14,19,32,340,310,642,22,24,45,3094,2996,6085,Buloke (S)
21370,15258,15402,30660,3,19,22,15,23,37,5,3,9,9,7,14,3,9,12,45,40,86,11,8,17,8,8,15,41,45,86,3,7,9,3,3,7,3,3,3,34,21,51,78,79,154,6,3,3,18,11,27,0,3,3,9,15,26,5,10,17,48,53,102,190,197,393,4,3,7,65,143,206,3,5,10,3,3,7,22,16,41,23,13,36,12,13,25,6,4,9,4,7,13,357,428,787,23,32,53,3,3,10,10,4,10,127,120,243,1504,1599,3096,49,66,115,17993,18422,36413,Campaspe (S)
21450,34208,35291,69503,58,64,121,111,163,271,91,87,175,104,107,209,76,82,160,205,209,417,48,30,76,15,39,58,868,793,1664,38,69,111,28,27,55,12,9,23,105,102,213,216,143,358,13,36,46,29,30,60,17,21,42,72,108,183,48,41,90,294,297,586,847,774,1624,79,64,142,243,361,610,48,73,119,59,67,119,220,231,448,452,416,873,31,88,121,8,12,20,28,19,41,2428,2452,4878,107,99,200,35,61,96,61,54,113,1592,1719,3312,2676,2826,5503,183,275,460,45742,47350,93089,Cardinia (S)
21610,83148,83727,166873,123,111,237,1833,2434,4263,658,590,1243,586,585,1177,911,1001,1913,499,511,1010,409,391,800,226,238,461,9239,8664,17906,356,488,843,445,431,878,348,308,655,262,282,546,875,789,1668,39,86,118,196,223,419,358,348,706,685,844,1528,201,180,379,570,600,1167,3592,3487,7074,1265,1138,2407,1943,2729,4670,586,666,1254,330,411,747,1010,1039,2041,5773,5485,11262,236,414,649,263,256,523,415,365,785,5149,5364,10520,301,272,575,748,904,1646,249,238,486,15856,15463,31319,7918,7982,15897,1102,1651,2752,148694,150692,299384,Casey (C)
21670,5180,5310,10497,3,6,10,10,8,19,4,4,9,3,0,3,3,5,10,19,26,43,3,3,8,0,0,0,27,12,41,0,3,4,0,0,0,0,0,0,4,5,9,8,12,16,0,0,0,0,0,0,0,0,4,0,5,3,13,6,19,33,41,71,58,46,101,4,3,6,15,37,57,4,3,3,0,4,4,8,4,12,5,3,7,3,0,5,0,0,3,3,0,3,251,280,538,14,10,23,3,0,3,3,0,3,58,56,108,551,581,1129,12,11,28,6300,6496,12797,Central Goldfields (S)
21750,8554,8521,17077,9,8,16,26,35,62,7,3,9,8,3,10,7,3,10,23,36,63,10,5,19,7,0,9,25,25,52,5,3,17,10,4,11,0,0,0,20,6,29,32,26,63,0,7,7,3,0,5,0,0,0,8,17,25,9,3,10,42,24,66,116,131,241,5,3,7,22,38,66,4,4,11,0,3,6,5,8,15,6,5,11,5,9,14,0,0,3,0,0,0,275,292,564,14,16,34,9,8,17,9,6,18,169,110,280,790,804,1596,118,170,288,10361,10370,20730,Colac-Otway (S)
21830,6611,6527,13140,3,12,11,0,10,10,0,5,8,0,0,0,0,3,4,20,10,34,0,0,0,0,0,0,8,5,15,0,3,6,0,0,0,0,0,3,6,8,14,7,3,11,0,0,0,0,0,0,0,0,0,0,3,3,7,7,11,41,48,89,147,107,255,0,0,0,24,40,63,0,0,0,3,9,8,3,5,11,9,3,11,0,3,8,0,0,0,4,0,4,165,155,319,13,7,19,0,0,3,0,0,5,41,50,87,715,683,1399,112,152,266,7946,7857,15812,Corangamite (S)
21890,41528,44881,86414,111,190,300,2215,2601,4816,174,198,369,177,182,361,90,98,190,198,233,430,2062,2417,4477,149,175,324,2664,1880,4550,111,187,302,337,246,581,176,152,326,258,198,456,2768,3299,6064,64,229,291,88,95,186,577,584,1165,445,461,907,179,176,353,75,103,175,1056,1123,2182,376,168,548,322,572,896,81,136,214,118,192,304,159,181,342,452,386,835,116,290,409,531,607,1132,124,121,248,1845,1574,3422,248,301,556,1244,1533,2771,39,48,86,3968,3976,7951,5028,5380,10407,671,994,1668,70835,76167,147006,Darebin (C)
22110,17036,17665,34701,27,22,49,30,41,76,13,4,16,13,10,21,14,19,29,144,130,282,26,18,42,7,12,15,77,63,136,3,19,22,3,0,8,5,3,8,34,33,71,79,74,155,5,3,6,0,12,15,0,0,0,20,29,45,25,25,51,161,114,274,205,220,424,3,3,6,35,132,169,22,14,35,9,12,19,43,58,95,20,9,28,5,25,29,3,3,4,4,3,3,921,1027,1950,33,46,80,29,35,58,5,5,12,238,241,478,2062,2227,4289,71,107,176,21426,22467,43892,East Gippsland (S)
22170,46686,48343,95024,91,98,185,353,531,886,131,152,283,76,82,159,127,161,284,399,373,778,239,222,464,60,92,154,881,837,1717,59,100,160,36,29,68,14,12,28,233,208,440,332,256,586,11,56,73,23,42,70,84,58,141,118,194,319,61,43,101,316,366,679,1517,1588,3108,57,47,107,340,723,1063,165,177,340,63,74,137,410,445,852,289,301,594,74,199,274,22,19,44,47,45,91,4461,4759,9222,183,204,385,67,119,183,76,105,182,2136,2352,4489,4304,4587,8892,247,394,641,64792,68412,133199,Frankston (C)
22250,4436,4451,8884,0,4,3,0,3,3,0,4,4,3,0,3,0,0,0,14,14,23,3,4,7,0,0,0,18,25,40,0,0,0,0,0,0,0,0,0,0,3,0,14,3,11,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,21,15,32,29,44,71,0,0,0,17,30,49,0,0,4,0,0,3,10,19,27,5,0,5,0,6,6,0,0,0,0,0,0,72,96,165,0,7,7,0,0,0,0,0,0,31,29,58,442,406,855,5,13,16,5130,5168,10300,Gannawarra (S)
22830,23640,24030,47674,25,23,49,65,84,150,17,12,30,18,10,30,20,21,43,59,55,120,78,84,163,11,28,41,641,568,1208,19,17,34,65,54,121,244,227,466,42,34,79,416,426,845,9,5,15,10,14,25,6,6,12,100,104,207,12,4,21,88,100,191,374,346,721,137,89,222,127,271,398,8,16,22,7,16,24,66,51,117,71,72,141,17,60,74,36,35,76,126,116,237,532,521,1057,31,52,86,24,19,49,18,20,34,1207,1126,2327,2895,2860,5752,135,224,361,31405,31806,63218,Greater Shepparton (C)
22910,5574,5962,11539,17,15,34,10,7,22,14,14,35,3,7,11,3,0,3,34,62,102,12,12,21,3,0,6,20,21,49,0,6,10,3,0,4,0,0,0,13,11,28,28,16,45,3,3,3,0,6,3,0,0,0,15,16,24,17,16,27,51,54,108,85,121,208,0,0,0,10,27,36,10,8,12,8,3,9,14,24,33,7,6,15,7,8,17,5,3,12,3,3,3,383,383,764,32,37,69,0,5,11,6,3,11,142,150,288,776,881,1661,18,33,56,7343,7930,15275,Hepburn (S)
22980,2348,2310,4655,3,0,3,0,4,3,0,0,0,0,0,0,0,0,0,3,8,8,3,0,0,0,0,0,16,10,27,0,0,0,0,0,0,0,0,0,0,3,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20,15,18,38,0,0,4,8,27,36,3,0,3,0,0,3,10,5,15,0,0,5,26,25,45,0,0,0,0,0,3,39,69,109,0,5,8,0,0,0,4,4,8,61,57,119,200,237,441,9,9,26,2774,2810,5586,Hindmarsh (S)
23110,27473,28236,55716,63,94,154,448,606,1056,243,277,517,79,78,160,52,66,122,217,263,479,504,565,1066,72,81,151,1473,1092,2566,107,155,266,107,72,179,33,29,61,216,204,422,697,788,1480,22,105,128,33,50,81,540,460,998,161,213,375,543,593,1135,97,86,186,956,985,1939,212,54,268,368,656,1020,114,194,307,69,86,156,174,150,330,124,98,224,138,229,368,347,339,687,35,22,60,1882,1833,3710,147,176,321,616,808,1426,20,23,44,2172,2290,4462,2514,2634,5143,245,392,641,43300,45084,88384,Hobsons Bay (C)
23190,8274,8581,16863,4,9,7,14,23,38,4,0,3,3,0,3,0,4,4,12,16,32,7,5,13,5,3,10,59,54,115,0,0,0,4,0,5,0,0,0,5,9,13,31,31,59,0,5,5,0,8,7,4,4,3,3,8,13,3,0,3,15,22,42,46,47,94,3,4,6,32,67,103,7,3,12,3,3,4,10,15,31,11,11,19,6,11,18,0,0,0,15,13,20,129,168,300,17,8,29,0,3,7,4,3,11,87,89,175,544,565,1111,14,36,51,9386,9845,19233,Horsham (RC)
23270,56307,57242,113547,66,91,157,358,438,798,351,342,688,438,468,909,415,486,895,258,295,555,535,567,1104,63,85,148,4604,4000,8611,100,147,247,496,353,850,5371,5270,10642,162,131,287,1684,1538,3224,17,53,64,35,51,89,1822,1655,3477,184,256,441,563,598,1157,112,123,232,1722,1628,3352,1338,723,2063,1070,1554,2618,131,179,316,150,197,350,165,185,347,1555,1546,3102,140,259,402,178,178,359,3084,3144,6228,1814,1823,3643,142,163,303,560,753,1314,55,70,132,5521,5838,11355,6555,6451,13005,633,872,1510,98760,99750,198509,Hume (C)
23350,6476,6630,13112,9,13,22,0,0,3,10,4,17,0,0,3,6,8,14,53,64,113,3,0,3,0,3,3,7,13,19,0,7,7,0,0,0,0,0,0,12,5,17,19,15,32,5,6,12,0,0,3,0,0,0,0,6,5,0,0,3,28,33,62,54,90,143,3,0,3,9,22,34,4,0,5,6,6,10,8,10,18,0,3,4,0,14,14,3,0,5,0,0,3,301,268,567,17,17,34,6,0,6,0,3,3,80,87,170,489,508,1000,20,25,43,7628,7874,15503,Indigo (S)
23430,46340,48178,94516,105,165,270,1836,2272,4107,176,188,360,208,224,429,152,194,342,362,383,747,1335,1552,2882,175,200,370,2731,2377,5103,120,184,305,100,87,185,49,44,93,345,296,642,750,787,1539,114,229,343,134,155,293,135,145,281,308,376,682,69,101,172,191,194,388,1179,1214,2392,165,91,254,534,862,1397,251,345,595,121,153,272,625,618,1243,736,815,1555,110,282,390,31,35,73,262,225,484,3619,3688,7304,242,268,508,650,815,1466,66,66,126,4401,4938,9335,3665,3896,7564,563,811,1367,72936,77448,150385,Kingston (C) (Vic.)
23670,49592,50395,99990,70,85,159,2720,3356,6078,100,124,225,279,269,546,112,137,246,510,598,1105,329,284,614,620,689,1315,1971,1944,3916,238,333,576,295,285,580,68,68,134,202,205,414,566,535,1097,43,100,142,252,302,558,95,90,187,1490,1727,3221,77,89,166,397,411,805,922,993,1919,104,85,188,507,836,1337,229,295,517,442,477,914,519,557,1076,1608,1561,3163,98,246,343,31,31,61,64,51,112,3321,3438,6767,187,210,396,562,695,1257,51,59,109,2772,3172,5949,2901,3204,6110,595,930,1523,74934,78880,153813,Knox (C)
23810,27610,28755,56365,34,38,74,128,144,270,41,36,70,17,15,31,22,14,40,207,231,434,51,55,101,16,22,34,164,140,309,11,27,33,20,6,26,3,7,9,60,49,113,302,304,605,16,11,30,15,13,24,0,5,4,46,60,108,187,162,349,330,322,649,307,328,634,25,14,37,95,318,412,45,59,103,8,17,27,78,76,155,56,55,109,23,65,90,4,4,7,3,0,7,1221,1396,2615,57,50,105,23,45,65,16,13,29,622,605,1226,3158,3379,6537,61,90,154,35080,36919,71997,Latrobe (C) (Vic.)
23940,2999,2840,5843,0,5,5,4,5,12,0,3,5,3,0,4,0,0,0,22,16,36,9,5,15,0,0,0,5,8,16,0,0,3,0,0,0,0,0,0,8,0,8,6,0,7,0,0,0,0,0,0,0,0,0,0,8,9,8,3,11,13,20,32,36,26,66,0,0,0,38,35,75,0,0,0,0,0,4,5,9,20,0,0,0,0,8,6,0,0,0,0,0,0,99,104,203,7,6,14,0,0,0,0,0,0,42,25,60,487,422,907,7,12,21,3805,3572,7378,Loddon (S)
24130,17813,18342,36155,28,36,69,37,54,88,43,35,77,18,13,28,6,7,19,139,140,274,23,18,45,12,6,14,65,57,117,13,7,18,0,3,5,3,3,4,55,63,121,131,97,224,3,17,19,0,6,8,5,4,13,24,25,53,92,74,163,90,80,175,280,298,578,4,0,3,36,64,99,20,25,40,15,25,33,73,78,147,19,29,52,5,23,36,11,8,17,8,4,11,1186,1138,2331,72,76,148,8,11,18,11,9,16,293,300,597,1558,1767,3329,67,103,170,22274,23030,45308,Macedon Ranges (S)
24210,31559,32316,63873,59,79,137,4885,5946,10834,151,163,314,342,339,680,76,86,165,254,239,491,1295,1506,2800,1465,1584,3045,903,854,1750,203,242,444,1001,958,1958,61,54,117,90,84,173,1523,1617,3134,77,122,196,353,437,788,193,207,394,1791,2056,3846,89,108,192,124,113,238,535,522,1059,219,143,366,148,286,430,83,122,198,430,468,894,554,634,1186,319,343,662,63,120,181,119,136,252,83,87,170,1499,1504,2997,181,184,361,459,587,1042,41,62,104,2050,2385,4434,2067,2400,4469,864,1132,1996,56178,60226,116401,Manningham (C)
24250,3372,3394,6766,8,6,17,20,25,38,3,3,7,3,0,3,0,0,0,38,37,77,5,0,3,11,3,13,11,12,23,3,7,7,0,0,0,0,0,0,9,0,9,14,6,18,4,3,7,0,3,3,0,0,0,10,5,14,4,0,4,24,16,41,37,48,91,0,3,4,0,3,3,4,4,7,5,6,14,13,11,21,0,3,4,8,3,12,3,0,4,0,0,0,162,191,344,9,18,23,0,0,0,0,0,0,63,80,147,516,470,987,46,44,84,4399,4405,8804,Mansfield (S)
24330,21518,21463,42981,81,84,170,1075,1256,2330,169,200,365,68,61,127,64,82,150,110,146,257,379,451,836,162,183,340,2075,1194,3270,171,189,361,182,62,242,49,33,88,145,119,261,428,483,904,55,134,193,107,122,223,53,55,109,407,423,825,88,91,181,52,51,104,859,780,1638,329,75,406,413,652,1061,96,125,215,89,139,227,97,85,178,257,153,409,90,184,279,218,264,484,95,70,164,1106,930,2039,151,155,304,3445,4195,7642,32,18,56,3446,3000,6443,3054,3009,6069,413,627,1040,41645,41327,82972,Maribyrnong (C)
24410,38222,40360,78585,73,82,150,1295,1688,2982,63,63,126,81,52,136,53,73,123,269,346,617,104,128,226,218,236,454,1016,916,1932,84,127,216,262,258,517,20,21,46,138,116,256,296,245,542,33,67,103,123,129,249,36,33,74,446,525,975,49,63,112,273,274,549,629,642,1274,68,44,116,179,367,547,101,136,238,111,124,239,322,400,725,310,312,617,153,237,391,12,23,32,26,13,44,2559,2767,5323,173,181,357,195,239,437,48,50,101,2217,2361,4576,2169,2459,4630,352,503,858,52782,56688,109468,Maroondah (C)
24600,26440,25799,52240,239,309,549,8652,12942,21594,64,74,136,130,93,227,78,78,159,337,286,620,114,133,247,925,1059,1980,3622,2532,6156,1513,1818,3331,304,281,585,46,35,83,270,226,493,784,539,1320,395,743,1139,1516,1633,3155,71,42,116,3223,3495,6716,57,51,109,132,105,242,1573,1561,3138,186,81,272,505,698,1198,94,138,235,923,1055,1985,321,295,616,383,332,717,648,1115,1768,66,53,115,149,115,267,2553,2006,4561,590,592,1181,790,1142,1929,64,47,104,5733,5937,11668,13214,13102,26314,7549,8764,16312,84246,89315,173560,Melbourne (C)
24650,42463,43072,85535,50,46,94,327,468,803,361,366,729,405,400,806,234,280,510,226,244,473,214,177,396,75,77,152,2686,2438,5124,113,179,293,92,77,175,187,163,352,113,106,221,514,460,974,19,49,68,61,89,149,186,158,343,241,271,514,1015,951,1965,112,106,209,1384,1426,2810,401,318,723,1729,2217,3946,194,216,414,111,141,245,203,206,408,613,584,1202,86,208,292,569,582,1160,129,119,247,1626,1638,3260,122,104,227,826,1054,1879,58,85,148,4498,4711,9209,4184,4313,8504,394,581,969,66824,68708,135537,Melton (C)
24780,20806,21634,42440,7,15,19,61,67,128,36,42,79,11,3,12,22,18,35,58,65,126,78,67,145,23,32,49,210,171,374,14,7,22,24,10,33,31,13,46,29,26,50,314,308,622,14,15,32,37,29,63,3,3,6,146,103,245,3,7,7,43,52,98,202,250,456,27,26,47,65,154,223,12,4,15,3,3,9,41,51,97,40,31,71,27,37,65,7,0,7,139,136,277,480,482,966,26,30,54,76,71,147,5,12,21,674,616,1285,2661,2663,5330,404,411,820,26837,27675,54515,Mildura (RC)
24850,16278,15821,32096,22,23,50,149,77,226,18,16,37,12,12,17,20,21,34,69,75,139,30,22,52,10,9,14,154,119,277,10,11,19,4,0,3,24,13,40,52,46,102,137,107,239,6,13,21,7,10,15,18,14,28,29,39,69,81,68,142,58,56,111,227,225,455,15,7,26,70,124,194,19,21,44,23,26,43,49,59,107,35,40,72,15,41,55,30,18,47,20,16,40,609,653,1259,33,34,70,8,14,20,14,14,28,284,275,557,1849,1910,3757,77,80,164,20570,20126,40697,Mitchell (S)
24900,11527,11629,23156,10,12,14,13,13,19,17,10,23,6,0,10,7,6,13,39,44,82,9,10,22,0,4,7,99,68,170,0,8,11,4,0,3,32,25,60,14,16,25,107,102,210,0,3,3,0,0,0,3,0,3,42,35,80,15,16,33,66,51,121,208,193,404,11,14,17,37,91,131,3,10,11,3,5,9,16,14,35,7,8,13,7,25,29,4,3,5,0,0,0,376,373,751,10,24,33,0,0,0,0,0,0,118,121,240,1221,1231,2450,58,74,124,14105,14228,28331,Moira (S)
24970,41931,41958,83892,144,114,262,10445,12435,22875,189,195,390,334,355,689,139,166,305,392,377,767,2090,2327,4414,1211,1296,2511,5166,4439,9606,856,938,1799,365,288,649,108,84,189,196,184,378,1256,1345,2601,182,425,606,953,1081,2030,109,116,220,2900,3138,6039,69,77,152,175,154,330,1048,1027,2078,403,247,650,448,718,1167,303,407,713,819,941,1759,449,478,928,3434,3201,6634,185,360,546,52,56,107,203,176,379,2206,2057,4260,281,264,549,1269,1543,2811,67,71,135,4707,5083,9793,4229,4397,8623,1917,2591,4507,91259,95084,186349,Monash (C)
25060,37126,38891,76012,72,134,210,775,1068,1840,257,274,531,235,248,486,59,54,106,202,244,444,674,733,1408,136,200,339,1505,1257,2762,96,150,242,273,200,477,58,48,112,236,204,435,2201,2559,4766,65,128,195,114,140,254,162,155,312,280,383,660,285,361,644,86,65,154,708,725,1430,125,69,200,254,426,680,107,160,267,95,133,228,132,110,241,274,267,539,64,205,270,121,138,259,144,163,304,1325,1215,2539,177,197,374,984,1353,2336,20,20,43,2837,3234,6066,3364,3613,6983,403,577,978,56020,60111,116132,Moonee Valley (C)
25150,12543,12787,25331,14,17,31,4,29,37,29,31,61,10,3,10,9,15,23,87,82,173,21,15,42,3,3,9,93,80,176,3,7,9,3,0,3,0,3,4,41,34,79,66,40,110,3,5,8,0,3,4,4,4,5,8,14,26,103,75,178,74,73,146,201,210,412,3,4,7,21,53,70,14,18,29,10,11,21,40,47,93,22,14,35,3,22,22,16,9,29,0,4,0,659,770,1426,28,35,63,17,21,41,6,13,28,243,233,473,1062,1110,2172,22,44,65,15499,15940,31437,Moorabool (S)
25250,46336,49127,95459,144,195,342,1111,1552,2661,177,199,380,289,309,601,146,168,316,288,342,629,1531,1826,3359,130,168,301,2349,1731,4078,286,377,664,374,259,635,366,356,716,248,241,488,3511,4264,7771,94,261,355,109,167,277,1328,1307,2638,388,538,929,354,469,827,118,97,217,1412,1434,2843,2071,997,3063,412,723,1140,149,262,412,146,165,312,159,174,334,507,492,995,142,287,433,74,76,152,863,802,1661,2030,1821,3846,345,405,747,517,647,1162,45,46,89,4886,4630,9516,5179,5321,10503,644,884,1530,79247,83103,162358,Moreland (C)
25340,55316,58916,114235,125,169,298,175,254,431,134,127,258,79,90,168,27,45,73,444,452,902,285,293,575,38,45,82,177,194,373,44,63,105,16,16,28,14,6,20,313,307,623,632,499,1133,28,68,99,15,25,43,29,13,46,71,111,181,93,105,197,424,417,837,1026,1082,2111,9,7,13,94,309,404,85,107,187,41,61,105,312,364,673,91,84,179,39,160,199,26,23,47,32,33,62,6378,6912,13286,259,265,521,19,49,70,34,35,66,1180,1280,2458,4372,4932,9305,244,336,583,72733,78249,150986,Mornington Peninsula (S)
17150,82477,85362,167835,188,264,449,1286,1701,2979,198,211,409,438,490,925,156,190,348,405,475,876,497,542,1040,335,365,700,583,532,1111,194,296,488,68,65,129,26,32,62,421,403,830,611,544,1150,57,202,262,91,141,233,324,310,631,228,323,551,173,167,339,259,241,495,1646,1584,3225,55,55,108,376,800,1170,164,256,415,121,151,278,586,619,1208,76,70,145,106,327,433,302,297,600,67,65,128,4798,4509,9308,335,431,760,157,260,416,66,53,118,3198,3702,6896,3942,4382,8321,489,635,1129,105488,111043,216533,Sutherland Shire (A)
17200,46943,40645,87585,550,543,1095,8362,12100,20462,125,103,229,163,92,256,202,225,428,700,619,1319,350,368,718,1134,1265,2402,1777,1118,2898,2710,2536,5243,410,309,716,81,38,115,1155,813,1962,1167,619,1783,626,1099,1724,1646,1879,3525,259,171,426,1175,1213,2383,79,64,145,320,243,560,3140,2450,5586,179,69,250,857,1037,1898,297,333,625,589,647,1236,775,575,1353,250,170,417,2633,4116,6743,68,70,141,282,178,460,7073,4625,11694,1405,1327,2735,949,1213,2162,110,69,178,9307,8585,17887,20822,15543,36367,11530,12259,23788,130197,119319,249513,Sydney (C)
17310,24587,25793,50379,16,29,44,70,58,123,5,3,11,8,8,14,24,27,50,43,61,101,4,8,19,17,12,30,136,106,238,10,15,27,5,5,13,5,3,5,33,28,57,22,13,42,5,7,15,123,52,170,5,5,11,26,32,53,12,5,17,43,53,94,205,214,420,20,13,32,179,240,414,6,8,18,23,27,49,66,78,149,30,20,47,14,32,48,3,0,3,0,0,0,477,481,954,52,59,112,33,35,70,13,15,32,314,265,571,2455,2554,5011,145,111,259,29238,30475,59705,Tamworth Regional (A)
17350,2625,2668,5293,3,0,3,3,3,9,0,0,0,4,3,4,4,0,4,7,12,19,0,0,0,0,0,0,13,5,20,0,0,0,0,0,0,0,0,0,0,0,4,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,12,13,19,0,0,0,18,17,38,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,0,0,0,0,0,0,39,54,93,3,7,9,3,6,11,0,0,0,15,12,29,206,191,396,3,3,8,2981,3013,5997,Temora (A)
17400,2610,2666,5273,5,3,4,0,3,3,0,0,0,0,0,0,0,4,4,12,10,21,0,0,0,0,0,3,5,5,11,0,4,5,0,0,0,0,0,0,7,3,9,8,4,19,8,0,9,0,0,0,0,0,0,0,3,4,0,0,0,16,11,23,46,52,91,0,0,0,4,16,22,3,3,4,0,0,0,5,6,12,5,0,8,0,3,3,0,0,0,0,0,0,96,89,180,3,7,14,0,4,4,0,6,3,24,17,46,440,497,941,27,33,58,3340,3444,6782,Tenterfield (A)
22410,7833,7855,15691,4,7,11,4,8,14,3,6,9,3,3,8,0,3,7,19,27,46,8,4,7,0,0,3,18,22,36,0,10,10,6,0,4,0,0,0,14,6,18,10,6,14,0,3,3,0,0,0,0,0,0,11,6,12,8,9,14,51,48,100,134,115,251,7,3,11,15,84,100,3,3,3,3,3,4,22,20,39,14,4,17,4,14,17,0,0,0,0,0,0,262,270,533,9,13,24,3,4,12,10,13,23,69,53,118,909,873,1780,24,30,54,9465,9523,18988,Glenelg (S)
