lga_code16,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,lga_name16
54340,265,149,100,40,1667,Katanning (S)
54410,76,55,40,21,480,Kellerberrin (S)
54480,34,28,8,3,224,Kent (S)
54550,133,86,41,24,817,Kojonup (S)
54620,81,40,14,0,474,Kondinin (S)
54690,25,11,11,4,136,Koorda (S)
54760,29,29,13,9,281,Kulin (S)
54830,1735,979,491,138,17148,Kwinana (C)
54900,88,39,14,6,494,Lake Grace (S)
54970,224,41,7,0,1656,Laverton (S)
55040,228,68,5,3,1839,Leonora (S)
55110,5411,4598,2818,991,34564,Mandurah (C)
55180,746,500,255,71,3866,Manjimup (S)
55250,146,80,18,3,1140,Meekatharra (S)
55320,8780,5835,3291,1743,52972,Melville (C)
55950,38,14,11,6,197,Mukinbudin (S)
55390,75,28,3,0,586,Menzies (S)
55460,209,120,58,26,1289,Merredin (S)
55530,54,44,19,0,263,Mingenew (S)
56090,3342,2395,933,287,19187,Mundaring (S)
55600,163,98,33,12,948,Moora (S)
55670,60,32,24,6,311,Morawa (S)
56860,16,12,5,0,82,Nungarin (S)
55740,783,616,302,139,5095,Mosman Park (T)
55810,67,73,14,0,383,Mount Magnet (S)
55880,18,22,4,3,178,Mount Marshall (S)
56160,38,10,3,0,185,Murchison (S)
56230,1144,952,523,124,6699,Murray (S)
56300,165,137,49,14,634,Nannup (S)
56370,45,28,18,5,247,Narembeen (S)
56460,421,241,132,47,2277,Narrogin (S)
56580,2349,1777,860,428,12784,Nedlands (C)
56620,88,43,9,0,616,Ngaanyatjarraku (S)
56730,869,583,264,98,4943,Northam (S)
56790,537,534,199,42,2208,Northampton (S)
56930,175,108,66,23,857,Peppermint Grove (S)
57630,30,18,3,0,84,Sandstone (S)
57700,1439,781,273,69,11463,Serpentine-Jarrahdale (S)
57770,249,319,92,26,1192,Shark Bay (S)
57840,3696,2288,1036,643,24360,South Perth (C)
57910,13675,8936,5275,2275,109671,Stirling (C)
57980,1610,1305,634,239,12222,Subiaco (C)
58050,7352,4069,1893,693,57373,Swan (C)
58190,22,16,3,0,148,Tammin (S)
58260,37,29,10,4,241,Three Springs (S)
57000,90,24,10,6,564,Perenjori (S)
57080,2126,1173,469,119,19420,Perth (C)
57140,108,61,25,13,433,Pingelly (S)
57210,479,340,150,44,2302,Plantagenet (S)
57280,1155,399,88,23,9413,Port Hedland (T)
57350,87,65,39,11,405,Quairading (S)
57420,181,123,30,7,915,Ravensthorpe (S)
57490,6792,4171,2305,814,53967,Rockingham (C)
65010,448,271,91,36,2239,Southern Midlands (M)
65210,293,237,100,38,1182,Tasman (M)
65410,1108,720,396,100,5746,Waratah/Wynyard (M)
65610,362,203,97,14,1832,West Coast (M)
65810,2057,1427,696,250,10590,West Tamar (M)
58330,509,438,138,18,2106,Toodyay (S)
58400,28,14,8,5,133,Trayning (S)
58470,51,28,7,0,203,Upper Gascoyne (S)
58510,2135,1250,738,657,20380,Victoria Park (T)
70200,2495,1315,383,82,14417,Alice Springs (T)
58540,57,35,20,7,359,Victoria Plains (S)
58570,2299,1079,482,245,20626,Vincent (C)
58610,144,102,50,25,688,Wagin (S)
58680,34,18,10,0,178,Wandering (S)
58760,8915,5236,2550,927,80351,Wanneroo (C)
58820,289,200,145,62,1716,Waroona (S)
58890,68,29,10,10,294,West Arthur (S)
59030,32,13,12,0,193,Westonia (S)
72800,1593,628,226,61,15652,Palmerston (C)
73600,587,497,101,9,3248,Roper Gulf (R)
74050,94,27,3,4,580,Tiwi Islands (R)
74550,265,160,33,3,1570,Victoria Daly (R)
59100,38,27,12,4,256,Wickepin (S)
74560,68,41,9,3,250,Wagait (S)
74660,474,237,29,3,2936,West Arnhem (R)
74680,97,19,3,0,822,West Daly (R)
79399,1081,622,86,10,5877,Unincorporated NT
59170,80,40,15,3,385,Williams (S)
59250,134,44,5,0,970,Wiluna (S)
89399,29958,18708,8265,3525,218522,Unincorporated ACT
99399,545,331,124,28,2892,Unincorp. Other Territories
59310,98,61,11,9,519,Wongan-Ballidu (S)
59320,24,16,4,0,153,Woodanilling (S)
59330,36,30,20,15,216,Wyalkatchem (S)
59340,1053,706,133,7,5401,Wyndham-East Kimberley (S)
59350,69,18,7,0,508,Yalgoo (S)
59360,155,49,24,16,997,Yilgarn (S)
59370,355,337,141,38,1657,York (S)
60210,677,527,202,68,2685,Break O'Day (M)
60410,876,517,214,69,5819,Brighton (M)
60610,1236,811,485,165,7725,Burnie (C)
60810,1763,1139,607,221,9021,Central Coast (M) (Tas.)
61010,207,152,51,12,933,Central Highlands (M) (Tas.)
61210,511,257,138,35,2897,Circular Head (M)
61410,4407,2987,1593,702,25510,Clarence (C)
61510,700,487,237,52,3775,Derwent Valley (M)
61610,1685,1242,705,304,10032,Devonport (C)
61810,505,358,183,58,2455,Dorset (M)
62010,116,86,37,3,475,Flinders (M) (Tas.)
62210,500,404,175,39,2599,George Town (M)
62410,483,429,182,69,2133,Glamorgan/Spring Bay (M)
62610,2853,1768,1104,454,18628,Glenorchy (C)
62810,4876,3163,1447,740,30287,Hobart (C)
63010,1560,1090,420,89,7435,Huon Valley (M)
63210,549,385,121,42,2773,Kentish (M)
63410,152,86,52,19,721,King Island (M)
63610,3255,2235,1014,326,17690,Kingborough (M)
63810,843,651,337,96,4545,Latrobe (M) (Tas.)
64010,4606,3080,1523,708,28875,Launceston (C)
64210,1499,1040,497,161,8165,Meander Valley (M)
64610,1018,770,382,91,5339,Northern Midlands (M)
64810,1153,740,303,99,6156,Sorell (M)
70420,480,307,68,9,2699,Barkly (R)
70540,5,0,0,0,31,Belyuen (S)
70620,226,81,12,0,1345,Central Desert (R)
70700,237,164,34,5,942,Coomalie (S)
71000,6833,3847,1269,279,48329,Darwin (C)
71300,332,104,24,3,2444,East Arnhem (R)
72200,1092,715,196,35,6489,Katherine (T)
72300,2535,1300,265,46,15854,Litchfield (M)
72330,464,207,43,3,3221,MacDonnell (R)
