lga_code16,nsq_ce_ii_indst_nsp,nsq_crt_ii_totm,nsq_crt_ii_totf,nsq_crt_ii_totp,nsq_crt_iii_ovr_ind_m,nsq_crt_iii_ovr_ind_f,nsq_crt_iii_ovr_ind_p,nsq_cer_iii_ov_no_in_m,nsq_cer_iii_ov_no_in_f,nsq_cer_iii_ov_no_in_p,nsq_ce_iii_ov_ind_s_nsm,nsq_ce_iii_ov_ind_s_nsf,nsq_ce_iii_ov_ind_s_nsp,nsq_crt_iii_ovr_totm,nsq_crt_iii_ovr_totf,nsq_crt_iii_ovr_totp,mig_sme_add_1_yr_ago_indig_m,mig_sme_add_1_yr_ago_indig_f,mig_sme_add_1_yr_ago_indig_p,mig_sme_add_1_yr_ago_no_ind_m,mig_sme_add_1_yr_ago_no_ind_f,mig_sme_add_1_yr_ago_no_ind_p,mig_sa_ad_1_yr_ag_indst_nsm,mig_sa_ad_1_yr_ag_indst_nsf,mig_sa_ad_1_yr_ag_indst_nsp,mig_sme_add_1_yr_ago_totm,mig_sme_add_1_yr_ago_totf,mig_sme_add_1_yr_ago_totp,mig_diff_add_1_yr_ago_indig_m,mig_diff_add_1_yr_ago_indig_f,mig_diff_add_1_yr_ago_indig_p,mig_diff_ad_1_yr_ago_no_ind_m,mig_diff_ad_1_yr_ago_no_ind_f,mig_diff_ad_1_yr_ago_no_ind_p,mig_dif_ad_1_yr_ag_in_st_nsm,mig_dif_ad_1_yr_ag_in_st_nsf,mig_dif_ad_1_yr_ag_in_st_nsp,mig_diff_add_1_yr_ago_totm,mig_diff_add_1_yr_ago_totf,mig_diff_add_1_yr_ago_totp,mig_sme_add_5_ago_indig_m,mig_sme_add_5_ago_indig_f,mig_sme_add_5_ago_indig_p,mig_sme_ad_5_ago_no_ind_m,mig_sme_ad_5_ago_no_ind_f,mig_sme_ad_5_ago_no_ind_p,mig_sa_ad_5_ag_in_st_nsm,mig_sa_ad_5_ag_in_st_nsf,mig_sa_ad_5_ag_in_st_nsp,mig_sme_add_5_ago_totm,mig_sme_add_5_ago_totf,mig_sme_add_5_ago_totp,mig_diff_add_5_ago_ind_m,mig_diff_add_5_ago_ind_f,mig_diff_add_5_ago_ind_p,mig_diff_ad_5_ag_no_ind_m,mig_diff_ad_5_ag_no_ind_f,mig_diff_ad_5_ag_no_ind_p,mi_dif_ad_5_ag_in_st_nsm,mi_dif_ad_5_ag_in_st_nsf,mi_dif_ad_5_ag_in_st_nsp,mig_diff_add_5_ago_totm,mig_diff_add_5_ago_totf,mig_diff_add_5_ago_totp,lga_name16
15800,0,30,37,67,24,15,47,494,229,720,0,0,3,521,246,769,186,216,404,1935,1952,3887,27,22,53,2153,2197,4342,65,58,118,291,299,584,0,0,3,355,351,711,136,161,296,1460,1452,2911,12,16,31,1614,1630,3239,83,88,177,650,704,1352,10,6,14,746,795,1543,Narrandera (A)
15850,0,32,50,81,67,60,132,538,252,792,4,0,4,607,315,923,469,508,981,2010,1904,3911,28,33,63,2512,2447,4961,103,125,226,214,264,473,0,5,4,315,394,705,279,303,581,1554,1453,3006,22,25,49,1853,1784,3637,225,256,477,575,622,1193,9,9,12,800,883,1683,Narromine (A)
15900,6,548,879,1423,407,352,755,14626,6877,21501,85,24,105,15114,7256,22368,1976,2032,4006,55300,56821,112126,376,401,779,57658,59255,116905,546,584,1131,12202,12822,25026,74,57,134,12824,13466,26287,1184,1154,2335,36125,37550,73673,267,276,545,37577,38973,76554,1107,1288,2395,29015,30110,59127,151,144,298,30277,31546,61822,Newcastle (C)
15950,0,94,175,270,11,6,19,1897,1116,3009,9,3,8,1915,1125,3039,66,69,130,21507,24388,45890,82,105,185,21650,24560,46211,29,26,55,6517,7210,13729,25,22,43,6576,7258,13828,39,37,74,10720,12731,23445,53,66,123,10806,12835,23639,52,50,107,16549,18251,34800,44,40,87,16650,18345,34989,North Sydney (A)
15990,10,542,947,1488,137,55,197,18265,7256,25520,106,43,144,18510,7353,25866,564,522,1084,96045,100468,196516,536,665,1205,97140,101663,198799,113,106,219,15925,16745,32668,78,73,151,16113,16923,33034,385,333,720,63041,66340,129379,385,459,852,63812,67137,130944,260,272,526,44811,46976,91787,194,217,415,45259,47467,92725,Northern Beaches (A)
16100,0,20,53,75,11,9,24,588,193,778,5,0,5,608,201,809,55,54,115,1897,1836,3731,16,18,37,1975,1908,3883,19,20,46,304,289,588,0,0,3,327,312,638,35,33,70,1345,1293,2640,17,11,33,1399,1342,2739,38,38,74,748,722,1472,3,4,6,788,767,1551,Oberon (A)
16150,6,159,272,429,153,145,297,3676,2041,5716,23,16,37,3847,2200,6042,872,894,1774,13463,14320,27780,146,152,300,14485,15365,29853,287,289,577,2891,3076,5974,29,28,53,3213,3394,6607,482,480,960,8567,9026,17590,112,112,218,9155,9621,18776,544,590,1135,6933,7611,14550,51,54,103,7528,8263,15786,Orange (C)
16200,0,54,127,181,104,86,190,1371,719,2094,12,5,22,1485,812,2302,565,570,1138,4867,4993,9863,72,60,130,5504,5621,11127,126,119,248,706,784,1491,6,8,17,842,908,1751,352,365,717,3509,3545,7059,57,37,92,3918,3946,7871,250,246,494,1825,2002,3826,19,23,47,2096,2266,4363,Parkes (A)
16260,3,429,742,1173,102,72,172,11080,5111,16192,62,26,90,11243,5214,16450,486,512,996,80998,83206,164207,416,469,885,81899,84187,166087,128,132,262,19799,18995,38792,80,85,164,20006,19217,39223,301,312,611,48042,50354,98398,280,313,593,48624,50977,99606,278,280,560,47964,46834,94798,166,179,342,48405,47292,95698,Parramatta (C)
16350,6,564,1300,1862,515,434,951,19395,9778,29168,108,46,159,20014,10257,30276,2813,2865,5682,71871,74022,145888,496,544,1046,75181,77431,152617,692,659,1352,11464,12084,23543,82,85,166,12233,12832,25066,1751,1716,3470,49003,50063,99061,353,411,759,51105,52186,103287,1353,1510,2866,30356,32314,62671,179,165,348,31884,33994,65880,Penrith (C)
