lga_code_2016,separate_house_nofb_0_i_b,separate_house_nofb_1,separate_house_nofb_2,separate_house_nofb_3,separate_house_nofb_4,separate_house_nofb_5,separate_house_nofb_6_or_m,separate_house_nofb_ns,separate_house_total,se_d_r_or_t_h_t_1_s_nofb_0_ib,se_d_r_or_t_h_t_1_st_nofb_1,se_d_r_or_t_h_t_1_st_nofb_2,se_d_r_or_t_h_t_1_st_nofb_3,se_d_r_or_t_h_t_1_st_nofb_4,se_d_r_or_t_h_t_1_st_nofb_5,se_d_r_or_t_h_t_1_st_nofb_6_m,se_d_r_or_t_h_t_1_st_nofb_ns,se_d_r_or_t_h_t_1_st_total,se_d_r_or_t_h_t_2_s_nofb_0_ib,se_d_r_or_t_h_t_2_sts_nofb_1,se_d_r_or_t_h_t_2_sts_nofb_2,se_d_r_or_t_h_t_2_sts_nofb_3,se_d_r_or_t_h_t_2_sts_nofb_4,se_d_r_or_t_h_t_2_sts_nofb_5,se_d_r_or_t_h_t_2_st_nofb_6_m,se_d_r_or_t_h_t_2_sts_nofb_ns,se_d_r_or_t_h_t_2_sts_total,se_d_r_or_t_h_t_tot_nofb_0_ib,se_d_r_or_t_h_t_tot_nofb_1,se_d_r_or_t_h_t_tot_nofb_2,se_d_r_or_t_h_t_tot_nofb_3,se_d_r_or_t_h_t_tot_nofb_4,se_d_r_or_t_h_t_tot_nofb_5,se_d_r_or_t_h_t_tot_nofb_6_m,se_d_r_or_t_h_t_tot_nofb_ns,se_d_r_or_t_h_t_tot_total,flt_at_1_or2_st_bl_nofb_0_ib,flt_at_in_1_or2_s_b_nofb_1,flt_at_in_1_or2_s_b_nofb_2,flt_at_in_1_or2_s_b_nofb_3,flt_at_in_1_or2_s_b_nofb_4,flt_at_in_1_or2_s_b_nofb_5,flt_at_in_1_or2_s_b_nob_6_m,flt_at_in_1_or2_s_b_nob_ns,flt_at_in_1_or2_s_b_total,flt_apt_3_st_bl_nob_0_ib,flt_apt_in_3_st_bl_nofb_1,flt_apt_in_3_st_bl_nofb_2,flt_apt_in_3_st_bl_nofb_3,flt_apt_in_3_st_bl_nofb_4,flt_apt_in_3_st_bl_nofb_5,flt_apt_in_3_s_bl_nofb_6_m,flt_apt_in_3_st_bl_nofb_ns,flt_apt_in_3_st_bl_total,flt_apt_4_or_m_s_b_nofb_0_ib,flt_apt_4_or_m_s_b_nofb_1,flt_apt_4_or_m_s_b_nofb_2,flt_apt_4_or_m_s_b_nofb_3,flt_apt_4_or_m_s_b_nofb_4,flt_apt_4_or_m_s_b_nofb_5,flt_apt_4_or_m_s_b_nofb_6_m,flt_apt_4_or_m_s_b_nofb_ns,flt_apt_4_or_m_s_b_total,flt_apt_at_to_a_h_nofb_0_ib,flt_apt_at_to_a_hse_nofb_1,flt_apt_at_to_a_hse_nofb_2,flt_apt_at_to_a_hse_nofb_3,flt_apt_at_to_a_hse_nofb_4,flt_apt_at_to_a_hse_nofb_5,flt_apt_at_to_a_hs_nofb_6_m,flt_apt_at_to_a_hs_nofb_ns,flt_apt_at_to_a_hse_total,flt_apart_tot_nofb_0_i_b,flt_apart_tot_nofb_1,flt_apart_tot_nofb_2,flt_apart_tot_nofb_3,flt_apart_tot_nofb_4,flt_apart_tot_nofb_5,flt_apart_tot_nofb_6_or_m,flt_apart_tot_nofb_ns,flt_apart_tot_total,other_dwelling_nofb_0_i_b,other_dwelling_nofb_1,other_dwelling_nofb_2,other_dwelling_nofb_3,other_dwelling_nofb_4,other_dwelling_nofb_5,other_dwelling_nofb_6_or_m,other_dwelling_nofb_ns,other_dwelling_total,dweling_structu_ns_nofb_0_i_b,dweling_structur_ns_nofb_1,dweling_structur_ns_nofb_2,dweling_structur_ns_nofb_3,dweling_structur_ns_nofb_4,dweling_structur_ns_nofb_5,dwelig_struct_ns_nofb_6_or_m,dweling_structur_ns_nofb_ns,dweling_structur_ns_total,total_nofb_0_i_b,total_nofb_1,total_nofb_2,total_nofb_3,total_nofb_4,total_nofb_5,total_nofb_6_or_m,total_nofb_ns,total_total,lga_name16
15520,6,48,506,1931,1179,174,39,326,4208,0,10,126,19,5,0,3,26,186,0,0,0,0,3,0,0,4,13,0,10,124,21,6,0,3,29,195,3,27,180,22,5,0,0,30,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,180,22,5,0,0,30,269,12,39,54,41,12,0,3,47,223,0,3,14,6,7,0,0,13,39,24,127,878,2024,1205,175,45,445,4941,Murray River (A)
15560,4,19,113,657,373,59,20,149,1393,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,40,0,0,0,0,8,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,40,0,0,0,0,8,73,3,17,4,5,4,0,0,6,46,0,0,0,5,0,0,0,0,8,10,54,161,675,382,59,17,172,1524,Murrumbidgee (A)
15650,10,48,375,2211,1960,315,55,379,5359,0,87,176,134,24,3,0,54,478,0,28,78,51,5,0,0,14,178,3,112,254,180,28,3,0,70,654,0,0,27,4,0,0,0,23,64,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,0,0,0,23,69,6,6,3,8,0,0,0,40,66,0,0,4,12,17,0,0,13,52,26,170,669,2422,2003,318,55,532,6199,Muswellbrook (A)
15700,28,169,1201,3196,1546,253,49,498,6950,16,51,106,54,4,0,0,29,257,0,0,20,23,3,0,0,5,58,16,55,130,76,6,0,0,30,315,7,114,188,66,9,0,0,57,444,0,0,30,16,0,0,0,6,54,0,0,15,9,0,0,0,0,24,0,0,0,0,0,0,0,0,0,7,117,235,89,12,3,0,60,522,63,183,197,41,11,0,3,79,580,0,9,14,6,10,0,0,4,42,118,536,1779,3411,1580,253,57,672,8410,Nambucca (A)
15750,4,80,482,1950,1258,230,56,477,4530,4,33,88,11,4,0,0,31,176,0,0,19,0,0,0,0,3,21,4,34,111,9,4,0,0,35,199,8,64,149,17,0,0,0,76,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,64,149,17,0,0,0,76,322,23,47,26,8,14,0,0,38,157,3,0,3,11,7,0,0,5,28,44,230,765,1997,1279,230,61,633,5232,Narrabri (A)
15800,3,30,303,957,539,106,29,226,2200,0,3,21,7,3,0,0,20,62,0,0,0,0,0,0,0,0,0,0,3,21,7,3,0,0,20,62,0,6,41,8,0,0,0,10,69,0,3,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,46,8,0,0,0,10,77,7,5,0,6,0,3,0,27,47,0,0,0,8,0,0,0,3,16,13,53,368,984,544,114,32,294,2405,Narrandera (A)
15850,10,27,275,981,666,132,22,242,2356,0,3,11,8,0,0,0,9,37,0,0,0,0,0,0,0,0,3,0,3,11,8,0,0,0,9,36,0,39,36,7,3,0,0,15,96,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,38,35,7,3,0,0,15,105,0,0,3,0,0,0,0,19,21,0,4,3,6,3,0,0,3,23,8,74,328,1012,677,135,23,285,2549,Narromine (A)
15900,42,454,7414,21771,9900,1958,517,1641,43697,16,503,2233,1130,67,13,10,271,4247,17,494,1962,2199,311,78,26,291,5378,33,992,4197,3329,380,91,37,562,9625,100,1440,1419,355,37,9,16,374,3752,35,420,1358,239,7,3,6,270,2349,46,389,844,551,30,0,3,239,2105,9,75,41,12,3,3,4,15,165,188,2325,3662,1163,85,18,31,897,8362,16,60,74,45,20,3,0,133,361,7,61,82,59,15,6,10,55,288,296,3898,15421,26365,10401,2077,590,3285,62332,Newcastle (C)
15950,4,45,411,1333,1073,349,65,174,3464,3,43,488,606,136,12,0,87,1372,9,119,696,1697,335,51,13,203,3120,13,167,1182,2300,468,62,14,289,4488,50,725,1748,894,85,8,9,297,3815,134,1874,3917,1107,53,10,6,652,7749,467,3919,5442,1866,64,10,9,1351,13124,0,0,12,4,3,0,0,3,27,647,6521,11116,3872,206,28,18,2303,24712,3,22,33,7,4,0,0,21,86,9,23,26,19,0,0,3,20,97,677,6781,12772,7532,1751,441,103,2803,32857,North Sydney (A)
15990,72,544,3155,17623,19959,7264,1589,2064,52279,74,338,766,692,202,20,8,259,2370,42,480,1388,2930,624,78,28,427,6000,115,822,2153,3623,830,102,34,687,8371,130,1648,3219,1276,169,43,13,678,7169,80,2385,8973,1372,55,10,3,1204,14078,138,2013,4877,1486,47,3,4,702,9268,3,42,28,15,8,0,0,12,115,355,6082,17101,4154,274,54,25,2589,30628,39,88,220,81,15,8,3,257,716,9,74,102,75,37,17,6,74,400,586,7616,22731,25555,21117,7452,1669,5669,92390,Northern Beaches (A)
16100,6,23,205,822,544,97,22,226,1945,0,0,5,3,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,4,15,0,15,17,0,0,0,0,5,33,0,3,7,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,0,0,0,0,15,49,0,6,3,0,0,0,0,5,13,0,3,14,37,14,4,0,4,71,11,51,248,860,560,96,24,248,2096,Oberon (A)
16150,20,93,1030,5886,4549,732,116,838,13262,9,147,743,266,12,0,7,150,1336,0,76,56,48,7,0,0,33,230,12,227,802,311,21,0,7,181,1559,8,157,253,46,11,0,4,92,572,0,4,33,0,0,0,0,12,56,0,0,11,7,0,0,0,0,17,0,3,3,0,0,0,0,0,6,8,167,301,53,11,0,4,107,647,12,17,12,9,3,0,0,36,86,3,16,32,15,15,4,5,61,136,43,518,2173,6271,4595,738,129,1227,15697,Orange (C)
16200,9,59,579,2219,1468,260,69,460,5128,0,15,65,47,4,0,0,33,166,0,10,0,0,0,0,0,10,21,0,25,67,47,4,0,0,39,191,15,60,162,25,5,0,0,90,351,0,0,10,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,64,165,25,5,3,0,91,365,9,15,12,10,4,0,0,34,86,6,17,11,13,11,4,9,10,75,42,181,836,2321,1491,262,70,641,5845,Parkes (A)
16260,50,272,2598,14894,12038,3504,851,1410,35613,63,360,834,1110,109,12,4,233,2730,31,365,1625,5014,1629,181,27,505,9382,94,728,2465,6119,1738,192,33,740,12107,83,680,2945,642,41,4,10,592,4999,64,566,7052,1386,47,7,3,847,9967,188,2855,9927,2091,56,4,3,1688,16812,0,11,15,11,0,0,0,17,52,338,4101,19945,4135,149,15,8,3140,31829,5,27,131,62,8,5,0,57,291,9,63,89,44,38,15,4,72,326,492,5181,25227,25252,13971,3725,899,5420,80162,Parramatta (C)
16350,67,384,1967,24077,19343,4179,1029,2976,54018,31,230,854,1371,96,14,10,328,2932,13,206,694,3369,334,13,4,504,5142,42,435,1547,4746,435,28,18,827,8072,35,256,1106,160,3,3,7,275,1841,18,112,1206,106,0,0,0,270,1716,9,55,538,63,0,0,3,119,791,0,11,23,3,6,0,0,8,51,64,423,2874,334,15,3,4,681,4402,6,62,88,42,11,3,3,99,314,10,24,54,75,33,8,10,35,255,189,1322,6524,29273,19841,4224,1061,4621,67066,Penrith (C)
11600,4,28,104,416,278,60,16,85,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,6,0,0,0,9,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,6,0,0,0,9,34,16,11,3,9,0,0,3,37,67,0,0,3,3,0,0,3,0,11,20,43,131,433,274,61,19,125,1111,Carrathool (A)
11650,157,1550,11462,40083,31820,7093,1494,5222,98876,28,585,4466,3744,143,31,22,946,9959,27,477,1535,3126,338,22,8,493,6017,48,1063,5998,6868,479,51,28,1441,15980,74,920,2953,1642,165,22,14,770,6559,4,103,1006,346,18,4,0,204,1685,6,131,1055,394,14,3,0,180,1786,6,23,19,8,7,0,3,5,71,91,1181,5035,2389,206,28,14,1151,10101,94,372,421,192,65,10,3,462,1623,33,108,139,102,60,9,4,162,613,427,4268,23051,49632,32632,7184,1542,8441,127190,Central Coast (C) (NSW)
11700,3,35,122,206,133,35,20,111,669,0,5,7,6,0,0,0,9,29,0,0,0,0,0,0,0,0,0,0,5,7,6,0,0,0,9,29,0,0,3,3,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,13,3,5,3,0,0,0,0,10,20,0,0,0,6,3,0,0,10,16,8,46,136,218,139,42,20,144,747,Central Darling (A)
11300,12,53,462,2132,1336,459,164,267,4874,6,40,307,271,51,14,4,40,724,3,53,150,394,400,178,70,67,1311,9,91,459,666,455,191,76,101,2037,53,176,459,120,10,0,14,116,942,20,174,1269,297,17,3,0,135,1916,32,442,1456,421,29,4,0,256,2648,0,3,22,0,0,0,0,0,30,106,794,3206,843,58,14,16,508,5534,3,12,7,9,5,3,0,19,68,0,16,28,16,6,3,0,17,90,122,967,4167,3666,1861,666,253,909,12614,Burwood (A)
11350,85,427,1306,4495,2379,420,122,1278,10509,6,37,158,226,12,8,0,71,516,3,24,94,223,22,0,0,70,438,13,62,249,448,36,6,3,142,956,16,149,272,139,23,5,0,133,743,0,21,45,17,0,0,0,15,101,0,0,0,0,0,0,0,0,3,3,12,3,3,0,0,0,3,27,21,185,325,160,23,6,0,151,872,107,219,124,41,13,6,0,394,912,13,29,43,48,23,8,4,55,235,246,926,2044,5196,2475,451,130,2021,13482,Byron (A)
11400,16,79,553,1826,1518,355,104,356,4797,0,6,13,3,0,0,0,5,31,0,0,0,0,0,0,0,0,0,0,6,13,3,0,0,0,5,32,6,18,41,9,0,0,0,9,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,41,9,0,0,0,9,76,9,13,13,10,5,3,0,14,58,0,3,8,3,7,4,0,0,27,26,118,632,1846,1531,361,102,384,4997,Cabonne (A)
11450,22,123,566,5817,12821,2299,437,1038,23117,14,139,293,251,91,3,3,104,898,0,33,136,283,113,17,0,49,630,14,171,423,534,205,23,7,148,1521,0,26,93,11,0,0,0,27,167,0,0,27,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,26,127,16,0,0,0,30,206,5,31,24,8,5,0,0,25,103,3,4,8,9,30,4,0,10,70,43,361,1155,6386,13068,2323,443,1255,25027,Camden (A)
11500,69,242,1246,20421,13070,2838,729,2171,40786,23,95,1666,1883,111,14,3,387,4174,18,289,1422,2040,447,26,3,597,4838,40,383,3089,3921,558,35,5,989,9017,28,136,565,236,7,0,0,133,1115,0,15,267,70,0,0,0,78,436,3,78,549,167,0,0,0,72,871,0,4,11,3,3,0,0,4,24,28,238,1389,471,12,0,0,291,2437,0,6,20,29,15,3,3,28,108,8,25,36,18,13,3,0,30,131,151,897,5777,24864,13669,2880,741,3504,52481,Campbelltown (C) (NSW)
11520,8,67,1545,5550,3655,1179,235,510,12756,5,62,515,360,77,12,3,76,1124,4,66,493,1101,205,16,3,150,2042,11,132,1007,1464,280,31,3,230,3162,66,499,1982,706,56,5,7,361,3690,3,173,2283,857,34,0,7,341,3698,23,1736,5435,2173,84,3,3,818,10275,0,5,4,6,0,0,0,5,27,93,2418,9708,3740,174,14,17,1528,17685,4,52,148,81,14,3,4,35,335,4,30,53,26,17,9,3,22,166,123,2691,12456,10866,4139,1238,259,2331,34105,Canada Bay (A)
11570,118,565,7777,29535,16188,4817,1258,3783,64047,90,423,1299,1903,252,26,7,352,4362,34,708,2220,5370,4156,374,55,916,13825,124,1133,3519,7271,4408,400,63,1272,18190,265,2076,8821,1026,155,31,11,1394,13771,107,673,7853,1121,39,10,5,1054,10861,26,571,3521,706,40,0,3,588,5446,4,27,43,31,9,3,0,28,142,397,3345,20235,2884,237,40,23,3065,30218,9,66,282,173,60,10,3,88,690,4,49,117,87,79,15,5,85,434,651,5162,31920,39956,20973,5280,1346,8294,113582,Canterbury-Bankstown (A)
11720,29,285,2460,8660,4791,726,171,1343,18467,3,107,650,409,13,3,0,176,1362,0,71,89,49,9,0,0,26,238,3,179,739,459,21,3,0,200,1602,3,130,111,33,3,0,0,49,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,130,116,35,3,0,0,49,330,0,14,18,20,8,0,0,22,80,3,9,21,42,23,3,5,39,143,35,612,3358,9212,4840,734,174,1660,20623,Cessnock (C)
11730,78,415,2365,8362,4448,778,184,1363,17992,10,127,337,214,6,3,0,68,761,3,31,149,179,18,4,0,45,430,9,158,488,391,28,6,3,111,1195,5,131,507,187,23,3,0,123,983,0,12,64,34,6,0,0,18,125,0,0,5,0,0,0,0,3,8,0,0,0,0,0,0,0,0,3,3,147,588,219,27,3,0,144,1126,225,404,220,127,43,7,5,257,1282,3,26,37,55,20,4,3,25,186,321,1147,3700,9154,4560,796,203,1900,21776,Clarence Valley (A)
11750,4,18,150,713,486,65,9,205,1656,0,3,19,8,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,3,19,8,0,0,0,3,32,3,46,48,14,0,0,0,36,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,45,48,14,0,0,0,31,145,37,23,14,20,4,0,3,10,109,0,0,0,0,0,0,0,7,7,40,88,235,742,492,73,15,260,1950,Cobar (A)
11800,47,316,1903,9393,6589,1349,289,1305,21187,14,115,1102,600,55,9,0,234,2131,6,87,482,642,101,11,3,151,1481,15,209,1585,1243,158,18,4,386,3611,23,294,1252,408,32,7,3,283,2303,3,43,215,46,0,0,0,42,354,3,55,150,89,10,3,0,44,353,0,4,0,0,0,0,0,3,9,30,401,1614,546,38,8,3,378,3023,196,363,286,111,40,6,0,282,1268,25,54,80,80,29,10,4,76,362,311,1339,5463,11370,6860,1390,301,2423,29459,Coffs Harbour (C)
12000,0,29,195,656,418,87,16,167,1575,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,14,0,3,0,0,0,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,10,34,3,5,0,0,3,0,0,4,11,0,0,4,3,3,0,5,0,17,8,48,205,668,423,87,23,178,1636,Coolamon (A)
12150,3,32,198,570,369,61,23,255,1505,0,0,9,3,3,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,3,17,0,24,33,0,0,0,0,20,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,0,0,0,0,20,73,9,8,0,4,4,0,0,37,61,0,0,0,3,0,0,0,3,12,8,68,237,588,376,62,20,314,1669,Coonamble (A)
12350,8,90,585,2072,1216,209,63,419,4662,0,6,87,37,15,3,0,30,182,0,0,0,3,0,0,0,0,10,0,6,90,45,15,3,0,35,190,6,40,154,17,0,0,0,40,257,0,0,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,155,17,0,0,0,44,271,11,23,6,6,3,0,0,18,74,0,0,13,27,11,0,0,5,60,32,167,852,2159,1249,217,64,520,5251,Cowra (A)
12380,86,409,4172,17031,9917,2878,746,2326,37568,61,433,1357,1121,181,18,3,373,3551,21,353,1256,3592,1445,243,37,476,7420,84,785,2609,4716,1621,259,39,845,10966,102,716,3605,494,52,18,6,587,5590,40,349,5332,981,41,7,4,686,7439,29,313,3430,1017,42,4,4,453,5299,3,35,53,31,3,3,3,22,149,178,1411,12431,2518,141,30,20,1751,18469,0,36,110,112,54,13,5,94,442,7,47,70,61,54,16,3,111,364,355,2693,19387,24442,11791,3198,816,5130,67815,Cumberland (A)
12700,16,78,434,1445,898,187,43,233,3338,0,7,12,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,4,21,0,8,17,9,0,0,0,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,9,0,0,0,4,39,8,20,8,11,3,0,0,11,59,0,3,3,5,7,0,0,3,25,22,111,477,1471,909,195,46,252,3485,Dungog (A)
12730,3,38,394,1499,870,136,36,366,3341,0,7,33,12,3,0,0,20,76,0,0,0,3,0,0,0,3,4,0,7,33,15,3,0,0,17,76,0,30,182,17,0,0,0,51,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,182,17,0,0,0,53,281,3,11,14,12,0,0,0,32,78,3,0,8,21,3,0,0,0,42,13,91,629,1557,879,140,36,468,3808,Edward River (A)
12750,40,256,1784,5980,3523,667,139,940,13330,8,49,326,322,14,3,0,98,817,0,48,161,212,24,3,3,49,502,12,98,489,528,34,7,4,145,1318,4,116,500,217,17,3,7,143,1005,0,13,33,7,4,0,0,16,70,0,0,19,4,0,0,0,3,29,0,0,3,3,0,0,0,0,7,3,123,560,234,21,3,7,163,1112,52,131,178,53,12,0,4,150,574,0,5,25,32,16,9,4,20,114,107,610,3032,6838,3614,679,153,1414,16450,Eurobodalla (A)
12850,79,392,2695,18744,13720,3620,1004,2394,42652,29,185,422,850,107,15,5,163,1774,23,270,1074,3376,766,53,6,360,5918,46,452,1499,4230,868,64,14,517,7700,38,770,1307,487,57,11,12,292,2961,11,310,2232,285,3,0,4,292,3148,16,210,1635,147,3,0,0,152,2168,0,23,64,13,4,0,0,11,110,66,1310,5232,932,64,11,17,752,8389,10,84,90,163,61,25,5,108,546,0,36,92,51,27,7,7,73,289,209,2269,9602,24120,14748,3731,1046,3847,59574,Fairfield (C)
12870,7,59,551,2238,1150,192,33,370,4589,0,5,122,54,0,0,0,24,204,0,5,4,5,0,0,0,0,12,0,8,123,54,3,0,0,25,218,0,22,207,38,3,3,0,51,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,207,38,3,3,0,51,324,10,22,45,22,0,0,0,14,117,0,0,3,10,0,0,3,9,35,18,113,932,2361,1152,197,36,471,5274,Federation (A)
12900,4,28,404,1556,945,155,23,302,3418,0,7,92,10,0,0,0,12,125,0,0,0,0,0,0,0,3,6,0,7,92,12,0,0,0,15,131,0,45,79,0,0,0,0,18,148,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,78,0,0,0,0,23,151,14,36,19,9,6,3,3,35,121,0,4,4,3,3,0,3,0,20,23,113,598,1586,955,157,26,376,3835,Forbes (A)
12930,29,226,2646,10834,8187,3143,773,1147,26984,52,157,651,1239,95,16,5,173,2384,11,149,551,1631,858,153,18,185,3552,60,301,1208,2862,946,168,26,355,5932,21,411,1240,277,31,9,7,218,2216,14,246,3848,1065,60,3,3,418,5661,26,935,5700,1980,107,12,13,535,9313,0,21,24,11,3,0,0,6,70,62,1618,10819,3335,204,28,22,1181,17260,5,53,127,57,21,3,0,47,314,3,16,49,36,20,10,0,49,180,154,2214,14842,17127,9375,3345,817,2774,50664,Georges River (A)
12950,9,47,231,658,447,85,16,122,1611,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,22,3,0,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,3,0,0,0,4,50,0,4,0,0,0,0,0,23,30,0,3,0,4,0,3,0,0,16,9,65,260,669,447,93,18,150,1704,Gilgandra (A)
13010,17,98,485,1614,746,128,33,323,3447,0,11,15,7,0,0,0,3,38,0,0,3,0,0,0,0,0,3,0,11,12,7,0,0,0,3,39,3,47,61,14,0,0,0,14,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,61,14,0,0,0,14,142,7,24,7,6,4,0,0,10,53,3,4,16,21,4,3,0,19,66,32,183,582,1662,754,130,35,364,3744,Glen Innes Severn (A)
13310,40,153,1143,4427,2997,521,148,632,10066,3,102,311,251,30,9,3,71,785,0,0,70,40,12,3,3,10,128,3,105,379,289,40,9,3,83,911,0,75,185,18,3,0,0,46,328,0,32,37,0,0,0,0,17,80,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,104,218,18,10,0,0,61,416,18,39,29,14,5,3,3,46,155,0,8,7,22,11,3,4,30,85,64,409,1785,4769,3064,531,155,858,11630,Goulburn Mulwaree (A)
13340,5,72,413,1648,1104,220,51,239,3754,4,6,24,10,0,0,0,10,49,0,0,0,0,0,0,0,0,0,4,6,24,10,0,0,0,10,49,0,13,15,0,0,0,0,7,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,7,44,0,3,3,12,6,0,0,15,43,0,3,4,7,8,0,4,3,31,11,101,463,1674,1121,222,57,272,3920,Greater Hume Shire (A)
13450,10,75,556,3358,2577,322,49,726,7674,0,64,148,163,3,3,0,52,431,0,0,10,3,0,0,0,3,14,0,61,159,165,3,3,0,57,451,9,118,472,164,4,0,0,213,984,0,4,7,3,0,0,0,7,27,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,9,121,483,171,4,3,0,226,1018,21,31,15,19,11,0,0,26,128,3,8,5,30,18,7,0,10,76,45,298,1219,3741,2616,327,49,1048,9338,Griffith (C)
13510,5,57,541,1962,1131,203,47,310,4267,0,14,97,17,0,0,0,17,140,4,0,11,9,0,0,0,0,26,4,14,109,21,0,0,0,17,166,4,16,54,8,0,0,0,10,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,54,8,0,0,0,10,95,14,14,9,21,13,0,0,22,100,0,0,11,8,5,5,0,0,26,33,103,733,2022,1144,207,50,362,4656,Gundagai (A)
13550,12,60,429,1896,1315,234,57,340,4331,4,14,53,47,11,0,0,12,139,0,0,20,0,4,0,0,9,34,4,14,77,50,9,0,0,17,173,5,47,122,14,0,0,0,23,216,0,0,15,3,0,0,0,0,18,3,7,19,3,0,0,0,5,40,0,0,0,0,0,0,0,0,0,5,58,160,19,0,0,0,34,276,11,15,6,9,9,0,0,31,75,0,3,8,11,3,3,3,10,37,28,148,676,1979,1340,240,62,429,4894,Gunnedah (A)
13660,10,62,349,839,489,115,26,194,2080,0,8,7,3,3,0,0,4,23,0,0,0,0,0,0,0,0,0,0,8,7,3,3,0,0,4,23,0,13,3,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,3,26,20,23,0,5,3,0,0,33,90,0,0,0,0,3,0,0,0,11,28,109,365,850,502,115,26,237,2226,Gwydir (A)
13800,34,233,1289,7751,6371,1791,585,1150,19199,13,198,552,768,49,3,3,190,1781,0,48,88,330,54,6,4,53,585,13,250,634,1098,108,13,8,242,2364,0,63,256,54,8,3,0,41,437,0,5,68,8,0,0,0,14,89,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,10,0,68,320,67,8,3,0,59,535,24,53,40,14,10,3,3,88,241,3,20,38,38,32,11,0,47,193,74,636,2328,8977,6527,1817,596,1588,22541,Hawkesbury (C)
