lga_code16,tot_mgr,tot_pfn,tot_tch_trwk,tot_co_pswk,tot_cl_adwk,tot_sal,tot_mchop,tot_lab,tot_inad_ns,tot_to,lga_name16
22830,3899,4600,3659,2807,3135,2750,1766,3731,426,26774,Greater Shepparton (C)
22910,1073,1206,1004,763,680,469,293,730,97,6314,Hepburn (S)
22980,550,301,262,223,205,138,167,369,36,2250,Hindmarsh (S)
23110,5974,10225,5142,3938,6028,3587,2751,3247,770,41662,Hobsons Bay (C)
23190,1431,1557,1288,1005,1057,1002,527,991,126,8988,Horsham (RC)
23270,7687,11434,12446,9738,11912,8502,8606,8976,1631,80927,Hume (C)
23350,1191,1396,1033,823,792,549,490,923,132,7322,Indigo (S)
23430,10231,17793,9861,7130,11212,7698,3223,5099,1154,73390,Kingston (C) (Vic.)
23670,9206,16055,11655,7762,12076,8323,4234,6243,1208,76766,Knox (C)
23810,2756,4476,5121,3454,3972,3090,2248,3436,567,29124,Latrobe (C) (Vic.)
23940,961,315,251,208,218,157,197,409,51,2773,Loddon (S)
24130,3158,4741,3417,2418,2799,1702,1059,1813,307,21409,Macedon Ranges (S)
24210,8721,14894,5472,4675,7526,5842,1339,2958,906,52333,Manningham (C)
24250,664,619,632,423,375,383,187,474,67,3822,Mansfield (S)
24330,5541,11831,4143,4299,5309,3690,2108,3688,763,41367,Maribyrnong (C)
24410,6742,12826,8131,5786,8217,5592,2239,4102,774,54399,Maroondah (C)
24600,12008,27471,5173,7807,8161,6073,1021,3771,1226,72720,Melbourne (C)
24650,6117,8796,8819,6545,9460,6319,6427,6038,1175,59714,Melton (C)
24780,3310,3622,3015,2510,2507,2543,1555,3036,387,22483,Mildura (RC)
24850,2147,2318,3218,2320,2469,1686,1779,2170,317,18425,Mitchell (S)
24900,2166,1386,1643,1201,1109,1028,867,2030,225,11656,Moira (S)
24970,10967,24350,8374,7351,11450,8178,2911,5522,1362,80459,Monash (C)
25060,8556,16704,5825,5499,8821,5515,2085,3347,997,57347,Moonee Valley (C)
25150,1831,2300,2396,1591,2050,1267,1365,1413,270,14471,Moorabool (S)
25250,9693,24705,9223,8105,10723,6767,3383,5663,1327,79594,Moreland (C)
25340,9337,12472,11897,7953,8018,7201,2711,5992,1026,66602,Mornington Peninsula (S)
17400,579,271,265,224,240,190,184,364,58,2370,Tenterfield (A)
22750,10874,21278,15401,13199,12524,10799,6139,10605,1643,102456,Greater Geelong (C)
25430,1047,1770,1042,868,712,591,339,978,110,7450,Mount Alexander (S)
25490,2067,1076,928,697,650,521,502,1024,138,7611,Moyne (S)
25620,978,815,1067,716,644,405,380,714,123,5848,Murrindindi (S)
25710,4912,8317,4629,3339,4803,2979,919,1778,397,32065,Nillumbik (S)
25810,904,596,582,692,426,407,313,851,87,4864,Northern Grampians (S)
25900,11145,21583,4400,4833,7087,4579,806,1954,943,57331,Port Phillip (C)
25990,585,308,351,277,265,172,228,356,52,2611,Pyrenees (S)
26080,160,319,123,93,112,75,28,69,21,1002,Queenscliffe (B)
26170,2473,1603,1806,1169,1226,1034,863,1584,186,11949,South Gippsland (S)
26260,1566,1122,981,747,748,668,395,820,95,7140,Southern Grampians (S)
26350,10606,22256,3442,4523,6892,5083,619,1710,969,56103,Stonnington (C)
26430,945,602,614,429,391,292,263,674,75,4280,Strathbogie (S)
26490,2266,3485,2022,1508,1547,1251,447,1063,230,13822,Surf Coast (S)
26610,1581,1225,1141,855,916,846,553,1257,185,8558,Swan Hill (RC)
26670,693,370,347,227,246,168,182,318,49,2590,Towong (S)
26700,1894,2263,1758,1494,1406,1225,848,1455,185,12520,Wangaratta (RC)
26730,1595,2945,2199,1777,1777,1908,891,2211,218,15518,Warrnambool (C)
26810,2981,2820,2860,1993,1792,1529,1238,2271,303,17783,Wellington (S)
26890,679,221,152,150,128,81,99,286,23,1811,West Wimmera (S)
26980,10283,23464,7569,7285,10342,7290,2116,4782,1141,74267,Whitehorse (C)
