lga_code16,p_ewft_35_39_es_ns,p_ewft_35_39_tot,p_ewft_40_44_e,p_ewft_40_44_om_ie,p_ewft_40_44_om_uie,p_ewft_40_44_cfw,p_ewft_40_44_es_ns,p_ewft_40_44_tot,p_ewft_45_49_e,p_ewft_45_49_om_ie,p_ewft_45_49_om_uie,p_ewft_45_49_cfw,p_ewft_45_49_es_ns,p_ewft_45_49_tot,p_ewft_50_54_e,p_ewft_50_54_om_ie,p_ewft_50_54_om_uie,p_ewft_50_54_cfw,p_ewft_50_54_es_ns,p_ewft_50_54_tot,p_ewft_55_59_e,p_ewft_55_59_om_ie,p_ewft_55_59_om_uie,p_ewft_55_59_cfw,p_ewft_55_59_es_ns,p_ewft_55_59_tot,p_ewft_60_64_e,p_ewft_60_64_om_ie,p_ewft_60_64_om_uie,p_ewft_60_64_cfw,p_ewft_60_64_es_ns,p_ewft_60_64_tot,p_ewft_65_69_e,p_ewft_65_69_om_ie,p_ewft_65_69_om_uie,p_ewft_65_69_cfw,p_ewft_65_69_es_ns,p_ewft_65_69_tot,p_ewft_70_74_e,p_ewft_70_74_om_ie,p_ewft_70_74_om_uie,p_ewft_70_74_cfw,p_ewft_70_74_es_ns,p_ewft_70_74_tot,p_ewft_75ov_e,p_ewft_75ov_om_ie,p_ewft_75ov_om_uie,p_ewft_75ov_cfw,p_ewft_75ov_es_ns,p_ewft_75ov_tot,p_ewft_tot_e,p_ewft_tot_om_ie,p_ewft_tot_om_uie,p_ewft_tot_cfw,p_ewft_tot_es_ns,p_ewft_tot_tot,p_ewpt_15_19_e,p_ewpt_15_19_om_ie,p_ewpt_15_19_om_uie,p_ewpt_15_19_cfw,p_ewpt_15_19_es_ns,p_ewpt_15_19_tot,p_ewpt_20_24_e,p_ewpt_20_24_om_ie,p_ewpt_20_24_om_uie,p_ewpt_20_24_cfw,p_ewpt_20_24_es_ns,p_ewpt_20_24_tot,p_ewpt_25_29_e,p_ewpt_25_29_om_ie,p_ewpt_25_29_om_uie,p_ewpt_25_29_cfw,p_ewpt_25_29_es_ns,p_ewpt_25_29_tot,p_ewpt_30_34_e,p_ewpt_30_34_om_ie,p_ewpt_30_34_om_uie,p_ewpt_30_34_cfw,p_ewpt_30_34_es_ns,p_ewpt_30_34_tot,p_ewpt_35_39_e,p_ewpt_35_39_om_ie,p_ewpt_35_39_om_uie,p_ewpt_35_39_cfw,p_ewpt_35_39_es_ns,p_ewpt_35_39_tot,p_ewpt_40_44_e,p_ewpt_40_44_om_ie,p_ewpt_40_44_om_uie,p_ewpt_40_44_cfw,p_ewpt_40_44_es_ns,p_ewpt_40_44_tot,p_ewpt_45_49_e,p_ewpt_45_49_om_ie,p_ewpt_45_49_om_uie,p_ewpt_45_49_cfw,p_ewpt_45_49_es_ns,p_ewpt_45_49_tot,p_ewpt_50_54_e,p_ewpt_50_54_om_ie,p_ewpt_50_54_om_uie,p_ewpt_50_54_cfw,p_ewpt_50_54_es_ns,p_ewpt_50_54_tot,p_ewpt_55_59_e,p_ewpt_55_59_om_ie,p_ewpt_55_59_om_uie,p_ewpt_55_59_cfw,p_ewpt_55_59_es_ns,p_ewpt_55_59_tot,p_ewpt_60_64_e,p_ewpt_60_64_om_ie,p_ewpt_60_64_om_uie,p_ewpt_60_64_cfw,p_ewpt_60_64_es_ns,p_ewpt_60_64_tot,p_ewpt_65_69_e,p_ewpt_65_69_om_ie,p_ewpt_65_69_om_uie,p_ewpt_65_69_cfw,p_ewpt_65_69_es_ns,p_ewpt_65_69_tot,p_ewpt_70_74_e,p_ewpt_70_74_om_ie,p_ewpt_70_74_om_uie,p_ewpt_70_74_cfw,p_ewpt_70_74_es_ns,p_ewpt_70_74_tot,p_ewpt_75ov_e,p_ewpt_75ov_om_ie,p_ewpt_75ov_om_uie,p_ewpt_75ov_cfw,p_ewpt_75ov_es_ns,p_ewpt_75ov_tot,p_ewpt_tot_e,p_ewpt_tot_om_ie,p_ewpt_tot_om_uie,p_ewpt_tot_cfw,p_ewpt_tot_es_ns,p_ewpt_tot_tot,p_eafw_e,p_eafw_om_ie,p_eafw_om_uie,p_eafw_cfw,p_eafw_es_ns,p_eafw_tot,p_h_ns_e,p_h_ns_om_ie,p_h_ns_om_uie,p_h_ns_cfw,p_h_ns_es_ns,p_h_ns_tot,p_tot_e,p_tot_om_ie,p_tot_om_uie,p_tot_cfw,p_tot_es_ns,p_tot_tot,lga_name16
20110,0,192,201,39,44,10,4,301,214,62,56,11,6,338,249,45,50,16,5,372,222,52,56,19,5,352,129,39,36,14,3,214,32,19,24,13,0,92,0,3,15,6,0,22,0,3,6,13,0,23,1688,315,341,104,30,2480,222,0,0,3,6,232,101,0,3,4,0,107,73,3,3,0,0,81,74,3,15,8,0,100,94,11,13,13,0,124,147,8,21,10,3,193,153,10,21,6,3,189,156,20,16,10,3,200,167,22,35,10,9,239,129,7,29,16,0,183,64,8,25,12,0,109,15,9,13,6,0,45,7,3,3,11,0,26,1392,93,204,104,26,1823,130,14,28,15,7,203,54,5,14,13,18,110,3272,437,593,237,81,4613,Alpine (S)
20260,6,300,250,20,24,5,3,311,312,30,27,15,4,392,292,38,32,12,5,375,226,40,40,23,0,320,174,23,33,22,0,252,35,16,28,23,3,98,3,11,8,6,0,24,7,13,12,9,0,35,2255,230,263,135,28,2907,186,0,0,0,4,183,131,0,6,3,3,136,114,0,0,3,0,117,98,4,6,0,3,110,103,5,9,0,0,120,105,7,13,7,0,130,147,6,13,0,3,170,136,3,17,3,0,158,138,7,26,3,0,179,104,13,16,21,5,154,60,10,20,8,0,102,24,3,4,9,0,39,10,3,4,9,0,32,1350,60,133,72,22,1640,193,9,17,7,4,230,64,5,8,16,11,96,3861,299,419,231,62,4870,Ararat (RC)
20570,15,2702,2531,291,170,28,23,3041,2631,318,177,35,17,3178,2622,333,211,36,26,3228,2227,281,186,29,23,2749,1232,148,116,31,21,1552,295,61,61,22,4,446,41,29,14,12,9,98,25,16,9,4,0,57,21811,1964,1372,243,202,25587,2178,4,5,11,21,2231,2201,10,31,10,17,2266,1305,20,59,15,10,1413,1285,42,86,22,0,1434,1387,50,114,32,10,1587,1466,67,136,26,14,1707,1393,78,101,23,13,1603,1352,57,105,33,15,1566,1269,74,126,34,15,1517,945,87,137,33,16,1214,463,64,79,46,7,653,134,27,29,19,10,214,47,13,18,15,4,102,15421,595,1039,314,156,17522,1647,69,58,27,49,1847,589,44,51,38,115,834,39470,2676,2516,616,519,45788,Ballarat (C)
20660,16,2239,1838,328,190,10,8,2376,2060,356,202,29,22,2665,1953,355,182,31,24,2544,1699,292,183,20,9,2198,1086,205,104,10,15,1431,336,93,54,11,8,504,42,45,23,7,3,128,20,13,6,4,0,41,17630,2237,1313,171,160,21501,1694,3,8,11,6,1724,1928,13,50,9,17,2013,1108,21,70,18,8,1217,1065,46,118,17,6,1252,1154,96,163,31,14,1464,1394,99,196,31,14,1736,1483,114,180,29,14,1813,1280,118,144,33,10,1578,1242,107,149,29,6,1539,948,103,157,25,17,1249,450,90,128,38,11,708,125,46,61,24,6,264,57,38,33,8,0,139,13930,902,1452,300,132,16712,1291,45,74,12,26,1451,508,46,46,17,67,687,33352,3231,2885,502,383,40356,Banyule (C)
20740,10,474,402,73,115,11,7,608,444,104,117,17,17,699,380,82,96,19,12,597,404,75,91,23,9,598,191,52,68,17,8,334,56,31,37,11,0,139,5,11,27,20,3,56,10,5,12,9,0,39,3386,532,721,152,69,4864,478,3,3,3,9,496,311,3,12,3,4,334,243,3,14,7,0,263,294,18,30,4,3,352,263,20,47,12,4,347,346,15,46,10,6,418,356,29,60,13,0,454,389,26,63,11,3,496,424,32,62,19,3,538,319,34,79,24,10,468,119,22,71,17,3,238,59,14,28,12,3,106,23,13,19,16,5,82,3627,227,530,154,61,4594,435,40,78,16,20,591,126,10,20,22,41,213,7574,815,1344,339,193,10258,Bass Coast (S)
20830,13,752,641,120,125,24,12,921,715,131,127,25,13,1019,654,138,151,24,22,991,598,127,144,35,12,913,342,105,122,32,16,615,102,41,78,25,5,256,14,29,56,13,3,117,8,10,46,16,3,85,6026,909,1136,238,133,8441,778,4,3,10,13,811,534,3,13,7,7,559,344,6,27,8,0,389,413,29,44,15,6,505,417,30,56,15,3,524,451,36,54,19,9,563,526,38,92,24,11,685,500,41,62,24,8,630,471,27,80,24,7,606,402,41,97,29,8,569,144,35,67,29,11,291,51,17,43,20,5,139,38,14,38,18,3,107,5062,298,681,249,86,6374,497,35,41,35,18,620,209,29,38,32,50,344,11792,1269,1901,548,280,15789,Baw Baw (S)
20910,15,1612,1144,353,189,23,13,1729,1251,442,201,33,17,1937,1291,446,227,29,7,2001,927,376,214,28,6,1560,548,239,133,21,12,939,195,119,70,8,0,392,39,35,25,3,0,106,10,22,10,9,0,41,11146,2487,1471,188,93,15388,1220,7,14,12,11,1261,1680,11,47,7,10,1757,814,16,49,6,3,885,645,35,87,12,6,787,674,74,159,34,3,950,839,148,198,33,9,1234,954,168,218,43,14,1400,841,143,213,35,0,1232,729,149,199,29,5,1118,542,171,175,47,6,945,400,146,145,36,9,737,139,92,75,40,8,348,53,46,44,35,5,184,9532,1205,1640,378,79,12839,650,75,70,26,9,826,319,41,49,19,59,487,21647,3807,3221,616,249,29537,Bayside (C)
21010,6,239,224,21,22,4,0,280,262,44,33,9,4,352,314,50,48,9,3,426,290,41,50,17,4,403,167,32,51,6,3,264,45,23,42,17,3,126,8,4,14,10,0,47,5,5,12,7,0,34,2147,256,350,102,32,2885,206,0,0,4,7,210,118,5,6,0,0,133,79,3,11,5,0,97,87,3,10,3,0,102,115,5,8,3,0,133,140,5,9,3,3,161,147,4,19,0,3,178,164,9,24,0,0,198,174,12,33,10,6,237,146,16,28,17,3,206,69,10,24,12,3,117,13,3,16,11,0,47,10,0,8,17,0,37,1463,76,193,87,23,1846,180,6,28,16,9,234,63,4,7,16,14,112,3856,349,576,219,77,5075,Benalla (RC)
21110,18,4940,3927,701,268,55,15,4969,3761,855,295,64,37,5020,3243,812,351,42,28,4479,2707,647,311,45,27,3735,1561,404,209,30,8,2209,570,227,118,27,4,937,129,106,45,10,4,302,28,46,20,6,3,102,33846,4728,2322,372,210,41477,2379,14,35,18,17,2458,3823,23,105,25,25,3997,2069,32,122,19,12,2252,1744,83,163,35,8,2028,1660,178,220,64,9,2136,1858,251,272,90,18,2490,1897,254,298,90,16,2550,1707,239,288,70,20,2324,1606,250,255,59,16,2184,1316,236,242,65,7,1863,822,250,251,59,16,1397,330,120,129,51,14,640,130,78,94,34,4,348,21330,1998,2471,672,185,26658,1742,143,117,38,16,2057,812,88,87,64,127,1192,57730,6956,5006,1156,540,71382,Boroondara (C)
21180,39,5201,4524,486,235,39,28,5313,4519,547,267,39,47,5420,4039,484,247,42,50,4864,3294,415,193,36,30,3968,1795,239,108,15,29,2187,490,104,53,3,9,666,79,49,9,0,0,141,32,17,9,3,0,52,36421,3315,1768,275,353,42128,2266,10,5,16,19,2316,2686,25,59,31,26,2838,1736,42,96,26,14,1912,1662,97,153,43,27,1978,1672,109,150,38,11,1975,1776,131,160,54,27,2138,1697,116,168,47,30,2052,1526,111,153,40,29,1853,1384,120,158,34,24,1725,951,98,110,33,14,1207,446,80,73,27,15,634,139,28,25,12,3,204,55,10,14,5,6,85,17995,968,1320,409,229,20914,1581,62,82,19,53,1792,1230,85,103,55,187,1660,57224,4427,3271,755,818,66496,Brimbank (C)
21270,3,105,69,22,10,10,3,116,104,26,26,27,0,185,107,45,29,24,4,202,95,43,32,34,3,209,74,29,19,37,3,164,16,15,19,21,6,71,0,3,8,7,0,26,0,3,9,19,0,22,793,226,180,200,17,1419,87,0,0,4,3,96,29,0,0,0,0,28,30,3,3,0,0,34,32,0,6,4,0,47,42,0,5,4,0,52,77,5,8,6,3,93,82,8,7,3,0,99,82,3,5,9,0,98,82,7,8,8,5,110,61,5,12,5,3,86,30,3,14,10,0,57,4,3,4,12,0,23,4,3,4,9,0,24,642,43,79,80,12,852,81,9,13,7,0,112,20,7,4,20,3,53,1532,286,279,306,33,2442,Buloke (S)
21370,10,726,748,114,142,29,14,1042,812,162,134,34,13,1162,820,166,165,41,14,1209,741,158,160,54,10,1121,407,68,135,41,17,670,110,42,61,33,9,255,26,16,31,20,3,87,11,9,20,18,0,52,6615,873,1040,298,113,8950,649,0,3,20,16,689,352,4,8,10,4,376,282,3,18,4,6,310,315,15,36,13,0,379,342,17,34,4,6,415,424,24,38,17,6,512,433,35,31,15,4,514,448,32,60,24,12,577,440,30,61,22,9,567,373,31,77,29,4,510,166,20,53,23,3,265,54,7,37,23,3,116,25,3,33,29,0,92,4309,234,491,228,74,5337,532,39,50,25,14,653,206,16,27,43,51,347,11663,1163,1615,600,255,15291,Campaspe (S)
21450,10,1321,1006,229,149,15,14,1417,1118,265,169,26,15,1583,950,250,156,33,17,1401,781,219,156,38,12,1205,432,121,91,19,10,668,134,54,56,6,13,261,33,23,30,15,4,110,11,14,26,19,7,67,9462,1629,1219,217,141,12666,1475,6,10,11,19,1525,996,4,22,11,9,1041,542,23,60,12,5,637,612,60,89,30,0,786,612,61,124,35,7,832,672,85,130,34,13,928,660,74,102,34,8,885,560,67,107,31,5,782,498,73,91,17,8,691,384,68,115,25,7,605,180,44,77,24,3,334,61,22,37,25,0,140,21,15,26,30,0,90,7281,595,994,319,85,9277,559,46,66,15,15,697,332,36,45,22,63,508,17636,2311,2324,574,303,23143,Cardinia (S)
21610,27,3993,3108,553,365,52,32,4101,3313,604,408,41,33,4399,2831,640,362,47,33,3913,2201,484,273,37,21,3009,1313,221,175,28,18,1751,383,116,67,17,9,589,75,31,33,9,0,150,15,15,11,5,3,54,27422,3871,2819,369,246,34730,4193,12,25,32,26,4283,3449,23,93,33,22,3621,1657,55,175,32,19,1925,1857,127,257,60,16,2318,1847,173,368,62,13,2464,1997,185,323,61,26,2593,2006,171,331,73,22,2608,1624,160,204,59,23,2067,1342,155,262,63,17,1841,1001,135,220,51,8,1421,443,95,121,32,15,708,153,30,54,15,5,263,64,5,42,20,5,139,21633,1327,2473,603,212,26254,1638,101,126,39,47,1950,943,97,77,67,133,1311,51639,5399,5495,1077,637,64240,Casey (C)
21670,0,170,190,21,24,3,4,247,211,37,21,9,3,281,253,23,27,10,0,318,175,24,44,11,3,257,125,26,27,10,4,195,28,8,15,8,0,61,4,9,6,3,0,14,3,0,3,6,0,16,1640,174,201,72,26,2107,199,0,0,0,3,207,127,0,0,0,0,136,96,0,6,0,3,103,110,3,12,0,0,128,96,7,9,3,3,113,133,0,14,3,0,153,170,3,18,3,0,199,154,6,16,0,0,178,161,3,28,3,4,197,127,4,33,3,3,168,58,5,16,6,3,92,15,3,11,5,0,37,13,3,12,3,0,26,1454,47,175,36,29,1749,138,0,7,11,5,170,59,0,9,3,22,91,3295,222,396,126,78,4116,Central Goldfields (S)
21750,3,473,406,63,65,16,3,555,454,41,79,8,8,598,459,64,101,35,3,664,404,61,77,20,9,569,245,38,77,20,6,388,61,28,47,23,10,165,15,6,26,20,0,61,8,0,21,13,3,48,3921,403,626,179,60,5192,405,0,0,4,5,413,278,0,9,3,3,296,215,0,13,5,4,237,225,4,15,12,0,258,258,13,25,5,3,302,260,17,33,6,4,324,298,19,30,9,3,357,283,11,39,15,0,346,271,15,53,11,5,357,238,22,60,6,3,333,111,18,50,17,11,205,34,6,30,14,3,85,18,9,27,12,4,59,2896,128,381,117,48,3576,333,19,43,16,14,429,127,5,17,18,29,191,7274,557,1061,328,158,9389,Colac-Otway (S)
21830,5,381,256,52,99,22,8,433,324,71,138,30,8,581,348,65,146,39,9,606,264,62,151,33,3,516,192,47,91,29,10,379,53,26,64,23,6,159,15,16,48,18,4,101,6,4,24,10,3,47,2610,413,913,258,59,4254,282,0,3,10,3,294,152,0,4,7,6,170,109,5,4,3,0,123,124,3,23,9,3,165,136,12,13,4,3,168,171,10,20,15,3,221,158,11,19,6,4,198,189,5,30,5,4,234,199,12,45,13,3,271,149,9,44,17,3,223,66,16,32,18,3,132,23,4,22,9,4,72,20,0,20,13,6,57,1788,95,287,122,45,2333,212,21,43,25,20,314,105,10,12,24,27,180,4712,537,1250,424,146,7080,Corangamite (S)
21890,17,3166,2479,399,257,20,28,3178,2684,439,278,41,31,3479,2455,416,237,28,30,3162,2141,334,205,27,18,2721,1221,181,124,13,28,1566,366,102,51,13,11,542,68,38,17,5,6,137,29,27,13,0,0,71,22056,2622,1884,236,237,27035,1722,7,16,5,8,1757,2697,13,65,12,18,2807,1661,36,119,28,19,1867,1426,60,181,34,12,1715,1295,98,246,42,25,1703,1389,116,265,36,14,1814,1314,114,238,47,16,1727,1185,91,182,24,13,1492,1070,95,165,26,12,1370,842,77,137,21,19,1091,367,55,85,21,13,543,137,32,35,21,3,225,58,11,20,18,0,110,15154,800,1759,333,170,18217,1225,57,73,22,35,1412,763,61,64,27,100,1018,39202,3538,3779,615,542,47683,Darebin (C)
22110,13,690,628,86,93,15,17,836,780,122,130,10,10,1061,775,114,131,26,19,1075,708,138,169,41,11,1066,429,88,141,55,11,721,110,47,75,46,8,283,20,22,41,20,4,109,4,7,28,33,4,84,5993,757,1006,278,120,8153,626,0,0,7,13,643,365,0,9,6,6,386,342,9,31,3,0,380,374,19,47,7,4,456,446,13,48,9,3,519,462,25,54,11,5,556,552,24,51,13,3,645,554,16,65,22,13,680,613,37,84,22,7,768,478,52,99,30,10,671,227,38,86,42,9,399,70,9,42,30,3,153,31,10,40,22,5,109,5151,248,655,229,83,6366,629,34,68,37,32,803,204,18,44,39,63,366,11980,1062,1772,579,303,15688,East Gippsland (S)
22170,8,2493,2061,366,215,28,20,2687,2269,460,253,37,16,3043,2107,402,236,30,21,2796,1749,359,191,28,30,2356,1002,219,125,22,12,1384,280,113,62,11,6,478,44,31,19,9,6,103,26,22,15,0,0,60,18784,2585,1682,220,167,23442,2262,12,11,11,16,2307,1858,7,36,15,13,1938,1053,22,66,23,8,1180,1193,55,132,34,6,1416,1266,82,147,32,11,1534,1366,111,167,36,16,1691,1375,113,184,39,15,1714,1306,110,188,34,9,1638,1204,106,160,34,11,1524,890,116,172,41,10,1225,442,86,107,34,10,686,118,52,39,15,12,239,64,15,19,14,0,110,14402,867,1425,368,131,17193,1260,66,100,27,25,1472,564,42,53,27,126,813,35006,3558,3261,648,448,42912,Frankston (C)
22250,0,194,166,37,37,13,0,257,178,66,47,17,3,309,164,53,55,21,3,298,163,36,76,19,5,299,110,40,45,16,4,212,36,22,29,20,3,109,5,13,5,15,0,42,3,5,8,10,3,25,1437,323,376,137,37,2318,119,0,0,11,0,133,61,0,0,3,0,70,56,0,8,0,0,61,85,5,9,6,0,107,65,6,15,7,0,95,87,4,9,3,4,111,107,13,12,3,0,137,140,10,20,7,0,168,102,8,17,0,3,136,110,12,17,15,7,152,65,16,13,17,3,112,21,3,19,9,0,56,3,3,13,17,4,37,1011,72,148,100,32,1369,107,22,24,8,5,167,41,3,18,15,19,91,2604,419,559,264,87,3937,Gannawarra (S)
22830,11,1608,1528,198,122,34,20,1903,1708,245,155,29,21,2160,1624,263,154,38,23,2104,1397,230,175,32,19,1854,850,139,115,44,15,1167,233,78,68,32,5,411,40,23,23,23,0,111,21,25,24,14,0,87,13834,1512,1119,298,152,16917,1208,3,9,15,12,1244,739,3,5,6,8,763,609,5,28,12,3,656,659,30,51,20,5,764,715,37,37,16,10,812,793,52,57,18,7,926,757,46,66,18,12,898,785,52,66,14,10,930,713,46,59,38,4,863,577,67,63,21,4,737,278,34,72,33,5,420,97,20,24,11,0,155,42,11,30,14,3,96,7971,404,563,243,95,9280,1026,51,57,30,36,1198,433,29,36,46,77,633,23265,1995,1779,622,360,28025,Greater Shepparton (C)
22910,0,180,153,36,59,13,3,256,150,46,60,12,10,269,177,38,58,12,4,284,145,49,68,14,6,275,72,32,53,17,0,174,28,16,30,8,3,85,3,11,21,11,0,47,3,7,5,7,3,22,1291,277,426,98,34,2130,137,0,3,3,3,147,166,0,4,3,3,171,107,0,8,0,3,119,95,3,11,7,0,113,130,6,20,5,0,167,153,18,55,7,0,228,188,9,47,5,0,251,188,17,51,9,0,263,176,19,44,13,10,258,144,17,49,26,10,250,43,17,43,29,3,141,6,3,11,17,3,42,11,3,6,9,0,31,1548,113,360,124,36,2185,157,24,26,12,12,230,71,3,11,14,16,113,3067,417,828,250,93,4651,Hepburn (S)
22980,0,111,89,17,22,8,3,133,99,24,27,5,0,155,90,22,34,19,8,166,109,16,35,26,0,184,67,8,20,24,0,112,6,7,12,17,0,45,3,5,9,12,0,32,4,3,10,8,0,16,839,121,213,125,11,1307,54,0,0,4,0,59,49,0,0,0,0,51,27,0,0,0,0,35,48,0,3,3,0,57,32,0,4,0,0,42,48,5,3,0,0,57,58,12,5,5,0,74,61,10,16,4,0,87,80,5,13,9,3,106,63,3,9,11,3,84,18,0,12,4,0,29,5,3,11,7,0,27,4,0,6,8,0,19,548,34,85,54,3,725,59,6,17,7,0,88,21,0,10,15,12,52,1468,163,323,188,30,2174,Hindmarsh (S)
23110,18,2850,2520,265,138,19,14,2963,2703,295,159,18,17,3190,2497,278,135,22,20,2950,2050,203,137,25,22,2430,1240,132,84,7,16,1475,316,58,40,3,3,418,56,23,5,3,0,88,8,11,5,0,0,27,20251,1741,1075,147,162,23374,1016,4,10,5,6,1044,1159,6,36,8,11,1216,759,14,63,8,10,856,768,51,87,18,5,936,623,64,120,26,4,837,814,71,134,24,7,1043,780,78,143,28,4,1032,694,89,123,25,14,947,636,65,107,23,10,842,486,56,81,13,9,643,213,36,49,11,6,318,91,22,23,9,7,158,37,9,11,5,0,62,8081,552,984,214,102,9934,855,46,50,10,11,962,538,36,25,25,86,719,29718,2373,2129,399,369,34988,Hobsons Bay (C)
23190,3,461,389,66,62,12,3,540,409,85,45,21,4,568,497,79,53,22,10,658,428,75,64,39,10,611,235,47,53,17,0,345,74,15,24,13,5,125,13,4,13,7,0,38,3,6,10,4,0,35,3965,483,423,160,53,5084,407,0,4,6,5,426,238,6,3,0,0,247,179,0,13,0,0,200,234,3,18,0,3,263,216,7,16,6,5,250,281,13,31,8,3,341,277,13,31,3,0,326,255,14,23,4,3,303,281,18,24,17,3,349,190,23,24,11,3,258,92,5,32,21,0,156,30,11,13,12,0,66,9,4,17,20,0,47,2702,120,258,115,33,3226,323,13,21,22,8,382,130,6,23,4,19,184,7115,618,725,310,105,8873,Horsham (RC)
23270,60,7150,6373,634,297,48,70,7415,6570,685,335,47,61,7695,6039,655,277,43,67,7082,4613,503,201,25,45,5387,2576,297,138,27,24,3065,671,142,38,13,15,872,118,43,10,8,3,183,44,23,4,3,0,77,51327,4230,2275,309,521,58666,2763,15,13,30,26,2851,3478,32,76,20,38,3645,2245,52,146,30,18,2486,2177,129,199,49,16,2568,2118,142,218,35,19,2527,2249,159,207,58,25,2697,2211,147,230,54,28,2669,1926,153,200,59,22,2348,1591,141,125,36,24,1918,1091,122,130,34,13,1389,494,71,73,35,14,689,144,37,32,12,0,221,38,26,16,10,3,89,22517,1211,1651,457,246,26083,2426,112,77,38,63,2711,1474,115,132,54,249,2031,77746,5669,4133,864,1086,89491,Hume (C)
23350,0,236,217,39,41,3,0,303,265,41,46,7,5,364,268,49,53,14,6,387,235,47,47,14,3,351,175,24,51,20,3,271,39,17,29,15,3,111,5,11,21,14,3,51,0,7,14,9,3,34,1867,281,384,113,36,2676,204,0,0,4,0,210,101,0,0,0,3,108,73,4,6,3,0,85,90,4,11,3,0,106,97,4,12,3,0,108,125,7,26,7,0,169,137,11,26,16,0,190,155,13,26,7,3,197,148,15,35,12,4,215,145,14,35,13,3,211,66,15,28,20,0,122,22,4,21,7,0,55,6,4,12,13,0,38,1355,96,245,103,25,1817,162,13,29,18,8,229,54,3,9,11,16,100,3437,394,663,243,87,4826,Indigo (S)
23430,35,5369,4741,632,315,46,31,5767,5035,803,366,54,42,6293,4504,767,322,52,50,5703,3680,649,247,46,41,4659,2125,435,197,26,23,2805,712,215,86,20,12,1048,108,100,32,11,3,256,35,45,10,4,0,99,38996,4743,2282,350,328,46702,3029,5,9,22,16,3073,3467,15,65,18,24,3592,1633,28,106,21,12,1801,1477,92,191,38,14,1804,1522,135,236,57,6,1957,1725,146,267,68,15,2215,1765,184,259,54,24,2291,1558,167,222,49,14,2018,1451,134,217,51,15,1867,1172,185,182,38,20,1592,683,141,154,50,8,1040,260,72,62,29,10,434,97,43,46,31,4,224,19841,1355,2010,524,184,23909,1615,114,90,35,28,1888,949,82,93,52,156,1328,61406,6292,4478,963,692,73832,Kingston (C) (Vic.)
23670,26,4353,3969,485,214,39,31,4728,4172,613,308,51,33,5174,3983,618,275,43,26,4954,3209,541,267,42,24,4083,1907,315,166,23,7,2424,560,159,74,15,5,822,87,64,19,8,3,180,26,27,10,7,0,69,33020,3591,1991,293,214,39108,3010,9,17,23,19,3077,2885,19,53,25,19,3000,1404,30,112,20,8,1568,1269,54,143,31,13,1516,1409,105,209,55,7,1785,1632,137,219,47,16,2043,1788,164,214,51,15,2230,1609,153,188,33,12,1994,1529,158,176,35,10,1899,1209,152,184,36,19,1603,625,116,135,34,11,926,185,54,55,21,6,325,92,29,37,18,0,176,18645,1171,1737,426,153,22130,1658,94,80,33,23,1887,805,51,59,40,117,1082,54140,4905,3866,784,512,64206,Knox (C)
23810,11,1737,1733,145,99,11,9,2003,1819,165,108,12,18,2130,1952,156,127,24,12,2274,1718,166,94,17,27,2021,946,104,95,13,15,1158,236,69,47,15,3,368,36,11,18,9,4,78,11,15,15,3,0,44,15391,1060,850,125,131,17560,1317,4,3,9,9,1349,1070,3,7,8,11,1108,751,10,31,9,5,810,931,23,40,10,6,1010,922,22,64,19,9,1034,924,36,66,12,3,1034,971,32,53,15,5,1083,999,29,40,7,8,1097,931,32,64,15,13,1052,671,40,74,22,7,813,310,29,48,18,3,414,96,11,34,15,5,154,46,6,33,14,3,96,9939,280,557,171,100,11048,1267,41,34,27,30,1402,443,18,25,19,96,598,27041,1394,1463,337,360,30601,Latrobe (C) (Vic.)
23940,3,140,89,13,28,11,0,148,107,17,50,21,4,195,109,17,46,16,4,190,117,28,74,30,3,248,70,28,53,32,4,181,23,16,27,21,4,90,3,12,21,14,6,55,0,4,16,12,0,31,862,170,372,164,32,1608,71,0,0,3,0,73,46,0,0,0,0,46,20,0,0,3,3,28,28,0,3,6,0,34,52,0,10,3,0,66,62,3,8,5,0,83,65,5,14,6,0,89,78,4,12,4,3,105,73,15,11,12,0,109,50,5,12,5,0,80,27,4,11,20,3,66,8,4,6,13,0,31,3,5,12,7,0,28,586,49,100,89,10,844,70,17,14,12,4,112,40,5,9,23,15,89,1557,240,500,294,59,2651,Loddon (S)
24130,6,603,456,128,97,9,5,699,547,170,112,13,9,851,505,164,96,21,9,802,440,110,102,16,4,673,241,76,73,24,4,428,76,56,49,15,0,193,20,15,18,16,0,77,6,8,12,6,0,33,4409,900,749,158,60,6271,703,0,4,13,13,739,513,0,11,9,5,541,250,3,26,0,7,283,252,19,46,13,5,334,335,33,52,13,3,431,419,41,100,16,0,580,473,67,87,16,10,659,432,52,76,27,8,587,365,43,100,28,10,539,303,42,81,13,8,444,139,40,76,40,3,301,48,27,53,33,3,159,19,12,20,18,0,70,4248,377,727,232,73,5664,390,31,58,19,15,505,158,19,24,11,19,230,9211,1317,1561,420,160,12673,Macedon Ranges (S)
