LGA_MAIN11,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,LGA_NAME11
18750,0,1297,1297,1490,96,1586,603,3,606,600,3,603,312,0,312,169,0,169,3174,1399,4573,Young (A)
19399,0,113,113,129,7,136,60,3,63,46,0,46,20,0,20,12,0,12,267,123,390,Unincorporated NSW
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20110,0,1422,1422,1787,99,1886,547,9,556,544,3,547,242,0,242,86,0,86,3206,1533,4739,Alpine (S)
20260,0,1303,1303,1572,89,1661,537,5,542,481,0,481,218,10,228,108,8,116,2916,1415,4331,Ararat (RC)
20570,0,10239,10239,11100,1240,12340,4909,384,5293,4662,142,4804,2183,31,2214,840,15,855,23694,12051,35745,Ballarat (C)
20660,0,10441,10441,13246,1094,14340,7063,318,7381,7573,115,7688,2793,50,2843,982,22,1004,31657,12040,43697,Banyule (C)
20740,0,3733,3733,4298,329,4627,1379,40,1419,1297,9,1306,567,0,567,203,3,206,7744,4114,11858,Bass Coast (S)
20830,0,3977,3977,5588,308,5896,2121,35,2156,2275,10,2285,1153,3,1156,509,3,512,11646,4336,15982,Baw Baw (S)
20910,0,8010,8010,10112,633,10745,4814,93,4907,6433,24,6457,2548,17,2565,580,7,587,24487,8784,33271,Bayside (C)
21010,0,1676,1676,2059,130,2189,673,7,680,599,3,602,275,0,275,119,0,119,3725,1816,5541,Benalla (RC)
21110,0,13849,13849,15719,1995,17714,8308,741,9049,10501,282,10783,4510,90,4600,1202,34,1236,40240,16991,57231,Boroondara (C)
21180,0,10511,10511,15397,1169,16566,10961,314,11275,11307,173,11480,5478,87,5565,3327,47,3374,46470,12301,58771,Brimbank (C)
21270,0,869,869,921,55,976,267,10,277,258,0,258,151,0,151,84,0,84,1681,934,2615,Buloke (S)
21370,0,3704,3704,4951,305,5256,1773,32,1805,1703,0,1703,922,3,925,405,0,405,9754,4044,13798,Campaspe (S)
21450,0,4624,4624,7597,534,8131,4173,72,4245,4745,19,4764,2270,0,2270,1000,3,1003,19785,5252,25037,Cardinia (S)
21610,0,12652,12652,21053,1443,22496,14995,222,15217,17617,60,17677,7729,23,7752,4661,17,4678,66055,14417,80472,Casey (C)
21670,0,1766,1766,1827,138,1965,599,5,604,537,0,537,258,0,258,117,3,120,3338,1912,5250,Central Goldfields (S)
21750,0,2353,2353,2653,186,2839,997,24,1021,918,8,926,489,7,496,219,3,222,5276,2581,7857,Colac-Otway (S)
21830,0,1746,1746,2145,104,2249,721,17,738,778,3,781,460,0,460,220,0,220,4324,1870,6194,Corangamite (S)
21890,0,14371,14371,14529,2165,16694,7651,965,8616,7365,403,7768,2789,137,2926,1179,72,1251,33513,18113,51626,Darebin (C)
22110,0,4863,4863,6571,376,6947,2015,37,2052,1795,8,1803,835,3,838,356,0,356,11572,5287,16859,East Gippsland (S)
22170,0,12349,12349,14203,1383,15586,7627,223,7850,7354,47,7401,2974,9,2983,1233,3,1236,33391,14014,47405,Frankston (C)
22250,0,1326,1326,1553,63,1616,443,7,450,406,0,406,249,3,252,113,0,113,2764,1399,4163,Gannawarra (S)
22620,0,10305,10305,12369,1189,13558,5501,319,5820,5030,89,5119,2356,23,2379,1025,12,1037,26281,11937,38218,Greater Bendigo (C)
22670,0,10170,10170,11748,1073,12821,8022,306,8328,7234,167,7401,3761,82,3843,2869,58,2927,33634,11856,45490,Greater Dandenong (C)
22750,0,22069,22069,26030,2027,28057,11643,471,12114,11453,153,11606,4768,56,4824,1813,43,1856,55707,24819,80526,Greater Geelong (C)
22830,0,5708,5708,6858,541,7399,3160,89,3249,3133,24,3157,1466,9,1475,817,4,821,15434,6375,21809,Greater Shepparton (C)
22910,0,1794,1794,2090,151,2241,700,5,705,622,3,625,283,0,283,117,3,120,3812,1956,5768,Hepburn (S)
22980,0,744,744,830,43,873,270,5,275,275,0,275,121,3,124,50,0,50,1546,795,2341,Hindmarsh (S)
23110,0,7900,7900,9183,932,10115,4990,186,5176,5082,77,5159,1883,31,1914,866,11,877,22004,9137,31141,Hobsons Bay (C)
23190,0,2268,2268,2604,175,2779,970,33,1003,955,4,959,460,0,460,161,3,164,5150,2483,7633,Horsham (RC)
23270,0,8496,8496,13122,831,13953,9630,160,9790,10918,33,10951,5480,19,5499,3547,7,3554,42697,9546,52243,Hume (C)
23350,0,1386,1386,2057,102,2159,761,9,770,794,3,797,349,3,352,148,0,148,4109,1503,5612,Indigo (S)
23430,0,13914,13914,15761,1268,17029,8539,241,8780,9133,95,9228,3321,34,3355,1127,12,1139,37881,15564,53445,Kingston (C)
23670,0,10023,10023,15057,1044,16101,9346,194,9540,10456,40,10496,4278,7,4285,1609,3,1612,40746,11311,52057,Knox (C)
23810,0,8105,8105,9156,666,9822,4014,81,4095,3650,21,3671,1547,3,1550,700,5,705,19067,8881,27948,Latrobe (C)
23940,0,983,983,1133,70,1203,316,6,322,286,0,286,165,0,165,78,0,78,1978,1059,3037,Loddon (S)
