lga_name_2016,lga_code_2016,p_oth_scs_15_19,p_oth_scs_20_24,p_oth_scs_25_34,p_oth_scs_35_44,p_oth_scs_45_54,p_oth_scs_55_64,p_oth_scs_65_74,p_oth_scs_75_84,p_oth_scs_85ov,p_oth_scs_tot,p_id_ns_15_19,p_id_ns_20_24,p_id_ns_25_34,p_id_ns_35_44,p_id_ns_45_54,p_id_ns_55_64,p_id_ns_65_74,p_id_ns_75_84,p_id_ns_85ov,p_id_ns_tot,p_tot_15_19,p_tot_20_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot
Tenterfield (A),17400,4,4,12,16,7,12,10,0,0,65,6,9,8,16,24,30,14,7,0,105,117,115,259,417,497,646,242,59,5,2361
Greater Bendigo (C),22620,90,223,432,324,371,300,80,11,3,1831,104,192,289,352,356,304,94,28,3,1726,2968,5134,10093,9775,10494,8205,1745,218,41,48675
Greater Dandenong (C),22670,61,299,810,650,476,319,92,4,0,2715,102,581,1458,1152,1013,615,138,26,6,5088,2058,6647,17785,13487,11157,7441,1592,114,17,60306
Greater Geelong (C),22750,138,460,862,742,747,569,153,26,3,3697,228,439,779,796,834,652,202,49,22,4000,5922,10501,21865,22128,22460,16664,3581,392,70,103580
Strathfield (A),17100,13,57,165,125,129,63,16,0,0,578,23,181,374,221,172,132,33,10,6,1155,624,2256,6611,3852,3368,2230,579,92,14,19618
Sutherland Shire (A),17150,224,509,981,940,939,653,198,27,7,4475,195,441,887,1061,993,732,252,43,18,4625,6131,10313,22067,25450,25357,18391,4537,450,62,112765
Sydney (C),17200,61,289,1307,749,441,289,76,11,0,3223,87,650,2342,1101,647,345,142,29,6,5347,1910,12670,50603,25657,14637,8713,2664,344,49,117252
Glen Eira (C),22310,64,203,531,450,559,341,122,21,0,2287,82,228,698,632,670,422,169,33,23,2951,2291,5602,16932,16251,15225,9957,2975,342,66,69634
Glenelg (S),22410,14,28,49,59,68,48,19,0,0,287,26,35,43,48,88,88,35,21,3,377,532,574,1107,1550,2145,1780,501,109,14,8311
Golden Plains (S),22490,16,32,71,100,73,84,17,0,0,402,39,31,54,108,108,82,28,4,0,458,574,707,1646,2437,2574,1764,423,51,14,10196
Moonee Valley (C),25060,38,157,474,369,376,278,77,14,0,1779,63,198,513,511,544,308,119,23,7,2283,2268,5536,14358,13068,12494,7980,1825,207,21,57761
Moorabool (S),25150,24,71,106,95,134,77,21,0,0,538,42,90,112,128,164,97,60,9,4,694,898,1235,2592,3192,3608,2436,578,74,13,14632
Moreland (C),25250,53,268,893,637,541,310,73,6,0,2784,74,341,1149,781,547,359,116,24,10,3396,2125,8199,26870,19552,14080,7784,1535,172,36,80352
Mornington Peninsula (S),25340,94,243,482,522,650,441,146,10,0,2595,150,276,441,611,795,601,268,55,19,3219,4122,5612,10293,13831,16460,12675,3974,469,66,67498
Mount Alexander (S),25430,9,33,37,44,66,46,11,3,0,246,24,14,42,59,76,73,28,11,0,334,389,466,912,1392,1992,1834,477,76,20,7558
Moyne (S),25490,6,32,36,51,53,28,10,0,0,216,23,19,41,53,67,69,28,18,0,311,400,516,1199,1529,1852,1612,479,127,15,7730
Murrindindi (S),25620,22,18,44,43,53,48,7,0,0,235,12,21,34,59,96,58,27,10,3,319,291,364,801,1163,1473,1341,416,84,24,5954
Nillumbik (S),25710,44,141,199,232,341,243,52,10,0,1252,71,99,183,221,351,248,92,15,0,1275,1981,3042,4512,6708,8454,6240,1490,132,11,32575
Northern Grampians (S),25810,5,14,20,27,36,22,5,6,0,133,11,13,26,31,46,36,14,8,0,177,294,357,760,827,1180,1057,329,59,12,4859
Port Phillip (C),25900,42,151,620,375,296,172,49,8,0,1705,42,159,789,571,414,259,96,19,6,2350,826,4304,20579,14031,9806,5996,1912,211,39,57705
Pyrenees (S),25990,7,5,18,13,26,21,3,0,0,92,8,9,13,20,22,32,16,8,0,126,124,166,337,486,631,662,223,29,13,2664
Queenscliffe (B),26080,0,3,0,3,4,10,4,0,0,31,0,0,5,3,3,14,3,3,0,36,55,43,99,164,254,303,113,17,0,1046
South Gippsland (S),26170,31,53,89,64,88,93,21,5,0,436,34,42,61,85,135,115,47,27,9,549,668,795,1799,2274,2949,2634,878,165,25,12184
Southern Grampians (S),26260,13,28,35,49,54,54,14,0,0,247,20,11,27,44,37,48,35,11,6,229,418,510,1110,1304,1685,1593,520,86,25,7250
Stonnington (C),26350,33,176,490,266,238,158,52,6,3,1431,53,219,725,425,439,250,164,52,18,2345,1279,5784,19742,11098,9138,6245,2712,448,84,56530
Strathbogie (S),26430,7,9,23,17,23,32,12,0,0,123,15,10,18,24,50,44,27,8,0,203,201,251,635,741,965,1094,380,89,19,4369
Surf Coast (S),26490,23,39,75,109,110,68,19,0,0,460,34,35,83,119,121,89,42,11,0,529,690,886,2318,3339,3489,2544,736,75,10,14079
Swan Hill (RC),26610,18,45,84,54,48,45,15,0,0,315,27,51,73,72,89,73,21,14,3,425,509,797,1658,1575,1851,1659,422,81,16,8568
Towong (S),26670,0,8,18,12,34,21,4,0,0,99,7,9,12,12,24,24,12,4,3,110,130,138,329,411,667,651,290,58,14,2673
Wangaratta (RC),26700,24,55,88,85,100,59,22,3,0,434,41,37,78,92,112,91,36,10,3,507,785,914,1991,2510,3015,2573,677,138,24,12616
Warrnambool (C),26730,23,76,118,119,110,89,29,3,0,563,38,57,100,84,139,89,26,13,3,545,1198,1598,3082,3015,3502,2597,530,64,15,15601
Wellington (S),26810,39,86,138,118,119,119,32,3,0,651,49,70,144,110,157,133,59,18,5,747,1000,1427,3257,3406,4011,3663,983,161,39,17944
West Wimmera (S),26890,4,5,13,0,5,11,5,0,0,42,4,5,7,4,19,16,7,3,0,61,72,122,277,280,460,408,182,57,8,1860
Whitehorse (C),26980,66,277,585,582,628,438,137,19,0,2731,97,275,734,652,701,413,161,41,9,3083,3368,7158,16705,16921,16640,10699,2836,336,36,74705
Whittlesea (C),27070,95,389,988,903,694,386,84,6,0,3545,192,467,1331,1094,1054,612,138,28,5,4924,3862,8517,24259,21625,17583,10739,1794,148,31,88550
Wodonga (C),27170,48,112,172,130,113,97,24,0,0,702,50,69,126,155,153,90,32,7,0,674,1260,1947,4050,3674,3864,2779,562,52,14,18199
Wyndham (C),27260,112,312,909,812,571,342,73,0,0,3144,149,495,1496,1298,868,501,113,13,5,4942,3951,8325,28383,27199,18724,10003,1694,96,30,98411
Yarra (C),27350,16,125,569,271,206,161,38,9,0,1402,27,173,792,399,267,169,66,5,3,1897,841,4637,21503,10764,6999,4440,1445,115,28,50781
Yarra Ranges (S),27450,156,355,730,705,810,556,137,16,3,3469,190,372,692,761,932,672,204,40,9,3869,4195,6734,14041,15617,17343,12909,3195,334,39,74415
Yarriambiack (S),27630,3,3,25,13,20,18,11,0,0,95,3,3,16,9,25,21,12,3,0,104,97,188,387,394,648,653,192,58,5,2626
Unincorporated Vic,29399,0,0,0,0,0,0,0,0,0,3,0,8,7,0,7,0,0,0,0,24,22,76,140,80,50,40,19,3,0,440
No usual address (Vic.),29499,0,6,30,16,16,6,3,0,0,89,4,16,46,24,38,12,0,0,0,148,64,289,726,386,300,215,42,7,0,2033
Migratory - Offshore - Shipping (Vic.),29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,8,3,0,0,0,23
Aurukun (S),30250,0,4,10,10,7,3,0,0,0,34,0,0,3,3,0,6,0,0,0,10,11,21,54,52,49,33,4,0,0,231
Balonne (S),30300,4,14,13,20,12,7,3,0,0,75,16,3,13,21,17,22,4,0,0,92,116,154,389,422,486,398,143,31,6,2149
Banana (S),30370,22,30,70,50,30,32,10,0,0,243,21,22,38,49,51,36,24,4,0,248,416,570,1444,1503,1564,1173,399,113,13,7185
Barcaldine (R),30410,3,10,3,4,4,7,0,0,0,31,7,6,11,13,9,6,3,4,0,54,67,128,251,260,344,278,93,28,0,1447
Barcoo (S),30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,25,20,55,31,10,0,0,167
Blackall-Tambo (R),30760,0,4,3,3,3,0,3,0,0,20,0,0,8,5,8,4,9,4,0,38,37,49,164,186,186,207,76,16,0,932
Longreach (R),34710,14,15,13,9,9,19,3,0,0,84,14,4,14,15,13,21,9,3,0,87,149,168,344,338,411,385,109,25,3,1938
Mackay (R),34770,199,346,639,539,485,329,68,3,0,2604,120,204,420,429,529,337,115,28,12,2202,3233,4512,11025,11233,12384,8410,1665,237,27,52732
McKinlay (S),34800,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,3,0,0,0,6,12,42,107,110,95,88,32,5,0,490
Mapoon (S),34830,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,10,12,13,16,16,4,0,0,82
Maranoa (R),34860,18,35,58,38,35,23,14,0,0,224,27,38,62,66,52,46,21,6,0,317,354,554,1421,1235,1319,997,355,107,20,6356
Mareeba (S),34880,26,27,62,58,62,45,15,0,0,298,29,30,53,66,79,68,24,3,0,366,474,556,1304,1636,2106,1641,475,83,8,8284
Moreton Bay (R),35010,445,882,1854,1733,1728,1109,265,31,3,8046,523,863,1600,1909,1980,1215,376,80,19,8571,12537,17835,37579,43727,43897,27753,5648,443,58,189495
Mornington (S),35250,3,7,3,7,6,3,0,0,0,26,0,0,0,0,0,0,0,0,0,8,19,29,81,68,60,35,12,3,0,314
Mount Isa (C),35300,33,49,100,69,48,35,14,0,0,354,21,41,65,70,56,57,10,0,0,321,509,952,2526,1920,1855,1062,246,24,0,9108
Murweh (S),35600,3,3,14,9,12,11,5,0,0,60,7,12,17,19,9,13,10,0,0,94,112,187,403,391,435,398,99,16,0,2046
Napranum (S),35670,0,3,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,8,0,23,40,38,38,12,3,0,0,153
Noosa (S),35740,46,75,175,203,236,135,28,0,0,906,65,84,114,220,288,202,71,19,0,1053,1381,1288,2842,4611,5924,4579,1247,126,10,22007
North Burnett (R),35760,16,9,22,28,22,19,8,0,0,129,18,17,42,38,31,32,20,4,0,208,238,282,706,765,1012,857,367,91,11,4334
Northern Peninsula Area (R),35780,14,17,22,16,6,9,0,0,0,75,3,3,9,3,4,7,0,0,0,20,59,88,200,171,157,111,13,0,0,804
Palm Island (S),35790,3,4,7,10,11,4,3,0,0,47,3,0,0,0,3,0,0,0,0,8,27,34,98,100,131,77,9,0,0,487
Paroo (S),35800,0,3,4,3,6,3,5,0,0,22,0,3,6,5,5,9,5,5,0,34,22,51,136,115,160,172,60,16,0,720
Pormpuraaw (S),36070,0,0,4,7,11,0,0,0,0,21,0,0,0,0,3,0,0,0,0,4,13,22,37,55,50,20,4,0,0,212
Quilpie (S),36150,0,3,5,0,0,0,0,0,0,11,0,0,0,3,0,3,7,0,0,19,19,44,104,70,108,80,27,7,3,452
Redland (C),36250,144,334,633,578,703,499,123,15,0,3019,172,257,532,690,730,539,143,33,5,3110,4798,6212,12359,14820,17051,12136,2530,220,33,70168
Richmond (S),36300,0,0,7,0,0,3,0,0,0,6,0,0,9,0,6,0,5,0,0,23,21,43,108,57,81,89,25,7,0,434
Rockhampton (R),36370,89,210,359,265,285,239,56,6,0,1505,73,147,278,220,237,152,39,21,3,1168,2409,3569,7812,6867,7296,5170,1039,139,19,34314
Scenic Rim (R),36510,46,62,122,153,147,127,33,5,0,682,50,59,100,188,204,151,49,27,0,838,1064,1165,2329,3540,4312,3289,1035,182,18,16926
Somerset (R),36580,30,33,55,70,76,68,20,0,0,343,27,32,72,78,103,76,34,14,3,441,538,671,1589,1896,2192,1797,498,66,11,9270
South Burnett (R),36630,36,40,72,97,93,60,33,6,0,438,40,29,67,105,102,98,55,16,0,519,774,934,1893,2246,2742,2206,703,152,11,11656
Southern Downs (R),36660,45,61,99,113,101,98,31,3,0,559,41,49,99,100,111,119,49,11,12,595,1024,1109,2140,2633,3276,2841,877,165,29,14094
Sunshine Coast (R),36720,248,540,1051,1103,1220,762,193,21,0,5132,347,455,976,1269,1306,961,315,82,24,5735,8514,10681,23125,28396,31378,21866,5097,502,72,129641
Tablelands (R),36820,35,31,56,74,74,61,21,0,0,358,26,30,59,62,92,77,43,24,0,415,647,609,1358,1768,2349,2137,666,113,11,9654
Toowoomba (R),36910,214,402,691,505,555,402,128,16,3,2911,181,227,520,493,507,426,162,62,9,2593,4830,6892,14394,14166,15479,11769,3167,430,58,71188
Torres (S),36950,5,7,10,9,3,11,3,0,0,48,3,10,15,19,9,12,0,0,0,67,52,116,353,322,262,217,44,7,0,1379
Torres Strait Island (R),36960,3,16,28,31,21,14,3,0,0,121,3,7,12,10,4,0,0,0,0,33,25,99,242,236,208,137,14,0,0,974
Townsville (C),37010,188,438,845,644,601,419,121,9,0,3263,186,307,578,632,588,435,119,27,9,2882,5693,10222,19779,18282,17905,11951,2358,223,32,86449
Weipa (T),37300,3,4,16,7,10,3,0,0,0,47,4,18,10,10,9,6,0,0,0,58,94,157,579,548,504,237,31,3,0,2152
Western Downs (R),37310,44,70,94,101,96,70,33,3,0,521,46,48,118,103,119,98,46,17,5,612,934,1256,2812,2990,3074,2285,850,184,28,14418
Whitsunday (R),37340,32,51,133,125,120,80,31,3,0,573,36,74,155,141,143,111,42,14,3,719,800,1441,3571,3280,3287,2553,640,93,13,15681
Sorell (M),64810,15,33,46,53,52,43,8,0,0,258,11,18,46,52,51,33,18,3,0,224,336,497,1257,1262,1512,1187,250,23,0,6323
Boulia (S),30900,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,14,29,52,31,33,47,12,3,0,218
Brisbane (C),31000,825,2323,5254,4135,3765,2421,683,77,0,19486,895,2374,5756,4956,4126,2462,798,194,66,21628,27950,62856,147792,129524,113603,70061,16676,1771,220,570455
Hinchinbrook (S),33800,16,17,30,36,44,24,8,0,0,172,11,11,18,21,44,54,26,15,4,197,287,294,630,787,1143,965,348,92,12,4562
Hope Vale (S),33830,0,10,13,11,8,4,0,0,0,48,0,3,0,0,0,0,0,0,0,8,9,23,59,59,49,23,3,0,0,230
Ipswich (C),33960,183,408,924,751,603,372,73,6,0,3324,224,459,951,884,849,456,119,16,4,3969,5104,8957,21053,19149,17523,10441,1856,174,18,84285
Bulloo (S),31750,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,10,9,17,38,41,40,58,12,0,4,220
Bundaberg (R),31820,80,132,261,251,264,219,60,3,0,1280,96,142,272,248,314,218,95,27,15,1425,2394,2845,6019,6758,8022,6301,1404,202,26,33970
Burdekin (S),31900,27,50,43,52,64,41,17,4,0,305,21,23,36,67,68,66,26,9,4,308,522,669,1258,1521,1801,1547,421,86,10,7841
Burke (S),31950,0,0,7,5,0,0,0,0,0,13,0,0,5,4,0,0,3,0,0,11,8,20,29,30,22,35,9,0,0,147
Cairns (R),32080,140,319,708,742,600,386,138,6,0,3050,149,252,564,639,620,398,153,39,6,2830,4088,5861,14803,16664,16617,11314,2727,289,46,72405
Carpentaria (S),32250,0,0,0,6,0,6,0,0,0,18,7,6,7,9,12,12,7,0,0,51,42,72,153,153,180,166,47,3,0,813
Cassowary Coast (R),32260,29,56,86,87,94,71,19,6,0,448,42,75,120,101,133,96,34,7,0,606,710,963,2119,2170,2817,2515,647,130,15,12084
Central Highlands (R) (Qld),32270,40,92,164,109,85,59,17,0,0,566,27,49,93,97,98,64,24,3,0,459,725,1214,3232,3064,2861,1832,448,71,16,13460
Charters Towers (R),32310,15,26,37,38,25,22,11,4,0,183,17,20,24,38,44,33,12,4,0,189,336,358,783,964,1030,827,235,38,8,4579
Isaac (R),33980,31,36,99,55,52,26,9,0,0,308,16,23,64,48,53,48,9,3,0,262,482,833,2653,2507,2030,1196,233,40,8,9972
Kowanyama (S),34420,0,0,0,0,8,5,0,0,0,16,0,3,3,0,0,0,0,0,0,6,4,26,46,50,54,41,3,0,0,227
Livingstone (S),34530,59,82,127,146,121,102,15,4,0,655,36,43,86,117,123,96,28,9,3,534,1059,1194,2468,3265,3862,2904,569,92,7,15425
Lockhart River (S),34570,4,3,7,5,3,4,0,0,0,34,0,0,4,3,0,0,3,0,0,19,18,13,51,37,36,23,7,0,0,189
Cherbourg (S),32330,0,5,0,5,7,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,10,26,35,27,30,0,0,0,127
Cloncurry (S),32450,4,0,11,6,5,10,0,0,0,47,0,0,9,9,7,7,3,0,0,52,68,136,401,303,294,241,68,7,0,1520
Cook (S),32500,7,13,13,19,14,6,3,0,0,73,3,4,20,21,17,16,7,0,0,94,76,156,325,338,361,350,94,15,0,1707
Croydon (S),32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,9,23,18,29,20,3,3,0,110
Lockyer Valley (R),34580,30,65,123,99,121,110,31,7,0,586,35,63,161,147,139,100,51,13,3,719,1064,1516,2962,3129,3678,2615,678,105,11,15762
Logan (C),34590,336,706,1411,1264,1149,806,185,16,0,5876,369,925,1787,1701,1481,988,254,49,9,7569,7988,13396,29499,29919,27993,19010,3868,260,28,131955
Litchfield (M),72300,47,54,86,82,116,58,13,0,0,461,36,50,108,146,148,101,26,5,0,620,619,1150,2278,2588,2900,1760,404,37,3,11746
Diamantina (S),32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,13,19,38,32,33,28,11,0,0,164
Clare and Gilbert Valleys (DC),41140,8,15,38,29,37,31,5,3,0,165,3,5,20,20,32,38,20,7,0,148,192,254,687,714,1005,929,297,61,13,4148
Ceduna (DC),41010,5,13,9,17,4,9,0,0,0,62,3,3,10,4,13,19,3,0,0,56,76,145,288,299,318,301,99,8,0,1531
Charles Sturt (C),41060,64,225,518,410,537,351,113,11,3,2226,65,143,357,356,378,296,86,24,5,1716,2395,4945,11896,10792,11657,7997,1791,207,27,51718
Doomadgee (S),32770,3,4,16,15,8,3,0,0,0,49,0,0,0,0,0,0,0,0,0,3,12,31,71,87,47,31,0,0,0,279
Douglas (S),32810,11,16,44,44,41,35,5,0,0,188,7,18,54,58,72,39,15,4,0,270,242,344,1074,1140,1288,1044,311,55,5,5509
Etheridge (S),33100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,20,22,67,57,95,66,24,4,0,360
Flinders (S) (Qld),33200,0,3,4,6,6,3,0,0,0,20,3,3,7,0,6,6,3,0,0,31,42,74,130,118,182,145,87,21,5,795
Fraser Coast (R),33220,90,117,261,277,306,237,51,6,0,1336,80,127,201,288,315,256,92,29,3,1388,2126,2380,5201,6796,8010,6277,1293,160,27,32271
Gladstone (R),33360,54,146,217,224,187,111,26,3,0,974,61,108,248,257,284,132,40,5,0,1135,1673,2359,5758,6267,6419,3823,701,73,9,27074
Gold Coast (C),33430,419,1019,2567,2407,2102,1405,429,30,0,10372,638,1204,2704,2813,2772,1864,634,136,32,12806,15129,24893,56327,57982,56207,38119,10689,1082,114,260548
Goondiwindi (R),33610,10,23,53,30,47,30,4,0,0,194,10,16,41,42,41,35,19,9,3,206,268,391,942,938,1067,891,275,67,15,4855
Gympie (R),33620,54,92,152,172,154,113,19,3,0,759,72,60,126,139,194,147,60,29,4,836,1141,1282,2771,3442,4360,3476,867,140,23,17499
Winton (S),37400,0,0,7,0,3,4,0,0,0,15,3,0,3,4,3,3,3,0,0,24,23,47,109,88,127,123,41,5,3,572
Copper Coast (DC),41560,12,19,53,45,51,41,4,0,0,229,15,16,31,29,33,23,13,3,8,160,341,374,836,877,1211,1031,227,53,13,4960
Elliston (DC),41750,0,0,0,0,3,0,0,0,0,5,0,0,0,4,4,3,0,0,0,16,12,26,74,85,131,141,30,5,0,496
Woorabinda (S),37550,4,0,13,3,9,3,0,0,0,35,0,0,0,0,0,0,0,0,0,4,12,17,39,38,46,30,4,0,0,193
Salisbury (C),47140,70,273,629,501,440,335,61,9,0,2323,113,263,597,535,507,315,78,11,7,2422,2682,5922,14169,12792,12208,8130,1393,102,14,57408
Southern Mallee (DC),47290,4,0,4,6,6,3,0,0,0,25,0,3,8,4,10,3,3,0,0,32,50,53,176,175,214,212,81,11,0,978
Streaky Bay (DC),47490,0,4,5,6,9,5,4,0,0,37,0,3,4,3,9,11,3,3,0,50,37,66,150,197,232,229,59,13,3,988
Tatiara (DC),47630,8,20,33,25,34,15,8,0,0,141,9,7,19,14,21,30,14,6,0,120,223,244,577,676,796,642,230,39,5,3426
Tea Tree Gully (C),47700,72,226,408,475,447,367,104,9,0,2112,69,125,226,294,306,217,61,19,3,1320,2654,4191,9373,10244,11048,7983,1668,123,8,47302
The Coorong (DC),47800,4,14,9,5,13,16,0,0,0,54,3,4,4,17,14,18,6,0,5,65,113,163,321,414,544,507,189,28,10,2292
Tumby Bay (DC),47910,3,7,16,10,12,4,0,0,0,45,0,0,3,0,8,9,3,0,0,31,51,68,170,195,278,255,66,15,0,1087
Wujal Wujal (S),37570,0,3,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,3,8,14,14,15,7,0,0,0,64
Yarrabah (S),37600,3,4,16,9,10,0,0,0,0,44,3,8,4,5,0,0,0,0,0,19,13,43,87,75,86,39,5,0,0,343
No usual address (Qld),39499,0,16,35,20,17,14,0,0,0,99,4,39,79,56,45,22,11,3,0,257,103,480,1010,470,509,430,76,6,0,3087
Migratory - Offshore - Shipping (Qld),39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,3,9,8,11,19,3,0,0,60
Bridgetown-Greenbushes (S),50840,7,3,9,17,18,10,10,0,0,71,13,5,4,4,22,31,14,4,0,92,122,86,199,376,499,478,162,26,0,1942
Brookton (S),50910,3,3,3,0,3,3,0,0,0,10,0,3,3,3,3,3,3,3,0,18,15,27,42,68,109,72,59,7,0,394
Broome (S),50980,19,43,90,98,64,43,3,0,0,362,27,34,87,78,75,58,13,3,0,366,288,492,1913,1794,1544,1122,206,23,0,7379
Adelaide (C),40070,9,42,65,51,56,25,21,5,0,261,15,23,78,38,49,25,12,10,3,254,295,1244,3098,1569,1352,1097,534,78,14,9275
Adelaide Hills (DC),40120,43,66,96,140,165,150,33,4,0,692,40,33,68,129,173,121,48,14,3,628,1001,1460,2370,3951,5250,4116,1232,126,25,19510
Alexandrina (DC),40220,17,41,67,87,100,71,21,4,0,416,22,24,57,53,85,67,31,11,3,347,505,695,1397,1947,2509,2266,639,106,12,10077
Anangu Pitjantjatjara (AC),40250,0,6,13,10,12,0,3,0,0,43,0,3,13,4,10,3,0,0,0,33,11,62,123,102,104,77,19,4,3,512
Barossa (DC),40310,15,31,73,74,82,62,19,4,0,372,21,20,55,78,77,85,30,3,3,370,632,773,1785,2381,2707,2217,567,83,18,11167
Barunga West (DC),40430,3,3,3,4,4,0,0,0,0,26,0,3,0,0,3,5,6,0,0,28,37,51,125,168,231,226,61,11,0,911
Berri and Barmera (DC),40520,12,25,31,30,47,35,10,0,0,191,11,12,39,18,40,23,9,0,0,157,236,345,733,821,1019,902,225,32,4,4311
Carnarvon (S),51540,4,8,11,7,17,10,4,0,0,56,8,10,17,20,26,20,4,3,0,105,102,174,479,457,561,419,130,23,0,2344
Chapman Valley (S),51610,3,8,4,0,10,7,0,0,0,33,0,0,0,7,13,7,5,0,0,28,41,31,77,133,188,127,45,10,4,652
Burnside (C),40700,24,44,93,113,126,123,43,5,0,562,18,27,100,139,131,122,52,11,3,601,953,1597,3045,4130,4945,3831,1394,206,25,20125
Campbelltown (C) (SA),40910,24,110,213,243,260,150,56,14,0,1065,23,68,149,137,155,111,50,15,0,702,1051,2089,4807,5039,5433,3521,880,110,11,22950
Cleve (DC),41190,3,5,6,8,5,7,0,0,0,37,0,0,8,0,7,10,7,3,0,25,35,46,142,162,205,197,55,5,3,846
Coober Pedy (DC),41330,0,0,0,3,3,3,0,0,0,13,0,0,10,3,17,13,4,0,0,41,14,39,153,118,138,125,49,13,0,643
Flinders Ranges (DC),41830,0,4,5,0,3,3,0,0,0,22,0,3,3,7,8,8,0,0,0,24,33,47,100,114,171,162,58,5,0,688
Franklin Harbour (DC),41960,0,0,8,0,4,4,0,0,0,17,0,0,3,0,6,3,0,0,0,20,20,41,83,98,142,103,45,6,0,533
Gawler (T),42030,16,61,88,64,82,74,20,0,0,409,19,27,65,71,58,53,10,6,0,318,593,991,2004,1822,2316,1778,306,31,3,9847
Goyder (DC),42110,3,0,6,18,10,5,3,0,0,47,0,7,5,13,13,19,8,3,0,75,56,115,223,327,403,429,105,31,5,1695
Grant (DC),42250,4,13,21,28,43,23,7,0,0,149,8,7,3,33,38,35,10,8,0,131,260,227,497,779,1034,759,249,56,10,3867
Denmark (S),52730,3,8,15,15,21,11,4,0,0,70,12,6,6,18,30,12,20,0,0,104,149,88,258,444,632,546,222,31,3,2364
Derby-West Kimberley (S),52800,15,21,60,44,33,18,6,3,0,206,4,14,27,15,36,18,3,0,0,114,71,204,595,475,443,426,96,3,3,2324
Donnybrook-Balingup (S),52870,8,6,19,18,22,17,5,0,0,89,9,7,18,13,29,30,7,3,0,111,126,122,347,478,614,614,195,27,7,2509
Holdfast Bay (C),42600,17,48,117,107,140,103,58,10,0,602,14,50,103,105,100,86,43,11,8,513,782,1513,3259,3329,3833,3204,879,98,21,16922
Kangaroo Island (DC),42750,5,4,12,17,16,5,3,0,0,64,3,5,11,11,14,17,6,0,0,63,103,114,335,370,510,498,202,35,7,2166
Karoonda East Murray (DC),43080,3,3,0,3,0,4,3,0,0,20,0,0,0,6,3,4,3,0,0,16,21,24,49,100,120,106,56,12,0,478
Kimba (DC),43220,0,3,3,3,6,0,0,0,0,17,3,0,0,3,4,0,3,0,0,18,31,36,117,89,118,100,34,7,0,526
Kingston (DC) (SA),43360,0,3,11,5,3,3,0,6,0,36,3,0,0,3,8,13,7,0,0,32,49,77,170,171,196,257,93,31,0,1050
Light (RegC),43650,15,25,53,58,48,41,10,0,0,254,19,23,25,30,59,45,15,4,0,219,435,576,1161,1609,1851,1318,306,47,5,7309
Lower Eyre Peninsula (DC),43710,9,5,19,20,23,16,4,3,0,94,9,9,11,20,12,14,3,7,3,86,131,128,390,558,675,495,128,21,7,2536
Loxton Waikerie (DC),43790,17,22,38,32,44,21,3,0,0,175,19,14,20,33,34,23,17,3,0,176,295,363,780,942,1208,1023,306,53,19,4989
Mallala (DC),43920,11,20,27,23,45,25,4,0,0,153,9,15,36,39,46,36,15,0,0,187,205,347,654,839,1129,727,185,22,3,4106
Merredin (S),55460,6,6,15,13,14,8,3,0,0,74,0,0,13,6,8,9,3,3,0,49,87,139,289,279,330,274,85,16,3,1498
Maralinga Tjarutja (AC),44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,4,0,0,0,8
Marion (C),44060,43,187,378,321,328,265,61,5,0,1592,54,115,245,269,250,191,57,13,3,1201,2002,4222,9836,9124,8549,6681,1315,111,27,41862
Mid Murray (DC),44210,7,10,23,18,33,18,3,0,0,105,9,10,18,19,30,31,6,3,0,139,152,219,452,541,896,770,208,36,3,3287
Mitcham (C),44340,37,89,167,214,251,200,76,13,0,1052,29,52,153,183,199,122,47,30,5,832,1623,2704,5216,6900,7449,5379,1455,180,22,30924
Mount Barker (DC),44550,24,76,162,152,136,136,30,8,0,729,30,33,88,102,124,96,21,8,3,504,1006,1434,3025,3537,3863,2717,699,84,21,16379
Mount Gambier (C),44620,37,56,118,101,83,83,22,0,0,492,27,43,72,75,81,56,16,8,3,382,789,1059,2340,2321,2624,2017,391,57,6,11612
Mount Remarkable (DC),44830,0,4,4,9,7,6,0,0,0,39,3,3,0,3,9,12,4,8,0,38,52,70,132,185,328,350,107,26,3,1252
