lga_code_2016,p_sol_sp_en_t_2006_2010,p_sol_sp_en_t_2011,p_sol_sp_en_t_2012,p_sol_sp_en_t_2013,p_sol_sp_en_t_2014,p_sol_sp_en_t_2015,p_sol_sp_en_t_2016,p_sol_sp_en_t_yr_arr_ns,p_sol_sp_en_t_t,p_lanprof_en_ns_bef_2000,p_lanprof_en_ns_2000_2005,p_lanprof_en_ns_2006_2010,p_lanprof_en_ns_2011,p_lanprof_en_ns_2012,p_lanprof_en_ns_2013,p_lanprof_en_ns_2014,p_lanprof_en_ns_2015,p_lanprof_en_ns_2016,p_lanprof_en_ns_yr_arr_ns,p_lanprof_en_ns_t,p_t_b_2000,p_t_2000_2005,p_t_2006_2010,p_t_2011,p_t_2012,p_t_2013,p_t_2014,p_t_2015,p_t_2016,p_t_yr_arrival_ns,p_t_t,lga_name16
12700,6,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,336,27,49,3,5,3,3,0,0,15,438,Dungog (A)
13800,262,55,49,51,44,73,24,64,2382,11,0,0,0,0,0,0,0,0,16,28,5886,613,582,106,135,89,89,113,49,252,7920,Hawkesbury (C)
13850,28,3,10,3,9,0,3,7,86,0,0,0,0,0,0,0,0,0,0,0,111,6,38,3,13,11,6,3,10,11,208,Hay (A)
16380,304,78,76,79,58,56,30,77,1777,34,3,0,0,0,0,0,0,0,18,54,6409,696,778,142,160,185,137,113,66,401,9090,Port Macquarie-Hastings (A)
16400,281,31,32,41,52,54,19,54,1627,8,0,0,0,0,0,0,0,0,4,14,5358,570,787,147,122,114,114,93,49,277,7650,Port Stephens (A)
16490,1004,190,170,197,264,235,131,122,4804,11,0,0,0,0,0,0,0,3,16,37,5504,755,1416,280,260,272,346,319,161,290,9616,Queanbeyan-Palerang Regional (A)
16550,4060,1065,1493,1985,2704,3815,2924,1401,35204,29,0,0,0,4,0,3,0,4,427,475,23023,5560,7282,1973,2471,2977,3587,4678,3497,2344,57384,Randwick (C)
16610,48,7,3,15,11,18,13,19,278,4,0,3,0,0,0,0,0,0,0,12,950,82,126,19,18,20,19,20,17,67,1335,Richmond Valley (A)
16650,6527,1151,1365,1930,2189,2615,1811,1658,42555,13,3,7,0,0,0,0,4,3,30,62,24322,4996,7434,1378,1574,2177,2410,2857,1959,1991,51098,Rockdale (C)
16700,7326,1568,1925,2150,2717,2906,1777,1369,44010,34,11,3,3,0,3,0,3,4,49,110,23370,6579,8359,1816,2188,2392,2978,3198,2003,1732,54612,Ryde (C)
16900,365,46,96,65,70,78,40,247,4495,20,0,3,0,0,0,0,0,0,9,32,8892,540,669,118,147,114,120,129,52,505,11286,Shellharbour (C)
16950,340,52,89,95,112,94,62,125,2891,33,0,0,0,0,0,0,0,0,159,193,9529,707,790,150,164,153,169,161,89,656,12567,Shoalhaven (C)
17000,139,31,25,28,32,26,9,10,517,0,0,0,0,0,0,0,0,0,0,0,964,201,287,71,75,57,48,34,14,61,1807,Singleton (A)
17040,150,17,31,44,56,87,19,63,1184,6,0,0,0,0,0,3,0,0,76,84,2643,297,335,47,68,77,88,113,42,256,3968,Snowy Monaro Regional (A)
