lga_name_2016,lga_code_2016,p_eductrain_gd_gc,p_eductrain_bd,p_eductrain_add_d,p_eductrain_cert,p_eductrain_id_ns,p_eductrain_tot,p_healthcaresoca_pd,p_healthcaresoca_gd_gc,p_healthcaresoca_bd,p_healthcaresoca_add_d,p_healthcaresoca_cert,p_healthcaresoca_id_ns,p_healthcaresoca_tot,p_artrecserv_pd,p_artrecserv_gd_gc,p_artrecserv_bd,p_artrecserv_add_d,p_artrecserv_cert,p_artrecserv_id_ns,p_artrecserv_tot,p_othserv_pd,p_othserv_gd_gc,p_othserv_bd,p_othserv_add_d,p_othserv_cert,p_othserv_id_ns,p_othserv_tot,p_id_ns_pd,p_id_ns_gd_gc,p_id_ns_bd,p_id_ns_add_d,p_id_ns_cert,p_id_ns_id_ns,p_id_ns_tot,p_tot_pd,p_tot_gd_gc,p_tot_bd,p_tot_add_d,p_tot_cert,p_tot_id_ns,p_tot_tot
Bass Coast (S),20740,147,396,106,110,15,851,87,96,378,262,410,67,1306,7,12,76,79,111,19,302,0,0,30,51,241,10,339,13,3,32,45,145,66,311,337,362,1632,1375,3833,506,8047
Baw Baw (S),20830,265,744,260,288,30,1808,142,154,664,460,638,78,2135,4,3,28,42,72,6,162,18,15,51,96,478,28,678,5,5,50,75,265,73,473,628,649,2801,2336,6705,640,13753
Bayside (C),20910,543,1663,445,242,65,3978,890,408,2105,680,448,131,4658,81,42,336,134,124,14,736,72,40,257,169,383,30,954,193,62,612,252,260,145,1525,5535,2288,15559,5323,5314,1050,35070
Benalla (RC),21010,64,171,49,72,13,404,38,40,172,159,203,36,648,0,0,8,11,32,4,55,3,3,13,15,122,6,156,4,3,17,11,75,22,130,143,145,659,662,1756,235,3603
Boroondara (C),21110,1059,3112,524,302,120,7592,2554,891,5258,1044,597,318,10661,189,81,581,187,163,26,1221,195,88,521,247,497,31,1579,403,110,1002,279,298,230,2326,13311,4588,31175,7528,6714,1678,65012
Brimbank (C),21180,469,1676,615,540,113,3983,513,315,2331,1330,1599,303,6382,27,19,269,157,228,43,739,79,22,314,416,1293,114,2239,123,32,598,492,888,519,2651,3407,1409,14825,9187,15673,2692,47198
Buloke (S),21270,39,95,23,31,5,202,7,5,69,56,69,12,217,0,0,0,0,3,0,6,3,0,4,0,46,3,65,0,0,6,3,27,4,40,37,68,288,209,732,96,1421
Campaspe (S),21370,132,437,127,133,15,921,71,122,463,419,562,89,1729,3,0,16,20,50,11,107,4,3,25,58,355,17,460,5,5,34,28,173,96,337,239,352,1772,1527,4948,623,9465
Cardinia (S),21450,380,1216,451,496,63,2967,253,243,1139,1018,1324,165,4145,18,17,85,94,163,23,398,27,14,112,195,1024,46,1422,32,16,171,195,662,175,1260,1313,1010,5599,5492,13991,1255,28669
Casey (C),21610,798,2835,1188,1091,161,7261,1070,693,4411,3329,3947,555,13999,46,25,240,307,441,55,1104,121,37,439,737,2646,155,4138,230,58,790,762,1836,723,4399,6467,2659,21394,17960,34599,4171,87260
Central Goldfields (S),21670,27,107,38,52,13,247,22,17,110,110,197,27,485,0,3,9,12,20,3,39,0,0,10,9,95,4,125,0,0,10,10,62,26,112,64,76,384,380,1434,190,2528
Colac-Otway (S),21750,67,237,75,76,12,507,55,47,252,212,364,61,992,6,0,17,13,35,0,75,7,0,11,25,150,5,202,3,3,20,19,109,63,212,186,182,1059,986,2911,402,5726
Corangamite (S),21830,56,199,54,58,3,396,20,33,176,131,208,39,601,3,0,12,3,17,3,38,3,0,10,9,117,6,153,3,3,12,11,67,39,141,109,145,801,646,2018,285,4001
Darebin (C),21890,1109,2702,584,391,96,6960,1500,712,3364,1146,1035,205,7973,172,119,668,201,191,29,1368,180,78,444,317,689,68,1775,199,59,658,304,444,309,1964,8427,3660,20775,7856,9782,1663,52171
East Gippsland (S),22110,189,504,173,263,30,1249,109,156,530,474,661,93,2022,3,4,39,31,64,5,153,6,7,29,72,357,24,491,3,3,42,61,208,81,398,349,476,1929,1835,5395,673,10652
Frankston (C),22170,588,1696,708,668,84,4266,429,394,2048,1657,2175,281,6979,25,17,144,141,258,28,618,37,19,166,319,1252,82,1879,65,25,299,284,954,283,1904,1929,1583,8849,8191,18494,1857,40897
Gannawarra (S),22250,21,121,17,34,6,212,13,22,101,100,154,23,413,0,0,3,4,8,4,22,0,0,8,7,88,3,116,0,0,5,8,50,29,92,44,69,432,376,1340,205,2471
Greater Shepparton (C),22830,344,770,262,278,38,1864,276,234,1027,802,929,134,3395,3,0,15,41,74,3,131,11,20,48,129,576,31,811,10,3,51,77,316,135,601,791,809,3438,2945,7256,887,16124
Hepburn (S),22910,78,187,65,53,8,483,81,82,235,180,193,39,805,8,9,35,30,23,3,105,8,10,18,27,95,9,159,9,5,28,22,67,29,164,348,264,1075,817,1654,223,4373
Hindmarsh (S),22980,20,76,18,17,3,135,14,12,84,79,132,12,328,0,0,0,0,4,0,8,3,0,5,3,43,0,57,0,0,0,8,20,4,35,45,40,241,227,678,72,1311
Hobsons Bay (C),23110,502,1343,350,290,56,3269,521,333,1375,612,622,106,3569,55,32,228,135,154,23,630,66,51,185,196,533,48,1081,99,32,311,178,422,142,1181,3533,1714,10216,4888,7811,1076,29235
Horsham (RC),23190,95,277,77,89,12,588,90,99,373,257,355,45,1214,0,0,18,19,50,3,84,3,5,22,38,207,9,290,5,3,10,30,72,37,162,223,265,1159,1000,2689,275,5627
Hume (C),23270,557,1842,727,779,127,4680,558,382,2202,1722,1953,310,7126,36,16,171,127,211,26,586,53,21,217,402,1443,85,2215,115,33,377,384,932,378,2217,3491,1614,12231,9917,19389,2507,49151
Indigo (S),23350,104,203,65,73,11,558,73,82,298,220,234,45,949,0,9,15,11,14,5,61,5,3,15,21,143,7,198,9,4,31,20,87,39,192,297,316,1139,880,2181,292,5095
Kingston (C) (Vic.),23430,812,2611,729,527,120,5931,801,576,2889,1394,1426,256,7347,61,33,313,208,279,33,920,109,45,299,430,1106,79,2070,207,31,504,395,731,291,2157,5292,2661,17353,9667,14766,1922,51650
Knox (C),23670,697,2184,740,606,105,5272,681,515,2791,1683,1855,266,7793,47,20,237,195,217,20,726,121,51,347,418,1422,76,2430,163,39,498,366,885,290,2232,4677,2175,15619,9595,17550,1893,51508
Latrobe (C) (Vic.),23810,255,776,301,336,58,1934,245,202,1062,694,1079,162,3450,3,3,33,31,81,10,163,8,9,52,102,601,29,802,11,7,54,60,378,133,635,682,701,3520,3053,9778,997,18734
Loddon (S),23940,35,66,16,22,4,154,13,15,70,62,83,15,253,0,0,3,0,6,0,17,0,0,5,3,36,3,49,4,0,3,7,23,24,59,37,74,302,285,841,126,1661
Macedon Ranges (S),24130,326,790,223,238,41,1915,181,221,729,385,459,78,2060,29,17,95,48,92,22,303,20,9,83,81,407,23,613,32,27,121,78,222,75,555,1131,969,4084,2615,5676,669,15142
Manningham (C),24210,489,1687,411,307,63,3943,964,455,2565,870,695,228,5773,49,19,236,108,123,27,560,129,37,338,244,686,47,1482,214,43,629,246,314,187,1637,5591,1981,15634,5872,7452,1406,37946
Mansfield (S),24250,60,125,47,46,3,319,12,10,98,79,74,8,279,3,3,7,7,13,3,37,0,0,9,20,83,3,114,3,3,5,13,63,21,107,111,110,537,435,1215,137,2544
Maribyrnong (C),24330,579,1426,306,207,49,3471,670,356,1737,557,495,101,3916,94,55,351,152,183,21,849,89,36,279,203,346,29,987,129,34,407,186,235,163,1159,4641,1992,12887,4749,5436,926,30630
Maroondah (C),24410,672,1987,604,443,88,4648,544,489,2161,1269,1443,179,6080,33,29,182,123,175,20,554,109,47,284,316,931,38,1728,100,33,322,228,530,197,1412,3501,2084,11682,6943,12452,1257,37931
Melbourne (C),24600,465,1905,272,162,55,5115,1404,465,2808,459,336,126,5588,249,102,796,262,199,27,1643,193,54,459,233,295,37,1271,339,54,853,265,200,193,1901,11728,2629,25698,5837,4698,1381,51965
Melton (C),24650,419,1538,508,543,78,3533,381,301,1767,1246,1414,193,5299,25,8,132,121,214,35,536,45,16,156,257,1044,54,1570,69,17,263,262,691,276,1570,2391,1219,9660,7089,15167,1740,37274
Mildura (RC),24780,226,760,283,279,32,1682,160,140,752,541,750,95,2440,6,0,20,21,74,4,123,4,3,38,76,442,30,593,8,7,34,59,280,121,500,420,517,2776,2236,6504,843,13297
Mitchell (S),24850,171,420,190,195,21,1107,75,95,378,419,485,70,1521,3,3,20,39,88,9,163,10,3,34,72,408,28,559,12,11,40,65,269,81,469,402,414,1856,2112,5847,649,11285
Moira (S),24900,104,278,112,129,16,688,46,67,310,273,327,63,1085,4,3,13,12,47,3,73,4,0,18,31,232,15,301,3,5,24,32,153,51,265,159,242,1179,1176,3622,480,6859
Monash (C),24970,752,2722,658,453,116,6923,1277,573,3879,1348,1120,266,8461,103,41,339,130,175,19,816,195,54,485,369,838,74,2015,391,55,993,393,461,285,2583,11084,2933,24675,8990,9929,1983,59581
Sydney (C),17200,493,2987,500,316,101,7714,2084,456,4234,925,626,215,8534,433,108,1252,393,315,59,2566,312,64,853,427,811,88,2558,616,76,1689,562,440,478,3860,19881,3675,44704,12280,10313,2774,93619
Tamworth Regional (A),17310,197,904,322,360,63,2032,224,162,1030,707,1039,120,3271,3,0,22,23,86,9,142,15,3,47,77,631,30,802,13,0,48,65,333,112,571,687,509,3506,2714,8147,938,16507
Temora (A),17350,22,98,30,33,3,191,10,3,63,43,70,8,198,0,0,0,0,12,0,11,0,0,4,8,64,0,84,0,0,4,0,30,15,53,35,46,307,204,802,83,1471
Tenterfield (A),17400,18,75,20,29,6,162,4,6,53,54,99,16,228,0,0,5,0,9,3,18,0,0,3,3,39,0,52,0,0,6,5,32,13,59,36,39,262,215,734,112,1394
Golden Plains (S),22490,99,302,118,119,18,747,48,103,357,237,357,56,1146,4,0,19,15,32,3,85,3,3,14,37,225,4,293,3,8,21,32,142,41,247,266,329,1289,1181,3374,350,6787
Greater Bendigo (C),22620,608,1660,476,505,82,3781,619,595,2255,1252,1846,238,6800,20,13,100,67,188,19,412,43,28,114,201,956,47,1388,28,20,115,111,495,176,940,1718,1769,7907,4924,14024,1349,31691
Strathfield (A),17100,75,448,78,70,13,991,491,72,1234,258,226,78,2358,16,3,66,27,20,6,128,57,6,132,74,124,21,417,112,18,259,91,112,110,698,2956,440,6709,1901,1918,587,14509
Sutherland Shire (A),17150,813,4371,1288,972,213,9304,1272,550,4018,2115,2033,405,10400,78,26,381,252,465,55,1268,134,52,450,556,2184,91,3466,179,36,650,544,1197,371,2981,7100,2785,23973,15573,27934,3015,80373
Glen Eira (C),22310,900,2734,660,405,118,6641,1398,584,3540,1139,840,249,7752,135,64,447,181,166,23,1018,143,55,486,337,696,58,1772,304,65,784,309,370,221,2053,9242,3398,23784,7746,8211,1727,54115
Glenelg (S),22410,67,216,64,91,4,469,37,53,245,204,341,48,929,0,3,3,16,26,0,49,0,5,7,25,146,8,200,6,4,14,22,107,34,185,130,187,822,759,2678,306,4881
Greater Dandenong (C),22670,257,863,370,274,74,2323,465,235,1911,1255,1440,216,5527,23,7,116,91,123,19,370,72,26,268,416,892,81,1745,154,27,496,421,763,428,2289,3412,975,10994,7481,10564,2064,35490
Greater Geelong (C),22750,1113,3751,1273,1111,164,8896,1136,1050,4782,2443,3459,460,13331,55,48,314,205,387,52,1060,82,58,342,490,1774,76,2815,87,42,395,356,1018,369,2264,4719,3455,19062,12287,27200,2744,69461
Moonee Valley (C),25060,773,2215,515,380,94,5221,920,472,2522,795,710,177,5583,78,49,421,152,204,32,947,97,50,303,239,621,47,1356,156,43,458,214,369,196,1439,5425,2592,16777,6450,9060,1340,41638
Moorabool (S),25150,141,442,185,194,28,1140,80,109,377,280,378,37,1266,5,0,30,37,60,3,143,10,12,41,52,275,14,394,10,9,45,50,203,41,357,488,389,1907,1614,4380,425,9208
Moreland (C),25250,1262,3191,643,470,145,8172,1528,788,3393,1195,1080,206,8189,234,88,851,233,251,42,1705,221,78,554,362,843,70,2135,280,64,719,316,511,328,2228,9691,3980,23986,8723,11343,1921,59642
Mornington Peninsula (S),25340,713,2277,760,637,138,5212,601,522,2341,1613,1977,315,7374,42,36,231,207,355,52,932,51,24,201,321,1260,50,1908,72,49,328,330,822,292,1883,2488,2086,10667,8610,18927,2091,44864
Mount Alexander (S),25430,131,246,69,55,14,680,109,114,318,214,225,38,1015,15,13,45,23,15,11,124,8,8,29,22,127,7,205,13,13,36,30,82,27,195,516,417,1421,818,1782,261,5210
Moyne (S),25490,58,224,71,68,6,490,59,59,244,184,221,40,805,4,4,13,10,19,3,56,3,3,5,23,113,7,158,3,0,24,22,64,34,157,201,191,1021,866,2230,300,4808
Murrindindi (S),25620,82,173,84,90,20,497,30,26,164,132,155,30,531,3,4,7,10,24,9,60,8,0,10,19,123,11,170,3,3,19,25,94,32,170,147,161,734,715,1862,265,3884
Nillumbik (S),25710,526,1423,358,273,48,3239,457,333,1314,675,604,101,3485,36,27,165,91,120,14,447,52,32,134,165,546,32,962,53,23,225,135,303,77,822,2223,1519,7385,4019,7045,723,22922
Northern Grampians (S),25810,31,126,40,40,7,260,18,24,154,137,208,45,596,0,0,22,10,25,0,60,3,0,5,10,69,4,96,0,0,5,11,51,22,91,70,94,534,487,1426,214,2825
Port Phillip (C),25900,606,1776,380,226,65,4458,1225,493,2500,637,415,147,5416,196,79,720,252,220,36,1497,134,56,390,275,498,36,1393,266,53,714,250,279,197,1758,8156,2839,21128,6381,6605,1290,46412
Pyrenees (S),25990,17,54,22,21,3,132,3,17,73,66,79,13,254,0,0,5,6,6,0,25,0,0,3,3,38,3,52,0,0,11,5,29,12,57,51,53,281,299,766,110,1560
Queenscliffe (B),26080,9,58,12,5,3,118,25,11,50,27,10,0,126,0,4,9,3,0,0,18,3,0,6,5,8,0,26,4,6,7,3,4,0,25,96,59,294,147,169,23,785
South Gippsland (S),26170,109,329,107,111,16,748,67,90,337,268,363,52,1166,10,4,32,24,54,7,131,3,3,18,35,252,7,318,5,3,28,43,165,69,311,260,322,1457,1246,3825,460,7578
Southern Grampians (S),26260,75,218,69,98,13,524,43,64,296,179,271,36,892,0,0,10,8,26,3,46,3,3,22,24,141,5,191,5,0,11,16,64,28,124,187,195,994,779,2205,257,4617
Stonnington (C),26350,500,1719,345,172,59,4205,1431,511,3210,579,359,166,6255,138,57,616,178,165,29,1184,96,35,324,241,406,26,1127,282,67,775,239,206,168,1743,8334,2617,22735,5547,4975,1202,45421
Strathbogie (S),26430,37,125,43,38,7,276,16,23,111,100,128,18,400,0,0,13,16,48,10,80,4,3,10,16,60,4,94,3,3,15,15,50,31,116,108,106,568,526,1241,181,2730
Surf Coast (S),26490,195,678,181,114,33,1453,167,145,674,304,251,55,1600,17,8,58,55,59,12,205,9,11,55,71,206,9,363,15,12,91,51,111,48,336,808,563,3371,1805,3323,390,10263
Swan Hill (RC),26610,92,270,72,116,7,589,38,46,241,185,244,33,792,0,0,8,8,30,0,57,0,0,5,26,193,5,236,3,0,18,26,106,45,198,100,171,948,810,2411,331,4782
Towong (S),26670,30,76,31,28,8,192,17,14,78,86,101,3,299,0,0,0,3,9,0,14,0,0,3,3,72,0,81,4,0,4,9,30,15,64,56,66,324,303,865,117,1728
Wangaratta (RC),26700,133,400,129,127,20,898,120,158,574,398,482,72,1808,0,3,21,24,38,7,100,10,4,28,47,236,7,339,6,4,24,45,143,45,273,342,407,1805,1524,3723,385,8191
Warrnambool (C),26730,138,586,145,192,19,1242,144,186,757,410,548,92,2138,9,5,25,32,71,10,148,11,7,26,59,287,19,407,7,7,40,32,142,50,274,439,471,2446,1575,4267,449,9640
Wellington (S),26810,182,527,172,218,28,1216,144,139,582,398,602,87,1950,9,3,26,21,47,0,109,3,6,37,64,355,16,479,3,3,40,51,250,76,424,396,474,2216,1859,5690,631,11270
West Wimmera (S),26890,15,55,13,16,0,108,4,11,51,41,58,14,176,0,0,6,0,0,0,9,0,0,0,0,25,0,31,0,0,7,3,11,7,30,24,41,199,205,492,64,1033
Whitehorse (C),26980,956,2875,688,453,107,6958,1300,769,3955,1403,1070,258,8755,96,48,348,150,144,28,801,254,94,543,406,764,66,2122,300,63,721,325,435,191,2029,9434,3551,23145,8546,9453,1513,55639
Whittlesea (C),27070,649,2068,791,789,136,5277,802,483,3227,2033,2411,369,9320,37,14,156,158,194,31,584,104,26,312,464,1595,113,2606,171,28,507,409,1011,443,2565,4797,1898,15185,10946,20596,2809,56235
Wodonga (C),27170,168,463,185,213,25,1217,163,155,669,494,712,64,2250,6,0,12,20,44,7,80,8,3,27,81,371,18,511,3,3,43,38,196,76,366,507,491,2300,2250,5775,468,11794
Wyndham (C),27260,566,2026,826,743,121,5427,964,524,3224,2166,1991,308,9183,103,31,382,223,337,39,1115,116,39,341,439,1295,78,2310,320,43,649,451,960,459,2882,9363,2320,19482,12422,20131,2786,66508
Yarra (C),27350,664,1790,269,149,40,4735,1426,520,2849,489,352,104,5733,200,92,725,168,142,31,1356,167,51,372,166,341,28,1129,200,74,618,169,176,122,1356,8197,2870,20434,4463,4549,832,41343
Yarra Ranges (S),27450,835,2330,867,805,124,5781,478,532,2105,1868,2094,264,7343,50,32,232,186,272,29,803,88,43,251,369,1786,78,2612,70,39,349,332,1113,327,2231,2646,2254,11057,9291,21732,2009,48992
Yarriambiack (S),27630,19,92,27,29,0,180,6,18,79,93,152,21,371,0,0,3,0,8,0,7,0,0,7,8,52,0,66,0,0,0,3,28,18,57,33,47,280,273,796,105,1536
Unincorporated Vic,29399,0,8,3,3,0,12,4,0,14,0,0,0,19,0,0,3,3,6,0,15,0,0,0,0,0,0,0,0,0,0,0,3,7,12,20,9,80,44,104,20,270
No usual address (Vic.),29499,6,38,9,7,7,99,22,17,51,39,34,9,168,4,3,20,7,7,0,47,3,0,14,10,30,4,67,12,0,14,8,27,21,79,138,57,428,187,437,87,1337
Migratory - Offshore - Shipping (Vic.),29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,12,0,22
Aurukun (S),30250,0,15,3,5,4,25,3,0,3,3,13,0,19,0,0,0,0,0,0,0,0,0,0,3,4,3,18,0,0,0,0,5,0,6,3,0,22,23,69,17,142
Balonne (S),30300,15,60,16,26,4,135,13,10,70,37,37,7,167,0,0,0,0,0,0,3,0,0,0,3,38,0,49,0,0,3,6,10,18,37,31,32,275,234,490,81,1143
Banana (S),30370,39,200,45,61,15,375,10,20,107,69,104,22,334,0,0,6,0,7,0,18,10,0,12,19,119,3,169,0,0,5,15,62,37,121,102,101,730,486,2059,259,3740
Barcaldine (R),30410,8,46,10,24,0,88,0,7,38,19,34,9,105,0,0,0,0,4,0,3,0,0,5,4,16,0,25,0,0,8,0,14,4,23,24,16,175,96,365,42,717
Barcoo (S),30450,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,14,35,8,71
Blackall-Tambo (R),30760,4,31,5,15,0,58,3,7,18,18,23,3,70,0,0,0,0,0,0,3,0,0,0,0,12,3,15,0,0,0,4,10,3,17,3,15,91,83,230,41,476
Longreach (R),34710,19,74,14,30,5,150,12,20,75,36,40,13,195,0,0,3,8,7,0,16,0,3,6,4,45,3,57,0,0,9,0,23,13,44,41,49,273,193,491,77,1120
Mackay (R),34770,329,1486,429,699,73,3241,305,241,1611,827,1239,171,4391,8,0,29,30,115,21,203,16,11,109,195,1475,59,1864,17,7,112,100,719,222,1176,967,893,6180,4275,18330,1555,32196
McKinlay (S),34800,0,3,0,7,0,12,0,3,3,5,6,3,14,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,4,3,54,23,134,24,252
Mapoon (S),34830,0,0,0,0,0,4,0,0,0,4,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,11,39,0,58
Maranoa (R),34860,36,199,44,71,3,374,30,21,176,117,155,21,522,0,0,3,8,15,3,24,0,0,7,13,120,8,154,0,0,11,16,94,28,151,95,85,826,646,1781,221,3650
Mareeba (S),34880,46,227,81,114,17,537,51,33,214,167,234,35,732,6,0,28,11,30,12,80,0,4,19,19,157,12,211,4,0,24,24,86,43,183,182,117,1013,831,2385,345,4875
Moreton Bay (R),35010,1296,5240,1928,2785,254,12907,1218,999,6257,4712,6295,606,20090,48,42,347,292,643,75,1445,131,92,559,926,3984,166,5853,149,53,606,680,2396,761,4647,5664,4182,26257,22511,56543,4934,120088
Mornington (S),35250,5,15,0,5,7,41,0,0,11,3,6,3,30,0,0,0,0,0,0,3,0,0,0,6,7,7,18,0,0,0,0,0,0,6,6,8,43,25,61,39,176
Mount Isa (C),35300,52,303,54,132,14,606,92,60,280,122,167,36,751,3,0,3,3,13,0,30,0,3,21,32,182,5,251,7,0,15,17,103,33,169,246,165,1185,640,3105,240,5579
Murweh (S),35600,14,75,25,21,3,142,7,3,65,32,62,15,193,0,0,3,0,0,0,5,0,0,0,0,36,0,44,0,0,3,3,21,11,43,27,34,260,160,499,86,1064
Napranum (S),35670,0,0,0,3,0,3,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,4,3,47,11,74
Noosa (S),35740,198,698,242,262,33,1641,220,97,855,537,606,82,2393,7,8,54,59,109,17,252,18,10,78,116,451,30,703,23,11,136,118,276,66,631,829,531,3592,2807,6258,678,14699
North Burnett (R),35760,29,106,38,67,7,263,8,11,79,81,132,12,322,0,0,3,3,4,0,10,3,0,4,9,70,0,86,3,0,4,7,37,22,73,45,59,412,333,1137,185,2170
Northern Peninsula Area (R),35780,9,35,14,37,9,108,5,5,22,44,45,6,131,0,0,0,0,0,0,0,0,0,0,4,32,7,45,0,0,0,0,0,9,11,12,18,79,108,269,52,536
Palm Island (S),35790,12,24,3,23,8,70,6,4,16,9,40,8,78,0,0,0,0,0,0,0,0,0,0,3,15,3,23,0,0,0,0,3,0,7,13,9,46,32,151,19,271
Paroo (S),35800,6,19,9,10,3,51,3,3,4,15,19,3,50,0,0,0,4,0,0,8,0,0,0,0,11,0,12,0,0,0,4,10,3,12,13,15,62,76,192,23,380
Pormpuraaw (S),36070,0,4,0,3,4,13,0,3,3,3,6,0,14,0,0,0,0,4,0,6,0,0,0,3,7,3,7,0,0,0,0,0,0,3,4,0,8,18,59,15,105
Quilpie (S),36150,0,13,0,11,0,23,0,0,8,3,7,0,30,0,0,0,0,3,0,3,0,0,0,0,6,0,11,0,0,0,0,0,0,0,4,3,38,39,120,11,216
Redland (C),36250,492,2011,734,980,94,4881,468,323,2202,1670,2162,212,7038,17,22,125,124,230,24,544,55,29,230,359,1484,48,2207,63,27,263,320,873,256,1804,2355,1505,10084,8726,20797,1706,45175
Richmond (S),36300,0,7,0,5,0,16,0,0,3,7,8,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,11,0,12,3,8,42,40,111,16,214
Rockhampton (R),36370,259,1164,314,515,55,2608,284,185,1377,762,1171,132,3900,3,5,25,33,74,8,143,16,12,88,116,773,43,1047,9,10,48,55,314,96,533,917,714,4486,2798,10260,890,20064
Scenic Rim (R),36510,141,506,185,273,36,1298,96,61,414,339,466,65,1435,8,3,37,36,95,6,189,11,10,48,79,340,17,496,8,3,42,66,240,76,435,481,322,2034,1818,5066,573,10291
Somerset (R),36580,60,233,82,155,14,581,34,30,194,161,279,27,730,3,3,13,13,31,7,60,0,3,18,47,163,16,246,0,0,18,29,112,52,206,129,140,861,853,2984,361,5331
South Burnett (R),36630,87,457,125,224,13,979,51,38,294,326,441,57,1201,0,0,5,5,22,3,36,6,0,12,37,224,9,303,3,4,13,29,131,52,236,183,188,1283,1106,3648,393,6807
Southern Downs (R),36660,122,457,152,211,32,1055,66,40,327,283,474,39,1226,0,5,7,15,31,0,63,0,3,32,35,301,12,389,3,0,34,28,136,75,287,263,229,1506,1227,4117,485,7834
Sunshine Coast (R),36720,1188,4372,1402,1674,194,10145,1395,822,5849,3450,4233,460,16216,51,20,360,323,636,55,1447,74,42,358,711,2539,148,3868,153,55,593,552,1565,485,3399,4646,3216,21108,15846,38364,3392,86574
Tablelands (R),36820,79,342,104,174,26,806,48,37,330,227,310,51,1000,9,6,14,16,28,4,76,7,5,17,29,193,7,266,6,3,14,29,116,52,220,253,184,1239,977,2973,357,5983
Toowoomba (R),36910,674,2656,846,1109,122,6540,700,378,3053,1580,2414,273,8397,17,10,75,64,189,16,375,53,21,197,270,1497,44,2090,43,18,205,171,709,219,1368,2947,1661,11217,7192,20504,1728,45253
Torres (S),36950,14,60,18,32,4,150,21,17,67,41,62,21,230,0,0,0,0,4,0,3,0,0,0,5,23,3,30,0,0,0,7,17,21,49,59,39,203,150,401,114,962
Torres Strait Island (R),36960,8,43,18,43,10,131,0,7,7,28,56,6,111,0,0,0,0,10,0,10,0,0,4,4,61,17,83,0,0,0,0,15,8,18,9,18,61,86,428,94,694
Townsville (C),37010,546,3004,803,1250,119,6763,889,585,4113,1821,2527,313,10241,33,22,167,103,261,25,616,42,30,228,384,1637,62,2385,46,21,205,155,851,274,1553,3240,1848,13838,8491,25021,1909,54344
Bulloo (S),31750,0,6,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,6,5,0,13,17,73,14,125
Bundaberg (R),31820,236,1172,344,548,53,2546,270,211,1411,885,1421,166,4356,3,5,26,19,86,8,145,14,10,51,98,689,23,898,11,3,56,57,435,147,700,712,616,4179,2921,10482,1018,19921
Burdekin (S),31900,37,213,57,99,16,455,9,16,150,118,194,26,509,0,0,0,3,14,0,20,3,0,10,14,159,4,194,0,0,9,11,77,37,127,68,81,729,525,2433,249,4084
Burke (S),31950,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,3,0,9,0,0,0,0,0,0,3,0,4,12,12,42,13,82
Cairns (R),32080,584,2356,697,988,149,5472,769,492,3124,1744,2175,303,8610,38,21,172,174,343,45,791,67,46,296,321,1390,100,2218,62,12,217,251,831,294,1671,2631,1725,11938,8567,20878,2309,48050
Carpentaria (S),32250,3,25,3,17,3,55,6,4,11,14,12,4,56,0,0,0,0,0,0,0,0,0,0,4,5,0,13,0,0,0,0,9,10,21,15,8,71,72,220,37,430
Boulia (S),30900,6,3,0,3,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,10,62,9,96
Brisbane (C),31000,5353,21532,4800,4931,776,50466,9652,3988,31654,9565,9317,1653,65822,606,295,2664,1120,1583,192,6456,990,443,3141,2670,6945,421,14603,1464,310,4105,2007,4016,1686,13577,56361,21328,161290,62070,97809,12089,410947
Cassowary Coast (R),32260,88,328,100,162,26,754,26,35,234,193,318,42,844,0,0,16,12,44,8,77,11,4,18,28,243,12,318,6,3,22,21,158,59,274,176,167,1187,979,3730,509,6747
Central Highlands (R) (Qld),32270,88,414,91,184,20,841,29,31,225,111,132,20,554,0,0,3,10,20,0,41,3,5,27,35,310,26,403,3,0,16,19,135,36,210,204,190,1485,1009,4339,409,7642
Charters Towers (R),32310,50,209,46,100,9,450,15,7,104,80,145,29,378,0,0,0,0,11,0,17,0,3,7,15,78,3,115,3,0,7,4,46,20,78,74,81,483,319,1290,151,2396
Cherbourg (S),32330,0,0,3,7,0,12,0,0,0,8,10,0,19,0,0,0,0,0,0,0,0,0,0,3,3,3,12,0,0,0,0,0,0,0,0,4,0,18,40,6,61
Cloncurry (S),32450,9,40,10,9,3,81,0,0,27,8,15,3,56,0,0,0,0,3,3,8,0,0,0,5,27,3,34,0,0,0,3,10,9,24,43,24,180,117,444,43,847
