lga_name_2016,lga_code_2016,sme_usl_ad_5_yr_ago_as_2016_m,sme_usl_ad_5_yr_ago_as_2016_f,sme_usl_ad_5_yr_ago_as_2016_p,dif_usl_ad_5_yr_ago_sme_sa2_m,dif_usl_ad_5_yr_ago_sme_sa2_f,dif_usl_ad_5_yr_ago_sme_sa2_p,dif_us_ad_5_ago_dif_sa2_nsw_m,dif_us_ad_5_ago_dif_sa2_nsw_f,dif_us_ad_5_ago_dif_sa2_nsw_p,dif_us_ad_5_ago_dif_sa2_vic_m,dif_us_ad_5_ago_dif_sa2_vic_f,dif_us_ad_5_ago_dif_sa2_vic_p,dif_us_ad_5_ago_dif_sa2_qld_m,dif_us_ad_5_ago_dif_sa2_qld_f,dif_us_ad_5_ago_dif_sa2_qld_p,dif_us_ad_5_ago_dif_sa2_sa_m,dif_us_ad_5_ago_dif_sa2_sa_f,dif_us_ad_5_ago_dif_sa2_sa_p,dif_us_ad_5_ago_dif_sa2_wa_m,dif_us_ad_5_ago_dif_sa2_wa_f,dif_us_ad_5_ago_dif_sa2_wa_p,dif_us_ad_5_ago_dif_sa2_tas_m,dif_us_ad_5_ago_dif_sa2_tas_f,dif_us_ad_5_ago_dif_sa2_tas_p,dif_us_ad_5_ago_dif_sa2_nt_m,dif_us_ad_5_ago_dif_sa2_nt_f,dif_us_ad_5_ago_dif_sa2_nt_p,dif_us_ad_5_ago_dif_sa2_act_m,dif_us_ad_5_ago_dif_sa2_act_f,dif_us_ad_5_ago_dif_sa2_act_p,dif_us_ad_5_ago_dif_sa2_ot_m,dif_us_ad_5_ago_dif_sa2_ot_f,dif_us_ad_5_ago_dif_sa2_ot_p,dif_us_ad_5_ago_dif_sa2_tot_m,dif_us_ad_5_ago_dif_sa2_tot_f,dif_us_ad_5_ago_dif_sa2_tot_p,difnt_usl_add_5_yr_ago_os_m,difnt_usl_add_5_yr_ago_os_f,difnt_usl_add_5_yr_ago_os_p,difnt_usl_add_5_yr_ago_ns_m,difnt_usl_add_5_yr_ago_ns_f,difnt_usl_add_5_yr_ago_ns_p,difnt_usl_add_5_yr_ago_tot_m,difnt_usl_add_5_yr_ago_tot_f,difnt_usl_add_5_yr_ago_tot_p,n_stated_m,n_stated_f,n_stated_p,tot_m,tot_f,tot_p
Moyne (S),25490,4858,4772,9629,735,764,1500,40,45,84,1201,1257,2455,50,55,103,30,36,68,22,22,51,26,20,43,18,19,30,0,4,4,0,0,0,1384,1455,2844,109,117,227,18,24,49,2250,2360,4612,649,637,1288,7762,7766,15531
Murrindindi (S),25620,4015,3829,7849,574,598,1176,51,60,111,1180,1151,2330,42,46,84,21,21,38,29,26,57,9,12,19,9,9,17,0,4,4,0,0,0,1341,1330,2671,67,80,147,22,11,31,2004,2018,4028,635,602,1242,6661,6457,13110
Nillumbik (S),25710,19713,19985,39693,1194,1228,2419,128,148,272,5311,5622,10932,153,165,314,42,47,86,70,75,141,26,34,59,18,25,39,29,33,62,0,0,0,5774,6146,11917,604,675,1276,70,68,136,7643,8109,15747,1265,1304,2568,28612,29395,58011
Northern Grampians (S),25810,3468,3462,6922,643,723,1372,43,30,68,604,653,1255,46,44,82,32,35,64,27,27,54,7,11,13,4,11,9,0,3,3,0,0,0,750,804,1553,67,92,158,11,9,22,1480,1626,3110,428,454,882,5370,5544,10915
Port Phillip (C),25900,16992,17941,34938,2892,2975,5867,1104,1225,2332,12312,12779,25088,841,1006,1845,289,293,584,432,470,896,199,190,393,68,60,125,178,199,380,0,0,0,15417,16227,31646,5998,6494,12495,370,334,705,24674,26034,50708,5165,5159,10328,46834,49138,95970
Pyrenees (S),25990,2049,2016,4065,209,205,410,21,28,46,585,586,1165,20,26,49,7,8,22,9,17,24,8,4,11,4,3,11,0,0,0,0,0,0,655,674,1329,15,28,50,11,12,22,890,915,1806,708,310,1020,3652,3249,6896
Queenscliffe (B),26080,767,908,1670,107,124,234,9,14,25,256,276,528,6,6,14,0,0,4,3,0,4,0,0,0,3,4,9,0,0,0,0,0,0,283,303,587,9,18,29,3,0,7,406,442,850,123,131,255,1292,1480,2775
South Gippsland (S),26170,7960,8077,16038,1622,1751,3370,68,78,148,2052,2331,4381,87,91,184,24,20,42,57,60,112,16,23,41,13,26,41,5,5,6,0,0,0,2323,2628,4950,110,145,258,38,40,75,4084,4573,8653,1178,1241,2422,13219,13890,27111
Southern Grampians (S),26260,4722,4900,9623,847,884,1731,57,67,120,866,985,1854,62,78,141,82,95,175,32,32,61,15,20,32,14,10,23,3,0,3,0,0,0,1127,1286,2415,101,118,212,26,33,57,2102,2318,4416,510,551,1058,7326,7765,15096
Stonnington (C),26350,19538,21909,41451,2301,2458,4755,1068,1203,2274,12278,13059,25335,811,922,1737,287,408,693,431,530,962,182,191,368,45,40,83,158,194,359,0,0,0,15258,16546,31809,5945,7091,13029,328,292,620,23827,26378,50206,3758,4055,7815,47127,52347,99471
Strathbogie (S),26430,2889,2899,5792,498,523,1018,67,76,145,740,827,1572,52,46,97,9,15,24,32,32,67,6,7,16,10,5,12,0,0,3,0,0,0,920,1011,1927,54,71,127,32,23,49,1498,1623,3127,446,457,909,4841,4987,9820
Surf Coast (S),26490,7392,7458,14854,1668,1779,3445,135,136,266,2855,3010,5862,94,89,188,48,47,95,60,69,135,26,23,52,23,26,50,10,19,26,0,0,0,3253,3428,6681,335,371,707,65,55,115,5321,5633,10946,885,855,1738,13599,13945,27536
Swan Hill (RC),26610,5420,5358,10777,1133,1228,2360,202,182,391,1014,1095,2109,67,76,141,45,44,84,34,38,67,3,0,4,26,23,43,3,0,5,0,0,0,1396,1454,2851,320,272,593,50,31,81,2895,2989,5889,1326,1263,2587,9647,9615,19255
Towong (S),26670,1864,1762,3628,239,244,482,162,176,342,277,272,549,34,29,62,7,8,11,17,16,35,0,3,3,4,10,17,7,12,16,0,0,0,517,514,1029,23,35,60,11,0,16,797,797,1595,266,217,487,2930,2777,5706
Wangaratta (RC),26700,7839,8257,16091,1581,1775,3362,197,242,440,1798,2004,3802,130,138,270,28,32,63,47,48,94,20,17,29,27,33,63,13,11,18,0,0,0,2258,2524,4783,120,127,246,60,61,122,4023,4487,8511,1002,1170,2171,12861,13916,26780
Warrnambool (C),26730,8173,8831,17009,1837,1994,3835,101,101,203,2928,3407,6336,114,117,231,113,127,237,71,81,149,28,26,50,30,41,77,13,15,22,0,0,0,3398,3908,7308,405,355,759,79,81,157,5725,6341,12064,1238,1389,2634,15138,16564,31700
Wellington (S),26810,11475,11500,22979,2409,2707,5118,252,247,497,2798,2923,5724,250,230,476,73,73,144,106,102,206,27,37,64,57,48,108,38,29,64,0,0,0,3594,3695,7289,344,350,692,89,94,183,6437,6840,13275,2531,1755,4285,20439,20097,40540
West Wimmera (S),26890,1314,1239,2554,158,168,327,22,27,53,139,160,302,21,18,45,47,70,115,13,5,18,4,4,6,5,3,11,3,0,3,0,0,0,259,292,548,9,16,23,10,3,13,435,478,913,104,130,235,1855,1838,3698
Whitehorse (C),26980,41409,45634,87044,2458,2595,5054,568,604,1168,15851,16405,32259,372,454,821,259,253,517,213,238,447,120,126,239,39,58,92,100,113,213,0,0,0,17529,18245,35773,8585,9218,17808,339,293,634,28909,30358,59267,3246,3702,6950,73563,79693,153259
Whittlesea (C),27070,47826,49119,96943,3203,3311,6520,713,729,1438,24407,25176,49583,563,632,1192,281,260,538,217,225,438,107,110,215,87,76,164,57,76,139,5,0,5,26439,27287,53724,6476,6787,13268,369,308,677,36487,37697,74181,4949,5262,10212,89262,92083,181341
Wodonga (C),27170,8747,9205,17947,1966,2085,4051,1281,1326,2608,3162,3360,6520,577,477,1055,97,95,186,97,99,198,57,61,120,87,83,168,72,86,157,0,0,0,5434,5580,11016,289,343,635,134,90,225,7826,8101,15920,1312,1343,2654,17880,18646,36526
Wyndham (C),27260,46188,46615,92801,4865,5048,9912,1497,1491,2985,25747,25222,50971,962,967,1930,467,428,891,415,414,832,216,231,448,140,140,276,185,194,379,3,0,3,29634,29073,58709,9788,11160,20949,489,428,912,44778,45716,90488,6758,5693,12448,97719,98017,195734
Yarra (C),27350,14945,16188,31133,2012,2133,4142,1014,1179,2191,11281,11552,22831,779,896,1675,311,353,662,505,544,1052,164,191,351,72,62,137,276,261,540,0,0,0,14407,15038,29447,4332,4925,9260,338,308,645,21088,22405,43492,3968,4049,8020,40004,42646,82649
Yarra Ranges (S),27450,43893,44404,88301,3819,4072,7892,345,375,724,14930,15962,30888,389,406,795,110,107,219,176,170,347,64,75,140,44,55,98,37,41,76,4,3,9,16091,17200,33292,1243,1397,2640,287,305,593,21439,22972,44408,3791,3903,7694,69123,71273,140395
Yarriambiack (S),27630,2135,2026,4156,314,346,662,23,22,39,325,361,686,18,21,46,24,22,44,19,20,34,6,3,9,14,16,27,0,0,3,0,0,0,429,463,886,26,29,53,11,11,27,773,850,1627,301,296,598,3210,3172,6386
Unincorporated Vic,29399,168,127,293,17,27,44,16,11,28,65,47,111,9,9,18,14,4,13,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0,111,76,189,29,42,77,0,3,5,158,149,310,125,115,236,453,390,844
No usual address (Vic.),29499,534,315,849,155,88,242,121,100,227,1182,1019,2207,121,122,237,30,29,65,49,49,99,20,21,40,21,18,40,7,12,17,0,0,0,1557,1366,2915,459,487,945,62,48,110,2233,1988,4223,1355,772,2128,4117,3073,7193
Migratory - Offshore - Shipping (Vic.),29799,12,0,7,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,0,16,0,13,3,0,3,28,4,29
Aurukun (S),30250,481,529,1011,4,3,7,5,4,8,0,0,3,50,31,78,0,0,0,0,0,3,0,0,0,8,0,9,0,0,0,0,0,0,65,38,99,0,5,3,4,0,5,73,44,118,20,15,32,573,587,1163
Balonne (S),30300,1222,1092,2316,332,318,649,49,42,93,7,13,19,230,250,478,10,12,21,5,8,13,0,0,0,7,3,7,0,0,0,0,0,0,309,322,629,41,43,84,10,9,21,696,699,1391,185,186,378,2097,1980,4078
Banana (S),30370,3881,3530,7406,859,862,1719,81,59,142,24,29,53,1100,1145,2240,16,16,35,13,18,29,6,3,7,19,21,41,4,0,7,0,0,0,1259,1287,2545,192,143,335,38,36,73,2345,2336,4676,644,539,1185,6865,6403,13270
Barcaldine (R),30410,856,836,1694,127,166,294,18,19,37,3,5,4,183,181,369,3,3,4,0,0,0,0,0,0,0,7,9,0,0,0,0,0,3,214,210,431,15,18,28,5,3,14,368,402,764,109,97,205,1334,1332,2666
Barcoo (S),30450,72,45,120,13,22,26,3,0,3,0,3,3,34,29,68,0,0,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,39,36,79,0,4,3,0,0,0,50,61,115,17,8,23,140,115,258
Blackall-Tambo (R),30760,561,536,1099,119,117,235,13,15,24,3,0,6,124,130,259,0,0,3,3,0,6,0,0,0,8,0,3,0,0,0,0,0,0,149,149,296,7,12,23,5,8,10,278,291,566,60,62,123,898,885,1788
Longreach (R),34710,888,881,1765,234,255,491,29,28,58,3,4,12,284,360,641,9,4,14,7,5,13,3,4,3,11,11,25,3,0,3,0,0,0,343,426,768,20,32,51,13,11,23,612,718,1328,174,168,338,1675,1766,3434
Mackay (R),34770,28008,26676,54684,3777,3846,7627,838,866,1704,412,470,877,13509,14484,27989,137,141,274,294,287,585,125,131,253,118,113,234,29,35,65,0,6,5,15467,16525,31992,1092,1424,2519,385,343,721,20719,22137,42855,5576,4104,9675,54300,52913,107215
McKinlay (S),34800,228,192,417,26,30,54,14,9,18,0,3,5,86,57,141,0,0,0,5,0,3,3,0,3,3,3,5,0,0,0,0,0,0,110,77,185,9,9,16,0,0,0,141,115,254,37,31,63,400,337,739
Mapoon (S),34830,89,83,180,13,12,18,0,0,0,0,0,3,23,22,48,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,30,33,61,0,0,0,0,0,0,40,44,83,3,8,10,139,138,270
Maranoa (R),34860,3055,2785,5839,745,762,1500,100,61,157,40,34,74,1149,1266,2416,18,15,32,17,14,38,3,4,4,14,17,39,0,0,0,0,0,0,1347,1414,2758,103,127,231,33,19,50,2220,2325,4550,698,587,1280,5973,5693,11669
Mareeba (S),34880,5507,5346,10852,954,1037,1992,100,92,194,76,65,143,1529,1497,3023,31,34,63,71,66,136,7,11,21,83,76,158,3,9,10,0,3,3,1902,1850,3752,279,296,573,56,58,113,3196,3244,6439,2068,1137,3203,10769,9720,20497
Moreton Bay (R),35010,97754,100793,198553,12273,13899,26176,3945,4266,8205,1750,1922,3671,53874,57878,111750,603,614,1222,699,774,1475,387,420,806,531,538,1067,391,417,807,10,9,21,62196,66833,129028,6326,7168,13496,1834,1739,3575,82627,89640,172274,13174,12894,26068,193561,203335,396894
Mornington (S),35250,416,421,838,13,12,27,3,4,9,3,0,6,41,42,87,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,55,47,101,3,8,11,17,19,40,86,95,178,13,22,33,513,530,1048
Mount Isa (C),35300,3891,3470,7358,1626,1564,3196,171,175,349,71,72,142,1201,1191,2396,36,32,66,45,35,78,17,12,32,65,60,133,8,9,16,0,0,0,1611,1600,3205,385,439,822,80,77,151,3699,3675,7377,1198,1026,2221,8787,8174,16954
Murweh (S),35600,1122,1083,2202,277,300,577,22,35,58,5,11,16,268,320,588,3,3,5,0,6,8,0,4,4,11,11,23,0,0,0,0,0,0,321,387,701,55,59,110,21,8,33,670,755,1424,165,181,350,1960,2020,3979
Napranum (S),35670,369,335,704,12,37,52,0,0,0,0,0,0,48,26,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,33,78,0,0,0,0,0,0,62,65,128,13,5,20,440,412,853
Noosa (S),35740,11773,12378,24143,2141,2232,4375,883,997,1880,584,622,1206,5574,6096,11671,110,124,236,208,229,435,53,71,127,80,72,154,62,64,126,0,0,0,7559,8269,15828,839,960,1793,181,209,395,10721,11670,22394,1755,1694,3449,24241,25742,49983
North Burnett (R),35760,2851,2777,5626,536,593,1127,40,48,90,25,17,41,698,683,1386,9,8,16,22,4,25,0,0,0,20,13,28,0,0,0,0,0,0,812,775,1584,157,115,273,24,14,38,1522,1506,3028,707,598,1310,5079,4882,9964
Northern Peninsula Area (R),35780,876,941,1816,55,67,124,0,4,8,4,6,6,152,153,301,3,0,7,4,0,8,0,0,0,3,9,9,0,0,0,0,0,0,164,174,337,8,7,21,8,14,24,245,261,499,41,42,81,1157,1238,2395
Palm Island (S),35790,930,890,1819,8,8,15,3,9,5,0,0,0,93,103,199,0,0,0,3,0,3,0,0,0,3,4,5,0,0,0,0,0,0,99,120,222,3,6,9,11,15,27,127,148,266,15,13,35,1072,1053,2119
Paroo (S),35800,461,436,894,95,104,196,15,18,31,7,3,15,96,117,214,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,121,145,267,3,12,16,3,6,10,228,264,490,77,67,142,760,768,1527
Pormpuraaw (S),36070,279,286,567,7,8,11,0,0,0,0,0,0,31,34,70,0,0,0,0,0,3,0,0,0,3,7,6,0,0,0,0,0,0,39,44,81,0,7,5,0,5,7,48,56,103,4,3,8,340,346,680
Quilpie (S),36150,220,176,393,51,58,108,13,13,22,0,0,3,77,78,155,4,4,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,94,97,194,3,3,8,3,3,5,154,164,314,25,19,48,403,356,759
Redland (C),36250,36534,37845,74377,4364,4618,8981,1298,1442,2736,523,567,1089,18294,19486,37782,165,146,311,231,246,478,109,119,223,88,112,203,113,108,228,0,0,0,20830,22223,43056,1997,2273,4273,530,541,1078,27716,29660,57378,3512,3645,7160,67766,71141,138907
Richmond (S),36300,182,159,341,50,40,90,9,3,13,3,0,3,99,94,190,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,109,106,209,7,11,15,0,5,7,169,156,319,38,34,69,382,351,736
Rockhampton (R),36370,18687,18673,37361,2202,2381,4582,334,347,685,203,218,425,10347,11383,21728,79,74,149,107,98,203,44,49,94,69,68,136,22,24,41,7,0,7,11213,12259,23472,866,895,1765,369,461,830,14646,15998,30648,3308,2902,6212,36645,37577,74217
Scenic Rim (R),36510,10155,10338,20488,1905,2187,4094,426,464,896,117,128,244,3719,3972,7694,31,35,69,51,51,103,27,30,62,35,43,77,16,17,28,0,3,3,4433,4748,9175,279,328,608,134,144,283,6756,7412,14159,1822,1586,3401,18723,19325,38057
Somerset (R),36580,6264,5978,12248,972,1022,1996,194,214,402,67,79,151,2479,2675,5159,33,28,65,19,37,57,15,13,27,49,43,91,7,3,18,0,0,0,2872,3095,5962,197,180,377,109,92,194,4151,4386,8534,1185,1064,2250,11597,11430,23032
South Burnett (R),36630,8417,8171,16584,1733,1852,3576,173,177,346,65,70,131,2963,3217,6182,31,39,67,30,50,82,11,12,21,32,29,60,0,0,3,0,0,0,3306,3592,6901,113,143,255,119,112,232,5266,5697,10965,1507,1305,2818,15190,15178,30368
Southern Downs (R),36660,9337,9518,18854,1869,2100,3972,408,421,824,71,71,138,2836,2980,5817,35,34,70,47,49,94,25,19,40,24,29,57,6,7,16,0,0,0,3450,3603,7053,254,283,536,95,113,204,5676,6091,11766,1260,1237,2498,16275,16845,33114
Sunshine Coast (R),36720,62090,65943,128038,9459,10251,19712,3593,4044,7635,2056,2328,4384,38789,42895,81685,526,556,1087,843,871,1711,405,480,888,439,481,921,308,352,657,4,4,8,46963,52007,98971,4969,5733,10698,1236,1166,2394,62615,69158,131777,9278,9622,18897,133986,144729,278716
Tablelands (R),36820,6441,6526,12971,1144,1280,2426,98,93,196,84,81,163,2155,2333,4489,34,26,56,77,66,137,22,13,38,79,99,179,3,9,12,0,0,0,2548,2715,5261,157,196,354,103,113,211,3951,4302,8256,1131,1143,2278,11524,11976,23497
Toowoomba (R),36910,35962,37980,73937,4633,4970,9602,1386,1538,2928,367,387,753,21027,23095,44115,189,188,373,210,218,423,86,103,195,227,214,443,95,90,179,0,0,0,23589,25820,49407,2424,2315,4743,536,513,1052,31179,33626,64804,5770,5955,11724,72905,77557,150468
Torres (S),36950,841,824,1663,98,140,238,14,17,31,22,13,33,303,315,617,0,4,4,3,11,14,3,3,9,9,6,19,5,4,9,0,0,0,362,376,743,21,28,44,72,59,132,555,604,1162,235,235,478,1638,1661,3299
Torres Strait Island (R),36960,1551,1484,3035,54,65,125,12,5,14,0,0,0,223,239,457,4,3,10,8,3,10,0,0,0,7,4,10,0,0,0,0,0,0,251,258,508,4,12,16,64,53,121,376,393,769,91,83,177,2012,1960,3974
Townsville (C),37010,39360,39313,78670,4432,4723,9155,2370,2087,4460,1512,1471,2990,24966,27230,52201,452,451,903,570,567,1136,288,280,566,729,699,1432,310,289,598,0,0,3,31204,33090,64290,2553,2846,5404,859,750,1613,39048,41413,80461,8342,6652,14995,86751,87372,174121
Weipa (T),37300,701,573,1271,276,250,523,43,46,88,16,25,40,484,447,931,11,3,18,39,41,78,13,10,22,29,25,50,0,0,3,0,0,0,637,591,1227,36,42,80,20,15,30,970,896,1859,218,173,393,1888,1643,3531
Western Downs (R),37310,7846,7355,15203,2412,2384,4800,315,283,591,48,60,113,2688,2714,5399,31,43,72,67,61,123,4,5,18,47,53,104,12,8,17,0,0,0,3213,3232,6443,297,338,634,86,101,190,6007,6058,12068,2038,1745,3783,15890,15163,31052
Whitsunday (R),37340,7321,6557,13878,2108,2049,4159,445,443,893,261,313,573,2635,2617,5255,101,88,188,121,131,251,30,39,65,53,52,108,17,19,40,0,0,0,3666,3704,7371,739,860,1601,110,99,213,6625,6723,13350,2489,2049,4536,16432,15332,31762
Lockyer Valley (R),34580,9355,9186,18544,1643,1621,3267,277,323,606,101,105,207,3847,4251,8093,31,28,54,48,53,98,23,30,51,35,42,76,3,4,11,0,0,0,4365,4835,9191,636,686,1320,111,116,231,6751,7260,14008,1971,1759,3733,18081,18205,36284
Logan (C),34590,71648,72270,143922,6436,7004,13440,2156,2307,4466,916,896,1814,37692,39854,77547,346,352,702,425,423,850,180,189,375,203,206,411,114,115,228,3,0,3,42045,44351,86398,6667,7071,13732,1421,1243,2662,56564,59671,116235,9947,10178,20118,138159,142118,280272
Roxby Downs (M),46970,668,454,1118,382,319,702,43,24,69,31,16,51,67,49,115,446,340,783,38,40,78,16,15,33,7,6,11,0,0,6,0,0,0,653,490,1144,59,70,128,14,9,25,1105,896,2003,238,111,350,2013,1456,3471
Salisbury (C),47140,37884,38097,75982,2556,2756,5312,530,424,954,452,357,810,339,271,607,13635,14276,27902,167,135,305,50,52,106,190,170,358,92,63,159,3,0,6,15463,15745,31210,3708,3857,7562,433,370,796,22164,22724,44884,3790,3775,7559,63836,64600,128431
Southern Mallee (DC),47290,637,581,1219,96,98,196,3,4,9,17,24,39,17,18,32,67,70,140,5,4,13,0,3,5,3,3,4,0,0,3,0,0,0,111,121,239,37,38,69,3,6,12,255,262,518,90,88,183,981,933,1914
Streaky Bay (DC),47490,667,558,1218,110,118,227,11,5,12,4,4,8,3,3,13,130,117,251,11,7,24,0,0,0,11,6,18,3,3,3,0,0,0,169,152,327,7,8,16,7,4,7,290,282,572,82,68,149,1040,907,1946
Tatiara (DC),47630,1979,1786,3761,440,448,884,23,13,35,65,53,117,20,19,37,238,236,472,14,4,16,3,3,3,5,6,15,3,0,3,0,0,0,369,337,705,149,85,232,14,7,23,974,872,1847,344,295,639,3300,2946,6245
Tea Tree Gully (C),47700,29655,30621,60270,1471,1572,3041,252,275,522,204,220,425,256,245,500,9521,10294,19813,101,101,199,29,36,68,105,90,192,35,32,71,3,0,3,10500,11287,21790,1251,1375,2622,198,179,378,13423,14405,27830,1923,2168,4089,45001,47195,92191
Boulia (S),30900,77,49,124,25,15,41,3,10,14,3,3,7,55,58,116,0,0,3,0,0,4,0,0,0,3,5,7,0,0,0,0,0,0,74,77,149,0,6,11,3,0,3,98,105,204,41,39,80,216,188,410
Brisbane (C),31000,241016,255268,496285,22274,23168,45440,11023,10865,21889,5251,5169,10418,146749,150429,297177,1840,1757,3593,2173,2026,4193,685,753,1433,1181,1034,2220,1350,1349,2695,29,18,51,170273,173395,343668,48146,52548,100694,4687,4108,8796,245384,253218,498599,35275,33077,68352,521676,541559,1063232
Gold Coast (C),33430,109926,115114,225038,15668,16436,32108,12053,13276,25330,3974,4246,8219,67037,72709,139753,1057,1160,2217,1354,1382,2737,785,938,1719,488,525,1017,674,741,1414,12,16,28,87435,95006,182438,16283,18117,34406,2727,2574,5298,122110,132133,254248,21298,22158,43457,253337,269412,522744
Goondiwindi (R),33610,2705,2620,5334,676,693,1369,213,206,426,26,19,45,646,704,1347,10,9,20,12,17,30,0,3,3,10,9,13,0,0,0,0,0,0,926,963,1884,63,98,157,22,18,41,1687,1766,3454,574,535,1112,4972,4931,9895
Bulloo (S),31750,94,72,164,23,21,37,4,8,10,3,0,3,25,22,47,7,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,42,34,77,5,5,7,0,0,0,65,57,127,27,12,41,180,144,330
Bundaberg (R),31820,23125,23396,46527,2784,3110,5891,721,799,1523,291,331,623,10755,11678,22435,96,100,195,195,175,373,66,82,150,141,122,263,42,35,70,3,0,3,12313,13321,25629,914,1048,1962,421,363,781,16432,17837,34266,3672,3632,7309,43234,44868,88103
Burdekin (S),31900,5144,4930,10078,838,830,1670,72,64,131,34,26,61,1137,1188,2324,15,11,21,26,20,52,10,5,12,33,28,56,5,10,15,0,0,0,1329,1348,2684,143,144,287,33,34,68,2337,2363,4701,731,681,1408,8216,7972,16192
Burke (S),31950,83,68,147,10,11,23,5,0,7,0,0,0,32,23,57,0,0,0,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,44,30,73,0,4,4,0,0,0,57,42,101,35,25,66,174,138,316
Cairns (R),32080,33002,33087,66085,4507,4831,9335,1551,1606,3156,1220,1304,2518,18016,19432,37449,475,533,1006,678,695,1370,191,202,394,763,783,1548,119,145,261,4,0,9,23016,24689,47706,3302,3968,7274,725,630,1361,31557,34120,65680,7556,7359,14911,72107,74564,146675
Carpentaria (S),32250,460,424,886,110,118,226,22,14,37,4,9,17,182,175,360,8,3,12,6,4,11,0,0,0,7,5,11,0,0,0,0,0,0,231,216,448,7,9,18,5,10,15,353,349,705,129,101,228,943,881,1819
Cassowary Coast (R),32260,7843,7288,15138,1520,1581,3100,163,148,311,148,139,286,1996,1983,3977,29,28,59,65,59,130,24,18,47,83,75,151,8,6,16,0,0,0,2510,2462,4971,391,430,816,83,76,159,4499,4542,9045,1558,1363,2923,13903,13200,27105
Central Highlands (R) (Qld),32270,6059,5171,11234,1903,1758,3659,284,278,561,57,53,110,2651,2679,5333,41,28,67,56,55,105,20,26,52,30,42,66,6,5,11,0,0,0,3149,3158,6301,328,394,724,75,60,136,5457,5362,10821,1963,1482,3443,13487,12014,25497
Charters Towers (R),32310,3052,3029,6081,650,671,1325,37,52,89,14,28,44,1018,1122,2146,12,6,15,26,20,43,6,5,14,40,46,84,0,0,5,0,0,0,1151,1285,2439,50,59,106,24,20,44,1875,2035,3912,609,621,1228,5538,5689,11224
Cherbourg (S),32330,439,475,917,30,22,52,0,3,3,0,0,0,42,40,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,42,85,0,0,0,8,9,16,77,71,151,17,19,29,531,563,1090
Cloncurry (S),32450,642,535,1172,148,120,264,55,29,90,21,13,33,352,258,615,6,3,11,20,8,32,4,4,17,16,14,27,3,3,3,0,0,0,482,336,816,34,36,70,6,4,9,669,497,1162,266,191,457,1574,1218,2797
Cook (S),32500,1017,836,1856,229,255,485,24,28,57,14,18,32,333,274,602,14,7,16,22,15,41,3,4,10,25,23,42,4,0,4,0,0,0,436,366,803,46,67,112,22,15,39,733,701,1441,386,286,669,2138,1824,3969
Croydon (S),32600,55,60,113,10,13,20,4,4,7,0,0,0,23,25,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,52,0,3,5,0,0,0,38,41,79,48,38,82,139,133,278
Gympie (R),33620,12365,12250,24615,1893,2068,3961,374,359,729,144,166,310,5509,5894,11406,51,55,109,95,109,209,37,40,72,78,89,171,16,18,35,0,0,0,6302,6731,13035,227,310,537,187,167,351,8606,9276,17884,2233,2195,4426,23200,23723,46923
Hinchinbrook (S),33800,3498,3354,6852,432,445,880,40,35,79,15,22,32,729,704,1436,9,8,19,12,15,29,3,0,0,16,9,31,0,0,5,0,0,0,836,788,1621,34,46,83,21,14,28,1323,1294,2617,497,450,944,5316,5095,10412
Hope Vale (S),33830,322,304,626,22,16,39,4,0,4,0,0,0,36,28,62,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,45,28,73,0,0,3,4,5,11,77,48,120,40,24,69,439,377,821
Ipswich (C),33960,41432,41742,83168,5109,5519,10624,2085,2173,4263,656,676,1330,25661,27533,53192,356,358,714,315,352,660,134,165,303,384,311,693,178,173,348,0,0,0,29772,31742,61508,3457,3769,7224,920,856,1772,39262,41882,81141,6715,6502,13222,87408,90123,177528
Isaac (R),33980,3777,2939,6717,1485,1378,2861,199,190,385,63,58,122,2518,2381,4897,42,34,70,67,59,117,14,15,28,45,34,81,6,7,12,0,0,0,2950,2772,5727,211,279,486,48,59,105,4692,4490,9182,1911,1102,3011,10382,8523,18907
Kowanyama (S),34420,342,391,741,4,8,5,0,0,3,0,0,0,31,46,74,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,40,46,84,0,0,3,7,0,3,48,53,102,9,7,19,405,455,862
Diamantina (S),32750,64,55,118,12,5,18,5,4,6,5,3,8,25,27,55,3,3,7,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,37,36,80,0,4,10,0,0,3,52,53,106,18,22,40,132,127,266
