lga_name_2016,lga_code_2016,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Woorabinda (S),37550,9,3,14,0,0,0,0,0,0,9,3,14,61,61,119,4,0,4,0,0,0,60,61,123,47,31,82,3,0,4,0,0,0,48,32,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,4,3,3,3,8,15,0,0,0,0,0,0,3,8,15,37,31,70,0,0,0,8,3
Winton (S),37400,0,0,0,7,0,5,0,0,0,5,0,5,5,11,12,32,31,61,0,0,0,40,35,75,6,10,15,16,13,28,0,0,0,20,25,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,12,12,0,0,0,3,10,14,0,0,0,0,5,4,0,0,0,0,5,4,0,0,0,0,4,4,0,0,0,0,5,5,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,3,6,9,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,18,0,0,0,4,19,22,0,0,0,0,3,7,0,0,0,0,3,7,3,0,3,17,16,25,45,40
Wujal Wujal (S),37570,0,0,3,0,0,0,0,0,0,0,0,3,11,12,25,0,0,0,0,0,0,11,13,24,4,3,8,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,4,11,0,0,0,0,0
Yarrabah (S),37600,25,19,46,0,0,0,0,0,0,24,19,47,229,189,421,4,0,3,0,0,0,229,190,423,99,122,225,0,0,0,0,0,0,104,122,229,0,0,0,0,0,0,0,0,0,0,0,4,0,7,6,0,0,0,0,0,0,0,7,6,0,3,3,0,0,0,0,0,0,0,3,3,3,0,4,0,0,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,0,0,3,0,0,0,3,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,10,10,7,3,10,0,0,0,0,0,0,7,3,10,58,73,134,3,0,3,4,6
No usual address (Qld),39499,0,4,3,15,14,31,0,0,0,19,15,31,14,16,28,115,120,237,3,0,3,129,133,264,10,12,19,50,46,96,7,0,6,70,59,128,0,0,0,8,10,25,0,0,0,12,10,22,0,3,3,11,7,22,0,0,0,11,17,24,0,0,0,8,19,25,0,0,0,8,19,33,0,3,3,14,19,39,0,0,0,17,25,41,0,0,0,3,0,3,0,0,3,3,7,9,0,6,11,54,61,114,0,3,5,53,80,136,3,0,4,46,77,122,0,0,0,53,75,127,0,3,3,41,59,97,0,0,0,40,63,100,0,0,0,7,3,17,0,0,0,12,10,19,0,0,0,24,22,45,3,0,3,26,22,52,0,0,0,3,3,4,0,0,0,3,5,9,3,3,10,124,166,286,3,0,5,126,171,301,3,4,6,40,67,110,0,0,0,41,71,112,195,116,315,408,219,624,994,714
Migratory - Offshore - Shipping (Qld),39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9
Adelaide (C),40070,0,3,4,59,40,101,0,0,0,62,45,104,5,5,15,234,244,482,3,0,6,248,251,499,3,8,12,208,184,392,4,5,7,210,199,409,0,0,0,90,79,170,0,0,3,90,83,174,0,0,0,65,97,161,0,0,0,64,97,162,0,0,0,19,16,34,0,0,0,19,24,42,0,3,3,54,84,136,0,0,0,54,85,138,0,0,0,0,0,3,0,0,0,3,0,3,0,7,5,226,283,509,0,0,3,227,290,518,6,9,13,1946,2235,4185,6,8,14,1959,2248,4207,5,6,11,681,546,1225,3,0,3,686,554,1239,0,0,0,62,64,127,0,0,0,62,71,134,3,0,4,158,207,364,3,0,6,161,209,366,0,0,0,13,6,15,0,0,0,13,10,17,12,14,26,2857,3057,5913,13,10,26,2882,3080,5964,3,0,6,104,142,244,0,0,0,105,142,250,53,11,65,393,160,550,1069,865
Adelaide Hills (DC),40120,3,7,10,240,245,489,0,0,3,242,249,497,21,20,37,1960,1912,3867,20,14,37,1998,1946,3945,32,11,39,1331,1292,2622,14,16,30,1383,1314,2696,0,0,0,48,39,84,0,0,0,48,39,84,0,0,0,18,41,56,0,0,0,18,41,56,0,0,0,115,56,169,3,0,4,121,52,175,0,0,0,85,158,236,0,0,3,81,160,243,0,0,0,0,3,3,0,0,0,0,3,3,3,0,3,260,293,559,3,0,3,268,297,566,0,0,0,418,493,906,6,3,6,418,500,917,0,0,0,98,137,236,0,0,0,98,141,240,0,0,0,55,64,118,0,0,0,55,64,118,3,5,8,164,285,445,0,0,3,163,286,452,0,0,0,4,8,11,0,0,0,4,8,13,3,10,10,735,980,1715,4,4,10,738,994,1734,0,0,0,70,130,205,0,0,0,70,130,205,5,0,4,223,275,499,784,715
Alexandrina (DC),40220,8,5,15,112,106,223,0,0,3,121,119,239,28,26,55,964,944,1905,17,10,26,1008,982,1994,16,30,40,631,660,1294,13,11,23,654,702,1358,0,0,3,16,39,56,0,0,0,17,36,59,0,3,3,9,46,57,0,3,3,10,56,63,0,3,3,49,48,93,0,0,0,47,45,98,0,0,0,56,99,156,0,0,4,56,102,159,0,0,0,3,0,3,0,0,0,3,0,3,0,6,9,134,231,368,3,3,9,136,244,381,0,3,3,52,104,154,0,3,3,52,111,158,0,0,0,35,48,79,0,0,0,31,48,82,0,0,4,9,19,28,0,0,0,15,19,29,0,0,3,40,121,157,0,0,0,35,127,165,0,0,0,0,3,3,0,0,0,0,3,3,3,8,10,132,301,428,0,3,3,135,308,444,0,0,7,32,62,94,0,0,0,32,66,101,8,3,14,274,335,608,657,648
Ceduna (DC),41010,5,22,24,12,8,27,0,0,0,20,28,51,45,51,99,99,83,185,4,0,4,151,136,283,33,26,62,56,80,139,0,4,4,90,111,205,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,3,5,0,0,0,4,5,10,0,0,0,5,5,9,0,4,4,8,18,24,0,0,0,9,21,33,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,20,17,37,0,0,0,17,27,48,0,0,0,0,5,10,0,0,0,0,9,11,0,0,0,0,6,7,0,0,0,0,7,7,0,0,0,0,4,5,0,0,0,0,9,5,0,0,0,3,11,16,0,0,0,3,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,9,26,33,0,0,0,9,29,37,0,0,0,6,5,13,0,0,0,10,7,15,77,81,156,39,47,92,130,131
Charles Sturt (C),41060,21,22,35,595,559,1153,4,3,7,619,586,1200,124,125,246,4173,3973,8145,37,36,74,4337,4140,8476,62,73,134,2709,2700,5416,30,25,54,2800,2803,5603,6,6,19,173,181,351,3,0,4,183,190,374,6,5,13,189,246,438,0,0,4,198,255,456,7,4,12,187,118,308,0,0,3,195,126,326,9,3,9,326,518,842,3,5,6,333,530,862,0,0,0,15,7,25,0,0,3,17,7,27,28,27,52,890,1071,1965,7,5,14,928,1107,2038,16,11,28,1538,1737,3272,12,10,14,1565,1752,3316,4,10,19,517,588,1100,3,3,10,522,601,1129,5,3,4,155,192,343,0,0,0,154,191,352,4,8,17,455,714,1168,3,0,4,464,728,1190,0,0,0,7,18,30,0,3,3,7,24,30,29,42,69,2677,3246,5918,12,12,28,2717,3299,6018,6,6,10,354,430,785,3,8,11,364,446,811,27,54,82,985,1143,2126,2109,2056
Anangu Pitjantjatjara (AC),40250,15,15,38,0,0,3,0,0,0,20,19,39,106,102,211,7,0,8,0,0,0,111,107,219,68,66,133,0,0,0,0,0,0,68,66,133,4,0,6,0,0,0,0,0,0,4,0,6,0,0,3,0,0,0,0,0,0,0,0,3,3,9,11,0,0,0,0,0,0,3,13,18,4,8,16,3,3,6,0,0,0,11,15,20,0,0,0,0,0,0,0,0,0,0,0,0,21,23,43,3,3,9,0,0,0,22,29,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,8,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,16,0,0,0,6,13,17,4,9,16,0,0,0,0,0,0,4,11,18,86,95,188,0,3,6,50,67
Barossa (DC),40310,4,0,4,169,128,292,0,0,3,171,126,301,22,16,39,1168,1067,2239,11,14,30,1199,1103,2304,5,18,26,687,685,1372,12,9,16,701,716,1417,0,0,0,17,20,37,0,0,0,17,24,45,0,0,0,6,39,42,0,0,0,6,35,47,0,0,0,71,44,117,0,0,0,71,44,117,0,0,0,64,100,172,0,0,3,70,104,170,0,0,0,3,5,3,0,0,0,3,5,3,0,3,3,168,207,376,3,0,0,169,210,379,0,0,0,68,128,190,0,0,0,68,130,191,0,0,0,28,44,73,0,0,0,29,44,69,0,0,0,3,18,26,0,0,0,3,18,27,0,0,0,55,106,167,0,0,0,55,107,162,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,156,303,453,3,0,3,159,305,458,0,3,3,43,76,113,0,0,0,43,78,116,12,3,15,217,248,460,521,501
Barunga West (DC),40430,0,0,0,15,12,26,0,0,0,18,12,28,6,6,13,83,68,159,0,0,0,89,78,164,6,0,6,48,54,101,0,0,0,54,53,106,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,4,10,14,0,0,0,4,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,30,0,0,0,8,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,12,0,0,0,3,10,12,0,0,0,0,4,9,0,0,0,0,4,9,4,0,6,29,36,72,72,73
Berri and Barmera (DC),40520,12,5,15,42,47,85,0,0,0,53,52,106,43,37,83,472,388,858,11,7,21,524,437,956,22,22,37,287,265,554,11,5,13,318,290,607,0,0,0,11,11,22,0,0,0,10,15,29,0,4,5,3,16,19,0,0,0,8,16,25,0,0,0,25,18,35,0,0,0,25,20,41,3,8,9,34,27,57,0,0,0,34,35,71,0,0,0,0,0,0,0,0,0,0,0,0,5,8,18,73,73,146,0,0,0,73,81,155,0,0,0,3,24,27,0,0,0,8,24,26,0,0,0,9,13,23,0,0,0,9,13,25,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,12,38,57,0,0,0,12,38,57,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,32,77,111,0,0,0,34,78,111,4,0,3,16,28,46,0,0,4,22,35,52,18,20,30,125,129,252,283,272
Burnside (C),40700,5,0,5,289,295,586,3,0,4,295,299,595,6,8,18,2007,1957,3962,13,14,27,2025,1978,4006,8,15,20,1552,1673,3224,4,15,19,1567,1697,3261,0,0,0,58,41,93,0,0,0,58,41,93,0,0,0,57,100,158,0,3,3,54,108,159,0,0,0,44,32,75,0,0,0,44,32,75,0,0,0,103,152,255,0,0,0,103,150,251,0,0,0,3,3,7,0,0,0,3,3,7,0,0,3,259,326,583,0,3,3,259,327,587,6,4,10,1006,1028,2034,4,3,5,1015,1040,2050,0,0,0,325,333,655,0,0,0,326,333,660,0,0,0,81,91,174,0,3,3,81,90,171,0,3,3,230,315,540,0,0,0,230,318,550,0,0,0,7,6,18,0,0,0,7,6,18,4,10,11,1647,1774,3426,8,3,9,1661,1789,3449,0,3,3,98,153,256,3,0,3,101,155,256,0,3,3,275,363,643,652,663
Campbelltown (C) (SA),40910,3,5,3,321,280,604,4,0,8,326,285,616,19,14,29,2146,1961,4107,21,13,31,2180,1993,4173,12,15,25,1507,1296,2797,12,11,28,1528,1322,2855,0,3,4,95,77,177,0,0,0,96,82,178,3,0,3,74,141,215,0,3,3,72,140,217,0,0,0,86,59,144,0,0,0,86,60,142,0,3,6,150,224,368,0,0,0,147,228,371,0,0,0,4,5,4,0,0,0,4,5,4,6,12,16,399,506,908,0,3,3,404,516,924,3,6,13,845,936,1775,3,4,10,850,948,1793,4,4,6,285,374,660,3,0,3,296,380,673,0,3,4,81,88,173,0,0,0,83,90,177,0,3,3,210,317,530,0,0,7,215,324,539,0,0,0,4,3,11,0,0,0,4,3,11,11,16,26,1428,1720,3148,6,10,18,1444,1743,3195,0,0,3,120,194,317,0,0,3,125,197,325,8,7,18,371,417,785,643,615
Cleve (DC),41190,0,0,0,9,14,19,0,0,0,13,14,26,0,0,4,87,70,163,0,3,3,88,72,163,0,0,0,56,56,111,0,0,7,59,57,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,0,0,0,3,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,17,0,0,0,3,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,16,12,0,0,0,4,6,11,0,0,0,4,6,11,0,0,0,32,14,44,51,46
Coober Pedy (DC),41330,8,3,10,13,4,17,0,0,0,16,4,21,24,18,42,34,35,70,0,0,0,59,55,114,7,6,9,16,19,33,0,0,0,18,26,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,8,10,20,0,0,3,8,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,19,29,0,0,3,12,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,11,0,0,0,3,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,15,20,0,0,0,3,15,20,0,3,3,5,6,5,0,0,0,5,9,14,13,13,23,27,27,56,123,119
Copper Coast (DC),41560,13,6,22,69,50,114,0,3,3,79,61,138,33,36,64,512,440,946,19,17,36,558,488,1051,17,19,38,385,315,704,9,3,7,406,343,750,3,0,3,9,14,17,0,0,0,9,10,23,0,0,0,8,17,20,0,0,0,8,17,20,0,3,4,25,18,48,0,0,0,29,23,48,0,3,3,17,46,64,0,0,0,17,43,64,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,56,94,151,0,0,0,60,97,156,0,3,3,8,17,26,0,0,0,8,22,26,0,0,0,8,12,21,0,0,0,8,10,25,0,0,0,4,3,5,0,0,0,4,3,5,0,0,0,15,32,44,0,0,0,15,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,29,63,90,0,0,0,29,71,97,4,0,0,20,43,61,0,0,0,20,47,65,12,18,26,242,257,501,388,375
Elliston (DC),41750,0,3,3,8,6,13,0,0,0,8,8,13,4,0,9,52,34,91,0,0,0,54,37,94,0,0,0,13,26,45,0,0,0,16,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,3,13,16,0,0,0,3,7,12,0,0,0,3,7,12,3,0,3,10,16,30,25,22
Franklin Harbour (DC),41960,0,0,0,8,4,6,0,0,0,8,4,6,4,3,7,60,41,102,0,0,0,70,45,112,6,0,6,16,23,44,0,0,0,21,23,43,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,0,4,6,0,0,0,3,4,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,7,17,0,0,0,7,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,4,4,9,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,14,11,24,60,60
Gawler (T),42030,10,7,15,127,125,250,3,0,3,140,128,268,30,29,57,940,959,1898,4,9,20,982,997,1979,24,24,47,681,599,1280,7,14,22,709,635,1344,3,0,3,40,39,78,0,0,0,42,39,81,0,0,0,23,48,65,0,0,0,23,51,67,0,0,0,68,54,119,0,0,0,68,61,121,0,0,0,71,140,210,0,0,0,68,141,209,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6,197,281,477,0,3,5,200,285,486,3,0,3,110,197,307,0,3,3,109,205,310,0,0,3,41,75,111,0,0,0,41,81,115,0,3,3,24,43,61,0,0,0,24,47,69,0,6,6,48,109,158,0,0,3,52,114,164,0,0,0,0,4,4,0,0,0,0,4,4,4,8,8,219,428,648,3,3,9,221,438,664,0,8,8,32,95,121,0,0,5,34,103,133,9,10,17,204,208,410,501,507
Goyder (DC),42110,3,0,3,17,27,44,0,0,0,21,27,43,0,8,5,138,181,319,3,6,6,141,195,332,3,3,4,117,128,243,0,0,3,120,129,248,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,4,5,5,0,0,0,4,5,5,0,0,0,11,7,18,0,0,0,11,8,15,0,0,0,6,19,28,0,0,0,6,23,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,29,55,0,0,0,24,38,63,0,0,0,9,6,13,0,0,0,6,6,17,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,4,6,0,0,0,0,4,6,0,0,0,0,14,14,0,0,0,0,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,32,37,0,0,0,7,30,39,0,0,0,4,11,15,0,0,0,4,11,15,3,3,4,58,58,119,125,114
Grant (DC),42250,0,3,3,46,23,74,0,0,3,49,27,79,10,10,22,424,357,787,13,9,23,445,378,822,3,8,13,243,253,493,0,4,8,251,262,513,0,0,0,0,13,13,0,0,0,0,13,13,0,0,0,0,8,12,0,0,0,0,6,7,0,0,0,26,14,42,0,0,0,26,14,42,0,3,5,16,33,50,0,0,0,22,32,53,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,52,65,114,0,0,0,50,72,126,0,0,0,10,25,35,0,0,0,10,25,35,0,0,0,5,11,13,0,0,0,7,11,15,0,0,0,0,7,3,0,0,0,0,7,3,0,0,0,9,38,43,0,0,0,9,38,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,77,93,0,0,0,19,73,95,0,0,0,13,23,32,0,0,0,10,23,36,33,0,40,548,102,652,173,169
Ashburton (S),50250,14,7,27,65,40,107,0,0,0,82,49,135,61,60,119,293,308,597,3,4,5,349,376,729,32,28,63,152,79,229,3,0,9,189,109,301,0,0,0,3,0,4,0,0,0,3,0,4,3,0,3,8,9,14,0,0,0,9,9,17,0,0,0,18,14,31,3,0,3,21,17,36,0,0,3,85,56,143,0,0,0,90,54,146,0,0,0,0,0,4,0,0,0,0,0,4,4,4,8,120,81,203,3,0,3,125,81,212,0,0,0,3,8,14,0,0,0,3,8,12,0,0,0,16,8,24,0,0,0,16,8,24,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,79,61,137,0,0,0,79,57,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,76,180,0,0,0,103,73,182,3,0,3,27,25,50,0,0,0,31,24,55,26,29,54,93,52,147,1669,371
