lga_code,lga_name,period,number_new_houses,number_new_other_residential_building,number_total_dwellings,value_new_houses_aud000,value_new_other_residential_building_aud000,value_alterations_additions_aud000,value_total_residential_building_aud000,value_non_residential_building_aud000,value_total_building_aud000,id
40250,Anangu Pitjantjatjara (AC),2014-2015,8,0,9,3469.8,0.0,445.7,3915.5,1136.7,5052.1,939
37550,Woorabinda (S),2013-2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,916
40250,Anangu Pitjantjatjara (AC),2013-2014,21,0,21,10810.3,0.0,0.0,10810.3,1195.7,12006.0,940
37550,Woorabinda (S),2012-2013,0,0,0,0.0,0.0,0.0,0.0,1815.4,1815.4,917
40250,Anangu Pitjantjatjara (AC),2013-2013,30,0,30,13893.8,0.0,512.0,14405.8,10236.2,24641.9,941
37570,Wujal Wujal (S),2013-2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,919
40070,Adelaide (C),2014-2015,7,1308,1377,7048.5,284005.0,25456.6,316510.1,230139.7,546649.8,930
40310,Barossa (DC),2014-2015,156,2,158,35096.7,297.8,3685.1,39079.6,17381.7,56461.3,942
37570,Wujal Wujal (S),2012-2013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,920
37600,Yarrabah (S),2014-2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,921
37600,Yarrabah (S),2013-2014,0,0,0,0.0,0.0,0.0,0.0,868.1,868.1,922
37600,Yarrabah (S),2012-2013,0,0,0,0.0,0.0,0.0,0.0,98.2,98.2,923
39399,Unincorporated Qld,2014-2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,924
39399,Unincorporated Qld,2013-2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,925
39399,Unincorporated Qld,2012-2013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,926
39499,No usual address (Qld),2014-2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,927
39499,No usual address (Qld),2013-2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,928
39499,No usual address (Qld),2012-2013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,929
40310,Barossa (DC),2013-2014,126,0,126,27692.5,0.0,6190.7,33883.2,13982.5,47865.7,943
40310,Barossa (DC),2013-2013,138,2,140,27498.4,332.1,6168.2,33998.6,9157.7,43156.3,944
40430,Barunga West (DC),2014-2015,16,0,16,3476.7,0.0,468.7,3945.4,2690.7,6636.1,945
40430,Barunga West (DC),2013-2014,9,0,9,1751.8,0.0,761.8,2513.6,455.6,2969.2,946
40430,Barunga West (DC),2013-2013,8,0,8,1610.5,0.0,511.2,2121.7,214.0,2335.8,947
40520,Berri and Barmera (DC),2014-2015,20,0,20,4888.4,0.0,928.7,5817.1,1974.1,7791.2,948
40520,Berri and Barmera (DC),2013-2014,24,0,24,5573.4,0.0,502.5,6075.8,3570.0,9645.8,949
40520,Berri and Barmera (DC),2013-2013,15,0,15,4340.7,0.0,854.5,5195.2,1270.0,6465.2,950
40070,Adelaide (C),2013-2014,4,416,422,1425.0,111370.0,7269.9,120064.9,496097.3,616162.1,931
40070,Adelaide (C),2013-2013,1,257,265,1250.0,68700.0,9285.4,79235.4,284443.3,363678.7,932
40120,Adelaide Hills (DC),2014-2015,105,0,107,34426.2,0.0,22090.1,56516.3,11931.6,68447.9,933
40120,Adelaide Hills (DC),2013-2014,92,0,93,29522.7,0.0,20909.0,50431.7,16549.6,66981.3,934
40120,Adelaide Hills (DC),2013-2013,73,0,73,20844.6,0.0,12967.6,33812.2,6568.9,40381.1,935
40220,Alexandrina (DC),2014-2015,257,6,263,57625.6,1920.0,8436.7,67982.3,19303.5,87285.7,936
40220,Alexandrina (DC),2013-2014,290,2,296,64319.3,300.0,7475.1,72094.4,30617.0,102711.4,937
40220,Alexandrina (DC),2013-2013,353,2,357,56739.9,350.0,8684.6,65774.5,18185.0,83959.5,938
41010,Ceduna (DC),2014-2015,13,0,13,2651.5,0.0,250.3,2901.9,2455.3,5357.2,957
41010,Ceduna (DC),2013-2014,14,0,14,2740.4,0.0,406.5,3146.9,60.0,3206.9,958
41010,Ceduna (DC),2013-2013,26,0,27,5041.0,0.0,525.5,5566.6,931.6,6498.2,959
41060,Charles Sturt (C),2014-2015,523,422,945,131090.5,84526.1,21006.2,236622.7,41486.5,278109.2,960
41060,Charles Sturt (C),2013-2014,428,654,1095,98662.3,119174.9,23394.6,241231.7,66640.6,307872.3,961
41060,Charles Sturt (C),2013-2013,338,327,667,79289.0,68034.7,19595.6,166919.4,120757.9,287677.3,962
41140,Clare and Gilbert Valleys (DC),2014-2015,41,0,41,10956.1,0.0,3560.9,14517.0,3819.8,18336.8,963
41140,Clare and Gilbert Valleys (DC),2013-2014,40,12,52,8407.2,2384.8,1845.9,12637.8,4131.8,16769.7,964
41140,Clare and Gilbert Valleys (DC),2013-2013,53,0,55,10952.3,0.0,2513.8,13466.1,1683.1,15149.2,965
40700,Burnside (C),2014-2015,111,28,139,53131.1,8965.6,28636.5,90733.3,10741.1,101474.3,951
40700,Burnside (C),2013-2014,86,17,104,39963.1,4497.1,22886.3,67346.6,24854.5,92201.0,952
40700,Burnside (C),2013-2013,84,22,106,38687.8,4944.3,22875.0,66507.2,51963.8,118470.9,953
40910,Campbelltown (C),2014-2015,266,77,343,64535.7,14304.4,7128.1,85968.2,26005.8,111974.0,954
40910,Campbelltown (C),2013-2014,290,60,350,68445.1,11671.9,12587.9,92704.9,12606.5,105311.4,955
40910,Campbelltown (C),2013-2013,241,34,277,58809.4,7127.6,6581.9,72519.0,20413.5,92932.5,956
41190,Cleve (DC),2014-2015,6,0,6,1475.1,0.0,437.5,1912.6,829.3,2741.9,966
41330,Coober Pedy (DC),2013-2014,1,0,1,15.0,0.0,130.0,145.0,0.0,145.0,970
41190,Cleve (DC),2013-2014,4,0,5,972.5,0.0,535.0,1507.5,3843.7,5351.2,967
41330,Coober Pedy (DC),2013-2013,0,0,0,0.0,0.0,67.0,67.0,1450.0,1517.0,971
41190,Cleve (DC),2013-2013,2,0,2,143.0,0.0,698.5,841.5,200.0,1041.5,968
41330,Coober Pedy (DC),2014-2015,0,0,0,0.0,0.0,468.7,468.7,3485.9,3954.6,969
41830,Flinders Ranges (DC),2014-2015,5,0,5,1089.1,0.0,127.2,1216.3,966.4,2182.8,978
41830,Flinders Ranges (DC),2013-2014,4,0,4,831.9,0.0,37.4,869.3,0.0,869.3,979
41830,Flinders Ranges (DC),2013-2013,2,0,2,380.6,0.0,169.2,549.8,150.0,699.8,980
41960,Franklin Harbour (DC),2014-2015,4,0,4,791.0,0.0,700.9,1492.0,261.0,1753.0,981
41960,Franklin Harbour (DC),2013-2014,7,0,7,1408.0,0.0,322.5,1730.6,0.0,1730.6,982
41960,Franklin Harbour (DC),2013-2013,10,0,10,2419.3,0.0,717.5,3136.9,794.1,3930.9,983
42030,Gawler (T),2014-2015,186,2,188,37985.2,380.0,1361.0,39726.2,10129.0,49855.2,984
45400,Orroroo/Carrieton (DC),2013-2014,7,0,7,1333.0,0.0,33.0,1366.0,84.0,1450.0,1057
42030,Gawler (T),2013-2014,262,15,277,55161.8,2486.3,2225.4,59873.5,30884.0,90757.6,985
45400,Orroroo/Carrieton (DC),2013-2013,2,0,2,357.8,0.0,70.0,427.8,70.0,497.8,1058
42030,Gawler (T),2013-2013,273,12,285,53341.3,3690.0,2221.9,59253.2,26498.3,85751.6,986
42110,Goyder (DC),2014-2015,5,0,5,1221.7,0.0,645.1,1866.8,2009.0,3875.8,987
42110,Goyder (DC),2013-2014,3,0,3,571.2,0.0,110.0,681.2,1436.1,2117.3,988
42110,Goyder (DC),2013-2013,2,0,2,193.7,0.0,99.7,293.4,1800.0,2093.4,989
42250,Grant (DC),2014-2015,26,0,26,5931.3,0.0,3813.8,9745.1,4576.5,14321.6,990
42250,Grant (DC),2013-2014,33,0,33,7563.1,0.0,2241.2,9804.4,26244.0,36048.3,991
42250,Grant (DC),2013-2013,39,0,39,9898.3,0.0,2460.8,12359.1,22541.3,34900.4,992
42600,Holdfast Bay (C),2014-2015,106,54,166,34344.5,10082.0,13405.7,57832.2,50482.8,108314.9,993
42600,Holdfast Bay (C),2013-2014,87,81,170,27653.6,20109.4,13025.5,60788.5,11735.0,72523.5,994
42600,Holdfast Bay (C),2013-2013,75,43,118,26200.0,11771.9,9804.5,47776.4,38608.4,86384.8,995
42750,Kangaroo Island (DC),2014-2015,31,6,43,7186.1,615.3,1593.7,9395.1,2051.6,11446.8,996
42750,Kangaroo Island (DC),2013-2014,41,0,41,8853.2,0.0,934.0,9787.2,5611.5,15398.7,997
42750,Kangaroo Island (DC),2013-2013,23,0,23,4977.5,0.0,1384.2,6361.6,6521.5,12883.1,998
43220,Kimba (DC),2014-2015,2,0,2,386.6,0.0,121.7,508.3,298.9,807.2,1002
43220,Kimba (DC),2013-2014,1,0,1,200.0,0.0,228.2,428.2,110.4,538.6,1003
43220,Kimba (DC),2013-2013,0,0,0,0.0,0.0,682.8,682.8,210.0,892.8,1004
43360,Kingston (DC),2014-2015,20,0,20,4826.6,0.0,763.5,5590.1,700.0,6290.1,1005
43360,Kingston (DC),2013-2014,15,2,17,4267.8,301.0,1268.9,5837.8,837.6,6675.4,1006
43360,Kingston (DC),2013-2013,17,2,19,4692.0,320.0,734.7,5746.7,0.0,5746.7,1007
43650,Light (RegC),2014-2015,86,0,87,18728.0,0.0,3935.8,22663.7,18211.7,40875.5,1008
43650,Light (RegC),2013-2014,112,0,112,22372.2,0.0,3546.5,25918.8,6480.7,32399.5,1009
43650,Light (RegC),2013-2013,82,0,83,16857.6,0.0,2799.1,19656.7,27103.1,46759.8,1010
43710,Lower Eyre Peninsula (DC),2014-2015,45,0,45,11901.4,0.0,2579.4,14480.8,4070.9,18551.7,1011
43710,Lower Eyre Peninsula (DC),2013-2014,81,0,82,20226.5,0.0,2422.9,22649.4,960.9,23610.2,1012
43710,Lower Eyre Peninsula (DC),2013-2013,70,0,70,15390.9,0.0,2395.3,17786.2,573.5,18359.7,1013
43790,Loxton Waikerie (DC),2014-2015,34,13,47,9032.0,3000.0,1773.6,13805.6,13598.9,27404.5,1014
43790,Loxton Waikerie (DC),2013-2014,49,0,50,11207.6,0.0,1361.1,12568.7,9757.2,22325.9,1015
44000,Maralinga Tjarutja (AC),2014-2015,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1020
46510,Prospect (C),2013-2014,46,36,82,13820.2,6937.1,7544.2,28301.5,4776.8,33078.3,1078
44000,Maralinga Tjarutja (AC),2013-2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1021
46510,Prospect (C),2013-2013,25,21,46,8199.2,3379.8,11126.0,22705.0,3351.9,26056.8,1079
46670,Renmark Paringa (DC),2014-2015,53,0,53,13654.7,0.0,849.0,14503.7,5616.1,20119.8,1080
46670,Renmark Paringa (DC),2013-2014,48,0,48,11259.4,0.0,497.8,11757.2,3770.2,15527.4,1081
46670,Renmark Paringa (DC),2013-2013,43,0,45,9356.2,0.0,1057.3,10413.5,5151.0,15564.5,1082
46860,Robe (DC),2014-2015,22,0,22,6238.2,0.0,980.3,7218.6,414.1,7632.7,1083
44000,Maralinga Tjarutja (AC),2013-2013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1022
