yr,gifts_donations_rptd_by_taxpayers_p_num,gifts_donations_rptd_by_taxpayers_med_aud,mtd_trvl_wrk_empy_p_used1mtd_train_tram_num,mtd_trvl_wrk_empy_p_used1mtd_bus_num,mtd_trvl_wrk_empy_p_used1mtd_car_as_driver_pax_num,mtd_trvl_wrk_empy_p_used1mtd_motor_bike_scooter_num,mtd_trvl_wrk_empy_p_used1mtd_bicycle_num,mtd_trvl_wrk_empy_p_used1mtd_oth_inc_taxis_num,mtd_trvl_wrk_empy_p_used1mtd_walked_only_num,mtd_trvl_wrk_empy_p_tot_used1mtd_num,mtd_trvl_wrk_empy_p_tot_used_more_than1mtd_num,mtd_trvl_wrk_empy_p_oth_wrked_home_num,mtd_trvl_wrk_empy_p_oth_empy_but_no_wrk_num,mtd_trvl_wrk_empy_p_oth_mtd_trvl_ns_num,mtd_trvl_wrk_empy_p_tot_empy_num,hslds_by_type_lone_hslds_num,hslds_by_type_grp_hslds_num,hslds_by_type_fam_hslds_num,hslds_by_type_tot_hslds_num,hslds_by_type_avg_hsld_size_num,fam_by_type_cpl_fam_chld_under_15_and_or_dpnt_studts_num,fam_by_type_cpl_fam_non_dpnt_chld_only_num,fam_by_type_cpl_fam_wo_chld_num,fam_by_type1prnt_fam_chld_under_15_or_dpnt_studts_num,fam_by_type1prnt_fam_non_dpnt_chld_only_num,fam_by_type_oth_fam_num,fam_by_type_tot_fam_num,fam_by_type_avg_fam_size_num,soc_mar_st_regd_mar_st_married_regd_marriage_num,soc_mar_st_regd_mar_st_married_de_facto_marriage_num,soc_mar_st_regd_mar_st_no_married_num,soc_mar_st_regd_mar_st_married_pr100,soc_mar_st_regd_mar_st_never_married_pr100,soc_mar_st_regd_mar_st_widowed_pr100,soc_mar_st_regd_mar_st_divorced_pr100,soc_mar_st_regd_mar_st_separtd_pr100,access_net_home_net_acsd_dwl_pr100,access_net_home_net_no_acsd_dwl_pr100,rent_mrtg_pay_avg_monthly_hsld_rent_payment_aud,rent_mrtg_pay_avg_monthly_hsld_mrtg_payment_aud,unpd_ccare_p_no_prov_ccare_pr100,unpd_ccare_p_cared_own_chld_chld_pr100,unpd_ccare_p_cared_oth_chld_chld_pr100,unpd_ccare_p_cared_own_chld_chld_oth_chld_chld_pr100,unpd_ccare_unpd_ccare_ns_pr100,unpd_wrk_p_provd_unpd_asst_p_dsblty_pr100,unpd_wrk_p_undertaking_voltry_wrk_org_grp_pr100,count_all_chld_fam_avg_num_all_chld_fam_num,hous_suitbl_dwl_xtr_bdrms_num,hous_suitbl_dwl_bdrms_spare_num,hous_suitbl_dwl_no_bdrms_spare_num,dwl_structure_separt_hse_num,dwl_structure_semi_det_row_tce_house_twnhse_etc_num,dwl_structure_flat_apartment_num,dwl_structure_oth_dwl_num,tenure_type_owned_outright_pr100,tenure_type_owned_mrtg_pr100,tenure_type_rent_pr100,hsld_strs_hslds_mrtg_repay_less_30_pr100_hsld_inc_pr100,hsld_strs_hslds_mrtg_repay_grt_eq_30_pr100_hsld_inc_pr100,hsld_strs_hslds_rent_pay_less_30_pr100_hsld_inc_pr100,hsld_strs_hslds_rent_pay_grt_eq_30_pr100_hsld_inc_pr100,homelessness_homelessness_rt10000_p_rt,commuting_wrk_avg_comdist_p_of_ur_kms,commuting_wrk_med_comdist_p_of_ur_kms,commuting_wrk_avg_comdist_place_wrk_kms,commuting_wrk_med_comdist_place_wrk_kms,commuting_wrk_avg_comdist_p_of_ur_f_kms,commuting_wrk_avg_comdist_p_of_ur_m_kms,commuting_wrk_med_comdist_p_of_ur_f_kms,commuting_wrk_med_comdist_p_of_ur_m_kms,commuting_wrk_avg_comdist_p_of_ur_managers_kms,commuting_wrk_avg_comdist_p_of_ur_pros_kms,commuting_wrk_avg_comdist_p_of_ur_tech_trades_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_cmty_p_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_clrc_admt_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_sales_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_mach_ops_drivers_kms,commuting_wrk_avg_comdist_p_of_ur_labourers_kms,commuting_wrk_med_comdist_p_of_ur_managers_kms,commuting_wrk_med_comdist_p_of_ur_pros_kms,commuting_wrk_med_comdist_p_of_ur_tech_trades_wrkers_kms,commuting_wrk_med_comdist_p_of_ur_cmty_p_wrk_kms,commuting_wrk_med_comdist_p_of_ur_clrc_admt_wrkers_kms,commuting_wrk_med_comdist_p_of_ur_sales_wrkers_kms,commuting_wrk_med_comdist_p_of_ur_mach_ops_drivers_kms,commuting_wrk_med_comdist_p_of_ur_labourers_kms,commuting_wrk_avg_comdist_p_of_ur_postgrad_degree_kms,commuting_wrk_avg_comdist_p_of_ur_grad_dip_grad_cert_kms,commuting_wrk_avg_comdist_p_of_ur_bachelor_degree_kms,commuting_wrk_avg_comdist_p_of_ur_adv_dip_dip_kms,commuting_wrk_avg_comdist_p_of_ur_certificate_iii_iv_kms,commuting_wrk_avg_comdist_p_of_ur_certificate_i_ii_kms,commuting_wrk_avg_comdist_p_of_ur_yr_10_above_kms,commuting_wrk_avg_comdist_p_of_ur_yr_9_belo_kms,commuting_wrk_med_comdist_p_of_ur_postgrad_degree_kms,commuting_wrk_med_comdist_p_of_ur_grad_dip_grad_cert_kms,commuting_wrk_med_comdist_p_of_ur_bachelor_degree_kms,commuting_wrk_med_comdist_p_of_ur_adv_dip_dip_kms,commuting_wrk_med_comdist_p_of_ur_certificate_iii_iv_kms,commuting_wrk_med_comdist_p_of_ur_certificate_i_ii_kms,commuting_wrk_med_comdist_p_of_ur_yr_10_above_kms,commuting_wrk_med_comdist_p_of_ur_yr_9_belo_kms,gcc_code16,gcc_name16,ogc_fid
2012,244208,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4GADE,Greater Adelaide,38
2013,242978,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4GADE,Greater Adelaide,39
2014,240842,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4GADE,Greater Adelaide,40
2015,243191,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4GADE,Greater Adelaide,41
2016,236569,100,11711.0,28580.0,414137.0,2771.0,6677.0,4773.0,12930.0,484831.0,14714.0,21075.0,61839.0,4601.0,587060.0,134833.0,19439.0,338181.0,492448.0,3.0,121572.0,26873.0,130851.0,37729.0,20697.0,6168.0,343888.0,3.0,449278.0,95531.0,417464.0,47.0,35.0,5.8,9.2,3.1,82.3,15.5,1233.0,1686.0,65.7,19.2,7.9,0.8,6.4,12.2,19.5,1.8,13814.0,368151.0,83193.0,368244.0,82994.0,38309.0,1379.0,30.7,36.5,28.9,93.0,7.0,89.1,10.9,36.1,12.7,9.7,13.1,9.8,11.9,13.5,9.1,10.3,13.3,12.4,14.1,11.9,12.8,10.8,15.0,12.6,10.0,9.4,10.9,9.0,10.5,7.8,12.0,9.1,11.7,12.3,12.1,13.1,14.1,13.7,12.4,11.5,8.8,9.3,9.2,10.3,11.1,9.9,9.4,8.3,4GADE,Greater Adelaide,42
2011,59620,60,99.0,1222.0,110520.0,791.0,1000.0,1959.0,9266.0,126690.0,1635.0,12327.0,18395.0,2573.0,161620.0,41517.0,3359.0,98737.0,143614.0,2.0,31645.0,5959.0,46774.0,10341.0,4050.0,1084.0,99845.0,3.0,135593.0,28367.0,97821.0,51.6,29.3,6.9,9.0,3.2,,,711.0,1310.0,64.7,18.7,8.0,1.1,7.6,11.8,26.8,1.9,,,,127559.0,8767.0,5558.0,1588.0,37.2,31.5,27.2,93.1,6.9,92.8,7.2,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4RSAU,Rest of SA,43
2012,53612,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4RSAU,Rest of SA,44
2013,53912,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4RSAU,Rest of SA,45
2014,53663,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4RSAU,Rest of SA,46
2015,53625,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4RSAU,Rest of SA,47
2016,50115,100,89.0,976.0,111776.0,662.0,766.0,1744.0,7710.0,125137.0,1441.0,11583.0,18128.0,2019.0,158308.0,44290.0,3418.0,98639.0,146344.0,2.0,29786.0,6514.0,47730.0,10104.0,4600.0,1109.0,99845.0,3.0,132959.0,30495.0,103078.0,50.3,30.0,6.8,9.4,3.5,75.0,22.3,837.0,1290.0,64.3,17.4,7.9,0.9,9.5,12.2,27.8,1.9,2768.0,117734.0,18213.0,128558.0,11512.0,3696.0,1640.0,37.2,31.4,27.1,94.7,5.3,92.1,7.9,41.6,17.7,4.7,16.6,4.4,16.3,19.0,4.5,4.9,15.3,20.3,18.4,17.8,15.7,13.2,23.8,18.2,2.7,5.5,4.8,4.7,4.3,3.8,7.6,5.8,21.4,20.5,19.3,19.1,17.8,18.1,16.6,17.2,4.9,5.5,5.3,5.1,4.7,7.4,4.3,4.2,4RSAU,Rest of SA,48
2011,355707,89,24236.0,30600.0,573526.0,4943.0,9312.0,11350.0,19907.0,681645.0,41112.0,29476.0,94106.0,11293.0,857632.0,148017.0,26663.0,452423.0,627098.0,3.0,174057.0,36048.0,174960.0,44767.0,22580.0,9039.0,461448.0,3.0,612557.0,127257.0,509128.0,48.7,35.4,4.7,8.3,2.9,,,1374.0,2148.0,63.9,20.1,7.1,1.0,7.9,9.4,15.6,1.9,,,,492962.0,74516.0,56756.0,2583.0,29.3,39.8,27.6,89.0,11.0,90.8,9.2,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5GPER,Greater Perth,49
2012,351746,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5GPER,Greater Perth,50
2013,371773,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5GPER,Greater Perth,51
2014,380995,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5GPER,Greater Perth,52
2015,388788,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5GPER,Greater Perth,53
2016,376446,125,25864.0,34063.0,632322.0,4344.0,9405.0,12947.0,18947.0,744313.0,40319.0,35527.0,91191.0,8846.0,920196.0,159002.0,27644.0,503642.0,690280.0,3.0,199092.0,39422.0,193034.0,48957.0,25603.0,9214.0,515328.0,3.0,676283.0,153512.0,564355.0,49.0,35.4,4.4,8.2,3.0,86.6,11.2,1600.0,2132.0,63.2,20.9,7.1,0.8,8.0,9.9,17.9,1.8,15747.0,545345.0,89261.0,530833.0,110152.0,45418.0,2245.0,28.1,41.9,26.7,90.7,9.3,90.1,9.9,27.7,15.2,11.5,15.1,11.5,13.8,16.6,10.5,12.6,15.9,14.8,17.5,13.8,15.5,11.9,19.3,14.2,12.1,11.5,13.4,10.1,12.5,8.3,14.7,9.9,14.0,14.4,14.4,15.5,17.4,15.9,14.8,13.5,11.0,11.4,11.3,12.0,13.2,12.1,10.9,8.9,5GPER,Greater Perth,54
2011,76131,65,150.0,9935.0,151725.0,1552.0,2401.0,5200.0,15691.0,189668.0,3472.0,14330.0,26099.0,3756.0,237325.0,40749.0,5028.0,121285.0,167064.0,3.0,44982.0,7786.0,51918.0,12988.0,4741.0,1435.0,123859.0,3.0,156226.0,44018.0,114235.0,49.0,34.8,4.4,8.5,3.4,,,893.0,1807.0,60.3,20.6,6.6,1.3,11.2,9.1,21.6,1.9,,,,145808.0,9814.0,6237.0,4795.0,30.4,30.4,35.3,92.7,7.3,92.3,7.7,82.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5RWAU,Rest of WA,55
2012,73254,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5RWAU,Rest of WA,56
2013,77451,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5RWAU,Rest of WA,57
2014,78774,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5RWAU,Rest of WA,58
2015,78623,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5RWAU,Rest of WA,59
2016,74993,125,136.0,10467.0,156126.0,1396.0,2301.0,4593.0,12660.0,189991.0,2415.0,13770.0,25277.0,3978.0,235431.0,45207.0,5050.0,126238.0,176495.0,3.0,45463.0,8147.0,54809.0,13277.0,5509.0,1653.0,128867.0,3.0,159662.0,48192.0,124518.0,48.5,34.4,4.5,8.9,3.6,79.3,17.7,1071.0,1795.0,60.0,20.0,6.7,1.0,12.3,9.5,23.3,1.9,4842.0,137686.0,22710.0,154990.0,12413.0,3665.0,4088.0,30.3,31.0,34.7,94.0,6.0,91.5,8.5,65.1,20.0,5.3,20.4,5.4,16.3,23.4,4.9,5.8,19.0,19.4,23.3,15.8,14.6,12.7,33.4,19.6,4.4,5.3,6.0,4.8,4.9,4.7,8.0,5.3,20.0,18.3,19.1,19.0,22.2,22.6,19.3,19.7,4.5,5.4,5.2,5.3,5.9,5.6,5.2,4.7,5RWAU,Rest of WA,60
2011,47397,80,51.0,4311.0,65881.0,484.0,879.0,821.0,5263.0,78473.0,1471.0,3409.0,12212.0,1305.0,96870.0,23209.0,3152.0,55982.0,82352.0,2.0,19123.0,3909.0,22484.0,7432.0,2998.0,820.0,56768.0,3.0,70466.0,18358.0,65442.0,45.2,35.3,6.3,9.9,3.2,,,1028.0,1570.0,64.8,19.4,8.1,1.1,6.6,11.7,19.0,1.8,,,,67939.0,5309.0,8680.0,361.0,33.6,35.8,27.5,92.0,8.0,89.5,10.5,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6GHOB,Greater Hobart,61
2012,45167,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6GHOB,Greater Hobart,62
2013,47252,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6GHOB,Greater Hobart,63
2014,45785,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6GHOB,Greater Hobart,64
2015,46535,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6GHOB,Greater Hobart,65
2016,46415,100,57.0,4258.0,68038.0,668.0,1134.0,836.0,5475.0,81100.0,1537.0,3934.0,11412.0,900.0,98883.0,24851.0,3371.0,57405.0,85630.0,2.0,19215.0,3946.0,23355.0,7608.0,3268.0,883.0,58276.0,3.0,70238.0,20560.0,69548.0,44.1,36.3,6.0,10.2,3.3,80.6,17.1,1154.0,1531.0,64.6,18.9,8.1,1.0,7.4,11.8,21.0,1.8,2205.0,62715.0,15546.0,72613.0,5099.0,7324.0,351.0,32.9,35.2,28.6,94.7,5.3,89.1,10.9,38.6,12.0,8.6,13.4,9.1,11.5,12.5,8.4,8.8,12.3,10.9,13.5,11.7,11.9,10.8,14.9,12.7,8.3,7.4,9.9,8.3,9.4,7.8,10.8,8.8,9.7,10.6,10.8,12.5,13.5,15.5,12.1,11.9,6.3,7.3,7.3,9.0,10.3,10.3,8.8,8.0,6GHOB,Greater Hobart,66
2011,46817,60,47.0,1181.0,85857.0,656.0,489.0,1134.0,5522.0,96217.0,1091.0,6295.0,14601.0,1844.0,120048.0,30825.0,3049.0,76595.0,110476.0,2.0,24923.0,5258.0,33950.0,8863.0,3538.0,898.0,77432.0,3.0,101574.0,23338.0,79279.0,49.4,30.8,6.7,9.8,3.3,,,786.0,1338.0,65.8,19.2,7.2,0.9,6.8,11.6,19.9,1.9,,,,98573.0,5024.0,5829.0,996.0,38.1,33.0,25.6,92.8,7.2,91.3,8.7,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6RTAS,Rest of Tas.,67
2012,43945,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6RTAS,Rest of Tas.,68
2013,44594,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6RTAS,Rest of Tas.,69
2014,41903,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6RTAS,Rest of Tas.,70
2015,41764,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6RTAS,Rest of Tas.,71
2016,40789,100,43.0,954.0,85744.0,621.0,523.0,1126.0,4944.0,95052.0,1001.0,6203.0,13797.0,1352.0,117405.0,33666.0,3120.0,75163.0,111949.0,2.0,22884.0,5239.0,34494.0,8523.0,4031.0,903.0,76066.0,3.0,97167.0,24960.0,82841.0,47.6,31.6,6.7,10.4,3.6,76.0,21.3,907.0,1314.0,65.7,17.6,7.1,0.8,8.8,11.8,21.5,1.8,2414.0,85384.0,17770.0,100385.0,6284.0,3931.0,840.0,37.7,32.2,26.4,95.0,5.0,90.4,9.6,27.3,17.1,7.7,16.0,7.1,15.1,19.0,7.1,8.4,14.9,17.5,19.5,16.4,15.1,13.0,24.4,17.3,5.6,7.7,9.1,7.5,7.3,6.1,12.3,8.6,18.2,17.5,17.3,17.5,18.5,15.2,16.0,15.2,7.2,7.8,7.5,7.7,8.7,4.8,7.2,6.9,6RTAS,Rest of Tas.,72
2011,28598,78,32.0,2058.0,44371.0,1009.0,1664.0,972.0,3087.0,53662.0,961.0,1682.0,5813.0,927.0,63045.0,8259.0,2563.0,27912.0,38731.0,3.0,11185.0,1920.0,10661.0,3283.0,1294.0,470.0,28808.0,3.0,32864.0,12520.0,31976.0,42.0,42.9,2.7,9.0,3.3,,,1530.0,2288.0,59.5,19.4,6.1,1.1,13.9,7.2,16.9,1.9,,,,24868.0,4989.0,7652.0,1119.0,17.9,36.7,41.9,90.4,9.6,89.5,10.5,99.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7GDAR,Greater Darwin,73
2012,26887,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7GDAR,Greater Darwin,74
2013,28533,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7GDAR,Greater Darwin,75
2014,30284,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7GDAR,Greater Darwin,76
2015,32912,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7GDAR,Greater Darwin,77
2016,33266,100,47.0,4126.0,50578.0,1043.0,1503.0,884.0,2831.0,61403.0,1949.0,1742.0,5439.0,824.0,71357.0,8957.0,2574.0,31515.0,43043.0,3.0,13132.0,2013.0,12298.0,3165.0,1433.0,515.0,32561.0,3.0,37843.0,15087.0,35340.0,43.9,42.1,2.6,8.2,3.2,84.8,11.7,1835.0,2383.0,59.5,20.4,5.6,0.7,13.8,7.7,17.5,1.8,2553.0,27695.0,9525.0,27239.0,4645.0,10059.0,852.0,16.7,35.1,44.4,93.2,6.8,90.0,10.0,119.6,13.2,10.2,12.8,10.2,12.1,14.2,9.0,11.0,12.8,12.4,15.9,10.9,13.5,9.8,16.6,13.9,10.1,9.1,12.3,8.4,11.4,6.3,12.0,9.9,11.2,12.0,11.6,13.3,15.7,14.0,12.7,11.9,7.7,9.1,8.4,10.4,12.4,8.9,9.9,8.7,7GDAR,Greater Darwin,78
2011,9389,100,13.0,1136.0,18582.0,400.0,1064.0,562.0,7628.0,29672.0,584.0,1061.0,2539.0,916.0,34772.0,5065.0,958.0,16135.0,22157.0,3.0,8209.0,926.0,5651.0,3153.0,885.0,387.0,19220.0,3.0,21701.0,7011.0,25258.0,44.6,41.2,3.9,6.8,3.4,,,617.0,1909.0,51.3,20.3,12.7,3.7,12.0,11.6,16.3,2.1,,,,16321.0,1897.0,2434.0,1350.0,11.8,20.0,61.7,95.5,4.5,93.8,6.2,1401.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7RNTE,Rest of NT,79
2012,8833,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7RNTE,Rest of NT,80
2013,9448,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7RNTE,Rest of NT,81
2014,9571,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7RNTE,Rest of NT,82
2015,10160,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7RNTE,Rest of NT,83
2016,9869,120,12.0,689.0,18070.0,335.0,1036.0,534.0,5705.0,26572.0,477.0,886.0,2167.0,650.0,30752.0,5269.0,864.0,15881.0,22013.0,3.0,7713.0,952.0,5841.0,2981.0,987.0,502.0,18964.0,3.0,20742.0,7454.0,25002.0,43.7,42.5,4.0,6.2,3.7,67.6,26.9,745.0,1945.0,49.0,19.2,11.7,3.5,16.6,11.0,16.8,2.1,4131.0,10879.0,5252.0,15862.0,3205.0,1307.0,1329.0,12.5,18.8,62.0,97.0,3.0,92.8,7.2,1166.4,15.8,2.8,16.8,2.8,13.0,18.6,2.7,3.0,18.8,14.1,17.6,12.1,11.6,8.8,25.7,20.2,3.1,2.7,3.4,2.4,3.1,2.8,3.9,2.4,13.3,13.7,14.4,14.7,18.2,12.5,15.3,16.6,3.0,3.0,2.9,3.3,3.5,,2.7,1.1,7RNTE,Rest of NT,84
2011,107776,140,127.0,11024.0,135571.0,1799.0,4669.0,1321.0,8136.0,163954.0,3362.0,5314.0,21032.0,1958.0,195620.0,30249.0,7198.0,91979.0,129425.0,3.0,36656.0,6536.0,35150.0,9267.0,4336.0,1451.0,93397.0,3.0,124924.0,27590.0,105844.0,47.3,38.2,3.9,7.9,2.6,,,1535.0,2231.0,66.0,19.9,7.3,1.1,5.7,10.6,21.2,1.8,,,,94267.0,18813.0,16070.0,230.0,28.4,38.9,30.6,92.2,7.8,92.0,8.0,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8ACTE,Australian Capital Territory,85
2012,104255,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8ACTE,Australian Capital Territory,86
2013,106727,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8ACTE,Australian Capital Territory,87
2014,106396,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8ACTE,Australian Capital Territory,88
2015,106791,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8ACTE,Australian Capital Territory,89
