yr,num_bsns_num_non_emply_bsns_num,num_bsns_1_4_emplys_num,num_bsns_5_19_emplys_num,num_bsns_20_pls_emplys_num,num_bsns_tot_num_bsns_num,bsns_entries_num_non_emply_bsns_entries_num,bsns_entries_1_4_emplys_num,bsns_entries_5_19_emplys_num,bsns_entries_20_pls_emplys_num,bsns_entries_tot_num_bsns_entries_num,bsns_exits_num_non_emply_bsns_exits_num,bsns_exits_1_4_emplys_num,bsns_exits_5_19_emplys_num,bsns_exits_20_pls_emplys_num,bsns_exits_tot_num_bsns_exits_num,num_bsns_by_industry_agri_frsty_fish_num,num_bsns_by_industry_mining_num,num_bsns_by_industry_manu_num,num_bsns_by_industry_elec_gas_water_wst_num,num_bsns_by_industry_cons_num,num_bsns_by_industry_whsl_trade_num,num_bsns_by_industry_rtl_trade_num,num_bsns_by_industry_accom_food_num,num_bsns_by_industry_trns_pstl_whse_num,num_bsns_by_industry_info_med_coms_num,num_bsns_by_industry_fin_insur_num,num_bsns_by_industry_rent_hiring_rlst_num,num_bsns_by_industry_pro_sci_tech_num,num_bsns_by_industry_admt_supp_num,num_bsns_by_industry_pub_admt_safety_num,num_bsns_by_industry_edu_training_num,num_bsns_by_industry_hlth_care_soc_asst_num,num_bsns_by_industry_arts_rec_num,num_bsns_by_industry_oth_num,num_bsns_by_industry_currly_unk_num,num_bsns_by_industry_tot_num,bld_approvals_priv_sector_houses_num,bld_approvals_priv_sector_dwl_excluding_houses_num,bld_approvals_tot_priv_sector_dwl_units_num,bld_approvals_tot_dwl_units_num,bld_approvals_value_priv_sector_houses_audm,bld_approvals_value_priv_sector_dwl_excluding_houses_audm,bld_approvals_value_tot_priv_sectors_dwl_units_audm,bld_approvals_value_tot_resial_bld_audm,bld_approvals_value_tot_non_resial_bld_audm,bld_approvals_value_tot_bld_audm,resial_property_prices_houses_num_trfs_num,resial_property_prices_houses_med_sale_price_aud,resial_property_prices_attached_dwl_num_trfs_num,resial_property_prices_attached_dwl_med_sale_price_aud,avg_hsld_net_worth_avg_hsld_net_worth_aud,patents_trademarks_patent_applicants_num,patents_trademarks_trademark_applicants_num,p_inslv_tot_debt_ent_bsns_rel_p_inslv_num,p_inslv_tot_debt_ent_non_bsns_rel_p_inslv_num,p_inslv_tot_debt_ent_p_inslv_num,slct_caus_p_inslv_bsns_rel_inslv_caus_economic_cond_num,slct_caus_p_inslv_non_bsns_rel_inslv_caus_exc_use_credit_num,slct_caus_p_inslv_non_bsns_rel_inslv_caus_unemp_loss_inc_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_managers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_pros_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_tech_trades_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_cmty_p_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_clrc_admt_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_sales_wrkers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_mach_ops_drivers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_labourers_num,occ_debt_ent_bsns_non_bsns_rel_p_inslv_debt_oth_unk_occ_num,regd_mtr_vhcls_num_by_type_vehicle_pax_vehicles_num,regd_mtr_vhcls_num_by_type_vehicle_campervans_num,regd_mtr_vhcls_num_by_type_vehicle_light_comc_vehicles_num,regd_mtr_vhcls_num_by_type_vehicle_light_rigid_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_heavy_rigid_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_articulated_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_nfc_trucks_num,regd_mtr_vhcls_num_by_type_vehicle_buses_num,regd_mtr_vhcls_num_by_type_vehicle_motorcycles_num,regd_mtr_vhcls_num_by_type_fuel_petrol_num,regd_mtr_vhcls_num_by_type_fuel_diesel_num,regd_mtr_vhcls_num_by_type_fuel_lpg_dual_oth_num,regd_mtr_vhcls_num_by_type_fuel_electric_num,regd_mtr_vhcls_yr_manu_less_5_yrs_num,regd_mtr_vhcls_yr_manu_5_10_yrs_num,regd_mtr_vhcls_yr_manu_ov_10_yrs_num,regd_mtr_vhcls_yr_manu_tot_regd_mtr_vhcls_num,tourist_accom_est_est_15_pls_rooms_num,empy_by_industry_agri_frsty_fish_pr100,empy_by_industry_mining_pr100,empy_by_industry_manu_pr100,empy_by_industry_elec_gas_water_wst_pr100,empy_by_industry_cons_pr100,empy_by_industry_whsl_trade_pr100,empy_by_industry_rtl_trade_pr100,empy_by_industry_accom_food_pr100,empy_by_industry_trns_pstl_whse_pr100,empy_by_industry_info_med_coms_pr100,empy_by_industry_fin_insur_pr100,empy_by_industry_rent_hiring_rlst_pr100,empy_by_industry_pro_sci_tech_pr100,empy_by_industry_admt_supp_pr100,empy_by_industry_pub_admt_safety_pr100,empy_by_industry_edu_training_pr100,empy_by_industry_hlth_care_soc_asst_pr100,empy_by_industry_arts_rec_pr100,empy_by_industry_oth_pr100,empy_by_industry_tot_empy_num,gcc_code16,gcc_name16,ogc_fid
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,1499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.0,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,26
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8871.0,830.0,9701.0,10054.0,2601.0,142.0,2743.0,2896.0,2427.0,5324.0,,,,,,237.0,1347.0,354.0,1408.0,1762.0,157.0,381.0,510.0,164.0,128.0,252.0,160.0,173.0,134.0,176.0,310.0,265.0,866235.0,5133.0,264462.0,9090.0,33257.0,13247.0,1727.0,7350.0,60706.0,923006.0,260988.0,77121.0,112.0,242065.0,325471.0,693351.0,1260887.0,465.0,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,27
2014,79422.0,35614.0,13090.0,2527.0,130646.0,,,,,,,,,,,33888.0,306.0,4928.0,399.0,20987.0,3212.0,8338.0,5770.0,6813.0,542.0,7667.0,10931.0,8864.0,3222.0,289.0,1223.0,5120.0,1378.0,5563.0,1210.0,130646.0,9314.0,758.0,10072.0,10242.0,2792.0,140.0,2932.0,3072.0,1677.0,4749.0,25752.0,307500.0,3287.0,241000.0,749840.0,207.0,1323.0,353.0,1403.0,1756.0,154.0,356.0,509.0,148.0,129.0,266.0,164.0,180.0,150.0,162.0,295.0,262.0,880072.0,5299.0,273524.0,9232.0,33137.0,13680.0,1696.0,7350.0,62331.0,926282.0,286497.0,73460.0,146.0,254626.0,323940.0,707825.0,1286391.0,465.0,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,28
2015,79784.0,36253.0,12623.0,2462.0,131120.0,8997.0,3660.0,509.0,69.0,13236.0,9988.0,2571.0,597.0,78.0,13235.0,33431.0,315.0,4925.0,402.0,21216.0,3183.0,8205.0,5878.0,6758.0,557.0,8092.0,11050.0,8971.0,3235.0,310.0,1248.0,5358.0,1377.0,5657.0,948.0,131120.0,9875.0,927.0,10802.0,10970.0,3003.0,174.0,3176.0,3322.0,1199.0,4521.0,22712.0,297000.0,4076.0,250000.0,,207.0,1589.0,310.0,1285.0,1595.0,98.0,384.0,459.0,143.0,102.0,229.0,174.0,135.0,163.0,177.0,245.0,227.0,890084.0,5496.0,281003.0,9512.0,32734.0,13712.0,1688.0,7358.0,63991.0,925812.0,310782.0,68850.0,167.0,257788.0,327055.0,720153.0,1304996.0,478.0,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,29
2016,80641.0,36725.0,12519.0,2457.0,132337.0,9231.0,3935.0,485.0,56.0,13705.0,9960.0,2619.0,624.0,65.0,13268.0,32941.0,295.0,4935.0,397.0,21623.0,3249.0,8158.0,6048.0,6800.0,563.0,8428.0,11225.0,9176.0,3285.0,298.0,1242.0,5549.0,1391.0,5763.0,971.0,132337.0,10033.0,780.0,10813.0,10854.0,3176.0,165.0,3341.0,3453.0,1660.0,5113.0,23455.0,310000.0,3986.0,260000.0,695997.0,,,297.0,1260.0,1557.0,94.0,372.0,426.0,153.0,108.0,217.0,179.0,136.0,135.0,158.0,234.0,237.0,903655.0,5630.0,288979.0,9634.0,32834.0,13786.0,1659.0,7582.0,65817.0,928986.0,336046.0,64247.0,165.0,269084.0,326951.0,732866.0,1328901.0,475.0,7.7,0.7,8.1,1.5,8.8,2.2,10.6,7.0,3.9,1.0,1.9,1.1,4.2,2.8,6.1,8.7,14.3,1.5,3.6,618583.0,2RVIC,Rest of Vic.,30
2017,81890.0,36848.0,12687.0,2495.0,133920.0,9505.0,3842.0,507.0,48.0,13907.0,9620.0,2610.0,674.0,75.0,12980.0,32608.0,287.0,4966.0,416.0,22261.0,3274.0,7943.0,6148.0,6889.0,583.0,8808.0,11416.0,9410.0,3343.0,289.0,1266.0,5722.0,1425.0,5953.0,916.0,133920.0,9456.0,630.0,10086.0,10138.0,3189.0,137.0,3325.0,3466.0,1904.0,5370.0,,,,,,,,322.0,1297.0,1619.0,112.0,414.0,440.0,145.0,127.0,255.0,191.0,157.0,129.0,148.0,268.0,199.0,919486.0,5666.0,298383.0,10342.0,33175.0,14387.0,1716.0,7615.0,67040.0,935090.0,372851.0,60811.0,247.0,273734.0,334210.0,749016.0,1356960.0,,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,31
2018,83897.0,37669.0,12264.0,2483.0,136316.0,10418.0,3893.0,452.0,56.0,14821.0,10070.0,2797.0,626.0,83.0,13570.0,32326.0,290.0,5134.0,412.0,22912.0,3255.0,7819.0,6150.0,7342.0,600.0,9075.0,11598.0,9813.0,3514.0,285.0,1285.0,6016.0,1476.0,6084.0,924.0,136316.0,11098.0,1452.0,12550.0,12645.0,3846.0,385.0,4231.0,4387.0,2197.0,6584.0,,,,,,,,293.0,1236.0,1533.0,99.0,438.0,396.0,158.0,120.0,229.0,199.0,146.0,113.0,163.0,233.0,169.0,939416.0,5884.0,309452.0,11046.0,33402.0,14852.0,1726.0,7647.0,68746.0,944769.0,402645.0,56165.0,321.0,276399.0,345409.0,770166.0,1392019.0,,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,32
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932.0,5139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,1.3,9.3,1.2,8.3,4.1,10.1,6.0,5.7,1.4,3.4,1.7,8.3,3.3,7.4,8.1,12.4,1.3,3.7,1010616.0,3GBRI,Greater Brisbane,33
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.0,5902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,34
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6992.0,6953.0,13945.0,13983.0,2349.0,1383.0,3732.0,3853.0,4081.0,7934.0,,,,,,1051.0,6014.0,876.0,3175.0,4051.0,375.0,1015.0,1045.0,388.0,389.0,620.0,389.0,590.0,359.0,400.0,485.0,431.0,1265819.0,5183.0,276643.0,15564.0,28300.0,8152.0,3381.0,9109.0,72595.0,1348818.0,305295.0,24795.0,103.0,471366.0,523438.0,680461.0,1675265.0,193.0,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,35
2014,112494.0,49935.0,17730.0,4952.0,185106.0,,,,,,,,,,,5856.0,816.0,7868.0,509.0,31111.0,6822.0,11412.0,6716.0,12069.0,1547.0,16720.0,21542.0,26232.0,7845.0,657.0,2726.0,11608.0,2274.0,8071.0,2732.0,185106.0,9300.0,11677.0,20977.0,21220.0,2945.0,2757.0,5702.0,5887.0,3207.0,9094.0,36800.0,465000.0,13913.0,400000.0,816090.0,996.0,5743.0,727.0,3076.0,3803.0,290.0,932.0,1068.0,337.0,353.0,594.0,371.0,526.0,334.0,441.0,448.0,399.0,1283264.0,5235.0,284230.0,15681.0,28113.0,8331.0,3529.0,9247.0,76073.0,1350835.0,332854.0,23306.0,113.0,483942.0,515331.0,704554.0,1703827.0,192.0,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,36
2015,112762.0,51101.0,17838.0,4903.0,186605.0,18094.0,7518.0,937.0,154.0,26707.0,19018.0,4683.0,1011.0,185.0,24903.0,5683.0,816.0,7704.0,508.0,31431.0,6765.0,11176.0,7020.0,12192.0,1554.0,17330.0,21727.0,26550.0,7906.0,634.0,2869.0,12128.0,2223.0,8203.0,2178.0,186605.0,11114.0,18177.0,29291.0,29625.0,3506.0,4299.0,7805.0,8054.0,3283.0,11338.0,37558.0,480000.0,18010.0,408000.0,,1014.0,6145.0,576.0,3040.0,3616.0,206.0,984.0,1058.0,349.0,306.0,516.0,391.0,566.0,309.0,408.0,433.0,338.0,1313778.0,5593.0,291968.0,15963.0,28146.0,8284.0,3592.0,9212.0,79671.0,1367015.0,359633.0,21636.0,132.0,490967.0,512593.0,742271.0,1745831.0,219.0,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,37
2016,116699.0,52218.0,18062.0,4879.0,191857.0,20901.0,8231.0,944.0,121.0,30200.0,18522.0,5004.0,1080.0,191.0,24797.0,5478.0,805.0,7625.0,543.0,32446.0,6846.0,11158.0,7323.0,12993.0,1630.0,18386.0,22088.0,27124.0,8241.0,637.0,2994.0,12709.0,2249.0,8444.0,2137.0,191857.0,11742.0,19482.0,31224.0,31428.0,3839.0,5052.0,8890.0,9100.0,4500.0,13600.0,38869.0,495000.0,16262.0,410000.0,863625.0,,,727.0,3291.0,4018.0,243.0,1110.0,1112.0,401.0,372.0,570.0,448.0,598.0,319.0,430.0,512.0,368.0,1349999.0,6042.0,304634.0,16631.0,29066.0,8214.0,3621.0,9192.0,83145.0,1387769.0,393326.0,19988.0,188.0,512310.0,518051.0,769687.0,1800048.0,225.0,0.9,1.2,6.5,1.1,8.6,3.0,9.5,6.5,5.7,1.4,3.2,2.0,7.9,3.5,7.1,9.2,13.1,1.5,3.8,1073778.0,3GBRI,Greater Brisbane,38
2017,122181.0,53282.0,18550.0,5044.0,199059.0,23166.0,8430.0,955.0,95.0,32646.0,18735.0,4913.0,1121.0,212.0,24993.0,5404.0,802.0,7604.0,571.0,33814.0,6877.0,11241.0,7635.0,14889.0,1702.0,19293.0,22446.0,27945.0,8694.0,642.0,3139.0,13200.0,2370.0,8732.0,2060.0,199059.0,12134.0,12511.0,24645.0,24864.0,4003.0,3378.0,7381.0,7572.0,4153.0,11725.0,,,,,,,,707.0,3335.0,4042.0,205.0,1279.0,1027.0,355.0,366.0,609.0,436.0,587.0,363.0,489.0,476.0,361.0,1385319.0,6585.0,317032.0,16933.0,29453.0,8322.0,3491.0,9216.0,87632.0,1415148.0,431132.0,18352.0,282.0,520875.0,522415.0,809871.0,1853161.0,,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,39
2018,128298.0,54852.0,17734.0,4768.0,205647.0,25544.0,7949.0,820.0,98.0,34415.0,20812.0,5438.0,1113.0,197.0,27563.0,5284.0,772.0,7481.0,608.0,34187.0,6946.0,11269.0,7791.0,17445.0,1848.0,20179.0,22789.0,28868.0,9138.0,672.0,3224.0,13793.0,2468.0,8977.0,1920.0,205647.0,14910.0,10535.0,25445.0,25766.0,4739.0,2987.0,7726.0,8033.0,3451.0,11484.0,,,,,,,,771.0,3639.0,4418.0,209.0,1481.0,1055.0,459.0,409.0,601.0,521.0,591.0,398.0,511.0,551.0,379.0,1406889.0,7005.0,329219.0,17849.0,30510.0,8878.0,3496.0,9431.0,89014.0,1419946.0,465373.0,16537.0,400.0,522166.0,533199.0,836128.0,1892010.0,,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,40
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.0,4059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,3.9,7.6,1.2,9.7,3.2,11.3,7.9,4.8,1.1,2.0,1.9,4.7,3.1,6.0,7.7,11.4,1.5,4.0,1024830.0,3RQLD,Rest of Qld,41
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817.0,4169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.0,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,42
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11540.0,4792.0,16332.0,16742.0,3547.0,1098.0,4645.0,4927.0,4491.0,9418.0,,,,,,735.0,4490.0,1310.0,3721.0,5031.0,581.0,1075.0,1307.0,519.0,518.0,815.0,513.0,556.0,518.0,409.0,635.0,548.0,1283608.0,7655.0,431066.0,17604.0,43837.0,12628.0,2109.0,11771.0,100844.0,1417544.0,465766.0,24114.0,47.0,429033.0,589331.0,881343.0,1899707.0,944.0,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,43
2014,142089.0,58259.0,22876.0,5644.0,228862.0,,,,,,,,,,,36367.0,1127.0,8601.0,580.0,40182.0,6285.0,14224.0,9424.0,12580.0,1384.0,14708.0,26757.0,19065.0,7826.0,738.0,2629.0,10139.0,2485.0,11046.0,2708.0,228862.0,11819.0,5964.0,17783.0,18051.0,3584.0,1324.0,4908.0,5153.0,3268.0,8421.0,37982.0,397250.0,14562.0,330000.0,680928.0,640.0,4323.0,1102.0,3795.0,4897.0,504.0,1057.0,1358.0,455.0,373.0,831.0,515.0,579.0,468.0,440.0,639.0,597.0,1300904.0,7905.0,449146.0,18398.0,44629.0,13268.0,2047.0,11928.0,104415.0,1417511.0,507900.0,22864.0,62.0,448963.0,578183.0,913628.0,1940774.0,932.0,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,44
2015,141364.0,58687.0,22372.0,5531.0,227950.0,18816.0,7668.0,1039.0,134.0,27648.0,22049.0,5430.0,1352.0,254.0,29083.0,35590.0,1044.0,8555.0,604.0,39694.0,6185.0,13970.0,9581.0,12287.0,1371.0,15335.0,26893.0,19220.0,7926.0,682.0,2692.0,10586.0,2495.0,11081.0,2156.0,227950.0,11737.0,4989.0,16726.0,17079.0,3583.0,1195.0,4778.0,5020.0,2789.0,7810.0,35706.0,415000.0,20188.0,345000.0,,546.0,4695.0,990.0,3736.0,4726.0,404.0,1069.0,1393.0,407.0,340.0,793.0,548.0,532.0,420.0,518.0,662.0,506.0,1331154.0,8389.0,459961.0,18774.0,44248.0,12847.0,2121.0,12090.0,107297.0,1428243.0,541878.0,21376.0,77.0,454060.0,567062.0,962940.0,1984062.0,1011.0,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,45
2016,143356.0,60053.0,22337.0,5338.0,231083.0,20792.0,8439.0,1022.0,116.0,30362.0,20985.0,5390.0,1357.0,248.0,27973.0,35353.0,1011.0,8553.0,639.0,40349.0,6230.0,13753.0,9775.0,12206.0,1370.0,16105.0,27381.0,19635.0,8105.0,705.0,2742.0,11152.0,2535.0,11309.0,2173.0,231083.0,12665.0,6850.0,19515.0,19716.0,3960.0,1929.0,5889.0,6129.0,3065.0,9194.0,35688.0,427000.0,20163.0,360000.0,727239.0,,,1163.0,3914.0,5077.0,467.0,1101.0,1486.0,475.0,397.0,775.0,551.0,499.0,503.0,639.0,693.0,545.0,1354624.0,8666.0,467360.0,19132.0,43770.0,12854.0,1974.0,11930.0,109498.0,1431504.0,572826.0,19849.0,117.0,460832.0,556751.0,999511.0,2017094.0,1010.0,4.7,3.5,5.5,1.1,9.3,2.3,10.3,8.2,4.5,1.0,1.9,2.0,4.6,3.5,6.0,8.8,12.8,1.6,4.0,1059525.0,3RQLD,Rest of Qld,46
2017,147142.0,60759.0,22671.0,5359.0,235924.0,21701.0,8263.0,1041.0,110.0,31110.0,20450.0,5234.0,1365.0,210.0,27262.0,35422.0,970.0,8606.0,662.0,41188.0,6309.0,13648.0,9967.0,12882.0,1447.0,16809.0,28127.0,20128.0,8312.0,691.0,2844.0,11589.0,2586.0,11638.0,2087.0,235924.0,12167.0,5847.0,18014.0,18370.0,3934.0,2202.0,6136.0,6445.0,3995.0,10440.0,,,,,,,,1065.0,4046.0,5111.0,384.0,1345.0,1413.0,532.0,411.0,853.0,589.0,560.0,483.0,482.0,703.0,498.0,1377371.0,8988.0,477274.0,19555.0,43836.0,13050.0,1932.0,11809.0,112066.0,1441693.0,620516.0,18232.0,136.0,451858.0,557469.0,1043010.0,2052337.0,,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,47
2018,150398.0,63064.0,21692.0,5135.0,240286.0,23100.0,8290.0,847.0,104.0,32340.0,21713.0,5707.0,1320.0,205.0,28952.0,35309.0,977.0,8719.0,664.0,41649.0,6388.0,13572.0,9916.0,14193.0,1487.0,17309.0,28172.0,20754.0,8778.0,681.0,2906.0,12259.0,2667.0,11919.0,1972.0,240286.0,11515.0,5603.0,17118.0,17340.0,3929.0,1644.0,5573.0,5890.0,3902.0,9792.0,,,,,,,,1040.0,3971.0,5010.0,311.0,1346.0,1284.0,471.0,464.0,840.0,588.0,554.0,466.0,524.0,634.0,470.0,1390052.0,9321.0,489589.0,20485.0,44367.0,13225.0,1899.0,12059.0,113165.0,1432427.0,659035.0,16435.0,266.0,442199.0,565160.0,1072067.0,2079391.0,,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,48
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.0,3148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.8,10.4,1.4,7.6,3.6,11.4,6.1,4.1,1.6,3.4,1.4,6.3,3.5,7.7,8.2,14.2,1.4,4.0,576823.0,4GADE,Greater Adelaide,49
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524.0,3265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,4GADE,Greater Adelaide,50
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4580.0,1896.0,6476.0,6801.0,1256.0,436.0,1692.0,1782.0,1489.0,3270.0,,,,,,506.0,3348.0,267.0,1322.0,1589.0,100.0,417.0,452.0,135.0,120.0,217.0,168.0,202.0,141.0,147.0,186.0,273.0,785171.0,2323.0,103370.0,4601.0,13388.0,3545.0,1586.0,3920.0,34422.0,836190.0,107215.0,8636.0,87.0,205735.0,265894.0,479354.0,950983.0,107.0,,,,,,,,,,,,,,,,,,,,,4GADE,Greater Adelaide,51
2014,70799.0,22990.0,9720.0,2574.0,106078.0,,,,,,,,,,,4331.0,400.0,4876.0,303.0,16531.0,4006.0,6736.0,4038.0,6444.0,807.0,12780.0,13133.0,11910.0,4113.0,316.0,1212.0,7091.0,1141.0,4543.0,1358.0,106078.0,5888.0,2609.0,8497.0,9008.0,1522.0,505.0,2026.0,2152.0,1206.0,3358.0,17150.0,406000.0,6168.0,330000.0,662234.0,436.0,3167.0,235.0,1085.0,1320.0,103.0,262.0,411.0,99.0,111.0,169.0,150.0,153.0,120.0,116.0,192.0,210.0,802828.0,2380.0,106850.0,4756.0,13220.0,3567.0,1614.0,3997.0,35517.0,846991.0,119386.0,8375.0,78.0,214966.0,263182.0,495484.0,973632.0,107.0,,,,,,,,,,,,,,,,,,,,,4GADE,Greater Adelaide,52
2015,71101.0,23295.0,9595.0,2530.0,106513.0,9771.0,2770.0,358.0,54.0,12948.0,9786.0,1962.0,475.0,83.0,12299.0,4171.0,389.0,4835.0,296.0,16673.0,3985.0,6600.0,4184.0,6407.0,826.0,13140.0,13340.0,11875.0,4166.0,333.0,1206.0,7246.0,1131.0,4566.0,1138.0,106513.0,5609.0,3344.0,8953.0,9156.0,1537.0,696.0,2234.0,2301.0,1193.0,3494.0,17468.0,425000.0,6276.0,342000.0,,448.0,3400.0,223.0,1098.0,1321.0,77.0,331.0,380.0,125.0,109.0,166.0,163.0,157.0,133.0,118.0,154.0,196.0,813341.0,2460.0,109781.0,4930.0,13374.0,3601.0,1611.0,3980.0,36295.0,850212.0,131078.0,7859.0,96.0,213163.0,266958.0,508482.0,988603.0,116.0,,,,,,,,,,,,,,,,,,,,,4GADE,Greater Adelaide,53
2016,71530.0,23695.0,9589.0,2539.0,107360.0,10090.0,3085.0,442.0,68.0,13687.0,9853.0,1980.0,524.0,77.0,12433.0,4009.0,364.0,4762.0,303.0,16975.0,3964.0,6445.0,4346.0,6338.0,812.0,13259.0,13526.0,11933.0,4247.0,321.0,1246.0,7558.0,1159.0,4658.0,1141.0,107360.0,6334.0,4009.0,10343.0,10558.0,1737.0,902.0,2639.0,2710.0,1763.0,4473.0,17351.0,440000.0,6503.0,350000.0,690172.0,,,248.0,1093.0,1341.0,89.0,303.0,389.0,128.0,97.0,186.0,151.0,166.0,115.0,126.0,173.0,199.0,824282.0,2413.0,113018.0,4976.0,13564.0,3444.0,1620.0,4091.0,36771.0,853122.0,143258.0,7435.0,146.0,218429.0,265172.0,519774.0,1003375.0,116.0,1.2,0.8,7.6,1.3,7.8,2.9,10.8,6.7,4.1,1.5,3.1,1.4,6.4,3.7,7.7,8.9,15.6,1.5,4.0,587060.0,4GADE,Greater Adelaide,54
2017,73586.0,23902.0,9574.0,2508.0,109568.0,11060.0,2982.0,419.0,59.0,14521.0,9404.0,2107.0,532.0,102.0,12143.0,3974.0,376.0,4745.0,305.0,17635.0,4029.0,6335.0,4461.0,6912.0,838.0,13504.0,13721.0,12108.0,4295.0,323.0,1256.0,7766.0,1187.0,4670.0,1131.0,109568.0,6100.0,3606.0,9706.0,9817.0,1752.0,873.0,2625.0,2674.0,2005.0,4678.0,,,,,,,,227.0,1178.0,1405.0,72.0,400.0,390.0,110.0,117.0,192.0,186.0,162.0,133.0,128.0,186.0,191.0,835182.0,2459.0,117285.0,4962.0,13492.0,3649.0,1610.0,4146.0,37233.0,977181.0,162600.0,6955.0,235.0,218663.0,268097.0,532511.0,1019271.0,,,,,,,,,,,,,,,,,,,,,,4GADE,Greater Adelaide,55
2018,76540.0,24597.0,9170.0,2435.0,112737.0,12737.0,2912.0,409.0,55.0,16109.0,9869.0,2116.0,528.0,72.0,12579.0,3920.0,353.0,4720.0,329.0,18203.0,4152.0,6238.0,4494.0,8221.0,850.0,13468.0,13901.0,12345.0,4701.0,330.0,1290.0,8072.0,1190.0,4825.0,1135.0,112737.0,6752.0,4244.0,10996.0,11050.0,1971.0,1114.0,3084.0,3136.0,2868.0,6005.0,,,,,,,,251.0,1254.0,1507.0,61.0,434.0,391.0,133.0,131.0,197.0,184.0,193.0,131.0,141.0,194.0,194.0,847351.0,2612.0,122369.0,5270.0,13787.0,3750.0,1626.0,4329.0,37257.0,971484.0,178073.0,6413.0,290.0,220774.0,272231.0,544349.0,1037395.0,,,,,,,,,,,,,,,,,,,,,,4GADE,Greater Adelaide,56
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,3.0,11.2,1.2,7.1,3.0,10.8,6.8,4.3,0.7,1.4,1.0,2.4,3.1,4.8,7.0,11.5,0.8,3.6,161620.0,4RSAU,Rest of SA,57
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,,,,,,,,,,,,,,,,,,,,,4RSAU,Rest of SA,58
