gccsa_code_2011,gccsa_name_2011,year,reg_mv_pas_vhcls,reg_mv_campervans,reg_mv_lt_comm_vhcls,reg_mv_lt_rgd_trks,reg_mv_hvy_rgd_trks,reg_mv_artcltd_trks,reg_mv_non_frght_trks,reg_mv_buses,reg_mv_mtrcycls,reg_mv_tot_vhcls,reg_mv_ptrl_fuel,reg_mv_disl_fuel,reg_mv_lpg_dl_oth_fuel,trst_accom_est_wth_15_more_rms,ag_area_hldng_ha,ag_area_brdacr_crps_crl_ha,ag_area_veg_ha,ag_area_orchd_nut_trs_ha,ag_area_all_frt_exc_grp_ha,ag_area_brdacr_crp_non_crl_ha,ag_comm_diary_ctl,ag_comm_meat_ctl,ag_comm_sheep,ag_comm_pigs,ag_grs_val_ag_prod_,ag_grs_val_crps_,ag_grs_val_livstk_slghtr_,ag_grs_val_livstk_prdct_,empl_industry_ag_frst_fsh_pc,empl_industry_mining_pc,empl_industry_mnfctrng_pc,empl_industry_elc_gs_wtr_wst_pc,empl_industry_construction_pc,empl_industry_whlsle_trd_pc,empl_industry_retail_trd_pc,empl_industry_accom_food_pc,empl_industry_trnsprt_pst_wrhsng_pc,empl_industry_infomedia_telecom_pc,empl_industry_financ_insur_pc,empl_industry_rent_rl_est_pc,empl_industry_prof_sci_tech_pc,empl_industry_admin_supp_pc,empl_industry_pub_admin_safety_pc,empl_industry_edu_train_pc,empl_industry_hlth_soc_ass_pc,empl_industry_art_rec_pc,empl_industry_oth_serv_pc,empl_industry_tot,bus_industry_ag_frst_fsh,bus_industry_mining,bus_industry_mnfctrng,bus_industry_elc_gs_wtr_wst,bus_industry_construction,bus_industry_whlsle_trd,bus_industry_retail_trd,bus_industry_accom_food,bus_industry_trnsprt_pst_wrhsng,bus_industry_infomedia_telecom,bus_industry_financ_insur,bus_industry_rent_rl_est,bus_industry_prof_sci_tech,bus_industry_admin_supp,bus_industry_pub_admin_safety,bus_industry_edu_train,bus_industry_hlth_soc_ass,bus_industry_art_rec,bus_industry_oth_serv,bus_industry_current_unkwn,bus_industry_tot
6RTAS ,Rest of Tas.,2014,171972,2933.0,60629,1776.0,5747,1309.0,181.0,1474.0,11497,257518,198146,57176,2212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4967.0,77.0,963.0,62.0,3179.0,571.0,1692.0,1112.0,1185.0,98.0,1276.0,2110.0,1533.0,509.0,52.0,162.0,945.0,208.0,991.0,243.0,21935.0
7GDAR ,Greater Darwin,2010,60588,161.0,23118,480.0,2331,615.0,204.0,1810.0,4071,93378,68797,23727,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7GDAR ,Greater Darwin,2011,61080,158.0,23828,459.0,2457,683.0,217.0,1862.0,4010,94754,68660,25239,857,,,,,,,,,,,,,,,,0.9,2.2,4.2,1.6,9.1,2.7,8.6,6.0,5.5,1.2,1.7,1.7,5.6,3.2,21.6,7.8,9.3,2.0,3.7,63044.0,567.0,62.0,405.0,22.0,2376.0,237.0,607.0,429.0,691.0,61.0,536.0,1278.0,995.0,447.0,51.0,123.0,421.0,139.0,548.0,193.0,10188.0
7GDAR ,Greater Darwin,2012,62952,159.0,24787,452.0,2511,691.0,225.0,1835.0,4193,97805,70095,26845,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.0,65.0,395.0,27.0,2419.0,250.0,618.0,431.0,713.0,49.0,562.0,1294.0,1022.0,415.0,48.0,134.0,462.0,140.0,567.0,234.0,10372.0
7GDAR ,Greater Darwin,2013,66109,157.0,27034,435.0,2639,768.0,231.0,1894.0,4601,103868,72754,30255,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.0,60.0,384.0,21.0,2403.0,241.0,567.0,417.0,676.0,55.0,605.0,1291.0,993.0,409.0,47.0,120.0,485.0,131.0,563.0,263.0,10227.0
7GDAR ,Greater Darwin,2014,67191,148.0,28625,436.0,2752,763.0,222.0,2019.0,4933,107089,73380,32926,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.0,64.0,372.0,19.0,2421.0,246.0,558.0,430.0,654.0,59.0,646.0,1350.0,1027.0,411.0,49.0,124.0,513.0,131.0,569.0,178.0,10305.0
7RNTE ,Rest of NT,2010,23190,82.0,11293,188.0,1479,395.0,107.0,1607.0,1865,40206,24882,14951,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7RNTE ,Rest of NT,2011,23773,92.0,11675,181.0,1560,378.0,104.0,1632.0,1847,41242,25261,15613,361,,,,,,,,,,,,,,,,3.6,3.7,3.6,1.0,6.5,1.1,7.4,6.5,3.3,0.8,0.6,1.0,3.7,2.8,19.9,11.0,11.4,2.8,6.7,34770.0,421.0,22.0,106.0,13.0,743.0,90.0,397.0,262.0,289.0,28.0,171.0,431.0,257.0,185.0,15.0,52.0,154.0,64.0,221.0,81.0,4002.0
7RNTE ,Rest of NT,2012,23890,88.0,12080,169.0,1581,411.0,108.0,1662.0,1909,41898,25240,16290,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0,22.0,106.0,14.0,732.0,89.0,376.0,264.0,275.0,25.0,188.0,441.0,258.0,180.0,17.0,55.0,153.0,64.0,216.0,97.0,3978.0
7RNTE ,Rest of NT,2013,24495,93.0,12705,165.0,1641,418.0,119.0,1861.0,2032,43529,25590,17562,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.0,25.0,107.0,12.0,661.0,85.0,363.0,253.0,248.0,25.0,176.0,432.0,236.0,162.0,17.0,47.0,142.0,58.0,201.0,83.0,3738.0
7RNTE ,Rest of NT,2014,24170,95.0,13037,163.0,1619,450.0,110.0,1710.0,1983,43337,24922,18073,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.0,19.0,94.0,13.0,655.0,83.0,349.0,256.0,244.0,26.0,180.0,448.0,231.0,150.0,16.0,46.0,150.0,57.0,198.0,64.0,3696.0
8ACTE ,Australian Capital Territory,2010,212982,463.0,24279,823.0,1749,183.0,90.0,973.0,11977,253519,228473,18563,6512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ACTE ,Australian Capital Territory,2011,216991,473.0,25427,885.0,1837,179.0,106.0,1039.0,12073,259010,230875,21602,6569,,,,,,,,,,,,14.2,5.2,4.5,4.4,0.2,0.1,2.1,0.8,6.1,1.2,7.6,5.8,2.3,1.9,1.8,1.2,9.8,2.4,32.7,8.8,9.2,1.7,3.2,195621.0,535.0,26.0,614.0,65.0,4983.0,478.0,1633.0,1218.0,1360.0,261.0,1675.0,2567.0,4787.0,1157.0,128.0,501.0,1634.0,402.0,1042.0,397.0,25463.0
8ACTE ,Australian Capital Territory,2012,223238,495.0,26475,925.0,1832,167.0,103.0,1035.0,12668,266938,235058,25390,6497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.0,22.0,615.0,67.0,5070.0,478.0,1634.0,1235.0,1354.0,265.0,1720.0,2563.0,4901.0,1201.0,118.0,501.0,1701.0,392.0,1055.0,497.0,25884.0
8ACTE ,Australian Capital Territory,2013,228709,495.0,27480,992.0,1770,160.0,120.0,1031.0,12890,273647,237230,29948,6501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.0,23.0,598.0,67.0,4875.0,446.0,1551.0,1212.0,1240.0,252.0,1773.0,2523.0,4683.0,1175.0,109.0,477.0,1690.0,382.0,1033.0,541.0,25098.0
8ACTE ,Australian Capital Territory,2014,232677,465.0,28536,1049.0,1762,155.0,119.0,1002.0,12842,278607,237776,34427,6411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.0,23.0,580.0,59.0,4958.0,453.0,1519.0,1335.0,1236.0,259.0,1835.0,2634.0,4618.0,1180.0,117.0,472.0,1745.0,377.0,1044.0,464.0,25352.0
9OTER ,Other Territories,2010,236,,59,,5,,,,19,324,259,51,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9OTER ,Other Territories,2011,254,,64,,5,,,,19,348,274,59,14,,,,,,,,,,,,,,,,,11.7,0.7,2.8,6.2,1.3,7.3,3.8,5.5,0.3,0.4,0.7,2.9,5.2,31.0,9.6,5.2,2.1,1.9,1156.0,,,,,,,,,,,,,,,,,,,,,
9OTER ,Other Territories,2012,263,,69,4.0,5,,,,23,367,290,62,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9OTER ,Other Territories,2013,279,,83,3.0,7,,,,26,401,312,74,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9OTER ,Other Territories,2014,269,,56,,4,,,,23,357,284,60,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
