gccsa_code_2011,gccsa_name_2011,year,p_0_14_yrs_pc,p_15_24_yrs_pc,p_25_34_yrs_pc,p_35_44_yrs_pc,p_45_54_yrs_pc,p_55_64_yrs_pc,p_65_74_yrs_pc,p_75_84_yrs_pc,p_85_yrs_plus_pc,m_0_4_yrs,m_5_9_yrs,m_10_14_yrs,m_15_19_yrs,m_20_24_yrs,m_25_29_yrs,m_30_34_yrs,m_35_39_yrs,m_40_44_yrs,m_45_49_yrs,m_50_54_yrs,m_55_59_yrs,m_60_64_yrs,m_65_69_yrs,m_70_74_yrs,m_75_79_yrs,m_80_84_yrs,m_85_yrs_and_over,m_tot,f_0_4_yrs,f_5_9_yrs,f_10_14_yrs,f_15_19_yrs,f_20_24_yrs,f_25_29_yrs,f_30_34_yrs,f_35_39_yrs,f_40_44_yrs,f_45_49_yrs,f_50_54_yrs,f_55_59_yrs,f_60_64_yrs,f_65_69_yrs,f_70_74_yrs,f_75_79_yrs,f_80_84_yrs,f_85_yrs_and_over,f_tot,p_0_4_yrs,p_5_9_yrs,p_10_14_yrs,p_15_19_yrs,p_20_24_yrs,p_25_29_yrs,p_30_34_yrs,p_35_39_yrs,p_40_44_yrs,p_45_49_yrs,p_50_54_yrs,p_55_59_yrs,p_60_64_yrs,p_65_69_yrs,p_70_74_yrs,p_75_79_yrs,p_80_84_yrs,p_85_yrs_and_over,p_tot,p_tot_wrk_age_pop_pc,m_med_age,f_med_age,p_med_age,prop_indig_ppl_pc,bd_births,bd_tot_fert_rate,bd_deaths,bd_stnd_dth_rate,pop_density,rime_net_migrtn,rime_arrivals,rime_departures,obp_oceania_antar_pc,obp_nw_europe_pc,obp_sth_east_europe_pc,obp_nrth_afric_mid_east_pc,obp_se_asia_pc,obp_ne_asia_pc,obp_sth_cntrl_asia_pc,obp_america_pc,obp_sub_saharan_africa_pc,obp_tot_pc,spk_lang_oth_eng_pc,enrl_preschl_prog_4_yrs,enrl_preschl_prog_5_yrs,enrl_preschl_prog_tot,enrl_preschl_prog_preschl,enrl_preschl_prog_preschl_daycare,enrl_preschl_prog_1_more_type,att_preschl_15_hrs_less,att_preschl_15_hrs_more,psq_pop_15_yrs_plus_pc,psq_postgrad_deg_pc,psq_grad_dip_cert_pc,psq_bach_deg_pc,psq_adv_dip_dip_pc,psq_cert_pc,psq_inad_desc_ns_pc,oep_manager_pc,oep_prof_pc,oep_tech_trade_wrk_pc,oep_comm_pers_serv_wrk_pc,oep_cler_admin_wrk_pc,oep_sal_wrk_pc,oep_mach_oper_driv_pc,oep_lab_pc,oep_inad_desc_ns_pc,mtw_1_meth_train_or_tram,mtw_1_meth_bus,mtw_1_meth_car,mtw_1_meth_motorbike_or_scooter,mtw_1_meth_bicycle,mtw_1_meth_oth,mtw_1_meth_walk_ono,mtw_1_meth_tot,mtw_more_1_meth_tot,mtw_oth_wrk_home,mtw_oth_emp_not_go_to_wrk,mtw_oth_wrk_meth_ns,mtw_tot_empl,hhold_type_lone_pers,hhold_type_group,hhold_type_fam,hhold_type_tot,hhold_avg_size,fam_type_cpl_chld_u15_dep_stu,fam_type_cpl_non_dep_chld,fam_type_cpl_wo_chld,fam_type_opf_chld_u15_dep_stu,fam_type_opf_non_dep_chld,fam_type_oth_fam,fam_type_tot,fam_avg_size,disable_p_liv_priv_dwell,disable_p_liv_priv_dwell_pc,uw_volunt_wrk_org_grp_pc,uw_care_own_chld_wo_pay_pc,uw_care_oth_chld_wo_pay_pc,uw_care_own_oth_chld_wo_pay_pc,uw_prov_care_hpl_assist_oth_pc,internet_access_broadband_pc,internet_access_dial_up_pc,internet_access_other_pc,internet_access_tot_connected_pc
3RQLD,Rest of Qld,2011,20.2,13.1,12.8,13.8,13.9,12.0,8.2,4.4,1.6,80529,79449,80683,79721,75805,77287,71622,78289,81682,80719,79757,72376,69290,55741,41443,28378,19487,13823,1166081,76302,75331,77160,75137,73685,76081,72914,79927,82682,82927,80798,71577,66799,54054,39909,30090,24246,23642,1163261,156831,154780,157843,154858,149490,153368,144536,158216,164364,163646,160555,143953,136089,109795,81352,58468,43733,37465,2329342,65.6,38,39,38,5.0,32086.0,,15239.0,,1.4,6181.0,88294.0,82113.0,4.7,6.1,1.1,0.3,1.2,0.9,0.6,0.8,1.1,23.2,6.6,,,,,,,,,52.6,1.7,1.1,9.2,7.1,21.5,12.0,12.5,15.6,16.3,10.3,13.2,10.2,8.3,11.9,1.8,3080.0,15088.0,722871.0,9343.0,11088.0,25559.0,43786.0,830815.0,13726.0,58474.0,105910.0,15904.0,1024829.0,193539.0,34607.0,586664.0,814810.0,2.5,205368.0,39268.0,250366.0,68370.0,27916.0,8389.0,599677.0,2.9,,,18.6,20.2,6.9,1.0,10.2,64.6,3.0,4.3,71.8
3RQLD,Rest of Qld,2012,20.1,13.0,12.9,13.7,13.8,11.9,8.5,4.4,1.6,81983,81356,81452,80439,77361,78933,73905,77078,84203,80187,81550,73787,68963,59359,43343,29651,19967,14511,1188028,78053,76930,77578,75814,75540,78022,74928,78654,85475,82329,83050,73656,66701,57880,41982,31092,24599,24578,1186861,160036,158286,159030,156253,152901,156955,148833,155732,169678,162516,164600,147443,135664,117239,85325,60743,44566,39089,2374889,65.3,38,39,38,,32352.0,,15591.0,,1.4,10129.0,92435.0,82306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RQLD,Rest of Qld,2013,20.0,13.0,13.0,13.5,13.6,11.9,8.8,4.5,1.7,82953,83598,81879,81164,78534,79590,76662,75922,85769,79897,82972,74942,69656,62340,44955,30974,20473,15300,1207580,78812,78870,77585,76963,76728,79236,77456,77697,87358,81788,84615,75779,67841,60779,44233,32106,24671,25771,1208288,161765,162468,159464,158127,155262,158826,154118,153619,173127,161685,167587,150721,137497,123119,89188,63080,45144,41071,2415868,65.0,38,39,38,,32100.0,2.1,15345.0,5.8,1.4,8701.0,90184.0,81483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3RQLD,Rest of Qld,2014,19.9,12.9,12.9,13.3,13.5,12.0,9.0,4.6,1.8,82786,85390,82489,81336,79303,79378,78393,75055,85986,80108,83785,76654,70351,64346,47358,32525,20881,16403,1222527,78967,80490,77844,77477,77060,79648,79556,77081,87437,82133,85590,77744,69151,62861,46762,33693,24862,27004,1225360,161753,165880,160333,158813,156363,159026,157949,152136,173423,162241,169375,154398,139502,127207,94120,66218,45743,43407,2447887,64.7,38,39,39,,32005.0,2.1,15991.0,5.7,1.4,3762.0,89372.0,85610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4GADE,Greater Adelaide,2010,17.5,14.2,13.7,13.9,13.9,11.8,7.6,5.2,2.3,37919,36033,37872,42148,48519,46091,40524,43204,43470,43822,41445,37214,34316,25134,19975,15706,12700,9457,615549,36438,34608,36258,40278,46566,44482,39967,43349,44051,45254,43676,39783,36439,27329,22715,19467,17814,19074,637548,74357,70641,74130,82426,95085,90573,80491,86553,87521,89076,85121,76997,70755,52463,42690,35173,30514,28531,1253097,67.4,37,40,39,,,,,,384.7,-3091.0,24577.0,27668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4GADE,Greater Adelaide,2011,17.4,14.1,13.8,13.7,13.8,11.9,7.8,5.2,2.3,37896,36671,37457,41972,48679,46992,41455,42232,44290,43404,42387,37529,35108,26464,20334,15844,12647,10003,621364,36729,34848,35981,40496,46861,45460,40842,42129,44608,44716,44284,40121,37276,28777,22907,19349,17654,19689,642727,74625,71519,73438,82468,95540,92452,82297,84361,88898,88120,86671,77650,72384,55241,43241,35193,30301,29692,1264091,67.3,37,40,39,1.3,15451.0,,9489.0,,388.0,-2248.0,26180.0,28428.0,1.0,10.1,4.4,0.9,2.9,1.9,2.3,0.8,1.0,29.8,17.3,,,,,,,,,53.7,3.3,1.7,13.2,7.8,18.1,9.6,11.2,21.6,14.0,10.7,15.4,9.9,5.8,9.9,1.6,9384.0,28940.0,399489.0,3262.0,6495.0,9131.0,14292.0,470993.0,13737.0,18496.0,65980.0,7616.0,576822.0,131149.0,18660.0,325618.0,475427.0,2.4,114844.0,25993.0,127894.0,36962.0,18735.0,5981.0,330409.0,2.9,,,17.7,18.9,8.1,1.0,11.8,65.6,3.4,4.1,73.1
4GADE,Greater Adelaide,2012,17.4,13.9,13.9,13.6,13.7,11.8,8.1,5.1,2.4,38955,37246,37538,41608,48663,47827,42462,41548,45194,43211,42901,38105,34588,28656,20871,16181,12653,10436,628643,37443,35740,35903,40137,46936,46064,41960,41386,45601,44322,44719,41019,37138,31120,23441,19588,17246,20194,649957,76398,72986,73441,81745,95599,93891,84422,82934,90795,87533,87620,79124,71726,59776,44312,35769,29899,30630,1278600,66.9,38,40,39,,15975.0,,9788.0,,392.5,-2076.0,26541.0,28617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4GADE,Greater Adelaide,2013,17.5,13.7,14.1,13.4,13.6,11.8,8.4,5.1,2.4,39788,38040,37416,41489,48622,48019,43960,41043,45133,43167,43161,38746,34826,30172,21512,16602,12469,10801,634966,38045,36383,35888,39891,46885,46451,43333,40988,45737,44249,45054,41559,37566,32857,24076,19888,16935,20626,656411,77833,74423,73304,81380,95507,94470,87293,82031,90870,87416,88215,80305,72392,63029,45588,36490,29404,31427,1291377,66.6,38,40,39,,15738.0,1.8,9481.0,5.6,396.4,-3662.0,25117.0,28779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4GADE,Greater Adelaide,2014,17.5,13.6,14.2,13.2,13.5,11.9,8.6,5.1,2.5,40366,38678,37627,41652,48238,48386,45423,41127,44681,43284,43270,39579,35103,31325,22285,17161,12343,11296,641824,38250,37174,35730,40160,46780,46600,44869,41098,45309,44236,45145,42243,38220,34127,24884,20401,16556,21025,662807,78616,75852,73357,81812,95018,94986,90292,82225,89990,87520,88415,81822,73323,65452,47169,37562,28899,32321,1304631,66.3,38,40,39,,16082.0,1.8,9934.0,5.6,400.5,-3520.0,25810.0,29330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4RSAU,Rest of SA,2010,19.0,11.7,10.7,12.9,14.5,13.6,9.6,5.8,2.1,11815,11912,12862,12396,10490,10348,10031,11713,12936,14114,13951,13299,12901,10384,7879,5812,4252,2721,189816,11105,11294,12202,11538,9398,9804,9729,11413,12261,13298,13074,12493,12267,9984,7821,6224,5236,5268,184409,22920,23206,25064,23934,19888,20152,19760,23126,25197,27412,27025,25792,25168,20368,15700,12036,9488,7989,374225,63.5,41,42,42,,,,,,0.4,386.0,15618.0,15232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4RSAU,Rest of SA,2011,18.9,11.4,10.6,12.7,14.4,13.8,10.1,5.8,2.2,11750,12008,12688,12293,10450,10395,9957,11015,13159,13677,14069,13590,13145,10870,8302,5900,4332,2881,190481,11051,11449,12131,11047,9062,9892,9658,10992,12546,12957,13405,12636,12576,10532,8067,6247,5296,5498,185042,22801,23457,24819,23340,19512,20287,19615,22007,25705,26634,27474,26226,25721,21402,16369,12147,9628,8379,375523,63.0,42,43,42,4.0,4433.0,,3161.0,,0.4,-355.0,15526.0,15881.0,0.9,7.0,1.1,0.1,0.7,0.3,0.5,0.3,0.4,16.2,4.7,,,,,,,,,45.9,0.8,1.0,6.4,5.7,20.9,11.0,17.9,12.6,14.8,9.9,10.6,8.5,8.5,15.6,1.7,98.0,1222.0,110520.0,790.0,999.0,3792.0,9264.0,126685.0,1646.0,12325.0,18394.0,2571.0,161621.0,41517.0,3359.0,98737.0,143613.0,2.4,31644.0,5959.0,46773.0,10336.0,4049.0,1085.0,99846.0,2.9,,,26.8,18.7,8.0,1.1,11.8,56.6,4.0,4.2,64.8
4RSAU,Rest of SA,2012,18.7,11.4,10.7,12.4,14.2,13.8,10.6,5.9,2.4,11773,12028,12470,12254,10541,10463,10181,10652,13105,13283,14135,13793,13051,11647,8614,6216,4310,3169,191685,10908,11382,11897,11081,9024,10005,9756,10624,12568,12609,13653,12723,12463,11266,8375,6384,5308,5724,185750,22681,23410,24367,23335,19565,20468,19937,21276,25673,25892,27788,26516,25514,22913,16989,12600,9618,8893,377435,62.5,42,43,43,,4451.0,,3364.0,,0.4,-348.0,15069.0,15417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4RSAU,Rest of SA,2013,18.4,11.2,10.8,12.1,14.1,13.9,11.0,6.0,2.5,11760,12043,12332,12053,10615,10482,10358,10484,12797,13034,14152,13875,13408,12079,8964,6401,4420,3421,192678,10718,11398,11694,11016,8881,10048,9977,10292,12455,12351,13792,12909,12629,11732,8747,6601,5292,5911,186443,22478,23441,24026,23069,19496,20530,20335,20776,25252,25385,27944,26784,26037,23811,17711,13002,9712,9332,379121,62.1,43,44,43,,4345.0,2.2,3300.0,6.1,0.4,-311.0,14834.0,15145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4RSAU,Rest of SA,2014,18.2,11.1,10.9,11.8,13.9,14.0,11.3,6.1,2.6,11593,12144,12212,11961,10578,10516,10600,10409,12314,12913,14179,13969,13544,12586,9346,6637,4539,3676,193716,10612,11424,11508,11004,8901,10002,10255,10102,12080,12385,13618,13202,12793,12060,9113,6886,5281,6141,187367,22205,23568,23720,22965,19479,20518,20855,20511,24394,25298,27797,27171,26337,24646,18459,13523,9820,9817,381083,61.8,43,44,44,,4297.0,2.2,3296.0,5.9,0.4,552.0,15203.0,14651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5GPER,Greater Perth,2010,18.8,14.8,14.8,14.5,13.7,11.1,6.7,4.0,1.5,59626,54923,57313,62332,73031,72036,62825,65462,63939,62870,57802,51493,46187,33719,25187,18294,12998,9184,889221,56661,52416,54612,59734,68389,67223,61314,65290,64269,64078,59512,53101,46306,34090,26992,21922,17899,18103,891911,116287,107339,111925,122066,141420,139259,124139,130752,128208,126948,117314,104594,92493,67809,52179,40216,30897,27287,1781132,68.9,35,37,36,,,,,,277.5,2786.0,43061.0,40275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5GPER,Greater Perth,2011,18.7,14.6,15.2,14.4,13.5,11.1,6.8,4.0,1.6,61068,56827,57656,62790,74503,76778,66160,65595,66909,63523,59199,52798,47855,35401,26250,18683,13465,9750,915210,58083,54273,55218,60326,70662,71041,64391,65160,66992,64446,60983,54742,48580,35629,27922,22600,18361,18948,918357,119151,111100,112874,123116,145165,147819,130551,130755,133901,127969,120182,107540,96435,71030,54172,41283,31826,28698,1833567,68.9,35,37,36,1.6,24679.0,,9811.0,,285.7,7535.0,46403.0,38868.0,3.2,13.7,2.9,1.0,5.0,1.7,2.4,1.2,3.3,40.3,16.7,,,,,,,,,57.7,3.4,1.8,14.5,8.6,18.6,10.9,11.4,21.7,16.1,9.7,15.3,9.0,6.6,8.8,1.4,24236.0,30602.0,573528.0,4944.0,9311.0,19113.0,19907.0,681641.0,41115.0,29476.0,94107.0,11292.0,857631.0,148015.0,26662.0,452422.0,627099.0,2.6,174060.0,36048.0,174960.0,44759.0,22581.0,9040.0,461448.0,3.0,,,15.6,20.1,7.2,1.0,9.4,70.1,2.9,4.0,77.0
5GPER,Greater Perth,2012,18.7,14.5,15.8,14.3,13.3,10.9,7.0,3.9,1.6,64133,59932,58514,64678,76767,83145,72225,66735,70370,64638,60856,54014,48052,38177,27552,19469,13673,10274,953204,61268,57037,56267,60983,72860,76202,68876,65882,69992,65295,62716,56257,49222,38535,29076,22997,18562,19627,951654,125401,116969,114781,125661,149627,159347,141101,132617,140362,129933,123572,110271,97274,76712,56628,42466,32235,29901,1904858,68.8,35,37,36,,25921.0,,10289.0,,296.8,11185.0,49977.0,38792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5GPER,Greater Perth,2013,18.8,14.3,16.3,14.2,13.1,10.7,7.1,3.9,1.6,66889,63100,59427,66234,78576,88057,78690,68741,72558,65434,62548,55177,48662,40744,28574,20345,13820,10960,988536,63966,59876,57309,61902,74580,80902,74155,67359,71731,66161,64632,57450,50409,41196,29992,23698,18649,20346,984313,130855,122976,116736,128136,153156,168959,152845,136100,144289,131595,127180,112627,99071,81940,58566,44043,32469,31306,1972849,68.6,35,37,36,,26695.0,1.8,10440.0,5.2,307.4,7944.0,47423.0,39479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5GPER,Greater Perth,2014,18.8,14.0,16.6,14.1,13.0,10.7,7.3,3.9,1.6,68481,65161,60210,66814,78638,90220,83083,70725,72950,66392,63968,56241,49541,42306,30071,21510,13976,11537,1011824,65762,61836,57898,62985,74668,83861,78444,69135,72346,67219,65832,58786,51499,43284,31391,24570,18763,21100,1009379,134243,126997,118108,129799,153306,174081,161527,139860,145296,133611,129800,115027,101040,85590,61462,46080,32739,32637,2021203,68.4,35,36,35,,27412.0,1.8,10573.0,5.2,314.9,2091.0,44251.0,42160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5RWAU,Rest of WA,2010,21.3,12.5,13.8,15.1,14.7,11.5,6.6,3.4,1.1,18844,18053,18277,16627,17012,19113,18035,20123,20288,20250,19349,16695,14269,10095,7446,4958,3361,2048,264843,18384,17660,17402,15309,14875,16532,16642,18375,17956,18119,17255,14906,12508,9217,7002,5195,3934,3599,244870,37228,35713,35679,31936,31887,35645,34677,38498,38244,38369,36604,31601,26777,19312,14448,10153,7295,5647,509713,67.5,37,37,37,,,,,,0.2,-593.0,27075.0,27668.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5RWAU,Rest of WA,2011,21.1,12.2,14.1,14.9,14.6,11.7,6.8,3.4,1.1,18869,18270,18336,16377,17290,20105,18685,19837,20876,20209,19938,17189,14971,10548,7685,5029,3452,2174,269840,18395,18286,17780,14914,14883,17420,17005,18151,18743,17966,17750,15584,13054,9682,7222,5355,4046,3766,250002,37264,36556,36116,31291,32173,37525,35690,37988,39619,38175,37688,32773,28025,20230,14907,10384,7498,5940,519842,67.5,37,37,37,8.4,7524.0,,2793.0,,0.2,-639.0,27545.0,28184.0,3.6,7.7,0.9,0.2,1.5,0.4,0.7,0.5,1.6,25.6,7.2,,,,,,,,,53.1,1.1,1.1,8.1,6.4,22.6,13.8,15.1,13.3,18.9,8.5,11.4,7.1,11.4,12.8,1.6,150.0,9935.0,151725.0,1551.0,2399.0,8221.0,15690.0,189671.0,3473.0,14329.0,26099.0,3754.0,237326.0,40750.0,5028.0,121285.0,167063.0,2.6,44984.0,7786.0,51918.0,12993.0,4741.0,1437.0,123859.0,3.0,,,21.6,20.6,6.7,1.3,9.1,59.8,3.4,4.9,68.1
5RWAU,Rest of WA,2012,20.7,12.1,14.6,14.8,14.4,11.7,7.1,3.5,1.2,19038,18609,18405,16554,17744,21691,20107,19865,21865,20467,20352,17982,15034,11417,8087,5277,3544,2451,278489,18157,18582,17834,15121,14932,18268,17576,17898,19216,17951,18041,16100,13153,10424,7687,5528,4185,3994,254647,37195,37191,36239,31675,32676,39959,37683,37763,41081,38418,38393,34082,28187,21841,15774,10805,7729,6445,533136,67.5,37,37,37,,7614.0,,2969.0,,0.2,231.0,27571.0,27340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5RWAU,Rest of WA,2013,20.5,11.9,15.0,14.6,14.2,11.7,7.3,3.5,1.3,19426,19081,18275,16725,18067,22982,21575,20172,22370,20810,20738,18638,15337,12275,8263,5616,3684,2586,286620,18094,18962,17931,15117,15084,19015,18372,17914,19390,17931,18299,16509,13536,11023,8057,5733,4320,4251,259538,37520,38043,36206,31842,33151,41997,39947,38086,41760,38741,39037,35147,28873,23298,16320,11349,8004,6837,546158,67.5,37,37,37,,7524.0,2.2,2877.0,5.8,0.2,389.0,26713.0,26324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5RWAU,Rest of WA,2014,20.3,11.6,15.1,14.5,14.2,11.9,7.5,3.7,1.3,19400,19338,18082,16779,17380,22825,22399,20401,22399,21114,20805,19188,15676,12849,8625,5946,3709,2900,289815,18068,19169,17857,15207,14682,19232,18850,18010,19174,18102,18291,16859,13960,11479,8430,6081,4425,4495,262371,37468,38507,35939,31986,32062,42057,41249,38411,41573,39216,39096,36047,29636,24328,17055,12027,8134,7395,552186,67.2,37,37,37,,7663.0,2.2,3127.0,5.8,0.2,-1046.0,26208.0,27254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6GHOB,Greater Hobart,2010,18.7,14.0,12.5,13.2,14.3,12.3,7.8,5.1,2.0,7143,6818,6787,7354,8144,7177,6251,6977,6828,7516,7427,6870,6139,4631,3521,2660,2047,1435,105725,6748,6129,6490,6926,7712,6989,6491,7359,7154,7868,7866,7150,6309,4833,3811,3343,2826,2940,108944,13891,12947,13277,14280,15856,14166,12742,14336,13982,15384,15293,14020,12448,9464,7332,6003,4873,4375,214669,66.4,37,40,39,,,,,,126.6,966.0,7773.0,6807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6GHOB,Greater Hobart,2011,18.5,13.8,12.8,13.2,14.0,12.6,8.1,5.0,2.1,7024,6853,6889,7277,8151,7389,6428,6797,7147,7291,7506,7041,6399,4751,3751,2622,2059,1530,106905,6583,6176,6466,6823,7657,7201,6579,7129,7404,7540,8000,7294,6488,5004,3942,3265,2809,3008,109368,13607,13029,13355,14100,15808,14590,13007,13926,14551,14831,15506,14335,12887,9755,7693,5887,4868,4538,216273,66.4,38,40,39,3.3,3002.0,,1715.0,,127.6,118.0,7380.0,7262.0,7.7,12.4,1.4,,2.2,0.7,1.7,1.9,0.7,43.3,6.4,,,,,,,,,54.9,3.5,2.0,13.2,7.1,18.8,10.2,11.4,22.4,13.8,11.5,16.1,9.9,4.6,8.8,1.5,51.0,4311.0,65883.0,484.0,878.0,1596.0,5263.0,78466.0,1479.0,3409.0,12213.0,1303.0,96870.0,23211.0,3154.0,55985.0,82350.0,2.4,19131.0,3908.0,22484.0,7428.0,2998.0,821.0,56770.0,2.9,,,19.0,19.4,8.1,1.1,11.7,63.0,3.6,4.6,71.3
6GHOB,Greater Hobart,2012,18.5,13.5,12.8,13.0,13.8,12.7,8.5,5.0,2.1,7112,6860,6844,7312,7886,7427,6531,6612,7254,6987,7590,7108,6395,5164,3892,2692,2053,1559,107278,6649,6220,6433,6786,7380,7138,6733,6804,7552,7388,8024,7431,6542,5437,4028,3272,2766,3060,109643,13761,13080,13277,14098,15266,14565,13264,13416,14806,14375,15614,14539,12937,10601,7920,5964,4819,4619,216921,65.9,38,40,39,,2742.0,,1911.0,,127.9,-1172.0,6534.0,7706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6GHOB,Greater Hobart,2013,18.5,13.4,12.8,12.8,13.6,12.8,8.9,5.0,2.1,7099,6983,6798,7374,7837,7310,6707,6542,7189,6897,7571,7154,6497,5424,4022,2793,2074,1566,107837,6692,6361,6414,6775,7247,7059,6814,6662,7589,7222,8020,7519,6679,5792,4159,3310,2785,3060,110159,13791,13344,13212,14149,15084,14369,13521,13204,14778,14119,15591,14673,13176,11216,8181,6103,4859,4626,217996,65.4,38,41,39,,2755.0,2.0,1787.0,6.5,128.6,-472.0,6668.0,7140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6GHOB,Greater Hobart,2014,18.5,13.3,12.7,12.6,13.5,13.0,9.2,5.1,2.1,7147,7088,6764,7322,7842,7339,6741,6407,7071,6790,7672,7332,6588,5621,4158,2933,2084,1623,108522,6644,6536,6284,6896,7123,6955,6897,6602,7515,7181,7964,7638,6937,5938,4401,3329,2816,3065,110721,13791,13624,13048,14218,14965,14294,13638,13009,14586,13971,15636,14970,13525,11559,8559,6262,4900,4688,219243,65.1,38,41,40,,2742.0,2.0,1869.0,6.6,129.3,-213.0,6957.0,7170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6RTAS,Rest of Tas.,2010,19.2,12.4,10.7,13.1,14.7,13.6,9.2,5.1,1.9,9608,9200,10338,10356,8526,7852,7762,9043,9897,10760,10948,10256,9994,7890,5886,4167,2827,1918,147228,8968,8785,9639,9578,7988,8146,7837,9593,10094,10872,10699,10040,9677,7531,5817,4530,3535,3621,146950,18576,17985,19977,19934,16514,15998,15599,18636,19991,21632,21647,20296,19671,15421,11703,8697,6362,5539,294178,64.6,41,41,41,,,,,,4.4,-302.0,9041.0,9343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6RTAS,Rest of Tas.,2011,18.9,12.3,10.6,12.9,14.6,13.8,9.6,5.2,2.0,9480,9282,10129,10365,8490,7914,7619,8729,9970,10440,11078,10402,10267,8379,6153,4261,2889,2038,147885,8734,8777,9530,9422,8105,7973,7907,9148,10252,10570,10992,10188,9873,7924,5962,4663,3577,3728,147325,18214,18059,19659,19787,16595,15887,15526,17877,20222,21010,22070,20590,20140,16303,12115,8924,6466,5766,295210,64.3,41,42,42,4.5,3588.0,,2510.0,,4.5,-168.0,9227.0,9395.0,1.1,6.1,1.2,0.5,1.1,1.1,0.7,0.8,0.8,17.9,3.0,,,,,,,,,48.5,1.5,1.1,8.2,6.2,21.2,10.2,13.2,15.3,15.7,10.9,12.1,9.6,8.4,13.4,1.5,47.0,1182.0,85859.0,656.0,488.0,2465.0,5522.0,96219.0,1087.0,6296.0,14602.0,1843.0,120047.0,30827.0,3051.0,76596.0,110474.0,2.4,24928.0,5258.0,33950.0,8862.0,3538.0,898.0,77434.0,2.9,,,19.9,19.2,7.2,1.0,11.6,58.9,3.7,4.2,66.8
