yr,est_p_inc_emply_inc_num,est_p_inc_emply_inc_med_age_yrs,est_p_inc_tot_emply_inc_aud,est_p_inc_med_emply_inc_aud,est_p_inc_avg_emply_inc_aud,est_p_inc_emply_inc_mn_src_inc_pr100,est_p_inc_own_unincorportd_bsns_inc_num,est_p_inc_own_unincorportd_bsns_inc_med_age_yrs,est_p_inc_tot_own_unincorportd_bsns_inc_aud,est_p_inc_med_own_unincorportd_bsns_inc_aud,est_p_inc_avg_own_unincorportd_bsns_inc_aud,est_p_inc_own_unincorportd_bsns_inc_mn_src_inc_pr100,est_p_inc_investment_inc_num,est_p_inc_investment_inc_med_age_yrs,est_p_inc_tot_investment_inc_aud,est_p_inc_med_investment_inc_aud,est_p_inc_avg_investment_inc_aud,est_p_inc_investment_inc_mn_src_inc_pr100,est_p_inc_super_annuity_inc_num,est_p_inc_super_annuity_inc_med_age_yrs,est_p_inc_tot_super_annuity_inc_aud,est_p_inc_med_super_annuity_inc_aud,est_p_inc_avg_super_annuity_inc_aud,est_p_inc_super_annuity_inc_mn_src_inc_pr100,est_p_inc_tot_inc_excl_gov_pnsn_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_med_age_yrs,est_p_inc_tot_inc_excl_gov_pnsn_aud,est_p_inc_med_tot_inc_excl_gov_pnsn_aud,est_p_inc_avg_tot_inc_excl_gov_pnsn_aud,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p20_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p20_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p10_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_gini_coefficient_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_1_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_5_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_10_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_loest_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_second_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_third_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_hi_quartile_pr100,gcg_rptd_by_taxpayers_gcg_p_num,gcg_rptd_by_taxpayers_gcg_amount_audm,gcg_rptd_by_taxpayers_gcg_med_aud,gcg_rptd_by_taxpayers_gcg_avg_aud,slct_gov_pnsn_alwn_age_pension_centrelink_num,slct_gov_pnsn_alwn_carer_payment_num,slct_gov_pnsn_alwn_carer_alloance_num,slct_gov_pnsn_alwn_dsblty_supp_pension_num,slct_gov_pnsn_alwn_newstart_alloance_num,slct_gov_pnsn_alwn_prnting_payment_single_num,slct_gov_pnsn_alwn_prnting_payment_prtred_num,slct_gov_pnsn_alwn_yth_alloance_full_time_studts_aprtc_num,slct_gov_pnsn_alwn_yth_alloance_oth_num,slct_gov_pnsn_alwn_fam_tax_bft_num,slct_gov_pnsn_alwn_fam_tax_bft_b_num,slct_gov_pnsn_alwn_commonwealth_rent_asst_num,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_nil_inc_pr100,tot_p_inc_wk_p_ov_15_yrs_p_negative_inc_pr100,eq_t_hs_inc_fam_lone_grp_hslds_med_eq_t_hs_inc_wk_aud,gcc_code16,gcc_name16,ogc_fid
2013,1151852.0,39.0,59027242067.0,41674.0,51246.0,77.0,217901.0,49.0,3548230643.0,7873.0,16284.0,8.1,835152.0,47.0,6478296060.0,266.0,7757.0,12.7,40030.0,58.0,950053139.0,16025.0,23734.0,1.6,1273744.0,43.0,68220492385.0,42260.0,53559.0,4.92,1.91,0.39,0.17,0.475,7.5,20.3,31.9,26.1,26.7,24.1,23.1,74047.0,2276.3,1684.0,30741.0,,,,,,,,,,185586.0,159979.0,,,,,,,,,,3RQLD,Rest of Qld,43
2014,1172283.0,39.0,61507546911.0,42584.0,52468.0,77.0,216307.0,49.0,3482547135.0,7879.0,16100.0,7.9,851646.0,47.0,6646568327.0,231.0,7804.0,12.7,40499.0,58.0,991678325.0,16978.0,24486.0,1.6,1289751.0,43.0,70371040998.0,43014.0,54562.0,4.92,1.91,0.39,0.16,0.47700000000000004,7.5,20.5,32.1,26.3,26.9,24.1,22.8,81646.0,2575.0,2763.0,31539.0,,,,,,,,,,182916.0,158705.0,,,,,,,,,,3RQLD,Rest of Qld,44
2015,1216716.0,39.0,64973464871.0,43472.0,53401.0,76.0,220219.0,49.0,3931716521.0,8384.0,17854.0,8.3,890126.0,46.0,6671969179.0,194.0,7496.0,13.0,43019.0,58.0,1133039134.0,17702.0,26338.0,1.7,1323421.0,43.0,73357205528.0,43689.0,55430.0,4.92,1.9,0.39,0.16,0.474,7.4,20.4,32.0,26.4,27.1,24.2,22.4,86504.0,3053.7,3403.0,35301.0,268971.0,28132.0,,90852.0,97335.0,37357.0,,15534.0,17123.0,180961.0,157831.0,,,,,,,,,,3RQLD,Rest of Qld,45
2016,1200063.0,39.0,64871276451.0,44593.0,54057.0,76.0,218065.0,49.0,4352960334.0,9361.0,19962.0,8.4,889711.0,46.0,6660220315.0,162.0,7486.0,13.1,43298.0,58.0,1111347648.0,17590.0,25667.0,1.8,1318058.0,43.0,73709153719.0,44468.0,55923.0,4.93,1.89,0.38,0.16,0.47100000000000003,7.4,20.3,31.7,26.3,27.2,24.5,22.0,83581.0,3315.8,2704.0,39671.0,278379.0,29320.0,,87846.0,97951.0,37240.0,,16608.0,15850.0,180209.0,148657.0,,29.9,25.1,20.5,4.0,2.1,7.3,0.5,789.0,3RQLD,Rest of Qld,46
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277444.0,30076.0,67614.0,85907.0,97946.0,36773.0,10846.0,15235.0,15787.0,176577.0,140908.0,189985.0,,,,,,,,,3RQLD,Rest of Qld,47
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278304.0,31498.0,69564.0,86614.0,96107.0,35657.0,9371.0,13531.0,14984.0,171297.0,137161.0,184091.0,,,,,,,,,3RQLD,Rest of Qld,48
2011,587743.0,39.0,27560833424.0,41201.0,46893.0,77.0,92654.0,47.0,2313439570.0,10998.0,24969.0,7.2,454372.0,46.0,3636977050.0,415.0,8004.0,12.7,32717.0,64.0,872724573.0,22775.0,26675.0,2.9,681965.0,42.0,33955989863.0,40899.0,49791.0,4.61,1.77,0.38,0.17,0.45399999999999996,8.5,21.0,31.4,23.7,26.1,27.8,22.4,43102.0,1123.7,2442.0,26071.0,,,,,,,,,,,,,,,,,,,,720.0,4GADE,Greater Adelaide,49
2012,596663.0,39.0,29344070800.0,43052.0,49180.0,77.0,92133.0,47.0,2298928074.0,11129.0,24952.0,7.0,468663.0,46.0,3858773572.0,400.0,8234.0,12.8,33508.0,64.0,926621440.0,23225.0,27654.0,3.0,686607.0,43.0,35865118120.0,42836.0,52235.0,4.48,1.77,0.39,0.18,0.45,8.3,20.8,31.3,23.8,26.4,27.6,22.2,36249.0,909.8,1883.0,25099.0,,,,,,,,,,,,,,,,,,,,,4GADE,Greater Adelaide,50
2013,609162.0,39.0,31053927224.0,44430.0,50978.0,77.0,91840.0,47.0,2279684070.0,10883.0,24822.0,7.0,478202.0,46.0,4044652106.0,339.0,8458.0,12.8,33979.0,64.0,952077841.0,23428.0,28020.0,3.0,689843.0,43.0,37544500946.0,44541.0,54425.0,4.27,1.76,0.41,0.19,0.446,8.2,20.6,31.1,23.7,26.6,27.6,22.1,41287.0,868.1,1266.0,21026.0,,,,,,,,,,92722.0,76406.0,,,,,,,,,,4GADE,Greater Adelaide,51
2014,622764.0,39.0,32561139830.0,45541.0,52285.0,77.0,92776.0,47.0,2429962390.0,11737.0,26192.0,7.0,487537.0,46.0,4303581645.0,313.0,8827.0,12.8,34419.0,64.0,1012505252.0,24305.0,29417.0,3.0,700364.0,43.0,39296393081.0,45778.0,56109.0,4.27,1.76,0.41,0.19,0.44799999999999995,8.3,20.8,31.3,23.7,26.4,27.6,22.3,45142.0,1298.3,2293.0,28761.0,,,,,,,,,,91067.0,76156.0,,,,,,,,,,4GADE,Greater Adelaide,52
2015,639749.0,39.0,34370506183.0,46688.0,53725.0,76.0,94678.0,47.0,2529632281.0,12019.0,26718.0,7.2,502084.0,46.0,4371029794.0,280.0,8706.0,13.3,35598.0,64.0,1092238311.0,24892.0,30683.0,3.1,714796.0,43.0,40763358478.0,46581.0,57028.0,4.32,1.76,0.41,0.19,0.449,8.2,20.7,31.2,23.9,26.4,27.5,22.2,48860.0,1399.2,2941.0,28638.0,153877.0,13493.0,,52814.0,49377.0,14419.0,,17768.0,6631.0,89555.0,75978.0,,,,,,,,,,4GADE,Greater Adelaide,53
2016,636195.0,40.0,35073900951.0,48066.0,55131.0,75.0,97374.0,47.0,2603371059.0,12292.0,26736.0,7.4,504916.0,46.0,4439653947.0,245.0,8793.0,13.5,35949.0,64.0,1119715675.0,25362.0,31147.0,3.1,721133.0,43.0,41648655310.0,47307.0,57754.0,4.45,1.77,0.4,0.17,0.452,8.2,20.7,31.2,24.1,26.3,27.5,22.1,49085.0,1418.0,2117.0,28888.0,156489.0,14048.0,,50591.0,49327.0,14421.0,,17686.0,6200.0,88560.0,72302.0,,31.1,24.8,22.0,3.9,2.1,8.5,0.5,799.0,4GADE,Greater Adelaide,54
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153984.0,14457.0,35826.0,49062.0,47930.0,13806.0,5566.0,16147.0,6105.0,85612.0,66816.0,77567.0,,,,,,,,,4GADE,Greater Adelaide,55
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152451.0,15303.0,36823.0,48923.0,47981.0,13245.0,4941.0,14887.0,5555.0,82145.0,64536.0,77941.0,,,,,,,,,4GADE,Greater Adelaide,56
2011,157025.0,41.0,6283077968.0,35159.0,40013.0,70.0,47779.0,51.0,1289197227.0,11659.0,26983.0,13.4,128938.0,49.0,867988719.0,500.0,6732.0,13.5,7471.0,60.0,169061773.0,18828.0,22629.0,2.3,192953.0,45.0,8503609865.0,36507.0,44071.0,5.42,1.84,0.34,0.13,0.47200000000000003,6.9,19.8,31.0,27.9,27.7,25.1,19.3,15663.0,308.7,2174.0,19708.0,,,,,,,,,,,,,,,,,,,,594.0,4RSAU,Rest of SA,57
2012,160123.0,41.0,6810833219.0,37191.0,42535.0,71.0,47296.0,51.0,1118007373.0,11031.0,23639.0,12.6,133088.0,50.0,929795331.0,464.0,6986.0,13.7,7740.0,60.0,183872584.0,19177.0,23756.0,2.3,194165.0,46.0,8900894213.0,38272.0,45842.0,5.23,1.84,0.35,0.14,0.467,6.4,19.1,30.4,28.1,27.7,25.1,19.1,11584.0,278.5,2494.0,24039.0,,,,,,,,,,,,,,,,,,,,,4RSAU,Rest of SA,58
2013,162452.0,41.0,7179505497.0,38198.0,44195.0,71.0,46548.0,52.0,874304679.0,8696.0,18783.0,11.8,134402.0,50.0,938501121.0,400.0,6983.0,14.2,7870.0,60.0,193556710.0,19285.0,24594.0,2.3,193783.0,46.0,9002136586.0,38844.0,46455.0,5.13,1.85,0.36,0.13,0.47,6.3,19.0,30.3,29.0,28.2,24.6,18.2,16191.0,358.7,2963.0,22154.0,,,,,,,,,,30698.0,24737.0,,,,,,,,,,4RSAU,Rest of SA,59
2014,165466.0,42.0,7505138408.0,39134.0,45358.0,71.0,46396.0,52.0,1080309403.0,10973.0,23285.0,12.3,135977.0,50.0,1007196574.0,367.0,7407.0,13.8,7878.0,60.0,202363946.0,20293.0,25687.0,2.4,195253.0,46.0,9563001852.0,40373.0,48977.0,4.96,1.85,0.37,0.14,0.465,6.7,19.3,30.5,28.1,28.3,24.7,18.9,12941.0,300.5,2226.0,23217.0,,,,,,,,,,29974.0,24469.0,,,,,,,,,,4RSAU,Rest of SA,60
2015,168789.0,42.0,7845597041.0,40170.0,46482.0,70.0,46629.0,53.0,1231503767.0,12065.0,26411.0,12.9,139101.0,50.0,1028087865.0,320.0,7391.0,13.8,8247.0,60.0,223133573.0,20268.0,27056.0,2.5,197973.0,46.0,9975886922.0,41378.0,50390.0,5.0,1.86,0.37,0.14,0.46399999999999997,6.5,19.3,30.6,28.1,28.2,24.6,19.1,13591.0,398.9,2855.0,29354.0,57834.0,5260.0,,19443.0,17593.0,5087.0,,1225.0,2421.0,29259.0,24162.0,,,,,,,,,,4RSAU,Rest of SA,61
2016,164258.0,42.0,7775374221.0,41275.0,47336.0,71.0,44052.0,53.0,1125839099.0,11904.0,25557.0,12.4,134467.0,50.0,972870871.0,262.0,7235.0,13.9,8149.0,60.0,222470973.0,20404.0,27300.0,2.6,193421.0,46.0,9739003529.0,41778.0,50351.0,5.06,1.84,0.36,0.14,0.46299999999999997,6.4,19.0,30.3,28.0,28.6,25.0,18.4,12853.0,312.7,1811.0,24332.0,59192.0,5364.0,,18592.0,17672.0,5074.0,,1547.0,2225.0,28558.0,22651.0,,35.4,26.0,17.9,2.8,1.3,6.0,0.5,672.0,4RSAU,Rest of SA,62
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58837.0,5433.0,11960.0,18010.0,17600.0,4994.0,1914.0,1419.0,2184.0,27617.0,20959.0,22880.0,,,,,,,,,4RSAU,Rest of SA,63
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58485.0,5798.0,12338.0,18032.0,17662.0,4867.0,1640.0,1272.0,2117.0,26266.0,20097.0,22877.0,,,,,,,,,4RSAU,Rest of SA,64
2011,907103.0,37.0,50846099424.0,44975.0,56053.0,78.0,139979.0,45.0,4211641704.0,13706.0,30088.0,7.2,669950.0,44.0,6381034700.0,357.0,9525.0,12.1,29086.0,60.0,690729299.0,18460.0,23748.0,1.4,1022426.0,40.0,61239336327.0,45410.0,59896.0,5.2,1.89,0.36,0.17,0.488,9.6,23.1,34.3,22.6,22.7,24.1,30.6,74907.0,3425.4,3614.0,45729.0,,,,,,,,,,,,,,,,,,,,902.0,5GPER,Greater Perth,65
2012,968575.0,37.0,58601520233.0,47977.0,60503.0,79.0,141205.0,45.0,4424901895.0,14105.0,31337.0,6.9,716092.0,44.0,7060631128.0,341.0,9860.0,11.8,28939.0,60.0,726902963.0,19260.0,25118.0,1.3,1073287.0,40.0,69511510017.0,48913.0,64765.0,5.11,1.91,0.37,0.18,0.484,9.2,22.7,34.0,22.2,22.3,23.8,31.8,57868.0,2939.9,3245.0,50803.0,,,,,,,,,,,,,,,,,,,,,5GPER,Greater Perth,66
2013,1028069.0,37.0,66073671482.0,50453.0,64270.0,80.0,142638.0,45.0,4583752801.0,14167.0,32136.0,6.7,746047.0,44.0,7791969194.0,307.0,10444.0,11.6,28481.0,60.0,727087887.0,19302.0,25529.0,1.3,1115973.0,41.0,77281561327.0,52055.0,69250.0,4.94,1.91,0.39,0.19,0.48100000000000004,9.0,22.6,34.0,21.5,21.9,23.9,32.7,64817.0,3099.9,3342.0,47825.0,,,,,,,,,,104191.0,97461.0,,,,,,,,,,5GPER,Greater Perth,67
2014,1054024.0,37.0,69436457626.0,51815.0,65877.0,80.0,144076.0,45.0,4639237179.0,14157.0,32200.0,6.7,774785.0,44.0,8346899979.0,274.0,10773.0,11.7,28353.0,60.0,764412543.0,20262.0,26961.0,1.3,1142533.0,41.0,80777010693.0,53001.0,70700.0,4.95,1.92,0.39,0.19,0.48200000000000004,9.3,22.7,34.1,21.6,22.0,24.0,32.4,73202.0,3826.3,4159.0,52270.0,,,,,,,,,,102833.0,96201.0,,,,,,,,,,5GPER,Greater Perth,68
2015,1095210.0,37.0,73988981130.0,52963.0,67557.0,79.0,149205.0,45.0,4741267126.0,13887.0,31777.0,6.7,814577.0,44.0,8243895775.0,227.0,10120.0,12.2,29862.0,60.0,841865965.0,20415.0,28192.0,1.3,1177074.0,41.0,84127561198.0,53640.0,71472.0,5.01,1.92,0.38,0.19,0.48200000000000004,9.1,22.6,34.0,21.9,22.2,24.0,32.0,74589.0,3551.8,3938.0,47618.0,167204.0,10161.0,,42845.0,48625.0,18708.0,,14303.0,5955.0,102700.0,96418.0,,,,,,,,,,5GPER,Greater Perth,69
2016,1076896.0,38.0,72941688216.0,53727.0,67733.0,78.0,154938.0,45.0,4570249723.0,12554.0,29497.0,6.9,822935.0,44.0,7824823735.0,177.0,9508.0,12.6,30586.0,59.0,857774367.0,20084.0,28045.0,1.4,1175019.0,41.0,82660804640.0,53200.0,70348.0,5.17,1.93,0.37,0.17,0.484,9.0,22.4,33.8,22.7,22.5,23.9,30.9,68971.0,3177.4,3077.0,46068.0,172164.0,10758.0,,41105.0,54765.0,19159.0,,15213.0,6737.0,104558.0,89205.0,,25.0,20.5,24.2,6.8,4.3,10.1,0.6,992.0,5GPER,Greater Perth,70
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171436.0,11293.0,32145.0,40076.0,61009.0,19436.0,5856.0,14516.0,8701.0,105436.0,87573.0,90903.0,,,,,,,,,5GPER,Greater Perth,71
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172791.0,12421.0,33560.0,40542.0,64591.0,19500.0,5511.0,14691.0,8431.0,104668.0,86781.0,92280.0,,,,,,,,,5GPER,Greater Perth,72
2011,232847.0,39.0,11945849818.0,40365.0,51303.0,75.0,56202.0,49.0,1256870182.0,10709.0,22363.0,10.5,171223.0,46.0,1280347739.0,375.0,7478.0,12.6,6130.0,59.0,125488672.0,12412.0,20471.0,1.1,267867.0,42.0,14332877399.0,41751.0,53507.0,5.86,2.04,0.35,0.14,0.488,6.5,19.2,31.1,25.0,24.0,21.8,29.2,21527.0,608.9,2760.0,28285.0,,,,,,,,,,,,,,,,,,,,787.0,5RWAU,Rest of WA,73
2012,243596.0,39.0,13546791953.0,43410.0,55612.0,76.0,55691.0,50.0,1229083260.0,10706.0,22070.0,9.8,181109.0,46.0,1460779198.0,343.0,8066.0,12.5,6098.0,59.0,130929363.0,13837.0,21471.0,1.0,275248.0,42.0,15968316164.0,45065.0,58014.0,5.73,2.05,0.36,0.16,0.48100000000000004,6.3,18.9,30.8,24.5,23.6,21.6,30.4,15423.0,565.9,2803.0,36693.0,,,,,,,,,,,,,,,,,,,,,5RWAU,Rest of WA,74
2013,254798.0,39.0,14932058316.0,45452.0,58604.0,76.0,55730.0,50.0,1445817011.0,11442.0,25943.0,9.8,185589.0,46.0,1569895248.0,308.0,8459.0,12.2,5730.0,59.0,134327320.0,15006.0,23443.0,0.9,282230.0,43.0,17541104366.0,47929.0,62152.0,5.55,2.06,0.37,0.16,0.479,6.5,19.1,30.9,24.1,23.0,21.6,31.2,15905.0,530.4,2864.0,33346.0,,,,,,,,,,36553.0,34417.0,,,,,,,,,,5RWAU,Rest of WA,75
2014,259832.0,39.0,15549611739.0,46457.0,59845.0,76.0,56205.0,50.0,1753024463.0,13195.0,31190.0,10.2,192329.0,46.0,1672717419.0,264.0,8697.0,12.0,5874.0,58.0,150766167.0,16046.0,25667.0,1.0,286323.0,43.0,18448690462.0,49297.0,64433.0,5.54,2.06,0.37,0.17,0.475,6.7,19.3,31.0,23.9,23.1,21.5,31.5,18314.0,602.3,2942.0,32889.0,,,,,,,,,,35700.0,33710.0,,,,,,,,,,5RWAU,Rest of WA,76
2015,267568.0,39.0,16392955198.0,47548.0,61267.0,76.0,56914.0,51.0,1933601220.0,14048.0,33974.0,10.5,198857.0,46.0,1642310025.0,226.0,8259.0,12.3,6364.0,58.0,168774722.0,16109.0,26520.0,1.1,291237.0,43.0,19148373887.0,50264.0,65748.0,5.55,2.07,0.37,0.16,0.475,6.4,19.2,31.0,23.9,23.2,21.4,31.5,19300.0,551.2,2719.0,28561.0,46568.0,3952.0,,17385.0,20606.0,8191.0,,575.0,2792.0,35100.0,33393.0,,,,,,,,,,5RWAU,Rest of WA,77
2016,260784.0,40.0,16086576097.0,48501.0,61685.0,75.0,55627.0,51.0,1603830598.0,12280.0,28832.0,10.1,199295.0,46.0,1513483864.0,171.0,7594.0,12.8,6655.0,59.0,169002569.0,14614.0,25395.0,1.2,288040.0,44.0,18476444684.0,49634.0,64145.0,5.72,2.06,0.36,0.15,0.479,6.4,19.1,30.9,24.8,23.5,21.8,29.9,16460.0,530.4,2468.0,32223.0,48478.0,4159.0,,16454.0,21658.0,8162.0,,1056.0,2833.0,34560.0,29679.0,,25.8,20.5,21.4,7.2,4.0,7.4,0.6,888.0,5RWAU,Rest of WA,78
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48772.0,4331.0,9672.0,15765.0,22052.0,8113.0,2429.0,1015.0,3071.0,33981.0,28292.0,23739.0,,,,,,,,,5RWAU,Rest of WA,79
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48933.0,4612.0,9913.0,15537.0,22536.0,7762.0,2192.0,843.0,2993.0,32802.0,27293.0,23322.0,,,,,,,,,5RWAU,Rest of WA,80
2011,102818.0,39.0,4637063714.0,40000.0,45100.0,78.0,16145.0,48.0,367194480.0,9986.0,22744.0,7.0,76227.0,47.0,494175323.0,340.0,6483.0,10.4,7276.0,62.0,171744541.0,19576.0,23604.0,3.8,117056.0,43.0,5607014092.0,39971.0,47900.0,4.61,1.77,0.38,0.17,0.446,8.0,20.0,30.3,24.1,26.9,27.5,21.5,7294.0,186.1,2124.0,25513.0,,,,,,,,,,,,,,,,,,,,703.0,6GHOB,Greater Hobart,81
2012,102784.0,40.0,4832765348.0,41600.0,47019.0,78.0,16696.0,48.0,366224485.0,9727.0,21935.0,7.1,77360.0,48.0,514584663.0,357.0,6652.0,10.8,7579.0,62.0,188443256.0,20497.0,24864.0,4.1,116938.0,44.0,5805599916.0,41456.0,49647.0,4.48,1.77,0.39,0.18,0.442,7.5,19.7,30.1,24.5,27.5,27.3,20.7,5838.0,124.2,1795.0,21277.0,,,,,,,,,,,,,,,,,,,,,6GHOB,Greater Hobart,82
2013,103315.0,40.0,5043103840.0,42917.0,48813.0,77.0,16577.0,49.0,358336498.0,9807.0,21616.0,7.2,78354.0,48.0,524042104.0,303.0,6688.0,10.9,7623.0,62.0,191883403.0,20375.0,25172.0,4.1,116024.0,44.0,5992008823.0,42844.0,51645.0,4.31,1.77,0.41,0.18,0.442,7.7,19.8,30.1,24.6,27.7,27.1,20.6,6781.0,139.7,1133.0,20608.0,,,,,,,,,,17826.0,14511.0,,,,,,,,,,6GHOB,Greater Hobart,83
2014,105298.0,40.0,5272594931.0,44200.0,50073.0,77.0,16687.0,49.0,382965301.0,10429.0,22950.0,7.2,79044.0,48.0,551296241.0,285.0,6975.0,10.9,7802.0,62.0,205448588.0,21364.0,26333.0,4.1,117648.0,44.0,6251288106.0,44265.0,53136.0,4.28,1.75,0.41,0.18,0.439,7.7,19.8,30.1,24.4,27.5,27.6,20.5,7635.0,174.0,2082.0,22790.0,,,,,,,,,,17493.0,14361.0,,,,,,,,,,6GHOB,Greater Hobart,84
2015,109712.0,40.0,5627969460.0,45420.0,51298.0,77.0,17126.0,49.0,412946014.0,11259.0,24112.0,7.4,82530.0,48.0,583215320.0,260.0,7067.0,11.0,8151.0,62.0,228254732.0,22503.0,28003.0,4.2,120927.0,44.0,6598857542.0,45427.0,54569.0,4.29,1.75,0.41,0.18,0.44,7.7,19.9,30.3,24.2,27.4,27.7,20.7,8034.0,223.6,2604.0,27836.0,26634.0,2856.0,,11596.0,8246.0,3323.0,,2526.0,1605.0,17178.0,14267.0,,,,,,,,,,6GHOB,Greater Hobart,85
2016,110477.0,40.0,5813362740.0,46800.0,52621.0,77.0,17401.0,49.0,433909770.0,11727.0,24936.0,7.5,83873.0,48.0,587105777.0,228.0,7000.0,11.1,8144.0,63.0,227600995.0,23058.0,27947.0,4.2,122676.0,44.0,6799908322.0,46411.0,55430.0,4.41,1.76,0.4,0.17,0.441,7.6,19.6,30.0,24.2,27.2,27.7,20.8,8004.0,250.2,2312.0,31265.0,27162.0,2879.0,,11376.0,7892.0,3257.0,,2550.0,1405.0,16857.0,13590.0,,30.8,26.1,22.6,3.7,1.9,6.7,0.3,798.0,6GHOB,Greater Hobart,86
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26792.0,2931.0,6231.0,11010.0,8006.0,3088.0,1018.0,2296.0,1491.0,16306.0,12706.0,15460.0,,,,,,,,,6GHOB,Greater Hobart,87
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26564.0,2988.0,6344.0,10988.0,8027.0,2927.0,797.0,2128.0,1437.0,15600.0,12323.0,15067.0,,,,,,,,,6GHOB,Greater Hobart,88
2011,128320.0,41.0,5206996119.0,36361.0,40578.0,77.0,26320.0,50.0,446147071.0,7382.0,16951.0,8.7,92018.0,49.0,551363133.0,336.0,5992.0,11.3,6266.0,59.0,131669656.0,14978.0,21013.0,2.4,147788.0,44.0,6264148863.0,36297.0,42386.0,5.1,1.77,0.35,0.14,0.45399999999999996,7.0,19.0,29.7,27.8,28.6,26.1,17.5,8209.0,193.6,2346.0,23581.0,,,,,,,,,,,,,,,,,,,,581.0,6RTAS,Rest of Tas.,89
2012,128134.0,41.0,5438902770.0,37598.0,42447.0,77.0,26196.0,51.0,446659979.0,7373.0,17051.0,8.6,92946.0,49.0,566822862.0,356.0,6098.0,11.4,6488.0,59.0,137940116.0,15797.0,21261.0,2.6,146719.0,45.0,6500536526.0,37574.0,44306.0,4.97,1.79,0.36,0.15,0.451,6.7,18.8,29.5,28.2,29.0,25.5,17.3,6101.0,162.5,2285.0,26628.0,,,,,,,,,,,,,,,,,,,,,6RTAS,Rest of Tas.,90
2013,128037.0,42.0,5665893539.0,38780.0,44252.0,77.0,25907.0,51.0,370959908.0,6381.0,14319.0,8.4,92848.0,49.0,578982526.0,304.0,6236.0,11.6,6491.0,59.0,144324056.0,15835.0,22234.0,2.6,144324.0,45.0,6635064114.0,38744.0,45973.0,4.83,1.8,0.37,0.15,0.455,7.0,19.1,29.9,28.7,29.1,25.2,17.0,6933.0,151.2,1445.0,21815.0,,,,,,,,,,25288.0,20618.0,,,,,,,,,,6RTAS,Rest of Tas.,91
2014,129384.0,42.0,5861450871.0,39636.0,45303.0,77.0,25401.0,52.0,438377828.0,7688.0,17258.0,8.6,93428.0,50.0,597561312.0,262.0,6396.0,11.3,6535.0,59.0,152352254.0,16654.0,23313.0,2.6,145013.0,45.0,6894929281.0,39971.0,47547.0,4.79,1.8,0.38,0.15,0.452,7.1,19.2,30.0,28.3,29.1,25.4,17.2,7408.0,179.3,2135.0,24203.0,,,,,,,,,,24745.0,20417.0,,,,,,,,,,6RTAS,Rest of Tas.,92
